Index Title,Temurah
Temurah 18b:1,"seinem Handeln zu ersehen, daß er es zu züchten beabsichtigt$fn29. R. Ḥija rezitierte [eine Lehre als] Stütze für R. Jehošua͑ b. Levi:$fn30<i>Wenn er ein Lamm darbringt,</i> das erste Junge ist darzubringen, das zweite Junge ist nicht darzubringen; dieses$fn31ist darzubringen, nicht aber ist das Junge aller anderen Opfertiere darzubringen. – Wessen Junges: wenn des Brandopfers und des Schuldopfers, so sind diese ja Männchen und nicht geburtsfähig, und wenn des Sündopfers, so ist uns ja überliefert, daß es verenden zu lassen ist!? Rabina erwiderte: Dies schließt das Junge des Zehnten ein. – Wozu ist hinsichtlich des Jungen des Zehnten ein Schriftvers nötig, es ist ja durch [den Ausdruck] ‘vorübergehen’ vom Erstgeborenen$fn32zu folgern!? – Dies ist nötig; man könnte glauben, man folgere nicht hinsichtlich des Möglichen vom Unmöglichen, so lehrt er uns."
Temurah 18b:2,"R. Š<small>IMO͑N UND</small> R. P<small>APJAS BEKUNDETEN &amp;C</small>. Nach Raba aber, welcher sagt, wenn man ein Fest verstreichen läßt, [ohne das Opfer dargebracht zu haben,] begehe man jeden Tag das Verbot des Versäumens, sollte es ja schon am Wochenfeste$fn33gegessen werden!? R. Zebid erwiderte im Namen Rabas: Wenn er am Wochenfeste krank war. R. Aši erwiderte: Unter Fest, von dem er spricht, ist eben das Wochenfest zu verstehen. – Welche Bedeutung hat demnach seine Bekundung$fn34? – Dies schließt die Ansicht R. Elie͑zers aus. Dieser sagt, das Junge des Heilsopfers sei nicht als Heilsopfer darzubringen, und er bekundete, daß es darzubringen sei."
Temurah 18b:3,"<sup>ii,1</sup> <b>D</b><small>AS</small> J<small>UNGE DES</small> D<small>ANKOPFERS UND SEIN</small> E<small>INGETAUSCHTES, IHR</small> J<small>UNGES UND DAS</small> J<small>UNGE IHRES</small> J<small>UNGEN, BIS ANS</small> E<small>NDE ALLER</small> G<small>ENERATIONEN, GLEICHEN DEM</small> D<small>ANKOPFER, NUR BENÖTIGEN SIE NICHT DER</small> B<small>ROTE</small>$fn35."
Temurah 18b:4,"GEMARA. Woher dies? – Die Rabbanan lehrten: Wozu heißt es:$fn36<i>es darbringen</i>? Woher, daß, wenn jemand ein Dankopfer abgesondert hat, und es abhanden gekommen ist, und nachdem er ein anderes abgesondert hat, das erste sich einfindet, und nun beide vorhanden sind, er darbringen darf, welches ihm beliebt, und dazu die Brote? Es heißt: <i>ein Dankopfer darbringen</i>. Man könnte glauben, auch das andere benötige der Brote, so heißt es: <i>es darbringen</i>, zu einem und nicht zu zwei. Woher, daß auch das Junge, das Eingetauschte und der Ersatz einbegriffen sind? Es heißt:$fn36<i>wenn als Dankopfer</i>. Man könnte glauben, sie alle benötigen der Brote, so heißt es: <i>zum Schlachtopfer des Dankopfers</i>, das Dankopfer benötigt der Brote, nicht aber benötigen das Junge, das Eingetauschte und der Ersatz der Brote."
Temurah 18b:5,"<sup>ii,2</sup> <b>D</b><small>AS</small> E<small>INGETAUSCHTE EINES</small> B<small>RANDOPFERS, DAS</small> J<small>UNGE DES</small> E<small>INGETAUSCHTEN</small>, [<small>IHR</small>] J<small>UNGES UND DAS</small> J<small>UNGE IHRES</small> J<small>UNGEN, BIS ANS</small> E<small>NDE DER</small> W<small>ELT, GLEICHEN DEM</small> B<small>RANDOPFER; SIE BENÖTIGEN DES</small> E<small>NTHÄUTENS, DES</small> Z<small>ERLEGENS UND WERDEN VOLLSTÄNDIG VERBRANNT</small>. <sup>iii,1</sup> W<small>ENN JEMAND EIN</small> W<small>EIBCHEN ALS</small> B<small>RANDOPFER ABGESONDERT UND ES EIN</small> M<small>ÄNNCHEN GEWORFEN HAT, SO LASSE MAN ES WEIDEN, BIS ES EIN</small> G<small>EBRECHEN BEKOMMT, SODANN IST ES ZU VERKAUFEN UND FÜR DEN</small> E<small>RLÖS EIN</small> B<small>RANDOPFER DARZUBRINGEN</small>. R. E<small>LEA͑ZAR SAGT, ES SELBST SEI ALS</small> B<small>RANDOPFER DARZUBRINGEN</small>."
Temurah 18b:6,"GEMARA. Wodurch unterscheidet sich der Anfangsatz, über den sie nicht streiten, vom Schlußsatze, über den sie streiten? Rabba b. Bar Ḥana erwiderte: Auch über jenen besteht der Streit, und da ist die Ansicht R. Elea͑zars vertreten. Raba erwiderte: Du kannst auch sagen, die der Rabbanan, denn sie streiten gegen R. Elea͑zar nur über den Fall, wenn man ein Weibchen als Brandopfer abgesondert hat, weil die Mutter nicht darzubringen ist, beim Eingetauschten aber, wobei die Mutter darzubringen ist, pflichten auch die Rabbanan bei. – Kann R. Elea͑zar denn gesagt haben, es. selbst sei als Brandopfer darzubringen, ich will auf einen Widerspruch hinweisen: Das Eingetauschte eines Schuldopfers, das Junge des Eingetauschten, ihr Junges und das Junge ihres Jungen, bis ans Ende der Welt, sind weiden zu lassen, bis sie ein Gebrechen bekommen, sodann sind sie zu verkaufen, und der Erlös falle der freiwilligen Spendenkasse zu. R. Elie͑zer sagt, man lasse sie verenden. R. Elea͑zar sagt, man bringe für den Erlös Brandopfer dar. Nur für den Erlös, sie selbst aber nicht!? R. Ḥisda erwiderte: R. Elea͑zar sagte es nacli der Ansicht der Rabbanan: nach meiner Ansicht ist auch das Junge als Brandopfer darzubringen, ihr aber, die ihr sagt, der Erlös sei als Brandopfer darzubringen, solltet mir doch beipflichten, daß der Überschuß$fn37freiwillige Spende des Privaten sei. Sie aber sprachen zu ihm: Der Überschuß falle der freiwilligen Spendenkasse der Gemeinde zu. Raba erwiderte: R. Elea͑zar sagt, es selbst sei als Brandopfer darzubringen, nur in dem Falle, wenn schon die Mutter den"
Temurah 19a:1,"Namen des Brandopfers$fn38trägt, beim Eingetauschten des Jungen eines Brandopfers aber, wobei die Mutter nicht den Namen des Brandopfers trägt, pflichtet R. Elea͑zar bei, daß nur für den Erlös [ein Brandopfer] darzubringen sei, nicht aber es selbst. Abajje wandle gegen ihn ein: Ist es denn nach R. Elea͑zar erforderlich, daß schon die Mutter den Namen des Brandopfers trage, es wird ja gelehrt: Wenn jemand ein Weibchen als Pesaḥopfer abgesondert hat, so ist es weiden zu lassen, bis es ein Gebrechen bekommt, sodann verkaufe man es und bringe für den Erlös ein Pesaḥopfer. Hat es geworfen, so ist es weiden zu lassen, bis es ein Gebrechen bekommt, sodann verkaufe man es und bringe für den Erlös ein Pesaḥopfer. Bleibt es bis nach dem Pesaḥfeste zurück, so lasse man es weiden, bis es ein Gebrechen bekommt, und für den Erlös bringe man ein Heilsopfer. Hat es geworfen, so lasse man [das Junge] weiden, bis es ein Gebrechen bekommt, sodann ist es zu verkaufen und für den Erlös ein Heilsopfer zu bringen. R. Elea͑zar sagt, es selbst sei als Heilsopfer darzubringen. Hierbei trägt ja die Mutter nicht den Namen des Heilsopfers, und R. Elea͑zar sagt, es sei als Heilsopfer darzubringen!? [Raba] erwiderte: Du sprichst von dem Falle, wenn nach dem Pesaḥfeste; anders ist es nach dem Pesaḥfeste, denn was vom Pesaḥfeste zurückbleibt, ist selbst als Heilsopfer darzubringen. – Demnach sollte er auch im Anfangsatze$fn39streiten!? Dieser erwiderte: Freilich, tatsächlich streitet er auch. Abajje erwiderte: Er streitet nicht. Es ist überliefert, daß das Junge da hinkommt, wo das Zurückbleibende hinkommt, somit ist nach dem Pesaḥfeste, wo das Zurückbleibende als Heilsopfer darzubringen ist, auch das Junge als Heilsopfer darzubringen, vor dem Pesaḥfeste aber, wo die Mutter nur als Geldwert$fn40des Pesaḥopfers heilig ist, ist auch das Junge als Geldwert des Pesaḥopfers heilig. R. U͑qaba b. Ḥama wandte ein: Sagen wir denn, wenn von der Mutter nur der Geldwert [heilig ist], sei es auch vom Jungen nur der Geldwert, es wird ja gelehrt: Wenn jemand ein Weibchen als Pesaḥopfer abgesondert hat, so sind es und seine Jungen weiden zu lassen, bis sie ein Gebrechen bekommen, sodann sind sie zu verkaufen und für den Erlös ist ein Pesaḥopfer zu bringen. R. Elea͑zar sagt, es selbst sei als Pesaḥopfer darzubringen. Hierbei ist ja von der Mutter nur der Geldwert heilig, und R. Elea͑zar sagt, es selbst sei als Pesaḥopfer darzubringen und man lasse es nicht beim Zustande der Mutter!? Rabina erwiderte: Hier wird von dem Falle gesprochen, wenn jemand ein trächtiges Vieh abgesondert hat. R. Elea͑zar ist der Ansicht R. Jofranans, welcher sagt, hat man [die Geburt]$fn41zurückgelassen, sei sie zurückgelassen, denn die Geburt ist nicht Glied der Mutter. Nur die Mutter ist nicht körperlich heilig, [das Junge] aber ist heilig. Mar Zuṭra, Sohn des R. Mari, sprach zu Rabina: Dies ist einleuchtend, daß hier von einem trächtigen Vieh gesprochen wird, denn es lehrt: es und seine Jungen. Schließe hieraus."
Temurah 19a:2,"R. Jose b. R. Ḥanina sagte: R. Elea͑zar pflichtet bei, daß, wenn man ein"
Temurah 19b:1,"Weibchen als Schuldopfer abgesondert hat, das Junge nicht als Schuldopfer darzubringen$fn42sei. – Selbstverständlich, R. Elea͑zar sagt es ja nur von dem Falle, wenn man ein Weibchen als Brandopfer abgesondert hat, wo die Mutter den Namen des Brandopfers trägt, wenn man ein Weibchen als Schuldopfer abgesondert hat, wo die Mutter nicht den Namen des Brandopfers trägt, pflichtet auch R. Elea͑zar bei, daß es nicht als Schuldopfer darzubringen sei!? – Wenn er es uns nicht gelehrt hätte, könnte man glauben, der Grund R. Elea͑zars sei nicht, weil die Mutter den Namen des Brandopfers trägt, sondern weil das Junge zur Darbringung geeignet ist, und auch dieses ist zur Darbringung geeignet. – Wieso lehrt er uns demnach, daß das Junge nicht als Schuldopfer darzubringen sei, sollte er doch lehren, daß das Junge$fn43nicht als Brandopfer darzubringen sei, und folglich$fn44auch nicht als Schuldopfer!? – Würde er ‘als Brandopfer’ gelehrt haben, so könnte man glauben, nur als Brandopfer sei es nicht darzubringen, weil die Mutter nicht als Brandopfer$fn45geheiligt worden ist, als Schuldopfer aber sei das Junge darzubringen, so lehrt er uns."
Temurah 19b:2,"<sup>iii,2</sup> <b>W</b><small>ENN JEMAND EIN</small> W<small>EIBCHEN ALS</small> S<small>CHULDOPFER</small>$fn42<small>ABGESONDERT HAT, SO M IST ES WEIDEN ZU LASSEN, BIS ES EIN</small> G<small>EBRECHEN BEKOMMT, SODANN ZU VERKAUFEN, UND FÜR DEN</small> E<small>RLÖS BRINGE MAN EIN</small> S<small>CHULDOPFER; HAT ER SEIN</small> S<small>CHULDOPFER BEREITS DARGEBRACHT, SO KOMME SEIN</small> E<small>RLÖS ZUR FREIWILLIGEN</small> S<small>PENDENKASSE</small>. R. Š<small>IMO͑N SAGT, ES SEI FEHLERFREI ZU VERKAUFEN</small>$fn46."
Temurah 19b:3,"GEMARA. Wieso ist es zu verkaufen, erst wenn es ein Gebrechen bekommt, wenn es als solches nicht verwendbar ist, so ist ja schon dies ein Gebrechen!? R. Jehuda erwiderte im Namen Rabhs: Aus folgendem Grunde: wir sagen, da sein Geldwert von der Heiligkeit erfaßt worden ist, wird es auch körperlich von der Heiligkeit erfaßt. Raba sagte: Dies besagt, daß, wenn man ein Männchen wegen seines Geldwertes geheiligt hat, es auch körperlich$fn47heilig sei. Es wurde gelehrt: Hat man ein Männchen wegen seines Geldwertes geheiligt, so ist es, wie R. Kahana sagt, körperlich heilig, und wie Raba sagt, nicht körperlich heilig. Raba aber trat zurück und bekannte sich zur Ansicht R. Kahanas, wegen der Lehre des R. Jehuda im Namen Rabhs."
Temurah 19b:4,"R. Š<small>IMO͑N SAGT, ES SEI FEHLERFREI ZU VERKAUFEN</small>. R. Ḥija b. Abin sprach zu R. Joḥanan: Wenn sein Geldwert von der Heiligkeit erfaßt wird, sollte es auch körperlich von der Heiligkeit erfaßt werden!? Dieser erwiderte: R. Šimo͑n vertritt hierbei seine Ansicht, denn er sagt, was körperlich [für den Zweck] nicht geeignet ist, wird nicht körperlich von der Heiligkeit erfaßt. Es wird nämlich gelehrt: Wenn man ein erstjährig darzubringendes Schuldopfer$fn48zweitjährig oder ein zweitjährig darzubringendes erstjährig dargebracht hat, so ist es tauglich, jedoch hat der Eigentümer sich seiner Pflicht nicht entledigt. R. Šimo͑n sagt, sie seien an sich nicht heilig. – Dem das Alter$fn49noch fehlt, ist ja an sich ungeeignet, und R. Šimo͑n sagt, es sei heilig$fn50!? – Anders ist es bei dem, dem das Alter noch fehlt, da es morgen tauglich ist. – Demnach ist ja auch ein zweitjährig darzubringendes Schuldopfer, das man erstjährig dargebracht hat, nach einem Jahre tauglich!? – Vielmehr, folgendes ist der Grund R. Šimo͑ns bei dem, dem das Alter noch fehlt: er folgert es vom Erstgeborenen. Es wird nämlich gelehrt: R. Šimo͑n b. Jehuda sagte im Namen des R. Šimo͑n: Dem das Alter noch fehlt, komme in die Hürde, um verzehntet zu werden. Dieses gleicht dem Erstgeborenen: wie das Erstgeborene vor Erlangung des Alters$fn51heilig ist und nachher dargebracht wird, ebenso ist, dem das Alter noch fehlt, vor Erlangung des Alters heilig und nachher darzubringen."
Temurah 19b:5,"Die Rabbanan lehrten: Wenn jemand ein Weibchen als Rrandopfer$fn52geheiligt hat oder als Pesaḥopfer oder als Schuldopfer, so kann bei diesen"
Temurah 20a:1,"ein Umtausch erfolgen. R. Šimo͑n sagt, wenn als Brandopfer, könne ein Umtausch erfolgen, wenn als Pesaḥopfer oder als Schuldopfer, könne kein Umtausch erfolgen, denn ein Umtausch kann nur bei dem erfolgen, was man [eventuell]$fn53weiden lassen muß, bis es ein Gebrechen$fn54bekommt. Rabbi sprach: Mir leuchten die Worte R. Šimo͑ns nicht ein beim Pesaḥopfer, weil das Übrigbleibende$fn40des Pesaḥopfers als Heilsopfer darzubringen ist. – Sollte er doch sagen: mir leuchten die Worte R. Šimo͑ns nicht ein beim Schuldopfer, weil der Überschuß des Schuldopfers als Brandopfer darzubringen ist!? – Rabbi ist der Ansicht der Rabbanan, welche sagen, die Überschüsse fallen der freiwilligen Spendenkasse der Gemeinde zu und eine Gemeinde kann nicht umtauschen. Er$fn55glaubte, folgendes sei der Grund des R. Šimo͑n: bei der Absonderung eines Weibchens als Brandopfer kann deshalb Umtausch erfolgen, weil auch ein solches Brandopfer heißen kann, nämlich das Vogel-Brandopfer. – Demnach sollte doch, wenn der Hochpriester eine Kuh statt seines Farren$fn56abgesondert hat, diese heilig sein, denn es gibt ja die Entsündigungskuh$fn57!? – Diese ist Heiliges des Tempelreparaturfonds$fn58, und beim Heiligen des Tempelreparaturfonds’ gibt es keinen Umtausch. – Wenn ein einzelner einen Ziegenbock statt einer Ziege$fn59abgesondert hat, sollte er doch heilig sein, denn es gibt ja den Ziegenbock des Fürsten$fn60!? Oder wenn der Fürst eine Ziege statt eines Ziegenbockes abgesondert hat, sollte sie doch heilig sein, denn der einzelne sondert ja eine Ziege ab!? – Diese sind zwei verschiedene Personen$fn61. – Sollte doch, wenn er die Sünde vor seiner Einsetzung$fn62begangen und einen Ziegenbock statt einer Ziege abgesondert hat, dieser heilig sein, denn wenn er die Sünde jetzt begangen hätte, hätte er ja einen Ziegenbock darzubringen$fn63!? – Er hat ja jetzt die Sünde nicht begangen und ist somit zu einem Ziegenbocke nicht verpflichtet. – Demnach hat ja auch jener$fn64kein Vogel-Brandopfer darzubringen!? – R. Šimo͑n ist der Ansicht des R. Elea͑zar b. A͑zarja, denn wir haben gelernt: [Sagte jemand:] ich nehme auf mich ein Brandopfer, so bringe er ein Lamm; R. Elea͑zar b. A͑zarja sagt, [sogar] eine Turteltaube oder eine junge Taube."
Temurah 20a:2,"Dort haben wir gelernt: Wenn jemand sein Vermögen dem Heiligtume geweiht hat und darunter sich für den Altar geeignetes männliches und weibliches Vieh befindet, so sind, wie R. Elie͑zer sagt, die männliches für Brandopfer und die weiblichen für Heilsopfer zu verkaufen, und der Erlös fällt mit dem übrigen Vermögen dem Tempelreparaturfonds zu. R. Jehošua͑ sagt, die männlichen sind selber für Brandopfer darzubringen und die weiblichen für Heilsopfer zu verkaufen und für den Erlös Brandopfer darzubringen, und das übrige Vermögen fällt dem Tempelreparaturfonds zu. R. Ḥija b. Abba sprach zu R. Joḥanan: Wieso sind nach R. Jehošua͑, welcher sagt, die männlichen seien als Brandopfer darzubringen, die weiblichen als Heilsopfer$fn65darzubringen, sie kommen ja von einer verdrängten$fn66Heiligkeit!? Eine andere Lesart: R. Ḥija b. Abba sprach zu R. Joḥanan: Wenn R. Jehošua͑ sagt, die männlichen seien als Brandopfer darzubringen, so sind sie ja körperlich heilig, wieso sind demnach die weiblichen für Heilsopfer zu verkaufen, sie sind ja weiden zu lassen!? Dieser erwiderte ihm: R. Jehošua͑ ist der Ansicht R. Šimo͑ns, welcher sagt, was körperlich ungeeignet ist, werde körperlich von der Heiligkeit nicht erfaßt. Wir haben nämlich gelernt: R. Šimo͑n sagt, es sei fehlerfrei zu verkaufen. [Und wir erklärten den Grund] R. Šimo͑ns: da ein Weibchen als Schuldopfer nicht verwendbar ist, wird es nicht körperlich von der Heiligkeit erfaßt. – Allerdings sagt es R. Šimo͑n von einem Weibchen"
Temurah 20b:1,"als Schuldopfer, wobei die Mutter nicht den Namen eines Schuldopfers$fn67trägt, bei einem Weibchen als Brandopfer aber, wobei die Mutter den Namen des Brandopfers$fn68trägt, pflichtet auch R. Šimo͑n bei!? Ferner wissen wir ja, daß R. Šimo͑n der Ansicht ist, beim Brandopfer$fn69könne Umtausch$fn70erfolgen!? Dieser erwiderte: R. Jehošua͑ hält es mit einem anderen Lehrer der Ansicht R. Šimo͑ns, denn es wird gelehrt: R. Šimo͑n b. Jehuda sagte im Namen R. Šimo͑ns, auch bei einem Brandopfer könne kein Umtausch erfolgen."
Temurah 20b:2,"<sup>iii,3</sup> D<small>AS</small> E<small>INGETAUSCHTE EINES</small> S<small>CHULDOPFERS, DAS</small> J<small>UNGE DES</small> E<small>INGETAUSCHTEN, IHRE</small> J<small>UNGEN UND DIE</small> J<small>UNGEN IHRER</small> J<small>UNGEN, BIS ANS</small> E<small>NDE DER</small> W<small>ELT, SIND WEIDEN ZU LASSEN, BIS SIE EIN</small> G<small>EBRECHEN BEKOMMEN, SODANN ZU VERKAUFEN, UND DER</small> E<small>RLÖS FÄLLT DER FREIWILLIGEN</small> S<small>PENDENKASSE ZU</small>; R. E<small>LIE͑ZER SAGT, SIE SEIEN VERENDEN ZU LASSEN</small>; R. E<small>LEAZAR SAGT, MAN BRINGE FÜR DEN</small> E<small>RLÖS</small> B<small>RANDOPFER</small>. E<small>IN</small> S<small>CHULDOPFER, DESSEN</small> E<small>IGENTÜMER GESTORBEN IST, ODER DESSEN</small> E<small>IGENTÜMER</small> S<small>ÜHNE ERLANGT</small>$fn71<small>HAT, IST WEIDEN ZU LASSEN, BIS ES EIN</small> G<small>EBRECHEN BEKOMMT, SODANN ZU VERKAUFEN, UND DER</small> E<small>RLÖS FÄLLT DER FREIWILLIGEN</small> S<small>PENDENKASSE ZU</small>. R. E<small>LIE͑ZER SAGT, ES SEI VERENDEN ZU LASSEN</small>; R. E<small>LEA͑ZAR SAGT, MAN BRINGE FÜR DEN</small> E<small>RLÖS EIN</small> B<small>RANDOPFER</small>. <sup>iv</sup> A<small>UCH DAS FREIWILLIGE</small> [O<small>PFER</small>] <small>IST JA EI</small> B<small>RANDOPFER, WELCHEN</small> U<small>NTERSCHIED GIBT ES DEMNACH ZWISCHEN</small> R. E<small>LEA͑ZAR UND DEN</small> W<small>EISEN</small>? I<small>N FOLGENDEM: IST ES EIN</small> B<small>RANDOPFER, SO MUSS ER STÜTZEN, DAZU</small> G<small>USSOPFER BRINGEN, DAS</small> G<small>USSOPFER VON SEINEM, UND IST ER</small> P<small>RIESTER, SO ERFOLGT DIE</small> H<small>ERRICHTUNG DURCH IHN SELBER UND DIE</small> H<small>AUT GEHÖRT IHM; WENN ABER VON DER FREIWILLIGEN</small> S<small>PENDENKASSE, SO STÜTZE ER NICHT UND BRINGE DAZU NICHT DAS</small> G<small>USSOPFER, VIELMEHR IST DAS</small> G<small>USSOPFER AUS</small> G<small>EMEINDEMITTELN ZU BRINGEN, UND AUCH WENN ER</small> P<small>RIESTER IST, ERFOLGT DIE</small> H<small>ERRICHTUNG DURCH DIE</small> P<small>RIESTERWACHE, DER AUCH DIE</small> H<small>AUT GEHÖRT</small>."
Temurah 20b:3,"GEMARA. Und beides$fn72ist nötig. Würde er es nur vom Schuldopfer gelehrt hahen, so könnte man glauben, R. Elie͑zer sei nur bei diesem der Ansicht, daß es verenden zu lassen sei, weil er beim Falle nach der Sühne den Fall vor der Sühne berücksichtigt, beim Eingetauschten eines Schuldopfers$fn73und dem Jungen des Eingetauschten aber pflichte er den Rabbanan bei. Und würde er es nur von diesem gelehrt haben, so könnte man glauben, die Rabbanan vertreten ihre Ansicht nur bei diesem, beim Schuldopfer aber pflichten sie R. Elie͑zer bei. Daher ist beides nötig."
Temurah 20b:4,"R. Naḥman sagte im Namen des Rabba b. Abuha: Der Streit besteht nur über den Fall nach der Sühne, vor der Sühne aber stimmen alle überein, daß es selbst als Schuldopfer darzubringen sei. Raba sprach: Dagegen ist zweierlei einzuwenden: erstens erlangt niemand Sühne durch das, was von einer Sünde$fn74kommt, und zweitens lehrte R. Ḥananja$fn75eine Stütze für R. Jehošua͑ b. Levi: das erste Junge ist darzubringen, das zweite Junge ist nicht darzubringen. – Vielmehr, ist dies gelehrt worden, so wird es wie folgt lauten: R. Naḥman sagte im Namen des Rabba b. Abuha: Der Streit besteht nur über den Fall vor der Sühne, nach der Sühne aber ist es selbst als Brandopfer darzubringen. – R. Ḥananja lehrte ja aber eine Stütze für R. Jehošua͑ b. Levi!? – Ein Einwand."
Temurah 20b:5,"R. Abin b. Ḥija fragte R. Abin b. Kahana: Darf, wenn man ein Weibchen als Schuldopfer abgesondert hat, sein Junges als Brandopfer dargebracht werden? – Sollte er es ihm doch aus einer Lehre des R. Jose b. R. Ḥanina entschieden haben, denn dieser sagte, R. Elie͑zer pflichte$fn76bei!? – Er hatte es nicht gehört. – Wie ist es nun? Dieser erwiderte: Das Junge ist als Brandopfer darzubringen. – Was soll dies: R. Elea͑zar sagt es ja nur von dem Falle, wenn man ein Weibchen als Brandopfer abgesondert hat, wo die Mutter den Namen eines Brandopfers trägt, beim Schuldopfer aber, wo die Mutter nicht den Namen eines Brandopfers trägt, pflichtet auch R. Elea͑zar bei!? Dieser erwiderte: Der Grund R. Elea͑zars ist nicht, weil die Mutter den Namen eines Brandopfers trägt, sondern weil es zur Darbringung geeignet ist, und auch dieses ist zur Darbringung geeignet. Er wandte gegen ihn ein: Für den Erlös ihrer$fn77Jungen und der Jungen ihrer Jungen, bis ans Ende der Welt, ist [ein Brandopfer] darzubringen."
Temurah 21a:1,"– Nur für den Erlös, sie selber aber nicht!? – Hier wird von dem Falle gesprochen, wenn es ein Weibchen geworfen hat. – Sollte es bis ans Ende der Welt auch nicht ein Männchen sein!? Dieser erwiderte: Ich will dir eine gesuchte babylonische Antwort geben: wenn es bis ans Ende der Welt nur Weibchen sind."
Temurah 21a:2,"<sup>v</sup> <b>D</b><small>AS</small> E<small>INGETAUSCHTE DES</small> E<small>RSTGEBORENEN UND DES</small> Z<small>EHNTEN, IHRE</small> J<small>UNGEN UND DIE</small> J<small>UNGEN IHRER</small> J<small>UNGEN, BIS ANS</small> E<small>NDE DER</small> W<small>ELT, GLEICHEN DEM</small> E<small>RSTGEBORENEN UND DEM</small> Z<small>EHNTEN, UND SIE DÜRFEN FEHLERBEHAFTET VOM</small> E<small>IGENTÜMER GEGESSEN WERDEN</small>. W<small>ELCHEN</small> U<small>NTERSCHIED GIBT ES ZWISCHEN</small> E<small>RSTGEBORENEM UND</small> Z<small>EHNTEM UND ALLEN ANDEREN</small> O<small>PFERTIEREN</small>? A<small>LLE</small> O<small>PFERTIERE WERDEN IM</small> S<small>CHARREN VERKAUFT, IM</small> S<small>CHARREN GESCHLACHTET UND NACH</small> L<small>ITRA</small>$fn78<small>AUSGEWOGEN, AUSGENOMMEN DAS</small> E<small>RSTGEORENE UND DER</small> Z<small>EHNT; FÜR JENE GIBT ES EINE</small> A<small>USLÖSUNG UND FÜR IHR</small> E<small>INGETAUSCHTES EINE</small> A<small>USLÖSUNG, AUSGENOMMEN DAS</small> E<small>RSTGEBORENE UND DER</small> Z<small>EHNT; JENE KÖNNEN AUS DEM</small> A<small>USLANDE EINGEFÜHRT WERDEN, AUSGENOMMEN DAS</small> E<small>RSTGEBORENE UND DER</small> Z<small>EHNT</small>. S<small>IND SIE BEREITS EINGEFÜHRT WORDEN, SO SIND SIE, WENN FEHLERFREI, DARZUBRINGEN, UND WENN FEHLERBEHAFTET</small>, (<small>FEHLERBEHAFTET</small>) <small>VOM</small> E<small>IGENTÜMER ZU ESSEN</small>. R. Š<small>IMO͑N SPRACH</small>: D<small>IES AUS DEM</small> G<small>RUNDE, WEIL DAS</small> E<small>RSTGEBORENE UND DER</small> Z<small>EHNT EINE</small> V<small>ERSORGUNG VON SICH AUS</small>$fn79<small>HABEN, ANDERE</small> O<small>PFERTIERE ABER BLEIBEN BEI IHRER</small> H<small>EILIGKEIT, AUCH WENN SIE EINEN</small> L<small>EIBESFEHLER BEKOMMEN</small>."
Temurah 21a:3,"GEMARA. Raba b. R. A͑za sagte: Im Westen fragten wir: Wie ist es, wenn man dem Eingetauschten der Erstgeburt oder des Zehnten einen Leibesfehler beibringt: sagen wir, da sie nicht dargebracht werden, sei man nicht schuldig, oder aber ist man schuldig, da sie heilig sind? Abajje sprach zu ihm: Du solltest doch fragen, wie es denn sei, wenn man dem als zehntes bezeichneten neunten$fn80einen Leibesfehler beibringt. Vielmehr ist es dir hinsichtlich des neunten deshalb nicht fraglich, weil der Allbarmherzige es ausgeschlossen hat:$fn81<i>das zehnte,</i> dies schließt das neunte aus, ebenso hat der Allbarmherzige diese ausgeschlossen:$fn82<i>sollst du nicht auslösen, denn sie sind heilig</i>, sie sind darzubringen, nicht aber ist ihr Eingetauschtes darzubringen!? R. Naḥman b. Jiçḥaq lehrte es wie folgt: R. Aḥa, Sohn des R. A͑za, sagte: Im Westen fragten wir: Wie ist es, wenn man dem als zehntes bezeichneten neunten einen Leibesfehler beibringt? Dieser sprach zu ihm: Du solltest doch fragen, wie es denn sei, wenn man dem Eingetauschten des Erstgeborenen und des Zehnten einen Leibesfehler beibringt. Vielmehr ist es dir hinsichtlich des Eingetauschten des Erstgeborenen und des Zehnten deshalb nicht fraglich, weil der Allbarmherzige es ausgeschlossen hat: <i>sie sind heilig</i>, sie sind darzubringen, nicht aber ist ihr Eingetauschtes darzubringen, ebenso hat der Allbarmherzige das als zehntes bezeichnete neunte ausgeschlossen: <i>das zehnte</i>, dies schließt das neunte aus."
