Index Title,II Kings
II Kings 11:2,"Jehoszeba jednak, córka Jorama, siostra Achazjasza, wziąwszy Joasza, syna Achazjasza, usunęła go z pośród królewiczów na śmierć skazanych i ukryła wraz z karmicielką jego w pokoju sypialnym. I tak ukryto go przed Atalją, że zabity nie został. "
II Kings 11:3,"I był u niej w przybytku Wiekuistego schowany przez sześć lat, podczas gdy Atalja nad krajem panowała. "
II Kings 11:4,"Siódmego roku jednak wysłał Jehojada i sprowadził setników, karejczyków i drabantów, i przywiódł ich do siebie, do przybytku Wiekuistego. Poczem zawarł z nimi umowę uroczystą i odebrał od nich przysięgę w przybytku Wiekuistego, i ukazał im królewicza. "
II Kings 11:5,"Następnie polecił im, i rzekł: Oto co czynić macie: Trzecia część z was, którzy występujecie z przybytku w sobotę, aby stanąć strażą przy pałacu królewskim, "
II Kings 11:6,"Mianowicie trzecia część przy bramie Sur, a trzecia część przy bramie za drabantami, aby stanąć strażą przy pałacu, jako straż luzująca się -  "
II Kings 11:7,"Wraz z dwoma innymi oddziałami i z pośród was, czyli wszystkimi występującymi w sobotę, by stanąć strażą przy przybytku Wiekuistego przy królu. "
II Kings 11:8,"Wy wszyscy otoczycie króla dokoła, każdy z bronią swą w ręku; a ktoby w szeregi wtargnął, zginie. I tak staniecie przy królu gdy wyjdzie z przybytku, a wnijdzie do pałacu. "
II Kings 11:9,"I uczynili setnicy tak, jak polecił im Jehojada, kapłan, i zabrali każdy ludzi swoich, zarówno występujących w sobotę, jak i wstępujących w sobotę, i przybyli do Jehojady, kapłana. "
II Kings 11:10,"Poczem wydał kapłan setnikom włócznie i puklerze króla Dawida, które znajdowały się w przybytku Wiekuistego. "
II Kings 11:11,"I ustawili się drabanci, każdy z bronią swą w ręku, od strony prawej przybytku do strony lewej przybytku, wokoło ołtarza i przybytku, otaczając króla zewsząd. "
II Kings 11:12,"Poczem wyprowadził królewicza i włożył mu dyadem i klejnoty i ogłosili go królem i pomazali go, a klaskając w dłonie, wołali: Niech żyje król! "
II Kings 11:13,"A gdy usłyszała Atalja okrzyk drabantów i ludu, przybyła do ludu, do przybytku Wiekuistego. "
II Kings 11:14,"I spojrzała, a oto stał król przy kolumnie podług zwyczaju, a wodzowie i trębacze przy królu, podczas gdy cały lud kraju się radował i dął w trąby, rozdarła wtedy Atalja szaty swoje, i zawołała: Sprzysiężenie, sprzysiężenie! "
II Kings 11:15,"Jehojada jednak, kapłan, rozkazał setnikom, przełożonym wojska, i rzekł do nich: Wyprowadźcie ją aż pomiędzy szeregi, a ktoby poszedł za nią, tego zabijcie mieczem! Rzekł bowiem kapłan, aby nie zabijano jej w przybytku Wiekuistego. "
II Kings 11:16,"Zrobili jej tedy miejsce wolne i przybyła przez wejście dla koni do pałacu królewskiego, i zabito ją tam. "
II Kings 11:17,"Poczem zawarł Jehojada przymierze między Wiekuistym, królem a ludem, aby był ludem Wiekuistego; niemniej między królem a ludem. "
II Kings 11:18,"I wszedł wszystek lud pospolity do przybytku Baala i zburzyli go; ołtarze jego i posągi skruszyli do szczętu, Matana też, kapłana Baala, zabili przed ołtarzami. I przywrócił kapłan urzędy przy przybytku Wiekuistego. "
II Kings 11:19,"Poczem wziął setników i karejczyków i gońców i wszystek lud pospolity, i sprowadzili króla z przybytku Wiekuistego, i poszli drogą bramy gońców do pałacu królewskiego, i zasiadł na stolicy królów. "
II Kings 11:20,"I weselił się wszystek lud kraju, a miasto się uspokoiło. Atalję zaś zabili mieczem w pałacu królewskim. "
II Kings 11:21,"Siedm lat miał Joasz, gdy panowania dostąpił. "
II Kings 12:1,"Siódmego roku Jehy, objął rządy Joasz, a czterdzieści lat panował w Jerozolimie; imię zaś matki jego - Cybja z Beer-Szeby. "
II Kings 12:2,"I uczynił Joasz co prawem było w oczach Wiekuistego po wszystkie dni swoje, póki uczył go Jehojada, kapłan. "
II Kings 12:3,Tylko wyżyny nie zostały zniesione; wciąż jeszcze lud ofiarował i kadził na onych wyżynach. 
II Kings 12:4,"I rzekł Joasz do kapłanów: Wszelkie pieniądze poświęcone, składane w przybytku Wiekuistego, pieniądze przechodzących ku spisowym, pieniądze z oceny osób, niemniej wszelkie pieniądze, które ktokolwiek dobrowolnie zaofiaruje by je złożył w przybytku Wiekuistego, "
II Kings 12:5,"Zabiorą sobie kapłani, każdy od znajomego swego, lecz zato naprawią oni uszkodzenia przybytku, wszędzie gdzieby się okazało uszkodzenie. "
II Kings 12:6,"Gdy wszakże roku dwudziestego i trzeciego króla Joasza, kapłani wciąż jeszcze nie naprawiali uszkodzeń przybytku, "
II Kings 12:7,"Wezwał tedy król Joasz Jehojadę kapłana i innych kapłanów, i rzekł do nich: Czemu nie naprawiacie uszkodzeń przybytku? otóż odtąd nie pobierajcie pieniędzy od znajomych waszych, chyba gdybyście na naprawę uszkodzeń przybytku je oddawali. "
II Kings 12:8,"Postanowili jednak kapłani, żeby nie pobierali pieniędzy od ludu i żeby nie naprawiali uszkodzeń przybytku. "
II Kings 12:9,"Przygotował przeto Jehojada, kapłan, skrzynię i zrobił otwór w wieku jej i umieścił ją przy ołtarzu po prawej stronie; i gdy wchodził ktokolwiek do przybytku Wiekuistego, kładli tam kapłani, trzymający straż u progu, wszystkie pieniądze, wnoszone do przybytku Wiekuistego. "
II Kings 12:10,"A gdy miarkowali, że dużo pieniędzy w skrzyni, wtedy wchodził kanclerz królewski i kapłan najwyższy i zebrali je, przeliczywszy pieniądze, które się znajdowały w przybytku Wiekuistdgo. "
II Kings 12:11,"I oddawali pieniądze odliczone w ręce zarządzających robotą, ustanowionych w przybytku Wiekuistego, a ci rozdawali je cieślom i budowniczym, którzy robili w przybytku Wiekuistego, "
II Kings 12:12,"I murarzom i kamieniarzom i na zakup budulca i kamienia ciosanego, ku naprawie uszkodzeń w przybytku Wiekuistego, w ogóle na wszystko, co wydatkowano na przybytek dla konserwacji jego. "
II Kings 12:13,"Wszakże nie sporządzano do przybytku Wiekuistego miednic srebrnych, szczypiec, kropielnic, trąb albo innych naczyń złotych lub srebrnych z pieniędzy, które przynoszono do przybytku Wiekuistego. "
II Kings 12:14,"Lecz rzemieślnikom oddawano je, aby utrzymywali za nie przybytek Wiekuistego. "
II Kings 12:15,"Nie obliczano się też z ludźmi, w których ręce powierzano pieniądze, aby je oddawali rzemieślnikom, gdyż rzetelnie postępowali. "
II Kings 12:16,Pieniądze za ofiary pokutne i pieniądze za ofiary zagrzeszne nie były wnoszone do przybytku Wiekuistego; kapłanom się dostawały. 
II Kings 12:17,"Wtedy nadciągnął Hazael, król aramejski, i uderzył na Gat i zdobył je. Ale gdy zwrócił Hazael oblicze swe, aby wyruszyć przeciw Jerozolimie, "
II Kings 12:18,"Wziął Joasz, król judzki, wszystkie dary poświęcone, które poświęcili byli ojcowie jego, Jozafat i Joram i Achazjasz, królowie judzcy, jak i własne swe dary poświęcone, a niemniej wszystko złoto, znajdujące się w skarbcach przybytku Wiekuistego i pałacu królewskiego i przesłał je Hazaelowi, królowi aramejskiemu. Ustąpił tedy od Jerozolimy. "
II Kings 12:19,"A co do innych spraw Joasza i wszystkiego, czego dokonał, spisano to wszak, w księdze dziejów królów judzkich. "
II Kings 12:20,"Powstali zaś słudzy jego i uknuli spisek i zamordowali Joasza w Bet-Millo, które przy znijściu do Silla. "
II Kings 12:21,"Jozachar mianowicie, syn Szymeata, i Jehozabad, syn Szomera, słudzy jego, zranili go na śmierć; i pochowano go przy ojcach jego w mieście Dawida. I objął rządy syn jego, Amacjasz, miasto niego. "
II Kings 13:1,"Roku dwudziestego trzeciego Joasza, syna Achazjasza, króla judzkiego, objął rządy Jehoachaz, syn Jehy, nad Izraelem w Samaryi, a panował lat siedmnaście. "
II Kings 13:2,"I czynił co niegodziwem było w oczach Wiekuistego; szedł bowiem w grzechach Jerobeama, syna Nebata, którymi uwiódł Izraela, nie odstępował od nich. "
II Kings 13:3,"Wspłonął tedy gniew Wiekuistego przeciw Izraelitom i wydał ich w moc Hazaela, króla aramejskiego, i w moc Benhadada, syna Hazaela, po wszystkie one dni. "
II Kings 13:4,"Błagał jednak Jehoachaz oblicze Wiekuistego i wysłuchał go Wiekuisty; wejrzał bowiem na ucisk synów Izraela, ponieważ uciskał ich król aramejski. "
II Kings 13:5,"I dał Wiekuisty Izraelitom oswobodziciela, i wyzwolili się z pod władzy Aramejczyków; i tak mieszkali synowie Izraela w namiotach swoich jak przedtem. "
II Kings 13:6,"Wszakże nie odstępowali oni od grzechów Jerobeama, którymi uwiódł był Izraela; lecz postępowali w nich, a nawet Astarta pozostała w Samaryi. "
II Kings 13:7,"Jakkolwiek nie zostawił Wiekuisty Jehoachazowi ludu wojennego, z wyjątkiem pięćdziesięciu jezdnych, dziesięciu wozów wojennych i dziesięciu tysięcy pieszych, gdyż wygubił ich król aramejski i uczynił ich niby proch dla tratowania. "
II Kings 13:8,"A co do innych spraw Jehoachaza, i wszystkiego czego dokonał, i czynów jego dzielnych, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 13:9,"I spoczął Jehoachaz przy ojcach swoich i pochowano go w Samaryi. I objął rządy syn jego, Joasz, miasto niego. "
II Kings 13:10,"Trzydziestego siódmego roku Joasza, króla judzkiego, objął rządy Joasz, syn Jehoachaza, nad Izraelem w Samaryi; panował zaś szesnaście lat. "
II Kings 13:11,"I czynił co niegodziwem było w oczach Wiekuistego, nie odstępował od wszystkich grzechów Jerobeama, którymi uwiódł Izraela; w nich postępował. "
II Kings 13:12,"A co do innych spraw Joasza, i wszystkiego czego dokonał i czynów jego dzielnych, którymi wojował z Amacjaszem, królem judzkim, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 13:13,"I spoczął Joasz przy ojcach swoich, a zasiadł Jerobeam na tronie jego, i pochowany został Joasz w Samaryi przy królach izraelskich. "
II Kings 13:14,"Gdy jednak popadł Elisza w chorobę, na którą miał umrzeć, zstąpił do niego Joasz, król izraelski, i zapłakał nad obliczem jego i zawołał: Ojcze mój, ojcze, wozie wojenny Izraela i konnico jego! "
II Kings 13:15,Elisza zaś rzekł do niego: Przynieś łuk i strzały! Przyniósł mu tedy łuk i strzały. 
II Kings 13:16,"I rzekł do króla izraelskiego: Połóż rękę swą na łuku! Gdy to uczynił, włożył Elisza ręce swe na ręce króla. "
II Kings 13:17,"Poczem rzekł: Otwórz okno ku wschodowi! A gdy je otworzył, rzekł Elisza: Strzelaj! I wystrzelił. On zaś rzekł: Strzała zwycięstwa od Wiekuistego! Tak strzała zwycięstwa nad Aramem! Masz wszak w Afek pobić Aramejczyków do szczętu. "
II Kings 13:18,Poczem rzekł: Zabierz te strzały! I zabrał je. Rzekł tedy do króla izraelskiego: Uderz niemi o ziemię. Uderzył tedy trzykrotnie i zatrzymał się. 
II Kings 13:19,"I rozgniewał się nań mąż Boży, i rzekł: Powinieneś był pięć albo sześć razy uderzyć, a wtedy pobiłbyś Aramejczyków do szczętu; teraz jednak pobijesz tylko trzykrotnie Aramejczyków. "
II Kings 13:20,Umarł tedy Elisza i pochowano go. Następnego roku wtargnęły najezdnicze oddziały Moabitów do kraju. 
II Kings 13:21,"Gdy właśnie pochować mieli jakiegoś człowieka, spostrzegli nagle oddział najezdniczy. Rzucili tedy owego człowieka do grobu Eliszy; gdy tenże człowiek spadł i dotknął się kości Eliszy, ożył i powstał na nogi swoje. "
II Kings 13:22,"Hazael zaś, król aramejski, uciskał Izraelitów po wszystkie dni Jehoachaza. "
II Kings 13:23,"Wiekuisty jednak okazał im łaskę i zmiłował się nad nimi, i zwrócił się znowu do nich gwoli przymierzu swojemu z Abrahamem, Izaakiem i Jakóbem i nie chciał ich zgładzić i nie porzucił ich dotąd jeszcze z przed oblicza swojego. "
II Kings 13:24,"Gdy tedy umarł Hazael, król aramejski, a został królem syn jego, Benhadad, miasto niego, "
II Kings 13:25,"Odebrał Joasz, syn Jehoachaza, Benhadadowi, synowi Hazaela, miasta, które tenże oderwał od Jehoachaza, ojca jego, na wojnie. Trzykrotnie pobił go Joasz i odebrał napowrót miasta izraelskie. "
II Kings 14:1,"Drugiego roku Joasza, syna Jehoachaza, króla izraelskiego, objął rządy Amacjasz, syn Joasza, króla judzkiego. "
II Kings 14:2,"Dwadzieścia pięć lat miał, gdy rządy objął, a dwadzieścia i dziewięć lat panował w Jerozolimie. Imię zaś matki jego Jehoadan z Jerozolimy. "
II Kings 14:3,"I czynił co prawem było w oczach Wiekuistego, jakkolwiek nie tak jak praojciec jego, Dawid; postępował raczej zupełnie jak ojciec jego, Joasz. "
II Kings 14:4,"Tylko że wyżyny usunięte nie zostały, lud ofiarował i palił jeszcze wciąż kadzidła na wyżynach. "
II Kings 14:5,"Gdy wszakże utwierdziło się królestwo w ręku jego, skazał na śmierć sługi swoje, którzy króla, ojca jego, zamordowali. "
II Kings 14:6,"Synów jednak morderców na śmierć nie skazał, jak napisano jest w księdze Zakonu Mojżesza, gdzie nakazał Wiekuisty w tych słowach: Nie poniosą śmierci ojcowie za dzieci, ani poniosą dzieci śmierci za ojców. Każdy za występek swój śmierć poniesie. "
II Kings 14:7,"On to był, który raził Edomitów w dolinie Solnej, dziesięć tysięcy ludzi, a miasto Sela w walce zdobył; i nazwał je Jokteel aż po dziś dzień. "
II Kings 14:8,"Wtedy wyprawił Amacjasz posłów do Joasza, syna Jehoachaza, syna Jehy, króla izraelskiego, aby mu powiedzieć: Zabierz się, abyśmy się zmierzyli osobiście! "
II Kings 14:9,"Na to posłał Joasz, król izraelski, do Amacjasza, króla judzkiego, i kazał oświadczyć: Cierń libański posłał do cedru na Libanie temi słowami: Oddaj córkę twą synowi mojemu za żonę. Ale zwierz dziki na Libanie przeszedł po cierniu i stratował go. "
II Kings 14:10,"Ponieważ pobiłeś szczęśliwie Edomitów uniosło cię serce twoje. Zadawalaj się twą chwałą, a pozostań w domu! Czemu chcesz wyzywać zło, abyś upadł ty i Juda wraz z tobą? "
II Kings 14:11,"Amacjasz jednak usłuchać nie chciał. Nadciągnął tedy Joasz, król izraelski, i zmierzyli się osobiście, on i Amacjasz, król judzki, w Betszemesz, należącym do Judy. "
II Kings 14:12,"I porażony został Juda przez Izraela, tak że schronił się każdy do namiotów swoich. "
II Kings 14:13,"Amacjasza zaś, króla judzkiego, syna Joasza, syna Achazjasza, ujął Joasz, król izraelski, w Betszemesz; poczem przybył do Jerozolimy i uczynił wyłom w murze jerozolimskim od bramy Efraima aż do bramy narożnej, na czterysta łokci. "
II Kings 14:14,"A zabrawszy wszystko złoto i srebro i wszystkie naczynia, znajdujące się w przybytku Wiekuistego i w skarbcach pałacu królewskiego, a nadto zakładników, powrócił do Samaryi. "
II Kings 14:15,"A co do innych spraw Joasza, których dokonał, i czynów jego dzielnych i wojny jego z Amacjaszem, królem judzkim, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 14:16,"I spoczął Joasz przy ojcach swoich i pochowany został w Samaryi przy królach izraelskich. I objął rządy syn jego, Jerobeam, miasto niego. "
II Kings 14:17,"I żył Amacjasz, syn Joasza, króla judzkiego, po śmierci Joasza, syna Jehoachaza, króla izraelskiego, piętnaście lat. "
II Kings 14:18,"A co do innych spraw Amacjasza, spisano je wszak w księdze dziejów królów judzkich. "
II Kings 14:19,"Gdy zaś uknuto spisek przeciw niemu w Jerozolimie, schronił się do Lachisz. Posłali tedy za nim do Lachisz i zamordowali go tam. "
II Kings 14:20,"Poczem uwieźli go stamtąd końmi i pochowano go w Jerozolimie, przy ojcach jego, w mieście Dawida. "
II Kings 14:21,"I wziął wszystek lud judzki Azarję, i miał on szesnaście lat, i ogłosili go królem miasto ojca jego, Amacjasza. "
II Kings 14:22,"On to odbudował Elat i zwrócił je Judzie, gdy spoczął król przy ojcach swoich. "
II Kings 14:23,"Piętnastego roku Amacjasza, syna Joasza, króla judzkiego, objął rządy Jerobeam, syn Joasza, król izraelski, a panował w Samaryi czterdzieści i jeden lat. "
II Kings 14:24,"I czynił co niegodziwem było w oczach Wiekuistego, nie odstępował od wszystkich grzechów Jerobeama, syna Nebata, którymi uwiódł Izraela. "
II Kings 14:25,"On to przywrócił granice Izraela od wejścia do Chamat aż do morza na puszczy, wedle słowa Wiekuistego, Boga Izraela, które był wyrzekł przez Jonasza, syna Amitaja, proroka z Gat-Chefer. "
II Kings 14:26,"Widział bowiem Wiekuisty nędzę Izraela poniżającą bardzo, i że nie zostało nikogo, ani zależnego ani wolnego, i że nie było nikogo, któryby wspomógł Izraela. "
II Kings 14:27,"Nie wyrzekł zaś Wiekuisty, aby zgładzić imię Izraela z pod nieba; wspomógł ich tedy przez Jerobeama, syna Joasza. "
II Kings 14:28,"A co do innych spraw Jerobeama i wszystkiego czego dokonał, i czynów jego dzielnych, i jak walczył, i jak przywrócił Damaszek i Chamat w Judei Izraelowi, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 14:29,"I spoczął Jerobeam przy ojcach swoich, przy królach izraelskich, i objął rządy syn jego, Zacharjasz, miasto niego. "
II Kings 15:1,"Roku dwudziestego siódmego Jerobeama, króla izraelskiego, objął rządy Azarja, syn Amacjasza, króla judzkiego. "
II Kings 15:2,"Szesnaście lat miał gdy rządy objął, a pięćdziesiąt i dwa lata panował w Jerozolimie. Imię zaś matki jego Jecholja z Jerozolimy. "
II Kings 15:3,"I czynił co prawem było w oczach Wiekuistego, zupełnie tak jako czynił Amacjasz, ojciec jego. "
II Kings 15:4,Tylko że wyżyny usunięte nie zostały; lud ofiarował i palił jeszcze wciąż kadzidła na wyżynach. 
II Kings 15:5,"I poraził Wiekuisty króla i stał się trędowatym aż po dzień śmierci swojej. I przebywał w domu łożnic. Jotam zaś, syn króla, zarządzający pałacem, sądził lud kraju. "
II Kings 15:6,"A co do innych spraw Azarji, i wszystkiego czego dokonał, spisano to wszak w księdze dziejów królów judzkich. "
II Kings 15:7,"I spoczął Azarja przy ojcach swoich i pochowany został przy ojcach swoich w mieście Dawida. I objął rządy syn jego, Jotam, miasto niego. "
II Kings 15:8,"Trzydziestego ósmego roku Azarji, króla judzkiego, objął rządy Zacharjasz, syn Jerobeama, nad Izraelem w Samaryi, a panował sześć miesięcy. "
II Kings 15:9,"I czynił co niegodziwem było w oczach Wiekuistego, tak jak czynili ojcowie jego. Nie odstępował od grzechów Jerobeama, syna Nebata, którymi uwiódł Izraela. "
II Kings 15:10,"I sprzysięgnął się przeciw niemu Szallum, syn Jabesza, i pobił go wobec ludu, i zamordował go, i objął rządy miasto niego. "
II Kings 15:11,"A co do innych spraw Zacharjasza, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 15:12,"Tak spełniło się słowo Wiekuistego, które wyrzekł był do Jehy jak następuje: Aż do czwartego pokolenia zasiadać będą potomkowie twoi na tronie Izraela. I tak stało się. "
II Kings 15:13,"Szallum, syn Jabesza, objął rządy trzydziestego dziewiątego roku Uzjasza, króla judzkiego, i panował przez miesiąc w Samaryi. "
II Kings 15:14,"Nadciągnął wtedy Menachem, syn Gadiego, z Tyrcy, a gdy przybył do Samaryi, zamordował Szalluma, syna Jabesza, w Samaryi, i objął rządy miasto niego. "
II Kings 15:15,"A co do innych spraw Szalluma i sprzysiężenia, które uknuł, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 15:16,"Wówczas to zburzył Menachem Tyfsach i wszystko co w niem, wraz z całą jego dziedziną, ponieważ nie otworzono mu bram zburzył to miasto, i rozpłatał wszystkie brzemienne jego. "
II Kings 15:17,"Roku trzydziestego dziewiątego Azarji, króla judzkiego, objął rządy Menachem, syn Gadiego, nad Izraelem, a panował dziesięć lat w Samaryi. "
II Kings 15:18,"I czynił co niegodziwem było w oczach Wiekuistego, nie odstępował od grzechów Jerobeama, syna Nebata, którymi uwiódł Izraela, po wszystkie dni swoje. "
II Kings 15:19,"A gdy napadł Ful, król asyryjski, kraj, dał Menachem Fulowi tysiąc talentów srebra, aby trzymał z nim i utwierdził królestwo w ręku jego. "
II Kings 15:20,"Wydobył zaś Menachem pieniądze te od Izraelitów, mianowicie od wszystkich możnych mieniem, aby je oddać królowi asyryjskiemu; po pięćdziesiąt szekli srebrem przypadło od każdego. I tak wrócił król asyryjski i nie pozostał tam dłużej w kraju. "
II Kings 15:21,"A co do innych spraw Menachema i wszystkiego, czego dokonał, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 15:22,"I spoczął Menachem przy ojcach swoich i objął rządy syn jego, Pekachja, miasto niego. "
II Kings 15:23,"Pięćdziesiątego roku Azarji, króla judzkiego, objął rządy Pekachja, syn Menachema, nad Izraelem, a panował w Samaryi dwa lata, "
II Kings 15:24,"I czynił co niegodziwem było w oczach Wiekuistego; nie odstępował od grzechów Jerobeama, syna Nebata, którymi uwiódł Izraela. "
II Kings 15:25,"I sprzysięgnął się przeciw niemu Pekach, syn Remaljasza, trzeciak jego, i zamordował go w Samaryi, w zamku pałacu królewskiego, wraz z Argobem i Arją, mając przy sobie pięćdziesięciu ludzi z Gileadczyków. I tak zamordował go i objął rządy miasto niego. "
II Kings 15:26,"A co do innych spraw Pekachji i wszystkiego czego dokonał, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 15:27,"Pięćdziesiątego drugiego roku Azarji, króla judzkiego, objął rządy Pekach, syn Remaljasza, nad Izraelem w Samaryi, a panował dwadzieścia lat. "
II Kings 15:28,"I czynił co niegodziwem było w oczach Wiekuistego; nie odstępował od grzechów Jerobeama, syna Nebata, którymi uwiódł Izraela. "
II Kings 15:29,"Za czasów Pekacha, króla izraelskiego, nadciągnął Tyglat-Pileser, król asyryjski, a zdobywszy Ijon i Abel Bet-Maacha i Janoach i Kedesz i Chacor i Gilead i Galileę, a nawet całą ziemię Naftali, uprowadził mieszkańców ich do Asyryi. "
II Kings 15:30,"I uknuł Hozeasz, syn Elego, spisek przeciw Pekachowi, synowi Remaljasza, i poranił go, i zamordował go i objął rządy miasto niego, roku dwudziestego Jotama, syna Uzjasza. "
II Kings 15:31,"A co do innych spraw Pekacha i wszystkiego, czego dokonał, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 15:32,"Roku drugiego Pekacha, syna Remaljasza, króla izraelskiego, objął rządy Jotam, syn Uzjasza, króla judzkiego. "
II Kings 15:33,"Dwadzieścia i pięć lat miał gdy rządy objął, a szesnaście lat panował w Jerozolimie. Imię zaś matki jego Jerusza, córka Cadoka. "
II Kings 15:34,"I czynił on co prawem było w oczach Wiekuistego, tak jako czynił Uzjasz, ojciec jego. "
II Kings 15:35,Tylko że wyżyny usunięte nie zostały; ofiarował i palił bowiem lud wciąż jeszcze kadzidła na wyżynach. On to odbudował bramę górną przybytku Wiekuistego. 
II Kings 15:36,"A co do innych spraw Jotama i wszystkiego czego dokonał, spisano to wszak w księdze dziejów królów judzkich. "
II Kings 15:37,"Za onych to czasów począł Wiekuisty nasyłać na Judę Recyna, króla aramejskiego, i Pekacha, syna Remaljasza. "
II Kings 15:38,"I spoczął Jotam przy ojcach swoich i pochowany został przy ojcach swoich w mieście praojca swego, Dawida. I objął rządy syn jego, Achaz, miasto niego. "
II Kings 16:1,"Roku piętnastego Pekacha, syna Remaljasza, objął rządy Achaz, syn Jotama, króla judzkiego. "
II Kings 16:2,"Dwadzieścia lat miał Achaz gdy rządy objął, a szesnaście lat panował w Jerozolimie, ale nie czynił co prawem było w oczach Wiekuistego, Boga swojego, jak Dawid praojciec jego. "
II Kings 16:3,"I postępował drogą królów izraelskich, nawet syna swego przeprowadził przez ogień wedle ohyd onych ludów, które wypędził Wiekuisty przed obliczem Izraela. "
II Kings 16:4,I ofiarował i palił kadzidła na wyżynach i na pagórkach i pod każdem drzewem zielonem. 
II Kings 16:5,"Wtedy nadciągnął Recyn, król aramejski, z Pekachem, synem Remaljasza, królem izraelskim, przeciw Jerozolimie do walki; i oblegali Achaza, ale nie mogli skutecznie walczyć. "
II Kings 16:6,"Onego czasu przywrócił Recyn, król aramejski, Elat Aramowi, i wyrzucił Judejczyków z Elat. Poczem przybyli Edomici do Elat i osiedli tam aż po dziś dzień. "
II Kings 16:7,"Achaz jednak wyprawił posłów do Tyglat-Pilesera, króla asyryjskiego, i oświadczył: Jam sługa i syn twój! Wyrusz, a wyzwól mnie z mocy króla aramejskiego i z mocy króla izraelskiego, którzy powstali przeciw mnie! "
II Kings 16:8,"Przyczem wziął Achaz srebro i złoto, znajdujące się w przybytku Wiekuistego i w skarbcach pałacu królewskiego, i przesłał je w darze królowi asyryjskiemu. "
II Kings 16:9,"I usłuchał go król asyryjski, i wyruszył król asyryjski przeciw Damaszkowi, zdobył miasto i uprowadził mieszkańców do Kir. Recyna zaś skazał na śmierć. "
II Kings 16:10,"Gdy tedy udał się król Achaz na spotkanie Tyglat-Pilesera, króla asyryjskiego, do Damaszku, zobaczył ołtarz, znajdujący się w Damaszku. I wysłał król Achaz Urjaszowi, kapłanowi, wizerunek i podobiznę ołtarza, wedle całego jego pierwowzoru. "
II Kings 16:11,"Wystawił tedy Urjasz, kapłan, ów ołtarz; ściśle wedle wzoru, jaki przesłał król Achaz z Damaszku, sporządził Urjasz, kapłan, jeszcze zanim wrócił król Achaz z Damaszku. "
II Kings 16:12,"Gdy tedy wrócił król z Damaszku, a ujrzał król ołtarz, wstąpił nań, "
II Kings 16:13,"I puścił z dymem całopalenie i śniedną ofiarę swoją, i wylał zalewkę swą, i pokropił ołtarz krwią ofiar swych opłatnych. "
II Kings 16:14,"Ołtarz zaś miedziany, który przed obliczem Wiekuistego, usunął od przedniej strony przybytku, od miejsca między nowym ołtarzem a przybytkiem Wiekuistego, i umieścił go po stronie północnej ołtarza. "
II Kings 16:15,"Poczem zalecił król Achaz Urjaszowi, kapłanowi, jak następuje: Na ołtarzu wielkim puścisz z dymem całopalenie poranne i śniedną ofiarę wieczorną i całopalenie króla, wraz z śniedną ofiarę jego, niemniej całopalenia całego ludu pospolitego, wraz z śniednemi ofiarami i zalewkami ich; na nim też będziesz kropił wszelką krew całopaleń i ofiar rzeźnych. Co do ołtarza zaś miedzianego, zostanie on do mojego rozmysłu. "
II Kings 16:16,"I postępował Urjasz, kapłan, ściśle tak jak zalecił mu król Achaz. "
II Kings 16:17,"Kazał też wyłamać król Achaz listwowania u podnoży, i zdjął z nich umywalnie; również kazał zdjąć wodozbiór z ponad wołów z kruszcu, umieszczonych pod nim, i ustawił go na posadzce kamiennej. "
II Kings 16:18,"Kryte też miejsce, dla straży tygodniowej wzniesione przy przybytku, i wejście zewnętrzne dla króla przemieścił do przybytku Wiekuistego, przez wzgląd na króla asyryjskiego. "
II Kings 16:19,"A co do innych spraw Achaza, których dokonał, spisano to wszak w księdze dziejów królów judzkich. "
II Kings 16:20,"I spoczął Achaz przy ojcach swoich, i pochowany został przy ojcach swoich, w mieście Dawida. I objął rządy syn jego, Chiskjasz, miasto niego. "
II Kings 17:1,"Dwunastego roku Achaza, króla judzkiego, objął rządy Hozeasz, syn Elego, w Samaryi, a panował nad Izraelem dziewięć lat. "
II Kings 17:2,"I czynił co niegodziwem było w oczach Wiekuistego, wszakże nie tak, jak królowie izraelscy, którzy byli przed nim. "
II Kings 17:3,"Przeciw niemu nadciągnął Salamanasar, król asyryjski, i został Hozeasz lennikiem jego i składał mu dań. "
II Kings 17:4,"Gdy jednak odkrył król asyryjski spisek Hozeasza - wyprawił on bowiem posłów do So, króla egipskiego, a nie składał więcej królowi asyryjskiemu rok rocznie dani - zamknął go i wtrącił go spętanego do więzienia. "
II Kings 17:5,"Poczem nadciągnął król asyryjski przeciw całemu krajowi, a nadciągnąwszy do Samaryi oblegał ją trzy lata. "
II Kings 17:6,"Dziewiątego jednak roku Hozeasza zdobył król asyryjski Samarję, i uprowadził Izraelitów do Asyryi, i osadził ich w Chalach i nad Chaborem, rzeką Gozanu, i w miastach medyjskich. "
