Rereading the Rabbis; A Woman's Voice.1,Abbreviations and Acronyms
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.55","I also suspect an element of male fantasy. Many men are likely to dream that a sexually exciting woman will appear from nowhere, take a fancy to them, and satisfy them in ways that they have not been satisfied before. In this story, the shame at being caught in the realization of such a fantasy, even though, ironically, the prostitute was none other than his own wife, consumed this man to such an extent that he ultimately died. In another well-known Talmudic anecdote, a man who paid a prostitute her steep fee in advance, changes his mind about securing her services at the last moment, when already in bed with her. She is so impressed with his selfrestraint that she follows him back to the land of Israel, converts to Judaism, and marries him (BT Menahot 44a). It is hard to imagine a better example of male sexual wish fulfillment."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.56","Having completed its discussion of the first part of M 4:12, the Gemara now cites the second part, on the subject of a man and his female relatives, and proceeds to discuss it."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.57","This section of Talmud bears out what we saw above: There is a wide range of views on the subject of being alone with one’s female relatives. These are the women with whom a man was likely to find himself alone and, therefore, the women by whom he would be sexually aroused. The many views on this topic and the plethora of anecdotes—not all cited here—lead me to believe, as stated above, that sexual arousal by female relatives was a controversial and real issue for the rabbis."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.58",The Talmud then defines the <i>mishnah</i>’s statement that a child who matures physically may no longer sleep in bodily contact with a parent of the opposite sex.
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.59",The discussion of sexual arousal by female relatives ends with an anecdote:
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.60","We see here an amoraic move away from the permission the <i>mishnah</i> gives to sleep in the same bed as young female relatives. R. Aha b. Abba’s action is permitted by the <i>mishnah</i><sup>38</sup><i class=""footnote"">I am assuming that this permission extends to young granddaughters, too.</i> if we assume that his granddaughter had not yet matured physically, and yet it deeply disturbs her father, R. Hisda. R. Hisda, in fact, expresses this concern elsewhere, saying that a man is no longer allowed to sleep in physical contact with his daughter once she reaches three years and one day.<sup>39</sup><i class=""footnote"">R. Hisda’s statement is in BT Berakhot 24a: “If his children were still small, it is permitted [to recite Shema in bed with them naked, without a tallit separating them].<br>= =“Until what age?<br>– –“Said R. Hisda: a girl, until three years and a day and a boy until nine years and a day.<br>– –“Some say: a girl, eleven years and a day and a boy, twelve years and a day.” See also the section “Sex with a Minor,” in Chapter 4.</i> He politely criticizes his father-in-law but to no avail. The parallel discussion in the Yerushalmi (later in this chapter) similarly lowers the age of children sleeping with parents naked."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.61","When read independently of context, this anecdote seems to say that someone accused of inappropriate behavior can gamely deflect all charges against him by finding a reasonably relevant tradition or text. The old rabbi has the last word, and also, it would seem, his granddaughter in bed with him. But when read in context, it makes the almost frightening point that the grandfather is sexually exploiting or abusing the little granddaughter, using her to “warm himself up,” as did Abishag the Shunamite for King David in his old age (1 Kings 1:1–4). R. Hisda—who says elsewhere that he prefers daughters to sons (BT BB 141a), and he had both—is agitated, it seems, and rightfully so. It is hard to say whether the narrator sides with R. Hisda or not. He appears to be portraying the grandfather in negative terms, but one cannot be sure. It would seem, however, that with the passage of time the need arose to restrict the <i>mishnah</i>, to lower the age of permitting children and parents to sleep in the same bed naked. Since the discussion of family sleeping habits ends with this anecdote, the narrator seems to endorse restricting the <i>mishnah</i>, which would mean he agrees with R. Hisda and disapproves of the father-in-law’s behavior."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.62","The disagreement here and elsewhere about the age at which a young person’s body can create involuntary arousal, with a total of four different views expressed, again suggests that the rabbis were actively dealing with the subject. The <i>mishnah</i>, in its simple presentation, considers puberty to be the limit. But the rabbis in Babylonia and Palestine, with the exception of one anonymous view, lower it. This legal change probably reflects a shift in social standards, a move from a more relaxed attitude about nakedness and physical contact to a less relaxed one. This redefinition can also be seen, certainly in terms of results and maybe even in terms of intention, as an attempt to legislate protection for children—for girls from grown men and also for boys from grown women."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.63",The Yerushalmi commentary on this <i>mishnah</i> is much more limited than that of the Bavli.
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.64","This same statement appeared in the Bavli in the name of R. Judah, who said it in the name of Rav. Although it is similar to the Tosefta’s statement that she may not be alone even with one hundred pagans, it is different in that it refers to Jewish men who, like the stereotypical pagan,<sup>40</sup><i class=""footnote"">MAZ 2:1, 2.</i> are promiscuous and know no shame."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.65","Like the Bavli, the Yerushalmi cites the <i>baraita</i> in which Abba Saul and the Sages disagree about whether two women and one man may bury an infant, as well as the comment that one need not fear sexual arousal in a cemetery. It then talks about sexual arousal within the family unit."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.66","In this passage the Yerushalmi presents views like those in the Bavli but at variance with those in the Mishnah and Tosefta. The Mishnah stated that a man may be alone with his mother and daughter and, we may surmise, live with them. By implication, the <i>mishnah</i> forbids him to seclude himself with other female relatives. The Yerushalmi, however, comments that he <i>may</i> spend time alone with a sister, although he may not live with her. This rule is more lenient than the Mishnah and Tosefta, which explicitly forbade even being alone with a sister. The Yerushalmi then restricts a father to sleeping in physical contact with his daughter until she reaches the age of three, and a mother with her son until he is nine, even though the simple meaning of “<i>higdilu</i>,” as used in the Mishnah, is puberty. This is an example of an amoraic stringency, found in both the Bavli and Yerushalmi. As already noted several times, the appearance of this topic in both Talmuds, as well as in the Mishnah and Tosefta with variations in each of these major rabbinic works, creates the impression that it was very much a live issue at the time."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.67","Before I summarize all these materials, it should be noted that throughout this entire discussion, beginning with the Mishnah and ending with the Yerushalmi, the matter of sexual arousal is looked at from a man’s perspective only. It is men who find themselves sexually aroused when seeing or being with women. Whether there is reciprocal arousal on the part of women is not openly considered."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.68","The message of this extended Talmudic discussion is that men and women were not allowed, in contemporary parlance, to develop friendships, enter into social contact with each other, or engage in exchange of ideas because men are understood, first, to be sexually aroused just by the sight of a woman and, second, to be unable to hold themselves back from seeking release. The men most criticized are those who place themselves above others, claiming that they are able to withstand temptation. The only successful strategy is to avoid putting oneself at risk, and that means to avoid the company of women."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.69","Note that this material does not imply that men fall prey to their sexual urges because women deliberately excite them. I find it important to dwell on this point because one can all too easily make the woman the culprit in these situations, in that she entices him to sin. That is precisely what many have written about the rabbinic perception of women, as we have noted.<sup>41</sup><i class=""footnote"">See the views cited in the opening paragraphs of this chapter.</i> But I think that this extensive commentary makes it clear beyond the shadow of a doubt that, according to the Gemara, women do not seek to snare men, but rather men, in the presence of women, lose control of themselves, even or especially if they are generally pious rabbis, and even if the women are close relatives. Taking the attitudes of someone like Ben Sira or Philo, who describe women as deliberately trying to entrap men, and reading their misogyny into this text would be incorrect.<sup>42</sup><i class=""footnote"">See Amy-Jill Levine, Introduction, <i>“Women like This”: New Perspectives on Jewish Women in the Greco-Roman World</i>, ed. Amy-Jill Levine (Atlanta, Ga.: Scholars Press, 1991), 22. Levine writes that Ben Sira’s belief about the indiscriminate sexuality of women is typical of men in Mediterranean culture. See also Judith Wegner’s “Philo’s Portrayal of Women—Hebraic or Hellenic?” in the same volume.</i> Rabbinic patriarchy had common features with the other patriarchal cultures of the times, but it was not necessarily identical to them."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.70","I also do not think that these texts portray men as sexual predators. These passages reflect the rabbis’ attitude toward human nature: It is good when restrained. It should also be noted that the outcome of separation is beneficial not only to men but also to women. To the extent that in the ancient patriarchal world women are socially and physically more vulnerable than men, they would, if these rules became normative, find themselves less harassed. Of course, separation from men also disadvantaged women by limiting their opportunities for active participation in so many matters that affected them."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.71","We find earlier in Kiddushin, 39b–40a, a set of three anecdotes that portray men very differently from the way they are portrayed above. In all three stories, a woman called a <i>matrona</i>, suggesting perhaps that she is a non-Jewish woman of the aristocracy, summons a man to engage in sexual relations with her. In all three cases, the men successfully resist her advances, one preferring to attempt suicide rather than succumb. He is saved by Elijah."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.72","The context of these stories is being rewarded, even with a miracle, for keeping the mitzvot of the Torah. Unlike the men in the other set of stories, who cannot resist temptation, these men actively attempt to extricate themselves from the sexual situation in which they find themselves, even at serious risk to their lives. As a reward, they are saved from the <i>matrona</i>’s overtures and, in the last case, also from the poverty that had initially placed the man at risk."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.73","How can one reconcile these stories with the others? The <i>mishnah</i> in chapter 1 of Kiddushin talks about people who do good deeds and receive rewards for them, and the associated <i>gemara</i> brings the above set of stories in which men are portrayed as morally strong. The <i>mishnah</i> in chapter 4 of Kiddushin talks about men who should not be alone with women, implying that men cannot control their libido, and the <i>gemara</i> brings stories about men who succumbed to sexual temptation. Where, then, does the truth lie? Are men weak or strong in resisting sexual temptation? It seems to me that the <i>mishnah</i> that addresses the topic of relationships between the sexes, and its associated commentary, is the material to which we should turn for the rabbis’ perception of men. The other set of passages describes unusual, heroic men. They are not to be confused with the majority."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.74",<b>Attitudes to Sexual Sin</b>
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.75","This source, which does not address relationships between men and women in a direct fashion, as does Kiddushin chapter 4, but is instead providing moral preaching at the end of a tractate, incidentally reveals social and psychological truths. Misappropriating the property of others and having sexual relations with the women forbidden to a man by the Torah are tempting acts because they speak to his deepest instincts. These are the activities that a man craves. The term <i>meHaMDatan</i> reminds us of the last of the ten commandments: “Do not lust <i>(lo taHMoD)</i> after a woman … or any [other] property belonging to someone else” (Exodus 20:17). Although rewards are usually given for actions that we take, in this case, simply not yielding to the ever-present desire to commit these illicit acts is grounds for reward, according to this rabbi. This moralistic <i>mishnah</i>, I think, sums up the rabbis’ attitudes to relations between the sexes: No social relations between men and women are possible because men are preoccupied with sex. A man who seeks the companionship of women will merely be putting himself in a trying situation."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.76","This passage accords well with the statements in Pirkei Avot and BT Nedarim, quoted in the discussion of the <i>Sotah</i>, that men should not talk much with women because it leads, unavoidably, to forbidden sexual liaisons. <i>Sihah</i>, which means banter or friendly chitchat, will lead to friendly feelings, which will lead, ultimately, to sexual activity. It seems to me that women’s exclusion from the study of Torah with men is not linked to their intellectual level or their educational background or their penchant for sin. Rather, in a sex-segregated society, permitting women to interact freely with men would surely lead to sexual intimacy.<sup>43</sup><i class=""footnote"">As we see elsewhere (BT Ketubot 13a), speaking with a woman can serve as a euphemism for sexual relations with her. Still, in this case, the verb “to speak” seems to have been intended literally.</i>"
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.77",Another telling text appears in the Tosefta.
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.78","This statement, uttered incidentally in the context of a legal obligation, also gives us a sense of the social realities of the times. A woman was considered fair game if she did not have a man to protect her. Her behavior, modest or immodest, did not much matter. She would be gazed upon and would likely fall prey to sexual exploitation by men, regardless of her manner of dress, if she did not have a husband. It is not what is right or wrong that matters to men but what is possible and what is not, according to the rabbis here. Theirs is a rather pessimistic evaluation of men’s predispositions. Only the protective presence of another man, the woman’s husband, will stop men from acting on their base instincts. Note, also, the touch of irony: Despite the possible pitfalls involved—drawing the attention of other men—a husband expects his wife to dress up, to make herself as attractive as possible in order to maintain his sexual interest in her. This theme repeats itself in so many rabbinic texts that its general acceptance in those days is beyond question.<sup>45</sup><i class=""footnote"">See, for example, BT Ta’anait 23b, the statement by Abba Hilkiah and the discussion between R. Mani and R. Yitzhak b. Elyashiv. See also “Self-examination and Sexual Relations” and “R. Akiva’s Intentional Leniencies,” in Chapter 7.</i> It seems to be a standard feature of a patriarchal culture: Those who are dependent on the patriarch must seek to please and satisfy him. Note the underlying message that the rabbis view marital sexual activity positively."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.79",<b>Men’s Perception of Women’s Sexuality</b>
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.80",The parallel passage in the Tosefta elaborates on this behavior:
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.81","These passages accuse a woman of immodest, even sexually provocative behavior, of deliberately trying to entice men to become sexually involved with her. But such a woman is portrayed as one who strays from the right path, who is not like most others. Considering her behavior egregious and calling for divorce imply that most women, in the opinion of the rabbis, do not behave in this way, despite their need for sexual satisfaction."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.82","The passage from the Tosefta is remarkable in that it creates a symmetry between men and women. Both of them can be accused of violating Jewish practice, “dat moshe v’yisrael,” although the <i>mishnah</i> calls it “dat moshe v’yehudit,” an older version of the same term. And each list of violations, for him and for her, involves sexual misbehavior. His is forcing her, by means of a vow, to share sexual intimacies with others, apparently in order to heighten his sexual pleasure or to deliberately avoid procreative sex.<sup>49</sup><i class=""footnote"">It seems to me that having others taste her food is also a sexual reference. The common thread of most violations in the Tosefta is sexual. Lieberman (<i>Tosefta Ketubot</i>, 80) holds otherwise.</i> Hers, as already mentioned, is immodest dress and behavior, bordering on deliberate enticement.<sup>50</sup><i class=""footnote"">The Tosefta makes it clear that men and women alike can behave immodestly. When the Mishnah redacted this same <i>halakhah</i>, however, it did not call the men’s actions a violation of sexual norms, as it did women’s provocative behavior, but simply listed two out of three of these items, ruling that in such cases he must divorce her and pay the marriage settlement (M 7:5). That is, the Mishnah does not make the point that men, too, can violate “dat moshe v’yisrael” or “yehudit”: Even though it does not legally tolerate these same behaviors, it does not call them by the name that it calls women’s sexual immodesty. The Mishnah also redefines “dat moshe v’yehudit” for women, separating it into two types of behavior, with the first being a new category of unacceptable behavior: She deceives him regarding her performance of mitzvot that he relies on her to perform, when he has no way of knowing whether she did what was expected of her or not. The second is sexually provocative behavior, as already described by the Tosefta. This phrase is part of the ancient betrothal formula. It is appropriated by the Tannaim as a behavioral standard. See Chapter 5, note 23.</i>"
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.83",Elsewhere the Mishnah talks about the sexual needs of the average woman:
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.84","This passage says that if a man vows to deny his wife sexual activity for one week, according to Bet Hillel, or two, according to Bet Shammai, he must divorce her. This clear statement that women have conjugal rights in marriage indicates that the rabbis recognized that women too, and not just men, are desirous of sex."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.85",The mishnah goes on to prescribe conjugal frequency for men engaged in a variety of occupations.
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.86","This passage is hard to understand. Were it not for men’s expending energy on the job, and sometimes having to leave home for a period of time, the <i>mishnah</i> suggests that they would be sexually obligated to their wives every single day. But the Bavli interprets part of this passage from the <i>mishnah</i> in a way that virtually empties it of meaning. Saying that this view is R. Eliezer’s only, as the <i>mishnah</i> itself states, the Bavli goes on to present the view of the Sages that a Torah scholar may leave his wife, <i>without</i> permission, for up to two or three years. The stories that follow, however, suggest that he will be sorry if he takes advantage of this leniency.<sup>51</sup><i class=""footnote"">See Shulamit Valler, <i>Women and Womanhood in the Babylonian Talmud</i> (Tel Aviv: Hakibbutz Hameuchad, 1993), 56–80, for an analysis of this entire section. See the rest of her book for other examples of the discrepancies between prescriptive law and rabbinic decisions in specific cases.</i>"
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.87","Although R. Rehumi had permission to stay away for long periods of time, his absence was still considered by the rabbis to be abusive of his wife. When he reached the point of not even going home for a brief stay over the holidays, he gave up his right to life. This anecdote is perhaps more sympathetic to women than almost any other found in the Talmud: Even though the majority of rabbis give a scholar permission to favor the study of Torah over affording his wife (or even himself) sexual gratification, he will pay with his life if he chooses to ignore her human needs. Although not formally obligated to engage her sexually for years at a time, he is encouraged to do so as a decent and sensitive human being. He is in control of her: Although he can leave her to study and either come back or not, she has to stay at home. When in this dominant position, says Rava, he had better not forget about her or favor Torah study over her company.<sup>52</sup><i class=""footnote"">See Boyarin’s analysis of this episode, <i>Carnal Israel</i>, 146ff. See also Yonah Frankel, Iyyunim Be-olamo Ha-ruhani Shel Sippur Ha-aggadah (Tel Aviv, 1981), pp. 99–115.</i>"
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.88","What is the difference, then, between men’s and women’s sexual nature and behavior in these rabbinic portrayals? The argument from silence is that women, in general, are <i>not</i> easily aroused by looking at men or being in their company; the sources indicate men <i>are</i> easily aroused by looking at women or being in their company. A woman will not, according to the rabbis, find herself involuntarily drawn to sexual transgression and fail to stop herself from seeking gratification. Women, as Samuel says (BT Ketubot 64b), keep their sexual urges within themselves, whereas men cannot contain them. All of the cited material indicates that only the unusual woman solicits a man for a sexual encounter. One should not assume that the rabbis thought that women lacked libido, however, simply because they did not imagine most women actively seeking sexual gratification. Women are, indeed, understood to possess libido, but given their subordination to men, they are not allowed the freedom to exercise it. In a patriarchal society, men could satisfy themselves as they saw fit, but women, whom they controlled and over whom they had a sexual monopoly, could not. That is, what may in fact be biological differences between men and women are aggravated by men’s control over women. Note that these are men’s views about what women want and how they behave; they do not, necessarily, reflect rabbinic reality."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.89",<b>Conclusions</b>
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.90","The sources we have considered were written by men and for men. They make a very simple point: Seeing and being with women arouses men sexually. Often, the woman who arouses a man is forbidden to him. Since his arousal demands resolution, it is better for him not to put himself in circumstances in which arousal is likely. To that end, he should not spend time talking to women or being alone with them, even female members of his own family. This last category, which includes mothers, sisters, and daughters, leads the reader to believe that the Mishnah speaks of involuntary sexual arousal. It is hard to imagine, even in circumstances very different from our own, that a normal man would solicit his mother or daughter for sexual activity or that she would solicit him. We should also note that the effect of separation in a patriarchal social configuration was to protect women and children from sexual exploitation."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.91","Nowhere have we seen a sense of women, in general, as responsible, through deliberate actions that they took, of tempting men to sin. It is only individual women about whom such reports appear. But note that it is men, in general, who succumb to sexual arousal with ease. This conclusion challenges those scholars who picture women as temptresses; they reach their conclusion by weaving together scattered aggadic passages, not by reading key halakhic passages in context."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.92","Women’s sexual arousal does not receive much commentary, although women’s right to sexual gratification is dealt with extensively. The rabbis understood that women have sexual needs, dependent for satisfaction on the men who marry and control them. Recognizing the power that a husband has over his subordinate wife, the rabbis spell out in detail his obligations to her, above and beyond sex for the sake of procreation. There is no frequency of obligation on her part to him, most likely because initiating sexual activity was considered his prerogative. Even if she was also an initiator, his sexual rights did not need the same kind of protection that hers did."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.93","Although we see here an accepting attitude toward sex, with the passage of time and possibly under the influence of foreign ideas, we can trace a less accepting attitude toward sex creeping into the rabbinic mind, as evidenced by some of the later stories. However, even when we look at the texts that view sex favorably, we find them demanding very modest public behavior. The rabbis expected women to cover themselves when they went out in public. A woman who bared her head or her arm was considered to be engaging in sexually provocative behavior, as was a woman who conversed freely with men, or who, in an even more extreme case, sported with them in the public baths."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.94","And, finally, the linkage of sex and Torah came up once again: Sex is seen as a distracting force from Torah study, and conversely, Torah study is seen as a means of taking one’s mind off sexual impulses. All these sources lead to the conclusion that the rabbis, like ordinary men, were engaged in a continuous battle with their libido. They were hoping that the intellectual and spiritual side of them would triumph over the physical. The material above does not lead us to think that they fully accomplished this goal."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.95",<b>Notes</b>
"Rereading the Rabbis; A Woman's Voice, Marriage.1","S<small>INCE MOST ANCIENT SOCIETIES</small> were patriarchal in structure, it is not surprising to discover that rabbinic society was patriarchal as well. In the rabbinic conception of marriage, a man took a woman to be his wife and could dismiss her at will. He managed all the finances and could, if he wished, cancel, or annul, her vows and even bar her from talking to other men or going out of the house."
"Rereading the Rabbis; A Woman's Voice, Marriage.2","But throughout the rabbinic period changes were taking place. By the time it ended, women had acquired many more rights. They occupied a new status, one closer to men’s. Although in certain areas they were more equal to men and in others less, in no marital area were women treated merely as chattel or fully as equal.<sup>1</sup><i class=""footnote"">Judith Wegner (<i>Chattel or Person?</i> [New York: Oxford University Press, 1988], 19) maintains that women are treated as chattel with respect to any matter affecting a man’s proprietary interest in their sexuality or reproductive abilities and as person with respect to all others. However, the details do not tally with this theory. For example, in sexual areas she was not chattel, since she had conjugal rights (see Chapter 2); in civil areas she was not equal, because as long as she was married to him she had no right to dispose of any of her property (M Ketubot 8:1).</i>"
"Rereading the Rabbis; A Woman's Voice, Marriage.3","Nearly every one of the biblical institutions relating to marriage was maintained by the rabbis but radically transformed. It is impossible to know if these transformations were the consequence of rabbinic invention or the infiltration of new ideas from other cultures. Or maybe they were the formal record of what had already been established generations earlier. Whatever the case may be, we find in the rabbinic materials a wholehearted endorsement of these changes and, possibly even more important, justification of these changes by means of legal arguments or scriptural interpretation."
"Rereading the Rabbis; A Woman's Voice, Marriage.4","The main change we shall observe is that marriage evolved over time from the purchase of a woman from her father to a kind of “social contract” entered into by a man and a woman, albeit with him dominant and her subordinate. The critical difference between her old status in marriage as chattel-like and her new status as “second-class citizen” is that she acquired, in exchange for sexual and other service to her husband, a wide array of rights and protections."
"Rereading the Rabbis; A Woman's Voice, Marriage.5",<b>The Framework of Jewish Marriage</b>
"Rereading the Rabbis; A Woman's Voice, Marriage.6","The first topic we will examine is the marriage document, or <i>ketubah</i>. Some have called it one of the most progressive pieces of rabbinic legislation.<sup>2</sup><i class=""footnote"">Jacob Neusner, <i>Judaism: The Evidence of the Mishnah</i> (Chicago: University of Chicago Press, 1982), 191.</i>"
"Rereading the Rabbis; A Woman's Voice, Marriage.7","The principal provision of the <i>ketubah</i> is that the husband or his estate will pay a stipulated amount of money to the wife upon dissolution of the marriage by death or divorce. She will be allowed no other claims on him or his estate. In Roman marriage, an institution familiar to the rabbis, a woman did not receive this type of payment. Rather, a wife whose Roman marriage was dissolved retrieved only the dowry that she brought into it.<sup>3</sup><i class=""footnote"">Susan Treggiari, <i>Roman Marriage</i> (Oxford: Oxford University Press, 1991), 323ff.</i> Unlike the husband of the rabbinic marriage, who was required to pay out of his pocket the amount he promised in the <i>ketubah</i>, the husband in a Roman marriage made no additional payments from his own resources. Mishnah Ketubot opens with a discussion of the statutory amount of the marriage settlement."
"Rereading the Rabbis; A Woman's Voice, Marriage.8","The difference in “price” between the virgin and the previously married woman, which appears throughout the legislation about marital matters, is not explained or derived from verses but presented as a given. A premium on a virgin was commonplace in the ancient world and continues today in many places. It tells us that one way of looking at marriage is the acquisition of a woman by a man for the purpose of sexual gratification. The rules reflect a male perspective: He is most pleased if the woman he acquires for himself has not previously known, in a sexual sense, any other man. He will be the first. Making the amount of the marriage settlement vary so significantly with the presence or absence of virginity says, in very clear terms, that her sexual status is a major factor in his choice of a wife. Elsewhere we learn that her lineage also matters.<sup>4</sup><i class=""footnote"">Chapter 4 of M Kiddushin deals extensively with investigating a prospective wife’s lineage.</i>"
"Rereading the Rabbis; A Woman's Voice, Marriage.9","This opening <i>mishnah</i> of tractate Ketubot sets the stage for the discussion of marriage. Other <i>mishnah</i>s later in the tractate address various aspects of the marital relationship. Beyond making herself available to him sexually, the wife is expected to perform the basic household tasks."
"Rereading the Rabbis; A Woman's Voice, Marriage.10","The passage goes on to allow her to assign these jobs to others, as long as she makes sure that they are fulfilled."
"Rereading the Rabbis; A Woman's Voice, Marriage.11",As for his obligations to her:
"Rereading the Rabbis; A Woman's Voice, Marriage.12",Notice that his financial outlay for support and other payments is offset by his right to the usufruct of her assets and to any other moneys that she earns or anything she finds.
"Rereading the Rabbis; A Woman's Voice, Marriage.13","All these rules describe a situation in which she enters his home, provides a wide variety of service to him, has all her needs met by him, and is even promised a lump sum payment by him upon dissolution of the marriage. But the arrangement is rather uneven: He controls her time, her activities, and her money; she does not control his. For this reason she, but not he, needs a guarantee of basic rights. The general social construction of Jewish marriage in the Bible and Talmud is, thus, sexist in the extreme. This is not surprising for the ancient world. What is surprising, however, are the rules the Mishnah institutes to modify this state of affairs. As we examine selected passages on marriage, we will see in each case how its sexist bias was altered but not eradicated."
"Rereading the Rabbis; A Woman's Voice, Marriage.14",<b>The Marriage Contract: From Bride-Price to Ketubah</b>
"Rereading the Rabbis; A Woman's Voice, Marriage.15","The changes that took place in the payments associated with marriage are probably the best indication of an evolving rabbinic perception of the nature of marriage. The following derivation, although rather intricate, makes a simple point: The <i>ketubah</i> is based on Scripture. The verses about rape and seduction that will be cited are the only legal passages in the Pentateuch that make explicit reference to the exchange of marital moneys."
"Rereading the Rabbis; A Woman's Voice, Marriage.16","According to the first view expressed in this passage, the words “the bride-price of virgins,” that is, the fifty silver shekels that the husband paid to the father of the bride (Deuteronomy 22:29) in normal circumstances, not just following rape or seduction, imply the establishment of the <i>ketubah</i>. But the <i>ketubah</i> is not a bride-price. On the contrary, the differences between the two are so great that it is at first hard to understand how anyone could see those words as the scriptural basis for the <i>ketubah</i>. The bride-price of virgins is paid to the father by the husband at the time of marriage, whereas the <i>ketubah</i> is paid to the woman herself, upon the dissolution of the marriage by death or divorce. That is, it is paid at the end, not at the beginning; it is paid to her, not to her father. Therefore, one can only argue that the <i>ketubah</i> is Torah mandated in the broad sense of a marriage payment. The following passages clarify this matter by pinpointing the “historical” reasons for this change."
"Rereading the Rabbis; A Woman's Voice, Marriage.17","This <i>mishnah</i>, and even more so the <i>baraita</i> that follows, imply that it used to be the case that a man could acquire a wife by putting her <i>ketubah</i> moneys on the table, that is, paying for her in advance. But this practice was later outlawed. Instead, the man had to create a lien on all of his assets and make them responsible for the payment of the <i>ketubah</i>. Should he die leaving insufficient funds for the payment of the <i>ketubah</i>, she could seize properties purchased from him by others after he married her. She was first creditor on his estate."
"Rereading the Rabbis; A Woman's Voice, Marriage.18",The Gemara gives a fuller account of this transformation.
"Rereading the Rabbis; A Woman's Voice, Marriage.19","This text is hard to understand. First, what is the relationship between the statement of R. Judah—the Amora, not the Tanna—and the older passage, the <i>baraita</i>, that follows? They seem to be saying the same thing in the same words. Why would an Amora repeat verbatim the first and last clause of a <i>baraita</i>? Second, and even more serious, parts of the <i>baraita</i> make no sense."
"Rereading the Rabbis; A Woman's Voice, Marriage.20","R. Judah says that men did not marry because they could not afford to put either 200 or 100 zuz on the table at the outset of the marriage. At that early period in their lives they were not in a position to make such a large outlay of cash to the father of the bride. The <i>baraita</i> begins by repeating the first part of R. Judah’s statement verbatim. It continues and says that they would put the <i>ketubah</i> in her father’s home in order to solve the problem. How the new location solves the problem of a young man’s inability to give up such large sums in cash is not at all clear. However, if we overlook this difficulty, we see that this “solution” created a new problem: It made divorce too easy. Since no financial outlay was required for divorce, if a groom lost his temper, he could simply ask his bride to leave. Therefore, to promote the stability of marriage, the rabbis decreed that the <i>ketubah</i> be placed in the marital home, that of the groom’s father, where the bride could then turn the moneys into silver or gold or brass utensils. But since divorce still required no financial outlay, the groom could easily dismiss her along with the utensils that she had fashioned from the money."
"Rereading the Rabbis; A Woman's Voice, Marriage.21","Marriage was stabilized only with the advent of Simon b. Shetah, who arranged for the groom not to lay out the money in advance, upon taking a wife, but to defer payment until the dissolution of the marriage. This deferral solved two problems at once: one, young men’s inability to part with large sums of cash at the time of marriage; second, men’s impulsive divorce of their wives. Not only did Simon b. Shetah’s solution encourage a man to marry, but it also discouraged him from divorce, which became too costly: He would have to liquidate assets in order to pay the marriage settlement. Since the husband could no longer simply send his wife out with the <i>ketubah</i> utensils in hand, many a marriage could be saved. By the time the husband was able to raise the money that he needed to pay her settlement, he had calmed down and come to the realization that he did not want to divorce her."
