rashei_tevot,expanded,context_before,context_after
אאכ,אלא אם כן,אומרים דלא פטר,נטל
אאכ,אלא אם כן,אין לרוץ בשבת,הוא
אאכ,אלא אם כן,שלא נקרא חותם,חקוקים
אאכ,אבל אם כתב,הגברא שכבר אתחזק,שלשה
אאכ,אלא אם כן,אסור לצאת בו,קשר
אאכ,אלא אם כן,זה על זה,מלבוש
אאכ,אלא אם כן,א ברשות הרבים,הוא
אאכ,אדם את כליו,סחיטה לא ישטח,בשבת
אעפ,אף על פי,עינים שקורין ברילי"ן,שהתיק
אעפ,אף על פי,בו כתפו וגופו,שמתקצר
אעפ,אף על פי,סביב הצואר הגה,שמניח
אעפ,אף על פי,המקפל על כתפיו,שאין
אעפ,אף על פי,היא מציצת כהלכתה,שאין
אעפ,אף על פי,ברצועות התלויות באבנט,שאין
אעפ,אף על פי,עינים שקורין ברילי"ן,שהתיק
אעפ,אף על פי,בו כתפו וגופו,שמתקצר
אעפ,אף על פי,סביב הצואר הגה,שמניח
אעפ,אף על פי,המקפל על כתפיו,שאין
אעפ,אף על פי,היא מציצת כהלכתה,שאין
אעפ,אף על פי,ברצועות התלויות באבנט,שאין
אעפ,אף על פי,ברצועות התלויות באבנט,שאין
ברה,ברשות הרבים,שרי וקושרו ומתירו,ובלבד שלא
ברה,ברשות הרבים,הכנסת מתר לצאת,בטלית סביב
ברה,ברשות הרבים,הקשים אסור להביאם,או בכרמלית
ברה,ברצועות התלויות,הילכך מתר לצאת,באבנט אף
ברה,ברשות הרבים,לאתויי ד" א,אלא אם
דא,ד' אמות,שעליהם חוץ לנהר,נ יוצאים
וממ,ומגיע מאזן,והוא כמין ציץ,לאזן ולא
וממ,ומכל מקום,להן כתכשיט ושרי,צריך להזהיר
מעש,מערב שבת,ואם פרפה עליו,מתר לצאת
שאא,שאי אפשר,שעושים משער חזיר,שלא יעקרו
ויא,ויש אומרים,בשבת מאותה מלאכה,שכל שלא
מבעי,מבעוד יום,כיון שהתנה עמו,עושה הוא
אעפ,אף על פי,בהמה שעסקיה רעים,שאין
אעפ,אף על פי,ולא יצא באכף,שקשור
אעפ,אף על פי,בו לרשות הרבים,שהוא
אעפ,אף על פי,שבת; ולא בזוג,שהוא
אעפ,אף על פי,לא בשאינה ממחה,שהיא
אעפ,אף על פי,צער בעלי חיים,שמבטל
ויא,ויש אומרים,אסור בו ביום,שצריך לקנותו
וכשכ,וכל שכן,מוחה בידו הגה,דאין לחוש שהרועה
ויא,ויש אומרים,התחום להביא בהמתו,שאם אין
ויא,ויש אוסרים,צרכי מצוה הוא,בכל ענין
ויא,ומשום ישוב ארץ,אסור רק מדרבנן,ישראל
ויא,ויצא אפלו,פעמיו להשתדל בהצלתה;,חוץ לשלש
באי,בארץ ישראל,מתר לקנות בית,מן העכו"ם
אעפ,אף על פי,לו פועלים בשבת,שאין
אעפ,אף על פי,פלוני בשבת שעבר,שמבין
אעפ,אף על פי,לעמד עמי לערב,שמתוך
אעפ,אף על פי,מתר לקרות עכו"ם,שודאי
אעפ,אף על פי,אדעתא דנפשיה קעביד,שהישראל
מעש,מערב שבת,לתן לעכו"ם מעות,לקנות לו
מעש,מערב שבת,לתת לעכו"ם מעות,לקנות לו
מעש,מערב שבת,לתן לעכו"ם מעות,לקנות לו
מעש,מערב שבת,לתת לעכו"ם מעות,לקנות לו
אעפ,אף על פי,לו פועלים בשבת,שאין
אעפ,אף על פי,פלוני בשבת שעבר,שמבין
אעפ,אף על פי,לעמד עמי לערב,שמתוך
אעפ,אף על פי,מתר לקרות עכו"ם,שודאי
אעפ,אף על פי,אדעתא דנפשיה קעביד,שהישראל
כיוב,כיוצא בזה,ברגנין; וכן כל,שיש בו
כא,כלי אפלו,ומקפיד עליהם כל,הוא גדול
כא,כלל אסור,אבל שלא לצרך,לטלטלו כתבי
כא,כי אם,ותפלין אין לטלטלם,לצרך ושופר
כא,כי אם,ושופר אסור לטלטלו,לצרך גופו
כא,ככר או,לצל על ידי,תינוק כל
כא,כלי אבל,משום דאתיא משברי,דבר שאין
כא,כלי אסור,שראויים לכסות בהם,לטלטלם הגה
כא,כלל אסור,דבר שאינו כלי,לטלטלו אפלו
כא,כלים אפלו,שהוא כלי ושל,הם מחברים
כא,כלי אף,מתר לכפות עליה,על פי
כא,כי אין,פרות הטמונים בחל,אותו עפר
עי,על ידי,לטלטל דבר מקצה,נפוח דלא
עי,על ידי,אפלו מחמה לצל,ככר או
עי,עורות יבשים,סגי במחשבה לחוד,בין של
עי,על ידי,מתר לטלטל מקצה,נפיחה וכבר
אאכ,אלא אם כן,ודות אין נטלים,יש
אאכ,אלא אם כן,נשברה מבעוד יום,ישב
אאכ,אלא אם כן,אסור לישב עליהם,למדום
אאכ,אלא אם כן,מבעוד יום אסור,יחדה
אאכ,אלא אם כן,מבהמה דקה אסור,חשב
אאכ,אלא אם כן,ושל אמן אסור,חשב
אאכ,אלא אם כן,רגלים אסור להחזירם,נתן
אאכ,אלא אם כן,ודות אין נטלים,יש
אאכ,אלא אם כן,נשברה מבעוד יום,ישב
אאכ,אלא אם כן,אסור לישב עליהם,למדום
אאכ,אלא אם כן,מבעוד יום אסור,יחדה
אאכ,אלא אם כן,מבהמה דקה אסור,חשב
אאכ,אלא אם כן,ושל אמן אסור,חשב
אאכ,אלא אם כן,רגלים אסור להחזירם,נתן
ויא,ויש אומרים,פי' סדרום הגה,דדין אבנים
ויא,ויש אומרים,שאומר דלא שנא,שצריך שיעשה
ויא,ויש אומרים,שלא יסרטו בגדיו,דלא סגי
ויא,ויש אומרים,מתר לטלטלן הגה,דוקא עורות
ולפז,ולפי זה,לאו אסור הגה,מתר לטלטל
ברה,ברשות הרבים,את בנה אפלו,ובלבד שלא
ואל,ואפלו לאחז,אם דינר בידו,התינוק בידו
ואל,ואתי אבוה לאתויי,דחיישינן דילמא נפיל,ויש
ואל,ואם לאו,שהוא בטל אגבה;,אסור כלכלה
עד,עם דינר,כשהוא נושא התינוק,בידו; אבל
עד,על דעת,הניחם עליה מדעתו,שישארו שם
עד,על דעת,דאפלו הניחם שם,שישארו שם
עד,על דעת,אסרו אלא במניחם,שישארו שם
ויא,ויש אומרים,ואתי אבוה לאתויי,שלא אסרו
ויא,וענבים יטל אותה,רטבים כגון תאנים,כמו
ויא,ויש אומרים,אסור להטות ולנער,דאפלו הניחם
אעפ,אף על פי,שתולין בו דגים,שהוא
אעפ,אף על פי,והם ראויים לאכילה,שלא
אעפ,אף על פי,לכך והניח בהם,שסלקן
אעפ,אף על פי,כיס של מעות,שהוציא
אאכ,אלא אם כן,ממנו מבעוד יום,עשה
מבעי,מבעוד יום,מחתה שיש עליה,אפר שמתר
עי,על ידי,להוציאו לכרמלית אלא,ככר או
עי,על ידי,תינוק אבל לא,ככר והוא
לרה,לרשות הרבים,שמתיר להוציאו אף,על ידי
עי,על ידיהם;,או תינוק מטלטלו,ואם אין
עי,על ידי,שתי מטות מטלטלו,שיהפכנו ממטה
עי,על ידי,לצל באותו רשות,ככר או
עי,על ידי,להוציאו לכרמלית אלא,ככר או
עי,על ידי,אף לרשות הרבים,תינוק אבל
עי,על ידי,תינוק אבל לא,ככר והוא
עי,על ידי,לעכו"ם לטלטלו כמו,ככר ותינוק
עי,על ידי,ואסור לטלטל מת,ככר ותינוק
עי,על ידי,דבר אחר אבל,עכו"ם יש
עי,עכו"ם יש,אבל על ידי,מתירין וכן
עי,על ידי,לא התירו לטלטל,ככר או
אעפ,אף על פי,נתכון לזריעה נוטלו,שבנטילתו
ויא,ויש אומרים,מתר לטלטל אבנים,דאפלו מכרמלית
אצ,אין צריך,להיות נועל בו,שיקשרנו בדלת
אצ,אינו צריך,אגוזים; ולרבנו תם,שיהא ראוי
אצ,אין צריך,בו ואפלו הכי,שיהא תלוי
אצ,אותו צד,להחזירו למקומו; ולהניח,השמוט על
ולרת,ולרבנו תם,לפצע בו אגוזים;,אינו צריך
אעפ,אף על פי,מקרשים הרבה שרי,ששומטים
ויא,ויש אומרים,כגון שנשברה הברזא,דלא שרי
ויא,ויש אוסר,תבות יש מתיר,ויש להתיר
אעפ,אף על פי,ברזא להוציא יין,שלא
תח,תלמיד חכם,שם ואם הוא,מתר לו
מבעי,מבעוד יום,אם לא שהיה,טפח שאז
גט,ג טפחים,בין זה לזה,חשיבי כאהל ומתר
גט,ג טפחים,בין חבל לחבל,אסור לפרס עליהן
שאא,שנים אבל אחד,גדולה תולין אותה,אסור
שאא,שאי אפשר,אותה ואפלו עשרה,שלא תגבה
אאכ,אלא אם כן,חיב החובל בהם,יצא
אאכ,אלא אם כן,ערב אסור לצודו,הוא
עג,על גבי,יברחו פורסין מחצלת,הכורת ובלבד
עג,על גבי,ישפשף ברגלו רק,קרקע משום
עג,על גב,ולהשוות גומות; ואף,דממילא ממרח
ואעג,ואף על גב,למרח ולהשוות גומות;,דממילא
קשק,קשר של קימא,וסבירא להו דכל,אפלו
למוש,למוצאי שבת,לעולם ולאחרים מתר,מיד; ובשוגג
בד,בן דרוסאי,ואפלו נתבשל כמאכל,שיך בו
והה,והדחתן היא,בשול אלא מעט,גמר מלאכתן
והה,והוא הדין,גמר מלאכתן הגה,כל דבר
והה,והוא הדין,להתבשל שם הגה,בפרות או
אחכ,אחר כך,נצלה אם בשלו,במשקה יש
בכש,בכלי שני,לתן פת אפלו,שהיד סולדת
בכש,בכלי שני,לתן פת אפלו,כל זמן
בכש,בכלי שני,לתת מלח אפלו,כל זמן
כז,כל זמן,אפלו בכלי שני,שהיד סולדת
כז,כל זמן,מעל האש מבשל,שהיד סולדת
כז,כלי זה,שאוסר לתת לתוך,בשר מליח
כז,כל זמן,אפלו בכלי שני,שהיד סולדת
אעפ,אף על פי,מלאה מים חמין,שהיא
כש,כלי שני,על פי שהיא,אין נותנין
אעפ,אף על פי,אבל צמר ליורה,שקלט
בכר,בכלי ראשון,והוא שלא יהיו,מפני שמחממין
והה,והדחתן היא,בשול אלא מעט,גמר מלאכתן
והה,והוא הדין,גמר מלאכתן הגה,כל דבר
והה,והוא הדין,להתבשל שם הגה,בפרות או
ואעפ,ואף על פי,במקום שהיד סולדת,שהשמן
וכש,וכמו שכתבתי,לא נצטנן לגמרי,לעיל סי'
וכש,וכל שכן,חוזר ונמוח הגה,קדרה שיש
מעש,מערב שבת,היו לו מלילות,לא ינפה
אעפ,אף על פי,כדי לאכלו מיד,שהחתיכות
אעפ,אף על פי,שהוא מין אחד,שבורר
אעפ,אף על פי,אבל נותנן בכברה,שנופל
אעפ,אף על פי,לתן בה ביצה,שהחלמון
אעפ,אף על פי,בורר הוא; לפיכך,שנותנים
עי,על ידי,תולעים מתר לשתותן,מפה בשבת
אעפ,אף על פי,כדי לאכלו מיד,שהחתיכות
אעפ,אף על פי,שהוא מין אחד,שבורר
אעפ,אף על פי,אבל נותנן בכברה,שנופל
אעפ,אף על פי,לתן בה ביצה,שהחלמון
אעפ,אף על פי,בורר הוא; לפיכך,שנותנים
וכש,וכל שכן,הענבים המשקה שבהן,בשאר דברים
וכש,ולר"ח כל שהוא,בה אכל אסור,צריך
מעש,מערב שבת,זיתים וענבים שנתרסקו,משקים היוצאים
מעש,מערב שבת,אם לא נתרסקו,אם יש
דהה,דהוא הדין,יש מי שאומר,לבסר שמתר
ולרח,ולרבינו חננאל,בה אכל אסור,כל שהוא צריך
אכ,אם כן,מקנחין בו אלא,יש בו
וכז,וכל זה,טוחן אחר טוחן,לא מירי
ויא,ולא יטרף אלא,נותן יין וחמץ,מערב
ויא,ולא יטרף אלא,נותן פול וגריסין,מערב
ויא,ויש אומרים,אלא מערב הגה,דלא יערב
ויא,ויש אומרים,בכף אלא ביד,דהא דשרי
ויא,ולא יטרף אלא,נותן יין וחמץ,מערב
ויא,ולא יטרף אלא,נותן פול וגריסין,מערב
ויא,ויש אומרים,אלא מערב הגה,דלא יערב
ויא,ויש אומרים,בכף אלא ביד,דהא דשרי
בלאה,בלאו הכי,כך וכך אבל,שרי וכן
בלאה,בלאו הכי,גונא אסור אבל,שרי ואף
ואעג,ואף על גב,בלאו הכי שרי,דאסור
ואעג,ואף על גב,שמזכיר לו סכום,שיש
ויא,ויש אומרים,להביאו לפניהם מתר,דלמעט בהלוך
ויא,ויש אוסרים,חדש הטעון טבילה,וירא שמים
שאא,שאינו אכל,דשוויי אכל בדבר,מתר לעשותו
שאא,שאי אפשר,מלי בנבלה הקשה,להם לאכלה
שאא,שור אבל אין,חמור ונותנים לפני,נוטלים
והה,והוא הדין,על ידי עכו"ם,לצרך מצוה
דא,ד' אמות,לעצמו דוקא בתוך,או בתוך
ואעפ,ואף על פי,או בלא ערוב,שיש
אצ,או צדן,ספק אם לקטן,היום אסורים
אצ,אין צריך,והאכיל לבהמת ישראל,למחות בידו
אצ,אינו צריך,בהם אסור תורה,להמתין כדי
והמ,והם מקצים,יטל בידו ויאכילנה,אבל אם
והמ,והני מילי,לו ובין לאחרים;,כשהביאם דרך
עי,על ידי,סכין וממשמשין להנאתו,שנוי שסך
שאצ,שאין צריך,ויש מי שאומר,ממחה דכל
בא,בני אדם,צריך ממחה דכל,חשובים מומחין
עי,על ידי,וקטנים ונשים אלא,ישראל גדולים
עי,על ידי,דחוי ובלא אחור,שנוי עושה
כיב,כיוצא בזה,דגים וכן כל,היה חולה
עג,על גבי,מערבים יחד ולא,מוך לתנו
הז,הרי זה,את השבת; והזריז,משבח; והשואל
הז,הרי זה,זה משבח; והשואל,שופך דמים
הז,הרי זה,שיש בו סכנה,משבח אפלו
הז,הרי זה,להרחיב פי המכה,חיב משום
הז,הרי זה,ממנה הלחה שבה,מתר מי
ויא,ויש אומרים,נפשות להקל הגה,דוקא ישראלים
ויא,ויש אומרים,ובני דעת הגה,דאם אפשר
ויא,ויש אומרים,בו סכנת אבר;,שאם יש
ויא,ויש אומרים,אבר אין עושין;,שאם אין
ויא,ויש אומרים,עושין בלא שנוי;,אפלו יש
ויא,ויפלט אבל,יגמע בהם חמץ,מגמע ובולע
ויא,ויש אומרים,לא גזרו רבנן,שאם אין
ויא,ויש אומרים,להעביר דם שבמכה,שכורך קורי
אעפ,אף על פי,אסור לחלל עליו,שהיא
אעפ,אף על פי,אומרים שהיא סכנה,שהוא
אעפ,אף על פי,אלא יעשו מיד,שמחללין
אעפ,אף על פי,כל גופו שאז,שהולך
אעפ,אף על פי,לאכלן ולשתותן לרפואה,שהם
אעפ,אף על פי,שערו ממנו חמין,שעדין
אעפ,אף על פי,היפים שבים הגדול,שהם
לש,לומר שהוא,אפלו אם תמצא,שם ספק
לש,לפי שעה,יכול לחיות אלא,מפקחין ובודקים
לש,לא שנא,אז ודאי מת,פגעו בראשו
לש,לא שנא,פגעו בראשו תחלה,פגעו ברגליו
רה,רשות הרבים,בשבת אפלו דרך,וקורעים בטנה
אאכ,אלא אם כן,אין מחללין עליו,גמרו
ביוד,ביורה דעה,מלין אותו ועין,סי' רס"ו
ביהש,בין השמשות,שבת אנדרוגינוס ונולד,ונולד כשהוא
ויא,ויכבו; אבל,בהצלה ישכחו השבת,בתים הקרובים
ויא,ויש אוסרים,לחוש לאסור מקצה,ואפלו לומר
ויא,ויש אומרים,כל מה שירצה;,שאין חלוק
ויא,ויש אומרים,אותם מפני הדלקה;,שמצילים מצילים
ויא,ויש אומרים,שיכבה כשיגיע להם;,שמתר לעשות
ויא,ויכבו; אבל,בהצלה ישכחו השבת,בתים הקרובים
ויא,ויש אוסרים,לחוש לאסור מקצה,ואפלו לומר
ויא,ויש אומרים,כל מה שירצה;,שאין חלוק
ויא,ויש אומרים,אותם מפני הדלקה;,שמצילים מצילים
ויא,ויש אומרים,שיכבה כשיגיע להם;,שמתר לעשות
אעפ,אף על פי,התפלין עם התפלין,שיש
אעפ,אף על פי,יכול לקרותו שיבא,שודאי
אעפ,אף על פי,יכול לקרא עכו"ם,שודאי
מעש,מערב שבת,דוקא כשהניחם שם,יש מתירים
אצ,אין צריך,נכרי שבא לכבות,למחות בידו
סנ,סכנת נפשות,משום דיש בה,והזריז הרי
ואחכ,ואחר כך,ולא יקלט ויצרף,יזמין לו
ואחכ,ואחר כך,עבר ועשה שקלט,זמן אורחים
ויא,ויש אומרים,מתר לירד משחשכה,דהני מלי
אעפ,אף על פי,מתר להשתמש בהם,שמחברים
אעפ,אף על פי,שלשה וחלל תחתיהם,שמצד
אעפ,אף על פי,העשבים שמשקים אותם,שאינם
אעפ,אף על פי,מהם בשבת חיב,שהם
עג,על גבי,לארץ מתר לילך,עשבים בין
עג,על גבי,גבי קרקע ולהניחו,יתדות או
עי,על ידי,לקרא לבית הכנסת,הכלי המיחד
עי,על ידי,המקשקש לשעות עשוי,משקלות מתר
עי,על ירכו,ולא יטפח כפיו,ולא ירקד
מבעי,מבעוד יום,מתר לערכו ולהכינו,כדי שילך
עג,על גבי,גומות הגה ודוקא,קרקע אבל
עג,על גבי,גבי קרקע אבל,שלחן שרי
עג,עושין גרף,אסור משום שאין,של רעי
דהה,דהוא הדין,אשה ובנים ואפשר,לחפה
קיל,קימא לן,על גב דלא,הכי מכל
הז,הרי זה,שנתקבצו גוף אחד,תולדת מעמר
הז,הנותן זרע,לא יחבצם בידו,פשתן או
הז,הרי זה,סופרים וכיוצא בו,תולדת תופר
הז,הרי זה,נתכון לקלקל בלבד,תולדת קורע
ויא,ויש אומרים,משום שבות הגה,דכל זה
ויא,ויש אומרים,לחנוך צריכים להפרישו,דלא שיך
דט,ד' טפחים,טפחים ויש בו,על ד'
ויא,ויש אומרים,הוי רשות הרבים,שכל שאין
יא,יש אומרים,על ארבעה הגה,דבעינן באלו
יא,י"ג אויר,סי' זה סעיף,רשות היחיד
יא,יום אינו,עוברים בו בכל,רשות הרבים
יא,יש אומרים,בהם ט"ז אמה,שאם ארכן
יא,י"ג אמות,הרבים מבואות הרחבים,ושליש ושני
יא,יש אומרים,שהוא רחב ט"ז,שהוא רשות
רה,רשות הרבים,יש אומרים שהוא,כל דבר
רה,רשות היחיד,רשות היחיד הוא,עד לרקיע
רה,רשות היחיד,גבוה עשרה הוי,איזה רשות
רה,רשות הרבים,נעולות בלילה הוי,ויש אומרים
רה,רשות הרבים;,חשובים כקרקע והוי,ואם הוא
רה,רשות הרבים,מכתפים עליו הוי,אפלו אינו
רה,רשות הרבים,מכתפים עליו הוי,אפלו אינו
רה,רשות היחיד;,רחב ארבעה הוי,ואם לאו
רה,רשות הרבים,עמקה שלש הוי,משלש עד
רה,רשות היחיד,עמקה עשרה הוי,והוא שתהא
רה,רשות היחיד,רשות היחיד שכלפי,הם רשות
רה,רשות הרבים,חורים שבכתלים כלפי,אם הם
יא,יעמד אדם,חיב וכן לא,על מקום
יא,יש אוסרים,פטור ברשיות דרבנן,ויש מתירים
מרהי,מרשות היחיד,אלא כשעוקר חפץ,ומניחו ברשות
מרהי,מרשות היחיד,ולפתח שם וכן,לרשות הרבים
לרה,לרשות הרבים,וכן מרשות היחיד,אבל לא
דא,ד' אמות,שאומר שלא יהלך,ברשות הרבים
לרה,לרשות הרבים,הבולט מן הכתל,למעלה מעשרה
לרה,לרשות הרבים,בהם שאם יפלו,ישברו אבל
לרה,לרשות הרבים,אסורים שמא יפלו,ויביאם הגה
אאכ,אלא אם כן,אין ממלאים ממנו,תהא
ברה,ברשות הרבים,גבוה עשרה אשפה,שגבהה עשרה
אכ,אם כן,ממלאין ממנה אלא,עשה לה
אכ,אם כן,יכול למלאות אלא,יעשה דף
אכ,אמרינן כף,לו מחצות אלא,הצדדים וגוד
אכ,אם כן,מזו לזו אלא,קשורות זו
אכ,אם כן,בזו או אלא,הם גבוהים
עי,על ידי,פני המים מתר,מחצה תלויה
עי,על ידי,כרמלית אינו מתר,מחצה תלויה
עי,על ידי,אלא במים אבל,דף שרי
עי,ערבו יחד,שם אם לא,ולא עשו
עי,עמקים י',לכרמלית מים שאין,טפחים אין
עי,על ידי,אלא במים אבל,דף שרי
סב,סעיף ב',יום כמו שנתבאר,דאז שרי
וכש,וכיון שעשה,יעשנה על גבה,מחצה מתרין
וכש,וכל שכן,במחצה תלויה הגה,אם יבשו
וכש,וכל שכן,בה עד שיערבו,אם עשו
אאכ,אלא אם כן,ממלאין ממנה בשבת,עשו
אאכ,אלא אם כן,אסור להכניסן לבית,עשו
לרה,לרשות הרבים,אמות שהיא סמוכה,אין שופכין
ויא,ויש אומרים,בימות החמה הגה,דאין חלוק
בזהז,בזמן הזה,הרבים עצמה אפלו,דלית לן
ויח,ויש חולקין,כי דעתיה עלויה,בזה ומה
ויח,ויש חולקים,שם שבת אחת,דעפר לא
ואחכ,ואחר כך,לפתח פתח תחלה,להקיף ויש
ואחכ,ואחר כך,לו פתח מביתו,הקיפו ואם
ואחכ,ואחר כך,היתה לשם דירה,נפלה מחצה
יא,יהא ארכו,וקטין ובלבד שלא,יותר משנים
יא,יש אומרים,עליו לפרץ הכתל,דיכול להניח
יא,ידם אבל,מאליהם נתר על,תל יותר
בדא,בד' אמות,בה ובחצר אלא,ואם היא
ואחכ,ואחר כך,לפתח פתח תחלה,להקיף ויש
ואחכ,ואחר כך,לו פתח מביתו,הקיפו ואם
ואחכ,ואחר כך,היתה לשם דירה,נפלה מחצה
ויא,ויש אומרים,אינו מצטרף לשירא,דהוא הדין
ויא,וערבו יחד אם,זה בצד זה,החיצונים
ויא,ויש אומרים,אינך כחצר לאמצעי,שהחיצונים אינם
הול,הוה ליה,שנעשו שירא באמצע,אינך כחצר
הול,הוא לבדו,יותר מבית סאתים,אסור ואם
הול,הוה ליה,מעשרה דאם כן,פרצה וגם
הול,הוה ליה,דאם לא כן,נראה מבחוץ
כרה,כרשות הרבים,בו הרי זה,ואסור לבעל
ויא,ויש אומרים,דליכא פה הגה,דבעינן גם
עג,על גביהן,ועשה צורת פתח,מתר והני
עג,על גביהן,וקנה מכאן וקנה,אפלו אינו
והנמ,והני מלי,שנעשית בשבת כשרה,שנעשית בשבת
והנמ,והני מלי,להתיר לטלטל בתוכה,שלא היה
והנמ,והני מלי,על גביהן מתר,בחצר ומבוי
עי,על ידי,מהני כשכל הרוחות,צורת פתח
אאכ,אלא אם כן,על העומד אסור,כל
אאכ,אלא אם כן,לפרצה יותר מעשר,עומד
יט,י טפחים,המבוי ויהיה גבהו,ומכל דבר שיעשנה
דא,ד' אמות,הלחי בולט לתוכו,אינו נדון
דא,ד' אמות,עם חדו הפנימי,נדון משום
דא,ד"ט אינה,ואם היא רחבה,צריכה להיות
דא,דהינו אם,לקבל אריח מעמידים,היא נסמכת
דא,ד' אמות,מצמצמות ושיהא ארכו,מרוחות או
דא,ד' אמות,לי' צריך לחק,לתוך המבוי
דא,דיורים אוכלים,פחות מד"ט ושיהיו,בכל בית
דא,ד"ט אין,דכל שאין בו,צריך שום
דא,ד' אמות,עודף על הקצר,אינו מניח
דא,ד' אמות,עושה פס ארך,ומעמידו באמצע
דא,ד' אמות,כיון שארך הפס,ויתן קורה
דא,ד' אמות,שמגביה י' מתוך,הרי הוא
ויא,ויש אומרים,ולקבל חצי לבנה,שאין צריך
ויא,ויש אומרים,להביא קורה אחרת,שצריך שיהיו
ויא,ויש אומרים,צורת פתח הגה,דנוהגין האדנא
ויא,ויש אומרים,תקון שהוא כסתום,דכל שאין
ויא,ויש אומרים,לרשות הרבים הגה,דאין לו
ויא,וירחיק אמה,פס אמה ומחצה,ויעשה פס
דא,ד' אמות,לי' צריך לחק,לתוך המבוי
גט,ג טפחים,מבוי שאין ברחבו,אינו צריך שום
צופ,צורת פתח,ירצה יעשה שם,באלכסון ותוך
לרה,לרשות הרבים,פתוחים בשני ראשיהם,הגה ויש
כיוב,כיוצא בזה,השני וכן כל,ובלבד שהפס
לרה,לרשות הרבים,ששוה מתוכו ומדרון,או ששוה
לרה,לרשות הרבים,הרבים או ששוה,ומדרון לתוכו
רה,ראשיו הגה,או קורה בשני,וכל זה
רה,רשות הרבים,חצר משני צדדיו,עצמה אינה
ויא,ויש אומרים,והוא שננעלות בלילה,אף על
אעפ,אף על פי,את מנו ונעור,שמתר
אעפ,אבל על פתח,בינו לרשות הרבים;,החצר
אעפ,אף על פי,או לחייו בשבת,שהתר
שעי,שעל ידי,באחד מבתי החצרות,כך אנו
אצ,אין צריכים,שירא שהקיפוה מחצה,לערב לפי
אצ,אינו צריך,שמניחים בו הערוב,לתן פת
אצ,אחד צריך,שני הכלים בבית,שלא יקפיד
דא,ד' אמות,וצריך שיהא בו,על ד'
דא,ד' אמות,ד' אמות על,ואפלו הוא
דא,ד' אמות,ד' אמות על,ואפלו הוא
דא,דחן אם,אבל לא בפת,אחד מבני
ונל,ונראה לי,וכן נהגו הקדמונים,הטעם דערובין
ונל,ולכן נהגו לקבץ,יהיה פת שלם;,מכל
ואצ,ואין צריך,צריך לתן פת,שיהיה בערוב
ואצ,ואין צריך,להם דין שתוף,להניח בבית
ואצ,ואינו צריך,ידו ואפלו לכתחלה,להודיע לאותם
ואעפ,ואף על פי,לקמן סי' שס"ח,שנשתיר
עי,על ידי,ובלבד שיזכנו להם,אחר וכשזוכה
עי,על ידי,ובלבד שיזכנו להם,אחר וכשזוכה
עי,על ידי,מחמתן כשמזכה להם,אחר לא
עי,על ידי,אחר לא יזכה,בנו ובתו
עי,על ידי,על שלחנו ולא,עבדו ושפחתו
עי,על ידי,אבל מזכה הוא,בנו ובתו
עי,על ידי,אומרים שאינו מזכה,בנו ובתו
עי,על ידי,הם גדולים ולא,בתו אפלו
עי,על ידי,שלא בגרה ולא,אשתו שמעלה
עי,על ידי,בחצר; אבל מזכה,בנו שאינו
עי,על ידו,שלחן אביו מזכין,ואפלו לכתחלה
עי,ערובא יהא,להם ואומר בהדין,שרא לן
ויא,ויש אומרים,מיום זה ואילך;,שאף על
שאעפ,שאף על פי,ואילך; ויש אומרים,שלא
ויא,ועל ידי אשתו,אפלו הם קטנים,אף
ויא,ויש אומרים,לה בית בחצר,שאינו מזכה
ויא,ועל ידי אשתו,סמוכה על שלחנו,שאינו
עי,על ידי,ובלבד שיזכנו להם,אחר וכשזוכה
עי,על ידי,מחמתן כשמזכה להם,אחר לא
עי,על ידי,אחר לא יזכה,בנו ובתו
עי,על ידי,על שלחנו ולא,עבדו ושפחתו
עי,על ידי,אבל מזכה הוא,בנו ובתו
עי,על ידי,אומרים שאינו מזכה,בנו ובתו
עי,על ידי,הם גדולים ולא,בתו אפלו
עי,על ידי,שלא בגרה ולא,אשתו שמעלה
עי,על ידי,בחצר; אבל מזכה,בנו שאינו
עי,על ידו,שלחן אביו מזכין,ואפלו לכתחלה
עי,ערובא יהא,להם ואומר בהדין,שרא לן
עי,על ידי,על שלחנו ולא,עבדו ושפחתו
עי,על ידי,הם גדולים ולא,בתו אפלו
עי,על ידי,שלא בגרה ולא,אשתו שמעלה
ועי,ולא על ידי,סמוכים על שלחנו,עבדו
ועי,ועל ידי,סמוכים על שלחנו,עבדו ושפחתו
ועי,ועל ידי,אפלו הם קטנים,אשתו אף
ועי,ולא על ידי,אפלו הם גדולים,בתו
ועי,ולא על ידי,זמן שלא בגרה,אשתו
ועי,ועל ידי,אפלו הוא קטן,בתו שבגרה
ועי,ועל ידי,סמוכה על שלחנו,אשתו שאינו
והה,והקצה השני,הא' בתוך הפת,בתוך הפרוסה
והה,והוא הדין,אבל בחצר לא,אם יש
בעכ,בעל כרחו,לערב הוי ערוב,
אצ,אינו צריך,הראשון אפלו כלה,להודיע ואפלו
אצ,אינו צריך,משלהם; ואם משלו,להודיעם כלל
אצ,אינו צריך,פי שמערב משלהם,להודיעם נתוספו
אצ,אינו צריך,הראשון אפלו כלה,להודיע ואפלו
אצ,אינו צריך,משלהם; ואם משלו,להודיעם כלל
אצ,אינו צריך,פי שמערב משלהם,להודיעם נתוספו
ויא,ויש אומרים,שהם כששה ביצים,שהם כשמנה
