Phrase,Freq,,Alternate #1,Alternate #2,Alternate #3,Alternate #4,Alternate #5,Alternate #6,Alternate #7,Alternate #8,Alternate #9,Alternate #10,Alternate #11,Alternate #12,Alternate #13,Alternate #14,Alternate #15,Alternate #16,Alternate #17,Alternate #18,Alternate #19,Alternate #20,Alternate #21,Alternate #22,Alternate #23,,,,,,,,,,,,,,,,,,,,,,,,
שאכל',7,|,שאכלוה (71),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"עה""פ",325,|,על_הפסוק (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וחייבי',66,|,וחייבים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דמלו',27,|,דמלוה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כי""ח",18,|,כיש_חולקין (320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מוע""ק",65,|,מועד_קטן (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דלר""ל",326,|,דלריש_לקיש (13),דלרבא_לשיטתו (168),דלרב_לשיטתו (749),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שארז""ל",338,|,שאמרו_רבותינו_זכרונם_לברכה (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אד""ר",72,|,אדר_ראשון (416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הראוי',331,|,הראויה (0),הראוי (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דמתנ',64,|,דמתנה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למדי',27,|,למדים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לכמו',5,|,לכמו (39),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שמהר""ר",66,|,שם_הרב_רבינו (384),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והגהמי""י",17,|,והגהות_מיימוניות (156),והגהות_מיימוני (235),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מדר""נ",338,|,מדרבי_נתן (1),מדרב_נתן (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דו""מ",5,|,דוד_מאיר (39),דומב (406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בסעוד',65,|,בסעודת (0),בסעודתו (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בארבע',28,|,בארבעה (0),בארבע (2),בארבעת (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"סכ""א",345,|,סעיף_כא (172),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עיס',65,|,עיסקא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שנ""מ",28,|,שאין_נפקא_מינה (28),שיש_נפקא_מינה (501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הפתה""ד",72,|,הפתח_הדביר (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דפ""ד",331,|,דפסחים_דהא (388),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בחו""ב",27,|,בחריפות_ובקיאות (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לכהונ',66,|,לכהונה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"פסה""מ",70,|,פסולי_המוקדשים (893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מדאוריית',328,|,מדאורייתא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלמנו',16,|,אלמנות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"במש""ז",341,|,במשבצות_זהב (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דעובד',29,|,דעובדא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לנבי',5,|,לנביאו (247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מג""נ",66,|,מגיעולי_נכרים (0),מגעולי_נכרי (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וספ',16,|,וספר (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מד""ח",16,|,מדברי_חידושי (275),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דתהי',65,|,דתהיה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כח""ב",16,|,כתר_חכמה_בינה (443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אידי',7,|,אידיה (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מקודש',327,|,מקודשת (0),מקודשות (169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דני""ד",67,|,דנידוננו (2),דנידון_דידן (3),דאם_נימא_דגם (499),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
והקנ',10,|,והקנה (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
והחתי',7,|,והחתימם (124),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"במ""ג",370,|,במסכת_גיטין (27),במגילה (579),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
להביא',27,|,להביאם (1),להביאו (4),להביאה (7),להביאן (75),להביא (699),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ד""הא",5,|,דנקיט_הא (29),דגמרא_הכי_איתא (343),דקאמר_התם_אין (573),דהא_התם_אמרינן (657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והכ""ף",68,|,והוא_כפול (119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מנה""ח",10,|,מנץ_החמה (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לסוכ',27,|,לסוכה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וליות',5,|,וליות (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דפ""ר",338,|,דפסיק_רישא (1),דפסיק_רישיה (7),דהוי_פסיק_רישא (35),דמשום_פרסומי (744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שזכ',27,|,שזכה (156),שזכרנוהו (253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בחיי""ל",64,|,בחייבי_לאוין (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפש',323,|,אפשר (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בקרק',63,|,בקרקע (0),בקרקעו (1),בקרקעותיו (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קלטי',7,|,קלטינהו (229),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והי""ל",332,|,והיה_לו (1),ולא_היה_לו (6),והיה_להם (10),והיה_לה (21),ולא_היה_לנו (35),וגם_היה_לו (75),ולא_היה_להם (77),וגם_היה_להם (91),וזה_היה_לו (142),ואם_היה_לו (145),ולא_היה_לה (284),והרי_יש_לנו (295),וכך_היה_לו (394),והיה_לנו (415),ולכן_היה_לו (496),והיה_לי (575),וכבר_היה_לו (671),והרי_יש_לו (691),ודי_היה_לו (762),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ממל""מ",64,|,ממקום_למקום (2),ממנו_למקוה (927),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אק""ב",27,|,אשר_קדשנו_בקדושתו (0),אשר_קידשנו_במצותיו (128),אקחה_בראשון (211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פרכי',329,|,פרכינן (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"תפל""מ",71,|,תפארת_למשה (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לקורטוב',5,|,לקורטובא (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"רא""ח",16,|,רבי_אברהם_חיים (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שהל""מ",27,|,שהלכה_למשה_מסיני (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנשי',325,|,אנשים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דד""ה",65,|,דדברי_הכל (12),דמתניתין_דהשוחט (203),דדאורייתא_הוא (563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואומרי',331,|,ואומרים (0),ואומרין (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לדרעי',10,|,לדרעיה (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"רבב""ח",335,|,רבה_בר_בר_חנה (0),רבה_בר_בר_חנא (3),רבה_בר_חנה (70),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גאוני',64,|,גאונים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ול""ח",332,|,ולכן_לא_חיישינן (6),ובזה_לא_חיישינן (11),ותו_לא_חיישינן (37),ולא_חששו (41),ולא_חשו (56),וממילא_לא_חיישינן (69),ואמאי_לא_חששו (129),וחכמים_לא_חיישי (174),וגם_לחוש (392),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ופורי',11,|,ופורים (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
און',12,|,און (742),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובהג""ה",350,|,ובהגהות (16),והרב_בהגהת (46),ומיהו_בהגהות (702),והובא_בהגהת (997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
המאתי',16,|,המאתים (0),המאתיים (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עושי',323,|,עושים (0),עושין (1),עושית (158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לד""ש",5,|,לענין_דינא_שאפשר (694),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כנה""ר",12,|,כנפשו_הרמה (144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דשא""מ",342,|,דבר_שאינו_מתכוין (0),דבר_שאינו_מתכוון (2),דבר_שאין_מתכווין (4),דדבר_שאינו_מתכוין (11),דדבר_שאין_מתכוון (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מכיפי',28,|,מכיפיה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והכס""מ",65,|,והנה_הכסף_משנה (147),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בכ""א",330,|,בכל_אחד (1),בכל_ארבע (669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בי""נ",27,|,בין_נסתרה (996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שומרי',66,|,שומרים (0),שומרין (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וילד',16,|,וילדה (173),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וחשובי',7,|,וחשוביה (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דספ""ב",68,|,דסוף_פרק_במה (37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ממס',326,|,ממסכת (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בקוש""ח",63,|,בקנין_ושבועה_חמורה (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
להתנסב',10,|,להתנסבה (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבב""ק",327,|,דבבא_קמא (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
היציא',16,|,היציאה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בתוה""ב",27,|,בספרו_תורת_הבית (3),בתורת_הבית_בית (41),בספר_תורת_הבית (77),בספרו_תורת_הבית_בית (218),בתורת_הבית_בשער (981),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בסנהדרי',65,|,בסנהדרין (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עסקי',333,|,עסקינן (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כשארז""ל",5,|,כענין_שאמרו_רבותינו_זכרונם_לברכה (44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בבתיה',11,|,בבתיהם (13),בבתיהן (703),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
להתנו',63,|,להתנות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שפסולי',10,|,שפסולים (0),שפסולי (183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
באלמנ',28,|,באלמנה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בדה""א",27,|,בדברי_הימים_א (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אקרו""ט",64,|,אלופי_קהל_ראשים_וטובים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בהיות',65,|,בהיותי (161),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מעלת',28,|,מעלתך (1),מעלתו (148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למלאו',16,|,למלאות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סברי',16,|,סברייהו (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בסת',64,|,בסתם (0),בסתמא (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ד""אך",11,|,דקרא_אך (0),דכתיב_אך (164),דאפס_כי (219),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כדקיי""ל",329,|,כדקיימא_לן (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואיבר',19,|,ואיברא (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טומא',322,|,טומאה (0),טומאות (81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"די""י",69,|,דכיר_יי (385),דייתא (693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"א""פ",321,|,אם_פרעתיך (903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סול',63,|,סולטאניש (48),סולטניש (54),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לההו',27,|,לההוא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שלל""ש",10,|,שלא_לשמו (47),שלא_לשמן (217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בפ""ר",348,|,בפסיק_רישא (0),בפרעוש (229),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתק',16,|,מתקנת (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מא""ל",341,|,מאי_איכא_למימר (0),מאי_אהני_ליה (189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שאעבו',7,|,שאעבור (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וט""ס",334,|,וטעות_סופר (0),ואולי_טעות_סופר (10),ויש_טעות_סופר (47),ושמא_טעות_סופר (109),והוא_טעות_סופר (183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רישי',346,|,רישיה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כרשו',7,|,כרשות (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לקב""ע",16,|,לקבל_עדות (13),לקבלת_עדות (62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכעי""ז",30,|,וכעין_זה (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דהט""ו",7,|,דאף_הטור (80),דלשיטת_הטור (215),דמלשון_הטור (501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מחמת',28,|,מחמתה (0),מחמתו (1),מחמתן (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וברכ""י",70,|,וברכי_יוסף (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בישוי""ע",16,|,בשם_ישועות_יעקב (993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בעה""מ",330,|,בעל_השיב_משה (501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבביהכ""נ",27,|,דבבית_הכנסת (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שמ""ע",323,|,שלא_מענינו (522),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ולמעל',65,|,ולמעלה (0),ולמעלן (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דעפ""י",315,|,דעל_פי (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הפסוקי',67,|,הפסוקים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מידי',16,|,מידייהו (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הו""ת",7,|,הלקט_ותניא (895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ואפ""ל",362,|,ואפשר_לומר (3),ואפשר_לדחוק (166),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שכ""י",27,|,שאין_כתב_ידם (89),שעברו_כמה_ימים (102),שכולם_יחד (769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שמרגישי',7,|,שמרגישין (308),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"פג""ה",319,|,פרק_גיד_הנשה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וכדפרישי',28,|,וכדפרישית (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מוסיפי',63,|,מוסיפין (0),מוסיפים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שאו',321,|,שאומרים (1),שאומרין (3),שאומרת (12),שאומרו (32),שאומרה (174),שאולי (474),שאומרם (888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ההג""א",27,|,ההגהת_אשרי (151),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וש""ז",70,|,ומושב_של_זב (31),וקטן_שעבר_זמנו (593),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הנד""מ",322,|,הנדפס_מחדש (0),הנדפס_מקרוב (19),הנדפסות_מקרוב (58),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הנ""ר",65,|,הנגיד_רבינו (824),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וש""ח",67,|,ושומר_חנם (1),ואפילו_שומר_חנם (29),ושחייב (515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הפחו',64,|,הפחות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שנק',63,|,שנקרא (0),שנקראה (1),שנקראת (7),שנקראו (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שחמת',5,|,שחמתן (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הערוה""ש",327,|,הערוך_השלחן (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"קרוב""ץ",67,|,קרובץ (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דנדוני',27,|,דנדוניא (26),דנדונייא (167),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובי""ט",334,|,וביום_טוב (1),ולא_ביום_טוב (15),ואפילו_ביום_טוב (29),ובימים_טובים (57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
העברי',66,|,העברית (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובב""ק",338,|,ובבא_קמא (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ממו""מ",16,|,משום_משא_ומתן (43),ממון_מהבעל (497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פלג',28,|,פלגא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"קד""ד",18,|,קדושת_דמים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לשומ',10,|,לשומר (50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לכתחל',327,|,לכתחלה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דחג""ת",5,|,דהיינו_חסד_גבורה_תפארת (315),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואפקי',27,|,ואפקיה (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מעו',314,|,מעות (0),מעותיו (12),מעותיהם (348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בשה""ש",28,|,בשיר_השירים (0),בספר_שיר_השירים (9),בשער_השמות (131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דצוה""פ",63,|,דצריך_צורת_הפתח (93),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"רוה""ק",322,|,רוח_הקודש (0),רוח_הקדש (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מטומא',27,|,מטומאה (0),מטומאת (3),מטומאות (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דנפ""ל",63,|,דנפקא_ליה (2),דנפקא_לן (5),דנפקא_לו (59),דהא_נפקא_ליה (90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נד""ד",318,|,נימא_דדמי (471),נאמר_דדמי (585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הכירו',5,|,הכירוה (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לכ""ש",331,|,לכתחילה_שרי (770),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והד""ח",28,|,והדברי_חיים (237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ד""מקץ",7,|,דמקץ (10),דכתיב_מקץ (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מצויי',63,|,מצויים (0),מצויין (1),מצוייות (6),מצוייה (47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קפידי',5,|,קפידיה (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואכשרי',16,|,ואכשריה (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובני""ד",343,|,ובנידון_דידן (1),ובפרט_בנידון_דידן (451),ובכגון_נידוננו (491),ומעתה_בנידון_דידן (552),והכא_בנידון_דידן (717),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ידי""ן",71,|,ידיד_נפש (950),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"עיש""ב",33,|,עיין_שם_בטור (478),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"האב""מ",66,|,האבני_מלואים (0),האבני_מילואים (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נוב""ת",29,|,נודע_ביהודא_תניינא (472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
