													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Lehem Mishneh on Mishneh Torah, Sanctification of the New Month	Abraham de Boton	Commentary on Rambam's Mishneh Torah, incorporated with most editions of Rambam. While writing his commentary, the author became aware that R' Joseph Karo had recently released his own commentary entitled "Kesef Mishneh", so he decided to omit any duplicate material and label his own work "Lechem Mishneh" as a complementary text.	פירוש על משנה תורה להרמב"ם הנדפס ברוב המהדורות. תוך כדי כתיבת חיבורו על הרמב"ם, הגיע לידי המחבר חיבורו של ר' יוסף קארו, "כסף משנה", ולכן השמיט כל מה שנכפל בחיבור שלו וקרא שם ספרו "לחם משנה", שהוא מעין תוספת על "כסף משנה". 	1578	10	Salonica / Thessaloniki 	1609	Venice	Achronim				
Lehem Mishneh on Mishneh Torah, Scroll of Esther and Hanukkah	Abraham de Boton	Commentary on Rambam's Mishneh Torah, incorporated with most editions of Rambam. While writing his commentary, the author became aware that R' Joseph Karo had recently released his own commentary entitled "Kesef Mishneh", so he decided to omit any duplicate material and label his own work "Lechem Mishneh" as a complementary text.	פירוש על משנה תורה להרמב"ם הנדפס ברוב המהדורות. תוך כדי כתיבת חיבורו על הרמב"ם, הגיע לידי המחבר חיבורו של ר' יוסף קארו, "כסף משנה", ולכן השמיט כל מה שנכפל בחיבור שלו וקרא שם ספרו "לחם משנה", שהוא מעין תוספת על "כסף משנה". 	1578	10	Salonica / Thessaloniki 	1609	Venice	Achronim				
Lehem Mishneh on Mishneh Torah, Shofar, Sukkah and Lulav	Abraham de Boton	Commentary on Rambam's Mishneh Torah, incorporated with most editions of Rambam. While writing his commentary, the author became aware that R' Joseph Karo had recently released his own commentary entitled "Kesef Mishneh", so he decided to omit any duplicate material and label his own work "Lechem Mishneh" as a complementary text.	פירוש על משנה תורה להרמב"ם הנדפס ברוב המהדורות. תוך כדי כתיבת חיבורו על הרמב"ם, הגיע לידי המחבר חיבורו של ר' יוסף קארו, "כסף משנה", ולכן השמיט כל מה שנכפל בחיבור שלו וקרא שם ספרו "לחם משנה", שהוא מעין תוספת על "כסף משנה". 	1578	10	Salonica / Thessaloniki 	1609	Venice	Achronim				
Lehem Mishneh on Mishneh Torah, Torah Study	Abraham de Boton	Commentary on Rambam's Mishneh Torah, incorporated with most editions of Rambam. While writing his commentary, the author became aware that R' Joseph Karo had recently released his own commentary entitled "Kesef Mishneh", so he decided to omit any duplicate material and label his own work "Lechem Mishneh" as a complementary text.	פירוש על משנה תורה להרמב"ם הנדפס ברוב המהדורות. תוך כדי כתיבת חיבורו על הרמב"ם, הגיע לידי המחבר חיבורו של ר' יוסף קארו, "כסף משנה", ולכן השמיט כל מה שנכפל בחיבור שלו וקרא שם ספרו "לחם משנה", שהוא מעין תוספת על "כסף משנה". 	1578	10	Salonica / Thessaloniki 	1609	Venice	Achronim				
Lehem Mishneh on Mishneh Torah, Vows	Abraham de Boton	Commentary on Rambam's Mishneh Torah, incorporated with most editions of Rambam. While writing his commentary, the author became aware that R' Joseph Karo had recently released his own commentary entitled "Kesef Mishneh", so he decided to omit any duplicate material and label his own work "Lechem Mishneh" as a complementary text.	פירוש על משנה תורה להרמב"ם הנדפס ברוב המהדורות. תוך כדי כתיבת חיבורו על הרמב"ם, הגיע לידי המחבר חיבורו של ר' יוסף קארו, "כסף משנה", ולכן השמיט כל מה שנכפל בחיבור שלו וקרא שם ספרו "לחם משנה", שהוא מעין תוספת על "כסף משנה". 	1578	10	Salonica / Thessaloniki 	1609	Venice	Achronim				
Likutei Maamarim	Tzadok HaKohen of Lublin			1870	25				Achronim				
Machshavot Charutz	Tzadok HaKohen of Lublin			1870	25		1912	Lublin	Achronim				
Maggid Mishneh on Mishneh Torah, Borrowing and Deposit	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Creditor and Debtor	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Damages to Property	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Divorce	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Eruvin	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Fasts	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Forbidden Foods	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Forbidden Intercourse	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Hiring	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Inheritances	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Leavened and Unleavened Bread	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Levirate Marriage and Release	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Marriage	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, One Who Injures a Person or Property	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Plaintiff and Defendant	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Rest on a Holiday	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Ritual Slaughter	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Robbery and Lost Property	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Sabbath	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Scroll of Esther and Hanukkah	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Shofar, Sukkah and Lulav	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maggid Mishneh on Mishneh Torah, Theft	Vidal of Tolosa	Written by Vidal of Tolosa, Maggid Mishneh is a commentary on Rambam’s Mishneh Torah. Although the original commentary covered the entire Mishneh Torah, only a portion is extant.		1335	25	Girona, Catalonia, Spain	1509	Constantinople	Rishonim				
Maharam on Bava Batra	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Bava Kamma	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Bava Metzia	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Beitzah	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Chullin	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Eruvin	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Gittin	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Ketubot	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Kiddushin	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Makkot	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Niddah	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Sanhedrin	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Shabbat	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Sukkah	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Maharam on Yevamot	Maharam Lublin	A commentary on the Talmud written by Rabbi Meir of Lublin (Maharam 1558 – 1616). Published after his death by his son, Gedaliah, in 1619, the commentary deals extensively with the interpretations of Rashi and the Tosafists. 		1600	15	Poland	1619	Venice	Achronim				
Marpeh la'Nefesh	Raphael ben Zechariah Mendel	Commentary on Chovot HaLevavot	פירוש לספר חובות הלבבות	1754	20		1774	Oelsnitz, Germany	Achronim				
Melechet Shlomo on Mishnah Arakhin	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Avodah Zarah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Bava Batra	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Bava Kamma	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Bava Metzia	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Beitzah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Bekhorot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Berakhot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Bikkurim	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Chagigah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Challah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Chullin	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Demai	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Eduyot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Eruvin	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Gittin	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Horayot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Kelim	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Keritot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Ketubot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Kiddushin	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Kilayim	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Kinnim	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
