French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"איצצא/איגרו""ר",Ketubot 100b,Rashi on Ketubot 100b:17:1,,"1186 כתובות ק: <b>איצצא</b><br>איגרו""ר [aigror] egror <b>חמיצוּת</b><br><small>ראה לעיל מס' 683.$
</small>","(100b:17:1) איצצא - טעם הקרוב להחמיץ איגרו""ם בלע""ז:"
"דה""מ מאני דקוניא/פלומי""ר",Ketubot 107b,Rashi on Ketubot 107b:13:1,,"1187 כתובות קז: <b>דה""מ מאני דקוניא</b><br>פלומי""ר plomer <b>לכסות, למשוח בעופרת</b><br><small>ראה לעיל מס' 606.$
</small>","(107b:13:1) מאני דקוניא - כלי חרס שמחפין עליהם עופרת שקורין פלומבלי""ר בלע""ז:"
"צריף/אלו""ם",Ketubot 107b,Rashi on Ketubot 107b:13:2,,"1188 כתובות קז: <b>צריף</b><br>אלו""ם alum <b>צָריף</b><br><small>ראה לעיל מס' 185.$
</small>","(107b:13:2) חיורי שרו - לפי שהעופרת מחליק את החרס ואינו מניחו לבלוע אבל הירוקים מעורב צריף שקורין אלו""ם בתוך העופרת והוא עז ומחלחל את החרס ובולע והכי אמרי' במסכת ע""ז (דף לג:) דמצרפי ובלעי:"
"קרטופנא/קריבצי""ש",Ketubot 107b,Rashi on Ketubot 107b:14:2,,"1189 כתובות קז: <b>קרטופנא</b><br>קריבצי""ש crevaces <b>סדקים (בקירותיו של כלי)</b><br><small>$
</small>","(107b:14:2) קרטופנא - ביקועי קיריויני""ש בלע""ז:"
"דלית/טרייל""א",Ketubot 111b,Rashi on Ketubot 111b:21:1,,"1190 כתובות קיא: <b>דלית</b><br>טרייל""א [treille] treile <b>גפן-דליות</b><br><small>ראה לעיל מס' 653.$
</small>","(111b:21:1) דלית - כרם המודל על גבי כלונסות טריליא""ה בלע""ז:"
"אפרסקא/פירשק""א",Ketubot 112a,,,"1191 כתובות קיב. <b>אפרסקא</b><br>פירשק""א persche <b>אפרסק</b><br><small>לעז זה מצוי רק בכתב-יד אחד ובצורה משובשת פרשג""א (בהשפעת הפרובנסאלית?). בדפוסים שלנו אין המלה ""אפרסקא"" מופיעה כלל בפירוש רש""י. בלונדהיים מעתיק מאותו כתב-יד יחידי את המלה הארמית בצורת ""פרסקי"" (רבים).$
</small>"
"קיבוריא/שיאונדיי""ר",Ketubot 112a,Rashi on Ketubot 112a:11:4,,"1192 כתובות קיב. <b>קיבוריא</b><br>שיאונדיי""ר seondier <b>משני, בעל איכות נחותה</b><br><small>$
</small>","(112a:11:4) קיבוריא - קמח שאינו יפה שעושים ממנו פת קבור וקורין שאנדי""ר:"
"אסקונדרי/מירילי""ש",Nedarim 25a,,Rashi on Nedarim 25a:2:2,"1193 נדרים כה. <b>אסקונדרי</b><br>מירילי""ש mereles <b>אסימונים למשחק</b><br><small>ראה להלן מס' 1353. חסר בדפוסים, ומצוי רק בכתב-יד אחד (מרליי""ש).$
</small>",(25a:2:2) לאו לאפוקי - דיהיב ליה לבעל חובו אסקונדרי פיספסים שמשחקים בהן וקרא אותן זוזי ובכך רוצה לפטור עצמו מן השבועה מכלל דעביד איניש דנשבע לדעתא דנפשיה הכא נמי נימא הכי גבי שומשמני:
"תורייקי/תירייק""א",Nedarim 41b,Rashi on Nedarim 41b:1:2,,"1194 נדרים מא: <b>תורייקי</b><br>תירייק""א [teriake] theriake <b>תריאקה (תרופה נגד ארס נחשים)</b><br><small>מצוי רק בדפוסים. ברור, שהפרשן התכוון להראות, שאותה מלה משמשת בצרפתית כמו בלשון התלמוד. השימוש בתי""ו (במקום טי""ת) מצביע על השפעת הכתיב התלמודי, או על הקפדה (לא בימי רש""י, אלא בזמן ההדפסה) על הערך המיוחד של האות היוונית ?. שתי היודי""ן באות כנראה לציין את היו""ד העיצורית. ר' בלונדהיים ב' (ע' 151). פר' שמואל קוטק, במאמרו Sur quelques aromates cites dans la Bible et le Talmud (Revue de 
</small>","(41b:1:2) תורייקי - תירייק""א בלע""ז:"
"בורדם/בו""ן מלנ""ט",Nedarim 41b,Rashi on Nedarim 41b:3:1,,"1195 נדרים מא: <b>בורדם</b><br>בו""ן מלנ""ט bon malant <b>פצע חמור</b><br><small>ראה לעיל מס' 5. מצוי רק בדפוסים.$
</small>","(41b:3:1) בורדס - בסמ""ך שילשול גדול שיוצא כל שעה כמעיין הנובע שאין לו שוליים ויצאו ממנו כל המים ואית דאמרי בורדם במ""ם כמו בור שנובע דם ואית דאמרי מכה שקורין בו""ן מלנ""ט שיוצא נמי הימנו דם:
"
"כיפי/רישטי""ש",Nedarim 48b,Rashi on Nedarim 48b:1:1,,"1196 נדרים מח: <b>כיפי</b><br>רישטי""ש ristes <b>אגודות פשתן</b><br><small>ראה לעיל מס' 116. מצוי רק בכתב-יד אחד, כדלהלן: ""כיפי. גוזל כיפי, רישטי""ש בלע""[ז] של פשתן ואדרינהו [צ""ל: ואסרינהו] לפי שלא היה עוסק בתורה"".$
</small>",(48b:1:1) כיפי דכיתנא - שהיה גוזל אניצי פשתן ואית דאמרי שהיה משמט עצמו מללמוד תורה והיה עוסק באניצי פשתן:
"קום/מישג""א",Nedarim 51b,Rashi on Nedarim 51b:9:1,,"1197 נדרים נא: <b>קום</b><br>מישג""א mesge [mesgue] <b>מי-גבינה, נסיוב החלב</b><br><small>מצוי רק בדפוסים.$
</small>","(51b:9:1) מתני' מן הקום - משג""א היינו נסיובי דחלבא דקום אינו בכלל חלב:"
"קיפה/פונדרילי""ש",Nedarim 52a,Rashi on Nedarim 52a:1:2,,"1198 נדרים נב. <b>קיפה</b><br>פונדרילי""ש [fondrilles] fondriles <b>משקעים (של שאריות בשר)</b><br><small>מצוי רק בדפוסים.$
</small>","(52a:1:2) ובקיפה - מקפה עבה מתבלין פונדליר""ש בלע""'ז:"
"זומית/שלמויר""א",Nedarim 55b,Rashi on Nedarim 55b:4:1,,"1199 נדרים נה: <b>זומית</b><br>שלמויר""א salmuire <b>מי-מלח (של שימורים)</b><br><small>ראה לעיל מס' 30. מצוי רק בדפוסים.$
</small>","(55b:4:1) זומית - שלמור""א בלע""ז:"
"פונדא/אישקפילייר""א",Nedarim 55b,,Rashi on Nedarim 55b:7:1,"1200 נדרים נה: <b>פונדא</b><br>אישקפילייר""א תרמיל (תלוי בצוואר) <b>[] escharpeliere</b><br><small>מצוי בכתב-היד היחיד, שם קוראים: ""פונדא. שרפירל""א בלע""ז פונד""א"". אם אין המלה פונדא האחרונה חזרה בטעות על הדיבור המתחיל, כי אז זה יכול להיות האיטלקית fonda (ארנק), ר' ערוך השלם ר',b366. את הלעז לא פענח בלונדהיים, והוא תרגמו ""מין חגורה"" (בסימן שאלה). שם יש גם להסיט את המספר הקטן 1 מאחרי Bo אל אחרי spirla. אמנם אין השערתנו בטוחה, אבל מסתבר בכל אופן, שלפנינו מלה מהגזרון הגרמני skerpa (ממנו echarpe, צעיף, בצרפתית של היום).$
</small>",(55b:7:1) גמ' פונדא  - אזור חלול שחוגרין בו:
"פסקיא/פיישול""א",Nedarim 55b,Rashi on Nedarim 55b:7:2,,"1201 נדרים נה: <b>פסקיא</b><br>פיישול""א [faissole] feisole <b>רצועה</b><br><small>$
</small>","(55b:7:2) פסקיא - פיישול""א:"
"אנפליא/הושי""ש",Nedarim 55b,Rashi on Nedarim 55b:7:5,,"1202 נדרים נה: <b>אנפליא</b><br>הושי""ש hoses <b>מגפיים, קרסוליות (של עור)</b><br><small>מלה ממוצא גרמני (ר' Hosen), שבצרפתית נשרדה בצורת ההקטנה houseaux.$
</small>","(55b:7:5) אנפליא - הוש""ש בלע""ז של עור:"
"פליניא/פורציינ""ט",Nedarim 55b,,Rashi on Nedarim 55b:7:6,"1203 נדרים נה: <b>פליניא</b><br>פורציינ""ט porcient <b>חגורה</b><br><small>ראה לעיל מס' 112. חסר בדפוסים.$
</small>",(55b:7:6) פליניא - סינר:
"לוף/לופינ""א",Nedarim 58b,Rashi on Nedarim 58b:2:3,,"1204 נדרים נח: <b>לוף</b><br>לופינ""א lupine <b>תורמוס</b><br><small>מצוי רק בדפוסים. מי שרשם לעז זה התכוון להצביע על דמיון שם הצמח בעברית ובצרפתית (בצרפתית חדישה: lupin). אך הדבר תמוה, כי התורמוס מהקטניות ואינו דומה לבצל ולשום כמו הלוף (שמזהים אותו היום עם הצמח, ששמו הלטיני והצרפתי arum). על קיום הצורה lupine בימי-הביניים מעידה המלה האנגלית (lupine). הפרשן אומר, בהסברו השני, שסימן לסוף הקיץ הוא הקפלה (או: הכפלה), כלומר צבירה, של המקצועות, היינו הקציעות, התאנים, שנחתכו (נקצעו) כדי שיתייבשו, והיו עושים מהן מחרוזות. אשר לצורת הלעז, היינו מצפים יותר לצורה sartes (לפי המלה המתועדת באיטלקית ובספרדית sarta; בצרפתית אין תיעוד במילונים), אבל היו""ד קיימת בכל המקורות. מוצא המלה מהפועל sarcir (לאחות), ומשמעותה המקורית ""
</small>","(58b:2:3) ודילמא - הא דרבי שמעון בן אלעזר דגידולי היתר מעלין את האיסור בדבר שזרעו כלה וקא פריך ומי מצית אמרת דבדבר שזרעו כלה מיירי והתניא ואלו הן חסיות הלוף לופינ""א מכלל דבדבר שאין זרעו כלה מיירי ואפ""ה מותר ושמע מינה גידולי היתר מעלין את האיסור ולעולם מהא פשטה: וקא פריך עלה דלמא מהא לא תפשוט דבמדוכנין קא מיירי ושמא כלו כשהן נידוכין דליתא לעיקר בעין שהוא מתכוין לכותשן כדי שיהו בטלין:
"
"דה""מ דומה לאניצי פשתן/קרישפי""ש",Nedarim 66b,,Rashi on Nedarim 66b:6:2,"1206 נדרים סו: <b>דה""מ דומה לאניצי פשתן</b><br>קרישפי""ש crespes <b>מקורזלים</b><br><small>חסר בדפוסים. בדפוס וילנא חסר גם כל הפירוש, המופיע בדפוס בומברג כדלהלן: ""דומה לאניצי פשתן. מרוך זה בזה"".$
</small>",(66b:6:2) סגלגל - דומה לאניצי פשתן שראשיהן סגלגלים עגולין:
"צדעא/טינפל""א",Nazir 3a,Rashi on Nazir 3a:5:2,,"1207 נזיר ג. <b>צדעא</b><br>טינפל""א tenple <b>צדע, רקה</b><br><small>$
</small>","(3a:5:2) כדי לסוד כילכול ואמר רב בת צידעא - טינפל""א (צדע, רקה) בלע""ז שמקפל השער שברקתה כמין מגרר כדי להעמיד על גבן כיפה שבראשה שלא יפול השער שבאוזן למטה:"
"אוונא/קונטריד""א",Nazir 7a,Rashi on Nazir 7a:6:1,,"1208 נזיר ז. <b>אוונא</b><br>קונטריד""א contrede <b>חבל ארץ</b><br><small>ר' מילונו של לוי (מס' 246).$
</small>","(7a:6:1) וליהוי כל אוונא ואוונא - דאיכא ממקום פלוני עד כאן כאילו קבל עליה חדא נזירות לכל אוונא דאי הוו עשרים אוונות ליחייב בכל עשרים של שלשים שלשים דמילתא דעבידא היא דמנו אינשי אווני כמה אוונות יש מכאן ועד מקום פלוני דבכל מקום מנו אווני מחוז של כרך שכולן תלויין לכרך ולשם השר תדיר ולשם פורעין המס ואוונא לועזין בני אדם קונטרד""א (קונטריד""א: חבל ארץ) וכמו תאנת שילה (יהושע ט״ז:ו׳) וכמו תאנתה מי ישיבנה (ירמיהו ב׳:כ״ד):"
"אינבא/לינטרי""ש",Nazir 39a,Rashi on Nazir 39a:6:1,,"1209 נזיר לט. <b>אינבא</b><br>לינטרי""ש lentres <b>ביצי-כינים</b><br><small>בכתב-היד הגרסה לינדיני""ש (ראה לעיל מס' 977). – מדף ז' עד דף ל""ט אין לעזים.$
</small>","(39a:6:1) ת""ש מהאי אינבא חיה - לינטרי""ש ([[:קטגוריה:{קטן (ביצי|{קטן, (ביצי]][[קטגוריה:{קטן (ביצי]])} בלע""ז דהוא מביצי כינים:"
"חופף/פריי""ר",Nazir 42a,Rashi on Nazir 42a:8:1,,"1210 נזיר מב. <b>חופף</b><br>פריי""ר freier <b>לשפשף</b><br><small>ראה לעיל מס' 2. אצל בלונדהיים התרגום freier הוא טעות דפוס, בחזרה על המלה בצרפתית עתיקה, וצריך להיות frotter.$
</small>","(42a:8:1) מתני' נזיר חופף ומפספס - חופף כמו חופף עליו כל היום (דברים ל״ג:י״ב) לשון מגרד ובלעז פרי""ר (פריי""ר: לשפשף) :"
"דה""מ או שולקן/ושקרו""ד",Nazir 45b,Rashi on Nazir 45b:10:1,,"1211 נזיר מה: <b>דה""מ או שולקן</b><br>ושקרו""ד wascrud <b>כמעט חי (לא מבושל)</b><br><small>הרכיב was(=gas) מתועד בצרפתית של ימי-הביניים בביטויים gascru ו – gascort (קצר למדאי). ייתכן, שמוצאו מלטינית quasi (כמעט).
</small>","(45b:10:1) מתני' או שולקן - שאינו מבושל יפה וושקוד""ר (ושקו""ד: כמעט חי (לא מבושל)) בלע""ז:"
"קנטרנין/טורטוריו""ש",Nazir 49b,,,"1212 נזיר מט: <b>קנטרנין</b><br>טורטוריו""ש גורמי-נזק, עושי-עוול <b>torurios</b><br><small>$
</small>"
"צפיחית/ברישקי""ש",Nazir 50a,Rashi on Nazir 50a:13:2,,"1213 נזיר נ. <b>צפיחית</b><br>ברישקי""ש bresches <b>חלות-דבש</b><br><small>ר' מילונו של לוי (מס' 186-168).$
</small>","(50a:13:2) והצפיחית - כמו כצפיחית בדבש (שמות ט״ז:ל״א) ברישקרי""ש ([[:קטגוריה:{קטן (ברישקי""ש: חלות|{קטן, (ברישקי""ש: חלות]][[קטגוריה:{קטן (ברישקי""ש: חלות]])} בלע""ז והואיל והן עבין נעשה תחתון כמו מחובר לעליון שהקילוח היורד למטה למשקין טמאין נעשה כולו טמא ואפילו העליון אבל דבש שלנו שאינו עב הואיל וצלול הוא ניצוק שבו טהור ככל המשקין:"
"איסקריא/מש""ט",Nazir 55a,Rashi on Nazir 55a:5:2,,"1214 נזיר נה. <b>איסקריא</b><br>מש""ט mast <b>תורן</b><br><small>$
</small>","(55a:5:2) הנכנס כו' בקרון ובספינה ובאיסקריא - כלומר בספינה גדולה שיש בה איסקריא וקרי לה הכי על שם איסקריא שבה דהיינו תורן וקרוי פוש""ט (מש""ט: תורן) בלע""ז משום דמילתא דשכיחא גזרו בה רבנן והא מתני' ר' יוסי בר' יהודה היא:"
"שבת/אניי""ד",Nazir 56b,,,"1215 נזיר נו: <b>שבת</b><br>אניי""ד aneid <b>שֶבֶת (צמח ריחני)</b><br><small>$
</small>"
"קססות/בלישטי""ש",Nazir 65a,Rashi on Nazir 65a:8:2,,"1216 נזיר סה. <b>קססות</b><br>בלישטי""ש blestes <b>גושי אדמה</b><br><small>$
</small>","(65a:8:2) ואת הקססות - קוזזות של אדמה שנדבקו מן הדם ומן המוהל שקורין בלישטי""ט (בלישטי""ש: גושי אדמה) בלע""ז:"
"נפרמו/דימינציי""ר",Sotah 7a,Rashi on Sotah 7a:21:3,,"1217 סוטה ז. <b>נפרמו</b><br>דימינציי""ר demincier <b>לחתוך לחתיכות דקות, לקרוע לגזרים</b><br><small>$
</small>","(7a:21:3) ואם נפרמו - אינו חושש פרימה גדולה מקריעה שנקרעה לקרעים הרבה דמינציי""ר (דימינציי""ר: לחתוך לחתיכות דקות, לקרוע לגזרים) בלע""ז כמו האי דפרים סילקא (שבת דף עד:):"
"צלצול/בינדי""ל",Sotah 8b,Rashi on Sotah 8b:6:2,,"1218 סוטה ח: <b>צלצול</b><br>בינדי""ל bendel <b>אגד, חגורה, סרט</b><br><small>ראה לעיל מס' 251.$
</small>","(8b:6:2) היא חגרה לו - חגרה את עצמה בצלצול נאה להתנאות בפניו צילצול בנדי""ל (בינדי""ל: אגד, חגורה, סרט) בלע""ז:"
"סרונכי/בו""ן מלנ""ט",Sotah 8b,Rashi on Sotah 8b:14:5,,"1219 סוטה ח: <b>סרונכי</b><br>בו""ן מלנ""ט bon malant <b>פצע חמור</b><br><small>ראה לעיל מס' 5. כאן, כמו במקומות רבים בפירושי רש""י, הפצע הנדון הוא אסכרא, שבימי-הביניים חשבו, שהוא מורסה בגרון המעכבת את הנשימה.$
</small>","(8b:14:5) סרונכי - בומנל""ט (בו""ן מלנ""ט: פצע חמור [הוא האסכרה, שבימי הביניים חשבו שהוא מורסה בגרון המעכבת את הנשימה. וראה הרחבה בספר]) והוא חולי בגרונו:"
"ברכה/פוישו""ן",Sotah 10a,Rashi on Sotah 10a:2:1,,"1220 סוטה י. <b>ברכה</b><br>פוישו""ן foison <b>שפע</b><br><small>$
</small>","(10a:2:1) במה בירכו - כל ברכה שבמקרא לשון ריבוי הוא דבר המרבה ומצוי בו שובע פוייש""ן (פוישו""ן: שפע) בלע""ז ומה ברכה נמצא בו לא מצינו עושר בשמשון:"
"שפי/אישלוישיי""ץ",Sotah 10a,Rashi on Sotah 10a:9:1,,"1221 סוטה י. <b>שפי</b><br>אישלוישיי""ץ שָמוּט <b>[esloissiez] esloisiez</b><br><small>כאן: מי שרגלו שמוטה, נקועה, היינו חיגר.$
</small>","(10a:9:1) שפי - אשלויישי""ש כמו דשף מדוכתיה (חולין דף מב:):"
"פודגרא/פודגר""א",Sotah 10a,Rashi on Sotah 10a:14:1,,"1222 סוטה י. <b>פודגרא</b><br>פודגר""א podagre <b>צינית (שיגרון או שיגדון ברגליים)</b><br><small>רש""י מצביע על קרבת המלה שבגמרא לצרפתית המדוברת במקומו. אולם ייתכן מאוד, שגרסת הלעז מושפעת מהדה""מ הארמי או מהשפה הספרדית, והגרסה פואקר""א הכתובה ב""עין יעקב"" (*poacre) היא המקורית, כי אין זה יוצא מדברי רש""י שהמלים זהות ממש. מכל מקום אי-אפשר לבדוק הרבה, כי אין כתבי-יד עתיקים של פירוש רש""י על מסכת סוטה, והמקורות המוסמכים הם דפוס בומברג ו""עין יעקב"" (מהדורת שאלוניקי, רע""ו).
</small>",(10a:14:1) פודגרא - (צינית (שיגרון או שיגדון ברגליים)) שם חולי הוא שאוחז ברגלים וקורא לו פודגרא:
"השמה/אמניוימינ""ט",Sotah 11a,,,"1223 סוטה יא. <b>השמה</b><br>אמניוימינ""ט הכשרה (נפשית) <b>amanewement [amanevement]</b><br><small>חסר בדפוסי התלמוד ונמצא רק ברש""י שב""עין יעקב"". ר' בלונדהיים ב'(ע' 84-82).$
</small>"
"משפר/אינמיילולי""ר",Sotah 11b,Rashi on Sotah 11b:7:2,,"1224 סוטה יא: <b>משפר</b><br>אינמיילולי""ר enmeiloler <b>לחתל</b><br><small>בניגוד לשלושה מקומות אחרים (לעיל מס' 441 ומס' 486 ולהלן מס' 1533), שבהם לעז זה מפרש את הארמית ""לפופי"", כאן הוא מפרש את העברית ""משפר"" (או לפי גרסת הדפוסים ""משפיר""), וכפי שרש""י מדגיש, לא מדובר כאן בסתם חיתולים, אלא בחיתול מיוחד לתיקון איברים. הלעז חסר בדפוסי התלמוד, ומצוי רק ברש""י שב""עין יעקב"".$
</small>","(11b:7:2) משפר - כמו שעושין לתינוקות ליישב את איבריהם ולתקנן שניתקין מצער הלידה (ברש""י שבעין יעקב מופיע כאן הלעז: אינמיילולי""ר, שפירושו: לחתל) :"
"(""דה""מ סדן)ביצים/מטונ""ש",Sotah 11b,,,"1225 סוטה יא: <b>(""דה""מ סדן)ביצים</b><br>מטונ""ש matons <b>גושים</b><br><small>חסר בדפוסי התלמוד ומצוי רק ברש""י שב""עין יעקב"".$
</small>"
"ירקרקת/פלד""א",Sotah 12a,,Rashi on Sotah 12a:3:1,"1226 סוטה יב. <b>ירקרקת</b><br>פלד""א palde <b>חיוורת</b><br><small>חסר בדפוסי התלמוד ומצוי רק ברש""י שב""עין יעקב"".$
</small>",(12a:3:1) ליריעות - בלי תואר אדמומית דמחמת חוליה היתה ירקרקת:
"(דה""מ ששיבב את עצמו)שובבה/אישוייד""א",Sotah 12a,,,"1227 סוטה יב. <b>(דה""מ ששיבב את עצמו)שובבה</b><br>אישוייד""א סוטה מהדרך, חורגת מהקו, פורצת דרך <b>esweiede [esveiede]</b><br><small>חסר בדפוסי התלמוד ומצוי רק ברש""י שב""עין יעקב"".$
</small>"
"אגם/אושיריי""ד",Sotah 12b,,Rashi on Sotah 12b:1:1,"1228 סוטה יב: <b>אגם</b><br>אושיריי""ד osereid <b>שדה-ערבות</b><br><small>כאן מדובר בערבות הגמישות (osiers). שמהן עושים כלי נצרים (ראה לעיל מס' 537). הלעז חסר בדפוסי התלמוד ומצוי רק ברש""י שב""עין יעקב"".$
</small>",(12b:1:1) אגם - של עצי ערבה וקנים דקין והוא קנה וסוף דקרא קנה קנים סוף ערבה דקה:
"חומר/בוטו""ן",Sotah 15a,Rashi on Sotah 15a:13:1,,"1229 סוטה טו. <b>חומר</b><br>בוטו""ן boton <b>כפתור</b><br><small>רש""י מסביר: ""והוא של זהב וחותמים בו שני צוארי חלוק לנוי"". הוא מתכוון לפרש את הביטוי ""אדרשנה כמין חומר"" (כלומר אדרשנה מהקבלה סמלית, כפי שרבן גמליאל אומר במשנה: ""כשם שמעשה [של הסוטה] מעשה בהמה, כך קרבנה מאכל בהמה [קמח שעורים ולא סולת חיטים כמו בשאר הקרבנות]""). והוא מדגיש: א) יש כאן חיבור שני דברים, המשל והנמשל, כפי שהכפתור מחבר את שני קצווי הצווארון; ב) סמל זה נעים לאוזן וללב כפי שכפתור זהב מקשט את החלוק.$
</small>","(15a:13:1) חומר - בוטו""ן בלע""ז והוא של זהב וחותמים בו שני צוארי חלוק לנוי:"
"דבק/גלו""ד",Sotah 17a,Rashi on Sotah 17a:25:2,,"1230 סוטה יז. <b>דבק</b><br>גלו""ד glud <b>דבק חזק</b><br><small>$
</small>","(17a:25:2) נייר - של עשבים שכותשין ומדבקין אותן בדבק שקורין גלי""ד ועושין כמו עור:"
"עפצים/גלי""ש",Sotah 17b,Rashi on Sotah 17b:1:1,,"1231 סוטה יז: <b>עפצים</b><br>גלי""ש gales <b>עפצים (גידולים טפיליים בעלה האלון)</b><br><small>$
</small>","(17b:1:1) דיפתרא - עור שאינה מעובד כל צרכה דמליח וקמיח ולא עפיץ שהיו מעבדין הקלפים בעפצים שקורין גלי""ש (עפצים (גידולים טפיליים בעלה האלון)) :"
"קנקנתום/וידריאו""ל",Sotah 17b,Rashi on Sotah 17b:2:2,,"1232 סוטה יז: <b>קנקנתום</b><br>וידריאו""ל wedriol [vedriol] <b>ויטריאול (חומצה גפרתית)</b><br><small>הצורה שלפנינו מושפעת מהאיטלקית (וויטריאול""ו vetriolo). ור' עליה בלונדהיים ב' (ע' 172-171).$
</small>","(17b:2:2) קנקנתום - וויטריאול""ו קורין אותו:"
"קנקנתום/אדרימינ""ט",Sotah 17b,,"Rashi on Sotah 17b:2:3,
Rashi on Sotah 17b:2:2","1233 סוטה יז: <b>קנקנתום</b><br>אדרימינ""ט adrement <b>צבע שחור</b><br><small>ראה לעיל מס' 358.$
</small>","(17b:2:3) ולא בכל דבר שהוא רושם - ונבלע בקלף ואינו יכול למחוק וקומוס וקנקנתום עבדי רושם:,
(17b:2:2) קנקנתום - וויטריאול""ו קורין אותו:"
"כיפין/אר""ק וולו""ד",Sotah 34a,Rashi on Sotah 34a:3:1,,"1234 סוטה לד. <b>כיפין</b><br>אר""ק וולו""ד [arc volud] arc wolud <b>קמרון</b><br><small>ראה לעיל מס' 1109.$
</small>","(34a:3:1) כיפין - אולמות ארוקוולו""ד:"
"בימה/אלמינבר""א",Sotah 41a,Rashi on Sotah 41a:15:2,,"1235 סוטה מא. <b>בימה</b><br>אלמינבר""א almenbre <b>בימה</b><br><small>ראה לעיל מס' 837.$
</small>","(41a:15:2) בימה - אלמבר""א:"
"דחקא/אינקוברי""ר",Sotah 41b,,,"1236 סוטה מא: <b>דחקא</b><br>אינקוברי""ר להפריע <b>[enconbrer] encobrer</b><br><small>בלונדהיים מעתיק enco[n]brer. בדרך כלל הוא מוסיף אותיות באריחיים רק כדי לתקן כתיב בלי שינוי ממשי במלה. וכפי שהסברתי בהקדמה אני נמנע מלהתחשב בתיקונו במקרה שלפנינו קשה להבין מה כוונתו: למסור את גרסת המקור (שהיא באמת ""אנקוברי""ר) ולציין את חסרון האות, או לרמוז על הצורה המקובלת בצרפתית עתיקה, שממנה חרג רש""י?$
</small>"
"פאפי/פדרשטרי""ש",Sotah 42b,Rashi on Sotah 42b:5:5,,"1237 סוטה מב: <b>פאפי</b><br>פדרשטרי""ש padrastres <b>אבות חורגים</b><br><small>לפי פירושו של רש""י (בתוספות יש פירושים אחרים) נתעברה בו אמו של גלית הפלשתי אחרי שבאו עליה מאה איש. אחד מהם זרעו נקלט, והוא אביו של גלית, וכל השאר היו ""אבות חורגים"".$
</small>",(42b:5:5) פאפי - פרשטרא ולשון איש הבינים שיצא מבין אנשים הרבה:
"כשילין/וירי""ש",Sotah 44a,Rashi on Sotah 44a:13:4,,"1238 סוטה מד. <b>כשילין</b><br>וירי""ש [vires] wires <b>חיצים מסתובבים</b><br><small>לא ברור לי, למה לא איחד בלונדהיים ערך זה והערך הקודם אצלו (מס' 1061 שלו, ראה לעיל מס' 108).אמנם שם מדובר בסרגל ופה ""כעין חיצין"", אבל אפשר להבין שהשוטרים איימו על הנוטים לערוך במין אֵלָּה, הדומה הן לעץ של החץ הן לסרגל.$
</small>","(44a:13:4) וכשילין של ברזל בידיהם - לשמור שלא ינוסו וכשילין כעין חצין שקורין ווריי""ש: "
"בית פגי/צינגל""א",Sotah 45a,Rashi on Sotah 45a:5:2,,"1239 סוטה מה. <b>בית פגי</b><br>צינגל""א cengle <b>חומה (החובקת את העיר)</b><br><small>הפרשנים רואים היום ב""בית פגי"" שם פרטי של אחד מפרוורי ירושלים. לדעת רש""י ""בית פגי"" הוא שם כללי המורה על האיזור המקיף את העיר. בהתאם לכך ציין את הקרבה בין הוראה זו ובין ההוראה ""אפסר"" (להלן מס' 1240), שהוא מתקן המקיף את פני החמור.$
</small>","(45a:5:2) אבי פאגי - כל שהוא בתוך היקף החיצון של ירושלים קרוי בי פאגי ולי נראה שהוא לשון חבישה כמו שקורין ציגל""א (צינגל""א: חומה של עיר כמו חמור ובית פאגי (ב""מ דף ט.) בשטדידור""א בית ראש של אפסר קורין כן:"
"(בית פגיה)[בית פגים]/ייבישטרידור""א",Sotah 45a,Rashi on Sotah 45a:5:2,,"1240 סוטה מה. <b>(בית פגיה)[בית פגים]</b><br>ייבישטרידור""א jevestredure <b>אפסר</b><br><small>ראה צורות אחרות של אותהמלה לעיל מס' 191 ועוד (chevestre) וכן מס' 195 ולהלן מס' 1743, מקום, שהובא כאן ברש""י (chevecine).$
</small>","(45a:5:2) אבי פאגי - כל שהוא בתוך היקף החיצון של ירושלים קרוי בי פאגי ולי נראה שהוא לשון חבישה כמו שקורין ציגל""א (צינגל""א: חומה של עיר כמו חמור ובית פאגי (ב""מ דף ט.) בשטדידור""א בית ראש של אפסר קורין כן:"
"איטני/יש""א",Sotah 48b,Rashi on Sotah 48b:14:1,,"1241 סוטה מח: <b>איטני</b><br>יש""א [jasse] jase <b>ארגז</b><br><small>בלונדהיים הסתמך על גרסת רש""י שב""עין יעקב"" (ייש""א) ופסל את גרסת דפוסי התלמוד (מש""א, דהיינו mase). לפי דעתו המלה jase במשמעות ""אסל של מאזניים"" (לעיל מס' 239) היא הוראת משנה של jase (בכתיב המקובל: chasse) במשמעות ""ארגז"".$
</small>","(48b:14:1) איטני של אבר - גובתא מש""א (יש""א: ארגז) בלע""ז:"
