French Word (en),French Word (he),Tanakh Ref,Rashi Matches
enwolopement,"אינוולופימינ""ט",Jeremiah 43:9,[]
forbir,"פורבי""ר",Jeremiah 46:4,['Rashi on Jeremiah 46:4:1']
,"קופל""א",Jeremiah 46:21,['Rashi on Jeremiah 46:21:2']
la seniorie d'Alesandre,"ל""ה שיניוריא""ה דלישנדר""א",Jeremiah 46:25,['Rashi on Jeremiah 46:25:2']
isle,"אישל""א",Jeremiah 47:4,[]
fose,"פוש""א",Jeremiah 48:43,['Rashi on Jeremiah 48:43:2']
e trespercera,"א""י טרישפירציר""א",Jeremiah 48:45,[]
wanter,"ונטי""ר",Jeremiah 49:4,['Rashi on Jeremiah 49:4:1']
ainse,"אינש""א",Jeremiah 49:29,[]
perche,"פירק""א",Jeremiah 50:2,['Rashi on Jeremiah 50:2:1']
esweierent,"אישויירינ""ט",Jeremiah 50:6,[]
desoser,"דישאושי""ר",Jeremiah 50:17,['Rashi on Jeremiah 50:17:2']
garantie,"גרנטיא""ה",Jeremiah 50:37,['Rashi on Jeremiah 50:37:1']
talent,"טלינ""ט",Jeremiah 51:1,['Rashi on Jeremiah 51:1:1']
en sei meismes,"אי""ן שי""י מאישמי""ש",Jeremiah 51:14,[]
hericier,"היריציי""ר",Jeremiah 51:27,[]
coife,"קויפ""א",Jeremiah 52:22,['Rashi on Jeremiah 52:22:1']
destrece,"דישטריצ""א",Ezekiel 1:3,['Rashi on Ezekiel 1:3:2']
estencelant,"אישטינצילנ""ט",Ezekiel 1:7,[]
plandurs,"פלנדור""ש",Ezekiel 1:13,['Rashi on Ezekiel 1:13:3']
de lestencele,"די""ל אישטינציל""א",Ezekiel 1:14,[]
cristal,"קרישט""ל",Ezekiel 1:16,['Rashi on Ezekiel 1:16:1']
e lor sorcils,"א""י לו""ר שורציל""ש",Ezekiel 1:18,[]
jelede fort,"ייליד""א פור""ט",Ezekiel 1:22,[]
porparlanz,"פורפרלנ""ץ",Ezekiel 2:2,[]
eglentiers,"איגלינטייר""ש",Ezekiel 2:6,['Rashi on Ezekiel 2:6:4']
tiule,"טיול""א",Ezekiel 4:1,[]
mangonel,"מנגוני""ל",Ezekiel 4:2,['Rashi on Ezekiel 4:2:1']
bastion,"בשטיו""ן",Ezekiel 4:2,[]
paniz e espelte,"פני""ץ א""י אישפילט""א",Ezekiel 4:9,['Rashi on Ezekiel 4:9:1']
piece de pan,"פייצ""א ד""י פ""ן",Ezekiel 4:16,['Rashi on Ezekiel 4:16:1']
ainse,"אינש""א",Ezekiel 4:16,['Rashi on Ezekiel 4:16:3']
dobtor,"דובטו""ר",Ezekiel 4:16,[]
parchaminier,"פרקמיניי""ר",Ezekiel 5:1,[]
destorber,"דישטורבי""ר",Ezekiel 5:14,['Rashi on Ezekiel 5:14:1']
demonir,"דימוני""ר",Ezekiel 6:9,['Rashi on Ezekiel 6:9:3']
plancon,"פלנצו""ן",Ezekiel 6:13,['Rashi on Ezekiel 6:13:1']
flocel,"פלוצי""ל",Ezekiel 8:3,['Rashi on Ezekiel 8:3:1']
a l’entree,"א""ל אינטריא""ה",Ezekiel 8:5,['Rashi on Ezekiel 8:5:3']
feisant plorer l eschalfed,"פיישנ""ט פלורי""ד לישקלפי""ד",Ezekiel 8:14,['Rashi on Ezekiel 8:14:4']
boiel,"בויי""ל",Ezekiel 10:12,['Rashi on Ezekiel 10:12:1']
wostre talent,"וושטר""א טלינ""ט",Ezekiel 11:5,['Rashi on Ezekiel 11:5:2']
apercevront,"אפירציברונ""ט",Ezekiel 12:3,['Rashi on Ezekiel 12:3:3']
come isues,"קומ""א אישואי""ש",Ezekiel 12:4,['Rashi on Ezekiel 12:4:1']
espandrei,"אישפנדרי""י",Ezekiel 12:14,[]
aseijedes,"אשייאיידי""ש",Ezekiel 12:20,[]
devineile,"דיבינייל""א",Ezekiel 12:24,['Rashi on Ezekiel 12:24:2']
sera alongiede,"שיר""א אלונגייד""א",Ezekiel 12:25,['Rashi on Ezekiel 12:25:1']
e cuideront,"א""י קוידירונ""ט",Ezekiel 13:6,[]
ajostement,"איושטימינ""ט",Ezekiel 13:10,[]
cosanz,"קושנ""ץ",Ezekiel 13:18,[]
aiseles,"אישילי""ש",Ezekiel 13:18,['Rashi on Ezekiel 13:18:2']
les ajostemenz,"לי""ש איושטימינ""ץ",Ezekiel 13:18,[]
faltrajes,"פלטריי""ש",Ezekiel 13:18,['Rashi on Ezekiel 13:18:5']
en gelonedes,"אי""ן גלוניא""ש",Ezekiel 13:19,[]
e en pieces,"א""י אי""ן פייצי""ש",Ezekiel 13:19,[]
seies repoduz,"שייא""ש ריפונדו""ץ",Ezekiel 14:4,['Rashi on Ezekiel 14:4:1']
furent asevrez,"פורינ""ט אשיברי""ץ",Ezekiel 14:5,['Rashi on Ezekiel 14:5:2']
mes ires,"מי""ש אירי""ש",Ezekiel 14:8,['Rashi on Ezekiel 14:8:2']
mes justices,"מי""ש יושטיצי""ש",Ezekiel 14:21,[]
eret remanse,"איריט רימנש""א",Ezekiel 14:22,[]
a deworer,"אדיוורי""ר",Ezekiel 15:4,[]
bruir,"ברואי""ר",Ezekiel 15:4,['Rashi on Ezekiel 15:4:2']
esart,"אישר""ט",Ezekiel 15:4,['Rashi on Ezekiel 15:4:2']
feis savoir,"פיי""ש שבוי""ר",Ezekiel 16:2,['Rashi on Ezekiel 16:2:1']
fun nee,"פו""ש ניא""ה",Ezekiel 16:4,['Rashi on Ezekiel 16:4:1']
a aplanisement,"אאפלנישימינ""ט",Ezekiel 16:4,[]
aborisement,"אבורישימינ""ט",Ezekiel 16:5,['Rashi on Ezekiel 16:5:2']
doiliede,"שוילייד""א",Ezekiel 16:6,[]
enjusca siegle,"איניושק""א שייגל""א",Ezekiel 16:7,['Rashi on Ezekiel 16:7:2']
furent afeitiedes,"פורינ""ט אפייטיידי""ש",Ezekiel 16:7,['Rashi on Ezekiel 16:7:3']
amistied,"אמישטיי""ד",Ezekiel 16:8,[]
e chalcei tei teison,"א""י קלצי""י ט""י טיישו""ן",Ezekiel 16:10,['Rashi on Ezekiel 16:10:2']
e focielis tei,"א""י פוציילי""ש טי""י",Ezekiel 16:10,[]
seide,"שייד""א",Ezekiel 16:10,[]
e parei tei,"א""י פרי""י טי""י",Ezekiel 16:11,[]
corone,"קורונ""א",Ezekiel 16:14,['Rashi on Ezekiel 16:14:1']
palastrdes,"פלשטרידי""ש",Ezekiel 16:16,[]
e non avenir e non iret,"א""י נו""ן אביני""ר אינו""ן ייר""ט",Ezekiel 16:16,['Rashi on Ezekiel 16:16:2']
e achalveisas,"א""י אקלבייש""ש",Ezekiel 16:25,[]
e enseras a els,"א""י אינשיר""ש אאיל""ש",Ezekiel 16:28,[]
parlediz,"פרלידי""ץ",Ezekiel 16:31,['Rashi on Ezekiel 16:31:2']
loier,"לויאי""ר",Ezekiel 16:31,['Rashi on Ezekiel 16:31:3']
fonz,"פונ""ץ",Ezekiel 16:36,['Rashi on Ezekiel 16:36:1']
melas,"מיל""ש",Ezekiel 16:37,[]
e trespercerint tei,"א""י טרישפירצירונ""ט טי""י",Ezekiel 16:40,[]
e pleut,"א""י פליאו""ט",Ezekiel 16:47,[]
pichot,"פיקו""ט",Ezekiel 16:47,['Rashi on Ezekiel 16:47:2']
patremonie,"פטרימוני""א",Ezekiel 16:61,['Rashi on Ezekiel 16:61:4']
ele,"איל""א",Ezekiel 17:3,['Rashi on Ezekiel 17:3:1']
cime,"צימ""א",Ezekiel 17:3,['Rashi on Ezekiel 17:3:3']
salche,"שלק""א",Ezekiel 17:5,['Rashi on Ezekiel 17:5:4']
amasa,"אמש""א",Ezekiel 17:7,['Rashi on Ezekiel 17:7:2']
fueilie,"פואיילי""א",Ezekiel 17:9,['Rashi on Ezekiel 17:9:4']
seront espanduz,"שירונ""ט אישפנדו""ץ",Ezekiel 17:21,[]
greife,"גרייפ""א",Ezekiel 17:22,['Rashi on Ezekiel 17:22:2']
amonceled,אמונציליד,Ezekiel 17:22,[]
esenplanz,"אישנפלנ""ץ",Ezekiel 18:2,['Rashi on Ezekiel 18:2:1']
werjuz,"ויריו""ץ",Ezekiel 18:2,[]
agaceront,"אגצירונ""ט",Ezekiel 18:2,['Rashi on Ezekiel 18:2:3']
e apercut,"א""י אפירצו""ט",Ezekiel 18:14,['Rashi on Ezekiel 18:14:1']
afeitied,"אפייטיי""ד",Ezekiel 18:29,[]
retorner,"ריטורני""ר",Ezekiel 18:30,['Rashi on Ezekiel 18:30:1']
retreire,"ריטרייר""א",Ezekiel 21:3,[]
forbide,"פורביד""א",Ezekiel 21:14,['Rashi on Ezekiel 21:14:2']
plandurs,"פלנדור""ש",Ezekiel 21:15,['Rashi on Ezekiel 21:15:1']
glapisment,"גלפישמינ""ט",Ezekiel 21:20,['Rashi on Ezekiel 21:20:3']
esarter,"אישרטי""ר",Ezekiel 21:24,['Rashi on Ezekiel 21:24:3']
lisant,"לישנ""ט",Ezekiel 21:24,['Rashi on Ezekiel 21:24:3']
carfor,"קרפו""ר",Ezekiel 21:26,['Rashi on Ezekiel 21:26:1']
traist,"טראיש""ט",Ezekiel 21:26,['Rashi on Ezekiel 21:26:3']
parlediz,"פרלידי""ץ",Ezekiel 22:4,['Rashi on Ezekiel 22:4:2']
atenvirent,"אטינבירינ""ט",Ezekiel 23:3,['Rashi on Ezekiel 23:3:2']
esweier,"אישויי""ר",Ezekiel 23:5,['Rashi on Ezekiel 23:5:1']
desirer,"דישירי""ר",Ezekiel 23:5,['Rashi on Ezekiel 23:5:1']
justices,"יושטיצי""ש",Ezekiel 23:10,[]
weineted,"וייניטי""ד",Ezekiel 23:11,[]
eslochier,"אישלוקיי""ר",Ezekiel 23:17,['Rashi on Ezekiel 23:17:2']
semonz,"שימונ""ץ",Ezekiel 23:23,['Rashi on Ezekiel 23:23:2']
feisant,"פיישנ""ט",Ezekiel 23:30,['Rashi on Ezekiel 23:30:1']
e suceras,"א""י שוציר""ש",Ezekiel 23:34,['Rashi on Ezekiel 23:34:1']
rodre,"רודר""א",Ezekiel 23:34,[]
al lue,"א""ל לו""א",Ezekiel 23:40,['Rashi on Ezekiel 23:40:3']
colire,"קוליר""א",Ezekiel 23:40,['Rashi on Ezekiel 23:40:4']
parede,"פריד""א",Ezekiel 23:41,['Rashi on Ezekiel 23:41:1']
escume,"אישקומ""א",Ezekiel 24:6,['Rashi on Ezekiel 24:6:1']
foede,"פואיד""ה",Ezekiel 24:9,['Rashi on Ezekiel 24:9:1']
adorser,"אדורשי""ר",Ezekiel 24:10,['Rashi on Ezekiel 24:10:2']
seies demoniz,"שייא""ש דימוני""ץ",Ezekiel 24:17,['Rashi on Ezekiel 24:17:1']
grenon,"גרינו""ן",Ezekiel 24:22,['Rashi on Ezekiel 24:22:2']
e serez demoniz,"א""י שירי""ץ דימוני""ץ",Ezekiel 24:23,['Rashi on Ezekiel 24:23:1']
golosement,"גולושימינ""ט",Ezekiel 25:6,['Rashi on Ezekiel 25:6:3']
marche,"מרק""א",Ezekiel 25:16,['Rashi on Ezekiel 25:16:2']
e la colede de sa periere,"אי ל""א קוליד""א ד""י ש""א פירייר""א",Ezekiel 26:9,[]
de s'arbaleste,"ד""י שארבלישט""א",Ezekiel 26:9,[]
de la foison,"ד""י ל""א פוישו""ן",Ezekiel 26:10,[]
lor defreiniement,"לו""ר דיפרייניימינ""ט",Ezekiel 26:17,[]
port,"פור""ט",Ezekiel 27:3,['Rashi on Ezekiel 27:3:2']
weile,"וייל""א",Ezekiel 27:5,['Rashi on Ezekiel 27:5:5']
mast,"מש""ט",Ezekiel 27:2,[]
chesne,"קישנ""א",Ezekiel 27:6,['Rashi on Ezekiel 27:6:1']
reims,"ריימ""ש",Ezekiel 27:6,['Rashi on Ezekiel 27:6:2']
governeil,"גובירניי""ל",Ezekiel 27:6,[]
segel,"שיג""ל",Ezekiel 27:7,['Rashi on Ezekiel 27:7:2']
weile,"וייל""א",Ezekiel 27:7,['Rashi on Ezekiel 27:7:2']
perche,"פירק""א",Ezekiel 27:7,[]
afeitiant ta crewace,"אפייטיאנ""ט ט""א קרויצ""א",Ezekiel 27:9,['Rashi on Ezekiel 27:9:2']
garantie,"גרנטיא""ה",Ezekiel 27:9,['Rashi on Ezekiel 27:9:5']
andois(?),"אנדוי""ש(?)",Ezekiel 27:11,[]
cuivrins,"קויברינ""ש",Ezekiel 27:11,['Rashi on Ezekiel 27:11:3']
estein,"אישטיי""ן",Ezekiel 27:12,['Rashi on Ezekiel 27:12:3']
paon,"פאו""ן",Ezekiel 27:15,['Rashi on Ezekiel 27:15:2']
escharboncle,"אישקרבונקל""א",Ezekiel 27:16,['Rashi on Ezekiel 27:16:3']
troche,"טרוק""א",Ezekiel 27:17,[]
balsme,"בלשמ""א",Ezekiel 27:17,[]
mases,"משי""ש",Ezekiel 27:19,[]
parement,"פרימינ""ט",Ezekiel 27:24,['Rashi on Ezekiel 27:24:1']
escrin,"אישקרי""ן",Ezekiel 27:24,['Rashi on Ezekiel 27:24:2']
jafreites,"יפרייטי""ש",Ezekiel 27:24,['Rashi on Ezekiel 27:24:3']
armeise,"ארמייש""א",Ezekiel 27:24,[]
sibler,"שיבלי""ר",Ezekiel 27:36,['Rashi on Ezekiel 27:36:1']
peinture,"פיינטור""א",Ezekiel 28:12,['Rashi on Ezekiel 28:12:2']
poiniant,"פוינינ""ט",Ezekiel 28:24,['Rashi on Ezekiel 28:24:3']
ains,"אינ""ש",Ezekiel 29:4,['Rashi on Ezekiel 29:4:1']
en tes eschardes,"אי""ן טי""ש אישקרדי""ש",Ezekiel 29:4,[]
e etendrei toi,"א""י איטינדרי""י טו""י",Ezekiel 29:5,['Rashi on Ezekiel 29:5:1']
sera aseijede,"שיר""א אשייאייד""א",Ezekiel 29:11,[]
chalve,"קלב""א",Ezekiel 29:18,[]
pelede,"פיליד""א",Ezekiel 29:18,[]
garantie,"גרנטיא""ה",Ezekiel 30:5,['Rashi on Ezekiel 30:5:1']
cime,"צימ""א",Ezekiel 31:3,['Rashi on Ezekiel 31:3:5']
fosez,"פושי""ץ",Ezekiel 31:4,['Rashi on Ezekiel 31:4:1']
ses treiles,"שי""ש טריילי""ש",Ezekiel 31:7,[]
chasteniers,"קשטינייר""ש",Ezekiel 31:8,['Rashi on Ezekiel 31:8:3']
pasmer,"פשמי""ר",Ezekiel 31:15,['Rashi on Ezekiel 31:15:9']
ton flotement,"טו""ן פלוטימינ""ט",Ezekiel 32:6,[]
riwiers,"ריוייר""ש",Ezekiel 32:6,['Rashi on Ezekiel 32:6:3']
sei meismes,"ש""י מאישמי""ש",Ezekiel 32:10,[]
badete,"בדיט""א",Ezekiel 33:2,[]
doloroses,"דולורושי""ש",Ezekiel 34:4,['Rashi on Ezekiel 34:4:1']
meigre,"מייגר""א",Ezekiel 34:20,['Rashi on Ezekiel 34:20:2']
parlement,"פרלימינ""ט",Ezekiel 36:3,['Rashi on Ezekiel 36:3:3']
demonir,"דימוני""ר",Ezekiel 36:31,['Rashi on Ezekiel 36:31:1']
e crosterei,"א""י קרושטיר""י",Ezekiel 37:6,[]
enwoisier,"אינויישיי""ר",Ezekiel 38:4,['Rashi on Ezekiel 38:4:1']
cruine,"ברואינ""א",Ezekiel 38:9,['Rashi on Ezekiel 38:9:1']
eschelons,"אישקילונ""ש",Ezekiel 38:20,['Rashi on Ezekiel 38:20:1']
en armures,"אי""ן ארמורי""ש",Ezekiel 39:9,[]
justice,"יושטיצ""א",Ezekiel 39:21,['Rashi on Ezekiel 39:21:1']
apendiz,"אפינדי""ץ",Ezekiel 40:7,['Rashi on Ezekiel 40:7:1']
e ses lates,"א""י שי""ש לטי""ש",Ezekiel 40:9,[]
asomeil,"אשומיי""ל",Ezekiel 40:12,['Rashi on Ezekiel 40:12:1']
pomels,"פומיל""ש",Ezekiel 40:16,['Rashi on Ezekiel 40:16:5']
planchier,"פלנקיי""ר",Ezekiel 40:17,['Rashi on Ezekiel 40:17:1']
chanbres,"קנברי""ש",Ezekiel 40:17,['Rashi on Ezekiel 40:17:1']
arwoluz,"ארוולו""ץ",Ezekiel 40:30,[]
meiselins,"מיישילינ""ש",Ezekiel 40:37,[]
apendiz,"אפינדי""ץ",Ezekiel 41:5,['Rashi on Ezekiel 41:5:2']
porpris,"פורפרי""ש",Ezekiel 41:6,['Rashi on Ezekiel 41:6:3']
wiz,"וי""ץ",Ezekiel 41:7,['Rashi on Ezekiel 41:7:2']
wendelstein,"וינדילשטיי""ן",Ezekiel 41:7,['Rashi on Ezekiel 41:7:2']
piliers,"פילייר""ש",Ezekiel 41:16,[]
tref,"טרי""ף",Ezekiel 41:25,['Rashi on Ezekiel 41:25:1']
chanbrediz,"קנברידי""ץ",Ezekiel 42:1,['Rashi on Ezekiel 42:1:3']
comandies,"קומנדיא""ש",Ezekiel 44:11,[]
cant egarerent,"קנ""ט איגרירינ""ט",Ezekiel 44:15,[]
chapels,"קפיל""ש",Ezekiel 44:18,['Rashi on Ezekiel 44:18:1']
en la suiere,"אי""ן ל""א שוייר""א",Ezekiel 44:18,[]
amoler,"אמולי""ר",Ezekiel 44:20,['Rashi on Ezekiel 44:20:3']
aposer,"אפושי""ר",Ezekiel 44:30,['Rashi on Ezekiel 44:30:1']
mui,"מו""י",Ezekiel 45:11,['Rashi on Ezekiel 45:11:1']
lo cent,"ל""ו צינ""ט",Ezekiel 45:12,[]
diz nesures,"די""ץ מישורי""ש",Ezekiel 45:14,['Rashi on Ezekiel 45:14:2']
lo meilor,"ל""ו מיילו""ר",Ezekiel 45:15,['Rashi on Ezekiel 45:15:1']
espreser,"אישפרישי""ר",Ezekiel 46:14,[]
esmieler,"אישמיילי""ר",Ezekiel 46:14,[]
angles,"אנגלי""ש",Ezekiel 46:21,['Rashi on Ezekiel 46:21:1']
boilent,"בוילינ""ט",Ezekiel 47:2,['Rashi on Ezekiel 47:2:4']
cheviles,"קיבילי""ש",Ezekiel 47:3,['Rashi on Ezekiel 47:3:1']
noer,"נואי""ר",Ezekiel 47:5,['Rashi on Ezekiel 47:5:2']
maresc,"מריש""ק",Ezekiel 47:8,[]
maresc,"מריש""ק",Ezekiel 47:11,['Rashi on Ezekiel 47:11:1']
as servanz,"א""ש שירבנ""ץ",Ezekiel 48:18,[]
porpris,"פורפרי""ש",Ezekiel 48:20,['Rashi on Ezekiel 48:20:3']
porchacier,"פורקציי""ר",Hosea 2:9,['Rashi on Hosea 2:9:1']
atreirei,"אטריירי""י",Hosea 2:16,[]
bargeinie,"ברגייני""א",Hosea 3:2,['Rashi on Hosea 3:2:1']
inspireront e,"א""י אינשפירירונ""ט",Hosea 3:5,[]
chesne,"קישנ""א",Hosea 4:13,[]
glant,"גלנ""ט",Hosea 4:13,[]
olme,"אולמ""א",Hosea 4:13,['Rashi on Hosea 4:13:3']
delaser,"דילשי""ר",Hosea 4:14,['Rashi on Hosea 4:14:3']
aimdors,"אימדור""ש",Hosea 6:9,['Rashi on Hosea 6:9:2']
enweisdure,"אינויישדור""א",Hosea 6:11,['Rashi on Hosea 6:11:5']
endragonerent,"אינדרגונירינ""ט",Hosea 8:9,[]
escume,"אישקומ""א",Hosea 10:7,['Rashi on Hosea 10:7:1']
porpointe,"פורפוינט""א",Hosea 10:11,['Rashi on Hosea 10:11:1']
aguilon,"אגוילו""ן",Hosea 10:11,['Rashi on Hosea 10:11:1']
sele,"שיל""א",Hosea 13:13,['Rashi on Hosea 13:13:2']
ed ert enclpede,"אי""ד איר""ט אינקולפיד""א",Hosea 14:1,[]
moisir,"מוישו""ר",Joel 1:17,[]
coltres,"קולטרי""ש",Joel 4:10,['Rashi on Joel 4:10:1']
sarpes,"שרפי""ש",Joel 4:10,[]
mase,"מש""א",Joel 4:11,['Rashi on Joel 4:11:1']
abrier,"אבריאי""ר",Joel 4:16,['Rashi on Joel 4:16:3']
lime,"לימ""א",Amos 1:3,['Rashi on Amos 1:3:3']
goloser,"גולושי""ר",Amos 2:7,['Rashi on Amos 2:7:1']
chesnes,"קישני""ש",Amos 2:9,['Rashi on Amos 2:9:1']
chanpanie,"קנפני""א",Amos 4:7,[]
tison,"טישו""ן",Amos 4:11,['Rashi on Amos 4:11:1']
cople,"קופל""א",Amos 6:4,['Rashi on Amos 6:4:3']
pasmer,"פשמי""ר",Amos 8:13,['Rashi on Amos 8:13:1']
freiteinie,"פרייטייני""א",Obadiah 1:3,[]
trog,"טרו""ג",Obadiah 1:14,['Rashi on Obadiah 1:14:1']
estordison,"אישטורדישו""ן",Obadiah 1:16,['Rashi on Obadiah 1:16:2']
France,"פרנצ""א",Obadiah 1:20,['Rashi on Obadiah 1:20:3']
justisier,"יושטישיי""ר",Obadiah 1:21,['Rashi on Obadiah 1:21:2']
justisier,"יושטישיי""ר",Obadiah 1:21,['Rashi on Obadiah 1:21:2']
governdors,"גוברנדורי""ש",Jonah 1:6,[]
pasmer,"פשמי""ר",Jonah 4:8,['Rashi on Jonah 4:8:2']
ajostement,"איושטימינ""ט",Micah 1:11,['Rashi on Micah 1:11:5']
soms desgaterent nos,"שומ""ש דישגטירינ""ט נו""ש",Micah 2:4,['Rashi on Micah 2:4:1']
a mei come se destoldra,"קומ""א ש""י דישטולדר""א אמי""י",Micah 2:4,[]
chaldiere,"קלדייר""א",Micah 3:3,['Rashi on Micah 3:3:4']
asovid,"אשובי""ד",Nahum 1:10,['Rashi on Nahum 1:10:4']
bome,"בומ""א",Nahum 2:7,['Rashi on Nahum 2:7:2']
se dementant,"ש""י דימינטנ""ט",Nahum 2:8,[]
escovant escobant,"אישקובנ""ט",Nahum 2:10,['Rashi on Nahum 2:10:4']
esbrechiede,"אישבריקייד""א",Nahum 2:11,[]
chareidediz,"קריידידי""ץ",Nahum 2:14,[]
alemele,"אלימיל""א",Nahum 3:3,[]
plandur,"פלנדו""ר",Nahum 3:3,['Rashi on Nahum 3:3:2']
com langostdiz,"קו""ם לנגושטדי""ץ",Nahum 3:17,['Rashi on Nahum 3:17:3']
justice,"יושטיצ""א",Habakkuk 1:7,['Rashi on Habakkuk 1:7:1']
parlediz,"פולידי""ץ",Habakkuk 1:10,[]
mon aprovement,"מו""ן אפרובימינ""ט",Habakkuk 2:1,[]
s’arme forsfeit,"פורשפיי""ט שארמ""א",Habakkuk 2:10,['Rashi on Habakkuk 2:10:3']
doldurs,"דולדור""ש",Habakkuk 2:11,['Rashi on Habakkuk 2:11:3']
asez,"אשי""ץ",Habakkuk 2:13,['Rashi on Habakkuk 2:13:2']
tintin,"טינטי""ן",Habakkuk 3:16,['Rashi on Habakkuk 3:16:3']
orgendors,"אורגינדור""ש",Habakkuk 3:19,['Rashi on Habakkuk 3:19:3']
justices,"יושטיצי""ש",Zephaniah 3:15,['Rashi on Zephaniah 3:15:1']
troches,"טרוקי""ש",Zechariah 4:12,[]
woltoir,"וולטוי""ר",Zechariah 5:9,['Rashi on Zechariah 5:9:2']
chesnes,"קישני""ש",Zechariah 11:2,['Rashi on Zechariah 11:2:2']
enwolopement,"אינוולופימינ""ט",Zechariah 12:2,[]
talent,"טלינ""ט",Zechariah 12:10,['Rashi on Zechariah 12:10:2']
fosez,"פושי""ץ",Zechariah 14:10,[]
tintinonz,"טיטינונ""ץ",Zechariah 14:20,[]
porport,"פורפור""ט",Malachi 1:1,['Rashi on Malachi 1:1:1']
demonesment,"דימונישמינ""ט",Malachi 2:13,[]
erbe savoniere,"אירב""א שבונייר""א",Malachi 3:2,[]
estui,"אישטו""י",Malachi 3:17,['Rashi on Malachi 3:17:2']
cople,"קופל""א",Malachi 3:20,['Rashi on Malachi 3:20:2']
les pleismenz,"לי""ש פליישמינ""ץ",Psalms 1:1,[]
plantez,"פלנטי""ץ",Psalms 1:3,['Rashi on Psalms 1:3:1']
riwiers,"ריוייר""ש",Psalms 1:3,[]
fleistre,"פליישטר""א",Psalms 1:3,[]
com bale,"קו""ם בל""א",Psalms 1:4,[]
seniors,"שיניור""ש",Psalms 2:2,['Rashi on Psalms 2:2:1']
porconsilierent,"פורקונשיליירינ""ט",Psalms 2:2,['Rashi on Psalms 2:2:2']
desronpoms lor conjongles,"דישרונפומ""ש לו""ר קוניונגלי""ש",Psalms 2:3,[]
lor cordes,"לו""ר קורדי""ש",Psalms 2:3,[]
garnisment,"גרנישמינ""ט",Psalms 2:12,[]
gasterent,"גשטירינ""ט",Psalms 3:7,[]
reflenber,"ריפלינבי""ר",Psalms 4:7,[]
apeiement,"אפיימינ""ט",Psalms 5:13,[]
confonduz,"קונפונדו""ץ",Psalms 6:3,[]
lanterne,"לנטירנ""א",Psalms 6:8,[]
refuse,"ריפוש""א",Psalms 7:8,[]
forbir,"פורבי""ר",Psalms 7:13,['Rashi on Psalms 7:13:2']
oveildiz,"אוביילדי""ץ",Psalms 8:8,['Rashi on Psalms 8:8:1']
a l'amincied,"א""ל אמינציי""ר",Psalms 9:10,[]
justice,"יוסטיצ""א",Psalms 9:17,['Rashi on Psalms 9:17:1']
corde d'arc,"קורד""א דאר""ק",Psalms 11:2,['Rashi on Psalms 11:2:4']
a geter,"א""ה גיטי""ר",Psalms 11:2,[]
feilirent,"פיילירינ""ט",Psalms 12:2,['Rashi on Psalms 12:2:2']
pilon,"פילו""ן",Psalms 12:7,[]
encusa,"אינקוש""א",Psalms 15:3,['Rashi on Psalms 15:3:1']
reporta,"ריפורט""א",Psalms 15:3,['Rashi on Psalms 15:3:2']
doerent,"דואירינ""ט",Psalms 16:4,['Rashi on Psalms 16:4:1']
desevre,"דישיבר""א",Psalms 17:7,['Rashi on Psalms 17:7:1']
redoile,"רידויל""א",Psalms 17:14,['Rashi on Psalms 17:14:2']
abrier,"אבריאי""ר",Psalms 18:3,['Rashi on Psalms 18:3:4']
en ses nariles,"אי""ן שי""ש נרילי""ש",Psalms 18:9,[]
e atenvist,"א""י אטינביש""ט",Psalms 18:10,[]
trespasent,"טרישפשינ""ט",Psalms 18:13,['Rashi on Psalms 18:13:1']
escolorgierent,"אישקולורגיירינ""ט",Psalms 18:37,[]
chevile,"קיביל""א",Psalms 18:37,[]
bresches,"ברישקי""ש",Psalms 19:11,[]
paleis,"פליי""ש",Psalms 22:16,['Rashi on Psalms 22:16:1']
tenalies,"טינליי""ש",Psalms 22:16,[]
adrece moi,"אדריצ""א מו""י",Psalms 25:5,[]
moi atreiras,"אטרייר""ש מו""י",Psalms 28:3,['Rashi on Psalms 28:3:1']
tormentos,"טורמינטו""ש",Psalms 29:3,['Rashi on Psalms 29:3:1']
teilant,"טיילנ""ט",Psalms 29:7,['Rashi on Psalms 29:7:1']
alaschias,"אלשקיא""ש",Psalms 30:12,[]
pleisiz,"פליישי""ץ",Psalms 31:3,['Rashi on Psalms 31:3:1']
meneras moi,"מיניר""ש מו""י",Psalms 31:4,[]
comandreie,"קומנדרייא""ה",Psalms 31:6,['Rashi on Psalms 31:6:1']
livras moi,"ליבר""ש מו""י",Psalms 31:9,[]
a mes conpeinz,"אמי""ש קונפיינ""ץ",Psalms 31:12,[]
parlediz,"פרלידי""ץ",Psalms 31:14,[]
enpardonez,"אינפרדוני""ץ",Psalms 32:1,['Rashi on Psalms 32:1:3']
se porwantra,"ש""י פורונטר""א",Psalms 34:3,[]
nesun bien,"נישו""ן ביי""ן",Psalms 34:11,['Rashi on Psalms 34:11:2']
les ires,"לי""ש אירי""ש",Psalms 34:17,['Rashi on Psalms 34:17:1']
repentiront,"ריפינטירונ""ט",Psalms 34:23,['Rashi on Psalms 34:23:1']
a moi meisme,"אמו""י מאישמ""א",Psalms 35:3,[]
bruine,"ברואינ""א",Psalms 35:8,['Rashi on Psalms 35:8:1']
amenuisiez,"אמינוישיי""ץ",Psalms 35:15,['Rashi on Psalms 35:15:2']
justice,"יושטיצ""א",Psalms 36:7,['Rashi on Psalms 36:7:3']
