Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 107a:5	R. Asi ist es zweifelhaft, ob sie als Erben oder als Käufer gelten, daher erhält er ein Viertel in Grundbesitz und ein Viertel bar. 
Bava Batra 107a:6	R. Papa sagte: Die Halakha ist bei all diesen Lehren, sie müssen abgeben$fn108. Amemar aber sagte: Die Teilung ist aufgehoben. Die Halakha ist: die Teilung ist aufgehoben.
Bava Batra 107a:7	Die Rabbanan lehrten: Wenn drei zur Schätzung$fn109zusammentreten, und einer [das Grundstück] eine Mine und zwei es zweihundert [Denar]$fn110 schätzen, oder einer es zweihundert [Denar] und zwei es eine Mine schätzen, so wird der eine durch seine Minorität überstimmt. 
Bava Batra 107a:8	Wenn einer eine Mine, einer zwanzig [Sela] und einer dreißig schätzt, so wird es mit einer Mine eingeschätzt. R. Eliézer b. R. Çadoq sagt, es werde mit neunzig eingeschätzt. Andere sagen, man berechne [die Differenz] und drittteile sie$fn111. 
Bava Batra 107a:9	Derjenige, welcher sagt, es werde mit einer Mine eingeschätzt, ist der Ansicht, man wähle die Mitte. ‘R. Elie͑zer b. R. Çadoq sagt, es werde mit neunzig eingeschätzt’. Er ist der Ansicht, das Grundstück ist neunzig wert; 
Bava Batra 107b:1	der zwanzig schätzte, irrte sich um zehn nach unten, und der eine Mine schätzte, irrte sich um zehn nach oben$fn112. – 
Bava Batra 107b:2	Im Gegenteil, das Grundstück ist hundertundzehn wert; der eine Mine schätzte, irrte sich um zehn nach unten, und der dreißig schätzte, irrte sich um zehn nach oben$fn113!? – Man richte sich nach den beiden ersten, deren Schätzung eine Mine nicht übersteigt. 
Bava Batra 107b:3	‘Andere sagen, man berechne [die Differenz] und dritteile sie’. Sie sind de!r Ansicht, das Grundstück ist dreiundneunzig und ein Drittel wert; der zwanzig schätzte, irrte sich um dreizehn und ein Drittel nach unten, und der eine Mine schätzte, irrte sich um dreizehn und ein Drittel nach oben und wollte noch höher$fn114schätzen, nur tat er dies deshalb nicht, weil er dachte, es genüge, wenn er soviel höher als sein Kollege schätze. – 
Bava Batra 107b:4	Im Gegenteil, das Grundstück ist hundertdreizehn und ein Drittel wert; der eine Mine schätzte, irrte sich um dreizehn und ein Drittel nach unten, und der dreißig schätzte, irrte sich um dreizehn und ein Drittel nach oben und wollte noch höher$fn115schätzen, nur dachte er, es genüge, wenn er soviel höher als sein Kollege schätze$fn113!? – Man richte sich nach den beiden ersten, deren Schätzung hundert nicht übersteigt. 
Bava Batra 107b:5	R. Hona sagte: Die Halakha ist wie die Anderen. R. Aši sprach: Den Grund der Anderen kennen wir nicht$fn116, und die Halakha sollten wir nach ihnen entscheiden!? Es wird gelehrt: Die Richter des Exils sagten: Man berechne [die Differenz] und dritteile sie. R. Hona sagte : Die Halakha ist wie die Richter des Exils. R. Aši sprach: Den Grund der Richter des Exils kennen wir$fn116nicht, und die Halakha sollten wir nach ihnen entscheiden!?
Bava Batra 107b:6	<sup>iv</sup><b>W</b><small>ENN JEMAND ZU SEINEM</small> N<small>ÄCHSTEN SAGTE: ICH VERKAUFE DIR EIN HALBES</small> F<small>ELD, SO SCHÄTZE</small>$fn117<small>MAN ES UNTER IHNEN, UND ER ERHÄLT DIE</small> H<small>ÄLFTE</small>$fn118<small>DES</small> F<small>ELDES</small>. [S<small>AGTE ER</small>:] <small>ICH VERKAUFE DIR DIE</small> H<small>ÄLFTE AN DER</small> S<small>ÜDSEITE, SO SCHÄTZE MAN ES UNTER IHNEN, UND ER ERHÄLT DIE</small> H<small>ÄLFTE</small>$fn118<small>AN DER</small> S<small>ÜDSEITE</small>. E<small>R</small>$fn119<small>MUSS DEN</small> P<small>LATZ FÜR DIE</small> M<small>AUERWAND</small>$fn120<small>UND FÜR DEN GROSSEN UND DEN KLEINEN</small> G<small>RABEN</small>$fn121<small>HERGEBEN</small>. W<small>IEVIEL BETRÄGT</small> [<small>DIE</small> B<small>REITE</small>]? D<small>IE DES GROSSEN</small> G<small>RABENS SECHS</small> H<small>ANDBREITEN UND DIE DES KLEINEN</small> G<small>RABENS DREI</small>.
Bava Batra 107b:7	GEMARA. R. Ḥija b. Abba sagte im Namen R. Joḥanans : Der Käufer erhält die magere$fn122Seite. R. Flija b. Abba sprach zu R. Joḥanan: Wir haben ja aber gelernt, man schätze$fn123es unter ihnen!? Dieser erwiderte; Während du noch in Babylonien Holzdatteln aßest, erklärte ich dies aus dem Schlußsätze. 
Bava Batra 107b:8	Im Schlußsätze wird gelehrt, [wenn er sagte:] ich verkaufe dir die Hälfte an der Südseite, so schätze man es unter ihnen, und er erhalte die Hälfte an der Südseite. Weshalb schätze man es unter ihnen, er sagte ihm ja: die Hälfte an der Südseite!? Du mußt also erklären, er habe den Geldwert gemeint, ebenso ist auch hierbei$fn124der Geldwert zu verstehen.
Bava Batra 107b:9	E<small>R MUß DEN</small> P<small>LATZ FÜR DIE</small> M<small>AUERWAND HERGEBEN &amp;C</small>. Es wird gelehrt : Der große Graben befindet sich außerhalb und der kleine Graben innerhalb, beide außerhalb der Mauer wand, 
Bava Batra 108a:1	damit kein Tier hinüberspringe$fn125. – Sollte man nur den großen Graben und nicht den kleinen errichten!? Dieser ist breit, und es könnte sich in die Mitte aufstellen und hinüberspringen. – Sollte man nur den kleinen Graben und nicht den großen errichten!? – Dieser ist schmal und es könnte sich an den Rand$fn126aufstellen und hinüberspringen. – Wieviel [beträgt die Entfernung] zwisehen dem großen und dem kleinen Graben? – Eine Handbreite.
Bava Batra 108a:2	
Bava Batra 108a:3	<sup>i</sup><b>M</b><small>ANCHE</small> [V<small>ERWANDTE</small>] <small>BEERBEN</small>$fn1 <small>UND VERERBEN</small>$fn2; <small>MANCHE BEERBEN UND VERERBEN NICHT; MANCHE VERERBEN UND BEERBEN NICHT; UND MANCHE BEERBEN NICHT UND VERERBEN NICHT</small>. 
Bava Batra 108a:4	F<small>OLGENDE BEERBEN UND VERERBEN: DER</small> V<small>ATER SEINE</small> S<small>ÖHNE</small>, D<small>IE SÖHNE IHREN</small> V<small>ATER, UND</small> B<small>RÜDER VÄTERLICHERSEITS [EINANDER]; DIESE BEERBEN UND VERERBEN</small>. [E<small>S BEERBEN</small>] <small>DER</small> M<small>ANN</small>$fn3 <small>SEINE</small> M<small>UTTER, DER</small> M<small>ANN SEINE</small> E<small>HEFRAU UND DIE</small> S<small>ÖHNE DER</small> S<small>CHWESTERN</small>$fn4; <small>DIESE BEERBEN UND VERERBEN NICHT</small>$fn5. 
Bava Batra 108a:5	[E<small>S VERERBEN</small>] <small>DIE</small> F<small>RAU IHREN</small> S<small>ÖHNEN, DIE</small> F<small>RAU IHREM</small> E<small>HEMANNE UND DIE</small> B<small>RÜDER DER</small> M<small>UTTER</small>$fn6; <small>DIESE VERERBEN UND BEERBEN NICHT</small>. B<small>RÜDER MÜTTER-LICHERSEITS BEERBEN UND VERERBEN EINANDER NICHT</small>.
Bava Batra 108b:1	GEMARA. Weshalb lehrt er zuerst: der Vater seine Söhne, er sollte doch zuerst lehren: die Söhne ihren Vater, denn erstens beginnt man nicht mit einem Unglück$fn7, und zweitens heißt es: $fn8<i>wenn jemand stirbt</i> <i>und keinen Sohn hinterläßt</i>$fn9!? – 
Bava Batra 108b:2	Da [der Autor diesen Fall] durch eine Schriftdeutung folgert, so bevorzugt er ihn$fn10. – 
Bava Batra 108b:3	Was ist dies für eine Schriftdeutung? – Es wird gelehrt:$fn11<i>Blutsverwandten</i>, das ist der Vater; dies lehrt, daß der Vater den Brüdern$fn12vorgehe. Man könnte glauben, er gehe auch seinem Sohne vor, so heißt es :$fn11der <i>nächste</i>, der Nächstverwandte$fn13geht vor. – 
Bava Batra 108b:4	Was veranlaßt dich, den Sohn einzuschließen und den Bruder auszuschließen$fn14? – Ich schließe den Sohn ein, da er an Stelle seines Vaters tritt hinsichtlich der Bestimmung$fn15und des Erbbesitzfeldes$fn16. – 
Bava Batra 108b:5	Im Gegenteil, man sollte doch den Bruder einschließen, der an Stelle seines Bruders tritt bei der Schwagerehe$fn17!? – Die Schwagerehe erfolgt nur dann, wenn kein Sohn vorhanden ist, ist aber ein Sohn vorhanden, so erfolgt auch keine Schwagerehe$fn18. – 
Bava Batra 108b:6	Also nur wegen dieser Entgegnung$fn19, sonst aber könnte man glauben, der Bruder gehe vor, aber es sollte doch schon der Umstand ausreichen, 
Bava Batra 109a:1	daß für jenen zwei Gründe sprechen und für diesen nur einer$fn20!? – 
Bava Batra 109a:2	Auch hinsichtlich des Erbbesitzfeldes entnimmt es$fn21der Autor nur aus [der Entgegnung:] die Schwagerehe erfolgt nur dann, wenn kein Sohn vorhanden ist, ist aber ein Sohn vorhanden, erfolgt auch keine Schwagerehe$fn22. – 
Bava Batra 109a:3	Vielleicht aber: <i>Bluts</i><i>verwandten,</i> das ist der Vater; dies lehrt, daß der Vater der Tochter vorgehe; man könnte glauben, er gehe auch einem Sohne vor, so heißt es: <i>der nächste;</i> der Nächstverwandte geht vor!? – 
Bava Batra 109a:4	Da Sohn und Tochter einander hinsichtlich der Schwagerehe$fn23gleichen, so gleichen sie einander auch hinsichtlich der Erbschaft. – 
Bava Batra 109a:5	Vielleicht aber: <i>Blutsverwandten,</i> das ist der Vater ; dies lehrt, daß der Vater den Brüdern des Vaters vorgehe ; man könnte glauben, er gehe auch den Brüdern vor, so heißt es: <i>der nächste</i>, der Nächstverwandte geht vor!? – 
Bava Batra 109a:6	Hinsichtlich der Brüder des Vaters$fn24ist kein Schriftvers nötig; die Brüder des Vaters sind ja nur Rechtsnachfolger des Vaters, wieso sollten nun, wenn der Vater lebt, die Brüder des Vaters erben!? – 
Bava Batra 109a:7	Aber die Schriftverse sind ja nicht in dieser Reihenfolge geschrieben, denn es heißt:$fn25<i>wenn aber der Vater keine Brüder hat &amp;c</i>.$fn26!? – Die Sehriftverse sind nicht in der richtigen Reihenfolge geschrieben.
Bava Batra 109a:8	Der folgende Autor entnimmt dies hieraus. Es wird gelehrt: Folgendes trug R. Jišma͑él b. R. Jose vor:$fn27<i>Wenn jemand stirbt und keinen Sohn hinterläßt &amp;c</i>. Ist eine Tochter da$fn28, so wird der Vater bei der Erbschaft übergangen, nicht aber wird der Vater bei der Erbschaft übergangen, wenn nur Brüder da sind$fn29. – 
Bava Batra 109a:9	Vielleicht aber: ist eine Tochter da, so werden die Brüder$fn30bei der Erbschaft übergangen, 
Bava Batra 109b:1	nicht aber wird, auch wenn eine Tochter da ist, der Vater bei der Erbschaft übergangen$fn31!? – Demnach sollte doch der Allbarmherzige nicht geschrieben haben: <i>ihr sollt übergehen lassen</i>$fn32. – 
Bava Batra 109b:2	Wofür verwendet, der es aus [dem Worte] <i>übergehen</i> entnimmt, [das Wort] <i>Blutsverwandten</i>? – Dieses verwendet er für folgende Lehre: <i>Blutsverwandten,</i> das ist seine Frau; dies lehrt, daß der Mann seine Frau beerbe. – 
Bava Batra 109b:3	Wofür verwendet, der es aus [dem Worte] <i>Blutsverwandten</i> entnimmt, [das Wort] <i>übergehen</i>? – Er verwendet es für folgende Lehre: Rabbi sagte: Bei allen$fn33heißt es <i>geben</i> und bei dieser$fn34heißt es <i>übergehen,</i> denn nur bei einer Tochter geht die Erbschaft von einem Stamme zu einem anderen Stamme$fn35über, da ihr Sohn und ihr Mann sie beerben. – 
Bava Batra 109b:4	Unter Blutsverwandten ist wohl deshalb der Vater zu verstehen, weil es heißt:$fn36<i>sie ist die Blutsverwandte deines Vaters</i>, vielleicht aber ist unter Blutsverwandten die Mutter zu verstehen, denn es heißt:$fn37<i>sie ist die Blutsverwandte deiner Mutter</i>!? 
Bava Batra 109b:5	Raba erwiderte: Die Schrift sagt:$fn38<i>von seiner Familie, er beerbe ihn</i>, die Familie des Vaters gilt als Familie, die Familie der Mutter gilt nicht als Familie, denn es heißt:$fn39<i>nach ihren Familien</i>, <i>dem Hause ihres Vaters.</i> – 
Bava Batra 109b:6	Es heißt ja aber :$fn40<i>es war ein junger Mann aus Beth Leḥem in Jehuda, aus der Familie Jehuda</i>, <i>er war Levi und war da fremd,</i> und da dies sich widerspricht, denn wenn es heißt: <i>er war Levi,</i> so gehörte er ja zum Stamme Levi, und dem widersprechend heißt es: <i>aus der Familie Jehuda,</i> wonach er zum Stamme Jehuda gehörte, so stammte wahrscheinlich sein Vater von Levi und seine Mutter von Jehuda, und es heißt: <i>aus der Familie Jehuda</i>!? 
Bava Batra 109b:7	Raba b. R. Ḥanan erwiderte: Nein, ein Mann, der Levi hieß. – Wieso sagte Mikha demnach:$fn41<i>Nun weiß ich gewiß</i>, <i>daß mir der Herr wohltun wird, denn ich habe einen Levi zum Preester</i>$fn42!? – Freilich, daß er einen Mann gefunden hat, der Levi hieß$fn43. – 
Bava Batra 109b:8	Hieß er denn Levi, er hieß ja Jehonathan, denn es heißt:$fn44<i>und Jehonathan, der Sohn Geršoms, des Sohnes Manases, und seine Söhne dienten dem Stamme Dan als Priester</i>!? Dieser erwiderte: Auch gegen deine Auffassung [ist ja einzuwenden:] er stammte ja nicht von Menase$fn45, sondern von Moše, denn es heißt :$fn46<i>und die Söhne Mošes waren Gersom und Elie͑zer;</i> 
Bava Batra 109b:9	die Schrift hängt ihn vielmehr deshalb Menase an, weil er nach der Handlungsweise Menases$fn47verfuhr, ebenso hängt sie ihn Jehuda an, weil er nach der Handlungsweise Menases verfuhr, der von Jehuda stammte. 
Bava Batra 109b:10	R. Joḥanan sagte im Namen des R. Šimo͑n b. Joḥaj : Hieraus, daß man die Verderbtheit dem Verdorbenen anhängt. R. Jose b. Ḥanina sagte: Hieraus :$fn48<i>und er war auch von schöner Gestalt und ihn hatte sie nach Abšalom geboren</i>. Adonija$fn49war ja der Sohn der Ḥagith und Abšalom der Sohn der Maa͑kha!? Die Schrift hängt ihn also deshalb Abšalom an, weil er sich gleich Abšalom gegen den König auflehnte, ebenso hängt die Schrift jenen Menase an, weil er nach der Handlungsweise Menases verfuhr.
Bava Batra 109b:11	R. Elea͑zar sagte: Stets schließe sich ein Mensch den Guten an; Moše heiratete die Tochter Jithros, und ihm entstammte Jehonathan, Ahron aber heiratete die Tochter A͑minadabs, und ihm entstammte Pinḥas$fn50. – 
Bava Batra 109b:12	Stammte dann nicht auch Pinḥas von Jithro ab, es heißt ja:$fn51<i>und Elea͑zar, der Sohn Ahrons, nahm eine von den Töchtern Puṭiéls zur Frau</i>, wahrscheinlich doch eine, die von Jithro stammte, der Kälber für die Götzen mästete$fn52!? – Nein, die von Joseph stammte, der gegen seinen Trieb$fn53kämpfte$fn52. – 
Bava Batra 109b:13	Aber die Stämme schmähten ihn ja, indem sie zu ihm sprachen: Seht doch diesen Puṭi-Sohn, dessen Großvater mütterlicherseits Kälber für die Götzen mästete, nun hat er einen Stammesfürsten$fn54inn Jisraél getötet!? – 
Bava Batra 110a:1	Vielmehr, stammte der Vater seiner Mutter von Joseph, so stammte die Mutter seiner Mutter$fn55von Jithro, und stammte der Vater seiner Mutter von Jithro, so stammte die Mutter seiner Mutter von Joseph. Dies ist auch zu beweisen, denn es heißt: <i>von den Töchtern Puṭiéls,</i> zwei$fn56. Schließe hieraus.
Bava Batra 110a:2	Raba sagte: Wer eine Frau nehmen will, untersuche ihre Brüder, denn es heißt :$fn57<i>da nahm Ahron die Elišeba͑</i>, <i>die Tochter A͑minadabs, die Schwester Naḥšons.</i> Wenn es heißt: <i>die Tochter A͑minadabs,</i> so weiß ich ja, daß sie die Schwester Naḥšons war, wozu heißt es noch: <i>die Schwester Naḥšons?</i> Hieraus, daß, wer eine Frau nehmen will, ihre Brüder untersuche. Es wird gelehrt: Die meisten Söhne gleichen den Brüdern der Mutter.
Bava Batra 110a:3	$fn58 <i>Sie kehrten da ein und fragten ihn: Wer hat dich hierher gebracht? Was tust du da? Was hast du hier</i>? Sie sprachen za ihm: Stammst du nicht von Moše ab, bei dem es heißt:$fn59<i>nähere dich nicht hierher</i>? Stammst du nicht von Moše ab, bei dem es heißt:$fn60<i>was hast du da in deiner Hand</i>? Stammst du nicht von Moše ab, bei dem es heißt :$fn61und <i>du bleibe hier bei mir?</i> Und du willst Götzenpfaff werden!? 
Bava Batra 110a:4	Er erwiderte ihnen: Folgendes ist mir von meinem väterlichen Hause überliefert: lieber vermiete sich ein Mensch für Fremdendienst, nur nicht seiner Mitmenschen bedürftig werden. 
Bava Batra 110a:5	Er glaubte, unter Fremdendienst$fn62sei der Götzendienst zu verstehen, dem ist aber nicht so, unter Fremdendienst ist ein Dienst, der einem fremd ist$fn63, zu verstehen. So sprach Rabh zu R. Kahana : Schinde ein Aas auf der Straße und laß dir Lohn zahlen, und sage nicht: ich bin ein großer Mann, dies paßt nicht für mich. 
Bava Batra 110a:6	Als David dann sah, daß ihm das Geld besonders lieb war, setzte er ihn zum Aufseher über die Schatzkammern ein, denn es heißt:$fn64<i>Šebuél, der Sohn Geršoms, des Sohnes Menašes, war Aufseher über die Schatzkammern</i>. – Sein Name war ja nicht Šebuél, sondern Jehonathan!? R. Joḥanan erwiderte: Er kehrte [šab] zu Gott [él] mit seinem ganzen Herzen zurück.
Bava Batra 110a:7	D<small>IE</small> S<small>ÖHNE IHREN</small> V<small>ATER</small>. Woher dies? – Es heißt:$fn65<i>wenn jemand stirbt &amp;c.;</i> nur$fn66wenn er keinen Sohn hinterläßt, wenn er aber einen Sohn hinterläßt, geht der Sohn vor$fn67. R. Papa sprach zu Abajje: Vielleicht soll, wenn ein Sohn da ist, der Sohn erben, wenn eine Tochter da ist, die Tochter erben, und wenn ein Sohn und eine Tochter da sind, nicht der eine und nicht die andere erben!? – 
Bava Batra 110a:8	Wer denn 
Bava Batra 110b:1	soll erben, etwa der Stadtvogt!? – Ich meine es wie folgt: sind ein Sohn und eine Tochter da, so soll weder der eine alles erben noch die andere alles erben, sondern beide gleichmäßig. – 
Bava Batra 110b:2	Wäre denn ein Schriftvers dafür nötig, daß, wenn nur ein Sohn da ist, er das ganze Vermögen erbe!? – Vielleicht lehrt dieser nur, daß auch eine Tochter erbberechtigt sei$fn68!? – Dies geht hervor aus :$fn69<i>und jede Tochter</i>, <i>die zu Erbbesitz gelangt.</i> 
Bava Batra 110b:3	R. Aḥa b. Ja͑qob sagte: Hieraus [geht dies$fn70hervor]:$fn71<i>warum soll nun der Name unseres Vaters aus seinem Geschlechte verschwindweil er keinen Sohn hat;</i> nur weil er keinen Sohn hatte, wenn aber einer einen Sohn hat, geht der Sohn vor. – 
Bava Batra 110b:4	Vielleicht hatten es$fn72die Töchter des Çelophhad nur geglaubt, später aber$fn73wurde die Tora verliehen und die Halakha fixiert!? – Am richtigsten ist es vielmehr, wie vorher erklärt worden ist. 
Bava Batra 110b:5	Rabina entnimmt dies aus folgendem: <i>der nächste,</i> der Nächstverwandte geht vor. – 
Bava Batra 110b:6	Wieso ist ein Sohn näher als eine Tbchter; wenn etwa, weil er an Stelle seines Vaters tritt hinsichtlich der Bestimmung$fn15und des Erbbesitzfeldes$fn16, so scheidet ja die Bestimmung Bei einer Tochter aus, da sie hierfür nicht geeignet ist, und auch hinsichtlich des Erbbesitzfeldes entnimmt er es ja aus eben diesem Einwande: die Leviratsehe erfolgt ja nur dann, wenn kein Sohn da ist$fn74!? Am richtigsten ist es vielmehr, wie vorher erklärt worden ist. 
Bava Batra 110b:7	Wenn du aber willst, sage ich hieraus:$fn75<i>so mögt ihr sie auf eure Söhne nach euch vererben,</i> eure Söhne und nicht eure Töchter. – Es heißt ja auch :$fn76<i>damit eure Tage und die Tage eurer Söhne sich mehren,</i> demnach wäre auch hierbei zu erklären: eurer Söhne und nicht eurer Töchter!? 
Bava Batra 110b:8	Anders ist es bei einem Segen.
Bava Batra 110b:9	B<small>RÜDER VÄTERLICHERSEITS [EINANDER]; DIESE BEERBEN UND VERERBEN &amp;C</small>. Woher dies? Rabba erwiderte: Dies ist aus [dem Ausdrucke] ‘Brüderschaft’ bei den Söhnen Ja͑qobs$fn77zu entnehmen, wie es da väterlicherseits und nicht mütterlicherseits war, ebenso ist es auch hierbei väterlicherseits und nicht mütterlicherseits zu verstehen. – 
Bava Batra 110b:10	Wozu ist dies denn nötig, es heißt ja:$fn78<i>von seiner Familie, er beerbe ihn,</i> und nur die Familie des Vaters gilt als Familie, die Familie der Mutter aber gilt nicht als Familie!? – 
Bava Batra 110b:11	Dem ist auch so, und die Lehre Rabbas bezieht sich auf die Schwagerehe$fn79.
Bava Batra 110b:12	D<small>ER</small> M<small>ANN SEINE</small> M<small>UTTER.</small> Woher dies? – Die Rabbanan lehrten: 
Bava Batra 111a:1	$fn80<i>Und jede Tochter, die zu Erbbesitz gelangt in einem von den Stämmen der Kinder Jisraél;</i> wie kann es nun Vorkommen, daß eine Tochter zu einem Erbbesitze aus zwei Stämmen$fn81gelangt? Wenn ihr Vater von einem Stamme und ihre Mutter von einem anderen Stamme abstammt und gestorben sind, und sie sie beerbt$fn82hat. 
Bava Batra 111a:2	Ich weiß dies nun von einer Tochter, woher dies von einem Sohne$fn83? Dies ist [durch einen Schluß] vom Leichteren auf das Schwerere$fn84zu folgern: wenn eine Tochter, die ein geringeres Recht auf das Vermögen des Vaters$fn85hat, ein gutes Recht auf das Vermögen der Mutter hat, um wieviel mehr hat ein Sohn, der ein besseres Recht auf das Vermögen des Vaters$fn85hat, ein gutes Recht auf das Vermögen der Mutter. Und hieraus ferner: wie da$fn86ein Sohn einer Tochter vorgeht, ebenso geht auch hierbei$fn87ein Sohn einer Tochter vor. 
Bava Batra 111a:3	R. Jose h. R. Jehuda und R. Elea͑zar b. R. Jose sagten im Namen des R. Zekharja h. Haqaçab: Ein Sohn und eine Tochter gleichen einander bezüglich des Vermögens der Mutter$fn88. – Aus welchem Grunde? – Es genügt, wenn das Gefolgerte dem gleicht, wovon es gefolgert wird$fn89. – 
Bava Batra 111a:4	Hält denn der erste Autor nichts von [der Regel] ‘es genügt’, diese Regel ist ja aus der Tora!? 
Bava Batra 111a:5	Es wird nämlich gelehrt: Ein Beispiel für [den Schluß vom] Leichteren auf das Schwerere:$fn89<i>Da sprach der Herr zu Moše: Wenn ihr Vater ihr ins Gesicht gespuckt hätte, sie sich nicht sieben Tage lang schämen müssen;</i> man sollte nun vom Leichter en auf das Schwerere folgern, daß wegen [Beleidigung der] Göttlichkeit dies vierzehn Tage währen sollte; 
Bava Batra 111a:6	aber es genügt, wenn das Gefolgerte dem gleicht, von dem es gefolgert wird$fn90. – 
Bava Batra 111a:7	Anderweitig hält er wohl von [der Regel] ‘es genügt’, hierbei aber ist es anders, denn die Schrift sagt: <i>von den Stämmen</i>, sie vergleicht also den mütterlichen Stamm mit dem väterlichen Stamme; wie beim väterlichen Stamme der Sohn der Tochter vorgeht, ebenso geht auch beim mütterlichen Stamme der Sohn der Tochter vor. 
Bava Batra 111a:8	R. Nithaj wollte eine Entscheidung treffen nach R. Zekharja b. Haqaçab, da sprach Šemuél zu ihm: Wohl nach Zekhar ja b. Haqaçab, aber mit Zekharja ist es aus$fn91. R. Tabla traf eine EntScheidung nach R. Zekharja b. Haqaçab, da sprach R. Naḥman zu ihm. Was soll dies? [Dieser erwiderte:] R. Ḥenana b. Šelemja sagte im Namen Rabhs, die Halakha sei wie R. Zekharja b. Haqaçab. Jener entgegnele: Geh und widerrufe, sonst treibe ich dir den R. Ḥenana b. Šelemja aus deinen Ohren$fn92. 
Bava Batra 111a:9	R. Ḥon a b. Ḥija wollte eine Entscheidung treffen nach R. Zekharja b. Haqaçab, da sprach R. Naḥman zu ihm: Was soll dies? Dieser erwiderte: R. Ḥona sagte im Namen Rabhs, die Halakha sei wie R. Zekharja b. Haqaçab. Jener entgegnete: Soll ich es$fn93ihm mitteilen? Da wurde er verlegen$fn94. Hierauf sprach jener: Wäre R. Ḥona tot, so würdest du mich bekämpft haben. – 
Bava Batra 111a:10	Wessen Ansicht war er? – Wie Rabh und Šemuél, die beide sagten, die Halakha sei nicht wie R. Zekharja b. Haqaçab.
Bava Batra 111a:11	Einst ging R. Jannaj gestützt auf die Schulter seines Dieners R. Šimlaj, und R. Jehuda, der Fürst, kam ihnen entgegen. Da sprach jener: Der Mann, der uns entgegenkommt, ist vornehm und sein Gewand ist vornehm. Als dieser herankam, betastete er ihn und sprach: Auch bei diesem$fn95ist dasselbe Maß$fn96festgesetzt wie bei einem härenen Gewände. 
Bava Batra 111a:12	Hierauf fragte ihn dieser: Woher, daß beim Vermögen der Mutter der Sohn der Tochter vorgehe$fn97? Jener erwiderte: Es heißt <i>Stämme</i>, dies vergleicht den Stamm der Mutter mit dem Stamme des Vaters: wie beim Stamme des Vaters der Sohn der Tochter vorgeht, ebenso geht auch beim Stamme der Mutter der Sohn der Tochter vor. Dieser entgegnete: Demnach sollte doch, wie beim Stamme des Vaters der Erstgeborene einen doppelten Anteil erhält, auch beim Stamme der Mutter der Erstgeborene einen doppelten Anteil erhalten!? 
Bava Batra 111b:1	Da sprach jener zu seinem Diener: Weiter, dieser will nicht lernen$fn98. – Was ist wirklich der Grund$fn99? Abajje erwiderte: Die Schrift sagt:$fn100<i>von allem</i>, <i>was er besitzt,</i> er und nicht sie. – 
Bava Batra 111b:2	Vielleicht gilt dies nur von dem Falle, wenn ein Lediger eine Witwe geheiratet$fn101hat, wenn aber ein Lediger eine Jungfrau geheiratet hat, erhält er$fn102wohl!? 
Bava Batra 111b:3	R. Naḥman b. Jiçḥaq erwiderte : Die Schrift sagt :$fn100<i>der Erstling seiner Kraft</i>, seiner Kraft und nicht ihrer Kraft. – 
Bava Batra 111b:4	Diese Worte deuten ja aber darauf, daß er hinsichtlich der Erbschaft auch dann als Erstgeborener gilt, wenn er nach Fehlgeburten geboren$fn103 ist; nur wenn das Herz nach ihm Schmerz empfindet, nicht aber, wenn das Herz nach ihm keinen Schmerz$fn104empfindet!? – 
Bava Batra 111b:5	Die Schrift könnte ja sagen: <i>er ist der Erstling der Kraft,</i> wenn es aber <i>seiner Kraft</i> heißt, so ist beides zu entnehmen. – 
Bava Batra 111b:6	Aber immerhin gilt dies vielleicht nur von dem Falle, wenn ein Witwer eine Jungfrau$fn105geheiratet hat, wenn aber ein Lediger eine Jungfrau geheiratet hat, erhält er wohl!? 
Bava Batra 111b:7	Vielmehr, erklärte Raba, die Schrift sagt :$fn100<i>ihm gehört das Erstgeburtsrecht,</i> das Erstgeburtsrecht gilt nur beim Manne, nicht aber gilt das Erstgeburtsrecht bei der Frau.
Bava Batra 111b:8	D<small>ER</small> M<small>ANN SEINE</small> E<small>HEFRAU</small>. Woher dies? – Die Rabbanan lehrten: $fn106<i>Blutsverwandten</i>, das ist die Ehefrau; dies lehrt, daß der Mann seine Ehefrau beerbe. Mari könnte$fn107glauben, auch sie beerbe ihn, so heißt es: $fn106<i>er beerbe sie</i>; er beerbt sie, nicht aber beerbt sie ihn$fn108. – 
Bava Batra 111b:9	Die Schriftverse lauten ja aber nicht$fn109so!? Abajje erwiderte: Erkläre sie wie folgt: Ihr sollt seine Erbschaft dem geben, der ihm am nächsten ist; seine$fn110 Blutsverwandte soll er beerben. 
