Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 19a:4	Sollte schon der Umstand genügen, daß er dem Tage vorangeht, an dem Gedalja, der Sohn Aḥiqams, erschlagen$fn327wurde!? R. Aši erwiderte: [Die Feier] Gedaljas, des Sohnes Aḥiqams, ist aus der Tradition, und Worte der Tradition gleichen den Worten der Tora. 
Rosh Hashanah 19a:5	R. Ṭobi b. Mathna wandte ein: Am$fn325achtundzwanzigsten [Adar] erhielten die Juden eine gute Botschaft, daß sie sich der Tora nicht zu entziehen brauchen. Die ruchlose Regierung hatte nämlich Religionsverfolgung verhängt, sich mit der Tora nicht zu befassen, ihre Söhne nicht zu beschneiden und den Sabbath zu entweihen. Was taten Jehuda b.Šamua͑ und seine Genossen? Sie gingen und holten sich Rat von einer Matrone, bei der die Vornehmen Roms zu verkehren pflegten, 
Rosh Hashanah 19a:6	und diese sprach zu ihnen: Gehet und lärmet nachts. Darauf gingen sie und lärmten nachts, indem sie riefen: O Himmel, sind wir nicht eure Brüder, sind wir nicht Kinder eines Vaters, sind wir nicht Kinder einer Mutter; womit sind wir anders, als alle übrigen Nationen und Sprachstämme, daß ihr über uns solch schwere Verordnungen verhängt!? – Da hoben sie [die Verfolgung] auf, und diesen Tag machte man zum Feste. Wie sollte man, wenn du nun sagst, die [Verbindlichkeit der] Fastenrolle sei aufgehoben, neue [Feste] hinzufügen, wo sogar die alten aufgehoben worden sind!? 
Rosh Hashanah 19a:7	Wolltest du sagen, dies war ebenfalls zur Zeit, wo der Tempel noch bestanden hat, so war ja Jehuda b.Šamua͑ ein Schüler R. Meírs, und R. Meír lebte ja später!? Es wird nämlich gelehrt: Wenn ein Glasgefäß ein Loch bekommt und man es mit Blei verlötet hat, so ist es, wie R. Šimo͑n b.Gamliél sagt, nach R. Jehuda b. Šamua͑ namens R. Meírs verunreinigungsfähig
Rosh Hashanah 19b:1	und nach den Weisen rein$fn328. – 
Rosh Hashanah 19b:2	Hierüber [streiten] Tannaím, denn es wird gelehrt: An den in der Fastenrolle genannten Tagen ist sowohl zur Zeit, wo der Tempel besteht, als auch zur Zeit, wo der Tempel nicht besteht, [das Fasten] verboten – so R. Meír; R. Jose sagt, zur Zeit, wo der Tempel besteht, sei es verboten, weil sie dann Freudentage sind, und wo der Tempel nicht besteht, sei es erlaubt, weil sie dann Trauertage sind. Die Halakha ist, [diese Feste] seien aufgehoben. Die Halakha ist, sie seien nicht aufgehoben. – 
Rosh Hashanah 19b:3	Die Halakhoth widersprechen ja einander!? – Das ist kein Widerspruch; eines spricht vom Hanuka- und vom Purimfeste, und eines spricht von den übrigen [Fest]tagen$fn329.
Rosh Hashanah 19b:4	D<small>ER</small> E<small>LUL WEGEN DES</small> N<small>EUJAHRSFESTES, DER</small> T<small>IŠRI WEGEN DER</small> F<small>ESTSETZUNG DER</small> F<small>ESTE</small>. W<small>OZU</small> brauchten sie wegen des Tišri ausgeschickt zu werden, wo sie schon wegen des Elul ausgeschickt worden sind!? 
Rosh Hashanah 19b:5	Wolltest du sagen, der Elul könnte interkaliert worden sein, so sagte ja R. Ḥanina b. Kahana im Namen Rabhs, daß seit den Tagen E͑zras der Elul nicht interkaliert worden sei!? – Er wurde es nicht, weil dies nicht nötig war, ist es aber nötig, so wird er interkaliert. – 
Rosh Hashanah 19b:6	Dadurch tritt ja aber eine Verwirrung in der Festsetzung des Neujahrsfestes ein$fn330!? – 
Rosh Hashanah 19b:7	Lieber mag eine Verwirrung in der Festsetzung des Neujahrsfestes eintreten, als daß dies bei allen übrigen Festen erfolge. 
Rosh Hashanah 19b:8	Dies ist auch zu beweisen; denn es heißt: der Tišri wegen der Festsetzung der Feste. Schließe hieraus.
Rosh Hashanah 19b:9	D<small>ER</small> K<small>ISLEV WEGEN DES</small> Ḥ<small>ANUKAFESTES UND DER</small> A<small>DAR WEGEN DES</small> P<small>URIMFESTES</small>. Er lehrt also nicht, daß, wenn es ein Schaltjahr ist, sie auch wegen des zweiten Adars ausziehen, wegen des Purimfestes, somit lehrt unsere Mišna nicht nach Rabbi, denn es wird gelehrt: Rabbi sagt, ist es ein Schaltjahr, so werden sie auch wegen des zweiten Adars ausgesandt wegen des Purimfestes. 
Rosh Hashanah 19b:10	Ihr Streit besteht wahrscheinlich in folgendem: nach der einen Ansicht gelten alle Gebote, die im zweiten Adar Geltung haben, auch im ersten, und nach der anderen Ansicht gelten alle Gebote, die im zweiten Geltung haben, nicht im ersten. – 
Rosh Hashanah 19b:11	Nein, alle sind der Ansicht, die Gebote, die im zweiten Geltung haben, gelten im ersten nicht, und sie streiten vielmehr über die Interkalation des Jahres. Es wird nämlich gelehrt: Wieviel beträgt die Interkalation des Jahres? Dreißig Tage; R. Šimo͑n b.Gamliél sagt, einen Monat$fn331. – 
Rosh Hashanah 19b:12	Nach dem sie dreißig [Tage] beträgt, wohl$fn332deshalb, weil dies bekannt ist, ebenso ist es ja auch bekannt, wenn sie einen Monat beträgt!? R. Papa erwiderte: Nach dem sie einen Monat beträgt, kann es sowohl ein Monat sein als auch dreißig Tage$fn333.
Rosh Hashanah 19b:13	R. Jehošua͑ b. Levi bekundete im Namen der heiligen Gemeinde zu Jerušalem, daß man die Schalttage der beiden Monate Adar weihe$fn334. 
Rosh Hashanah 19b:14	Demnach mache man diese unvollzählig und nicht vollzählig, somit schließt dies das aus, was R. Naḥman b. Ḥisda vortrug. R. Naḥman b. Ḥisda trug nämlich vor: R. Simaj bekundete im Namen von Ḥaggaj, Zekharja und Maleakhi, daß man die beiden Monate Adar, wenn man will, beide vollzählig, wenn man will, beide unvollzählig, und wenn man will, einen vollzählig und einen unvollzählig machen könne. So war es Brauch in der Diaspora. Im Namen unseres Meisters sagten sie, man mache stets einen vollzählig und einen unvollzählig, es sei denn, man weiß bestimmt, daß man den Neumondstag [des zweiten] zur Zeit$fn335festgesetzt habe.
Rosh Hashanah 19b:15	Man ließ Mar U͑qaba sagen, der dem Nisan vorangehende Adar sei immer unvollzählig. 
Rosh Hashanah 19b:16	R. Naḥman wandte ein: Zweier Monate wegen dürfen [die Zeugen]$fn336den Šabbath entweihen: wegen des Nisan und wegen des Tišri. Erklärlich ist es, daß man ihn entweihen darf, wenn du sagst, [der Adar] sei zuweilen vollzählig und zuweilen unvollzählig,wozu aber braucht man ihn zu entweihen, 
Rosh Hashanah 20a:1	wenn du sagst, er sei immer unvollzählig!? – Weil es Gebot ist, [den Neumond] auf Grund des Sehens zu weihen. 
Rosh Hashanah 20a:2	Manche lesen: R. Naḥman sprach: Auch wir haben demgemäß gelernt: Zweier Monate wegen dürfen [die Zeugen] den Sabbath entweihen: wegen des Nisan und wegen des Tišri. 
Rosh Hashanah 20a:3	Erklärlich ist es, daß man ihn entweihen darf, wenn du sagst, [der Adar] sei immer unvollzählig, da es Gebot ist, [den Neumond] auf Grund des Sehens zu weihen, wieso aber darf man ihn entweihen, wenn du sagst, er sei zuweilen vollzählig und zuweilen unvollzählig, man kann ihn ja vollzählig machen und erst am folgenden Tage [den Neumond] weihen!? – 
Rosh Hashanah 20a:4	Wenn der dreißigste auf einen Šabbath fällt, ist dem auch so, hier aber handelt es sich um den Fall, wo der einunddreißigste auf einen Sabbath fällt, und es ist ja Gebot, [den Neumond] auf Grund des Sehens zu weihen. 
Rosh Hashanah 20a:5	R. Kahana wandte ein: Wenn der Tempel besteht, entweiht man den [Sabbath] auch wegen aller übrigen [Monate], wegen der richtigen Darbringung des [Neumond]opfers. 
Rosh Hashanah 20a:6	Wenn bei den übrigen nicht aus dem Grunde, weil es Gebot ist, [den Neumond] auf Grund des Sehens zu weihen, so erfolgt es ja auch beim Nisan und beim Tišri nicht aus dem Grunde, weil es Gebot ist, [den Neumond] auf Grund des Sehens zu weihen. 
Rosh Hashanah 20a:7	Erklärlich ist es, daß man [den Šabbath] entweihen darf, wenn du sagst, er sei zuweilen vollzählig und zuweilen unvollzählig, wieso aber darf man ihn entweihen, wenn du sagst, er sei immer unvollzählig!? Dies ist eine Widerlegung.
Rosh Hashanah 20a:8	Als U͑la kam, erzählte er, man habe [in Palästina] den Elul zum Schaltmonate gemacht. Darauf sprach U͑la: Die Genossen in Babylonien wissen, welche Gefälligkeit wir ihnen damit erweisen. – 
Rosh Hashanah 20a:9	Worin besteht die Gefälligkeit? – U͑la erklärte, wegen der Kräuter; R. Aḥa b.Ḥanina erklärte, wegen eines Toten$fn337. – 
Rosh Hashanah 20a:10	Welchen Unterschied gibt es zwischen ihnen? – Einen Unterschied gibt es zwischen ihnen beim unmittelbar auf den Šabbath folgenden Versöhnungstage. Nach demjenigen, der wegen eines Toten sagt, interkaliert man ihn, [nicht aber] nach demjenigen, der wegen der Kräuter sagt, weil man sie erst zum Abend braucht, wo man sie dann holen kann. – Aber auch nach demjenigen, der wegen der Kräuter sagt, sollte man ihn wegen eines Toten interkalieren!? – 
Rosh Hashanah 20a:11	Vielmehr, einen Unterschied gibt es zwischen ihnen, bei einem Festtage nächst einem Šabbath, ob vor- oder nachher. Nach demjenigen, der wegen der Kräuter sagt, interkaliere man ihn, [nicht aber] nach demjenigen, der wegen eines Toten sagt, weil dies durch Nichtjuden erfolgen kann$fn338. – 
Rosh Hashanah 20a:12	Aber auch nach demjenigen, der wegen eines Toten sagt, sollte man ihn wegen der Kräuter interkalieren!? – Man kann sich mit aufgewärmten behelfen. – 
Rosh Hashanah 20a:13	Wieso ist dies demnach [eine Gefälligkeit] nur für uns, dies ist es ja auch für jene!? – Bei uns ist es schwül, bei ihnen nicht$fn339. – 
Rosh Hashanah 20a:14	Dem ist ja aber nicht so, Rabba b. Šemuél lehrte ja: Man könnte glauben, man interkaliere erforderlichenfalls den Monat, wie man erforderlichenfalls das Jahr interkaliert, so heißt es:$fn340<i>dieser Monat soll für euch an der Spitze der Monate stehen</i>, wenn du ihn$fn341siehst, weihe ihn!? 
Rosh Hashanah 20a:15	Raba erwiderte: Das ist kein Einwand; hier handelt es sich um die Interkalation, da aber um die Weihe. Er meint es wie folgt: Man könnte glauben, man weihe erforderlichenfalls den Neumond [ungesehen], wie man auch erforderlichenfalls das Jahr und den Monat interkaliert, so heißt es: <i>dieser Monat soll für euch stehen</i>, wenn du ihn siehst, weihe ihn. 
Rosh Hashanah 20a:16	So sagte auch R. Jehošua͑ b. Levi: Man schüchtere die Zeugen ein, wenn der Neumond zur Zeit$fn342gesehen worden ist, wegen der Interkalation$fn342, nicht aber schüchtere man Zeugen$fn343ein, wenn der Neumond nicht zur Zeit gesehen worden ist, um ihn weihen zu können. –
Rosh Hashanah 20a:17	Dem ist ja aber nicht so, R. Jehuda der Fürst ließ ja R. Ami sagen: Wisset, daß R.Joḥanan uns während seines ganzen Lebens gelehrt hat, daß man [erforderlichenfalls], wenn der Neumond zur Zeit nicht gesehen worden ist, um ihn zu weihen, Zeugen einschüchtere, ihn gesehen zu haben zu bekunden, obgleich sie ihn nicht gesehen haben!? 
Rosh Hashanah 20a:18	Abajje erwiderte: Das ist kein Einwand; das eine gilt von Nisan$fn344und Tišri, das andere gilt von den übrigen Monaten. 
Rosh Hashanah 20a:19	Raba erklärte: Die Lehre des Rabba b. Šemuél vertritt die Ansicht des Anderen, denn es wird gelehrt: Andere sagen, von einem Wochenfeste bis zum anderen und von einem Neujahrsfeste bis zum anderen gebe es nur eine Differenz von vier und im Schaltjahre von fünf$fn345[Wochen] tagen. 
Rosh Hashanah 20a:20	R. Dimi aus Nehardea͑ lehrte entgegengesetzt : Man schüchtere Zeugen ein, wenn der Neumond nicht zur Zeit gesehen worden ist, um ihn zu weihen, nicht aber schüchtere man die Zeugen ein, wenn der Neumond zur Zeit gesehen worden ist, wegen der Interkalation. – 
Rosh Hashanah 20a:21	Aus welchem Grunde? – 
Rosh Hashanah 20b:1	Das eine ist eine offenbare Lüge, das andere ist keine offenbare Lüge$fn346.
Rosh Hashanah 20b:2	Šemuél sagte: Ich könnte die ganze Diaspora versorgen$fn347. 
Rosh Hashanah 20b:3	Da sprach Abba, der Vater R. Šimlajs, zu Šemuél: Weiß der Meister das, was in den ‘Mysterien der Konjunktion’$fn348gelehrt wird, [es sei zu unterscheiden], ob die Konjunktion vor oder nach Mitternacht eintritt? Dieser erwiderte: Nein. Darauf sprach jener: Wenn der Meister dies nicht weiß, so wird es noch andere Dinge geben, die er nicht weiß.
Rosh Hashanah 20b:4	Als R. Zera [nach Palästina] hinaufgegangen war, ließ er ihnen sagen: Die Nacht und der darauffolgende Tag gehören zusammen zum selben Monat. 
Rosh Hashanah 20b:5	Das ist es, bezüglich dessen Abba, der Vater R. Šimlajs, gesagt hat, man berechne die Konjunktion; tritt sie vor Mitternacht ein, so ist [der Mond] sicher kurz nach Sonnenuntergang sichtbar, tritt sie nach Mitternacht$fn349ein, so ist er sicher kurz nach Sonnenuntergang nicht sichtbar. – 
Rosh Hashanah 20b:6	In welcher Hinsicht ist dies von Bedeutung? R. Aši erwiderte: Zeugen zu überführen. 
Rosh Hashanah 20b:7	R. Zera sagte im Namen R. Naḥmans: Vierundzwanzig Stunden bleibt der Mond bedeckt; für uns sechs Stunden vom alten und achtzehn vom neuen [Mondzyklus], für sie sechs Stunden vom neuen und achtzehn vom alten. –
Rosh Hashanah 20b:8	In welcher Hinsicht ist dies von Bedeutung? R. Aši erwiderte: Zeugen zu überführen.
Rosh Hashanah 20b:9	Der Meister sagte: Die Nacht und der darauffolgende Tag gehören zusammen zum selben Monat. Woher dies? R. Joḥan an erwiderte:$fn350<i>Von Abend bis Abend</i>. 
Rosh Hashanah 20b:10	Reš Laqiš erwiderte:$fn351<i>Bis zum Abend des einundzwanzigsten Tages des Monats</i>. – 
Rosh Hashanah 20b:11	Welchen Unterschied gibt es zwischen ihnen? Abajje erwiderte: Nur darin, woher dies entnommen wird. 
Rosh Hashanah 20b:12	Raba erwiderte: Ein Unterschied besteht zwischen ihnen über [die Zeit bis] Mitternacht$fn352. 
Rosh Hashanah 20b:13	R. Zera sagte im Namen R. Naḥmans: Jeder Zweifel wird hinausgeschoben. Daraus zu entnehmen, daß man [wegen des Zweifels das Fest]$fn353auf den fünfzehnten und den sechzehnten verlege, nicht aber auf den vierzehnten. – 
Rosh Hashanah 20b:14	Man sollte doch auch den vierzehnten feiern, denn Ab und Elul können ja beide unvollzählig gewesen sein!? – 
Rosh Hashanah 21a:1	Wenn zwei Monate hintereinander unvollzählig sind, so ist es bekannt.
Rosh Hashanah 21a:2	Levi befand sich am elften Tišri in Babylonien, da sprach er: Die Speisen munden den Babyloniern am Versöhnungstage$fn354der Westlichen! Darauf sprachen sie zu ihm: Bekunde$fn355dies! Er erwiderte: Ich hörte nicht vom Gerichtshöfe, daß der Neumond geweiht wurde.
Rosh Hashanah 21a:3	R. Joḥanan ließ verkünden: Überall, wo die Boten des Nisan hinkommen und die Boten des Tišri$fn356nicht hinkommen, feiere man zwei Tage, denn man berücksichtige beim Nisan den Tišri. 
Rosh Hashanah 21a:4	Einst kamen R. Ajbu b. Nagari und R. Ḥija b.Abba nach einer Ortschaft, wo die Boten des Nisan hinkamen und die Boten des Tišri nicht hinkamen, dennoch feierte man da nur einen Tag; sie sagten ihnen aber nichts. Als R. Joḥanan dies hörte, schalt er darüber, indem er zu ihnen sprach: Habe ich euch etwa nicht gesagt, daß überall, wo die Boten des Nisan hinkommen und die Boten des Tišri nicht hinkommen, man zwei Tage feiere, weil man beim Nisan den Tišri berücksichtige!?
Rosh Hashanah 21a:5	Raba pflegte zwei Tage im Fasten zu verweilen, und einmal stellte es sich so$fn357heraus. 
Rosh Hashanah 21a:6	Einst fastete R. Naḥman den ganzen Versöhnungstag, abends kam jemand zu ihm und sprach: Morgen ist im Westen Versöhnungstag. 
Rosh Hashanah 21a:7	Da fragte er ihn: Woher bist du? Dieser erwiderte: Aus Damharja. Da sprach jener: Blut [dam] sei sein Ende! Hierauf las er über sich:$fn358<i>Schnell waren unsere Verfolger</i>.
Rosh Hashanah 21a:8	R. Ḥona b. Abin ließ Raba sagen: Wenn du siehst, daß die Jahreszeit des Tebeth$fn359bis zum sechzehnten Nisan reicht, so interkaliere das Jahr ohne Bedenken, denn es heißt :$fn360<i>achte auf den Ährenmonat</i>, achte, daß der Frühling mit dem Nisan zusammentreffe. 
Rosh Hashanah 21a:9	R. Naḥman sprach zu den Seefahrern: Da ihr die Festsetzung des Neumondes nicht kennt, so verbrennet das Gesäuerte [am Vorabend des Pesaḥfestes], sobald ihr sehet, daß der Mond bis zum Tagesanbrüche scheint. – 
Rosh Hashanah 21a:10	Dies erfolgt erst am fünfzehnten, und wir verbrennen es ja bereits am vierzehnten!? – Für diese, die freie Aussicht über die ganze Welt haben, erfolgt es schon am vierzehnten.
Rosh Hashanah 21b:1	<b>Z</b><small>WEIER</small> M<small>ONATE WEGEN DÜRFEN</small> [<small>DIE</small> Z<small>EUGEN</small>] <small>DEN</small> Š<small>ABBATH ENTWEIHEN:</small> <small>WEGEN DES</small> N<small>ISAN UND WEGEN DES</small> T<small>IŠRI, DERENTWEGEN</small> B<small>OTEN NACH</small> S<small>YRIEN AUSZIEHEN, WEIL IN DIESEN DIE</small> F<small>ESTE FESTGESETZT WERDEN</small>. <sup>iv</sup> A<small>LS DER</small> T<small>EMPEL BESTAND, ENTWEIHTE MAN IHN AUCH WEGEN DER ÜBRIGEN</small> [M<small>ONATE</small>], <small>WEGEN DER</small> B<small>ESTIMMUNG DES</small> [N<small>EUMOND</small>]<small>OPFERS</small>.
Rosh Hashanah 21b:2	GEMARA. Nur zweier Monate wegen, sonst aber nicht; ich will auf einen Widerspruch hinweisen: Sechs Monate sind es, derentwegen Boten ausziehen!?
Rosh Hashanah 21b:3	Abajje erwiderte: Er meint es wie folgt: wegen aller anderen Monate zogen sie schon am Abend [vorher] aus, wegen des Nisan und des Tišri aber erst, wenn das Gericht die Weihe verkündet hat. 
Rosh Hashanah 21b:4	Ebenso wird gelehrt: Wegen aller Monate zogen die Boten schon am Abende [vorher] aus, wegen des Nisan und des Tišri aber erst, wenn das Gericht die Weihe verkündet hat.
Rosh Hashanah 21b:5	Die Rabbanan lehrten: Woher, daß man derentwegen den Šabbath entweihe? Es heißt :$fn361<i>dies sind die Feste des Herrn, die ihr an ihrer bestimmten Zeit zu verkünden habt</i>. M
Rosh Hashanah 21b:6	an könnte glauben, wie [die Zeugen] ihn wegen der Weihe entweihen dürfen, ebenso auch [die Boten] wegen der Festsetzung, so heißt es: <i>die ihr zu verkünden habt</i>, du darfst ihn wegen der Verkündung entweihen, nicht aber wegen der Festsetzung.
Rosh Hashanah 21b:7	A<small>LS DER</small> T<small>EMPEL BESTAND, ENTWEIHTE MAN IHN AUCH WEGEN DER ÜBRIGEN</small> [M<small>ONATE</small>], <small>WEGEN DER</small> B<small>ESTIMMUNG DES</small> [N<small>EUMOND</small>]<small>OPFERS</small>. Die Rabbanan lehrten: Anfangs entweihte man [den Šabbath] wegen aller Monate, nachdem aber der Tempel zerstört wurde, sprach R. Joḥanan b. Zakkaj: Gibt es denn jetzt Opfer!? Da ordnete man an, ihn nur wegen des Nisan und des Tišri zu entweihen.
Rosh Hashanah 21b:8	<sup>v</sup> <b>M</b><small>AN ENTWEIHTE</small> [<small>WEGEN DES</small> N<small>EUMONDES</small>] <small>DEN</small> Š<small>ABBATH, EINERLEI OB ER KLAR ERSCHIENEN IST ODER NICHT;</small> R. J<small>OSE SAGT, IST ER KLAR ERSCIIIENEN</small>, <small>SO ENTWEIHE MAN SEINETWEGEN DEN ŠABBATH NICHT</small>$fn362.
Rosh Hashanah 21b:9	<sup>vi</sup> E<small>INST ZOGEN MEHR ALS VIERZIG</small> Z<small>EUGENPAARE VORÜBER, UND</small> R. A͑<small>QIBA HIELT SIE IN</small> L<small>UD ZURÜCK; DA LIESS</small> R. G<small>AMLIÉL IHM SAGEN:</small> W<small>ENN DU DAS</small> P<small>UBLIKUM ZURÜCKHÄLTST, SO LEGST DU IHNEN EINEN</small> A<small>NSTOSS FÜR DIE</small> Z<small>UKUNFT</small>.
Rosh Hashanah 21b:10	GEMARA. Wieso ist es erwiesen, daß ‘a͑lil’ die Bedeutung ‘klar’ hat? R. Abahu erwiderte: Es heißt:$fn363<i>die Worte des Herrn sind lautere Worte, klar [baa</i>͑<i>lil] vor der ganzen Erde geläutertes Silber, siebenfältig gereinigt</i>.
Rosh Hashanah 21b:11	Rabh und Šemuél [streiten]: Einer sagt, fünfzig Pforten der Weisheit seien auf der Welt erschaffen worden, und ausgenommen einer einzigen seien sic Moše anvertraut worden, denn es heißt:$fn364<i>du ließest ihn nur wenig hinter Gott zurückstehen</i>.
Rosh Hashanah 21b:12	$fn365<i>Qoheleth wollte wertvolle Dinge finden</i>; Qoheleth wollte nämlich Moše gleich sein, da ertönte eine Hallstimme und sprach zu ihm:$fn365<i>In Aufrichtigkeit Niedergeschriebenes, Worte der Wahrheit</i>:$fn366<i>Es stand fortan in Jisraél kein Prophet wie Moše auf</i>. 
Rosh Hashanah 21b:13	Und einer sagt, unter den Propheten sei keiner aufgestanden, wohl aber unter den Königen ; wieso aber halte ich aufrecht den Schriftvers: <i>Qoheleth wollte wertvolle Dinge finde</i>? Qoheleth wollte nämlich ohne Zeugenaussage und ohne Warnung Recht sprechen, da ertönte eine Hallstimme und sprach zu ihm: <i>In Aufrichtigkeit Geschriebenes, Worte der Wahrheit</i> :$fn367<i>Auf die Aussage zweier Zeugen hin &amp;c</i>.
Rosh Hashanah 22a:1	E<small>INST ZOGEN MEHR ALS VIERZIG</small> Z<small>EUGENPAARE VORÜBER UND</small> R. A͑<small>QTBA HIELT SIE ZURÜCK &amp;C. ES</small> wird gelehrt: R. Jehuda sagte: Behüte und bewahre, daß sie R. A͑qiba selbst zurückgehalten habe, vielmehr war es Šazpar, das Oberhaupt von Gader; da schickte R. Gamliél und ließ ihn seines Amtes entsetzen.
Rosh Hashanah 22a:2	<b>W</b><small>ENN</small> V<small>ATER UND</small> S<small>OHN DEN</small> N<small>EUMOND GESEHEN HABEN, SO MÜSSEN BEIDE</small> [<small>ZEUGEN</small>] <small>GEHEN, NICHT ETWA, DASS SIE ZUSAMMEN ALS</small> Z<small>EUGENPAAR GELTEN, SONDERN DAMIT, WENN EINER ZURÜCKGEWIESEN WERDEN SOLLTE</small>, <small>DER ANDERE EINEM</small> F<small>REMDEN ZUGESELLT WERDEN KÖNNE</small>. <sup>vii</sup> R. Š<small>IMO͑N SAGT</small>, V<small>ATER UND</small> S<small>OHN, SOWIE ALLE SONSTIGEN</small> V<small>ERWANDTEN SIND ZUSAMMEN ALS</small> N<small>EUMONDZEUGEN ZULÄSSIG. 
Rosh Hashanah 22a:3	R</small>. J<small>OSE ERZÄHLTE:</small> E<small>INST SAHEN DER</small> A<small>RZT</small> Ṭ<small>OB JA, SEIN</small> S<small>OHN UND SEIN FREIGELASSENER</small> S<small>KLAVE IN</small> J<small>ERUŠALEM DEN</small> N<small>EUMOND, UND DIE</small> P<small>RIESTER NAHMEN IHN UND SEINEN</small> S<small>OHN</small> [<small>ALS</small> Z<small>EUGEN</small>] <small>AN, WÄHREND SIE SEINEN</small> S<small>KLAVEN ZURÜCKWIESEN</small>. A<small>LS SIE SPÄTER VOR</small> G<small>ERICHT ERSCHIENEN, NAHM ES IHN UND SEINEN</small> S<small>KLAVEN</small> [<small>ALS</small> Z<small>EUGEN</small>] <small>AN, WÄHREND ES SEINEN</small> S<small>OHN ZURÜCKWIES</small>.
Rosh Hashanah 22a:4	GEMARA. R. Levi sagte: Was ist der Grund R. Šimo͑ns? Es heißt: $fn368<i>und der Herr sprach zu Moše und Ahron im Lande Miçrajim folgendermaßen: Dieser Monat soll für euch sein</i>; dieses Zeugnis ist durch e u c h$fn369zulässig. – 
Rosh Hashanah 22a:5	Und die Rabbanan!? – Dieses Zeugnis ist euch anvertraut.
Rosh Hashanah 22a:6	R. J<small>OSE ERZÄHLTE:</small> E<small>INST SAHEN DER</small> A<small>RZT</small> Ṭ<small>OBJA &amp;C</small>. R. Ḥanan b.Raba sagte: Die Halakha ist wie R. Šimon. R. Hona sprach zu R. Ḥanan b. Raba: R. Jose und dazu ein Ereignis [sprechen dagegen], und du sagst, die Halakha sei wie R. Šimo͑n!? 
Rosh Hashanah 22a:7	Dieser erwiderte: Sehr oft sagte ich vor Rabh, die Halakha sei wie R. Šimo͑n, und er sagte nichts dazu. Jener fragte: Wie hast du es vorgetragen? Dieser erwiderte: Umgekehrt$fn370.Da sprach jener: Deshalb sagte er nichts dazu. Ṭabi, Sohn des Mari Ṭabi, sagte im Namen Mar U͑qabas im Namen Šemuéls: Die Halakha ist wie R. Šimo͑n.
Rosh Hashanah 22a:8	<b>F</b><small>OLGENDE SIND UNZULÄSSIG:</small> W<small>ÜRFELSPIELER</small>, W<small>UCHERER, DIE</small> T<small>AUBEN FLIEGEN$fn371LASSEN, DIE MIT</small> [E<small>RZEUGNISSEN</small>] <small>DES</small> S<small>IEBENTJAHRES HANDELN UND</small> S<small>KLAVEN</small>. <sup>viii</sup> D<small>IE</small> R<small>EGEL IST :</small> Z<small>U JEDEM</small> Z<small>EUGNIS, ZU DEM EINE</small> F<small>RAU UNZULÄSSIG IST, SIND AUCH DIESE UNZULÄSSIG</small>.
Rosh Hashanah 22a:9	GEMARA. [Zu einem Zeugnisse] aber, zu dem eine Frau zulässig ist, sind auch diese zulässig. R. Menasi sagte: Dies besagt, daß ein rabbanitischer Räuber$fn372in Eheangelegenheiten als Zeuge$fn373zulässig ist, und für eine Frau$fn373Zeugnis ablegen könne.
Rosh Hashanah 22a:10	<sup>ix</sup> <b>W</b><small>ENN JEMAND DEN</small> N<small>EUMOND GESEHEN HAT UND NICHT GEHEN KANN, SO BRINGE MAN IHN AUF EINEM</small> E<small>SEL UND SOGAR AUF EINER</small> S<small>ÄNFTE</small>. S<small>IND</small> W<small>EGELAGERER</small>$fn374<small>VORHANDEN, SO DÜRFEN SIE</small> S<small>TÖCKE MITNEHMEN</small>. 
Rosh Hashanah 22a:11	I<small>ST ES EIN WEITER</small> W<small>EG, SO NEHMEN SIE</small> M<small>UNDVORRAT MIT, DENN BEI EINER</small> S<small>TREKKE VON EINEM</small> T<small>AGE UND EINER</small> N<small>ACHT DARF MAN DEN</small> Š<small>ABBATH ENTWEIHEN UND</small> Z<small>EUGNIS ÜBER DEN</small> N<small>EUMOND ABLEGEN GEHEN, DENN ES HEISST</small>:$fn375<i>dies sind die Feste des Herrn, die ihr an ihrer bestimmten Zeit za verkünden habt</i>.
Rosh Hashanah 22a:12	
Rosh Hashanah 22a:13	<sup>i</sup> <b>W</b>ENN [<small>DAS</small> G<small>ERICHT</small>] <small>IHN NICHT KENNT, SO SCHICKT MAN MIT IHM EINEN ANDEREN MIT, DER ÜBER IHN ZEUGE</small> $fn1. A<small>NFANGS NAHM MAN</small> B<small>EKUNDUNGEN ÜBER DEN</small> N<small>EUMOND VON JEDERMANN AN, SEITDEM ABER DIE</small> M<small>INÄER</small> V<small>ERWIRRUNG ANRICHTETEN, ORDNETE MAN AN, SIE NUR VON</small> B<small>EKANNTEN ENTGEGENZUNEHMEN</small>.
Rosh Hashanah 22a:14	GEMARA. Unter ‘anderen’ ist ja einer zu verstehen; 
Rosh Hashanah 22b:1	ist einer denn beglaubigt, es wird ja gelehrt: Einst kam er mit seinen Zeugen, über ihn zu zeugen!? R. Papa erwiderte: Unter ‘anderen’ ist ein anderes Zeugenpaar zu verstehen. 
