Index Title,Yalkut Shimoni on Nach
Yalkut Shimoni on Nach 996:1,"אמרו בשעה שבקש הקב""ה להחריב את בית המקדש, אמר כל זמן שאני כתובה אין האויבים נוגעים בה, אלא אכבוש עיני ממנה ואשבע עליה שלא אזקק לה עד עת קץ ויבאו אויבים ויחריבו אותה, מיד השיב הקב""ה ימינו והחזירה לאחוריו שנאמר השיב אחור ימינו מפני אויב, באותה שעה נכנסו אויבים להיכל ושרפוהו באש, כיון ששרפוהו אמר הקב""ה שוב אין לי מושב בארץ כל הארץ לא שלי הוא אלא אסלק שכינתי ממנה, באותה שעה בא מטטרון ונפל על פניו, בכה הקב""ה ואמר מה עשיתי שהשריתי שכינתי למטה בשביל ישראל ועכשו שחטאו חזרתי למקום הראשון ח""ו שהייתי שחוק לאומים ולעג לבריות, באותה שעה בא מטטרון ונפל על פניו ואמר לפניו רבש""ע אני אבכה ואתה לא תבכה, אמר לו למה אין אתה מניח אותי לבכות אכנס למקום שאין לך רשות ליכנס ואבכה שנאמר ואם לא תשמעוה במסתרים תבכה נפשי מפני נוה, אמר להם הקב""ה למלאכי השרת בואו אני ואתם ונלך לביתי ונראה מה עשו לו האויבים, מיד הלך הקב""ה ומלאכי השרת וירמיה לפניו, כיון שראו בית המקדש אמר בודאי זה היה ביתי וזה היה מנוחתי שבאו האויבים שם ועשו כרצונם, באותה שעה היה הקב""ה בוכה וצועק ואומר בני היכן הם, כהני ולויי היכן הם, אדירי היכן הם, ומה אעשה כמה פעמים התריתי בכם שתחזרו בתשובה ולא אביתם, אמר לו הקב""ה לירמיה מה אתה רואה היום, אני דומה לאחד שהיה לו בן ועשה לו חופה ומת בתוך חופתו ואין לך כאב לא עלי ולא על בני, לך וקרא לאברהם יצחק ויעקב ומשה מקבריהם כי הם יודעים לבכות, אמר לפניו רבש""ע איני יודע היכן משה קבור, אמר לו לך ועמוד על שפת הירדן וקרא בן עמרם בן עמרם עמוד וראה צאנך שקרעוהו אויבים, מיד הלך ירמיה למערת המכפלה לאבות העולם ואמר להם עמדו שהגיע זמן שאתם מתבקשים לפני הקב""ה, אמרו לו מה היום מימים שאנו מתבקשים לפני הקב""ה, אמר איני יודע מפני שהיה ירא לומר להם חרבן בית המקדש אמר עכשו יאמר לי בימיך היתה זאת לבנינו, הניחם ירמיה והלך ועמד על שפת הירדן וקרא בן עמרם בן עמרם עמוד שהגיע זמן שאתה מתבקש לפני הקב""ה, אמר לו מה היום מימים שאני מתבקש לפני הקב""ה, אמר לו איני יודע, שהיה ירא לומר חרבן בית המקדש, הניח את ירמיה והלך אצל מלאכי השרת שהיה מכיר אותם משעת מתן תורה, אמר להם משרתים עליונים אתם יודעים מפני מה אני מתבקש לפני הקב""ה, אמרו לו בן עמרם אינך יודע שבית המקדש היה קיים ועכשו הרי הוא חרב בימי ירמיה וישראל גלו ואתה מתבקש לספוד ולבכות, מיד קרע בגדי כבוד שהלבישו הקב""ה והניח ידו על ראשו והיה צועק ובוכה והלך אצל אבות העולם, אמר לו אביו עמרם מה זאת לך בני, אמרו לו אבות העולם משה רועה ישראל מה היום מימים, אמר להם אבות אבותי אין אתם יודעים שבית המקדש חרב וישראל גלו לבין אומות העולם, מיד הניחו ידיהם על ראשם וקרעו בגדיהם והיו צועקים ובוכים והולכים עד שערי בית המקדש, כיון שראה אותם הקב""ה חגר שק ותלש בשערו ואלמלא מקרא כתיב אי אפשר לאמרו, הדא הוא דכתיב ולקרחה ולגור שק, והיו בוכים והולכים משער לשער כאדם שמתו מוטל לפניו, והקב""ה מספיד ואומר אוי לו למלך שבקטנותו הצליח ובזקנותו לא הצליח, או להם לזקנים שבזקנותם חרב ביתם, הניח אברהם ידו על ראשו וידו אחת חזר לאחוריו והיה צועק ובוכה ואמר רבש""ע בני היכן הם, ואמר לו הקב""ה ענן בא עליהם ושבה אותם, אמר לפניו רבש""ע למאה שנה נתת לי בן והייתי שמח בו שמחה גדולה ובשעה שאמרת לי העלהו לעולה שמחתי ולא עכבתי על דבריך ובאו מלאכי השרת ואמרו זה לזה כך אמרנו זה לזה בשעה שהלך אברהם ועקד את יצחק בנו על גבי המזבח בואו ונראה את הבן שנתן לו בקהיות שנים למאה שנה ואינו חס עליו ועכשו לא תזכור זאת ותרחם עליו, פתח ואמר המקרא הזה מי יתן ראשי מים וגו':"
Yalkut Shimoni on Nach 997:1,"אמר יצחק לפני הקב""ה רבש""ע בני היכן הם, אמר לו נמסרו ביד צריהם כצאן לטבח, אמר לפניו רבש""ע בשעה שאמר לי אבא כפות עצמך על גבי המזבח לא עכבתי על דבריו, עכשו לא תזכור לי זאת ותרחם על בני, פתח ואמר שמעתי ותרגז בטני וגו', אמר יעקב לפני הקב""ה רבש""ע בני היכן הם, אמר לו עין הרע שלטה בהם והגלו אותם לבבל, פתח ואמר קלים היו רודפינו מנשרי שמים, אמר משה לפני הקב""ה רבש""ע לשוא רדפתי לפניהם לשוא נפלו עצמותי במדבר, פתח ואמר מי יתן לי אבר כיונה"", באותה שעה עמדו כלם באגודה אחת והיו צועקים ובוכים, אמר להם הקב""ה אבות העולם למה אתם בוכים, אמר להם אוי לזקן שבקטנותו הצליח ובזקנותו לא הצליח, אוי לו למלך שנשבו לו בניו בחייו, אוי לו למלך שהיה שחוק לכל בריותיו שנאמר הייתי שחוק לכל עמי, אמר לפניו רבש""ע שמא אין חזרה לבנים, אמר להם אל תאמרו כך יש דור שהוא מצפה למלכותו מיד הם נגאלים שנאמר ויש תקוה לאחריתך נאם ה' ושבו בנים לגבולם, באותה שעה אמר לו משה הלך לפני שאלך ואביאם ואראה מי מניח ידו עליהם, אמר לו אי אפשר לילך בדרך מפני הההרוגים, אמר לו אעפ""כ אלך, מיד הלך משה וירמיה לפניו, כיון שהגיעו לנהרות בבל ראוהו למשה ואמרו זה לזה בא בן עמרם מקברו לפדותנו מצרינו, יצאה בת קול ואמרה משה גזרה היא שנגזרה, אמר להם בני להחזיר אתכם אי אפשר אלא המקום יפדה אתכם במהרה, הניחן באותה שעה בבכיה גדולה עד שעלתה בכיתן למרום שנאמר על נהרות בבל שם ישבנו גם בכינו, כיון שבא אצל אבות אמר להם מה עשו אויבים לבנינו, אמר להם מהם הרגו בחרב ומהם כפתו ידיהם לאחוריהם ומהם מופשטים ערומים ומהם מושלכים בחמה רעבים וצמאים, מיד פתחו פיהם ואמרו היכי הויתון כיתמי כמאן דלית ליה אבא, היכי הלכתון בטורי ובחצצי בלא מסאנא ובלא סנדל, היכי טעניתון מטול דחלא, היכי כפיתון ידיכון לאחוריכון, פתח משה ואמר ליט שמשא אמאי לא חשיכת בשעתא דעאל סנאה לבי מקדשא אהדר ליה ואמר משה רעיא מהימנא היכי הוה חשיבא לי לא שבקין לי לא רפו לי כי נקיטו לי בשתין שוטי דנורא ומהו לי ואמרו לי פוק אנהר, פתח משה ואמר על זיווך מקדשא היכי חשך ווי דמטא זימנא מטא עידנא דמקדשא חרב והיכלא מיקליא ודרדקי דבי רב מתקטלים ואבהתכון אזלין בשביה וגלו:"
Yalkut Shimoni on Nach 998:1,"תוב פתח (אברהם) [משה] ואמר בחייכון כשדאי לא תקטלון קטלא אכזראה ולא תשוו כלאה גמירא ולא תקטלון ברא באנפי אבא וברתא באנפי אמא דמטא זמנא דמרי שמיא חושבנא חשיב מנכון, וכשדאי רשיעי לא עבדין הכי מנחין ליה לברא בכנפא דאמיה ואמרין ליה לאבוה קום נכסיה ואמיה בכיא ונתרא אמיה דמעא ואבוהי תלא ליה רישיה:"
Yalkut Shimoni on Nach 998:2,"עתיד הקב""ה להפוך תשעה באב לשמחה שנאמר כה אמר ה' צבאות צום הרביעי וצום החמישי וצום השביעי וצום העשירי יהיה לבית יהודה לששון ולשמחה ולמועדים טובים, ולבנות את ירושלים הוא בעצמו ולקבץ גליות ישראל לתוכה, שנאמר בונה ירושלים ה' נדחי ישראל יכנס. א""ר יוחנן כל המתאבל על ירושלים זוכה ורואה בשמחתה שנאמר שמחו את ירושלים וגילו בה כל אוהביה שישו אתה משוש כל המתאבלים עליה, וכל מי שאינו מתאבל על ירושלים אינו רואה בשמחתה שנאמר שישו אתה משוש כל המתאבלים עליה. דברי ירמיהו בן חלקיהו אמר רבי שמלאי מאי דכתיב עד מתי פתיים תאהבו פתי תאהבון כתיב, אמר הקב""ה בנוהג שבעולם אדם אוכל צחנה שני ימים או שלשה ימים ונפשו קניטא עליו ואתם הרי כמה שנים אתם עו""א שכתוב בה צא תאמר לו צואה תאמר לו ואין נפשכם קניטא:"
Yalkut Shimoni on Nach 999:1,"אמר רבי שמעון כל מה שכתוב ישראל לגנאי כתוב ברחב לשבח, ברחב כתיב השבעו נא לי בה' כי עשיתי עמכם חסד, ובישראל כתיב ואם חי ה' יאמר לכן לשקר ישבעו. ברחב כתיב והחייתם את אבי ואת אמי, ובישראל כתיב אב ואם הקלו בך. ברחב כתיב ותטמנם בפשתי העץ, ובישראל כתיב אומרים לעץ אבי אתה. ברחב כתיב הערוכות לה על הגג, ובישראל כתיב משתחוים על הגגנות, ברחב כתיב ותאמר להם ההרה לכו ובישראל על ראשי ההרים יזבחו, ברחב כתיב ונתתם לי אות אמת, ובישראל כתיב ואמת לא ידברו. דברי ירמיהו בן חלקיהו אמר הקב""ה לירמיהו נתתי עשרת הדברות לישראל והם הפכום לרעה, אמרתי להם אנכי ה' אלהיך והם אומרים לעץ אבי אתה, אמרתי להם לא יהיה לך אלהים אחרים והם משתחוים על הגגות לאלילים, אמרתי להם לא תשא וגו' והם לשקר ישבעו. אמרתי להם זכור את יום השבת והם קדשי בזית ואת שבתותי חללת, אמרתי להם כבד את אביך וגו' והם אב ואם הקלו בך. אמרתי להם לא תרצח לא תנאף לא תגנוב והם רצוח וגנוב ונאוף, אמרתי להם לא תענה ברעך עד שקר והם וידרכו את לשונם קשתם שקר. אמרתי להם לא תחמוד והם וחמדו שדות וגזלו, אמר ר' יודן בר סימון מאי דכתיב נביא אקים להם מקרב אחיהם כמוך, והא כתיב ולא קם נביא עוד בישראל כמשה, ומאי אמר כמוך, אלא היה ירמיהו כמותו בתוכחות שכל הכתוב בזה כתוב בזה, זה נבא ארבעים שנה וזה נבא ארבעים שנה, זה נבא על יהודה וישראל ועמדו בני שבטו להרגו, וזה כמו כן, זה הושלך ליאור וזה הושלך לבור, זה ניצל על ידי אמה וזה על ידי עבד, זה בא בדברי תוכחות וזה בא בדברי תוכחות, לכך הוצרך לומר דברי ירמיהו בן חלקיהו:"
Yalkut Shimoni on Nach 999:2,"א""ר פנחס כל מקום שתמצא דבר דברי [דברים] כלם דברי תוכחות, כתיב אלה הדברים אשר דבר משה וכתיב תמן מזי רעב ולחומי רשף, כתיב דבר ה' אשר היה אל הושע בן בארי, וכתיב כי אתם לא עמי וגו', כתיב דברי ירמיה וכתיב אשר למות למות, אמר הקב""ה לישראל אני אמרתי לכם כי החרם תחרימם החתי והאמורי וגו', ואתם החייתם את רחב הזונה ובית אביה וכל אשר לה ההיה יהושע, הרי ירמיה מבני בניה בא ועושהו לכם דברים לשכים בעיניכם ולצנינים בצדיכם. מאי ירמיהו שבימיו נעשה ביהמ""ק ארימון. ד""א בימיו נתרוממה מדת הדין על ישראל. מן הכהנים אשר בענתות, אמר ירמיה עשוק שמי בכהנים, בימי משה יברכך ה' ובימי ולוקח מהם קללה וגו', בימי משה וישמרך ה' ובימי ולוקח מהם קללה וגו', בימי משה וישמרך ובימי אשר לחרב לחרב, בימי משה יאר ה' פניו ובימי במחשכים הו שיבני, בימי משה ויחונך ובימי אשר לא אתן להם חנינה, בימי משה ישא ה' פניו ובימי אשר לא ישא פנים לזקן, בימי משה וישם לך שלום ובימי כי אספתי את שלומי וגו':"
Yalkut Shimoni on Nach 999:3,"שמעו דבר ה' בית יעקב, א""ל הקב""ה לישראל שמעו דברי תורה עד שלא תשמעו דברי נבואת ירמיה. שמעו דברי נבואה עד שלא תשמעו קל קרנא משרוקיתא, שמעו בארץ עד שלא תשמעו בחוצה לארץ, שמעו חיים עד שלא תשמעו מתים, שמעו אזניכם עד שלא תשמעו עצמותיכם, הה""ד העצמות היבשות שמעו:"
Yalkut Shimoni on Nach 1000:1,"ארבעה שומעים ה', יש שומע ומפסיד שנאמר ולאדם אמר כי שמעת, והפסיד כי עפר אתה ואל עפר תשוב, שומע ונשכר דכתיב כל אשר תאמר אליך שרה שמע בקולה, ונשכר כי ביצחק יקרא לך זרע, לא שומע ונשכר דכתיב ולא שמע אליה לשכב אצלה, ונשכר ויוסף הוא השליט, לא שומע ונפסד ישראל שנאמר ולא שמעו ולא הטו את אזנם, והפסידו דכתיב אשר למות למות, אמר הקב""ה אבותיכם לא מצאו בי עול ואתם מצאתם בי עול, אדם הראשון לא מצא בי עול ואתם מצאתם בי עול, אדם הראשון לא מצא בי עול, משל לחולה שנכנס רופא אצלו אמר לו דבר זה אכול ודבר זה לא תאכל וכשעבר ואכל גרם למיתה לעצמו, וכשעבר אדם הראשון ואכל נכנסו הדורות אצלו אמרו לו אי אפשר שהקב""ה (גזר) [עבר] עליך מדת הדין שתמות, אמר להם ח""ו אני שעברתי צווי הקב""ה וגרמתי מיתה לעצמי על שאכלתי, הרי אדם הראשון לא מצא בי עול ואתם מצאתם בי עול, פרעה לא מצא בי עול ואתם מצאתם בי עול, פרעה היה דומה למלך שהלך למדינת הים והפקיד כל שלו ביד עבדו, לאחר ימים בא המלך אמר לו תן לי פקדוני אמר לו לא עבדך אני ולא הפקדת לי לא כלום, נטלו ותלאו בגרונו אמר לו עבדך אני וכל מה שהפקדת לי אתן לך, כך כשאמר לו שלח עמי אמר מי ה', כשהביא עליו עשר מכות אמר ה' הצדיק. במדבר אמרתי לאבותיכם ששת ימים תלקטוהו וביום השביעי שבת לא יהיה בו ויהי ביום השביעי יצאו מן העם, וכשאמרו ישראל נעשה ונשמע ואח""כ עשו את מעשה העגל אבדו את נעשה שלהם וקיימו את נשמע והעליתי עליכם כאלו קיימתם את שניהם, וכשאמרתי להם שמעו ולא שמעו אבדו את שניהם:"
Yalkut Shimoni on Nach 1000:2,"איכה איה כה שנאמר לאברהם אבינו כה יהיה זרעך, איה כה שנאמר למשה כה תאמר לבית יעקב. שאלו את בן עזאי אמרו לו רבינו דרוש לנו דבר אחד ממגלת קינות, א""ל לא גלו ישראל עד שכפרו ביחודו של עולם ובעשרת הדברות ובמילה שנתנה לכ' דורות ובחמשה חומשי תורה כמנין איכה:"
Yalkut Shimoni on Nach 1001:1,"איכה ישבה בדד. כל מה שאירע לאדם אירע לישראל, אדם הראשון הקב""ה הכניסו לגן עדן וצוהו ועבר ודנו בשלוחין וגרושין וקונן עליו איכה, ויאמר לו איכה, איכה. בגרושין שנאמר ויגרש את האדם, ובשלוחין שנאמר וישלחהו, וכן עשה לישראל הכניסם לארץ ישראל שנאמר ואביא אתכם אל ארץ הכרמל וגו', וצום מצות לא תעשה ועשה ועברו עליהם ודנן בגרושין ובשלוחין שנא' מביתי אגרשם שלח מעל פני ויצאו ויקונן בעצמו עליהם איכה, איכה ישבה בדד:"
Yalkut Shimoni on Nach 1001:2,"[חדשים לבקרים רבה אמונתך, אר""ש ב""א על שאתה מחדשנו בכל בוקר אנו יודעים שאמונתך רבה לתחית המתים כו', אנרינוס שאל את ר""י ב""ח אתם אומרים הקב""ה בורא בכל יום כת של מלאכים והן אומרין שירה והולכין להן, א""ל הן כו'. ומן אן אתבריין, א""ל מנהר דינור, ומה עסקיה, א""ל כהדין ירדנא דלא פסיק לא ביממא ולא] בלילא, א""ל סנקליטין שלו אין מה דהוה נגיד ביממא לא נגיד בלילא, א""ל נטור הוינא בבית פעור (קרית) ומאי דנגיד ביממא (לא) נגיד בלילא:"
Yalkut Shimoni on Nach 1001:3,"חלקי ה' אמרה נפשי, ר' אבא בש""ר יוחנן אמר משל למלך שנכנס למדינה ועמו דוכסין ואיפרכסין ואיסטרטליטין, דין אמר דוכס פלן אנא נסיב לגבי, ודין אמר אסטרטליטין פלן אנא נסיב, פקח שבהם אמר לא אטול כי אם המלך בעצמו דבלא מתחלף והוא לא מתחלף, כך עו""א אלו עובדים לחמה ואלו ללבנה ואלו לעץ ואלו לאבן, אבל הקב""ה חלקו של ישראל, הה""ד חלקי ה' אמרה נפשי, כמד""א ה' מנת חלקי וכוסי אתה תומיך גורלי. חלקי ה' וגו' א""ר יצחק חלקי ה' אמרה נפשי על כן אוחיל לו ומיחדת בכל יום שמע:"
Yalkut Shimoni on Nach 1002:1,"טוב ה' לקוו, יכול לכל, תלמוד לומר לנפש תדרשנו, אך טוב לישראל יכול לכל, ת""ל לברי לבב אלו שלבם בר עליהם שאין בידם חטא ועון, ודכוותה אשרי אדם עוז לו בך יכול לכל, ת""ל מסלות בלבם אלין דשביליא דאורייתא תדירא בלבהון, ודכוותה טוב ה' למעוז ביום צרה יכול לכל, תלמוד לומר ויודע חוסי בו, וכן היטיבה ה' לטובים יכול לכל, ת""ל ולישרים בלבותם, קרוב ה' לכל קוראיו יכול, לכל תלמוד לומר לכל אשר יקראוהו באמת. טוב ויחיל ודומם כדאמר ריש לקיש אף על פי שהקב""ה כועס על עבדיו הצדיקים בעולם הזה חוזר ומרחם עליהם:"
Yalkut Shimoni on Nach 1002:2,טוב לגבר כי ישא עול בנעוריו עול תורה ואשה:
Yalkut Shimoni on Nach 1002:3,"ישב בדד וידום אמר הקב""ה למלאכי השרת מלך בשר ודם אבל מהו עושה, אמרו לו תולה שק עליו ומכבה פנסים והולך יחף והופך מטתו ובוזע פורפירין ובוכה וסופד ויושב ודומם, אמר להם אף אני עושה כן דכתיב אלביש שמים קדרות ושק וגו' עד די כרסון רמיו שנהפכו וכתיב בצע אמרתו, וכתיב ויקרא לבכי וכתיב ישב בדד וידום:"
Yalkut Shimoni on Nach 1002:4,"יתן בעפר פיהו זה אחד משש מקראות כשהיה רבי מגיע לאחר מהם היה בוכה, הנה יוצר הרים ובורא רוח ומגיד לאדם מה שחו, בקשו את ה' כל ענוי ארץ וגו', שנאו רע ואהבו טוב וגו', כי את כל מעשה האלהים יביא וגו', ויאמר שמואל אל שאול למה הרגזתני. והדא יתן בעפר פיהו (קומי רוני):"
Yalkut Shimoni on Nach 1002:5,"איכה ישבה בדד העיר רבתי עם. למה נכתבו קינות באל""ף בי""ת, ר' אליעזר אומר מפני שעברו ישראל על התורה כלה שנאמר וכל ישראל עברו את תורתך וסור לבלתי וגו', ר' יהושע אומר אומר מפני שעברו ישראל כ""כ עבירות כנגד כ""ב אותיות שבתורה, ר""מ אומר אין לשון איכה אלא לשון תוכחת, הה""ד איכה היתה לזונה קריה נאמנה. א""ר שמעון בן פזי לשון איכה גימטריא ל""ו כנגד ל""ו כריתות שנתחייבו בל""ו כריתות מנין איכה:"
Yalkut Shimoni on Nach 989:4,
Yalkut Shimoni on Nach 989:5,
Yalkut Shimoni on Nach 989:6,
Yalkut Shimoni on Nach 989:7,
Yalkut Shimoni on Nach 989:8,
Yalkut Shimoni on Nach 989:9,
Yalkut Shimoni on Nach 989:10,
Yalkut Shimoni on Nach 989:11,
Yalkut Shimoni on Nach 989:12,
Yalkut Shimoni on Nach 989:13,
Yalkut Shimoni on Nach 989:14,
Yalkut Shimoni on Nach 989:15,
Yalkut Shimoni on Nach 989:16,
Yalkut Shimoni on Nach 989:17,
Yalkut Shimoni on Nach 989:18,
Yalkut Shimoni on Nach 989:19,
Yalkut Shimoni on Nach 989:20,
Yalkut Shimoni on Nach 989:21,
Yalkut Shimoni on Nach 989:22,
Yalkut Shimoni on Nach 989:23,
Yalkut Shimoni on Nach 989:24,
Yalkut Shimoni on Nach 989:25,
Yalkut Shimoni on Nach 989:26,
Yalkut Shimoni on Nach 989:27,
Yalkut Shimoni on Nach 989:28,
Yalkut Shimoni on Nach 989:29,
Yalkut Shimoni on Nach 989:30,
Yalkut Shimoni on Nach 989:31,
Yalkut Shimoni on Nach 989:32,
Yalkut Shimoni on Nach 989:33,
Yalkut Shimoni on Nach 989:34,
Yalkut Shimoni on Nach 989:35,
Yalkut Shimoni on Nach 989:36,
Yalkut Shimoni on Nach 989:37,
Yalkut Shimoni on Nach 989:38,
Yalkut Shimoni on Nach 989:39,
Yalkut Shimoni on Nach 989:40,
Yalkut Shimoni on Nach 989:41,
Yalkut Shimoni on Nach 989:42,
Yalkut Shimoni on Nach 989:43,
Yalkut Shimoni on Nach 989:44,
Yalkut Shimoni on Nach 989:45,
Yalkut Shimoni on Nach 989:46,
Yalkut Shimoni on Nach 989:47,
Yalkut Shimoni on Nach 989:48,
Yalkut Shimoni on Nach 989:49,
Yalkut Shimoni on Nach 989:50,
Yalkut Shimoni on Nach 989:51,
Yalkut Shimoni on Nach 989:52,
Yalkut Shimoni on Nach 989:53,
Yalkut Shimoni on Nach 989:54,
Yalkut Shimoni on Nach 989:55,
Yalkut Shimoni on Nach 989:56,
Yalkut Shimoni on Nach 989:57,
Yalkut Shimoni on Nach 989:58,
Yalkut Shimoni on Nach 989:59,
Yalkut Shimoni on Nach 989:60,
Yalkut Shimoni on Nach 989:61,
Yalkut Shimoni on Nach 989:62,
Yalkut Shimoni on Nach 989:63,
Yalkut Shimoni on Nach 989:64,
Yalkut Shimoni on Nach 989:65,
Yalkut Shimoni on Nach 989:66,
Yalkut Shimoni on Nach 989:67,
Yalkut Shimoni on Nach 989:68,
Yalkut Shimoni on Nach 989:69,
Yalkut Shimoni on Nach 989:70,
Yalkut Shimoni on Nach 989:71,
Yalkut Shimoni on Nach 989:72,
Yalkut Shimoni on Nach 989:73,
Yalkut Shimoni on Nach 989:74,
Yalkut Shimoni on Nach 989:75,
Yalkut Shimoni on Nach 989:76,
Yalkut Shimoni on Nach 989:77,
Yalkut Shimoni on Nach 989:78,
Yalkut Shimoni on Nach 989:79,
Yalkut Shimoni on Nach 989:80,
Yalkut Shimoni on Nach 989:81,
