Index Title,Rashi on Leviticus
Rashi on Leviticus 14:48:1,<b>ואם בא יבא.</b> לסוף שבוע שני:
Rashi on Leviticus 14:48:2,"<b>וראה והנה לא פשה.</b> מקרא זה בא ללמד בעומד בעיניו בראשון ובשני מה יעשה לו, יכול יטהרנו כמשמעו של מקרא, וטהר הכהן את הבית, תלמוד לומר כי נרפא הנגע, לא טהרתי אלא את הרפוי, ואין רפוי אלא הבית שהוקצה והוטח ולא חזר הנגע, אבל זה טעון חליצה וקצוי וטיחה ושבוע שלישי, וכן המקרא נדרש ואם בא יבא בשני, וראה והנה לא פשה יטיחנו, ואין טיחה בלא חלוץ וקצוי, ואחרי הטוח את הבית, וטהר הכהן את הבית, אם לא חזר לסוף השבוע, כי נרפא הנגע, ואם חזר כבר פירש על החוזר שטעון נתיצה: "
Rashi on Leviticus 14:57:1,"<b>להורות ביום וגו'.</b> °איזה יום מטהרו, ואיזה יום מטמאו: "
Rashi on Leviticus 15:2:1,"<b>כי יהיה זב.</b> °יכול זב מכל מקום יהא טמא, תלמוד לומר מבשרו, ולא כל בשרו. <small>(נדה מג.)</small> אחר שחלק הכתוב בין בשר לבשר זכיתי לדין °טימא בזב וטימא בזבה, מה זבה ממקום שהיא מְטַמְּאָה °טומאה קלה, נדה, מטמאה טומאה חמורה, זיבה, אף הזב ממקום שמטמא טומאה קלה, קרי, מטמא טומאה חמורה זיבה <small>(ת""כ זבים פרשתא א, ה)</small>: "
Rashi on Leviticus 15:2:2,"<b>זובו טמא.</b> למד על °הטפה שהיא מטמאה. זוב דומה לְמֵי בצק של שעורין °ודחוי, ודומה °ללובן ביצה המוזרת, שכבת זרע קשור כלובן ביצה שאינה מוזרת <small>(נדה לה:)</small>: "
Rashi on Leviticus 15:3:1,<b>רר.</b> לשון ריר שזב את בשרו: <b>את זובו.</b> כמו ריר שיוצא צלול:
Rashi on Leviticus 15:3:2,"<b>או החתים.</b> שיוצא עב וסותם את פי האמה, ונסתם בשרו מטפת זובו, זהו פשוטו. ומדרשו <small>(מגילה ח. נדה מג:)</small> מנה הכתוב הראשון ראיות שתים וקראו טמא, שנאמר זב מבשרו זובו טמא הוא, ומנה הכתוב השני ראיות שלש וקראו טמא, שנאמר טומאתו בזובו רר בשרו את זובו או החתים בשרו מזובו טומאתו היא, הא כיצד, שתים לטומאה, °והשלישית מזקיקתו לקרבן: "
Rashi on Leviticus 15:3:3,
Rashi on Leviticus 15:3:4,
Rashi on Leviticus 15:4:1,"<b>כל המשכב.</b> הראוי למשכב, יכול אפילו מיוחד למלאכה אחרת, °תלמוד לומר אשר ישכב, אשר שכב לא נאמר, אלא אשר ישכב, המיוחד תמיד לכך, יצא זה שאומרים לו °עמוד ונעשה מלאכתנו: "
Rashi on Leviticus 15:4:2,"<b>אשר ישב.</b> יָשַׁב לא נאמר, אלא אשר יֵשֵׁב עליו, הזב, במיוחד תמיד לכך <small>(שבת נט.)</small>: "
Rashi on Leviticus 15:5:1,"<b>ואיש אשר יגע במשכבו.</b> לימד על המשכב שחמור מן המגע, שזה נעשה אב הטומאה לטמא אדם לטמא בגדים, והמגע שאינו משכב, אינו אלא °ולד הטומאה, ואינו מטמא, אלא אוכלין ומשקין: "
Rashi on Leviticus 15:6:1,"<b>והישב על הכלי.</b> אפילו לא נגע, °אפילו עשרה כלים זה על זה, כולן מטמאין משום מושב, °וכן במשכב <small>(ת""כ פרק ג, א)</small>: "
Rashi on Leviticus 15:8:1,<b>וכי ירק הזב בטהור.</b> ונגע בו <small>(שם ח)</small> או נשאו °שהרוק מטמא במשא <small>(נדה נה:)</small>:
Rashi on Leviticus 15:9:1,"<b>וכל המרכב.</b> °אף על פי שלא ישב עליו, כגון הַתְּפוּס של סַרְגָא שקורין ארצו""ן, טמא משום מרכב, והאוכף שקורין אליו""ש, טמא טומאת מושב <small>(עירובין כז.)</small>: "
Rashi on Leviticus 15:10:1,"<b>וכל הנוגע בכל אשר יהיה תחתיו.</b> °של זב <small>(ת""כ פרק ד, א)</small>, בא ולימד על המרכב שיהא הנוגע בו טמא ואין טעון כבוס בגדים, והוא חומר במשכב מבמרכב: "
Rashi on Leviticus 15:10:2,"<b>והנושא אותם.</b> כל האמור בענין הזב, זובו ורוקו ושכבת זרעו ומימי רגליו והמשכב והמרכב, משאן מטמא אדם לטמא בגדים: "
Rashi on Leviticus 15:11:1,"<b>וידיו לא שטף במים.</b> בעוד °שלא טבל מטומאתו, ואפילו פסק מזובו וספר שבעה ומחוסר טבילה, מטמא בכל טומאותיו. וזה שהוציא הכתוב טבילת גופו של זב בלשון שטיפת ידים, ללמדך שאין °בית הסתרים טעון ביאת מים, אלא אבר הגלוי, כמו הידים <small>(ת""כ שם ה — נדה סו:)</small>: "
Rashi on Leviticus 15:12:1,"<b>וכלי חרש אשר יגע בו הזב.</b> יכול אפילו נגע בו מאחוריו וכו', כדאיתא בת""כ <small>(פרשתא ג, א)</small>, עד איזהו מגעו שהוא ככולו, הוי אומר °זה היסטו: "
Rashi on Leviticus 15:13:1,<b>וכי יטהר.</b> °כשיפסוק <small>(מגילה ח.)</small>:
Rashi on Leviticus 15:13:2,"<b>שבעת ימים לטהרתו.</b> שבעת ימים טהורים מטומאת זיבה °שלא יראה זוב, וכולן רצופין <small>(נדה סח:)</small>: "
Rashi on Leviticus 15:18:1,"<b>ורחצו במים.</b> גזירת מלך היא שֶׁתִּטָּמֵא האשה בביאה, ואין הטעם משום נוגע בשכבת זרע, שהרי °מגע בית הסתרים היא <small>(נדה מא:)</small>: "
Rashi on Leviticus 15:19:1,"<b>כי תהיה זבה.</b> <small>(ת""כ)</small> יכול מאחד מכל איבריה, תלמוד לומר והיא גלתה את מקור דמיה <small>(ויקרא כ, יח)</small>, אין דם מטמא אלא הבא מן המקור <small>(ת""כ פרשתא ד, ב)</small>: "
Rashi on Leviticus 15:19:2,<b>דם יהיה זבה בבשרה.</b> אין זובה קרוי זוב לטמא אלא אם כן הוא אדום <small>(נדה יט.)</small>:
Rashi on Leviticus 15:19:3,"<b>בנדתה.</b> כמו וּמִתֵּבֵל יְנִדֻּהוּ <small>(איוב יח, יח)</small>, שהיא מנודה ממגע כל אדם: "
Rashi on Leviticus 15:19:4,<b>תהיה בנדתה.</b> אפילו לא ראתה °אלא ראיה ראשונה:
Rashi on Leviticus 15:23:1,"<b>ואם על המשכב הוא.</b> השוכב, או היושב על משכבה, או על מושבה, °אפי' לא נגע בה, אף הוא בדת טומאה האמורה במקרא העליון שטעון כבוס בגדים: "
Rashi on Leviticus 15:23:2,<b>על הכלי.</b> לרבות את המרכב:
Rashi on Leviticus 15:23:3,<b>בנגעו בו יטמא.</b> אינו מדבר אלא על המרכב שנתרבה מעל הכלי:
Rashi on Leviticus 15:23:4,"<b>בנגעו בו יטמא.</b> ואינו טעון כבוס בגדים, שהמרכב אין מגעו מטמא אדם לטמא בגדים: "
Rashi on Leviticus 15:24:1,"<b>ותהי נדתה עליו.</b> °יכול יעלה לרגלה, שאם בא עליה בחמישי לנדתה לא יטמא אלא ג' ימים כמותה, תלמוד לומר וטמא שבעת ימים, ומה תלמוד לומר ותהי נדתה עליו, מה היא מטמאה אדם וכלי חרס, אף הוא מטמא אדם וכלי חרס <small>(שם פרק ז, ג — נדה לג)</small>: "
Rashi on Leviticus 15:25:1,<b>ימים רבים.</b> °שלשה ימים:
Rashi on Leviticus 15:25:2,<b>בלא עת נדתה.</b> אחר שיצאו °שבעת ימי נדתה:
Rashi on Leviticus 15:25:3,<b>או כי תזוב.</b> את °ג' הימים הללו:
Rashi on Leviticus 15:25:4,"<b>על נדתה.</b> °מופלג מנדתה יום אחד זו היא זבה, ומשפטה חרוץ בפרשה זו, ולא כדת הנדה, שזו טעונה ספירת ז' נקיים וקרבן, והנדה אינה טעונה ספירת ז' נקיים, אלא שבעת ימים תהיה בנדתה, בין רואה בין שאינה רואה, ודרשו רבותינו <small>(נדה עג.)</small> בפרשה זו, י""א יום שבין סוף נדה לתחלת נדה, °שכל שלשה רצופין שתראה באחד עשר יום הללו תהא זבה: "
Rashi on Leviticus 15:31:1,"<b>והזרתם.</b> אין נזירה °אלא פרישה, וכן נָזֹרוּ אָחוֹר <small>(ישעי' א, ד)</small>, וכן נזיר אחיו <small>(בראשית מט, כו)</small>: "
Rashi on Leviticus 15:31:2,<b>ולא ימתו בטמאתם.</b> הרי הכרת של °מטמא מקדש קרוי מיתה:
Rashi on Leviticus 15:32:1,"<b>זאת תורת הזב.</b> בעל ראיה אחת, ומהו תורתו: "
Rashi on Leviticus 15:32:2,"<b>ואשר תצא ממנו שכבת זרע.</b> הרי הוא כבעל קרי, טמא טומאת ערב: "
Rashi on Leviticus 15:33:1,"<b>והזב את זובו.</b> °בעל שתי ראיות ובעל שלש ראיות, שתורתן מפורשת למעלה: "
Rashi on Leviticus 15:33:2,
Rashi on Leviticus 16:1:1,"<b>וידבר ה' אל משה אחרי מות שני בני אהרן וגו'.</b> מה תלמוד לומר, היה רבי אלעזר בן עזריה מושלו, משל לחולה שנכנס אצלו רופא, אמר לו אל תאכל צונן ואל תשכב °בטחב, בא אחר ואמר לו אל תאכל צונן ואל תשכב בטחב שלא תמות כדרך שמת פלוני, זה זרזו יותר מן הראשון, לכך נאמר אחרי מות שני בני אהרן: 
"
Rashi on Leviticus 16:2:1,<b>ויאמר ה' אל משה דבר אל אהרן אחיך ואל יבא.</b> שלא ימות כדרך שמתו בניו:
Rashi on Leviticus 16:2:2,"<b>ולא ימות.</b> °שאם בא הוא מת: 
"
Rashi on Leviticus 16:2:3,"<b>כי בענן אראה.</b> °כי תמיד אני נראה שם עם עמוד ענני, ולפי שגלוי שכינתי שם יזהר שלא ירגיל לבא, זהו פשוטו. ומדרשו לא יבא °כי אם בענן הקטרת ביום הכיפורים <small>(יומא נג.)</small>: "
Rashi on Leviticus 16:3:1,"<b>בזאת.</b> °גימטריא שלו ד' מאות ועשר, רמז לבית ראשון: 
"
Rashi on Leviticus 16:3:2,"<b>בזאת יבא אהרן וגו'.</b> ואף זו לא בכל עת °כי אם ביום הכיפורים, כמו שמפורש בסוף הפרשה בחדש השביעי בעשור לחודש: "
Rashi on Leviticus 16:4:1,"<b>כתנת בד וגו'.</b> מגיד °שאינו משמש לפנים בשמונה בגדים שהוא משמש בהם בחוץ שיש בהם זהב, לפי שאין קטיגור נעשה סניגור, <small>(ר""ה כו.)</small> °אלא בד' ככהן הדיוט, וכולן של בוץ: "
Rashi on Leviticus 16:4:2,"<b>קדש ילבש.</b> שיהיו °משל הקדש <small>(ת""כ פרק א, י)</small>: "
Rashi on Leviticus 16:4:3,"<b>יצנף.</b> כתרגומו יָחֵת בְּרֵישֵׁהּ, °יניח בראשו, כמו ותנח בגדו <small>(בראשית לט, טז)</small>, וְאַחְתְּתֵיהּ: "
Rashi on Leviticus 16:4:4,"<b>ורחץ במים.</b> אותו היום טעון טבילה בכל חליפותיו. וחמש פעמים °היה מחליף מעבודת פנים לעבודת חוץ, ומחוץ לפנים, ומשנה מבגדי זהב לבגדי לבן, ומבגדי לבן לבגדי זהב, ובכל חליפה טעון טבילה ושני קדושי ידים ורגלים מן הכיור <small>(יומא לב.)</small>: 
"
Rashi on Leviticus 16:6:1,"<b>את פר החטאת אשר לו.</b> האמור למעלה, ולמדך כאן שמשלו הוא בא °ולא משל צבור <small>(שם ג:)</small>: "
Rashi on Leviticus 16:6:2,"<b>וכפר בעדו ובעד ביתו.</b> °מתודה עליו עונותיו ועונות ביתו <small>(שם לו: — ת""כ פרשתא ב, ג)</small>: 
"
Rashi on Leviticus 16:8:1,"<b>ונתן אהרן על שני השעירים גרלות.</b> מעמיד °אחד לימין ואחד לשמאל, ונותן ב' ידיו בקלפי, ונוטל גורל בימין וחברו בשמאל, ונותן עליהם, את שכתוב בו לשם, הוא לשם ואת שכתוב בו לעזאזל, משתלח לעזאזל <small>(יומא לט.)</small>: 
"
Rashi on Leviticus 16:8:2,"<b>עזאזל.</b> הוא הר עז וקשה, °צוק גבוה <small>(ת""כ פרק ב, ח — יומא סז:)</small>, שנאמר אֶרֶץ גְּזֵרָה, חתוכה: "
Rashi on Leviticus 16:9:1,"<b>ועשהו חטאת.</b> כשמניח הגורל עליו קורא לו שם ואומר לה' °חטאת <small>(ת""כ שם ה)</small>: "
Rashi on Leviticus 16:10:1,"<b>יעמד חי.</b> כמו יועמד חי, על ידי אחרים, ותרגומו יִתָּקַם כַּד חַי. °מה תלמוד לומר, לפי שנאמר לשלח אותו לעזאזל, ואיני יודע שילוחו אם למיתה אם לחיים, לכך נאמר יעמד חי, עמידתו חי עד שישתלח, מכאן ששליחותו למיתה <small>(שם ו)</small>: "
Rashi on Leviticus 16:10:2,<b>לכפר עליו.</b> °שיתודה עליו כדכתיב וְהִתְוַדָּה עָלָיו וגו':
Rashi on Leviticus 16:10:3,
Rashi on Leviticus 16:11:1,"<b>וכפר בעדו וגו'.</b> וידוי שני עליו °ועל אחיו הכהנים, שהם כלם קרוים ביתו <small>(שם פרשתא ג, א)</small>, שנאמר בֵּית אַהֲרֹן בָּרְכוּ אֶת ה' וגו' <small>(תהלים קלה, יט)</small>, מכאן שהכהנים מתכפרים בו, וכל כפרתן אינה אלא על °טומאת מקדש וקדשיו, כמו שנאמר, וְכִפֶּר עַל הַקֹּדֶשׁ מִטֻּמְאֹת וגו' <small>(ת""כ פרק ד, ב)</small>: "
Rashi on Leviticus 16:12:1,<b>מעל המזבח.</b> °החיצון <small>(יומא מה:)</small>:
Rashi on Leviticus 16:12:2,"<b>מלפני ה'.</b> מצד שלפני הפתח, והוא צד מערבי <small>(שם)</small>: "
Rashi on Leviticus 16:12:3,"<b>דקה.</b> מה ת""ל דקה, והלא כל הקטורת דקה היא, שנאמר וְשָׁחַקְתָּ מִמֶּנָּה הָדֵק <small>(שמות ל, לו)</small>, אלא שתהא דקה מן הדקה <small>(יומא מג:)</small>, שמערב יום הכפורים היה מחזירה למכתשת: "
Rashi on Leviticus 16:13:1,<b>על האש.</b> °שבתוך המחתה:
Rashi on Leviticus 16:13:2,"<b>ולא ימות.</b> הא אם °לא עשאה כתקנה חייב מיתה <small>(יומא נג.)</small>: 
"
Rashi on Leviticus 16:14:1,<b>והזה באצבעו.</b> הזאה °אחת במשמע:
Rashi on Leviticus 16:14:2,<b>ולפני הכפרת יזה שבע.</b> הרי אחת למעלה ושבע למטה <small>(יומא נה.)</small>:
Rashi on Leviticus 16:15:1,"<b>אשר לעם.</b> מה שהפר מכפר על הכהנים °מכפר השעיר על ישראל, והוא השעיר שעלה עליו הגורל לשם <small>(שם סא.)</small>: "
Rashi on Leviticus 16:15:2,<b>כאשר עשה לדם הפר.</b> °אחת למעלה ושבע למטה <small>(שם נה.)</small>:
Rashi on Leviticus 16:16:1,"<b>מטמאת בני ישראל.</b> על הנכנסין למקדש °בטומאה °ולא נודע להם בסוף, שנאמר לכל חטאתם, °וחטאת היא שוגג <small>(שבועות יז: — ת""כ פרק ד, ב)</small>: "
Rashi on Leviticus 16:16:2,<b>ומפשעיהם.</b> אף °הנכנסין מזיד בטומאה <small>(שם ג.)</small>:
Rashi on Leviticus 16:16:3,"<b>וכן יעשה לאהל מועד.</b> °כשם שהזה משניהם בפנים, אחת למעלה ושבע למטה, כך מזה על הפרוכת מבחוץ משניהם, אחת למעלה ושבע למטה <small>(יומא נו:)</small>: "
Rashi on Leviticus 16:16:4,"<b>השכן אתם בתוך טומאותם.</b> אף על פי שהם טמאים, שכינה ביניהם: "
Rashi on Leviticus 16:16:5,
Rashi on Leviticus 16:16:6,
Rashi on Leviticus 16:18:1,"<b>אל המזבח אשר לפני ה'.</b> זה מזבח הזהב, שהוא לפני ה' בהיכל. °ומה תלמוד לומר ויצא, לפי שהזה ההזאות על הפרוכת, ועמד מן המזבח ולפנים והזה, ובמתנות המזבח הזקיקו לצאת מן המזבח ולחוץ, ויתחיל מקרן מזרחית צפונית <small>(יומא נח:)</small>: "
Rashi on Leviticus 16:18:2,"<b>וכפר עליו.</b> ומה היא כפרתו, ולקח °מדם הפר ומדם השעיר, °מעורבין זה לתוך זה <small>(יומא נז:)</small>: "
Rashi on Leviticus 16:19:1,"<b>והזה עליו מן הדם.</b> אחר שנתן מתנות באצבעו על קרנותיו, מַזֶּה °ז' הזאות על גגו: "
Rashi on Leviticus 16:19:2,<b>וטהרו.</b> ממה °שעבר:
Rashi on Leviticus 16:19:3,"<b>וקדשו.</b> לעתיד לבא <small>(ת""כ פרק ד, יג)</small>: "
Rashi on Leviticus 16:21:1,<b>איש עתי.</b> °המוכן לכך מיום אתמול <small>(יומא סו:)</small>:
Rashi on Leviticus 16:23:1,"<b>ובא אהרן אל אהל מועד.</b> אמרו רבותינו, °שאין זה מקומו של מקרא זה, ונתנו טעם לדבריהם במסכת יומא <small>(דף לב.)</small>, ואמרו כל הפרשה כולה אמור על הסדר חוץ מביאה זו, שהיא אחר עשיית עולתו ועולת העם והקטרת אימורי פר ושעיר שנעשים בחוץ בבגדי זהב, וטובל ומקדש ופושטן ולובש בגדי לבן. <b>ובא אל אהל מועד.</b> להוציא את הכף ואת המחתה שהקטיר בה הקטרת לפני ולפנים:"
Rashi on Leviticus 16:23:2,"<b>ופשט את בגדי הבד.</b> אחר שהוציאם ולובש בגדי זהב לתמיד של בין הערבים. וזהו סדר העבודות, תמיד של שחר בבגדי זהב, ועבודת פר ושעיר הפנימים וקטרת של מחתה בבגדי לבן, ואילו ואיל העם ומקצת המוספין בבגדי זהב, והוצאת כף ומחתה בבגדי לבן, ושירי המוספין ותמיד של בין הערבים וקטורת ההיכל שעל מזבח הפנימי בבגדי זהב, וסדר המקראות לפי סדר העבודות כך הוא, וְשִׁלַּח אֶת הַשָּׂעִיר בַּמִּדְבָּר, וְרָחַץ אֶת בְּשָׂרוֹ בַמַּיִם וגו', וְיָצָא וְעָשָׂה אֶת עֹלָתוֹ וגו', וְאֶת חֵלֶב הַחַטָּאת וגו', וכל הפרשה עד וְאַחֲרֵי כֵן יָבוֹא אֶל הַמַּחֲנֶה, ואחר כך וּבָא אַהֲרֹן: "
Rashi on Leviticus 16:23:3,"<b>והניחם שם.</b> מלמד שטעונין °גניזה, ולא ישתמש באותן ארבעה בגדים ליום כפורים אחר <small>(יומא יב:)</small>: "
Rashi on Leviticus 16:23:4,
Rashi on Leviticus 16:24:1,"<b>ורחץ את בשרו וגו'.</b> למעלה למדנו מורחץ את בשרו ולבשם שכשהוא מְשַׁנֶּה מבגדי זהב לבגדי לבן טעון טבילה, שבאותה טבילה פשט בגדי זהב שעבד בהן עבודת תמיד של שחר ולבש בגדי לבן לעבודת היום °וכאן למדנו שכשהוא מְשַׁנֶּה מבגדי לבן לבגדי זהב טעון טבילה <small>(שם לב.)</small>: "
Rashi on Leviticus 16:24:2,"<b>במקום קדוש.</b> המקודש בקדושת עזרה, והיא היתה בגג בית °הַפַּרְוָה, וכן ד' טבילות הבאות חובה ליום, אבל הראשונה היתה °בחיל <small>(שם ל. — ת""כ פרק י, ח)</small>: "
Rashi on Leviticus 16:24:3,<b>ולבש את בגדיו.</b> שמנה בגדים שהוא °עובד בהן כל ימות השנה:
Rashi on Leviticus 16:24:4,<b>ויצא.</b> מן ההיכל אל החצר שמזבח העולה שם:
Rashi on Leviticus 16:24:5,<b>ועשה את עולתו.</b> °איל לעולה האמור למעלה בְּזֹאת יָבֹא אַהֲרֹן וגו':
Rashi on Leviticus 16:24:6,<b>ואת עולת העם.</b> ואיל לעולה האמור למעלה וּמֵאֵת עֲדַת בְּנֵי יִשְׂרָאֵל וגו':
Rashi on Leviticus 16:25:1,<b>ואת חלב החטאת.</b> אימורי °פר ושעיר:
Rashi on Leviticus 16:25:2,"<b>יקטיר המזבחה.</b> על מזבח החיצון, דאלו בפנימי כתיב לֹא תַעֲלוּ עָלָיו קְטֹרֶת זָרָה וְעֹלָה וּמִנְחָה <small>(שמות ל.)</small>: "
Rashi on Leviticus 16:27:1,<b>אשר הובא את דמם.</b> להיכל °לִפְנַי ולפנים:
Rashi on Leviticus 16:32:1,"<b>וכפר הכהן אשר ימשח וגו'.</b> כפרה זו של יום הכיפורים אינה כשרה °אלא בכהן גדול <small>(יומא עג. — ת""כ פרק ח, ד)</small>, לפי שנאמרה כל הפרשה באהרן הוצרך לומר בכהן גדול הבא אחריו שיהא כמוהו: "
Rashi on Leviticus 16:32:2,"<b>ואשר ימלא את ידו.</b> אין לי אלא המשוח בשמן המשחה, °מרובה בגדים מנין, תלמוד לומר °ואשר ימלא את ידו וגו' <small>(ת""כ שם)</small>, והם כל הכהנים גדולים שעמדו מיאשיהו ואילך, שבימיו נגנזה צלוחית של שמן המשחה <small>(יומא נב:)</small>: "
Rashi on Leviticus 16:32:3,"<b>לכהן תחת אביו.</b> ללמד שאם בנו ממלא את מקומו, °הוא קודם לכל אדם <small>(ת""כ שם ה)</small>: "
Rashi on Leviticus 16:32:4,
Rashi on Leviticus 16:34:1,"<b>ויעש כאשר צוה ה' וגו'.</b> °כשהגיע יום הכפורים עשה כסדר הזה, ולהגיד שבחו של אהרן שלא היה לובשן °לגדולתו אלא כמקיים גזירת המלך: "
Rashi on Leviticus 17:3:1,"<b>אשר ישחט שור או כשב.</b> °במוקדשין הכתוב מדבר, שנאמר להקריב קרבן: 
"
Rashi on Leviticus 17:3:2,"<b>במחנה.</b> °חוץ לעזרה <small>(זבחים קז:)</small>: 
"
Rashi on Leviticus 17:4:1,<b>דם יחשב.</b> °כשופך דם האדם שמתחייב בנפשו:
Rashi on Leviticus 17:4:2,<b>דם שפך.</b> לרבות את הזורק דמים בחוץ <small>(שם)</small>:
Rashi on Leviticus 17:5:1,<b>אשר הם זבחים.</b> אשר הם °רגילים לזבוח:
Rashi on Leviticus 17:7:1,"<b>לשעירם.</b> לשדים, כמו וּשְׂעִירִים יְרַקְּדוּ שָׁם <small>(ישעיה יג, כא)</small>: "
Rashi on Leviticus 17:8:1,"<b>אשר יעלה עלה.</b> לחייב על המקטיר איברים °בחוץ, <small>(עי' ברא""ם)</small> כשוחט בחוץ, שאם שחט אחד והעלה חבירו, שניהם חייבין <small>(ת""כ פרק י, ו — חולין כט:)</small>: "
Rashi on Leviticus 17:9:1,"<b>ונכרת.</b> °זרעו נכרת, וימיו נכרתין. "
Rashi on Leviticus 17:10:1,"<b>כל דם.</b> לפי שנאמר בנפש יכפר, יכול לא יהא חייב אלא על דם המוקדשים, °תלמוד לומר כל דם <small>(כריתות ד:)</small>: 
"
Rashi on Leviticus 17:10:2,"<b>ונתתי פני.</b> פנאי שלי, °פונה אני מכל עסקי ועוסק בו: "
Rashi on Leviticus 17:11:1,"<b>כי נפש הבשר.</b> של כל בריה °בדם היא תלויה, ולפיכך נתתיו על המזבח לכפר על נפש האדם, תבוא נפש ותכפר על הנפש: 
"
Rashi on Leviticus 17:12:1,<b>כל נפש מכם.</b> להזהיר גדולים על הקטנים <small>(יבמות קיד.)</small>:
Rashi on Leviticus 17:13:1,"<b>אשר יצוד.</b> <small></small>אין לי אלא ציד, אווזין ותרנגולין מנין, תלמוד לומר ציד מכל מקום, אם כן למה נאמר אשר יצוד, שלא יאכל בשר אלא °בהזמנה זאת <small>(חולין פד. — ת""כ פרק יא, ב)</small>: "
Rashi on Leviticus 17:13:2,<b>אשר יאכל.</b> °פרט לטמאים:
Rashi on Leviticus 17:14:1,<b>דמו בנפשו הוא.</b> דמו הוא לו במקום הנפש °שהנפש תלויה בו:
Rashi on Leviticus 17:14:2,"<b>כי נפש כל בשר דמו הוא.</b> הנפש היא °הדם. דם ובשר לשון זכר, נפש לשון נקבה: 
"
Rashi on Leviticus 17:15:1,"<b>אשר תאכל נבלה וטרפה.</b> °בנבלת עוף טהור דבר הכתוב, שאין לה טומאה אלא °בשעה שנבלעת בבית הבליעה, ולמדך כאן שמטמאה באכילתה, ואינה מטמאה במגע, וטרפה האמורה כאן לא נכתבה אלא לדרוש, וכן שנינו יכול תהא נבלת עוף טמא מטמאה בבית הבליעה, תלמוד לומר טרפה, מי שיש °במינו טרפה, יצא עוף טמא שאין במינו טרפה: "
Rashi on Leviticus 17:15:2,
Rashi on Leviticus 17:16:1,"<b>ונשא עונו.</b> °אם יאכל קדש, או יכנס למקדש, חייב על טומאה זו ככל שאר טומאות: "
Rashi on Leviticus 17:16:2,"<b>ובשרו לא ירחץ ונשא עונו.</b> על רחיצת גופו ענוש כרת, °ועל כבוס בגדים במלקות: 
"
Rashi on Leviticus 18:2:1,"<b>אני ה' אלהיכם.</b> אני הוא שאמרתי בסיני, אנכי ה' אלהיך <small>(שמות כ, ב)</small>, וקבלתם עליכם מלכותי, מעתה קבלו גזרותי. רבי אומר גלוי וידוע לפניו שסופן לִנָּתֵק בעריות בימי עזרא, לפיכך בא עליהם בגזירה אני ה' אלהיכם, דעו מי גוזר עליכם, °דיין להפרע ונאמן לשלם שכר: 
"
Rashi on Leviticus 18:2:2,
Rashi on Leviticus 18:2:3,
Rashi on Leviticus 18:3:1,"<b>כמעשה ארץ מצרים.</b> מגיד שמעשיהם של מצריים ושל כנעניים מקולקלים מכל האומות, ואותו מקום °שישבו בו ישראל מקולקל מן הכל <small>(ת""כ פרק יג, ה)</small>: "
Rashi on Leviticus 18:3:2,<b>אשר אני מביא אתכם שמה.</b> מגיד שאותן עממין שכבשו ישראל מקולקלים יותר מכולם:
Rashi on Leviticus 18:3:3,"<b>ובחקתיהם לא תלכו.</b> מה הניח הכתוב שלא אמר, אלא אלו נמוסות שלהן, דברים החקוקין להם, כגון °טַרְטִיָּאוֹת וְאִצְטַדְּיָאוֹת, ר' מאיר אומר אלו דרכי האמורי שמנו חכמים: "
Rashi on Leviticus 18:4:1,"<b>את משפטי תעשו.</b> אלו דברים האמורים °בתורה במשפט, שֶׁאִלּוּ לא נאמרו היו כדאי לאומרן: "
Rashi on Leviticus 18:4:2,"<b>ואת חקתי תשמרו.</b> דברים שהם גזירת המלך, שיצר הרע משיב עליהם למה לנו לשומרן, ואומות העולם ע""א משיבין עליהן, כגון אכילת חזיר, ולבישת שעטנז, וטהרת מי חטאת, לכך נאמר אני ה', גזרתי עליכם, אי אתם רשאים להפטר: "
Rashi on Leviticus 18:4:3,"<b>ללכת בהם.</b> °אל תפטר מתוכם, שלא תאמר למדתי חכמת ישראל אלך ואלמד חכמת המצריים והכשדיים: "
Rashi on Leviticus 18:4:4,
Rashi on Leviticus 18:5:1,"<b>ושמרתם את חקותי.</b> לרבות °שאר דקדוקי הפרשה שלא פרט הכתוב בהם <small>(ת""כ שם יא)</small>. דבר אחר ליתן °שמירה ועשייה לחוקים, ושמירה ועשייה למשפטים <small>(שם פרשתא ט, י)</small>, לפי שלא נתן אלא עשייה למשפטים ושמירה לחוקים: "
Rashi on Leviticus 18:5:2,"<b>וחי בהם.</b> לעולם הבא, שאם תאמר בעולם הזה, והלא סופו הוא מת: "
Rashi on Leviticus 18:5:3,<b>אני ה'.</b> נאמן לשלם שכר:
Rashi on Leviticus 18:6:1,"<b>לא תקרבו.</b> להזהיר הנקבה כזכר, לכך נאמר °לשון רבים: 
"
Rashi on Leviticus 18:6:2,<b>אני ה'.</b> °נאמן לשלם שכר:
Rashi on Leviticus 18:7:1,"<b>ערות אביך.</b> זו אשת אביך <small>(סנהדרין נד.)</small>, או אינו °אלא כמשמעו, נאמר כאן ערות אביך, ונאמר להלן עֶרְוַת אָבִיו גִּלָּה <small>(ויקרא כ, יא)</small>, מה להלן אשת אביו, אף כאן אשת אביו: "
Rashi on Leviticus 18:7:2,<b>וערות אמך.</b> להביא אמו °שאינה אשת אביו:
Rashi on Leviticus 18:8:1,"<b>ערות אשת אביך.</b> לרבות לאחר מיתה: 
"
Rashi on Leviticus 18:9:1,<b>בת אביך.</b> אף °בת אנוסה במשמע:
