Index Title,Rashi on Deuteronomy
Rashi on Deuteronomy 18:3:3,"<b>הזרוע.</b> מן הפרק של ארכובה °עד כף של יד שקורין אשפלדו""ן: "
Rashi on Deuteronomy 18:3:4,"<b>והלחיים.</b> °עם הלשון. °דורשי רשומות היו אומרים °זרוע תחת יד, שנאמר וַיִּקַּח רֹמַח בְּיָדוֹ <small>(במדבר כה, ז)</small>. לחיים, תחת תפלה, שנאמר וַיַּעֲמֹד פִּינְחָס וַיְפַלֵּל <small>(תהלים קו, ל)</small>. והקבה, תחת הָאִשָּׁה אֶל קֳבָתָהּ <small>(במדבר כה, ח — חולין קלד:)</small>: "
Rashi on Deuteronomy 18:4:1,"<b>ראשית דגנך.</b> זו תרומה, ולא פירש בה שיעור, אבל רבותינו נתנו בה שיעור <small>(תרומות פ""ד מ""ג)</small>, עין יפה אחד מארבעים, עין רעה אחד מששים, בינונית אחד מחמשים, וסמכו על המקרא שלא לפחות מאחד מששים, שנאמר °וְשִׁשִּׁיתֶם הָאֵיפָה °מֵחֹמֶר הַשְּׂעֹרִים <small>(יחזקאל מה, יג)</small>. °ששית האיפה חצי סאה, כשאתה נותן חצי סאה לכור הרי א' מששים, שהכור שלשים סאין: "
Rashi on Deuteronomy 18:4:2,"<b>וראשית גז צאנך.</b> °כשאתה גוזז צאנך בכל שנה, תן ממנה ראשית לכהן, ולא פירש בה שיעור, ורבותינו <small>(חולין קלז:)</small> נתנו בה שיעור א' מששים. וכמה צאן חייבות בראשית הגז, חמש רחלות, °שנאמר וְחָמֵשׁ צֹאן עֲשׂוּיוֹת <small>(שמואל־א כה, יח)</small>, רבי עקיבא אומר, ראשית גז שתים, צאנך ארבע, תתן לו הרי חמש: "
Rashi on Deuteronomy 18:5:1,"<b>לעמוד לשרת.</b> מכאן, שאין שירות אלא מעומד: "
Rashi on Deuteronomy 18:6:1,"<b>וכי יבא הלוי.</b> °יכול בבן לוי ודאי הכתוב מדבר, תלמוד לומר ושרת, יצאו לוים שאין ראוין לשירות <small>(ספרי קסח)</small>: "
Rashi on Deuteronomy 18:6:2,"<b>ובא בכל אות נפשו וגו' ושרת.</b> °למד על הכהן, שבא ומקריב קרבנות נדבתו או חובתו ואפילו במשמר שאינו שלו. °דבר אחר, עוד למד על הכהנים הבאים לרגל, °שמקריבין במשמר ועובדין בקרבנות °הבאות מחמת הרגל, כגון מוספי הרגל, ואע""פ שאין המשמר שלהם: "
Rashi on Deuteronomy 18:8:1,"<b>חלק כחלק יאכלו.</b> מלמד, °שחולקין בעורות ובבשר שעירי חטאות, יכול אף בדברים הבאים שלא מחמת הרגל, כגון תמידים ומוספי שבת ונדרים ונדבות, תלמוד לומר לבד ממכריו על האבות, חוץ ממה שמכרו האבות בימי דוד ושמואל, שנקבעו המשמרות, ומכרו זה לזה טול אתה שַׁבַּתְּךָ ואני אטול שבתי: "
Rashi on Deuteronomy 18:9:1,"<b>לא תלמד לעשות,</b> אבל אתה למד להבין ולהורות <small>(סנהדרין סח.)</small>, כלומר להבין מעשיהם כמה הם מקולקלין, ולהורות לבניך לא תעשה כך וכך שזה הוא חוק העובדי כוכבים: "
Rashi on Deuteronomy 18:10:1,"<b>מעביר בנו ובתו באש.</b> היא עבודת המולך, עושה מדורות אש מכאן ומכאן, ומעבירו בין שתיהם <small>(סנהדרין סד:)</small>: "
Rashi on Deuteronomy 18:10:2,"<b>קסם קסמים.</b> איזהו קוסם, האוחז את מקלו ואומר אם אלך אם לא אלך, וכן הוא אומר עַמִּי בְּעֵצוֹ יִשְׁאָל וּמַקְלוֹ יַגִּיד לוֹ <small>(הושע ד, יב)</small>: "
Rashi on Deuteronomy 18:10:3,"<b>מעונן.</b> רבי עקיבא אומר, אלו נותני עוֹנוֹת, שאומרים עונה פלונית יפה להתחיל, °וחכמים אומרים אלו אוחזי העינים <small>(סנהדרין סה:)</small>: "
Rashi on Deuteronomy 18:10:4,"<b>מנחש.</b> פתו נפלה מפיו, צבי הפסיקו בדרך, מקלו נפל מידו <small>(סנהדרין שם)</small>: "
Rashi on Deuteronomy 18:11:1,<b>וחבר חבר.</b> שמצרף נחשים או עקרבים או שאר חיות למקום אחד <small>(ספרי קעב)</small>:
Rashi on Deuteronomy 18:11:2,"<b>ושואל אוב.</b> זה מכשפות ששמו פיתום, ומדבר מִשֶּׁחְיוֹ ומעלה את המת בבית השחי שלו: "
Rashi on Deuteronomy 18:11:3,"<b>וידעוני.</b> מכניס עצם חיה ששמה ידוע לתוך פיו, ומדבר העצם ע""י מכשפות: "
Rashi on Deuteronomy 18:11:4,"<b>ודרש אל המתים.</b> °כגון המעלה בזכרותו, °והנשאל בגלגולת: 
"
Rashi on Deuteronomy 18:12:1,"<b>כל עושה אלה.</b> עושה כל אלה לא נאמר, אלא כל עושה אלה, אפילו אחת מהן <small>(ספרי קעג)</small>: "
Rashi on Deuteronomy 18:13:1,"<b>תמים תהיה עם ה' אלהיך.</b> °התהלך עמו בתמימות ותצפה לו, ולא תחקור אחר העתידות, אלא כל מה שיבוא עליך קבל בתמימות, °ואז תהיה עמו ולחלקו: "
Rashi on Deuteronomy 18:14:1,"<b>לא כן נתן לך ה' אלהיך.</b> °לשמוע אל מעוננים ואל קוסמים, שהרי השרה שכינה על הנביאים ואורים ותומים: "
Rashi on Deuteronomy 18:15:1,"<b>מקרבך מאחיך כמוני.</b> °כמו שאני מקרבך מאחיך, יקום לך תחתי, °וכן מנביא לנביא: 
"
Rashi on Deuteronomy 18:20:1,<b>אשר לא צויתיו לדבר.</b> אבל צויתי לחבירו <small>(סנהדרין פט.)</small>:
Rashi on Deuteronomy 18:20:2,"<b>ואשר ידבר בשם אלהים אחרים.</b> אפילו כוון את ההלכה, לאסור את האסור ולהתיר את המותר: "
Rashi on Deuteronomy 18:20:3,"<b>ומת.</b> בחנק, שלשה מיתתן בידי אדם, °המתנבא מה שלא שמע, ומה שלא נאמר לו ונאמר לחבירו, והמתנבא בשם עבודת אלילים.°אבל הכובש את נבואתו, והעובר על דברי נביא, והעובר על דברי עצמו, מיתתן בידי שמים, שנאמר אנכי אדרוש מעמו <small>(סנהדרין פט. — ספרי קעג)</small>: "
Rashi on Deuteronomy 18:21:1,"<b>וכי תאמר בלבבך.</b> °עתידין אתם לומר, כשיבא חנניה בן עזור ומתנבא, הִנֵּה כְלֵי בֵית ה' מוּשָׁבִים מִבָּבֶלָה עַתָּה מְהֵרָה <small>(ירמיה כז, טז)</small>, °וירמיהו עומד וצווח °אֶל הָעַמֻּדִים וְעַל הַיָּם, וְעַל יֶתֶר הַכֵּלִים <small>(שם יט)</small> שלא גלו עם יכניה, בָּבֶלָה יוּבָאוּ <small>(שם כב)</small> עם גלות צדקיהו: "
Rashi on Deuteronomy 18:22:1,"<b>אשר ידבר הנביא.</b> ויאמר דבר זה עתיד לבא עליכם <small>(ספרי קעח)</small>, °ותראו שלא יבא. <b>הוא הדבר אשר לא דברו ה'.</b> והרוג אותו. °ואם תאמר, זו במתנבא על העתידות, הרי שבא ואמר עשו כך וכך ומפי הקב""ה אני אומר, כבר נצטוו, °שאם בא להדיחך מאחת מכל המצות לא תשמע לו <small>(לעיל פרשה יג)</small>, אא""כ מומחה הוא לך שהוא צדיק גמור, כגון אליהו בהר הכרמל, שהקריב בבמה בשעת איסור הבמות כדי לגדור את ישראל, הכל לפי צורך שעה וסייג הפרצה. °לכך נאמר אליו תשמעון: "
Rashi on Deuteronomy 18:22:2,"<b>לא תגור ממנו.</b> לא תמנע עצמך מללמד עליו חובה <small>(ספרי שם)</small>, °ולא תירא ליענש עליו: "
Rashi on Deuteronomy 18:22:3,
Rashi on Deuteronomy 19:3:1,"<b>תכין לך הדרך.</b> מקלט, מקלט, היה כתוב °על פרשת דרכים <small>(מכות י:)</small>: "
Rashi on Deuteronomy 19:3:2,"<b>ושלשת את גבול ארצך.</b> °שיהא מתחלת הגבול, עד העיר הראשונה של עיר מקלט, כשיעור מהלך שיש ממנה עד השנייה, וכן משנייה לשלישית, וכן מן השלישית עד הגבול השני של ארץ ישראל: "
Rashi on Deuteronomy 19:5:1,"<b>ונדחה ידו.</b> כשבא להפיל הגרזן על העץ, ותרגומו וְתִתְמְרֵיג ידיה, לשון ונשמטה ידו להפיל מכת הגרזן על העץ, כִּי שָׁמְטוּ הַבָּקָר <small>(שמואל־ב ו, ו)</small> תרגם יונתן אֲרֵי מַרְגוֹהִי תּוֹרְיָא: "
Rashi on Deuteronomy 19:5:2,"<b>ונשל הברזל מן העץ.</b> יש מרבותינו אומרים נשמט הברזל מִקַּתּוֹ, ויש מהם אומרים שישל הברזל לחתיכה מן העץ המתבקע, והיא נתזה והרגה <small>(מכות ז:)</small>: "
Rashi on Deuteronomy 19:6:1,"<b>פן ירדף גאל הדם.</b> °לכך אני אומר להכין לך הדרך וערי מקלט רבים: 
"
Rashi on Deuteronomy 19:8:1,<b>ואם ירחיב.</b> °כאשר נשבע לתת לך ארץ קני וקנזי וקדמוני:
Rashi on Deuteronomy 19:9:1,"<b>ויספת לך עוד שלש.</b> הרי תשע, ג' שבעבר הירדן, וג' שבארץ כנען, וג' לעתיד לבא: "
Rashi on Deuteronomy 19:11:1,"<b>וכי יהיה איש שנא לרעהו.</b> ע""י שנאתו הוא בא לידי וארב לו, מכאן אמרו, עבר אדם על מצוה קלה סופו לעבור על מצוה חמורה, לפי שעבר על לֹא תִשְׂנָא <small>(ויקרא יט, ז)</small>, סופו לבא לידי שפיכות דמים, לכך נאמר וכי יהיה איש שונא לרעהו וגו', שהיה לו לכתוב וכי יקום איש וארב לרעהו והכהו נפש: "
Rashi on Deuteronomy 19:13:1,"<b>לא תחוס עינך עליו.</b> °שלא תאמר, הראשון כבר נהרג, למה אנו הורגים את זה ונמצאו שני ישראלים הרוגים <small>(ספרי קפז)</small>: "
Rashi on Deuteronomy 19:14:1,"<b>לא תסיג גבול.</b> לשון נָסֹגוּ אָחוֹר <small>(ישעיה מב, יז)</small>, שמחזיר סימן חלוקת הקרקע לאחור, לתוך שדה חבירו, למען הרחיב את שלו, והלא כבר נאמר לא תגזול, מה תלמוד לומר לא תסיג, למד על העוקר תחום חבירו שעובר בשני לאוין, יכול אף בחוץ לארץ, תלמוד לומר בנחלתך אשר תנחל וגו', בארץ ישראל עובר בשני לאוין, בחוץ לארץ אינו עובר אלא משום לא תגזול: "
Rashi on Deuteronomy 19:15:1,"<b>עד אחד.</b> °זה בנה אב, כל עד שבתורה שנים, אלא אם כן פרט לך בו אחד <small>(סוטה ב:)</small>: 
"
Rashi on Deuteronomy 19:15:2,"<b>לכל עון ולכל חטאת.</b> °להיות חבירו °נענש על עדותו, לא עונש גוף ולא עונש ממון, °אבל קם הוא לשבועה <small>(ספרי קפח)</small>, אמר לחבירו תן לי מנה שהלויתיך, א""ל אין לך בידי כלום, ועד אחד מעידו שיש לו, חייב להשבע לו: "
Rashi on Deuteronomy 19:15:3,"<b>על פי שני עדים.</b> °ולא שיכתבו עדותם באגרת וישלחו לב""ד, °ולא שיעמוד תורגמן בין העדים ובין הדיינים <small>(שם)</small>: "
Rashi on Deuteronomy 19:16:1,"<b>לענות בו סרה.</b> דבר שאינו, °שהוסר העד הזה מכל העדות הזאת, כיצד, שאמרו להם והלא עמנו הייתם באותו היום במקום פלוני <small>(מכות ה. — ספרי קפט)</small>: "
Rashi on Deuteronomy 19:17:1,"<b>ועמדו שני האנשים.</b> °בעדים הכתוב מדבר, ולמד שאין עדות בנשים, ולמד שצריכין להעיד עדותן מעומד <small>(שבועות ל.)</small>: "
Rashi on Deuteronomy 19:17:2,<b>אשר להם הריב.</b> °אלו בעלי הדין:
Rashi on Deuteronomy 19:17:3,"<b>לפני ה'.</b> יהיה דומה להם כאלו עומדין לפני המקום, שנאמר בְּקֶרֶב אֱלֹהִים יִשְׁפֹּט <small>(תהלים פב, א)</small>: "
Rashi on Deuteronomy 19:17:4,"<b>אשר יהיו בימים ההם.</b> יפתח בדורו כשמואל בדורו <small>(ראש השנה כה:)</small>, צריך אתה לנהוג בו כבוד:"
Rashi on Deuteronomy 19:18:1,"<b>ודרשו השופטים היטב.</b> °על פי המזימין אותם, שבודקים וחוקרים את הבאים להזימם בדרישה ובחקירה: "
Rashi on Deuteronomy 19:18:2,"<b>והנה עד שקר.</b> °כל מקום שנאמר עד, בשנים הכתוב מדבר: "
Rashi on Deuteronomy 19:19:1,"<b>כאשר זמם.</b> ולא כאשר עשה, °מכאן אמרו, הרגו אין נהרגין <small>(מכות ה:)</small>: "
Rashi on Deuteronomy 19:19:2,"<b>לעשות לאחיו.</b> מה תלמוד לומר לאחיו, למד על זוממי בת כהן נשואה שאינם בשריפה, אלא בְּמִיתַת הבועל שהוא בחנק, שנאמר בָּאֵשׁ תִּשָּׂרֵף <small>(ויקרא כא, ט)</small>, היא ולא בועלה, לכך נאמר כאן לאחיו, כאשר זמם לעשות לאחיו, ולא כאשר זמם לעשות לאחותו, אבל בכל שאר מיתות השוה הכתוב אשה לאיש, וזוממי אשה נהרגין כזוממי איש, כגון שהעידוה שהרגה את הנפש, שחללה את השבת, נהרגין במיתתה, שלא מיעט כאן אחותו °אלא במקום שיש לקיים בהן הזמה כמיתת הבועל: "
Rashi on Deuteronomy 19:20:1,"<b>ישמעו ויראו.</b> °מכאן שצריכין הכרזה, איש פלוני ופלוני נהרגין על שהוזמו בב""ד: 
"
Rashi on Deuteronomy 19:21:1,"<b>עין בעין.</b> °ממון, וכן שן בשן וגו': "
Rashi on Deuteronomy 20:1:1,"<b>כי תצא למלחמה.</b> °סמך הכתוב יציאת מלחמה לכאן, לומר לך, שאין מחוסר אבר יוצא למלחמה. °דבר אחר, לומר לך, אם עשית משפט צדק, אתה מובטח שאם תצא למלחמה אתה נוצח, וכן דוד הוא אומר, עָשִׂיתִי מִשְׁפָּט וָצֶדֶק בַּל תַּנִּיחֵנִי לְעשְׁקָי <small>(תהלים קיט, קכא)</small>: "
Rashi on Deuteronomy 20:1:2,"<b>על אויבך. °</b>יהיו בעיניך כאויבים, °אל תרחם עליהם כי לא ירחמו עליך: "
Rashi on Deuteronomy 20:1:3,"<b>סוס ורכב.</b> בעיני כולם כסוס אחד, וכן הוא אומר וְהִכִּיתָ אֶת מִדְיָן כְּאִישׁ אֶחָד <small>(שופטים ו, טז)</small>, °וכן הוא אומר כִּי בָא סוּס פַּרְעֹה <small>(שמות טו, יט)</small>: "
Rashi on Deuteronomy 20:1:4,"<b>עם רב ממך.</b> °בעיניך הוא רב, אבל בעיני אינו רב: "
Rashi on Deuteronomy 20:2:1,<b>כקרבכם אל המלחמה.</b> °סמוך לצאתכם מן הספר מגבול ארצכם:
Rashi on Deuteronomy 20:2:2,"<b>ונגש הכהן.</b> המשוח לכך, °והוא הנקרא משוח מלחמה <small>(סוטה מב.)</small>: "
Rashi on Deuteronomy 20:2:3,"<b>ודבר אל העם.</b> °בלשון הקודש <small>(שם)</small>: 
"
Rashi on Deuteronomy 20:3:1,"שמע ישראל. <small>(שם)</small> אפילו אין בכם זכות °אלא קריאת שמע בלבד, כדאי אתם שיושיע אתכם <small>(שם)</small>: "
Rashi on Deuteronomy 20:3:2,"<b>על אויביכם.</b> אין אלו אחיכם, שאם תפלו בידם °אינם מרחמים עליכם, אין זו כמלחמת יהודה עם ישראל, שנאמר וַיָּקֻמוּ הָאֲנָשִׁים אֲשֶׁר נִקְּבוּ בְשֵׁמוֹת וַיַּחֲזִיקוּ בַשִּׁבְיָה וְכָל מַעֲרֻמֵּיהֶם הִלְבִּישׁוּ מִן הַשָּׁלָל וַיַּלְבִּשׁוּם וַיַּנְעִלוּם וַיַּאֲכִלוּם וַיַּשְׁקוּם וַיְסֻכוּם וַיְנַהֲלוּם בַּחֲמֹרִים לְכָל כּוֹשֵׁל וַיְבִיאוּם יְרֵחוֹ עִיר הַתְּמָרִים אֵצֶל אֲחֵיהֶם וַיָּשׁוּבוּ שֹׁמְרוֹן <small>(דברי הימים־ב כח, טו)</small>, אלא על אויביכם אתם הולכים, לפיכך התחזקו למלחמה: "
Rashi on Deuteronomy 20:3:3,"<b>אל ירך לבבכם אל תיראו ואל תחפזו ואל תערצו.</b> ארבע אזהרות, כנגד ארבעה דברים °שמלכי האומות עושים, מגיפים בתריסיהם כדי להקישן זה לזה, כדי להשמיע קול שיחפזו אלו שכנגדם וינוסו, ורומסים בסוסיהם ומצהילין אותם, להשמיע קול שעטת פרסות סוסיהם, וצווחין בקולם ותוקעין בשופרות ומיני משמיעי קול <small>(סוטה שם)</small>: 
"
Rashi on Deuteronomy 20:3:4,<b>אל ירך לבבכם.</b> °מצהלת סוסים:
Rashi on Deuteronomy 20:3:5,<b>אל תיראו.</b> מהגפת התריסין:
Rashi on Deuteronomy 20:3:6,<b>ואל תחפזו. </b>קול הקרנות:
Rashi on Deuteronomy 20:3:7,<b>ואל תערצו.</b> מקול הצווחה:
Rashi on Deuteronomy 20:4:1,"<b>כי ה' אלהיכם וגו'.</b> הם באים בנצחונו של בשר ודם ואתם באים בנצחונו של מקום, פלשתים באו בנצחונו של גלית, מה היה סופו, נפל ונפלו עמו <small>(סוטה מב.)</small>: "
Rashi on Deuteronomy 20:4:2,<b>ההולך עמכם.</b> °זה מחנה הארון:
Rashi on Deuteronomy 20:5:1,"<b>ולא חנכו.</b> לא דר בו, חנוך לשון התחלה: "
Rashi on Deuteronomy 20:5:2,<b>ואיש אחר יחנכנו.</b> °ודבר של עגמת נפש הוא זה:
Rashi on Deuteronomy 20:6:1,"<b>ולא חללו.</b> לא פדאו בשנה הרביעית, שהפירות טעונין לאכלן בירושלים, או לחללן בדמים ולאכול הדמים בירושלים: "
Rashi on Deuteronomy 20:7:1,"<b>פן ימות במלחמה.</b> ישוב פן ימות, °שאם לא ישמע לדברי הכהן, כדאי הוא שימות: "
Rashi on Deuteronomy 20:8:1,"<b>ויספו השוטרים.</b> למה נאמר כאן ויספו, מוסיפין זה על דברי הכהן, שהכהן מדבר ומשמיע מן שמע ישראל עד להושיע אתכם, ומי האיש ושני ושלישי כהן מדבר ושוטר משמיע, וזה שוטר מדבר ושוטר משמיע <small>(סוטה מג.)</small>: "
Rashi on Deuteronomy 20:8:2,"<b>הירא ורך הלבב.</b> רבי עקיבא אומר, כמשמעו, שאינו יכול לעמוד בקשרי המלחמה ולראות חרב שלופה, °רבי יוסי הגלילי אומר, הירא מעבירות שבידו, ולכך תלתה לו תורה לחזור על בית וכרם ואשה, לכסות על החוזרים בשביל עבירות שבידם, שלא יבינו שהם בעלי עבירה, והרואהו חוזר אומר, שמא בנה בית או נטע כרם או ארס אשה <small>(סוטה מד.)</small>: "
Rashi on Deuteronomy 20:9:1,"<b>שרי צבאות.</b> שמעמידין זקפין מלפניהם ומאחריהם וכשילים של ברזל בידיהם, וכל מי שרוצה לחזור, הרשות בידו לקפח את שוקיו. זקפין, בני אדם עומדים בקצה המערכה לזקוף את הנופלים ולחזקם בדברים, שובו אל המלחמה °ולא תנוסו, שתחלת נפילה ניסה <small>(שם)</small>: 
"
Rashi on Deuteronomy 20:10:1,"<b>כי תקרב אל עיר.</b> במלחמת הרשות הכתוב מדבר, כמו שמפורש בענין, כֵּן תַּעֲשֶׂה לְכָל הֶעָרִים הָרְחֹקֹת וגו': "
Rashi on Deuteronomy 20:11:1,"<b>כל העם הנמצא בה.</b> °אפילו אתה מוצא בה משבעה אומות שנצטוית להחרימם, אתה רשאי לקיימם <small>(ספרי ר)</small>: "
Rashi on Deuteronomy 20:11:2,"<b>למס ועבדוך.</b> עד שיקבלו עליהם מסים ושעבוד <small>(שם)</small>: 
"
Rashi on Deuteronomy 20:12:1,"<b>ואם לא תשלים עמך ועשתה עמך מלחמה.</b> הכתוב מבשרך, שאם לא תשלים עמך, °סופה להלחם בך אם תניחנה ותלך: "
Rashi on Deuteronomy 20:12:2,<b>וצרת עליה.</b> אף להרעיבה ולהצמיאה ולהמיתה מיתת תחלואים:
Rashi on Deuteronomy 20:13:1,"<b>ונתנה ה' אלהיך בידך.</b> אם עשית כל האמור בענין, סוף שה' נותנה בידך: "
Rashi on Deuteronomy 20:14:1,"<b>והטף.</b> אף טף של זכרים, ומה אני מקיים והכית את כל זכורה, בגדולים: 
"
Rashi on Deuteronomy 20:17:1,<b>כאשר צוך.</b> °לרבות את הגרגשי:
Rashi on Deuteronomy 20:18:1,"<b>למען אשר לא ילמדו.</b> °הא אם עשו תשובה והתגיירו, אתה רשאי לקבלם: 
"
Rashi on Deuteronomy 20:19:1,<b>ימים.</b> שנים:
Rashi on Deuteronomy 20:19:2,"<b>רבים.</b> שלשה, מכאן אמרו, אין צרין על עיירות של נכרים °פחות משלשה ימים קודם לשבת <small>(ספרי רג)</small>. ולמד, שפותח בשלום שנים או ג' ימים, וכן הוא אומר, וַיֵּשֶׁב דָּוִד בְּצִקְלָג יָמִים שְׁנָיִם <small>(שמואל־ב א, א)</small>, °ובמלחמות הרשות הכתוב מדבר <small>(ספרי שם)</small>: 
"
Rashi on Deuteronomy 20:19:3,"<b>כי האדם עץ השדה.</b> הרי כי משמש בלשון דלמא, °שמא האדם עץ השדה להכנס בתוך המצור מפניך להתייסר ביסורי רעב וצמא כאנשי העיר, למה תשחיתנו: 
"
Rashi on Deuteronomy 20:20:1,"<b>עד רדתה.</b> °לשון רדוי, שתהא כפופה לך: "
Rashi on Deuteronomy 21:1:1,
Rashi on Deuteronomy 21:2:1,"<b>ויצאו זקניך.</b> °מיוחדים שבזקניך <small>(סוטה מד:)</small>, אלו סנהדרי גדולה: "
Rashi on Deuteronomy 21:2:2,<b>ומדדו.</b> °ממקום שהחלל שוכב:
Rashi on Deuteronomy 21:2:3,"<b>אל הערים אשר סביבות החלל.</b> °לכל צד, לידע איזו קרובה: 
"
Rashi on Deuteronomy 21:4:1,"<b>אל נחל איתן.</b> °קשה, שלא נעבד <small>(סוטה מה.)</small>: "
Rashi on Deuteronomy 21:4:2,"<b>וערפו.</b> °קוצץ ערפה בקופיץ, אמר הקב""ה תבא עגלה בת שנתה שלא עשתה פירות, ותערף במקום שאינו עושה פירות, לכפר על הריגתו של זה, °שלא הניחוהו לעשות פירות <small>(שם מו.)</small>: 
"
Rashi on Deuteronomy 21:7:1,"<b>ידינו לא שפכו.</b> וכי עלתה על לב שזקני בית דין שופכי דמים הם, אלא לא ראינוהו ופטרנוהו בלא מזונות ובלא לויה <small>(שם מה:)</small>. °והכהנים אומרים כפר לעמך ישראל: "
Rashi on Deuteronomy 21:8:1,"<b>ונכפר להם הדם.</b> הכתוב מבשרם, שמשעשו כן יכופר להם העון <small>(שם מו.)</small>: "
Rashi on Deuteronomy 21:9:1,"<b>ואתה תבער.</b> מגיד, שאם נמצא ההורג אחר שנתערפה העגלה, הרי זה יהרג <small>(כתובות לז:)</small>, והוא הישר בעיני ה': 
"
Rashi on Deuteronomy 21:9:2,
Rashi on Deuteronomy 21:10:1,"<b>כי תצא למלחמה.</b> במלחמת הרשות הכתוב מדבר, °שבמלחמת ארץ ישראל אין לומר ושבית שביו, שהרי כבר נאמר לֹא תְחַיֶּה כָּל נְשָׁמָה <small>(לעיל כ, טז)</small>: "
Rashi on Deuteronomy 21:10:2,"<b>ושבית שביו.</b> °לרבות כנענים שבתוכה, ואע""פ שהן משבעה אומות: 
"
Rashi on Deuteronomy 21:11:1,"<b>ולקחת לך לאשה.</b> לא דברה תורה °אלא כנגד יצר הרע, שאם אין הקדוש ברוך הוא מתירה, ישאנה באיסור, אבל אם נשאה, סופו להיות שונאה, שנאמר אחריו כי תהיין לאיש וגו', וסופו להוליד ממנה בן סורר ומורה, לכך נסמכו פרשיות הללו: "
Rashi on Deuteronomy 21:11:2,"<b>אשת.</b> °אפילו אשת איש <small>(קידושין כא:)</small>: 
"
Rashi on Deuteronomy 21:12:1,<b>ועשתה את צפרניה.</b> °תגדלם כדי שתתנוול:
Rashi on Deuteronomy 21:13:1,"<b>והסירה את שמלת שביה.</b> °לפי שהם נאים, שהנכרים בנותיהם מתקשטות במלחמה, בשביל להזנות אחרים עמהם: "
Rashi on Deuteronomy 21:13:2,"<b>וישבה בביתך.</b> °בבית שמשתמש בו, נכנס ונתקל בה, יוצא ונתקל בה, רואה בבכייתה, רואה בנוולה, כדי שתתגנה עליו: "
Rashi on Deuteronomy 21:13:3,"<b>ובכתה את אביה.</b> °כל כך למה, כדי שתהא בת ישראל שמחה וזו עצבה, בת ישראל מתקשטת וזו מתנוולת: "
Rashi on Deuteronomy 21:14:1,<b>והיה אם לא חפצת בה.</b> °הכתוב מְבַשֵּׂרְךָ שסופך לשנאותה:
Rashi on Deuteronomy 21:14:2,"<b>לא תתעמר בה.</b> לא תשתמש בה, בלשון פרסי קורין לעבדות ושימוש, עימראה, מיסודו של רבי משה הדרשן למדתי כן: 
"
Rashi on Deuteronomy 21:17:1,<b>פי שנים.</b> °כנגד שני אחים <small>(בבא בתרא קכב:)</small>:
Rashi on Deuteronomy 21:17:2,"<b>בכל אשר ימצא לו.</b> מכאן שאין הבכור °נוטל פי שנים, בראוי לבא לאחר מיתת האב, כבמוחזק: "
Rashi on Deuteronomy 21:18:1,<b>סורר.</b> סר מן הדרך:
Rashi on Deuteronomy 21:18:2,"<b>ומורה.</b> מסרב בדברי אביו, לשון ממרים: "
Rashi on Deuteronomy 21:18:3,"<b>ויסרו אותו.</b> °מתרין בו בפני שלשה ומלקין אותו <small>(סנהדרין עא.)</small>. בן סורר ומורה אינו חייב עד שיגנוב °ויאכל תרטימר בשר וישתה חצי לוג יין, שנאמר זולל וסובא, ונאמר °אַל תְּהִי בְסֹבְאֵי יָיִן בְּזֹלְלֵי בָשָׂר לָמוֹ <small>(משלי כג, כ)</small>, ובן סורר ומורה נהרג על שם סופו <small>(סנהדרין עב.)</small>, הגיעה תורה לסוף דעתו, סוף שמכלה ממון אביו ומבקש לימודו ואינו מוצא, °ועומד בְּפָרָשַׁת דרכים ומלסטם את הבריות, אמרה תורה ימות זכאי ואל ימות חייב: "
Rashi on Deuteronomy 21:21:1,"<b>וכל ישראל ישמעו ויראו.</b> °מכאן שצריך הכרזה בב""ד, פלוני נסקל על שהיה בן סורר ומורה <small>(עיין סנהדרין סט.)</small>: 
"
Rashi on Deuteronomy 21:22:1,"<b>וכי יהיה באיש חטא משפט מות.</b> סמיכות הפרשיות מגיד, שאם חסים עליו אביו ואמו, סוף שיצא לתרבות רעה ויעבור עבירות ויתחייב מיתה בבית דין: "
Rashi on Deuteronomy 21:22:2,"<b>ותלית אותו על עץ.</b> °רבותינו אמרו <small>(סנהדרין מה:)</small> כל הנסקלין נתלין, שנאמר כי קללת אלהים תלוי, והמברך ה' בסקילה: 
"
Rashi on Deuteronomy 21:23:1,"<b>כי קללת אלהים תלוי.</b> °זלזולו של מלך הוא, שאדם עשוי בדמות דיוקנו, °וישראל הם בניו, משל לשני אחים תאומים, שהיו דומין זה לזה, אחד נעשה מלך ואחד נתפס ללסטיות ונתלה, כל הרואה אותו אומר המלך תלוי. כל קללה שבמקרא לשון הקל וזלזול, כמו וְהוּא קִלְלַנִי קְלָלָה נִמְרֶצֶת <small>(מלכים־א ב, ח)</small>: "
Rashi on Deuteronomy 22:1:1,<b>והתעלמת.</b> °כובש עין כאילו אינו רואהו:
Rashi on Deuteronomy 22:1:2,"<b>לא תראה והתעלמת.</b> °לא תראה אותו שתתעלם ממנו, זהו פשוטו. °ורבותינו אמרו, <small>(בבא מציעא ל.)</small> פעמים שאתה מתעלם וכו': "
Rashi on Deuteronomy 22:2:1,"<b>עד דרש אחיך.</b> °וכי תעלה בלבבך שיתנהו לו קודם שידרשהו, אלא דרשהו שלא יהא רמאי <small>(שם כח.)</small>: "
