Index Title,Rashash on Pesachim
Rashash on Pesachim 67a:7,"<b>תוס' ד""ה מאי. ה""ה כו'. </b>ולעד""נ דלהכי נקיט חומרא זו דאיתא נמי בזב בראיה א' ובב""ק דל""ת דוכל זב אתא בכדי לרבויי אותם:"
Rashash on Pesachim 67b:1,"<b>רש""י ד""ה זב. עושה מו""מ אה""ט אע""ג דתניא בתו""כ עושה מו""מ כו'. </b>וכ""ה להדיא (בנזיר נו ב):"
Rashash on Pesachim 67b:2,"<b>רש""י ד""ה כחתימת. מהחתים בשרו מזובו כו'. </b>כצ""ל:"
Rashash on Pesachim 67b:3,"<b>רש""י ד""ה ואיתקש. כדכתיב זאת תורת הזב כו'. </b>כצ""ל:"
Rashash on Pesachim 67b:4,"<b>רש""י ד""ה מחילות. הני תרתי מילי שמעינהו כו'. </b>עי' (לקמן פו) בפירושו ד""ה כי אמרה ובמהרש""א שם:"
Rashash on Pesachim 67b:5,"<b>רש""י ד""ה וב""ק משתלח. דהא איתקש לזב. </b>לכאורה תמוה דהא לא מהיקשא ילפינן אלא ממלת וכל דכתיב גבי זב וגם לא הוקש אלא לראיה ראשונה של זב והוא גופיה מנ""ל ונ""ל דדעתו ז""ל דמוכל לא מרבינן אלא זב בעל ראיה אחת דדמי ליה יותר (עיין לקמן בדף הסמוך) והדר יליף מיניה בהיקש ב""ק והא דקאמר לעיל לרבות ב""ק קאי אסוף דינא:"
Rashash on Pesachim 67b:6,"<b>תד""ה כה""ג. תימה כו'. </b>נ""ל דלפי מה שפרש""י דה""ה מגע נבלה נמי מרבינן מוכל טמא אין כאן תמיהה:"
Rashash on Pesachim 67b:7,"<b>תוס' ד""ה שכן עושה. מהא דאמר לזכר לרבות מצורע כו'. </b>הוא (בנדה לה):"
Rashash on Pesachim 67b:8,"<b>בא""ד דא""כ למחנותם נמי נימא דאיתקש ואם כן מאי פריך הכא. </b>כוונתם דמאי פריך אדרבה זב חמור מ""מ מהיקשא הוה ילפינן (לסברת הר""מ) דאין משיבין על ההיקש וא""כ צרוע ל""ל ש""מ ליתן לו מחנה ג' ודברי מהרש""א בזה מגומגמין אבל לענ""ד זה אינו קושיא די""ל דכוונת הגמרא להקשות אדרבה זב חמור וא""כ מאי חזית דצרוע מיותר (למידרש ליתן לו מחנה ג') דהוה ילפינן מהיקשא לזב דלמא זב חמור ואתי כל זב ליתן לו מחנה ג' משום דמיותר דהוה ילפינן ליה ממצורע מאותו ההיקש עצמו:"
Rashash on Pesachim 67b:9,"<b>תוס' ד""ה ואתקש. דקאמר התם בעא מיניה רבה כו'. </b>כצ""ל:"
Rashash on Pesachim 68a:1,"<b>גמרא אלא אימא כו' אל תוך המחנה זו מחנה שכינה. </b>ולפ""ז יבא אל נכון קרא דבתריה וכבא השמש יבא אל תוך המחנה דהוא מחנה שכינה דבמחנה לויה גם טבו""י מותר מדאורייתא עיין (לקמן צב) ונ""ל עוד דמחנה שכינה קרויה תוך שהיא באמצע המחנות וכמו שת""א בתוך הגן במציעות גינתא (בראשית ב) וכפירוש רש""י שם ועמש""כ בב""ר פנ""ח אות ז':"
Rashash on Pesachim 68a:2,"<b>גמ' וכתיב פה אלישע בן שפט כו'. </b>לכאורה יפלא מדוע לא הביא מהמוקדם ואת אלישע בן שפט כו' תמשח לנביא ולפמש""כ בס""ד ברפ""ב דשבת א""ש דהאי קרא מייתא ליה כבר (בברכות סד.) ועמש""כ בריש ב""ב כיוצא בזה:"
Rashash on Pesachim 68a:3,"<b>רש""י ד""ה א""כ. נימא ויצא אל מחוץ למחנה ול""י אל תוך ולישתוק. </b>כצ""ל:"
Rashash on Pesachim 68a:4,"<b>רש""י ד""ה יהיה שבעתים כאור ז""י. של עכשיו כו'. </b>אבל בב""ר פ""ג מבואר דפי' כאור שבעת הימים היינו אור דז' ימי בראשית והוא האור שנברא ביום ראשון ועיין (חגיגה יב) [ועי' ב""ב (ח ב) תוד""ה ומצדיקי] :"
Rashash on Pesachim 68b:1,"<b>גמרא שהרי הקטר חלבים ואברים כשרים כ""ה כו'. </b>כצ""ל וכן במנחות ליתא תיבות ופדרים:"
Rashash on Pesachim 68b:2,"<b>רש""י ד""ה כל האוכל. בפ""ב דיומא כו' אליבא דמ""ד אין אדם מוזהר על תוספת עינוי כו'. </b>אנכי לא מצאתי שם מ""ד דא""מ על תוספת עינוי דהתם מוקמינן הך דרשה דהכא אליבא דתנא דעצם עצם ולדידיה ילפינן תוספת עינוי מדאיצטריך מיעוטא לעונש על תוספתו מכלל דמוסיפין וע""ע (בר""ה ט) ובתוד""ה ור""ע ועיין בלח""מ פ""א מהל' שב""ע ה""ו:"
Rashash on Pesachim 68b:3,"<b>תד""ה מה. ותירץ לו ר""י דלא שרי כו'. </b>כצ""ל:"
Rashash on Pesachim 69a:1,"<b>רש""י ד""ה אל תכפירני. אע""פ שאינו כדאי. </b>כצ""ל:"
Rashash on Pesachim 69a:2,"<b>תד""ה שמא. </b>עיין כה""ד הנה אף ששיטת הר""ש והרע""ב בספ""י דפרה דמי חטאת אינם חוזרים ומטמאים בטומאה הבאה מחמתם ולכאורה דבריהם מוכרחים שמה בפירוש המשנה וא""כ אין מקום לקושייתם יש לומר דאינהו יאמרו דהתם מיירי דנושאן לצורך הזאה והוה כמזה דטהור והכא ס""ל דהוה שלל""צ עיין צל""ח (אבל ק""ל מהא דפ""ח מ""ח שם מ""ח שנפסלו כו'. ואת הטהור לחטאת לא בידו ולא בגופו וע""ש בהרע""ב ובא""ר והתם כיון דנפסלו הוה שלל""צ) אך ק""ל בתירוצם הא בכלי חרס נמי מצי איירי דהא אינו נטמא מגבו ומשום היסט ל""ל דא""כ אפילו כ""א וכ""ג נמי וע""כ צ""ל דס""ל דאף במ""ח איתא לכללא דכל טומאות המסיטות טהור כדאיתא בר""פ ר""ע חוץ מן הזב אמנם משנה ערוכה בפי""א שם כל הטעון ביאת מים כו' מטמא את מ""ח כו' במגע ובמשא וצ""ע:"
Rashash on Pesachim 69b:1,"<b>רש""י ד""ה וכל שביחיד וד""ה יחיד נמי. </b>נראה דצ""ל בד""א:"
Rashash on Pesachim 69b:2,"<b>[גמרא אלא אמר רבא קסבר ר""א שוחטין וזורקין על טמא שרץ כו'. אבל האי מיחזא חזי כו'. </b>ואע""ג דהשתא דלא דחי הזאה שבת א""כ לא חזי י""ל עפ""י מש""כ התוספות בריש חגיגה ד""ה איזהו קטן דדוקא היכא דגברא לא חזי אבל אם לא חזי רק מחמת היום לא ע""ש ור""ע דפריך לי' הזאה הוא משום דאזיל לשיטתיה לפי הגי' שהביאו התוספות בסוכה (כה ב) ד""ה שחל דא""ל אין שוחטין וזורקין על טמא שרץ וכן לקמן (ר""ד צג) איתא ר""ע לטעמיה דקסבר אין שוחטין וזורקין על טמא שרץ ויתכן דר""ל לטעמיה דהכא לדעת התוס' בסוכה שם דמשבשי להגי' הנ""ל והגרי""פ גמגם שם על הך לטעמיה ולפמש""כ אתא לנכון] :"
Rashash on Pesachim 69b:3,"<b>במשנה ובזמן שהוא בא בשבת במרובה ובטומאה. </b>לכאורה קשה על שינוי הסדר מרישא ומצאתי בתוי""ט שהרגיש בזה ונ""ל ליישב ע""ד שכתב התוי""ט לעיל בד""ה בחול ע""ש וה""נ אי הוה אמר בשבת ובטומאה ה""א דדוקא תרוויהון לא דחי לכן הפסיק ביניהון לחלקן:"
Rashash on Pesachim 69b:4,"<b>משנה מן הכבשים ומן העזים. </b>לכאורה זה אין רבותא כלל שהרי גם פסח בא מהם. ונ""ל דהתוספות (בריש מכילתין ג ב) כתבו דרוב פסחיהם היה טלה ואולי מצוה מן המהדרין הוא גבי פסח (אף דבשאר קרבנות שניהם שוים כדלעיל ס""פ מש""נ) מפני דמזל מצרים היה והיו עובדים אותו להכי קמ""ל דבחגיגה אפילו מצוה מן המהדרין ליכא ולפי מש""כ במ""א דדוקא כבש סתם הוא בן שנה אבל כשב כולל כל המין בן שנה ובן שתים ולמעלה הנ""ל לומר דהכא ט""ס וצ""ל מן הכשבים ולאפוקי פסח דאינו בא אלא בן שנה. [וענ""ל כיון דדרשינן לקמן (ע ב) אליבא דב""ד קרא דוזבחת פסח כו'. צאן ובקר צאן זה פסח בקר זו חגיגה ה""א דוקא בקר ולא צאן וע""ד שדורש ר""א בזבחים (נה) לענין שחיטת צפון בקק""ל וכפירוש שפירשתי שם בס""ד] :"
Rashash on Pesachim 69b:5,"<b>[רש""י ד""ה דליכא כרת. לבו ביום כו'. </b>וצ""ע קצת מדבריו לקמן (צב) בד""ה דרך חצרות] :"
Rashash on Pesachim 70a:1,"<b>רש""י ד""ה קופיץ. אלא לחיתוך בשר כו'. </b>לכאורה יקשה א""כ יהא צריך לו לחתיכת בשר החגיגה אפילו לב""ת בי""ד דאף דהפסח מצותו לצלותו שלם עיין בתוספות (לקמן עד) ד""ה נחתך אינו אלא למצוה ולא מצינו זה בחגיגה אפילו לב""ת ועוד דראוי לחתוך בו אפילו הפסח אחר הצליה ונראה דתרווייהו אהדדי אמרם דלחתיכת בשר לבד סגי בסכין כדאשכחן בתמיד פ""ד מ""ג ובד""ט:"
Rashash on Pesachim 70a:2,"<b>רש""י ד""ה מ""ש. והא ל""ח שמא כו' דמתוך כו'. </b>לכאורה לא היה צריך לזה דהכא בירושלים איירי כדפירש הרמב""ם והרע""ב (ועי' תוספות חגיגה רפ""ג ד""ה האונן) וכבר אמרינן (לעיל ז) הואיל ושוקיה עשויין להתכבד בכ""י ואולי משום הר הבית דאינו מתכבד הוצרך לטעמו אולם לפ""ז יקשה מדוע אמרי' שם בהה""ב לעולם חולין ופירש רש""י ואפי' בשעת הרגל ועוד נ""ל דע""כ היתה להם שעה קבועה בכ""י לכבד בה (דאטו כל היום בלי הפסק היו מכבדים) הגע עצמך שהיתה בשעה ראשונה וא""כ יש לחוש שמא נאבד לו ביום י""ג בשעה ב' אחר הכיבוד דה""ל עוד שהות לטובלו כה""י דבשלמא התם במעות כיון דאין לתלות אלא ביום אתמול אם כן לית כאן רובא דשתא משא""כ הכא לכן הוצרך לטעם דהעם רב כו':"
Rashash on Pesachim 70a:3,"<b>תד""ה והא. הא קיי""ל דא""מ ולא טובלין. </b>תימה דהרי (בביצה יח) מבואר דאם נטמא בולד הטומאה ביום טוב עצמו לכל הפירושים יכול לטבול ביום טוב ע""ש וספק כלים הנמצאים א""צ טבילה אלא מדרבנן דל""ג בירושלים והכא משום חומרת קדשים הצריכו טבילה כמבואר ברמב""ם ובהרע""ב וא""כ ודאי לא חמיר מוה""ט וגם הא מצא בשבת עצמו והוה דומיא דנטמא ביו""ט דלא היה אפשר להטבילו קודם ולרבה ולר""י שם דמשני אליבייהו טומאה ביו""ט מילתא דל""ש כו' וה""ט המ""ל גבי כהנים כו'. יש לחלק אבל אליבא דר""ב ורבא שם אין לחלק כלל וא""כ מאי הקשו אמאי לא פריך כו':"
Rashash on Pesachim 70a:4,"<b>מה </b>שהקשה המהרש""א מדוע לא פריך אי בשבת כיון דאסור להטביל ודאי הטבילוה מאתמול משום חגיגת ט""ו נ""ל דל""ק דהרי ירושלים אסור להוציא בה עיין תוספות (לעיל סו) ד""ה תוחב ובמהרש""א. א""כ ע""כ נאבדה קודם שבת וחיישינן שמא קודם טבילה. וסכין היו מוציאין בתחיבה בצמר הטלה או בין קרני הגדי משא""כ קופיץ ואליבא דאמת צ""ל דמ""מ תלינן שנאבד בי""ג אחר הטבילה כיון דרוב עם מצויין אם איתא דנאבד קודם הטבילה בעוד יומם הוה משתכח:"
Rashash on Pesachim 70b:1,"<b>רש""י ד""ה אבל קופיץ. שמא ימות ול""י חגיגות כו'. </b>לכאורה מ""מ יטבלוהו משום פסח עצמו דיהיה בא בטומאה ואין בו משום שבירת עצם לרב יוסף (לקמן פד ב) אליבא דכ""ע ואולי מדרבנן אסור אפילו בטמא וכ""מ לישנא דמתני' שם דאינו לוקה אבל איסורא איכא דומיא דהמותיר בטהור דשנה עמו דאסור אפילו מה""ת אבל באמת רש""י פירש כן לרווחא דמילתא כי בלא""ה כיון דיבא בטומאה ל""ל לטובלו:"
Rashash on Pesachim 70b:2,"<b>גמרא א""ק וחגותם אותו כו'. </b>הן מתד""ה הא הב' נראה שהיתה גירסתם כאן קרא דוחגותם חג כו' דפ' פינחס:"
Rashash on Pesachim 70b:3,"<b>רש""י ד""ה וישב לו בדרום. רחוק מירושלים שלא לעלות לרגל כו'. </b>הן משום פסח בט""ו מיל סגי עיין (לקמן צג ב) ואי משום מצות ראיה לא מצינו שדרך רחוקה תפטרנו עיין מל""מ ריש הק""פ:"
Rashash on Pesachim 70b:4,"<b>תד""ה שלמים. ואי יכול לשחטה מעיו""ט אכתי שמונה הוו. </b>נ""פ דכוונתם דמשך זמן הקרבתה ח""י עיו""ט וז""י החג לבד שבת ואם חל יו""ט ראשון בשבת יהיה ז""י והצל""ח במחכ""ת צלל במים אדירים לל""צ ע""ש:"
Rashash on Pesachim 71a:1,"<b>גמרא מתקיף לה ר""י כו'. ואימורין עד צפרא. </b>ק""ל לפירוש התוספות (בברכות ט) קרא דולא תותירו ממנו עד בוקר לראב""ע דה""ק לא תעשו דבר כו' ה""נ יל""פ קרא דול""י חלב חגי ע""ב ולעולם איפסלו להו מאורתא ועיין מעל""ד תד""ה והיאך:"
Rashash on Pesachim 71b:1,"<b>רש""י בד""ה ה""ק. וסתם לינה לבוקרה משמע כו'. </b>ומלשון הגמרא משמע לי דמפרש דתיבת לבוקר קאי על ב' החגיגות וזו לבוקרה כו':"
Rashash on Pesachim 72a:1,"<b>גמרא ש""מ עקירה בטעות הויא עקירה. </b>ופירש רש""י מדקתני חייב. נ""ל דאף אליבא דרבא (במנחות סד) דאזיל בתר מחשבה ע""ש הכא מודה דפטור אם היה כשר אע""ג דמחשבתו היתה לאיסורא דדוקא התם דההיתר לא היה גלוי לשום אדם בשעה שעשה דמי יודע שיעלה התינוק במקום פרישת מצודתו או שתמצא כחושה במעיה אבל הכא איכא יודעים שזה פסח הוא ומותר לשחטו ודומה להא דתנן (בנזיר כג) הפר לה בעלה והיא ל""י כו' והיתה שותה ביין כו' א""ס את הארבעים. אך לכאורה רישא דהתם דהיה רוצה הש""ס לאוקמה לעיל (שם כא ב) בהפר לה אח""כ אפ""ה היה פשוט ליה שם דאי בעל מיעקר עקר היתה פטורה וכן מש""כ הרשב""ם (בב""ב קכ ב) כה""ג לענין שחוטי חוץ לכאורה דמיא להא דרבא ויש לי הרהורי דברים בזה ואכ""מ:"
Rashash on Pesachim 72a:2,"<b>גמ' ותסברא מה התם דל""ע מצוה כו'. </b>צריך להסביר האי ותסברא דהא חילוק גדול יש כדפרש""י שפיר בהקס""ד:"
Rashash on Pesachim 72a:3,"<b>תוד""ה לר""י. דפסיל לעיל אחרים לש""פ. </b>הוא (בדף סב ב):"
Rashash on Pesachim 73a:1,"<b>גמרא שחטו שלא לאוכליו חייב מה תקן. </b>עיין מהרש""א שכתב דעל שחטו שלא לשמו לא ק""ל דודאי תקן דפסול שלמים הוא כו' ועיין צל""ח ולי עוד קשה ע""ד דאי' (זבחים סז) ובתוד""ה חטאת העוף דא""א לעקור שום קרבן בהמה משמו לשם אחר ואולי דפסח שאני כיון דקי""ל נימנין ומושכין ממנו עד שישחט לכן אם שחטו לשם שלמים הרי משך ידו ממנו עיין לקמן ע""ב ומיירי שהבעלים עצמן שחטוהו ועוד טעמא רבה איכא בפסח שמותרו קרב שלמים ומה שאמרו בכ""ד שחטו שלל""ש פסול איכא למימר פסול ר""ל לפסח אבל כשר לשלמים או משום דשחטו אחר תמיד של בה""ע ועיין תוס' (יומא כט) ובזה היה מיושב בפשיטות קושיית הרשב""א לעיל ע""ב בתוד""ה לר""י דגם ברישא עשה מצוה דכשר הוא לשלמים ורש""י פי' (לעיל סג) במשנה בד""ה ושלא לשמו פטור דפסול הוא ושחיטה שאינה ראויה כו' ולמש""כ שחיטה ראויה לשלמים אלא דפטור מטעם אחר מפני דעל שאר זבחים פטור בי""ד:"
Rashash on Pesachim 73a:2,"<b>רש""י ד""ה בדמיו אין. ואע""פ שמקריבו לעצמו. </b>משמע דמפרש דהראיה איננה אלא מדרבי יהושע ולא מת""ק ולמה ואולי משום דא""ל דטעמו מפני דאין קרבן יחיד עצמו משתנה לשל ציבור עי' בפ""ד דשקלים מ""א בסופה בהרע""ב ותוי""ט:"
Rashash on Pesachim 73b:1,"<b>רש""י ד""ה אלא אר""פ. וכגון דשחט בהדיא לשם פסח כו'. </b>פי' דלכתחלה אין לומר בהדיא בפה לשם פסח דהוא תנאי ב""ד כדא""ר יוסי במשנה ספ""ד דזבחים וכמו שמפרש הש""ס דבריו שם בריש המסכתא וכפי מש""כ שם בס""ד ביאורו ובזה שוב אין מקום למה שגמגם המהרש""א עליו:"
Rashash on Pesachim 73b:2,"<b>תוד""ה האמר. תימה כו' ואם כן לימא דמתני' ר""י. </b>הן לעיל בהיפוך הדף בד""ה לדברי כתבו דלא אתיא מתני' כוותיה:"
Rashash on Pesachim 74a:1,"<b>במשנה מעשה בר""ג שאמר כו' אה""פ. </b>בסה""ד מביא ע""ז פירש""י דר""ג היה בבית ב' כו' הן לפנינו ליתא ברש""י ואפשר דט""ס הוא וצ""ל פירוש והוא פי' של עצמו. ובאמת שגם (בנדה ו ב) מצינו שנשאל משפחתו על עובדא דתרומת לחמי תודה [ולקמן (פח ב) נשאל מהמלכה על עובדא דפסח] ואם ניתן אמון לסופרי העמים אשר בן כוזיבא במלכו בנה בה""מ והחריבו אדריינוס ועי' מ""ע חלק א""ב פי""ב א""ש טפי. אבל לא שמענוהו בפירוש בדברי חז""ל. ולעד""נ דעובדא דא הוה אחר חורבן. ולפי שמצינו לו (בביצה כב ב) במשנה דעושין גדי מקולס בלילי פסחים ופירש""י משום זכר למקדש. לכן מחמת חביבותו היה קורהו פסח ואע""ג דאמרי' לעיל (נג) דאסור לומר בשר זה לפסח וע""ש בפירש""י ותוס' י""ל דר""ג דלא חייש לרואים בעשיית גדי מקולס ה""ה דל""ח בקרוא עליו שם פסח והשתא א""ש דלא הוה מעשה לסתור (כדפריך הגמרא וכן בירושלמי מקשה לית לר""י צלי אש כו' ותו איתא שם ר""ג חלוק על חכמים ועושה הלכה כיוצא בו ונראה דהוא בלשון קושיא וכמו דמקשה בריש ברכות העתקתיו לעיל (נא ב) ודלא כפי' הק""ע ולא מתרץ מידי) אלא לראיה דפסח ממש א""צ על האסכלא (וכבר הרשנו הרמב""ם בפ""ה דנזיר מ""ה לפרש משנה נגד הגמרא היכא דליכא נפקותא לדינא. ע""ש בתוי""ט ועמש""כ בברכות (מט ב) במשנה שגם הגר""א ז""ל עשה כן) דר""ג מפני שרצה להראות שאינו אלא לזכר ולא יסברו שאוכל קדשים בחוץ צוה לשנותו ולצלותו על האסכלא. ונ""ל עוד דלכן אמר שעושין גדי מקולס (וגדי אע""פ שבלשון תורה הוא כולל אף פרה ורחל (חולין קיג) מ""מ בלשון חכמים הוא שם פרטי לעז בלבד כדמוכח לקמן (פח ב) במשנה ובש""מ טובא) הוא גם כן לשינוי שרוב פסחיהם היה טלה כמש""כ לעיל (סט ב) וכן בירושלמי איתא דעגל מקולס שרי לכ""ע:"
Rashash on Pesachim 74a:2,"<b>רש""י ד""ה איזה גדי מקולס. דתנן כו'. </b>עי' ברא""ש שם בפ' מש""נ סס""י ו' שפי' דאפי' במקום שנהגו לאכול צלי גדי מקולס אסור:"
Rashash on Pesachim 74a:3,"<b>[תוד""ה נחתך. והשתא איך יעשו כן כו'. </b>ק""ל הא צלי אינו אוסר אלא כדי נטילה ויתננה לכהן ואף דהחזה שמינה ואולי דדינה כחלב דמפעפע (חולין צז) הרי אפשר בכחוש ע""ש בתד""ה ההוא] :"
Rashash on Pesachim 75a:1,"<b>רש""י ד""ה חתכו. ולא הבדיל כו'. </b>עי' לעיל (עד) תוד""ה נחתך:"
Rashash on Pesachim 75a:2,"<b>רש""י ד""ה קמ""ל. גז""ש כו' נמי כו' דר""נ לאפוקי זמורות. </b>עי' מהרש""א ועדיין לא הונח לנו מדוע לא פירש""י כפי' מהרש""ל ואין לומר משום הא דאמרינן (בכתובות ל) וש""ד דין ד""מ לא בטלו כו' ומי שנתחייב שרפה או נופל בדליקה דז""א דהא אמרי' שם או נחש מכישו וזה ודאי אינו שרפה דמיתת ב""ד כמו אבר מעיקרו אלא שם ר""ל דוגמתן כדפירש""י התם ולהכי לא קאמר שם ד""מ ב""ד אלא ד""מ סתמא. ולזאת מה שהקשה הרש""א בח""א (בסנהדרין קו ב) ד""ה ד' מיתות על פירש""י דהתם דאין זה שרפה האמורה בתורה ע""ש. מלבד דאישתמיטתיה שטת רש""י וד""ע שבכאן לק""מ דגם שם ל""א הש""ס ד""מ ב""ד. אבל י""ל דרש""י צפה למרחוק בב""ר ס""פ ס""ה גבי מעשה דיקום איש צרורות דשם איתא ד""מ ב""ד ועל שרפה אמר שם שעשה מדורה:"
Rashash on Pesachim 75a:3,"<b>תוס' ד""ה הא. נראה לרשב""א דהמ""צ גלי כו'. </b>תימה דא""כ אפי' תנור שגרפו נמי דלא גרע מסיד רותח וחמי האור וזה לא שמענו לרבי רק ר""ג ס""ל כן לפי הירושלמי שהבאתי לעיל:"
Rashash on Pesachim 75a:4,"<b>רש""י ד""ה תשרף. כל מיני שרפה. </b>כצ""ל:"
Rashash on Pesachim 75b:1,"<b>רש""י ד""ה על שפך. דכתיב ביה באש הוא. </b>כצ""ל:"
Rashash on Pesachim 75b:2,"<b>[רש""י ד""ה רבינא. דמתני' שבשתא היא כו'. </b>לכאורה י""ל דלא משבש לה אלא דמפרש דנכוה בגחלת קאי למעלה אאין לי ולא על מנין דלמטה] :"
Rashash on Pesachim 75b:3,"<b>רש""י ד""ה ארזים. ועל חירם מלך צור נאמר. </b>תמוה דבנבואת פרעה נאמר ועל אשור קאי. ובאמת יש לתמוה מדוע לא הביא רי""צ מקרא מוקדם (ביחזקאל כח ג) כל סתום לא עממוך ושם נאמר על מלך צור. ואולי לפני רש""י היה הגי' מקרא זה ונצטרך להגיה גם בדבריו:"
Rashash on Pesachim 75b:4,"<b>רש""י ד""ה נטף מרוטבו. מפרש בגמרא בסלת רותחת. </b>הא דל""ק ברישא גבי עה""ח דבגמרא מפרש בחרס רותח הוא דכיון דפי' שם נטף בתנור ממילא מישתמע דהחרס פי' של תנור עי' לקמן בתד""ה תנן ולהכי גם רי""ר א""ש לא הוצרך לשנות רק אסלת ועל הרע""ב יש תפיסה שהשמיט תיבת בתנור מלשון רש""י ואפ""ה לא ביאר דמיירי בחרס חם:"
Rashash on Pesachim 75b:5,"<b>תוס' ד""ה לפי. ונראה לר""י דבירושלים גזרו כו'. </b>הב""א כתב דבירושלמי יליף התיר מכירת מע""ש מק""ו מתרומה וש""מ דאף מדרבנן ל""ג אטו פדיה כמו דל""ג בתרומה ול""ד דבתרומה לא שייך גזירה אטו פדיה כיון דל""ל פדיה בשום מקום. אבל מעשר דא""ל פדיה חוץ לחומה שייך שפיר למיגזר ומש""כ עוד דדברי התוס' אליבא דר""מ דמדאורייתא אין מוכרין אותו והא דהוצרכו לטעמא דגזירה הוא לענין דיעבד שתתבטל המכירה א""נ כלל דהא מתניתין ל""א אלא לישנא דלכתחלה ומנא להו להתוספות דאף בדיעבד בטלה ולחדש גזירה:"
Rashash on Pesachim 76a:1,"<b>תוס' ד""ה אלא. וה""ל אברנים. </b>עי' לעיל (מא):"
Rashash on Pesachim 76b:1,"<b>רש""י ד""ה א""ל רב. משום דפת צוננת וחבית מגופה כו'. </b>הגרי""פ הגיה או חבית ונראה שנעלם ממנו דברי מהרש""ל:"
Rashash on Pesachim 76b:2,"<b>רש""י ד""ה חמשה דברים. אין לך בצבור קרבן נאכל כו'. </b>כצ""ל וכ""ה בהרע""ב"
Rashash on Pesachim 76b:3,"<b>תוס' ד""ה ה""ג. שאין הטעם תלוי בכך כו'. </b>לכאורה אדרבה דמקרא דוחגותם כו' פסיקא ליה דל""ד שבת ובכדי של""ת דשאני שבת דחמיר וענוש סקילה לזה אמר דהטעם דל""ד הוא משום דאית ליה תשלומין ולכן ה""ה דל""ד טומאה מה""ט:"
Rashash on Pesachim 76b:4,"<b>בא""ד ועוד פסח נמי א""ל תשלומין בשני כו'. </b>צ""ע דהא דפסח דחי טומאה היינו דוקא שרוב הצבור טמאין וצבור אינן עושין אה""ש כגון רובן זבין. ומש""כ עוד ועוד חגיגת ט""ו כו' נ""ל דג""כ ל""ק היא דא""ת דמה""ט תדחה אה""ט שוב תיהוי חזי בראשון ותהיה לה תשלומין כ""ש (ועי' צל""ח) וכה""ג כתב הט""א (בחגיגה ט) לענין אם חל יו""ט א' בשבת. אבל מ""מ מזה תיהוי תיובתא להרב ז""ל דהתם מסיק לענין שבת דמפני זה אמרינן דכחו""ח תיקו אדוכתא דא""ד אה""ש ויש לה תשלומין וכאן אמרי' דאין לו תשלומין ואפ""ה א""ד אה""ט:"
Rashash on Pesachim 77a:1,"<b>גמרא הכתוב קבע מועד אחד כו'. </b>כצ""ל וכ""ה במנחות ובתו""כ:"
Rashash on Pesachim 77a:2,"<b>גמ' צריכי כו' ואי כ""ר פסח כו'. </b>הקשה הב""א דבלא""ה צריך מועדו גבי תמיד למילף גז""ש מועדו מועדו מפסח לענין טומאת התהום כדמסיק רבא (לקמן פא) ושכח דברי הצל""ח דרבא ל""ק שם אלא לתנא דיליף בגז""ש דמועדו אבל למאן דיליף ממשמעות (והוא תנא שלפנינו כמ""ש המחבר בשם התוספות לעיל (סו) ליכא למילף לענין טומאת התהום כלל ע""ש). ולפ""ז לא יפה עשה התוי""ט בהביאו הצריכותא על פי' הרע""ב דמגז""ש יליף ולא ממשמעותא:"
Rashash on Pesachim 77a:3,"<b>גמ' תמיד תדיר וכליל פסח שהוא ענוש כרת. </b>מתוד""ה שכן מוכח להדיא דל""ג כ""ז:"
Rashash on Pesachim 77a:4,"<b>גמ' ר' אליעזר אומר הציץ מרצה כו'. </b>אין לתמוה איך יתכן שר' יוסי תלמיד תלמידו דר""א יחלוק עמו דכן מצינו דר""מ פליג עם ר' יהושע (בביצה לב) ועמש""כ שם. וכן עם ר""א (בשבת נט ב) והתם ע""כ ר' אליעזר (בי') הוא כדמוכח בפ""ב דעדיות מ""ז וע""ש עוד (קלח) ובתוד""ה מי סברת ובמש""כ שם ושם (ס""ב) כי קאי אדר""מ כו' א""ל פטור. וכן מצינו ר""ש עם ר' אליעזר בפ""א דהוריות מ""ב ור' יוסי עם ר' יהושע ברפ""ג דמקואות ועי' לקמן (צג ב) במשנה ובמש""כ שם:"
Rashash on Pesachim 77a:5,"<b>תוס' ד""ה סד""א. דה""נ לא קאי אשבת כו'. </b>עי' במהרש""א שכתב דלשון אשבת מגומגם דמוספי שבת ודאי לא איצטריך כו'. וכ""כ עוד בס""ד דלמוספי פסח וסוכות לא איצטריך במועדיכם כו'. ול""ד במחכ""ת דנהי דלא איצטריך לענין שבת אבל משום דחיית טומאה איצטריך וכדמסיק בעצמו לענין תמיד והכי הל""ל דלא מייתא הש""ס קרא לקמן על מוספי שבת. ובאמת צ""ל דילפינן להו ממוספי יו""ט או משבתו דהוה כמו במועדו:"
Rashash on Pesachim 77a:6,"<b>תוס' ד""ה נימא מתניתין. ותימה כו'. </b>לכאורה י""ל דהשתא הס""ד דשתה""ל דמתני' הוא להקרב עמהן וכדס""ד לקמן (עח) כמש""כ שם בס""ד על התד""ה מכלל. ובזה לא נצטרך נמי לדבריהם לקמן בעבר הב' ד""ה כי:"
Rashash on Pesachim 77b:1,"<b>גמרא נטמאו שיריה נשרפו שיריה אבדו כו'. </b>כצ""ל:"
