Chapter Name,Topic Name,Topic Name (sans nikud),English description,Aspaklaria Topic,Aspaklaria type,Is a Type of,Notes,#N/A
אָדָם וּצְרָכָיו,"מְזוֹנוֹתָיו שֶׁל אָדָם, עֲנִיּוּת וַעֲשִׁירוּת","מזונותיו של אדם, עניות ועשירות",,פרנסה,process,,,
אָדָם וּצְרָכָיו,יְגִיעַ כַּפַּיִם,יגיע כפים,,עבודה פעולה,process,,,
אָדָם וּצְרָכָיו,עֲבוֹדַת אֲדָמָה וּמַשָּאׂ וּמַתָּן,עבודת אדמה ומשא ומתן,,עבודה פעולה,process,,,
בֵּיתוֹ שֶׁל אָדָם,נִשּׂוּאִים,נשואים,,נשואין,halachic process,,,
בֵּיתוֹ שֶׁל אָדָם,טִיבָהּ שֶׁל אִשָּׁה,טיבה של אשה,,אשה,quality,,,
בֵּיתוֹ שֶׁל אָדָם,דְּבָרִים שֶׁבֵּינוֹ לְבֵינָהּ,דברים שבינו לבינה,,איש ואשה,relationship,,,
בֵּיתוֹ שֶׁל אָדָם,בָּנִים וְגִדּוּל בָּנִים,בנים וגדול בנים,,חנוך אב ובן,process,,,
בֵּיתוֹ שֶׁל אָדָם,כִּבּוּד אָב וָאֵם,כבוד אב ואם,,כבוד אב ואם,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,דֶּרֶךְ יְשָׁרָה וְשֵׁם טוֹב,דרך ישרה ושם טוב,,ישר,character trait,,,
בֵּין אָדָם לַחֲבֵרוֹ,כְּבוֹד הַבְּרִיּוֹת,כבוד הבריות,,כבוד הבריות,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,אַהֲבַת הַבְּרִיּוֹת וְשִׂנְאַת הַבְּרִיּוֹת,אהבת הבריות ושנאת הבריות,,אדם וחברו,meta halacha,,,
בֵּין אָדָם לַחֲבֵרוֹ,חָבֵר,חבר,,חבר אדם,role,,,
בֵּין אָדָם לַחֲבֵרוֹ,מִדּוֹת וְדֶרֶךְ אֶרֶץ שֶׁבֵּין אָדָם לַחֲבֵרוֹ,מדות ודרך ארץ שבין אדם לחברו,,אדם טבע ומדות,quality,,,
בֵּין אָדָם לַחֲבֵרוֹ,"גְּנֵבָה, גְּזֵלָה וּשְׁפִיכוּת דָּמִים","גנבה, גזלה ושפיכות דמים",,,#N/A,halachic process,,
בֵּין אָדָם לַחֲבֵרוֹ,אוֹנָאָה וּגְנֵבַת דַּעַת,אונאה וגנבת דעת,,,#N/A,halachic process,,
בֵּין אָדָם לַחֲבֵרוֹ,הֲשָׁבַת אֲבֵדָה,השבת אבדה,,השבת אבדה,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,פּוֹעֲלִים וַעֲבָדִים,פועלים ועבדים,,פועל,role,,,
בֵּין אָדָם לַחֲבֵרוֹ,רַחֲמִים עַל הַבְּרִיּוֹת,רחמים על הבריות,,רחמים,emotion,,,
בֵּין אָדָם לַחֲבֵרוֹ,צְדָקָה,צדקה,,צדקה,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,דַּרְכֵי צְדָקָה,דרכי צדקה,,צדקה,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,גַּבָּאֵי צְדָקָה,גבאי צדקה,,צדקה,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,גִּדּוּל יְתוֹמִים וּפִדְיוֹן שְׁבוּיִים,גדול יתומים ופדיון שבויים,,גמילות חסד,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,גְּמִילוּת חֲסָדִים,גמילות חסדים,,גמילות חסד,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,הַכְנָסַת אוֹרְחִים,הכנסת אורחים,,הכנסת אורחים,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,פִּקּוּחַ נֶפֶשׁ וְהַצָּלָתָהּ,פקוח נפש והצלתה,,פקוח נפש,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,בִּקּוּר חוֹלִים,בקור חולים,,בקור חולים,halachic process,,,
בֵּין אָדָם לַחֲבֵרוֹ,קְבוּרַת מֵתִים וְנִחוּם אֲבֵלִים,קבורת מתים ונחום אבלים,,קבורה,halachic process,,,
מִדּוֹת וְדֵעוֹת,שָׁלוֹם וּמַחֲלֹקֶת,שלום ומחלקת,,שלום,process,,,
מִדּוֹת וְדֵעוֹת,הַכְרָעָה לְכַף זְכוּת וַחֲשָׁד,הכרעה לכף זכות וחשד,,,#N/A,halachic process,,
מִדּוֹת וְדֵעוֹת,"תּוֹכָחָה, חֲנֻפָּה וּצְבִיעוּת","תוכחה, חנפה וצביעות",,תוכחה,process,,,
מִדּוֹת וְדֵעוֹת,לָשׁוֹן הָרַע וְגִלּוּי סוֹד,לשון הרע וגלוי סוד,,לשון הרע,halachic process,,,
מִדּוֹת וְדֵעוֹת,"אֱמֶת וְשֶׁקֶר, נְדָרִים וּשְׁבוּעוֹת","אמת ושקר, נדרים ושבועות",,נדר,halachic process,,,
מִדּוֹת וְדֵעוֹת,לָשׁוֹן נְקִיָּה וְנִבּוּל פֶּה,לשון נקיה ונבול פה,,נבול פה,halachic process,,,
מִדּוֹת וְדֵעוֹת,שְׁתִיקָה וְדִבּוּר,שתיקה ודבור,,שתיקה,process,,,
מִדּוֹת וְדֵעוֹת,כַּעַס,כעס,,כעס,emotion,,,
מִדּוֹת וְדֵעוֹת,עֲנוָָה וְגַאֲוָה,ענוה וגאוה,,ענוה,character trait,,,
מִדּוֹת וְדֵעוֹת,בֹּשֶת פָּנִים וְעַזּוּת פָּנִים,בשת פנים ועזות פנים,,בושה בושת,emotion,,,
מִדּוֹת וְדֵעוֹת,"שִׂמְחָה וְעַצְבוּת, שְׂחוֹק וְקַלּוּת רֹאשׁ","שמחה ועצבות, שחוק וקלות ראש",,,#N/A,emotion,,
מִדּוֹת וְדֵעוֹת,קַבָּלַת יִסּוּרִים,קבלת יסורים,,יסורין,process,,,
מִדּוֹת וְדֵעוֹת,מִדּוֹת טוֹבוֹת וְרָעוֹת,מדות טובות ורעות,,אדם מדות,disposition,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,יָחִיד וְצִבּוּר,יחיד וצבור,,צבור ויחיד,relationship,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,הָעֲמֵלִים עִם הַצִּבּוּר וּמְזַכֵּי הָרַבִּים,העמלים עם הצבור ומזכי הרבים,,צרכי צבור,object,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,פַּרְנָס עַל הַצִּבּוּר,פרנס על הצבור,,פרנס,role,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,מֶלֶךְ,מלך,,מלך מלכות,role,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,דִּין וְדַיָּנִים,דין ודינים,,דין,process,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,מִקַּח שֹׁחַד וּמַשּׂוֹא פָּנִים,מקח שחד ומשוא פנים,,שוחד,process,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,פְּשָׁרָה וְלִפְנִים מִשּׁוּרַת הַדִּין,פשרה ולפנים משורת הדין,,פשרה,process,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,בָּתֵּי דִּינִים וְסֵדֶר הַדִּין,בתי דינים וסדר הדין,,בית דין,halachic role,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,עָרֵי מִקְלָט,ערי מקלט,,עיר מקלט,geographic site,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,לְתַקָּנַת הָרַבִּים,לתקנת הרבים,,תקנות,meta halacha,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,צָרַת רַבִּים וְתַעֲנִית צִבּוּר,צרת רבים ותענית צבור,,צבור,group of people,,,
צִבּוּר וּמְדִינָה וְצָרְכֵיהֶם,מִלְחָמָה,מלחמה,,מלחמה,process,,,
עוֹלָם וּמְלוֹאוֹ,הָעוֹלָם,העולם,,מציאות,theology,,,
עוֹלָם וּמְלוֹאוֹ,הַשָּׁמַיִם וְהַמְּאוֹרוֹת,השמים והמאורות,,שמים,geographic site,,,
עוֹלָם וּמְלוֹאוֹ,הָאָרֶץ,הארץ,,ארץ,geographic feature,,,
עוֹלָם וּמְלוֹאוֹ,"בְּרָקִים וּרְעָמִים, עֲנָנִים וּגְשָׁמִים, קֶשֶׁת וּזְוָעוֹת","ברקים ורעמים, עננים וגשמים, קשת וזועות",,מזג אויר,weather,,,
עוֹלָם וּמְלוֹאוֹ,"אֵשׁ, רוּחַ","אש, רוח",,,#N/A,,,
עוֹלָם וּמְלוֹאוֹ,יַמִּים וּנְהָרוֹת,ימים ונהרות,,ים מים,geographic feature,,,
עוֹלָם וּמְלוֹאוֹ,זָהָב וַאֲבָנִים טוֹבוֹת,זהב ואבנים טובות,,,#N/A,,,
עוֹלָם וּמְלוֹאוֹ,עֲשָׂבִים וְאִילָנוֹת,עשבים ואילנות,,צמח,living creature,,,
עוֹלָם וּמְלוֹאוֹ,מִינֵי בְּרִיּוֹת,מיני בריות,,בעלי חיים,living creature,,,
עוֹלָם וּמְלוֹאוֹ,עוֹפוֹת,עופות,,עוף,animal,,,
עוֹלָם וּמְלוֹאוֹ,שְׁרָצִים וּרְמָשִׂים,שרצים ורמשים,,שרץ,group of animals,,,
עוֹלָם וּמְלוֹאוֹ,בְּהֵמוֹת וְחַיּוֹת,בהמות וחיות,,בעלי חיים,living creature,,,
עוֹלָם וּמְלוֹאוֹ,שִׂיחוֹת עוֹבְרֵי דְּרָכִים,שיחות עוברי דרכים,,שיחה,process,,,
עוֹלָם וּמְלוֹאוֹ,בְּנֵי אָדָם,בני אדם,,אדם,material quality,,,
עִנְיְנֵי נִחוּשׁ וּרְפוּאוֹת,מַזָּל,מזל,,מזל,object,,,
עִנְיְנֵי נִחוּשׁ וּרְפוּאוֹת,חֲלוֹמוֹת,חלומות,,חלום,knowledge,,,
עִנְיְנֵי נִחוּשׁ וּרְפוּאוֹת,מַזִּיקִים,מזיקים,,מזיקין,spiritual entity,,,
עִנְיְנֵי נִחוּשׁ וּרְפוּאוֹת,כְּשָׁפִים וַאֲחִיזַת עֵינַיִם,כשפים ואחיזת עינים,,כשוף,halachic process,,,
עִנְיְנֵי נִחוּשׁ וּרְפוּאוֹת,לְחָשִׁים וּרְפוּאוֹת,לחשים ורפואות,,לחש,process,,,
עִנְיְנֵי נִחוּשׁ וּרְפוּאוֹת,דַּרְכֵי אֱמוֹרִי וְסִימָנִים,דרכי אמורי וסימנים,,דרכי האמורי,halachic process,,,
עִנְיְנֵי נִחוּשׁ וּרְפוּאוֹת,עַיִן הָרַע,עין הרע,,עין רעה,character trait,,,
תַּערֲבֹתֶ,דְּבָרִים שֶׁבְּמִנְיָן,דברים שבמנין,,מספר,quality,,,
תַּערֲבֹתֶ,עִנְיָנִים שׁוֹנִים,ענינים שונים,,,#N/A,,,
