Topic,English description,Is a Type Of,Is a Type Of 2,Has Edge,To Topic (Original),To Topic (Actual),English description,Is a Type Of
נדבה,voluntary offering,role,,related to,צדקה,צדקה,charity/giving,halachic process
נעמה,,biblical person,,child of,למך,למך,,biblical person
נעמה,,biblical person,,spouse of,נח,נח,,biblical person
נעמה,,biblical person,,related to,עזה ועזאל,עזא ועזאל,,spiritual entity
נעמה,,biblical person,,related to,שדים,שד,demon/harmful spirit,spiritual entity
נבואה,prophecy,theological process,,is category of,בלעם נבואה,בלעם נבואה,,theological process
נבואה,prophecy,theological process,,similar to,חזון,חזון חזה,vision,process
נבואה,prophecy,theological process,,is category of,יחזקאל,יחזקאל נבואה,prophecy of yechezkel,theological process
נבואה,prophecy,theological process,,is category of,משה נבואה,משה נבואה,Moshe's prophecy,theological process
נבואה,prophecy,theological process,,has participant,נביא,נביא,prophet,role
נטילה,taking,process,,related to,אדם חברו מדות,אדם וחברו,treatment of others,meta halacha
נטילה,taking,process,,related to,אדם חברו מדות,אדם מדות,character traits of man,disposition
נטילה,taking,process,,related to,לקח,לקח,insight/advice,knowledge
נטירה,holding grudge,halachic process,,similar to,נקמה,נקמה,revenge,process
נוח,nice/convenient,quality,,related to,אדם חייו,אדם חייו,life of man,lifecycle process
נעמן,,biblical person,,related to,אלישע,אלישע,,biblical person
נעמן,,biblical person,,member of,ארם,ארם,,nation/ethnicity
נגף מגפה,plague,process,,causes,מיתה,מיתה,death,lifecycle process
נגף מגפה,plague,process,,has cause,עונש,עונש,punishment,process
נגע קרב,approach/encroach,process,,similar to,נגיעה,נגיעה,touching/conflict of interest,process
נגע קרב,approach/encroach,process,,similar to,קרב,קרב,approach/advance/bring close,process
ניסן,month of nisan,month,,is a,חודש,,#N/A,#N/A
ניסן,month of nisan,month,,temporally contains,פסח,פסח,pesach,pilgrimage festival
ניסן,month of nisan,month,,related to,קדוש החודש,קדוש החודש,declaring/sanctifying month,halachic process
נבול פה,innapropriate speech,halachic process,,has halachic application,דבור,דבור,speech,process
נבול פה,innapropriate speech,halachic process,,related to,לשון הרע,לשון הרע,negative speech,halachic process
נבול פה,innapropriate speech,halachic process,,related to,צניעות,צניעות,modesty/privacy,character trait
נחום איש גמזו,,mishnaic person,,,רבי,רבי,,mishnaic person
נקי נקיון,hygeine/purity,quality,,related to,דרך ארץ,דרך ארץ,ettiquette/social norms,halachic process
נקי נקיון,hygeine/purity,quality,,similar to,טהרה,טהור טהרה,purity,quality
נקי נקיון,hygeine/purity,quality,,related to,מים אחרונים,מים אחרונים,,halachic process
נקי נקיון,hygeine/purity,quality,,related to,נטילת ידים,נטילת ידים,washing hands,halachic process
נהר דינור,river of fire,spiritual site,,related to,חיות הקדש,מלאך חיות,type of angel,spiritual entity
נהר דינור,river of fire,spiritual site,,related to,כסא הכבוד,כסא הכבוד,the Throne of Glory/revelation,spiritual entity
נהר דינור,river of fire,spiritual site,,related to,מלאך,מלאך,angel/messenger,spiritual entity
נהר דינור,river of fire,spiritual site,,related to,מעשה מרכבה,מעשה מרכבה מרכבה,the Divine chariot,theological process
נגע צרעת,lesion of tzaraas,fiat object part,halachic role,synonymous with,צרעת,צרעת,tzaraas,halachic quality
נהיה,break/deteriorate,process,,,היה,היה,was,word
נזיקין,damages,halachic process,,has halachic application,חובל,,#N/A,#N/A
נזיקין,damages,halachic process,,has halachic application,מזיק,מזיק,one who damages,role
נזיקין,damages,halachic process,,has halachic application,שור,שור בהמה,ox,animal
נזיקין,damages,halachic process,,has halachic application,תשלומין,תשלומין,payment,process
נחרפת,,quality,,related to,קרבן אשם,קרבן אשם,guilt korban,halachic role
נחרפת,,quality,,specifically dependent on,שפחה,שפחה,maid,role
נשק,sustain,process,,,נשיקה,נשיקה,kiss,process
נתיב,path,structure,,similar to,אורח,אורח דרך,path,structure
נתיב,path,structure,,similar to,דרך,דרך,road/way,structure
נתיב,path,structure,,similar to,שביל,שביל,path,structure
נגד,against/facing/corresponding to,quality,,similar to,מול,מול,facing,preposition
נגד,against/facing/corresponding to,quality,,similar to,נכח,נכח,directly facing/relating to/in the presence of,preposition
נצח,win/eternity,process,span of time,related to,ועד,ועד,forever,span of time
נצח,win/eternity,process,span of time,similar to,לעולם,לעולם,forever,span of time
נצח,win/eternity,process,span of time,related to,עולם,עולם,world/universe/era,span of time
נכד,grandchild,role,,related to,אב ובן,אב ובן,father and son,relationship
נכד,grandchild,role,,is a,בן,בן,son,role
נכד,grandchild,role,,similar to,נין,נין,progeny to take over rule,role
נהל,guide,process,,similar to,נהג,נהג,control/lead,process
נהל,guide,process,,similar to,נחה,נחה,lead/guide,process
בית המקדש עבודה,service of Beis HaMikdash,halachic process,,similar to,כהונה עבודה,כהונה עבודה,service of kohanim ,halachic process
בית המקדש עבודה,service of Beis HaMikdash,halachic process,,has participant,קרבן,קרבן,korban/offering,halachic role
בעל קרי,person who has emission,halachic role,,causes,טומאה,טומאה,impurity ,halachic quality
בעל קרי,person who has emission,halachic role,,specifically dependent on,קרי,קרי,seminal emission,halachic process
בחירה,free will,theology,freedom,alternate spelling of,אדם בחירה,אדם בחירה,free will of man,freedom
ברית כהונה,covenant of kehunah,covenant,,specifically dependent on,כהונה,כהונה,quality of being a kohen,quality
ברכות חתנים,blessings for wedding,halachic process,,participates in,נשואין,נשואין,marriage,halachic process
ברכות חתנים,blessings for wedding,halachic process,,participates in,שבעת ימי המשתה,שבעת ימי המשתה,7 days of celebration afrer wedding,halachic process
בעל אוב,type of sorcerer,role,,synonymous with,אובות,,#N/A,#N/A
בעל אוב,type of sorcerer,role,,similar to,כשוף,כשוף,sorcery,halachic process
בעל אוב,type of sorcerer,role,,related to,נחוש,נחוש,superstitious behavior,theurgy
בחור,child/adolescent,quality,,similar to,ילד,ילד ילדות,child/juvenile,quality
בחור,child/adolescent,quality,,similar to,נער,נער,young man,quality
בר מצוה,,halachic role,,related to,בן,בן,son,role
בר מצוה,,halachic role,,related to,מצוה מעשה,מצוה מעשה,act of a mitzvah,halachic process
בר מצוה,,halachic role,,related to,נשמה,נשמה,soul,spiritual entity
בר מצוה,,halachic role,,preceded by,קטן,קטן,child,quality
בעלי חיים,animals,living creature,,has specific dependence,אדם ובעלי חיים,אדם ובעלי חיים,relationship of man and animals,relationship
בעלי חיים,animals,living creature,,is category of,בקר,בקר בעלי חיים,cattle,animal
בעלי חיים,animals,living creature,,physically contained in,בריאה,בריאה,Creation,theological process
בעלי חיים,animals,living creature,,related to,מאכלות אסורות,מאכלות אסורות,forbidden foods,halachic quality
בעלי חיים,animals,living creature,,is category of,עוף,עוף,bird,animal
בר כוכבא,,mishnaic person,,related to,ביתר,ביתר,,geographic site
בר כוכבא,,mishnaic person,,related to,גלות,גלות,exile,process
בר כוכבא,,mishnaic person,,related to,ר' עקיבא,רבי עקיבא,,mishnaic person
בר כוכבא,,mishnaic person,,related to,תשעה באב,תשעה באב,,fast day
בית המקדש,,structure,,similar to,אהל מועד,אוהל מועד,"""Tent of Meeting""",structure
בית המקדש,,structure,,similar to,משכן,משכן,mishkan,structure
בית המקדש,,structure,,physically contains,כלי מקדש,כלי מקדש,items of the temple,group of inanimate objects
בית המקדש,,structure,,related to,קרבן,קרבן,korban/offering,halachic role
בריאה אור מאורות,creation of light/celestial bodies,theological process,,causes,אור,אור,light,inanimate object
בריאה אור מאורות,creation of light/celestial bodies,theological process,,is a,בריאה כללי,בריאה,Creation,theological process
בריאה אור מאורות,creation of light/celestial bodies,theological process,,causes,ירח,ירח,month,span of time
בריאה אור מאורות,creation of light/celestial bodies,theological process,,causes,כוכבים,כוכב,celestial object,inanimate object
בריאה אור מאורות,creation of light/celestial bodies,theological process,,causes,שמש,שמש מאורות,the sun,inanimate object
בצלאל ואהליאב,,group of people,,participates in,משכן מעשה,משכן מעשה,mishkan design and creation,biblical historical event
בדיחות,laughter/joke,process,,causes,שמחה,שמחה,happiness,emotion
בקר שחר,morning,part of a day,,temporally contained in,יום,יום,day,span of time
בקר שחר,morning,part of a day,,temporally contains,שחר,שחר בקר,early morning,part of a day
בגדי כהונה חושן,breastplate of kohen gadol,inanimate object,,physically contains,אורים ותומים,אורים ותומים,,inanimate object
בגדי כהונה חושן,breastplate of kohen gadol,inanimate object,,is a,בגדי כהונה כללי,בגדי כהונה,kohen clothing,inanimate object
בן זקונים,son born in older age,role,,related to,אב ובן,אב ובן,father and son,relationship
בן זקונים,son born in older age,role,,related to,אם ובן,,#N/A,#N/A
בן,son,role,,has specific dependence,אב ובן,אב ובן,father and son,relationship
בן,son,role,,has specific dependence,אם ובן,,#N/A,#N/A
