category,tag,parent,hebrew tag,count,is a type of,is category,not synonym,aspaklaria topic,aspkalaria english,aspaklaria type,
Torah Portions,Eikev,Parashat Eikev,עקב,18,source,,,,#N/A,#N/A,
Torah Portions,Parashat Behaalotcha,Parashat Behaalotchah,בהעלותך,18,source,,,,#N/A,#N/A,
Authors,R. Aharon Lichtenstein,,ר 'אהרון ליכטנשטיין,17,,,,,#N/A,#N/A,
Authors,Rabbi Mordechai Silverstein,,הרב מרדכי זילברשטיין,17,,,,,#N/A,#N/A,
Bible,Ishmael,,ישמעאל,17,,,,ישמעאל,,biblical person,
Bible,Kabbalat Hatorah,,קבלת התורה,17,,,,מתן תורה,giving of the Torah,biblical historical event,
Bible,Manna,,,17,,,,מן דור המדבר,manna of desert,food,
Bible,Plagues,,המכות,17,,,,עשר מכות,ten plagues,biblical historical event,
Bible,Shir Hashirim,,שיר השירים,17,,,,שיר השירים,,biblical source,
Bible,Tehillim,,תהילים,17,,,,תהלים,,biblical source,
Bible,Haman,Haman,המן,17,,,,המן,,biblical person,
Bible,Yitro,Jethro,יתרו,17,,,,יתרו,,biblical person,
Education,Chabura,,,17,group of people,,,,#N/A,#N/A,
Food,Maror,,מרור,17,,,,מרור,maror,food,
Holidays,Mikrah Megillah,,מקרא מגילה,17,halachic process,,,,#N/A,#N/A,
Holidays,Tu B'av,Tu B'Av,"ט""ו באב",17,,,,חמשה עשר באב,15th of Av,day,
Medicine,Mental Health,,,17,quality,,,,#N/A,#N/A,
Philosophy,Monotheism,,מונותאיזם,17,,,,אלקים יחוד,Oneness of HaShem,theological tenet,
Prayer,Kabbalat Shabbat,,קבלת שבת,17,halachic process,,,,#N/A,#N/A,
Religion,Bikkurim,,ביכורים,17,,,,בכורים,first fruits,halachic role of inanimate object,
Religion,Miracle,,נס,17,,,,נס אות,miracle/sign,process,
Religion,Rebbe,,הרבי,17,modern person,,,,#N/A,#N/A,
Religion,Shekhinah,,שכינה,17,,,,שכינה,divine presence/revelation,spiritual entity,
Science,Wilderness,,מדבר,17,,,,מדבר,desert,geographic feature,
Society,Birth,,הולדת,17,,,,לידה,giving birth,lifecycle process,
Society,Census,,מפקד,17,,,,מנין,census/count,process,
Society,Civil Rights,,זכויות אזרח,17,freedom,,,,#N/A,#N/A,
Society,White Supremecy,,עליונות הלבן,17,ethic,,,,#N/A,#N/A,
Texts,Makkot,,מכות,17,source,,,,#N/A,#N/A,
Texts,Nezikin,,,17,,,,נזיקין,damages,halachic process,
Torah Portions,Emor,Parashat Emor,אמור,17,source,,,,#N/A,#N/A,
Torah Portions,Ki Tavo,Parashat Ki Tavo,כי תבוא,17,source,,,,#N/A,#N/A,
Torah Portions,Parashat Chaye Sarah,Parashat Chayei Sarah,חיי שרה,17,source,,,,#N/A,#N/A,
Torah Portions,Parashat Metzorah,Parashat Metzora,מצורע,17,source,,,,#N/A,#N/A,
Torah Portions,Parashat Tetzaveh,,תצוה,17,source,,,,#N/A,#N/A,
Torah Portions,Parashat Vayakhel,,ויקהל,17,source,,,,#N/A,#N/A,
Authors,עמנואל לוינס פילוסוף,Emmanuel Levinas,,16,modern person,,,,#N/A,#N/A,
Bible,Eicha,,,16,,,,איכה,,biblical source,
Bible,Ladder,,,16,inanimate object,,,,#N/A,#N/A,
Bible,Plague,,מגפה,16,,,,מגפה,plague,process,
Education,Demo,,הדגמה,16,,,,,#N/A,#N/A,
Holidays,Four Questions,,ארבע קושיות,16,source,,,,#N/A,#N/A,
Holidays,Hanukah,Chanukah,חנוכה,16,,,,חנכה,chanukah,rabbinic holiday,
Holidays,Shavous,Shavuot,שבועות,16,,,,שבועות,,pilgrimage festival,
Medicine,Midwives,,מיילדות,16,,,,מילדת,midwife,occupation,
Philosophy,Impermanence,,ארעיות,16,quality,,,,#N/A,#N/A,
Philosophy,Meaning,,משמעות,16,philosophy,,,,#N/A,#N/A,
Philosophy,Pleasure,,הנאה,16,,,,הנאה,benefit,process,
Philosophy,Nazir,Nazir,פרשת נזיר,16,source,,,,#N/A,#N/A,
Prayer,Mourner's Kaddish,,קדיש יתום,16,source,,,,#N/A,#N/A,
Prayer,Tefilah,Tefilla,תפילה,16,,,,תפלה,prayer,theological process,
Religion,Conservative Judaism,,יהדות קונסרבטיבית,16,theology,,,,#N/A,#N/A,
Religion,Priests,,כמרים,16,role of person,,,,#N/A,#N/A,
Religion,Rabbinic Judaism,,יהדות רבנית,16,theology,,,,#N/A,#N/A,
Ritual Objects,Red Heifer,Parah Adumah,פרה אדומה,16,,,,פרה אדומה,the red heifer,halachic quality,
Science,Fertility,,פוריות,16,,,,עקר עקרה,infertile,quality,
Society,Crowdsourcing,,,16,process,,,,#N/A,#N/A,
Society,Deception,,הונאה,16,,,,כזב,deceit,quality,
Society,Diversity,,גיוון,16,quality,,,,#N/A,#N/A,
Society,Gentiles,Gentile,גוי,16,,,,נכרי,foreigner (non-Jew),quality,
Society,Property,,,16,,,,קנין,transaction/ownership,halachic process,
Society,Tattoos,,קעקועים,16,,,,כתובת קעקע,tattoo,halachic process,
Society,Witnesses,,עדים,16,,,,עדות,testimony,process,
Society,Woman,Women,נשים,16,,,,אשה,woman,quality,
Texts,Talmud,Talmud,תלמוד,16,,,,תלמוד,talmud,source,
Torah Portions,Parashat Vayetze,Parashat Vayeitzey,ויצא,16,source,,,,#N/A,#N/A,
Torah Portions,Terumah,Parashat Terumah,תרומה,16,source,,,,#N/A,#N/A,
Torah Portions,Vaetchanan,Parashat Va'etchanan,ואתחנן,16,source,,,,#N/A,#N/A,
Torah Portions,Vayera,Parashat Vayera,וירא,16,source,,,,#N/A,#N/A,
Arts,Leonard Cohen,,לאונרד כהן,15,modern person,,,,#N/A,#N/A,
Arts,"המחזה ""שיער""",Hair (Musical),,15,,,,,#N/A,#N/A,
Authors,Alicia Jo Rabins,,,15,modern person,,,,#N/A,#N/A,
Bible,Balaam,,בלעם,15,,,,בלעם,,biblical person,
Bible,Book of Esther,,מגילת אסתר,15,source,,,,#N/A,#N/A,
Bible,Gan Eden,,גן עדן,15,,,,גן עדן,,spiritual site,
Bible,Hineini,,,15,phrase,,,,#N/A,#N/A,
Bible,Megillat Ruth,,מגילת רות,15,,,,רות,,biblical person,
Bible,Scouts Spies Bamidbar Wilderness Faith Trust Punishment Forty Years,,,15,,,,,#N/A,#N/A,
Education,Group Project,,,15,process,,,,#N/A,#N/A,
Education,Kolech 2015,,,15,,,,,#N/A,#N/A,
Folklore,Ghosts,,שדים,15,,,,שד,demon/harmful spirit,spiritual entity,
History,Martin Luther King,,מרטין לות'ר קינג,15,modern person,,,,#N/A,#N/A,
History,Yannai,,ינאי,15,,,,ינאי,,mishnaic person,
Law,10 Commandments,Ten Commandments,עשרת הדיברות,15,,,,עשרת הדברות,ten commandments ,theology,
Law,Circumcision,,ברית מילה,15,,,,מילה,bris milah,halachic process,
Law,Laws,,,15,law,yes,,,#N/A,#N/A,
Philosophy,Acher,,,15,,,,אחר אלישע בן אבויה,,mishnaic person,
Philosophy,Doubt,,ספק,15,,,,ספק,doubt,quality,
Philosophy,Emet,,אמת,15,,,,אמת,truth,quality,
Philosophy,Meditation,,מדיטציה,15,theological process,,,,#N/A,#N/A,
Philosophy,Questions,,שאלות,15,,,,שאל שאלה,question,process,
Philosophy,Trust,,בטחון,15,,,,בטחון,trust,process,
Prayer,Aleinu,,עלינו,15,source,,,,#N/A,#N/A,
Prayer,Hashkiveinu,,השכיבנו,15,source,,,,#N/A,#N/A,
Prayer,Lecha Dodi,,לכה דודי,15,source,,,,#N/A,#N/A,
Prayer,Motzi,,מוציא,15,halachic process,,,,#N/A,#N/A,
Prayer,Selichot,,סליחות,15,source,,,,#N/A,#N/A,
Prayer,T'filah,,תפילה,15,,,,תפלה,prayer,theological process,
Religion,Acceptance of Mitzvot,Kabbalat Mitzvot,קבלת מצוות,15,theological process,,,,#N/A,#N/A,
Religion,Angel,,מלאך,15,,,,מלאך,angel/messenger,spiritual entity,
Religion,Curses,,קללות,15,,,,קללה,curse,process,
Religion,Divine Image,Image of God,צלם אלוקים,15,,,,אדם צלם אלקים,man representing the Divine,theology,
Religion,Gehenna,Gehinnom,גהינום,15,,,,גיהנם,hell,spiritual site,
Religion,Gilgul,,גילגול,15,,,,גלגול,reincarnation,theology,
Religion,Jewish Mysticism,,מיסטיקה יהודית,15,,,,קבלה,tradition,process,
Religion,Righteous,,צדיק,15,,,,צדיק,righteous person,quality,
Religion,Righteousness,,צדק,15,,,,צדק,justice,halachic process,
Religion,Sephirot,,ספירות,15,,,,ספירות,sefiros,theology,
Religion,Tisch,,טיש,15,theological process,,,,#N/A,#N/A,
Religion,Acceptance of Mitzvot,Kabbalat Mitzvot,קבלת מצות,15,theological process,,,,#N/A,#N/A,
Science,Plants,Plants & Trees,,15,,,,צמח,plant/growth,living creature,
Science,Tree,Plants & Trees,עץ,15,,,,אילן,tree,plant,
Society,#Metoo,#MeToo,#גםאני,15,phrase,,,,#N/A,#N/A,
Society,Burial,,קבורה,15,,,,קבורה,burial,halachic process,
Society,Drugs,,סמים,15,inanimate object,,,,#N/A,#N/A,
Society,LGBTQA,,"להט""בקא",15,disposition,,,,#N/A,#N/A,
Society,Marijuana,,מריחואנה,15,plant,,,,#N/A,#N/A,
Society,Murder,,רצח,15,,,,שפיכות דמים,murder,halachic process,
Society,Neighbors,,שכנים,15,,,,שכן,neighbor,role of person,
Society,Political Theory,,תיאוריה פוליטית,15,philosophy,,,,#N/A,#N/A,
Society,Rivals,,יריבים,15,role of person,,,,#N/A,#N/A,
Society,Service,,שרות,15,ethic,,,,#N/A,#N/A,
Society,Siblings,,אחים,15,,,,אח אחות,brother/sister,family role,
Society,Sotah,,סוטה,15,,,,סוטה,accused woman,halachic role of person,
Society,V'ahavta,,ואהבת,15,phrase,,,,#N/A,#N/A,
Texts,Halakhah,,הלכה,15,halacha,yes,,,#N/A,#N/A,
Torah Portions,Yitro,Parashat Yitro,פרשת יתרו,15,source,,,,#N/A,#N/A,
Authors,Rabbi Daniel Goldfarb,,הרב דניאל גולדפרב,14,modern person,,,,#N/A,#N/A,
Authors,Rabbi Gail Diamond,,הרב גייל דיאמונד,14,modern person,,,,#N/A,#N/A,
Bible,Book of Ruth,,ספר רות,14,source,,,,#N/A,#N/A,
Bible,Elijah,,אליהו,14,,,,אליהו,,biblical person,
Bible,Mei Merivah,,מי מריבה,14,,,,מי מריבה,waters of contention,biblical historical event,
Bible,Meribah,,מריבה,14,,,,מי מריבה,waters of contention,biblical historical event,
Bible,Moshe and Aharon's Real Sin,,החטא האמיתי של משה ואהרן,14,,,,,#N/A,#N/A,
Bible,Zechariah,,זכריה,14,,,,זכריה בית שני,,biblical person,
Bible,Jeremiah,Jeremiah,ירמיהו,14,,,,ירמיה,,biblical person,
Education,Introduction to Talmud,,,14,,,,,#N/A,#N/A,
Food,Fruit,,פרי,14,,,,פרי,fruit,plant,
History,1967,,,14,,,,,#N/A,#N/A,
Holidays,Pesah,Passover,פסח,14,,,,פסח,pesach,pilgrimage festival,
Law,Fast,,תענית,14,,,,תענית,fast day,day,
Law,Oral Torah,,תורה שבעל פה,14,source,,yes,תורה שבכתב ושבעל פה,written and oral Torah,source,
Law,Rest,,מנוחה,14,,,,מנוחה,rest,process,
Medicine,Sleep,,שינה,14,,,,שינה,sleep,process,
Philosophy,Courage,,אומץ,14,,,,אמץ,to stay strong,process,
Philosophy,Hardening of the Heart,,הקשחת הלב,14,process,,,,#N/A,#N/A,
Philosophy,Presence,,נוכחות,14,quality,,,,#N/A,#N/A,
Philosophy,Protection,,הגנה,14,process,,,,#N/A,#N/A,
Philosophy,Seeing,,ראיה,14,,,,ראה ראיה,see,process,
Prayer,Kedusha,Kedushah,קדושה,14,,,,תפלה קדושה קדיש,kedushah and kaddish,source,
Religion,Belief,,אמונה,14,,,,אמונה,faith/belief,character trait,
Religion,Chabad,,,14,halachic role of person,,,,#N/A,#N/A,
Religion,Chanukkah Miracle,,,14,,,,חנכה,chanukah,rabbinic holiday,
Religion,Hiddur Mitzvah,,הדור מצוה,14,meta halacha,,,,#N/A,#N/A,
Religion,Kabbalat Mitzvot,,קבלת מצוות,14,theological process,,,,#N/A,#N/A,
Religion,Lilith,,,14,,,,לילית,,spiritual entity,
Religion,Neshama,,נשמה,14,,,,נשמה,soul,spiritual entity,
Religion,Religion,,דת,14,,,,דת,law/belief system,generically dependent continuant,
Religion,Spiritual Journey,,מסע רוחני,14,theological process,,,,#N/A,#N/A,
Religion,Yahrzeit,,,14,halachic role,,,,#N/A,#N/A,up to here
Religion,Zachor,,זכור,14,source,,,,#N/A,#N/A,
Ritual Objects,Mezuzah,,מזוזה,14,,,,מזוזה,,inanimate object,
Ritual Objects,Tablets,,לוחות,14,,,,לוחות,the tablets,inanimate object,
Ritual Objects,The Tablets,,הלוחות,14,,,,לוחות,the tablets,inanimate object,
Science,Midbar,,מדבר,14,,,,מדבר,desert,geographic feature,
Society,Chessed,Chesed,גמילות חסדים,14,,,,גמילות חסד,doing kindness,halachic process,
Society,Child Raising,,גידול ילדים,14,,,,חנוך אב ובן,chinuch,process,
Society,Cities of Refuge,,ערי מקלט,14,,,,עיר מקלט,refuge city,geographic site,
Society,Communal Responsibility,,אחריות קהילתית,14,,,,ערבות,inter-responsibility/co-sign,quality,
Society,Gun Violence,,אלימות נשק,14,process,,,,#N/A,#N/A,
Society,Humans,,בני אנוש,14,,,,אדם,man,material quality,
Society,Interfaith,,בין-דתי,14,quality,,,,#N/A,#N/A,
Society,Modernity,,מודרניות,14,quality,,,,#N/A,#N/A,
Society,Ownership,,בעלות,14,,,,בעל,master,role of person,
Society,Welcoming,,סבר פנים,14,character trait,,,,#N/A,#N/A,
Society,Converts,Converts,גר,14,,,,גר,foreigner/convert,halachic role of person,
Torah Portions,Naso,Parashat Naso,נשא,14,source,,,,#N/A,#N/A,
Authors,Baal Shem Tov,,הבעל שם טוב,13,modern person,,,,#N/A,#N/A,
Authors,Buber,,בובר,13,modern person,,,,#N/A,#N/A,
Authors,Maharal,,"מהר""ל מפראג",13,modern person,,,,#N/A,#N/A,
Authors,Rabbi Shlomo Zacharow,,רבי שלמה זכרו,13,modern person,,,,#N/A,#N/A,
Bible,Esther Purim,,אסתר פורים,13,,,,פורים,purim,rabbinic holiday,
Bible,Garden of Eden,Gan Eden,גן עדן,13,,,,גן עדן,,spiritual site,
Bible,Kohelet,,קהלת,13,,,,קהלת,,biblical source,
Calendar,Adar,,אדר,13,,,,אדר,month of Adar,month,
Education,Basic Talmud,,,13,,,,,#N/A,#N/A,
Folklore,Golem,,גולם,13,theological process,,,,#N/A,#N/A,
Food,Meat,,בשרי,13,quality,,,,#N/A,#N/A,
Holidays,Halloween,,ליל כל הקדושים,13,,,,,#N/A,#N/A,
Israel,Zion,,ציון,13,,,,ציון,zion,geographic site,
Language,German,,גרמנית,13,language,,,,#N/A,#N/A,
Law,Capital Punishment,,עונש מוות,13,,,,מיתת בית דין,capital punishment,halachic process,
Law,Judgment,Judgement,פסק דין,13,,,,דין,judgement,process,
Literature,Famous Quotes,,ציטוטים מפורסמים,13,,,,,#N/A,#N/A,
Philosophy,Appreciation,,הוקרה,13,,,,הכרת טובה,being grateful,process,
Philosophy,Comfort,,נוחות,13,,,,נוח,nice/convenient,quality,
Philosophy,Knowing,,ידיעה,13,,,,ידיעה,knowledge,disposition,
Prayer,Birkat Hamazon,Birkat HaMazon,ברכת המזון,13,,,,ברכת המזון,blessing after meal,halachic process,
Prayer,Mah Tovu,Ma Tovu,מה טובו,13,source,,,,#N/A,#N/A,
Prayer,Sheva Brachot,,שבע ברכות,13,halachic process,,,,#N/A,#N/A,
Prayer,Shmoneh Esreh,,,13,,,,תפלה שמונה עשרה,shmoneh esrei prayer,source,
Prayer,Vidui,,,13,,,,וידוי,confession,halachic process,
Religion,Avodat Hashem,,עבודת ה',13,,,,עבודת ה,serving HaShem,theological process,
Religion,Blood,,דם,13,inanimate object,,,,#N/A,#N/A,
Religion,Heretics,,כופרים,13,,,,כפירה,heresy/denial,theological process,
Religion,Satan,,שטן,13,,,,שטן,,spiritual entity,
Ritual Objects,Chanukiya,Menorah,מנורה,13,,,,מנורה,candelabra,inanimate object,
Ritual Objects,Construction,,בניה,13,,,,בנה בנין,build,process,
Science,Climate Change,,שינוי אקלים,13,process,,,,#N/A,#N/A,
Society,Bullying,,הצקה,13,process,,,,#N/A,#N/A,
Society,Business,,עסק,13,,,,סחר סחורה,travel around/do business,process,
Society,Dating,,הכרויות,13,process,,,,#N/A,#N/A,
Society,Deceit,,תרמית,13,,,,כזב,deceit,quality,
Society,Hate,,שנאה,13,,,,שנאה שונא,hatred/dislike,emotion,
Society,Independence,,עצמאות,13,quality,,,,#N/A,#N/A,
Society,Jewish Values,,ערכים יהודיים,13,,,,יהדות,Judaism,theology,
Society,Liberation,,שחרור,13,process,,yes,חרות,freedom,freedom,
Society,Mesorah,,מסורה,13,,,,מסורת,tradition,process,
Society,Migrants,,,13,role of person,,,,#N/A,#N/A,
Society,Personal Responsibility,,,13,ethic,,,,#N/A,#N/A,
Society,Tradition,,מסורת,13,,,,מסורת,tradition,process,
Society,Work,,עבודה,13,,,,עבודה פעולה,working,process,
Texts,Avot,Pirkei Avot,אבות,13,source,,,,#N/A,#N/A,
Texts,Pesachim,,פסחים,13,source,,,,#N/A,#N/A,
Torah Portions,Behar,Parashat Behar,בהר,13,source,,,,#N/A,#N/A,
Torah Portions,Haazinu,Parashat Ha'azinu,האזינו,13,source,,,,#N/A,#N/A,
Torah Portions,Tzav,Parashat Tzav,צו,13,source,,,,#N/A,#N/A,
Torah Portions,Vayetze,Parashat Vayetze,ויצא,13,source,,,,#N/A,#N/A,
Authors,Rabbi Akiva,Rabbi Akiva,רבי עקיבא,12,,,,רבי עקיבא,,mishnaic person,
Bible,Abel,,הבל,12,,,,הבל,,biblical person,
Bible,Benjamin,,בנימין,12,,,,בנימין,,biblical person,
Bible,Biblical Criticism,,ביקורת המקרא,12,,,,,#N/A,#N/A,
Bible,Moab,,מואב,12,,,,מואב,,nation/ethnicity,
Bible,Na'aseh V'nishmah,Naaseh Ve'nishma,נעשה ונשמע,12,,,,נעשה ונשמע,"""we will do and listen/learn""",phrase,
Bible,Serach Bat Asher,,סרח בת אשר,12,,,,סרח,,biblical person,
Bible,Yirmiyahu,Jeremiah,ירמיהו,12,,,,ירמיה,,biblical person,
Folklore,Wizardry,,אשפות,12,,,,כשוף,sorcery,halachic process,
Food,Milk,,חלב,12,,,,חלב,milk,food,
Geography,Makom,Place,מקום,12,,,,מקום,place/space,quality,
Holidays,Fast Day,,תעניות,12,,,,תענית,fast day,day,
Holidays,High Holy Days,High Holidays,ימים נוראים,12,holiday,,,,#N/A,#N/A,
Holidays,Tu B'Shvat,Tu BiShvat,"ט""ו בשבט",12,,,,חמשה עשר בשבט,15th of Shvat,day,
Israel,Aliyah,,עלייה,12,halachic process,,,,#N/A,#N/A,
Israel,Israel,Eretz Yisrael,ארץ ישראל,12,,,,ארץ ישראל,land of Israel,geographic site,
Language,Hebrew,,עברית,12,,,,לשון הקודש,,language,
Law,Bikkur Cholim,,,12,,,,בקור חולים,taking care of sick,halachic process,
Law,Contemporary Issues in Halakha,,סוגיות בנות זמננו בהלכה,12,,,,,#N/A,#N/A,
Law,Gerut,,גרות,12,halachic process,,yes,גר,foreigner/convert,halachic role of person,
Law,Kol Isha,,קול אישה,12,halachic quality,,,,#N/A,#N/A,
Medicine,Organ Donation,,תרומת איברים,12,halachic process,,,,#N/A,#N/A,
Philosophy,Breslov,,ברסלב,12,halachic role of person,,,,#N/A,#N/A,
Philosophy,Curiosity,,סקרנות,12,,,,סקרנות,curiosity,character trait,
Philosophy,Elisha Ben Abuya,,אלישע בן אבויה,12,,,,אלישע בן אבויה,,mishnaic person,
Philosophy,Gemillut Chassadim,,גמילות חסידים,12,,,,גמילות חסד,doing kindness,halachic process,
Philosophy,Good,,טוב,12,,,,טוב טובה,good,quality,
Philosophy,Maaseh Avot Siman Lebanim,,,12,,,,אבות מעשה אבות סימן לבנים,,theology,
Philosophy,Olam HaBa,Olam Haba,עולם הבא,12,,,,עולם הבא,the world or era to come,theology,
Philosophy,Perspective,,פרספקטיבה,12,realizable entity,,yes,דעת,mind/awareness,knowledge,
Philosophy,Shalom Bayit,,שלום בית,12,quality,,,,#N/A,#N/A,
Philosophy,Tragedy,,,12,,,,צרה,hardship,process,
Philosophy,Wonder,,פלא,12,,,,פלא אות,wonder/sign/something explicit/transcendent,process,
Prayer,Sh'ma,Shema,שמע,12,,,,קריאת שמע,saying shma,halachic process,
Religion,Atonement,,כפרה,12,,,,כפרה,atonement,theology,
Religion,Tzimtzum,,צמצום,12,,,,צמצום,,theology,
Ritual Objects,Costumes,,תחפושות,12,inanimate object,,,,#N/A,#N/A,
Ritual Objects,Kippah,,כיפה,12,halachic role of inanimate object,,yes,כסוי הראש,head covering,halachic role of inanimate object,
Ritual Objects,Matza,Matzah,מצה,12,,,,מצה,unleavened bread,halachic role of inanimate object,
Science,Archaeology,,ארכיאולוגיה,12,science,,,,#N/A,#N/A,
Society,Asylum,,מקלט,12,quality,,,,#N/A,#N/A,
Society,College,,מכללה,12,site,,,,#N/A,#N/A,
Society,Generosity,,נדיבות,12,,,,נדיבות,generosity/goodwill,character trait,
Society,Good Deeds,,,12,,,,מעשים טובים,acts of goodness,process,
Society,Gun Safety,,בטיחות נשק,12,ethic,,,,#N/A,#N/A,
Society,Influence,,השפעה,12,process,,,,#N/A,#N/A,
Society,Mensch,,,12,role of person,,,,#N/A,#N/A,
Society,Neighbor,,,12,,,,שכן,neighbor,role of person,
Society,Thank You,,,12,,,,הכרת טובה,being grateful,process,
Society,Visiting the Sick,,ביקור חולים,12,,,,בקור חולים,taking care of sick,halachic process,
Society,Welcome,,ברוך הבא,12,phrase,,,,#N/A,#N/A,
Society,Wives,,נשים,12,,,,אשה,woman,quality,
Texts,Metzora,,מצורע,12,source,,,,#N/A,#N/A,
Texts,Miketz,Parshat Miketz,מקץ,12,source,,,,#N/A,#N/A,
Texts,Sota,Sotah,סוטה,12,source,,,,#N/A,#N/A,
Texts,Zohar,Zohar,זוהר,12,source,,,,#N/A,#N/A,
Torah Portions,Parashat V'zot Habrachah,,וזאת הברכה,12,source,,,,#N/A,#N/A,
Torah Portions,Tetzaveh,Parashat Tetzaveh,תצוה,12,source,,,,#N/A,#N/A,
Authors,Rabbi,,רב,11,role of person,,,,#N/A,#N/A,
Authors,Ramban,,"רמב""ן",11,rishon person,,,,#N/A,#N/A,
Authors,Rebbe Nachman,,רבי נחמן,11,modern person,,,,#N/A,#N/A,
Authors,Soloveitchik,,סולובייצ'יק,11,modern person,,,,#N/A,#N/A,
Bible,Akedah,,,11,,,,עקדה,binding of yitzchak,biblical historical event,
Bible,Bavel,,בבל,11,,,,בבל,,nation/ethnicity,
Bible,Bilam,Balaam,בלעם,11,,,,בלעם,,biblical person,
Bible,Binding of Isaac,Akedah,עקדת יצחק,11,,,,עקדה,binding of yitzchak,biblical historical event,
Bible,Esav,Esau,עשיו,11,,,,עשו,,biblical person,
Bible,Samson,,שמשון,11,,,,שמשון,,biblical person,
Bible,Sheol,,שאול,11,,,,שאול גיהנם,the grave/descent after death,spiritual site,
Bible,Tree of Life,,עץ החיים,11,,,,עץ החיים,tree of life,spiritual entity,
Bible,Yitzchak,Isaac,יצחק,11,,,,יצחק,,biblical person,
Education,Exam,,,11,,,,,#N/A,#N/A,
Education,Natan Salon,,סלון נתן,11,,,,,#N/A,#N/A,
Education,Sefaria,,,11,,,,,#N/A,#N/A,
Education,Steinsaltz,,ביאור שטיינזלץ,11,,,,,#N/A,#N/A,
Education,Text & Context,,טקסט והקשר,11,,,,,#N/A,#N/A,
Education,Yachad,,,11,,,,,#N/A,#N/A,
Folklore,Witch,,מכשפה,11,,,,מכשף מכשפה,sorcerer,role of person,
Holidays,Rosh Hodesh,Rosh Chodesh,ראש חודש,11,holiday,,,,#N/A,#N/A,
Holidays,Sefirat Haomer,,ספירת העומר,11,,,,עומר ספירת,counting the omer,halachic process,
Holidays,Slichot,,סליחות,11,source,,,,#N/A,#N/A,
Holidays,Tammuz,,תמוז,11,,,,תמוז,month of tamuz/type of idolatry,month,
Holidays,Tzom Gedaliah,,צום גדליה,11,fast day,,,,#N/A,#N/A,
Language,Writing,,כתיבה,11,,,,כתב כתיבה,writing,process,
Law,Ketubah,,כתובה,11,,,,כתובה,marriage document,source,
Law,Minyan,,מניין,11,halachic role,,,,#N/A,#N/A,
Law,Partnership With God,,,11,theological process,,,,#N/A,#N/A,
Law,Zman,,זמן,11,moment in time,,,,#N/A,#N/A,
Medicine,Puberty,,גיל ההתבגרות,11,lifecycle process,,,,#N/A,#N/A,
Philosophy,Desire,,תשוקה,11,,,,תשוקה,desire/yearning,emotion,
Philosophy,Determinism,,דטרמיניזם,11,philosophy,,,,#N/A,#N/A,
Philosophy,Empathy,,אמפתיה,11,character trait,,,,#N/A,#N/A,
Philosophy,Hell,,גיהנום,11,,,,גיהנם,hell,spiritual site,
Philosophy,Jewish Renewal,,התחדשות יהודית,11,,,,,#N/A,#N/A,
Philosophy,Renewal,,התחדשות,11,,,,התחדשות,renewal,process,
Philosophy,The Other,Elisha Ben Abuya,אלישע בן אבויה,11,,,,אלישע בן אבויה,,mishnaic person,
Philosophy,Waiting,,המתנה,11,,,,השתאה,wait,process,
Philosophy,Welcoming the Stranger,,קבלת נוכרים,11,process,,,,#N/A,#N/A,
Philosophy,Humor,,הומור,11,,,,בדיחות,laughter/joke,process,
Prayer,Kriyat Shema,,קריאת שמע,11,,,,קריאת שמע,saying shma,halachic process,
Prayer,Niggun,,ניגון,11,,,,נגן נגינה,playing music,musical process,
Prayer,Intention,Kavanah,כוונה,11,,,,כוונה,intention,process,
Prayer,Amidah,Shmoneh Esreh,שמונה עשרה,11,,,,תפלה שמונה עשרה,shmoneh esrei prayer,source,
Ritual Objects,Mikveh,Mikvah,מקווה,11,,,,מקוה,collection of water/mikveh,halachic role of inanimate object,
Ritual Objects,Shamash,,שמש,11,halachic role of person,,,,#N/A,#N/A,
Science,Energy,,אנרגיה,11,inanimate object,,,,#N/A,#N/A,
Science,Night,,לילה,11,,,,לילה,night,part of a day,
Science,Procreation,,,11,lifecycle process,,,,#N/A,#N/A,
Society,Adulthood,,בגרות,11,lifecycle process,,,,#N/A,#N/A,
Society,Disaster Response,,,11,process,,,,#N/A,#N/A,
Society,Home,,בית,11,,,,בית,house,structure,
Society,Husbands,,בעלים,11,role of person,,yes,אדם וביתו,man and his family,relationship,
Society,Innovation,,חדשנות,11,process,,yes,התחדשות,renewal,process,
Society,Loneliness,,בדידות,11,emotion,,,,#N/A,#N/A,
Society,Matan,,נתינה,11,,,,,#N/A,#N/A,
Society,Public Protest,,מחאה ציבורית,11,,,,מחאה,protest,process,
Society,Transgender Theology,,תיאולוגיה טרנסג'נדרית,11,,,,,#N/A,#N/A,
Texts,Aggada,Aggadah,אגדה,11,,,,אגדה,"midrash, homily",source,
Texts,Baba Metzia,Bava Metzia,בבא מציעא,11,source,,,,#N/A,#N/A,
Texts,Haftarah,,הפטרה,11,,,,הפטרה,haftarah,biblical source,
Texts,Tosefta,,תוספתא,11,,,,תוספתא,tosefta,source,
Texts,Writings,,כתובים,11,source,,,,#N/A,#N/A,
Texts,Kabbalah,Kabbalah,קבלה,11,,,,קבלה,tradition,process,
Torah Portions,Ekev,Parashat Eikev,עקב,11,source,,,,#N/A,#N/A,
Torah Portions,Parashat Matot,,מטות,11,source,,,,#N/A,#N/A,
Torah Portions,Parashat Vaera,,וארא,11,source,,,,#N/A,#N/A,
Torah Portions,Shemini,Parashat Shemini,שמיני,11,source,,,,#N/A,#N/A,
