Index Title,Penei Yehoshua on Makkot
Penei Yehoshua on Makkot 16a:2,"הג""ה מבן המחבר וזאת ליהודא מדבר"
Penei Yehoshua on Makkot 16a:3,"אבא מזכה ברא וברא מזכה אבא ואבאר דבריו בעז""ה בזה בתכלית הביאור. דלכאורה אכתי תיקשי בזה אדברי הרמב""ם ז""ל בפירוש המשנה מהא דאמרינן בחולין בפרק שילוח הקן אמתניתין דהנוטל אם על הבנים ר""י אומר כו' ואמרינן שם בגמרא דאמר ר""ז דברייתא דהגנב וגזלן משבשתא ואמינא ליישב דלמסקנא ע""כ לאו משבשתא כיון דבברייתא מפרש דברי ר""י משמע דרבנן ס""ל דלוקה דהא במתניתין אמרי רבנן זה הכלל כל מצות לא תעשה שיש בה קום עשה אין לוקין. ונראה לי דטעמא דר""ז ס""ל אליבא דר""י דתני אינו לוקה משום דקי""ל לאו הניתן לתשלומין אין לוקין וכדאמרינן להדיא בסוגית הש""ס דפ""ג דמכות וכ""כ הרמב""ם ז""ל שם בפירוש המשנה בדרך כלל וכ""כ בחיבורו (בפי""ח מהל' סנהדרין ה""ב) וס""ל לר""ז טעמא דאין לוקין בלאו הניתן לתשלומין משום דס""ל כעולא דכל היכא דאיכא ממונא ומלקות ממונא משלם מילקא לא לקי כדאיתא בסוגיא דפ""ג דכתובות ורבנן דר""י הוא ר""מ דס""ל לוקה ומשלם ומהאי טעמא ס""ל דע""כ דברייתא אתי שפיר אליבא דר""י דפליג אדר""מ בהא דס""ל לוקה ומשלם וע""כ דאינו לוקה כיון דניתן לתשלומין ולפי""ז למ""ש הרמב""ם ז""ל שפסק להדיא כר' יוחנן דס""ל כל היכא דאיכא ממון ומלקות מילקא לקי ממונא לא משלם ע""כ דלאו טעמא דר""י דאינו לוקה משום דניתן לתשלומין דאדרבה הו""ל למימר דלקי אלא ע""כ דלמסקנא ליכא למימר דהיינו טעמא דלאו הניתן לתשלומין אינו לוקה משום דהו""ל שתי רשעיות דאדרבא איכא מלקות אלא ע""כ דהיינו טעמא דאינו לוקה משום דאכתי לא ביטל את העשה דיכול לקיים השבה בתשלומין אף בששרפו את הגזילה או המשכון וכמ""ש התוס' בפ""ג דמכות (דף ט""ז ע""א) ד""ה התם איתא בתשלומין וכו' וז""ל כששרפו וחייב ממון הלכך לא משכחת ליה בטלו דכל אימת דיש לו ממון לא ילקה עכ""ל וממילא דלשיטת הרמב""ם אי אפשר לומר דמשבשתא ובאמת תמיה גדולה ונפלאה על הכ""מ ז""ל שם (בפי""ח מהל' סנהדרין ה""ב) שהניח דברי הרמב""ם ז""ל מ""ש דלאו הניתן לתשלומין אינו לוקה בצ""ע אליבא דר""י דס""ל מילקא לקי ולא אוכל לירד לסוף דעתו דנעלם ממנו דברי התוס' שם דסוגית הש""ס שם אליבא דר""י דס""ל ביטלו ולא ביטלו וע""כ לא הוי טעמא משום שתי רשעיות אלא דאפילו אי ס""ל לר""ז ג""כ הך טעמא במסקנא אפ""ה אתי שפיר דדוקא ר""ז לשיטתיה הוא דקאמר דמצינן למימר דהא משבשתא דדילמא אינו בכלל מלקות קאמר ר' יהודה והא דתני דברי ר' יהודה דמשמע דרבנן סבירא להו דלוקה דהא תני במתני' זה הכלל היינו דלרבנן משכחת לה אליבא דרב""י דסבירא ליה לכו""ע דאם ביטל העשה לוקה ומשכחת ליה בגזילה בגר דאינו מחויב לשלם ולא הוי לאו הניתק לתשלומין וכדאתקיף ליה רבי זירא שם ור""י לא מחלק בהכי וס""ל דבכל גווני אינו לוקה ולא מחלק בין ביטלו ללא ביטלו אלא דכל זה דוקא לר""ז דאתקיף ליה שם דמשכחת ליה בגר שמת ביטלו ולא ס""ל הא דדחי הש""ס פ""ג דמכות שם דט""ז ע""ב דאפ""ה הוה לאו הניתן לתשלומין משום דגברא בר תשלומין ולא משכחת אליבא דרבנן מלקות בגזילה אפילו בגר וע""כ דלאו משבשתא אלא ע""כ דס""ל לר""י דלאו הניתק לעשה לוקה בכל גווני וכתב הרמב""ם ז""ל בפירוש המשנה דטעמא דר""י משום דס""ל לאו הניתק לעשה לוקה למסקנא דלא קי""ל כאתקפתא דר""ז בפ""ג דמכות כן נראה לי נכון ודוק היטב. ואבא מזכה ברא במ""ש דלר""י גזילה לא דמי לנותר וכן שילוח הקן למסקנא דתמורה ולפמ""ש מכל שכן דחמץ דעיקר העשה קודם ללאו דאך ביום ראשון תשביתו דמעיקרא משמע ועיקר העשה שלא יעבור בבל יראה ואפילו בפסח אם דעתו לבערו אינו עובר באותו שהיה והוה עשה קודם ללאו ולכו""ע לוקה וע""כ דהסוגיא דפרק מי שהיה טמא בפסחים (דף צ""ה ע""א) דחמץ דמי לנותר היינו לרבינא דפשיט שילוח הקן מנותר משא""כ לרב אשי ע""כ לא דמי לנותר וכ""ש דחמץ לא דמי לנותר ומיושבת היטב קושית הגאון חכם צבי ז""ל בתשובה (סי' מ""ה) בשם הרב מוהר""ש אבוהב ז""ל שכתב הרמב""ם ז""ל דלוקה אלאו דב""י והקשה שזה נגד סוגית הש""ס דפסחים דף צ""ה דלפמ""ש הרמב""ם ז""ל אזיל לפי שיטתו שכתב בפירוש המשנה אליבא דר""י דלוקה אלאו שניתק לעשה ואף דס""ל בנותר להדיא דאינו לוקה ומדר""י נשמע לרבנן כן נראה לי ברור בס""ד ודוק היטב. ובזה נראה לי לפרש המשך דסוף פירקין לא יטול אדם אם על הבנים אפילו לטהר המצורע ומה מצוה קלה כו' נראה לי דה""פ דבלא""ה קשה מנ""ל למילף לשאר מצות משילוח הקן דאיכא עשה ולא תעשה אלא דלעיל פריך הש""ס למה לי קרא לרבות דאפילו לדבר מצוה חייב בשילוח משלח תשלח דהא איכא עשה ולא תעשה ומשני מר בר ר""א דאיצטריך קרא לנטלה על מנת לשלחה דליכא לא תעשה אלא עשה ואחר דילפינן מקרא דאפילו לטהר המצורע בעי שילוח וע""כ בנטלה על מנת לשלחה דליכא אלא עשה ומוכח שפיר בק""ו לכל מצות עשה דאיכא באריכות ימים כן נראה לי נכון:"
Penei Yehoshua on Makkot 16a:4,"ועוד נראה לי לפרש ברווחא דמילתא דמהאי טעמא לא פריך ר""ז תרי ברייתות דבגנב וגזלן ס""ל לר""י דלוקה ובנותר ס""ל דאין לוקה משום דמצי למימר דלפי סוגית הש""ס דב""מ ר""פ א""נ דאמרינן שם לעבור עליו בשני לאוין לענין כובש שכר שכיר והקשו התוס' שם דילמא לענין גזל עובר עליו בשני לאוין ותי' התוס' משום דבגזל הו""ל לאו הניתק לעשה וליכא מלקות משא""כ בכובש שכר שכיר איכא מלקות ע""ש ואם נימא דלר""י איכא מלקות בגזל ומוקמינן ע""כ לעבור בשני לאוין אגזל ולא הו""ל ניתק לעשה דלא אתי חד עשה ועקר תרי לאוי משא""כ בנותר דליכא אלא חד עשה וכדאמרינן להדיא ברפ""ק דתמורה (דף ד' ע""ב) ומהאי טעמא לא פסיקא ליה לר""ז לאקשויי ברייתא דגנב וגזלן אברייתא דנותר והוכרח ר""ז לומר דליכא פשיטותא דדילמא אינו בכלל מלקות כו' דר""י ס""ל דהו""ל לאו שניתק לעשה ולא מוקמינן תרי לאוי אגזל והא דאמרינן דברי ר""י דילמא דת""ק דר""י ס""ל דאיכא תרי לאוי אגזל ולא אתי חד עשה ועקר תרי לאוי ולפי""ז למסקנא דמוקמינן שם בפ' א""נ תרי לאוי אכובש שכר שכיר ולא מוקמינן תרי לאוי אגזל משום דהו""ל לאו שניתק לעשה וקשה טובא דהא גם בעושק הו""ל ניתק לעשה וכמו שהקשה אחד מן הגדולים למהרש""א ז""ל ע""ש ועיין מה שכתב אמ""ו הגאון ז""ל שם. ולפענ""ד בעז""ה מקום הניחו לי בזה דלענין כובש שכר שכיר אף דהו""ל לאו הניתק לעשה איצטריך יתורא דלעבור עליו בשני לאוין בין למ""ד קיימו ולא קיימו כיון דעובר אלאו דלא תלין ואיכא עשה דביומו תתן שכרו והיכא דעבר היום מבטל העשה ואף למ""ד ביטלו ממש בידים משכחת ליה בגר דליתא בתשלומין וכאתקפתא דר""ז בפ""ג דמכות ועוד דבלא""ה הו""ל כביטל ממש בידים ומש""ה מוקמינן שפיר אכובש שכר שכיר משא""כ בגזל דבכל גוונא איתא בתשלומין לעולם ולא משכחת ליה אפילו לא קיימו וכמ""ש הר""ן ז""ל בשיטת הרי""ף והרמב""ם ז""ל בשמעתין דדוקא בשילוח הקן היכא דמתה מאליה הוא דהו""ל לא קיימו וביטלו הו""ל כששחטו ושפיר כתב הרמב""ם ז""ל לשיטתו דלמסקנא מוכח דלא הוה משבשתא כיון דמוקמינן שני לאוין דוקא אכובש שכר שכיר ולא אגזל וע""כ משום דגזל הו""ל לאו שניתק לעשה וכמש""ל ולא אמרינן דלא אתי חד עשה ועקר תרי לאוי דדוקא בתרי לאוי דסמיכי הוא דאמרינן דומיא דתמורה משא""כ היכא דלא סמיכי לא אמרינן כן וכמ""ש התוספות בפשיטות בפ""ג דמכות (דף ט""ו ע""א) ד""ה תנינא הבא למקדש כו' ומהאי טעמא אי הוה מוקמינן תרי לאוין אגזל לא הוי לקי משום דהו""ל ניתק לעשה ולא שייך למימר דלא קיים דכל ימיו איתא בתשלומין ומש""ה מוקמינן דוקא בכובש שכר שכיר וכמש""ל ולפי""ז שפיר כתב הרמב""ם ז""ל לפי שיטתו דקי""ל דבלא קיימו הו""ל ניתק לעשה כן נראה לי נכון בעז""ה ודוק היטב:"
Penei Yehoshua on Makkot 16a:5,"ובזה נראה לי ליישב ברווחא דמילתא קושית התוספות בשמעתין ד""ה אי כרבנן משלח ואינו לוקה וז""ל הוי מצי למימר דסבר קיימו ולא קיימו הלכך לוקה ומשלח אליבא דרבנן עכ""ל. ולפענ""ד נראה לי ליישב הסוגיא בין לשיטת רש""י ז""ל דגריס אליבא דר""י דס""ל ביטלו ולא ביטלו ור""ל ס""ל קיימו ולא קיימו משום דס""ל התראת ספק לא שמיה התראה ובעינן התראה בשעה שעובר הלאו ומש""ה ס""ל דתליא בלא קיימו והיינו תוך כדי דיבור כשמזהירו בשעה שעובר והו""ל התראת ודאי לר""ל ולשיטת הרי""ף והרמב""ם ז""ל כפי שהביא הר""ן ז""ל בשמעתין וכ""כ הריטב""א ז""ל פ""ג דמכות בשם רבותינו בעלי התוספות ורוב הראשונים ז""ל דגרסי להיפוך דר""י ס""ל קיימו ולא קיימו והיינו שכל ימיו יכול לקיימו ולא משכחת ליה לא קיימו אלא כשמתה האם בשילוח הקן ע""ש והוכרח הר""ן ז""ל לפרש כן לשיטה זו דלא תיקשי אדר""י דאמאי לא משכחת אלא זאת ועוד אחרת דהא משכחת ליה טובא וכמו שהקשו התוספות פ""ג דמכות ותירצו דלר""י דקאמר זאת ועוד אחרת היינו משום דס""ל ביטלו ולא ביטלו וממילא דלפי שיטת הסוברים להיפך דלא כגירסת רש""י ז""ל ותקשי טובא אדר""י דקאמר זאת ועוד אחרת דהא משכחת ליה טובא בלא קיימו אלא ע""כ דס""ל דלא כשיטת רש""י ז""ל אלא דכל אימת דמקיים הו""ל קיימו והו""ל התראת ספק דלא משכחת ליה לא קיימו אלא כשמתה או אבדה האם בשילוח הקן כמ""ש הר""ן ז""ל ומהאי טעמא הוכרח ר""ל דלשיטתו דס""ל התראת ספק לא שמיה התראה לומר ביטלו ולא ביטלו דאז הו""ל התראת ודאי בשעה שמבטל העשה דאי בלא קיימו בכל גווני הו""ל התראת ספק כיון דכל ימיו יכול לקיים העשה ובין לפי שיטת רש""י ז""ל ובין לפי שיטת החולקים אתי שפיר הא דאמרינן במאי קמיפלגי בהתראת ספק קמיפלגי וכמש""ל. ומעתה לפמ""ש הר""ן ז""ל בשמעתין והריטב""א ז""ל בפ""ג דמכות דקי""ל כעובדא דההוא דגזינהו לגפה כו' ונגדיה ר""י ואמר ליה זיל רבי לה גדפיה ושלחה משום דמעשה רב וכתבו ג""כ דבין לפי שיטת רש""י ז""ל ובין לפי שיטת החולקים קי""ל כר""י ולפי""ז ממה נפשך מיושבת קושית התוספות דאי לפי שיטת רש""י ז""ל דלא קיימו היינו תוך כדי דיבור אכתי כיון דקי""ל כר""י דדוקא בביטלו הוא דאינו לוקה היינו כששחטו ואתי שפיר הא דאמרינן אי כרבנן ואי לשיטת החולקים ע""כ לר""י לא משכחת בלא קיימו כי אם שמתה או שאבדה האם המשלח ואף דגזינהו לגפה יכול לקיים וממילא דנמי אתי שפיר הא דאמרינן אי כרבנן וביותר לפמש""ל בביאור דברי הרמב""ם ז""ל בפירוש המשנה שכתב אליבא דר""י דלוקה אלאו שניתק לעשה משום דס""ל דדוקא בביטלו הוא דאינו לוקה כמש""ל או בלא יכול לקיים כלל מיושבת היטב קושית התוספות לכל השיטות ומסוגית הש""ס דב""מ ר""פ א""נ מבואר כשיטת החולקים על גירסת רש""י ז""ל ואין לי להאריך כאן בזה יותר ושם בחידושי חולין אבאר עוד בזה בעז""ה ודוק היטב:"
Penei Yehoshua on Makkot 16a:6,"שם אמר ר' יוחנן אנו אין לנו אלא זאת ועוד אחרת אמר לו ר""א היכא כו' נפק ואשכח דתניא אונס שגירש כו' הניחא למ""ד קיימו כו'. ולכאורה קשה על גירסת הרמב""ם והרי""ף ז""ל שהבאתי לעיל דר' יוחנן ס""ל קיימו ולא קיימו וא""כ מאי מקשה הש""ס הניחא למ""ד הו""ל לשנויי מידי הוא טעמא אלא לר' יוחנן כדמשני הש""ס לעיל בדף הסמוך דאיהו קאמר אנו אין לנו אלא זאת ועוד אחרת. והנראה לענ""ד בזה דהא דקאמר ר' יוחנן אנו אין לנו אלא זאת ועוד אחרת היינו משום דדייק לה מלישנא דמתניתין וברייתא דלעיל דתני קמיה דר' יוחנן דקתני זה הכלל משמע דאיכא נמי מלתא אחריתי מש""ה קאמר ר' יוחנן דלא משכחת ליה אלא האי דשילוח הקן ועוד אחרת וא""כ מקשה הש""ס שפיר הניחא למ""ד דהא למאן דתני ביטלו ולא ביטלו תקשי ליה מתניתין דקתני זה הכלל והיכי משכחת לה ובהאי מסיק הש""ס במסקנא דשפיר משכחת לה בפאה:"
Penei Yehoshua on Makkot 17a:1,"במשנה האוכל ביכורים עד שלא קרא עליהן קדשי קדשים כו' קדשים קלים ומעשר שני חוץ לחומה. נראה הא דקתני בהאי סידרא ואין זה לא כסדר הלאו דלא תוכל דמעשר שני כתיב ברישא דקרא וביכורים דנפקא מתרומת ידך כתיב בסוף ועוד דביכורים ומעשר שני הם מיני תבואה וקדשים ודאי חמירי טפי והנראה בזה דכיון דכל הנך דקתני הכא דלוקה ארישא דמתניתין קאי וכפירש""י והתוס' שם דאלו לאו דוקא ואיכא טובא אלא דלא קתני אלא הנך דאית בהו חידוש א""כ לפי""ז אתי שפיר דביכורים עד שלא קרא איכא חידוש טובא לאפוקי מחכמים בסמוך דקריאה אינה מעכבת בהם משא""כ בקדשי קדשים דליכא חידוש כמו ביכורים דהא איסור דידהו בחוץ לקלעים מפורש בקרא מיהא לאיסור עשה בחצר אהל מועד יאכלוהו אלא דאפ""ה איכא חידוש לענין מלקות דבהכי איירי כל השקלא וטריא בשמעתין וכמו שיבואר ואח""כ נקיט קדשים קלים ומעשר שני דבק""ק נמי איכא חידוש כמבואר לקמן בלשון התוס' משא""כ במעשר שני דעיקר לאו דלא תוכל לאכול בשעריך במעשר שני כתיב מש""ה נקט ליה בסוף כדאמרינן בעלמא כל מידי דאתיא מדרשא חביבא ליה אלא אפ""ה איצטריך לאשמעינן מעשר שני חוץ לחומה למידק מינה דאינו לוקה אלא דוקא שכבר ראו פני חומה דומיא דקדשים קלים דלית ביה לאו אלא לאחר זריקה שראוי לאוכלן לפני ה' אלקיך וא""כ ה""ה למעשר משא""כ באכל מעשר שני בלא פדיון קודם שנכנס לירושלים לא לקי כמימרא דרב אסי אר""י לקמן (דף י""ט ע""ב) כן נראה לי וק""ל:"
Penei Yehoshua on Makkot 17a:2,"שם השובר את העצם בפסח הטהור כו'. נראה דבהא נמי איכא חידוש אע""ג דלאו מפורש הוא אפ""ה כיון דסתם שבירת עצם במזיד ע""י התראה שכיח טובא בעצמות שיש בהם מוח וסד""א דאתי עשה דאכילת קדשים ודחי קמ""ל דלקי והיינו כדאיתא בפסחים (דף פ""ג ע""א) מיתורא דקרא:"
Penei Yehoshua on Makkot 17a:3,"בגמרא אמר רבה בר בר חנה אמר ר' יוחנן זו דברי ר""ע סתימתאה כו'. ופירש""י דהכי שמיע ליה לר' יוחנן דסבר ר""ע קריאה מעכבא. ולענ""ד אין צורך בזה דכיון דבלא""ה מוקמינן לרישא דמתניתין דאלו הן הלוקין כר""ע דחייבי כריתות לוקין וחייבי מיתות אין לוקין מש""ה משמע ליה לר' יוחנן דסיפא נמי ר""ע היא והיינו משום דבשיטת ר""ש אמרה דאמר להדיא דקריאה מעכבא ואמרינן נמי בעלמא דסתימתאה דר""ש היינו אליבא דר""ע:"
Penei Yehoshua on Makkot 17a:4,"שם מאי ר""ש דתניא ותרומת ידך כו' ק""ו ממעשר הקל ביכורים כו' לא כ""ש. ומסקינן לקמן דקרי לאיסור מעשר קל לגבי ביכורים היינו משום דביכורים אסורין לזרים ומעשר מותר לזרים וא""כ בדין הוא דביכורים אסורין חוץ לחומה מק""ו דמעשר ואין להקשות דאכתי מאי ק""ו שייך הכא הא איכא למיפרך תרומה יוכיח דמשום הא לא איריא דמה לתרומה שאין טעונין הבאת מקום ולא וידוי משא""כ ביכורים דטעונין הבאת מקום ווידוי כמו מעשר אפילו לר""ש וכ""ש לרבנן דביכורים דמי למעשר נמי לענין ביעור ולענין טומאת עצמן ולענין אונן א""כ שפיר ילפינן ביכורים בק""ו ממעשר:"
Penei Yehoshua on Makkot 17a:5,"ועוד דכיון דבתרומה לא שייך הבאת מקום דכתיב בהדיא ואכלתם אותה בכל מקום א""כ לא שייך בה הך מילתא דחוץ לחומה וכיוצא בזה כתבו התוס' בפרק הערל (דף ע""ג ע""ב ד""ה ור""ש) ובפ' כל שעה (דף ל""ו ע""ב) והשתא אתי שפיר נמי הא דקאמר ר""ש דלענין חוץ לחומה דביכורים לא איצטריך קרא דילפינן להו בק""ו ממעשר ואמאי הא אכתי איצטריך לאשמעינן דלא נימא דתרומה קרינהו רחמנא. ולמאי דפרישית אתי שפיר וכמו שאבאר עוד לקמן באריכות:"
Penei Yehoshua on Makkot 17b:1,"בגמרא אמר רבא דילידא אימא כר' שמעון תיליד כו' עד סוף הסוגיא. ולכאורה יש לתמוה טובא דאכתי מאי קלסיה רבא לדר""ש כיון דאיהו גופא אשכח פירכא אכל הנך דברי ר""ש הן מצד הפירכות דאיכא לכל חד וחד מהנך בבי וכן במאי דקאמר דלוקה אכל הנך ולפי המסקנא בכמה מאלו לית בהו אלא איסורא בעלמא כמו שפרש""י והתוספות והנראה לענ""ד ליישב בזה היינו משום דבלא""ה יש לדקדק אמילתא דרבא דאיהו גופיה מנ""ל לפרש דחומרא דביכורים היינו שאסורים לזרים ומש""ה מקשה עליה אדרבה מעשר חמור שאסור לאונן והיינו אליבא דר""ש גופא מקשה דהוא סובר דביכורים מותרים לאונן כמו שפירש""י ובאמת דהך פירכא לאו קושיא אלימתא היא (דהא עיקר טעמו דר""ש דמתיר ביכורים לאונן היינו משום דתרומה קרינהו רחמנא ומשמע דאפילו לקולא אמרינן הכי וא""כ אכתי קשה בתרומה גופא מנ""ל לר""ש דמותר לאונן) דאפשר דר""ש אליבא דדבריהם דרבנן קאמר כמו שאבאר ולדידהו לא שייך הך פירכא וטפי הו""ל למיפרך דכמה מילי דמעשר חמירא שאוסרת את הגורן ויש לו שיעור והרבה כיוצא באלו דקתני התם בפ""ב דמעשרות אלא ע""כ דרבא מהדר למיפרך בחומרא דמעשר דאית בהו איסור לאו בגוף אכילה כי האי חומרא דביכורים שאסורין לזרים באיסור לאו ומיתה וא""כ לפי""ז לר""ש מאונן נמי לא הוי שייך הך פירכא כלל דהא באיסור אנינות דמעשר לא אשכחן איסור לאו אי משום דלא אכלתי באוני ממנו אמרינן בהדיא בריש פרק כל שעה ובכמה דוכתי דלא הוי אלא וידוי בעלמא ומהאי טעמא כתבו הרמב""ן וסמ""ג במנין דאיסור לאוין דלא אכלתי באוני לא הוי לאו ממש אלא איסורא בעלמא ומשום שמחה בעלמא למצוה מן המובחר וזה אף למאי דקיי""ל כרבנן אלא אפילו את""ל כשיטת הרמב""ם ז""ל במנין המצות שלו (בשורש ח') דלא אכלתי באוני ממנו הוי לאו גמור וכמו שאבאר ליישב שיטתו אליבא דרבנן אלא דאפ""ה ע""כ ר""ש לית ליה הך סברא דאי ס""ד דלא אכלתי באוני אע""פ שהוא וידוי אפ""ה הוי לאו גמור לענין מלקות א""כ כ""ש דלא ביערתי ממנו בטמא דכתיב בתרי דהוי לאו גמור אפילו לענין ביעור בטומאה וכ""ש לענין אכילה בטומאה א""כ מאי האי דקאמר ר""ש לקמן (בדף י""ט ע""ב) דמעשר דלקי בטומאת עצמו איני יודע היכן מוזהר על אכילה ואיצטריך למילף לה מבשערך ע""ש וע""כ היינו משום דלא ביערתי ממנו בטמא ליכא איסור לאו וכ""ש לענין הך וידוי דלא אכלתי באוני דאפילו איסורא בעלמא לא אשכחן בה אלא משום מצוה מן המובחר לשמוח בו וא""כ מהאי טעמא אית לן למימר שפיר דלר""ש לא חשיב ליה הך פירכא כלל לגבי האי חומרא דזרים דביכורים חייבין מיתה וחומש ואין להן פדיון כלל ובמעשר מותר לכתחילה ושפיר קרי לה מעשר הקל. וכיון שזכינו לדין דלר""ש פשיטא ליה דביכורים חמירא ממעשר לענין איסור לאו דחוץ לחומה א""כ תו לא שייכי כל הנך פירכות בכל הנך בבי דשפיר יליף בתודה ושלמים לענין איסור דחוץ לחומה בק""ו דמעשר וביכורים ומאי חומרא שהן טעונין מתן דמים ומאי פרכת אדרבה מעשר חמור שכן טעונין כסף צורה הא ליתא דנימא ביכורים יוכיח וממילא דה""ה לכל הנך קדשים בכור וחטאת ועולה ילפינן שפיר מק""ו ממעשר וביכורים לבתר דכתיב ותרומת ידך ובאינך פירכות בשאר איסורין אבאר בסמוך ואפ""ה קאמר רבא שפיר אע""ג דאית להו פירכא כיון דמלישנא דר""ש משמע דממעשר לחוד בעי למילף אפילו בלא ילפותא דבכורים כן נראה לי נכון:"
Penei Yehoshua on Makkot 17b:2,"ועוד נראה בעיני לפרש דברי ר""ש יותר בפשיטות בענין דלית ליה פירכא כלל דודאי עיקר ק""ו דר""ש לדבריהם דרבנן קאמר דאליבא דנפשיה לא איצטריך כלל למילף בק""ו ביכורים לחוץ לחומה והיינו בהיקישא דהנך קראי דנהי דמהאי היקישא דלא תוכל לחוד לא מצי למימר דמייתר חד מהנך דהא לא נאמר קאמר אלא דאכתי מהאי היקישא דקרא קמא שפיר מצי למילף דכיון דלדידיה לא שייך האי היקישא דביכורים למעשר להשוותם לגמרי דהא לענין אונן וטומאת עצמן וביעור לא שוו להדדי דהא מתיר ופוטר בכולהו והיינו משום דהאי דתרומה קרינהו רחמנא היינו אפילו לקולא דלגמרי הוי תרומה ממש וא""כ על כרחך לא איצטריך האי היקישא אלא לענין חוץ לחומה דבהא לא שייך לומר דתרומה קריה רחמנא כיון דלית ליה חומה כמ""ש התוספות בפ' הערל ובפ' כל שעה וכדפרישית לעיל ואע""ג דבהאי היקישא דקרא קמא ליכא אלא עשה גרידא אפ""ה הא קי""ל דאין היקש למחצה אפילו לענין כרת ומיתה ומיתת ב""ד וכ""ש לענין מלקות וא""כ אייתר כל הנך סיפא דקרא דלא תוכל דאי לא הוי כתיב אלא מעשר לחוד הוי כולהו אתיא מינייהו בהיקישא לענין מלקות והיינו מרישא דקרא דכתיב בהדיא מעשרותיכם ותרומת ידכם נמצא דכל זה היינו אליבא דר""ש אלא דאכתי אליבא דרבנן דאיצטריכו היקישא דקרא למילי טובא לאונן וטומאת עצמן וביעור וכיון שכן ממילא דאיצטריך למיכתב כולהו בסיפא דקרא לענין לאו חוץ לחומה דאל""כ אדרבה הייתי אומר מדפרטן הכתוב כל חד באפי נפשה ברישא דקרא לענין עשה ולענין לאו דחוץ לחומה לא הוי כתיב אלא מעשר לחוד ע""כ היינו לאשמעינן דלא אקשינהו רחמנא בקרא קמא אלא לענין שאר מילי ולענין לאו דחוץ לחומה אפקינן מהקישא דאשכחן בכמה דוכתי ומש""ה שפיר קאמר ר""ש דלדבריהם דרבנן נמי ע""כ לאיסור חדש אתא דאל""כ לישתוק מיניה ונילף בהקישא ולא שייך למימר דאפקינהו מידי היקישא מדלא פרטן הא ודאי ליתא דמהיכי תיתי כיון דאיכא ק""ו ויותר אית לן למימר דהא דלא פרטן היינו משום דלא איצטריך כיון דאיכא ק""ו והיקישא אלא ע""כ דאפילו לרבנן ע""כ בביכורים אתי לאיסור חדש כן נראה לי נכון. ואי תקשי היאך אפשר לומר דר""ש אית ליה הך היקישא א""כ מאי האי דקאמר לקמן (דף י""ט ע""ב) דטומאת עצמן במעשר איני יודע ואמאי לא יליף לה מהיקישא דקדשים הא ליתא והיינו כדאיתא בפ' כל שעה דאדרבה עיקר איסורא דטמא בקדשים ילפינן מהיקישא דמעשר ואייתר ליה והבשר אשר יגע בכל טמא לענין שאר איסורין שבתורה ע""ש ולקמן בסוף הסוגיא אבאר יותר:"
Penei Yehoshua on Makkot 17b:3,"שם אדרבה מעשר חמור שכן טעון כסף צורי. ולכאורה יש לתמוה דאכתי מאי פירכא היא זו אדרבה מהאי טעמא גופא אית לן למימר דתודה ושלמים חמירי דאפילו בכסף צורי אינן ניפדין אלא דנראה דאפ""ה הוי פירכא שפיר דבתודה ושלמים וכל הקדשים אפילו היכא דיש להם פדיון כגון בנפל בהם מום אפ""ה לא בעינן כסף צורי אבל במעשר שני אפילו אם נטמאו ויש להם פדיון אפ""ה אינם ניפדין אלא בכסף צורי כן נראה לי:"
Penei Yehoshua on Makkot 17b:4,"שם וכי מזהירין מן הדין כו' והאנן תנן אלו הן הלוקין. ונראה מלשון רש""י דאביכורים נמי קאי ולמאי דפרישית לעיל בסמוך לא יתכן לומר כן דנהי דאין מזהירין מן הדין אפ""ה ליכא לאוקמי לאו דלא תוכל למלקות לחוץ לחומה דהא בלא""ה ידעינן שפיר כל הני איסורי דחוץ לחומה למלקות מהיקישא למעשר ברישא דקרא והאי ק""ו דר""ש אינו אלא גילוי מילתא בעלמא דלא נימא דממעטינן ביכורים ממלקות מדלא כתיב בסיפא דקרא וכדפרישית אלא ע""כ דביכורים דכתיב בסיפא דקרא דלא תוכל היינו למלקות לאיסור חדש דביכורים כיון דהך מילתא לא שייך בהאי היקישא דלעיל וכה""ג גבי תודה נמי לא שייך הך קושיא דאין מזהירין מהאי טעמא גופא דלא איצטריך קרא למלקות לחוץ לחומה דמהיקישא וק""ו ילפינן להו שפיר כדפרישית. אלא דאכתי יש לפרש שפיר הך קושיא וכי מזהירין אף לשיטתי לענין בכור וחטאת ועולה דמנ""ל בכל הנך מלקות לאיסור חדש דילמא כולהו לפני זריקה איירי דלא שייך למילף בהיקישא דרישא דקרא כיון דלפני זריקה לא שייך במעשר וביכורים דלא איירי ביה קרא כלל אלא לענין חוץ לחומה ומש""ה איצטריך ר""ש לומר בחטאת אי לפני זריקה ק""ו מתודה א""כ מקשה שפיר וכי מזהירין דלמא לעולם כולהו בלפני זריקה איירי ואכתי מנ""ל לחייב מלקות בהך לאיסור חדש ולפי""ז אידך קושיא דמתניתין דאלו הן הלוקין אקדשי קדשים חוץ לקלעים קאי ודו""ק:"
