Mei HaShiloach.1.1,(Book of Genesis)<br/>
"Mei HaShiloach, Parshat Tetsave.8","“To learn” corresponds to the mitre (hat, <i>Mitsnefet</i>), for the <i>Mitsnefet</i> makes atonement for coarseness of spirit (<i>Arachin</i>, ibid.), meaning to receive the truth from one who spoke it. “To teach” corresponds to the <i>tsits</i> (headplate), for of the <i>tsits</i> it is said, “and it shall be on his forehead continually that they may be accepted,” meaning that one needs a good eye in order to teach his fellow man. “To guard” corresponds to the embroidered coat (<i>C’tonet</i>), for the <i>C’tonet</i> makes atonement for the spilling of blood (ibid.). It teaches man to guard himself and to see that because of him no damage is done to his fellow man. Then his peers will not be able to suspect him, and then be punished for suspecting him in vain. Then he too will be punished for causing his fellow man to be punished. “To do” teaches of reliance, and the point of reliance is the performance of <i>mitzvot</i>, such that a man can stand in prayer and support himself on them."
"Mei HaShiloach, Parshat Tetsave.9","This is as it is written (Tehillim, 104:3), “who makes the clouds His chariot,” and clouds teaches of the performance of <i>mitzvot</i>.<sup>63</sup><i class=""footnote"">For one must understand that there is no action in this world that does not have a remnant in the world to come. <i>Tashlum Mei HaShiloach</i>.</i> “To fulfill” corresponds to the priestly pants, whose purpose is to cover his genitalia. This is a place on which a man stands to suffer a loss, as it is written (<i>Bereshit</i>, 42:9), “the nakedness of the land,” meaning the vulnerable place by which the land may be conquered. At every place the blessed God created from which a man could build an everlasting structure, there He also created a place of vulnerability where he may lose all. However, by means of guarding himself here, then from this place an everlasting structure will emerge."
"Mei HaShiloach, Parshat Tetsave.10","<i>“And you shall set it [the</i> Choshen Mishpat<i>] with four rows of stones; a carnelian [or carneol, or saridus], a topaz, and a smaragd [or carbuncle, or emerald, or agate] shall be the first row of stones. And the second row shall be a carbuncle [also turquoise, ruby</i>, <i>emerald, garnet], a sapphire, and a diamond. And the third row shall be an opal [also ligure, jacinth], an agate, and an amethyst. And the fourth row shall be a beryl [also chrysolite, topaz], and an onyx, and a jasper</i> …” (Shemot, 28:17)."
"Mei HaShiloach, Parshat Tetsave.11","Carnelian represents the tribe of Reuven, for its name in Hebrew, <i>odem</i>, is closely related to <i>adom</i>, red, the color of <i>simcha</i>. The name Reuven is derived from sight (see <i>Bereshit</i>, 29:32), for with all his dealings and words he always sees himself standing in the presence of God, and God then illuminates his eyes. This causes man to experience great joy, as it is written (Mishlei, 15:30), “the heart rejoices at the illumination of the eyes.”"
"Mei HaShiloach, Parshat Tetsave.12","Topaz represents the tribe of Shimon, for the tribe of Shimon possesses great depths in the words of Torah, yet before they can bring them forth into actuality the must undergo refinement. Therefore Rabbi Shimon bar Yochai (the famous figure in the Talmud and author of the Zohar), since he was from the tribe of Shimon, possessed a depth of understanding in the words of Torah on the level of Moshe Rabeynu. Topaz or <i>Pitdah</i> hints at this, for its first and last letters spell “mouth” and the remaining letters, <i>Tet</i> and <i>Dalet</i>, are the letters just before <i>Yud</i> and <i>Hei</i> in the Hebrew alphabet. <i>Yud Hei</i> teach of the depth of wisdom<sup>64</sup><i class=""footnote""><i>Yud Hei</i> are the first two letters in God’s ineffable name, the Tetragrammaton. <i>Yud Hei</i> signifies transmission, while the second two letters <i>Vav Hei</i> imply reception. It is one of the basic principles of Kabbalah that <i>Yud</i> signifies <i>Chochma</i>, (Wisdom), while <i>Hei</i> signifies <i>Binah</i>, (Understanding), hinted-at in the right and left brain, hidden from sight, and requiring a further flow of execution to be brought into reality. This is why the author says that “the depth of understanding in the words of Torah” are hinted at in these two letters, and all the more so because they are revealed in the word <i>pitdah</i> only in the previous letters, signifiying a greater level of concealment that cannot be brought into a communicable form.</i> that is found in this tribe, yet it cannot bring it forward through speech."
"Mei HaShiloach, Parshat Tetsave.13","Smaragd represents the tribe of Levi, for <i>bareket</i> hints at the fear of God, as it contains the letters of the word for lightning, <i>barak</i>, whose light is revealed suddenly, in a flash. In this the tribe of Levi possesses the refined fear of God, as it is written of them (Malachi, 2:5), “I gave them My covenant for the fear with which he feared me.”"
"Mei HaShiloach, Parshat Tetsave.14","“And the second row shall be a carbuncle….” Carbuncle corresponds to the tribe of Yehuda, for it vacillates between all the colors, as all the colors are contained within it. So it is with the tribe of Yehuda, which does not stay fixed in one attribute, but rather when Yehuda is among the perfectly righteous he is perfectly righteous, and when he is among the “<i>ba’alei tshuva</i>,” he is then the greatest penitent. This is as we find in the Gemara (<i>Shabbat</i>, 56a), “all who say, ‘David was a sinner,’ are mistaken,”<sup>65</sup><i class=""footnote"">Which is normally interpreted to mean that Uriah had sent Bat Sheva a bill of divorce before he went to war. However, the deeper meaning that is relevant here is that David was the paramount “<i>ba’al tshuva</i>,” and when one undergoes an authentic experience of <i>tshuva</i>, then all his iniquities are turned into merits.</i> and we also find (<i>Moed Katan</i>, 16b), “He raised an offering of <i>tshuva</i>.”<sup>66</sup><i class=""footnote"">See how this is explained above, page 53, “and Yehuda drew close.”</i> Further proof of this is how at one time he says in the book of Tehillim (86:1–2), “I am poor and destitute,” and then right after he says, “I am a Hasid.”<sup>67</sup><i class=""footnote"">Hirch translates “I am a hasid” with “for I dedicate myself.” Soncino comments, “one who loves God and is therefore deserving of God’s love.”</i>"
"Mei HaShiloach, Parshat Tetsave.15","Sapphire—<i>Sapir</i>—corresponds to the tribe of Yissachar, for the sapphire teaches of clear and refined wisdom, as it says (<i>Shemot</i>, 24:10), “like the paved work of sapphire stone, and the essence of the heavens for <i>clearness</i>.” Of the tribe of Yissachar it is said, (Divrei haYamim 1, 12:32), “and the children of Yissachar were men of understanding for the times,” as they knew how to create leap years and fix the beginning of the months. This is a kind of knowledge that is possessed only by those to whom God has granted refined wisdom.<sup>68</sup><i class=""footnote""><i>Chochma m’vureret</i>.</i> This is hinted at in that the 1,080 seconds in an hour is the numerical equivalent of four times <i>E-lohim</i>.<sup>69</sup><i class=""footnote"">The name <i>E-lohim</i> is written <i>plene</i> by <i>Chochma m’vureret</i>. This is numerically equivalent to 295. Four times this is 1,180. This is one hundred more than the 1,080 mentioned above. The author is not using our normal “sixty seconds to a minute” calculation.</i>"
"Mei HaShiloach, Parshat Tetsave.16","Diamond represents the tribe of Zevulun, for diamond, <i>yahalom</i>, is split up into the words, roughly translated, “God hither.” Zevulun was confidant that the blessed God was with him for all his endeavors, even though they seemed like worldly affairs, as it is said (<i>Megillah</i>, 6a), “Zevulun dealt in trade.” Even there (“hither”) he was deeply connected to God."
"Mei HaShiloach, Parshat Tetsave.17","“And the third row shall be opal,” etc. “Opal” represents the tribe of Dan, for in this tribe we find God-given strength<sup>70</sup><i class=""footnote""><i>Tekifut</i>.</i> and great resolve for victory. The mortal eye sometimes mistakes these attributes for anger, and on this the Torah testifies that he is a vessel dedicated to God. This is found in the name of the place that he was given as an inheritance, as it says (<i>Shoftim</i>, 18:29), “however, the name of the city was at first Layish.” Layish is another word for lion, and teaches of God-given strength and bravery, “as it is written (Mishlei, 30:30), “the lion is mighty among the beasts, and will not return in the face of all adversity.” Yet after this city fell in their inheritance its name was changed to <i>leshem</i>, which teaches that all his power is due to his confidence that the blessed God will help him, and this is because he walks in simplicity."
"Mei HaShiloach, Parshat Tetsave.18","This is as it is explained in the Gemara (<i>Pesachim</i>, 4a), “A certain man used to say, ‘Judge my case.’ They said, This proves that he is descended from the tribe of Dan, as it is written, ‘Dan shall judge his people, as one of the tribes of Israel.’” This is because he has God-given strength that surely he would be found innocent if judged, for with all the matters of this world, even with the <i>mitzvot</i> and good deeds that a man does, they remain in the balance even after the action is completed. For instance, if a man gives charity to a pauper, and the pauper later goes with this power and performs a mitzvah, then the one who gave the charity is assisting his performance of the mitzvah. If the pauper takes the money and uses it for a transgression, then the one who gave the charity is assisting him in transgressing. So the Godly vigor of the tribe of Dan in his confidence in God that because he did the mitzvah in simplicity then blessed God will not cause him to fail because of it. Certainly the blessed God brought him an honest pauper who took this power to do a mitzvah."
"Mei HaShiloach, Parshat Tetsave.19","“Agate”—<i>shevo</i>—represents the tribe of Naftali, for <i>shevo</i> is related to the word for “return”—<i>shav</i>. This means that even when he goes to engage in matters of this world, and it seems to the mortal eye that, God forbid, his heart is not with God, then at that moment his heart returns and “gazes” on God. The name of the chief of the tribe of Naftali teaches of this, whose name was Achira ben Einan, for <i>Achira</i> contains the word for “back”—<i>achor</i>—meaning that he always takes the back way (engaging in the matters of this world) and does not look back. “Einan” however, is related to “eye”—<i>ain</i>—meaning that even in this his eyes are constantly looking toward the blessed God."
"Mei HaShiloach, Parshat Tetsave.20","“Amethyst”—<i>achlama</i>—corresponds to the tribe of Gad, meaning gathering together, and great God-given strength at a time when it is necessary to gather all of Israel together according to the will of the blessed God. So from this tribe all kinds of Godly strengths go forth to Israel,<sup>71</sup><i class=""footnote"">The Holy Isbitser does not say what the connection between <i>achlama</i> and the ability to bring Israel together in the name of God. But I will offer that <i>achlama</i> is the letters of <i>ach l’mah</i> “brother for MaH,” where MaH the numerical equivalent of the expansion of God’s name, which equals forty-five; hence, brotherhood in the name of God.</i> as it is written of Gad (<i>Bereshit</i>, 49:19), “Gad, a troop shall troop upon him, but he shall troop upon their heel.”<sup>72</sup><i class=""footnote"">“Troop” signifies gathered together.</i>"
"Mei HaShiloach, Parshat Tetsave.21","“And the fourth row shall be a beryl,” etc. “Beryl” corresponds to the tribe of Asher. Asher signifies expansion, spreading forth, and so too does beryl teach of expansion, as it is written (Daniel, 10:6), “His body was like beryl.”<sup>73</sup><i class=""footnote"">And the body is the primary vehicle for man’s expansion.</i> This tribe also experienced expansion, as it is written (<i>Bereshit</i>, 49:20), “out of Asher his bread shall be fat.”"
"Mei HaShiloach, Parshat Tetsave.22","“Onyx”—<i>shoham</i>—represents the tribe of Yosef. “<i>Shoham</i>” is love, as is explained in the verse (<i>Bereshit</i>, 2:12), “there was the Bedellium.”<sup>74</sup><i class=""footnote"">There, in the <i>Mei HaShiloach</i> on <i>Parshat Bereshit</i>, it reads: The onyx (“shoham”) stone hints at the love of God, for it is the stone that corresponds to Yosef, who is the <i>sefirah</i> of <i>Yesod</i> (foundation), which is filled with Divine effusion (as it receives and collects all the Divine energies from the eight <i>sefirot</i> above it).</i> Yosef too had a fierce love for the blessed God, so much so that he could easily abandon all the pleasures of this world for the love of the blessed God. For out of the fear of God alone he could not withstand the temptation of the wife of Potiphar, as it is written in the Gemara (<i>Nedarim</i>, 32b), “At the time of the control of the inclination to evil, no one can remember the inclination to good.” This could only be done out of love for the blessed God, who at the moment of that trial showed him a vision of the visage of his father Yaakov, and how his very name would be engraved on the stones of the Ephod of the High Priest."
"Mei HaShiloach, Parshat Tetsave.23","“Jasper”—<i>yoshpeh</i>—is for the tribe of Binyamin, meaning that he has a mouth<sup>75</sup><i class=""footnote"">The name of the stone jasper in Hebrew is the letters of “he has a mouth.”</i> [<i>yesh peh</i> in Hebrew] that can swallow and receive all the goodness that exists in the world. This is as it is written of him (<i>Bereshit</i>, 49:27), “Binyamin is a wolf that devours.” He even has the power to collect and receive the goodness that exists among the nations of the world, looking at the good among them and entering them into Israel."
"Mei HaShiloach, Parshat Tetsave.24","<i>“And you shall make an altar to burn the incense; make it of acacia wood.”</i> (Shemot, 30:1)"
"Mei HaShiloach, Parshat Tetsave.25","All the vessels were mentioned in <i>Parshat Truma</i> except for the golden incense altar. This can be understood through what is written in the holy Zohar (<i>Bamidbar</i>, 151b), “what is incense? It is the connection of all.”<sup>76</sup><i class=""footnote"">And how is incense the connection of all things? Besides the similarity in the letters of <i>ketoret</i> and “connection,” <i>Ketirah</i> in Aramaic, Rabbi Yitzhak of Acco writes in his explanation “Meirat Eineihem” that smoke, <i>ashan</i>, is an acronym for <i>olam shana netesh</i>, meaning place, time, and soul, the three main components of existence, as discussed in the <i>Sefer Yetsirah</i>.</i> This hints that all done, even in “this world,” is all connected in the will of the blessed God, and without His will nothing at all would be done. One who misunderstands this could come to irreverence, God forbid, since everything that happens is allowed to happen from Heaven. Therefore the incense altar, which represents this understanding, was not said in <i>Parshat Truma</i>, but only after the explanations of the priestly garments in this <i>Parsha</i>, which teach of the great fear of God and vigilant guarding from the vain pleasures of this world. As it is written in the Gemara (<i>Arachin</i>, 16a), “the <i>ctonet</i>, or tunic of chequer work, makes atonement for the spilling of blood,” and so it is with all of the garments. By means of his priestly garments, the <i>Cohen</i> sends great fear of God to the heart of each one in Israel. Then after the <i>Cohen</i> has instilled such fear in the heart of Israel, then they have the ability to receive the <i>simcha</i> and love that comes from the power of the incense."
"Mei HaShiloach, Parshat Tetsave.26","All of the vessels of the Mishkan were made of acacia wood inlayed with gold, except for the caporet (the covering for the Holy Ark) and the menorah, where it is specified that they be made of pure gold, not filled with acacia wood. It is known that the Mishkan and its vessels hint at the upright form of man, and for each limb man has the right to see to his own well-being, as it says in the Gemara (<i>Pesachim</i>, 68b), “in the first place, when a man does something, he is doing it for himself.”<sup>77</sup><i class=""footnote"">The Gemara is talking about the mitzvah of the study of Torah, that foremost he is studying for his own benefit, and only after this for the good of the rest of the world.</i> In the future, the blessed God will make it clear that the action that he did for himself was only in the sense of “if a person does a mitzvah but not for the sake of Heaven, eventually he will do it for the sake of Heaven.” Eventually he will bring the light out of the darkness, as it is said (Yoel, 4:18), “and a fountain shall come forth from the house of God, and shall water the valley of Shittim [which means acacia wood].”<sup>78</sup><i class=""footnote"">This means that all the vessels made from acacia wood are like actions that may be for selfish motives to gratify different parts of the body now, but will be refined for the sake of Heaven in the future.</i>"
"Mei HaShiloach, Parshat Tetsave.27","Yet the caporet, which corresponds to the heart, and the menorah, which corresponds to the eyes, with these a man must be especially vigilant that they are clean and refined, not corrupted in any way from his own desire for the pleasures of this world. This is as it is said in the Jerusalem Talmud (<i>Berachot</i>, 1:5), “the eye and the heart are the two agents of sin. The eye sees and the heart lusts.” But indeed the eye must be stripped of all the lusts of this world, and used as a pure vessel for the soul, like a clear glass through which the soul looks at the world and decides whether it is good and to receive it, or whether it is evil and to reject it. Yet, when within the eye itself there is any desire or lust for the pleasures of this world, then the eye is not a vessel for the soul, but rather a free agent, free to lust after the affairs of this world. Then the soul does not have the opportunity to distinguish the good from the evil. Therefore the blessed God commanded to be completely refined. The eye shall be clean and stripped of vain lusts, and then it will follow that the soul will only desire that which is the will of the blessed God."
"Mei HaShiloach, Parshat Ki Tissa.1","<i>“And from it Aharon and his sons shall wash their hands and feet.”</i> (Shemot, 30:19)"
"Mei HaShiloach, Parshat Ki Tissa.2","The act of the <i>Cohanim</i> washing from the laver (<i>kiyor</i>) signifies the removal of affliction, for washing teaches of this, as mentioned in the passage of the beheaded heifer (<i>Devarim</i>, 21:6, the <i>eiglah arufah</i>, performed after finding an unexplained death between cities), “and the elders of the city shall wash their hands over the heifer that is beheaded.” With this they are saying that they have no affliction (associated from the incident), and are clean regarding it. So too, the <i>Cohen</i> who serves needs to wash, meaning that he removes any affliction, nullifying his own mind and will before the will of the blessed God. This means that all his service is only what the blessed God desires."
"Mei HaShiloach, Parshat Ki Tissa.3","So it is with how we are commanded to wash in the morning and before a meal, for before one begins to fulfill the needs of the body he must pray to the blessed God. As his dealings in the world may result in his doing something contrary to the will of the blessed God, here he asks the blessed God to remove any desire he has from this action, even from something permitted to us that contains both good and its opposite. For if one were to eat in a way permitted to him and then go on and use the energy from this to transgress the Torah, then it is made clear that he received no good energy from this action. Concerning this we have ritual washing, which is a kind of prayer to the blessed God that from everything we will receive only the good that exists in it. For the inheritance that comes to man is a kind of gift that he never originally expected to receive, and according to this our sages enacted that we say the passage about the laver before we say the daily sacrifices, meaning that we ask that even what we pray for is what the blessed God desires."
"Mei HaShiloach, Parshat Ki Tissa.4","<i>“And Moshe turned and descended from the mountain, and two tablets of the testimony in his hand, written from both sides.”</i> (Shemot, 32:15)"
"Mei HaShiloach, Parshat Ki Tissa.5","It is written in the Gemara (<i>Shabbat</i>, 104a), “R. Chasda says, they were written from both sides for they were read from within and without. That is, ‘<i>navuv</i> [empty], <i>boban</i>,’ ‘<i>rahav</i> [arrogance or rage], <i>behar</i> [on the mountain],’ ‘<i>saru, veras</i>.’” R. Chasda is saying that there is power in the words of Torah to change the heart of man from one side to the opposite. <i>Navuv</i> means one who is hollow, or empty of the words of Torah, and so by means of them he is filled with understanding, and this is, “<i>navuv, boban</i>” (<i>boban</i> is connected to <i>Binah</i>, or understanding). <i>Rahav</i> means someone who is filled with desires and external lusts, as it is written (Zohar, <i>Shemot</i>, 170b), “the angel of Egypt was called <i>rahav</i>, and Egypt was steeped in perversity,” as it says (Amos, 8:8), “banished and immersed like the Nile of Egypt,” whose waters were brackish, which teaches of evil thoughts of desire. By means of the words of Torah he can be separated from all lusts, which is the inner meaning of <i>behar</i> (on the mountain), for you do not find moisture on the mountain that is deep in the valley."
"Mei HaShiloach, Parshat Ki Tissa.6","So too with Avraham Avinu, since he was separated from all lust, thus it was said (at the binding of Yitschak, <i>Bereshit</i>, 22:14), “for it is said to this day, on the mount Hashem was seen.” <i>Saru</i>, meaning anger, for <i>sar</i> is an expression of anger, as it is written Kings 1, 21:4), “and Achav came home ‘<i>sar ve’zaef</i>,’ sullen and angry,” and on this it says in the Gemara (<i>Bava Metsia</i>, 59b), “why does the Torah warn against distressing the convert in forty-eight places? For it may turn him [<i>saro</i>] to evil,” meaning he has anger, and by means of the words of Torah he may change his heart to the good, and separate himself from any anger, for <i>moras</i>, (<i>veras</i>, the opposite of <i>saru</i>) meaning rubbed or stirred, as the Gemara says, “did they ever stir the blood of the sacrifice before you?” for this occurs in a tender place (the opposite of anger), as it is said (Yechezkel, 46:14), “to stir [<i>laros</i>] the fine flour.”"
"Mei HaShiloach, Parshat Ki Tissa.7","<i>“And Moshe said to God, see, you say to me, bring this people up … And God said to Moshe, I will also do as you have spoken, for you have found favor in My sight, and I will know you by name.”</i> (Shemot, 33:12–17)"
"Mei HaShiloach, Parshat Ki Tissa.8","The blessed God addressed Moshe’s request by saying that the blessed God knows Moshe by name, which means that He created Moshe with good attributes in order to receive the <i>Chein</i>, the Grace of the blessed God. <i>Chein</i> itself is a free gift, (“free,” <i>Chinam</i>, even has the same root as grace, <i>Chein</i>, meaning that it is given regardless of merit. Betsalel) that the blessed God created him with good atributes and owing to this he is in God’s favor (a play on words; to be in favor is also <i>chein</i>). First (for in verse 12 Moshe makes first mention of), “You said, I knew you by name,” meaning that He chose him as he chose all the Patriarchs, even before they performed good deeds. And these attributes that were imprinted in their souls yet remain in us, for the three attributes that crown us (as a people), compassion, modesty, and giving loving-kindness, are not contingent on our good deeds but comes rather from the holiness of our Patriarchs, which they inherited to us."
"Mei HaShiloach, Parshat Ki Tissa.9","This is why Moshe first said that the blessed God knew him by name, and then after, he found favor with Him, whereas when the blessed God in His answer to Moshe formulates it in the opposite way, first saying that he has found favor in His eyes, and after saying that He knew him by name. This means that the blessed God recognized his attributes, which are a vessel for receiving the words of Torah. In this way he would at all times desire and long for new words of Torah, and this is how he finds favor with God, meaning that he will always desire and strive for the “free gifts” (the reception of <i>Chein</i>). Toward this He created him with good attributes, as it is written (Daniel, 2:21), “give wisdom to the wise.”"
"Mei HaShiloach, Parshat Ki Tissa.10","This concerns what is said in the Gemara of Binyamin (<i>Yoma</i>, 12a), “Binyamin the <i>Tsaddik</i> was greatly concerned that the Holy of Holies fall in his domain. [For the Temple mount falls both in the portions of Yehuda and Binyamin, yet the Holy of Holies was in the portion of Binyamin, and because of his holy “distress” to take care of the area, the Altar was also allotted in his portion.] For this he was made a host for the Divine presence.” That is to say, since the blessed God recognized that if the Holy Temple (the house of the Holy of Holies) would be built in his portion then he would greatly desire that the outside Altar also be in his portion (the “free gift”). For this (desire) he was made its host."
"Mei HaShiloach, Parshat Ki Tissa.11","<i>“And He said, My presence shall go with you, and I shall give you rest.”</i> (Shemot, 33:14)"
"Mei HaShiloach, Parshat Ki Tissa.12","The blessed God answered Moshe that at a time that a “garment” goes forth from Him that seems like a face of anger, then Israel shall be at peace. The blessed God has garments where He shows His jealousy, and at the time when the blessed God is in this attribute then the <i>Tsaddik</i>, who is the pillar of his generation, also takes on this attribute, like Pinchas in his generation or Eliyahu in his generation. This is because the <i>Tsaddik</i> is the garment of the blessed God, and then it seems as if he is bringing accusations against Israel, as when Eliyahu said (Melachim 1, 19:10), “for the children of Israel have abandoned Your covenant.” Then when the blessed God removes this garment, and conducts the world through His goodness and compassion, then the <i>Tsaddik</i> shows that at the depth of his consciousness he was at no time angry, God forbid, and then the heart of the <i>Tsaddikim</i> will also be at peace with Israel."
"Mei HaShiloach, Parshat Ki Tissa.13","<i>“And I shall remove My hand, and you shall see my back, but my face shall not be seen.”</i> (Shemot, 33:23)"
"Mei HaShiloach, Parshat Ki Tissa.14","It is said in the Gemara (<i>Berachot</i>, 7a), “this teaches that the Holy One, blessed be He, showed Moshe the knot at the back of his head <i>tefillin</i>.”<sup>79</sup><i class=""footnote"">The knot of the head <i>tefillin</i> tied at the base of the skull.</i><i>Tefillin</i> hints at intense closeness and connection, as it is said (<i>Bereshit</i>, 30:8), “the wrestlings of God.”<sup>80</sup><i class=""footnote""><i>Naftulei</i>—“wrestlings” has the same Hebrew letters as <i>tefillin</i>.</i> This means that we are connected to the Holy One, blessed be He, and no matter what happens to us, we will not separate from Him. In the <i>tefillin</i> of the Master of the Universe it is written, “Who is a nation so great as to have God so close to it?” This means the the blessed God praises himself in that Israel is so connected to Him, and also that the blessed God is connected to them, even if they sin He will not disengage his love for them. “But My face shall not be seen” means that the blessed God showed Moshe all the events that happened in the past and saw clearly what the blessed God had built out of each action. This is “You shall see My back.”<sup>81</sup><i class=""footnote"">“Back” represents the past; “face” the present.</i> “But my face shall not be seen” means that the Holy One, blessed be He, did not show Moshe what was happening in the present, because all the acceptances of punishment were transmitted through him.<sup>82</sup><i class=""footnote"">And would thus confront irreconcilable differences.</i> Therefore He could not, as it were, show him the present, meaning how the blessed God was completely reconciled with Israel in the present."
"Mei HaShiloach, Parshat Ki Tissa.15","This is as it is said (Midrash Tanchuma, <i>Chukat</i>, 8), “that which was not said [revealed] to Moshe Rabeynu was said to Rabbi Akiva, as it is said [Iyov, 28:10], ‘his eye saw all the preciousness.’” This means that He showed Rabbi Akiva the whole <i>Tefillin</i>, and showed him how God was reconciled with Israel also in the present. This is as it is mentioned in the Gemara (<i>Makkot</i>, 7a), “Rabbi Akiva said, If I had been a member of a Sanhedrin, no one would ever have been sentenced to death.” This is because he saw how the Holy One, blessed be He, was always reconciled with Israel."
"Mei HaShiloach, Parshat Ki Tissa.16","<i>“And he said to Him, if Your presence does not go with me, then do not raise us up from this.”</i> (Shemot, 33:15)"
"Mei HaShiloach, Parshat Ki Tissa.17","Moshe asked the blessed God that even while He is still dressed in this garment (see the previous discussion of “and He said, My presence shall go with you”) that even then, if any one of Israel sins, that the sin would not reach the depth of the heart. That even then, the sinner’s mind would not become so weak that he would, God forbid, remove himself from the blessed God, of whom he said (<i>Shemot</i>, 15:2), “this is my God,” and of whom he said, “and You have separated both Me and Your people from all the peoples on the face of the earth.” The difference between Israel and the nations is not only based on the performance of <i>mitzvot</i> and good deeds, for they too can perform actions that seem to be good. Yet the difference is, even when one of Israel sins, then the sin will not be like that of the nations.<sup>83</sup><i class=""footnote"">With the nations the sin reaches the depth of their soul.</i> Rather it will only have effect from the edge and outside, with the depth of the heart remaining connected, even united, with the blessed God."
"Mei HaShiloach, Parshat Ki Tissa.18","This is as it is written in the Gemara (<i>Berachot</i>, 32b) in the verse (Yeshayahu, 49:14), “And Zion said, has Hashem forsaken me? Has Hashem forgotten me? Can a woman forget her suckling child, the child of her womb? These too will be forgotten, but I will not forget you.” “The community of Israel said before God, Master of the Universe! Since there is no forgetfulness before Your Throne of Glory, perhaps you will not forget the sin of the golden calf? God answered, ‘these too will be forgotten.’ The Community of Israel said, ‘perhaps you will forget the day we stood at Mount Sinai?’ God answered, “but I [who said “I—Anochi” at Mount Sinai] will not forget you.’”"
"Mei HaShiloach, Parshat Ki Tissa.19","It may be asked of this, why does God say that he will forget one incident and remember the other? Truly, the sin of the golden calf happened because the blessed God wanted to show them the order that He had arranged in His Divine plan for all His attributes for all generations. He showed them that at one time He would conduct the world through one attribute, and at another time through a different one. This way they would not have to pray at each moment for God to show them which mode and which attribute He was now choosing, but rather He gave them all of His attributes at once (<i>Shemot</i>, 34:6–7), and they could proceed on their way ever confident, and since the sin would only reach from the edge and outward it was therefore forgotten. The <i>mitzvot</i>, however, are from the depth of the heart, an eternal memorial. There is a special reason why the passage discussing Shabbat is juxtaposed to the sin of the golden calf. This is because the root of the sin of the golden calf came to them at the very moment that the Holy One, blessed be He, and Moshe Rabeynu were involved in the study of Shabbat."
"Mei HaShiloach, Parshat Ki Tissa.20","Shabbat hints at the day that is entirely Shabbat (the redemption), and at that time prayer will not be necessary because the Holy One, blessed be He, will make it clear to all the order of His attributes,<sup>84</sup><i class=""footnote"">And at that time all will know the will of God with clarity.</i> for without His will nothing at all could be done in the world. Down below they felt vibrations that the blessed God was preparing to bestow unto them this complete good, and the effect in their actions was the sin of the golden calf. This is because a calf is something that is not yet complete,<sup>85</sup><i class=""footnote"">It is not yet a cow.</i> and one must wait for it to reach its completion. In the same way they wanted to receive the “day that is entirely Shabbat” before its time, for God will only bestow unto us this complete good in the future."
"Mei HaShiloach, Parshat Ki Tissa.21","<i>“And He said, I will cause all of My good to pass before you, and I will proclaim the name of Hashem, and I will be gracious to whom I will be gracious, and, and I will show mercy on whom I will show mercy.”</i> (Shemot, 33:19)"
"Mei HaShiloach, Parshat Ki Tissa.22","Since Moshe asked God to show him the depth of how He conducts the world, then why does each man have his own rank and level, where no one is equal to another?<sup>86</sup><i class=""footnote"">If Moshe’s prayer was answered, the knowledge of God would be equally accessible to all.</i> To this the Holy One, blessed be He, answered him, “I will cause all of My good to pass before you,” which means that no man knows his rank and the good that is his portion, and he shall see this through what he chooses for himself.<sup>87</sup><i class=""footnote"">One can only arrive at knowing the portion God has prepared for him through the results of his efforts and achievements.</i> After this it says, “and I shall proclaim the name of Hashem,” meaning that I will show the depth of My consciousness in what I have apportioned for each one from the beginning of creation."
"Mei HaShiloach, Parshat Ki Tissa.23","This is because “the name of Hashem” teaches of the beginning of creation when He brings all into being.<sup>88</sup><i class=""footnote"">The Tetragrammaton, <i>Yud Hei Vav Hei</i>, has the same root as the word <i>mehave</i>, “bring into being.”</i> Then you shall see that what each one chooses for himself is exactly the portion that God has prepared for him. This is “I will be gracious with whom I will be gracious,” meaning with that which I have been gracious and merciful with him from the beginning is exactly that which I will use to save him for his own good. By means of this one will not arrive at the portion of his fellow, as in the saying of the Midrash on the verse (Kohellet, 3:9), “what does one profit in working in that which he labors?”—“Each artisan is only permitted to dwell with his fellow craftsmen” (Kohellet Rabba, 3:9)."
"Mei HaShiloach, Parshat Ki Tissa.24","<i>“And Moshe made haste, and bowed his head to the ground, and worshipped. And he said, if I have found favor in Your eyes I pray that Adonai shall go in our midst, for they are a stiff-necked people. Forgive our iniquities and sins and take us as Your inheritance.”</i> (Shemot, 34:8)"
"Mei HaShiloach, Parshat Ki Tissa.25","It is written in the Gemara (<i>Sanhedrin</i>, 111a), “What did Moshe see [that, immediately after receiving the thirteen attributes of mercy he ran and bowed in worship]? He saw the Long Suffering [patient].” Truly, what is the use of God’s attribute of patience if the sin is not erased? Is not the entire length of his life only temporary, and even all the <i>mitzvot</i> and good deeds that he does will not reach the depths, for they have not been done from the source of life? And even the children he fathers will only live out the number of their days, for their source is only in fleeting existence? However, the Holy One, blessed be He, showed him that in the depths He bears no anger toward Israel, and it is only from the edge and outward, for such anger could eradicate them, God forbid."
