Date,DoW,He Date,Ref
11/30/2018,Fri,22 Kislev 5779,OC 405:6-8
12/1/2018,Shab,23 Kislev 5779,OC 405:9 - 407:1
12/2/2018,Sun,24 Kislev 5779,OC 407:2 - 408:1
12/3/2018,Mon,25 Kislev 5779,OC 408:2-4
12/4/2018,Tue,26 Kislev 5779,OC 409:1-3
12/5/2018,Wed,27 Kislev 5779,OC 409:4-6
12/6/2018,Thu,28 Kislev 5779,OC 409:7-9
12/7/2018,Fri,29 Kislev 5779,OC 409:10-12
12/8/2018,Shab,30 Kislev 5779,OC 409:13 - 410:2
12/9/2018,Sun,1 Teves 5779,OC 410:3 - 412:1
12/10/2018,Mon,2 Teves 5779,OC 413:1 - 414:2
12/11/2018,Tue,3 Teves 5779,OC 415:1-3
12/12/2018,Wed,4 Teves 5779,OC 415:4 - 416:2
12/13/2018,Thu,5 Teves 5779,OC 416:3-5
12/14/2018,Fri,6 Teves 5779,OC 417:1 - 418:2
12/15/2018,Shab,7 Teves 5779,OC 418:3-5
12/16/2018,Sun,8 Teves 5779,OC 419:1 - 420:2
12/17/2018,Mon,9 Teves 5779,OC 421:1 - 422:2
12/18/2018,Tue,10 Teves 5779,OC 422:3-5
12/19/2018,Wed,11 Teves 5779,OC 422:6 - 423:1
12/20/2018,Thu,12 Teves 5779,OC 423:2-4
12/21/2018,Fri,13 Teves 5779,OC 424:1 - 425:2
12/22/2018,Shab,14 Teves 5779,OC 425:3 - 426:2
12/23/2018,Sun,15 Teves 5779,OC 426:3 - 427:1
12/24/2018,Mon,16 Teves 5779,OC 428:1-3
12/25/2018,Tue,17 Teves 5779,OC 428:4-6
12/26/2018,Wed,18 Teves 5779,OC 428:7 - 429:1
12/27/2018,Thu,19 Teves 5779,OC 429:2 - 431:1
12/28/2018,Fri,20 Teves 5779,OC 431:2 - 432:2
12/29/2018,Shab,21 Teves 5779,OC 433:1-3
12/30/2018,Sun,22 Teves 5779,OC 433:4-6
12/31/2018,Mon,23 Teves 5779,OC 433:7-9
1/1/2019,Tue,24 Teves 5779,OC 433:10 - 434:1
1/2/2019,Wed,25 Teves 5779,OC 434:2-4
1/3/2019,Thu,26 Teves 5779,OC 435:1 - 436:2
1/4/2019,Fri,27 Teves 5779,OC 436:3 - 437:2
1/5/2019,Shab,28 Teves 5779,OC 437:3 - 438:1
1/6/2019,Sun,29 Teves 5779,OC 438:2 - 439:2
1/7/2019,Mon,1 Shevat 5779,OC 439:3 - 440:1
1/8/2019,Tue,2 Shevat 5779,OC 440:2-4
1/9/2019,Wed,3 Shevat 5779,OC 441:1 - 442:1
1/10/2019,Thu,4 Shevat 5779,OC 442:2-4
1/11/2019,Fri,5 Shevat 5779,OC 442:5-7
1/12/2019,Shab,6 Shevat 5779,OC 442:8-10
1/13/2019,Sun,7 Shevat 5779,OC 442:11 - 443:2
1/14/2019,Mon,8 Shevat 5779,OC 443:3 - 444:2
1/15/2019,Tue,9 Shevat 5779,OC 444:3-5
1/16/2019,Wed,10 Shevat 5779,OC 444:6-8
1/17/2019,Thu,11 Shevat 5779,OC 445:1-3
1/18/2019,Fri,12 Shevat 5779,OC 446:1-3
1/19/2019,Shab,13 Shevat 5779,OC 446:4 - 447:2
1/20/2019,Sun,14 Shevat 5779,OC 447:3-5
1/21/2019,Mon,15 Shevat 5779,OC 447:6-8
1/22/2019,Tue,16 Shevat 5779,OC 447:9-11
1/23/2019,Wed,17 Shevat 5779,OC 447:12 - 448:2
1/24/2019,Thu,18 Shevat 5779,OC 448:3-5
1/25/2019,Fri,19 Shevat 5779,OC 448:6 - 449:1
1/26/2019,Shab,20 Shevat 5779,OC 450:1-3
1/27/2019,Sun,21 Shevat 5779,OC 450:4-6
1/28/2019,Mon,22 Shevat 5779,OC 450:7 - 451:2
1/29/2019,Tue,23 Shevat 5779,OC 451:3-5
1/30/2019,Wed,24 Shevat 5779,OC 451:6-8
1/31/2019,Thu,25 Shevat 5779,OC 451:9-11
2/1/2019,Fri,26 Shevat 5779,OC 451:12-14
2/2/2019,Shab,27 Shevat 5779,OC 451:15-17
2/3/2019,Sun,28 Shevat 5779,OC 451:18-20
2/4/2019,Mon,29 Shevat 5779,OC 451:21-23
2/5/2019,Tue,30 Shevat 5779,OC 451:24-26
2/6/2019,Wed,1 AdarI 5779,OC 451:27 - 452:2
2/7/2019,Thu,2 AdarI 5779,OC 452:3-5
2/8/2019,Fri,3 AdarI 5779,OC 452:6 - 453:1
2/9/2019,Shab,4 AdarI 5779,OC 453:2-4
2/10/2019,Sun,5 AdarI 5779,OC 453:5-7
2/11/2019,Mon,6 AdarI 5779,OC 453:8 - 454:1
2/12/2019,Tue,7 AdarI 5779,OC 454:2-4
2/13/2019,Wed,8 AdarI 5779,OC 455:1-3
2/14/2019,Thu,9 AdarI 5779,OC 455:4-6
2/15/2019,Fri,10 AdarI 5779,OC 456:1-3
2/16/2019,Shab,11 AdarI 5779,OC 457:1 - 458:1
2/17/2019,Sun,12 AdarI 5779,OC 459:1-3
2/18/2019,Mon,13 AdarI 5779,OC 459:4-6
2/19/2019,Tue,14 AdarI 5779,OC 460:1-3
2/20/2019,Wed,15 AdarI 5779,OC 460:4-6
2/21/2019,Thu,16 AdarI 5779,OC 460:7 - 461:2
2/22/2019,Fri,17 AdarI 5779,OC 461:3-5
2/23/2019,Shab,18 AdarI 5779,OC 462:1-3
2/24/2019,Sun,19 AdarI 5779,OC 462:4-6
2/25/2019,Mon,20 AdarI 5779,OC 462:7 - 463:2
2/26/2019,Tue,21 AdarI 5779,OC 463:3 - 465:1
2/27/2019,Wed,22 AdarI 5779,OC 465:2 - 466:1
2/28/2019,Thu,23 AdarI 5779,OC 466:2-4
3/1/2019,Fri,24 AdarI 5779,OC 466:5 - 467:1
3/2/2019,Shab,25 AdarI 5779,OC 467:2-4
3/3/2019,Sun,26 AdarI 5779,OC 467:5-7
3/4/2019,Mon,27 AdarI 5779,OC 467:8-10
3/5/2019,Tue,28 AdarI 5779,OC 467:11-13
3/6/2019,Wed,29 AdarI 5779,OC 467:14-16
3/7/2019,Thu,30 AdarI 5779,OC 468:1-3
3/8/2019,Fri,1 AdarII 5779,OC 468:4-6
3/9/2019,Shab,2 AdarII 5779,OC 468:7-9
3/10/2019,Sun,3 AdarII 5779,OC 468:10 - 470:1
3/11/2019,Mon,4 AdarII 5779,OC 470:2 - 471:1
3/12/2019,Tue,5 AdarII 5779,OC 471:2 - 472:1
3/13/2019,Wed,6 AdarII 5779,OC 472:2-4
3/14/2019,Thu,7 AdarII 5779,OC 472:5-7
3/15/2019,Fri,8 AdarII 5779,OC 472:8-10
3/16/2019,Shab,9 AdarII 5779,OC 472:11-13
3/17/2019,Sun,10 AdarII 5779,OC 472:14-16
3/18/2019,Mon,11 AdarII 5779,OC 473:1-3
3/19/2019,Tue,12 AdarII 5779,OC 473:4-6
3/20/2019,Wed,13 AdarII 5779,OC 473:7 - 475:1
3/21/2019,Thu,14 AdarII 5779,OC 475:2-4
3/22/2019,Fri,15 AdarII 5779,OC 475:5-7
3/23/2019,Shab,16 AdarII 5779,OC 476:1 - 477:1
3/24/2019,Sun,17 AdarII 5779,OC 477:2 - 478:2
3/25/2019,Mon,18 AdarII 5779,OC 479:1 - 481:1
3/26/2019,Tue,19 AdarII 5779,OC 481:2 - 483:1
3/27/2019,Wed,20 AdarII 5779,OC 484:1 - 486:1
3/28/2019,Thu,21 AdarII 5779,OC 487:1-3
3/29/2019,Fri,22 AdarII 5779,OC 487:4 - 488:2
3/30/2019,Shab,23 AdarII 5779,OC 488:3 - 489:2
3/31/2019,Sun,24 AdarII 5779,OC 489:3-5
4/1/2019,Mon,25 AdarII 5779,OC 489:6-8
4/2/2019,Tue,26 AdarII 5779,OC 489:9 - 490:1
4/3/2019,Wed,27 AdarII 5779,OC 490:2-4
4/4/2019,Thu,28 AdarII 5779,OC 490:5-7
4/5/2019,Fri,29 AdarII 5779,OC 490:8 - 491:1
4/6/2019,Shab,1 Nisan 5779,OC 491:2 - 493:1
4/7/2019,Sun,2 Nisan 5779,OC 493:2-4
4/8/2019,Mon,3 Nisan 5779,OC 494:1-3
4/9/2019,Tue,4 Nisan 5779,OC 495:1-3
4/10/2019,Wed,5 Nisan 5779,OC 495:4 - 496:2
4/11/2019,Thu,6 Nisan 5779,OC 496:3 - 497:2
4/12/2019,Fri,7 Nisan 5779,OC 497:3-5
4/13/2019,Shab,8 Nisan 5779,OC 497:6-8
4/14/2019,Sun,9 Nisan 5779,OC 497:9-11
4/15/2019,Mon,10 Nisan 5779,OC 497:12-14
4/16/2019,Tue,11 Nisan 5779,OC 497:15-17
4/17/2019,Wed,12 Nisan 5779,OC 498:1-3
4/18/2019,Thu,13 Nisan 5779,OC 498:4-6
4/19/2019,Fri,14 Nisan 5779,OC 498:7-9
4/20/2019,Shab,15 Nisan 5779,OC 498:10-12
4/21/2019,Sun,16 Nisan 5779,OC 498:13-15
4/22/2019,Mon,17 Nisan 5779,OC 498:16-18
4/23/2019,Tue,18 Nisan 5779,OC 498:19 - 499:1
4/24/2019,Wed,19 Nisan 5779,OC 499:2-4
4/25/2019,Thu,20 Nisan 5779,OC 499:5 - 500:2
4/26/2019,Fri,21 Nisan 5779,OC 500:3-5
4/27/2019,Shab,22 Nisan 5779,OC 500:6 - 501:2
4/28/2019,Sun,23 Nisan 5779,OC 501:3-5
4/29/2019,Mon,24 Nisan 5779,OC 501:6 - 502:1
4/30/2019,Tue,25 Nisan 5779,OC 502:2-4
5/1/2019,Wed,26 Nisan 5779,OC 503:1 - 504:1
5/2/2019,Thu,27 Nisan 5779,OC 504:2-4
5/3/2019,Fri,28 Nisan 5779,OC 505:1 - 506:2
5/4/2019,Shab,29 Nisan 5779,OC 506:3-5
5/5/2019,Sun,30 Nisan 5779,OC 506:6-8
5/6/2019,Mon,1 Iyar 5779,OC 506:9 - 507:2
5/7/2019,Tue,2 Iyar 5779,OC 507:3-5
5/8/2019,Wed,3 Iyar 5779,OC 507:6 - 508:1
5/9/2019,Thu,4 Iyar 5779,OC 508:2 - 509:2
5/10/2019,Fri,5 Iyar 5779,OC 509:3-5
5/11/2019,Shab,6 Iyar 5779,OC 509:6 - 510:1
5/12/2019,Sun,7 Iyar 5779,OC 510:2-4
5/13/2019,Mon,8 Iyar 5779,OC 510:5-7
5/14/2019,Tue,9 Iyar 5779,OC 510:8-10
5/15/2019,Wed,10 Iyar 5779,OC 510:11 - 511:2
5/16/2019,Thu,11 Iyar 5779,OC 511:3 - 512:1
5/17/2019,Fri,12 Iyar 5779,OC 512:2 - 513:1
5/18/2019,Shab,13 Iyar 5779,OC 513:2-4
5/19/2019,Sun,14 Iyar 5779,OC 513:5-7
5/20/2019,Mon,15 Iyar 5779,OC 513:8 - 514:2
5/21/2019,Tue,16 Iyar 5779,OC 514:3-5
5/22/2019,Wed,17 Iyar 5779,OC 514:6-8
5/23/2019,Thu,18 Iyar 5779,OC 514:9-11
5/24/2019,Fri,19 Iyar 5779,OC 515:1-3
5/25/2019,Shab,20 Iyar 5779,OC 515:4-6
5/26/2019,Sun,21 Iyar 5779,OC 515:7-9
5/27/2019,Mon,22 Iyar 5779,OC 516:1-3
5/28/2019,Tue,23 Iyar 5779,OC 517:1-3
5/29/2019,Wed,24 Iyar 5779,OC 517:4 - 518:2
5/30/2019,Thu,25 Iyar 5779,OC 518:3-5
5/31/2019,Fri,26 Iyar 5779,OC 518:6-8
6/1/2019,Shab,27 Iyar 5779,OC 518:9 - 519:2
6/2/2019,Sun,28 Iyar 5779,OC 519:3-5
6/3/2019,Mon,29 Iyar 5779,OC 520:1 - 521:2
6/4/2019,Tue,1 Sivan 5779,OC 521:3 - 522:2
6/5/2019,Wed,2 Sivan 5779,OC 522:3 - 523:1
6/6/2019,Thu,3 Sivan 5779,OC 523:2-4
6/7/2019,Fri,4 Sivan 5779,OC 524:1 - 525:1
6/8/2019,Shab,5 Sivan 5779,OC 525:2 - 526:2
6/9/2019,Sun,6 Sivan 5779,OC 526:3-5
6/10/2019,Mon,7 Sivan 5779,OC 526:6-8
6/11/2019,Tue,8 Sivan 5779,OC 526:9-11
6/12/2019,Wed,9 Sivan 5779,OC 526:12 - 527:2
6/13/2019,Thu,10 Sivan 5779,OC 527:3-5
6/14/2019,Fri,11 Sivan 5779,OC 527:6-8
6/15/2019,Shab,12 Sivan 5779,OC 527:9-11
6/16/2019,Sun,13 Sivan 5779,OC 527:12-14
6/17/2019,Mon,14 Sivan 5779,OC 527:15-17
6/18/2019,Tue,15 Sivan 5779,OC 527:18-20
6/19/2019,Wed,16 Sivan 5779,OC 527:21-23
6/20/2019,Thu,17 Sivan 5779,OC 527:24 - 528:2
6/21/2019,Fri,18 Sivan 5779,OC 529:1-3
6/22/2019,Shab,19 Sivan 5779,OC 529:4 - 531:1
6/23/2019,Sun,20 Sivan 5779,OC 531:2-4
6/24/2019,Mon,21 Sivan 5779,OC 531:5-7
6/25/2019,Tue,22 Sivan 5779,OC 531:8 - 532:2
6/26/2019,Wed,23 Sivan 5779,OC 533:1-3
6/27/2019,Thu,24 Sivan 5779,OC 533:4 - 534:1
6/28/2019,Fri,25 Sivan 5779,OC 534:2 - 535:1
6/29/2019,Shab,26 Sivan 5779,OC 535:2 - 536:1
6/30/2019,Sun,27 Sivan 5779,OC 536:2-4
7/1/2019,Mon,28 Sivan 5779,OC 537:1-3
7/2/2019,Tue,29 Sivan 5779,OC 537:4-6
7/3/2019,Wed,30 Sivan 5779,OC 537:7-9
7/4/2019,Thu,1 Tamuz 5779,OC 537:10-12
7/5/2019,Fri,2 Tamuz 5779,OC 537:13-15
7/6/2019,Shab,3 Tamuz 5779,OC 537:16 - 538:2
7/7/2019,Sun,4 Tamuz 5779,OC 538:3-5
7/8/2019,Mon,5 Tamuz 5779,OC 538:6 - 539:2
7/9/2019,Tue,6 Tamuz 5779,OC 539:3-5
7/10/2019,Wed,7 Tamuz 5779,OC 539:6-8
7/11/2019,Thu,8 Tamuz 5779,OC 539:9-11
7/12/2019,Fri,9 Tamuz 5779,OC 539:12-14
7/13/2019,Shab,10 Tamuz 5779,OC 540:1-3
7/14/2019,Sun,11 Tamuz 5779,OC 540:4-6
7/15/2019,Mon,12 Tamuz 5779,OC 540:7 - 541:1
7/16/2019,Tue,13 Tamuz 5779,OC 541:2-4
7/17/2019,Wed,14 Tamuz 5779,OC 541:5 - 542:2
7/18/2019,Thu,15 Tamuz 5779,OC 543:1-3
7/19/2019,Fri,16 Tamuz 5779,OC 544:1 - 545:1
7/20/2019,Shab,17 Tamuz 5779,OC 545:2-4
7/21/2019,Sun,18 Tamuz 5779,OC 545:5-7
7/22/2019,Mon,19 Tamuz 5779,OC 545:8-10
7/23/2019,Tue,20 Tamuz 5779,OC 545:11 - 546:2
7/24/2019,Wed,21 Tamuz 5779,OC 546:3-5
7/25/2019,Thu,22 Tamuz 5779,OC 547:1-3
7/26/2019,Fri,23 Tamuz 5779,OC 547:4-6
7/27/2019,Shab,24 Tamuz 5779,OC 547:7-9
7/28/2019,Sun,25 Tamuz 5779,OC 547:10-12
7/29/2019,Mon,26 Tamuz 5779,OC 548:1-3
7/30/2019,Tue,27 Tamuz 5779,OC 548:4-6
7/31/2019,Wed,28 Tamuz 5779,OC 548:7-9
8/1/2019,Thu,29 Tamuz 5779,OC 548:10-12
8/2/2019,Fri,1 Av 5779,OC 548:13-15
8/3/2019,Shab,2 Av 5779,OC 548:16-18
8/4/2019,Sun,3 Av 5779,OC 548:19 - 549:1
8/5/2019,Mon,4 Av 5779,OC 549:2 - 550:2
8/6/2019,Tue,5 Av 5779,OC 550:3 - 551:1
8/7/2019,Wed,6 Av 5779,OC 551:2-4
8/8/2019,Thu,7 Av 5779,OC 551:5-7
8/9/2019,Fri,8 Av 5779,OC 551:8-10
8/10/2019,Shab,9 Av 5779,OC 551:11-13
8/11/2019,Sun,10 Av 5779,OC 551:14-16
8/12/2019,Mon,11 Av 5779,OC 551:17 - 552:1
8/13/2019,Tue,12 Av 5779,OC 552:2-4
8/14/2019,Wed,13 Av 5779,OC 552:5-7
8/15/2019,Thu,14 Av 5779,OC 552:8-10
8/16/2019,Fri,15 Av 5779,OC 552:11 - 553:1
8/17/2019,Shab,16 Av 5779,OC 553:2 - 554:2
8/18/2019,Sun,17 Av 5779,OC 554:3-5
8/19/2019,Mon,18 Av 5779,OC 554:6-8
8/20/2019,Tue,19 Av 5779,OC 554:9-11
8/21/2019,Wed,20 Av 5779,OC 554:12-14
8/22/2019,Thu,21 Av 5779,OC 554:15-17
8/23/2019,Fri,22 Av 5779,OC 554:18-20
8/24/2019,Shab,23 Av 5779,OC 554:21-23
8/25/2019,Sun,24 Av 5779,OC 554:24 - 555:1
8/26/2019,Mon,25 Av 5779,OC 555:2 - 557:1
8/27/2019,Tue,26 Av 5779,OC 558:1 - 559:2
8/28/2019,Wed,27 Av 5779,OC 559:3-5
8/29/2019,Thu,28 Av 5779,OC 559:6-8
8/30/2019,Fri,29 Av 5779,OC 559:9 - 560:1
8/31/2019,Shab,30 Av 5779,OC 560:2-4
9/1/2019,Sun,1 Elul 5779,OC 560:5 - 561:2
9/2/2019,Mon,2 Elul 5779,OC 561:3-5
9/3/2019,Tue,3 Elul 5779,OC 562:1-3
9/4/2019,Wed,4 Elul 5779,OC 562:4-6
9/5/2019,Thu,5 Elul 5779,OC 562:7-9
9/6/2019,Fri,6 Elul 5779,OC 562:10-12
9/7/2019,Shab,7 Elul 5779,OC 562:13 - 564:1
9/8/2019,Sun,8 Elul 5779,OC 565:1-3
9/9/2019,Mon,9 Elul 5779,OC 565:4-6
9/10/2019,Tue,10 Elul 5779,OC 566:1-3
9/11/2019,Wed,11 Elul 5779,OC 566:4-6
9/12/2019,Thu,12 Elul 5779,OC 566:7 - 567:1
9/13/2019,Fri,13 Elul 5779,OC 567:2 - 568:1
9/14/2019,Shab,14 Elul 5779,OC 568:2-4
9/15/2019,Sun,15 Elul 5779,OC 568:5-7
9/16/2019,Mon,16 Elul 5779,OC 568:8-10
9/17/2019,Tue,17 Elul 5779,OC 568:11 - 569:1
9/18/2019,Wed,18 Elul 5779,OC 569:2 - 570:2
9/19/2019,Thu,19 Elul 5779,OC 570:3 - 571:2
9/20/2019,Fri,20 Elul 5779,OC 571:3 - 572:2
9/21/2019,Shab,21 Elul 5779,OC 572:3 - 574:1
9/22/2019,Sun,22 Elul 5779,OC 574:2-4
9/23/2019,Mon,23 Elul 5779,OC 574:5 - 575:2
9/24/2019,Tue,24 Elul 5779,OC 575:3-5
9/25/2019,Wed,25 Elul 5779,OC 575:6-8
9/26/2019,Thu,26 Elul 5779,OC 575:9-11
9/27/2019,Fri,27 Elul 5779,OC 575:12 - 576:1
9/28/2019,Shab,28 Elul 5779,OC 576:2-4
9/29/2019,Sun,29 Elul 5779,OC 576:5-7
9/30/2019,Mon,1 Tishrei 5780,OC 576:8-10
10/1/2019,Tue,2 Tishrei 5780,OC 576:11-13
10/2/2019,Wed,3 Tishrei 5780,OC 576:14-16
10/3/2019,Thu,4 Tishrei 5780,OC 577:1 - 579:1
10/4/2019,Fri,5 Tishrei 5780,OC 579:2 - 580:1
10/5/2019,Shab,6 Tishrei 5780,OC 580:2 - 581:1
10/6/2019,Sun,7 Tishrei 5780,OC 581:2-4
10/7/2019,Mon,8 Tishrei 5780,OC 582:1-3
10/8/2019,Tue,9 Tishrei 5780,OC 582:4-6
10/9/2019,Wed,10 Tishrei 5780,OC 582:7-9
10/10/2019,Thu,11 Tishrei 5780,OC 583:1 - 584:1
10/11/2019,Fri,12 Tishrei 5780,OC 584:2-4
10/12/2019,Shab,13 Tishrei 5780,OC 585:1-3
10/13/2019,Sun,14 Tishrei 5780,OC 585:4 - 586:1
10/14/2019,Mon,15 Tishrei 5780,OC 586:2-4
10/15/2019,Tue,16 Tishrei 5780,OC 586:5-7
10/16/2019,Wed,17 Tishrei 5780,OC 586:8-10
10/17/2019,Thu,18 Tishrei 5780,OC 586:11-13
10/18/2019,Fri,19 Tishrei 5780,OC 586:14-16
10/19/2019,Shab,20 Tishrei 5780,OC 586:17-19
10/20/2019,Sun,21 Tishrei 5780,OC 586:20-22
10/21/2019,Mon,22 Tishrei 5780,OC 586:23 - 587:2
10/22/2019,Tue,23 Tishrei 5780,OC 587:3 - 588:2
10/23/2019,Wed,24 Tishrei 5780,OC 588:3-5
10/24/2019,Thu,25 Tishrei 5780,OC 589:1-3
10/25/2019,Fri,26 Tishrei 5780,OC 589:4-6
10/26/2019,Shab,27 Tishrei 5780,OC 589:7-9
10/27/2019,Sun,28 Tishrei 5780,OC 590:1-3
10/28/2019,Mon,29 Tishrei 5780,OC 590:4-6
10/29/2019,Tue,30 Tishrei 5780,OC 590:7-9
10/30/2019,Wed,1 Cheshvan 5780,OC 591:1-3
10/31/2019,Thu,2 Cheshvan 5780,OC 591:4-6
11/1/2019,Fri,3 Cheshvan 5780,OC 591:7 - 592:1
11/2/2019,Shab,4 Cheshvan 5780,OC 592:2-4
11/3/2019,Sun,5 Cheshvan 5780,OC 593:1 - 594:1
11/4/2019,Mon,6 Cheshvan 5780,OC 595:1 - 597:1
11/5/2019,Tue,7 Cheshvan 5780,OC 597:2 - 598:1
11/6/2019,Wed,8 Cheshvan 5780,OC 599:1 - 600:2
11/7/2019,Thu,9 Cheshvan 5780,OC 600:3 - 601:2
11/8/2019,Fri,10 Cheshvan 5780,OC 602:1 - 604:1
11/9/2019,Shab,11 Cheshvan 5780,OC 604:2 - 606:1
11/10/2019,Sun,12 Cheshvan 5780,OC 606:2-4
11/11/2019,Mon,13 Cheshvan 5780,OC 607:1-3
11/12/2019,Tue,14 Cheshvan 5780,OC 607:4-6
11/13/2019,Wed,15 Cheshvan 5780,OC 608:1-3
11/14/2019,Thu,16 Cheshvan 5780,OC 608:4 - 610:1
11/15/2019,Fri,17 Cheshvan 5780,OC 610:2-4
11/16/2019,Shab,18 Cheshvan 5780,OC 611:1 - 612:1
11/17/2019,Sun,19 Cheshvan 5780,OC 612:2-4
11/18/2019,Mon,20 Cheshvan 5780,OC 612:5-7
11/19/2019,Tue,21 Cheshvan 5780,OC 612:8-10
11/20/2019,Wed,22 Cheshvan 5780,OC 613:1-3
11/21/2019,Thu,23 Cheshvan 5780,OC 613:4-6
11/22/2019,Fri,24 Cheshvan 5780,OC 613:7-9
11/23/2019,Shab,25 Cheshvan 5780,OC 613:10-12
11/24/2019,Sun,26 Cheshvan 5780,OC 614:1-3
11/25/2019,Mon,27 Cheshvan 5780,OC 614:4 - 615:2
11/26/2019,Tue,28 Cheshvan 5780,OC 616:1 - 617:1
11/27/2019,Wed,29 Cheshvan 5780,OC 617:2-4
11/28/2019,Thu,30 Cheshvan 5780,OC 618:1-3
11/29/2019,Fri,1 Kislev 5780,OC 618:4-6
11/30/2019,Shab,2 Kislev 5780,OC 618:7-9
12/1/2019,Sun,3 Kislev 5780,OC 618:10 - 619:2
12/2/2019,Mon,4 Kislev 5780,OC 619:3-5
12/3/2019,Tue,5 Kislev 5780,OC 619:6 - 621:1
12/4/2019,Wed,6 Kislev 5780,OC 621:2-4
12/5/2019,Thu,7 Kislev 5780,OC 621:5 - 622:1
12/6/2019,Fri,8 Kislev 5780,OC 622:2-4
12/7/2019,Shab,9 Kislev 5780,OC 623:1-3
12/8/2019,Sun,10 Kislev 5780,OC 623:4-6
12/9/2019,Mon,11 Kislev 5780,OC 624:1-3
12/10/2019,Tue,12 Kislev 5780,OC 624:4 - 625:1
12/11/2019,Wed,13 Kislev 5780,OC 626:1-3
12/12/2019,Thu,14 Kislev 5780,OC 627:1-3
12/13/2019,Fri,15 Kislev 5780,OC 627:4 - 628:2
12/14/2019,Shab,16 Kislev 5780,OC 628:3 - 629:2
12/15/2019,Sun,17 Kislev 5780,OC 629:3-5
12/16/2019,Mon,18 Kislev 5780,OC 629:6-8
12/17/2019,Tue,19 Kislev 5780,OC 629:9-11
12/18/2019,Wed,20 Kislev 5780,OC 629:12-14
12/19/2019,Thu,21 Kislev 5780,OC 629:15-17
12/20/2019,Fri,22 Kislev 5780,OC 629:18 - 630:1
12/21/2019,Shab,23 Kislev 5780,OC 630:2-4
12/22/2019,Sun,24 Kislev 5780,OC 630:5-7
12/23/2019,Mon,25 Kislev 5780,OC 630:8-10
12/24/2019,Tue,26 Kislev 5780,OC 630:11-13
12/25/2019,Wed,27 Kislev 5780,OC 631:1-3
12/26/2019,Thu,28 Kislev 5780,OC 631:4-6
12/27/2019,Fri,29 Kislev 5780,OC 631:7-9
12/28/2019,Shab,30 Kislev 5780,OC 631:10 - 632:2
12/29/2019,Sun,1 Teves 5780,OC 632:3 - 633:1
12/30/2019,Mon,2 Teves 5780,OC 633:2-4
12/31/2019,Tue,3 Teves 5780,OC 633:5-7
1/1/2020,Wed,4 Teves 5780,OC 633:8-10
1/2/2020,Thu,5 Teves 5780,OC 634:1-3
1/3/2020,Fri,6 Teves 5780,OC 634:4 - 636:1
1/4/2020,Shab,7 Teves 5780,OC 636:2 - 637:2
1/5/2020,Sun,8 Teves 5780,OC 637:3 - 638:2
1/6/2020,Mon,9 Teves 5780,OC 639:1-3
1/7/2020,Tue,10 Teves 5780,OC 639:4-6
1/8/2020,Wed,11 Teves 5780,OC 639:7 - 640:1
1/9/2020,Thu,12 Teves 5780,OC 640:2-4
1/10/2020,Fri,13 Teves 5780,OC 640:5-7
1/11/2020,Shab,14 Teves 5780,OC 640:8-10
1/12/2020,Sun,15 Teves 5780,OC 641:1 - 643:1
1/13/2020,Mon,16 Teves 5780,OC 643:2 - 644:1
1/14/2020,Tue,17 Teves 5780,OC 644:2 - 645:2
1/15/2020,Wed,18 Teves 5780,OC 645:3-5
1/16/2020,Thu,19 Teves 5780,OC 645:6-8
1/17/2020,Fri,20 Teves 5780,OC 645:9 - 646:2
1/18/2020,Shab,21 Teves 5780,OC 646:3-5
1/19/2020,Sun,22 Teves 5780,OC 646:6-8
1/20/2020,Mon,23 Teves 5780,OC 646:9-11
1/21/2020,Tue,24 Teves 5780,OC 647:1 - 648:1
1/22/2020,Wed,25 Teves 5780,OC 648:2-4
1/23/2020,Thu,26 Teves 5780,OC 648:5-7
1/24/2020,Fri,27 Teves 5780,OC 648:8-10
1/25/2020,Shab,28 Teves 5780,OC 648:11-13
1/26/2020,Sun,29 Teves 5780,OC 648:14-16
1/27/2020,Mon,1 Shevat 5780,OC 648:17-19
1/28/2020,Tue,2 Shevat 5780,OC 648:20-22
1/29/2020,Wed,3 Shevat 5780,OC 649:1-3
1/30/2020,Thu,4 Shevat 5780,OC 649:4-6
1/31/2020,Fri,5 Shevat 5780,OC 650:1 - 651:1
2/1/2020,Shab,6 Shevat 5780,OC 651:2-4
2/2/2020,Sun,7 Shevat 5780,OC 651:5-7
2/3/2020,Mon,8 Shevat 5780,OC 651:8-10
2/4/2020,Tue,9 Shevat 5780,OC 651:11-13
2/5/2020,Wed,10 Shevat 5780,OC 651:14 - 652:1
2/6/2020,Thu,11 Shevat 5780,OC 652:2 - 653:2
2/7/2020,Fri,12 Shevat 5780,OC 654:1 - 656:1
2/8/2020,Shab,13 Shevat 5780,OC 657:1 - 658:2
2/9/2020,Sun,14 Shevat 5780,OC 658:3-5
2/10/2020,Mon,15 Shevat 5780,OC 658:6-8
2/11/2020,Tue,16 Shevat 5780,OC 658:9 - 660:1
2/12/2020,Wed,17 Shevat 5780,OC 660:2 - 661:1
2/13/2020,Thu,18 Shevat 5780,OC 662:1-3
2/14/2020,Fri,19 Shevat 5780,OC 663:1-3
2/15/2020,Shab,20 Shevat 5780,OC 664:1-3
2/16/2020,Sun,21 Shevat 5780,OC 664:4-6
2/17/2020,Mon,22 Shevat 5780,OC 664:7-9
2/18/2020,Tue,23 Shevat 5780,OC 664:10 - 665:1
