Week #,Secular Date,Day Of Week,Hebrew Date,Daf,Parsha
825,12/20/2020,Su,טבת 5 5781,יבמות לב,ויגש
826,12/27/2020,Su,טבת 12 5781,יבמות לג,ויחי
827,01/03/2021,Su,טבת 19 5781,יבמות לד,שמות
828,01/10/2021,Su,טבת 26 5781,יבמות לה,וארא
829,01/17/2021,Su,שבט 4 5781,יבמות לו,בא
830,01/24/2021,Su,שבט 11 5781,יבמות לז,בשלח
831,01/31/2021,Su,שבט 18 5781,יבמות לח,יתרו
832,02/07/2021,Su,שבט 25 5781,יבמות לט,משפטים
833,02/14/2021,Su,אדר 2 5781,יבמות מ,תרומה
834,02/21/2021,Su,אדר 9 5781,יבמות מא,תצוה
835,02/28/2021,Su,אדר 16 5781,יבמות מב,כי תשא
836,03/07/2021,Su,אדר 23 5781,יבמות מג,ויקהל-פקודי
837,03/14/2021,Su,ניסן 1 5781,יבמות מד,ויקרא
838,03/21/2021,Su,ניסן 8 5781,יבמות מה,צו
839,03/28/2021,Su,ניסן 15 5781,יבמות מו,פסח
840,04/04/2021,Su,ניסן 22 5781,יבמות מז,שמיני
841,04/11/2021,Su,ניסן 29 5781,יבמות מח,תזריע-מצורע
842,04/18/2021,Su,אייר 6 5781,יבמות מט,אחרי מות-קדשים
843,04/25/2021,Su,אייר 13 5781,יבמות נ,אמור
844,05/02/2021,Su,אייר 20 5781,יבמות נא,בהר-בחקתי
845,05/09/2021,Su,אייר 27 5781,יבמות נב,במדבר
846,05/16/2021,Su,סיון 5 5781,יבמות נג,נשא
847,05/23/2021,Su,סיון 12 5781,יבמות נד,בהעלתך
848,05/30/2021,Su,סיון 19 5781,יבמות נה,שלח לך
849,06/06/2021,Su,סיון 26 5781,יבמות נו,קרח
850,06/13/2021,Su,תמוז 3 5781,יבמות נז,חקת
851,06/20/2021,Su,תמוז 10 5781,יבמות נח,בלק
852,06/27/2021,Su,תמוז 17 5781,יבמות נט,פינחס
853,07/04/2021,Su,תמוז 24 5781,יבמות ס,מטות-מסעי
854,07/11/2021,Su,אב 2 5781,יבמות סא,דברים
855,07/18/2021,Su,אב 9 5781,יבמות סב,ואתחנן
856,07/25/2021,Su,אב 16 5781,יבמות סג,עקב
857,08/01/2021,Su,אב 23 5781,יבמות סד,ראה
858,08/08/2021,Su,אב 30 5781,יבמות סה,שופטים
859,08/15/2021,Su,אלול 7 5781,יבמות סו,כי תצא
860,08/22/2021,Su,אלול 14 5781,יבמות סז,כי תבוא
861,08/29/2021,Su,אלול 21 5781,יבמות סח,נצבים
862,09/05/2021,Su,אלול 28 5781,יבמות סט,וילך
863,09/12/2021,Su,תשרי 6 5782,יבמות ע,האזינו
864,09/19/2021,Su,תשרי 13 5782,יבמות עא,"חוה""מ סוכות"
865,09/26/2021,Su,תשרי 20 5782,יבמות עב,בראשית
866,10/03/2021,Su,תשרי 27 5782,יבמות עג,נח
867,10/10/2021,Su,חשון 4 5782,יבמות עד,לך לך
868,10/17/2021,Su,חשון 11 5782,יבמות עה,וירא
869,10/24/2021,Su,חשון 18 5782,יבמות עו,חיי שרה
870,10/31/2021,Su,חשון 25 5782,יבמות עז,תולדת
871,11/07/2021,Su,כסלו 3 5782,יבמות עח,ויצא
872,11/14/2021,Su,כסלו 10 5782,יבמות עט,וישלח
873,11/21/2021,Su,כסלו 17 5782,יבמות פ,וישב
874,11/28/2021,Su,כסלו 24 5782,יבמות פא,מקץ
875,12/05/2021,Su,טבת 1 5782,יבמות פב,ויגש
876,12/12/2021,Su,טבת 8 5782,יבמות פג,ויחי
877,12/19/2021,Su,טבת 15 5782,יבמות פד,שמות
878,12/26/2021,Su,טבת 22 5782,יבמות פה,וארא
879,01/02/2022,Su,טבת 29 5782,יבמות פו,בא
880,01/09/2022,Su,שבט 7 5782,יבמות פז,בשלח
881,01/16/2022,Su,שבט 14 5782,יבמות פח,יתרו
882,01/23/2022,Su,שבט 21 5782,יבמות פט,משפטים
883,01/30/2022,Su,שבט 28 5782,יבמות צ,תרומה
884,02/06/2022,Su,אדר א 5 5782,יבמות צא,תצוה
885,02/13/2022,Su,אדר א 12 5782,יבמות צב,כי תשא
886,02/20/2022,Su,אדר א 19 5782,יבמות צג,ויקהל
887,02/27/2022,Su,אדר א 26 5782,יבמות צד,פקודי
888,03/06/2022,Su,אדר ב 3 5782,יבמות צה,ויקרא
889,03/13/2022,Su,אדר ב 10 5782,יבמות צו,צו
890,03/20/2022,Su,אדר ב 17 5782,יבמות צז,שמיני
891,03/27/2022,Su,אדר ב 24 5782,יבמות צח,תזריע
892,04/03/2022,Su,ניסן 2 5782,יבמות צט,מצורע
893,04/10/2022,Su,ניסן 9 5782,יבמות ק,פסח
894,04/17/2022,Su,ניסן 16 5782,יבמות קא,פסח
895,04/24/2022,Su,ניסן 23 5782,יבמות קב,אחרי מות
896,05/01/2022,Su,ניסן 30 5782,יבמות קג,קדשים
897,05/08/2022,Su,אייר 7 5782,יבמות קד,אמור
898,05/15/2022,Su,אייר 14 5782,יבמות קה,בהר
899,05/22/2022,Su,אייר 21 5782,יבמות קו,בחקתי
900,05/29/2022,Su,אייר 28 5782,יבמות קז,במדבר
901,06/05/2022,Su,סיון 6 5782,יבמות קח,נשא
902,06/12/2022,Su,סיון 13 5782,יבמות קט,בהעלתך
903,06/19/2022,Su,סיון 20 5782,יבמות קי,שלח לך
904,06/26/2022,Su,סיון 27 5782,יבמות קיא,קרח
905,07/03/2022,Su,תמוז 4 5782,יבמות קיב,חקת
906,07/10/2022,Su,תמוז 11 5782,יבמות קיג,בלק
907,07/17/2022,Su,תמוז 18 5782,יבמות קיד,פינחס
908,07/24/2022,Su,תמוז 25 5782,יבמות קטו,מטות-מסעי
909,07/31/2022,Su,אב 3 5782,יבמות קטז,דברים
910,08/07/2022,Su,אב 10 5782,יבמות קיז,ואתחנן
911,08/14/2022,Su,אב 17 5782,יבמות קיח,עקב
912,08/21/2022,Su,אב 24 5782,יבמות קיט,ראה
913,08/28/2022,Su,אלול 1 5782,יבמות קכ,שופטים
914,09/04/2022,Su,אלול 8 5782,יבמות קכא,כי תצא
915,09/11/2022,Su,אלול 15 5782,יבמות קכב,כי תבוא
916,09/18/2022,Su,אלול 22 5782,כתובות ב,נצבים
917,09/25/2022,Su,אלול 29 5782,כתובות ג,וילך
918,10/02/2022,Su,תשרי 7 5783,כתובות ד,האזינו
919,10/09/2022,Su,תשרי 14 5783,כתובות ה,"חוה""מ סוכות"
920,10/16/2022,Su,תשרי 21 5783,כתובות ו,בראשית
921,10/23/2022,Su,תשרי 28 5783,כתובות ז,נח
922,10/30/2022,Su,חשון 5 5783,כתובות ח,לך לך
923,11/06/2022,Su,חשון 12 5783,כתובות ט,וירא
924,11/13/2022,Su,חשון 19 5783,כתובות י,חיי שרה
925,11/20/2022,Su,חשון 26 5783,כתובות יא,תולדת
926,11/27/2022,Su,כסלו 3 5783,כתובות יב,ויצא
927,12/04/2022,Su,כסלו 10 5783,כתובות יג,וישלח
928,12/11/2022,Su,כסלו 17 5783,כתובות יד,וישב
929,12/18/2022,Su,כסלו 24 5783,כתובות טו,מקץ
930,12/25/2022,Su,טבת 1 5783,כתובות טז,ויגש
931,01/01/2023,Su,טבת 8 5783,כתובות יז,ויחי
932,01/08/2023,Su,טבת 15 5783,כתובות יח,שמות
933,01/15/2023,Su,טבת 22 5783,כתובות יט,וארא
934,01/22/2023,Su,טבת 29 5783,כתובות כ,בא
935,01/29/2023,Su,שבט 7 5783,כתובות כא,בשלח
936,02/05/2023,Su,שבט 14 5783,כתובות כב,יתרו
937,02/12/2023,Su,שבט 21 5783,כתובות כג,משפטים
938,02/19/2023,Su,שבט 28 5783,כתובות כד,תרומה
939,02/26/2023,Su,אדר 5 5783,כתובות כה,תצוה
940,03/05/2023,Su,אדר 12 5783,כתובות כו,כי תשא
941,03/12/2023,Su,אדר 19 5783,כתובות כז,ויקהל-פקודי
942,03/19/2023,Su,אדר 26 5783,כתובות כח,ויקרא
943,03/26/2023,Su,ניסן 4 5783,כתובות כט,צו
944,04/02/2023,Su,ניסן 11 5783,כתובות ל,"חוה""מ פסח"
945,04/09/2023,Su,ניסן 18 5783,כתובות לא,שמיני
946,04/16/2023,Su,ניסן 25 5783,כתובות לב,תזריע-מצורע
947,04/23/2023,Su,אייר 2 5783,כתובות לג,אחרי מות-קדשים
948,04/30/2023,Su,אייר 9 5783,כתובות לד,אמור
949,05/07/2023,Su,אייר 16 5783,כתובות לה,בהר-בחקתי
950,05/14/2023,Su,אייר 23 5783,כתובות לו,במדבר
951,05/21/2023,Su,סיון 1 5783,כתובות לז,שבועות
952,05/28/2023,Su,סיון 8 5783,כתובות לח,נשא
953,06/04/2023,Su,סיון 15 5783,כתובות לט,בהעלתך
954,06/11/2023,Su,סיון 22 5783,כתובות מ,שלח לך
955,06/18/2023,Su,סיון 29 5783,כתובות מא,קרח
956,06/25/2023,Su,תמוז 6 5783,כתובות מב,חקת-בלק
957,07/02/2023,Su,תמוז 13 5783,כתובות מג,פינחס
958,07/09/2023,Su,תמוז 20 5783,כתובות מד,מטות-מסעי
959,07/16/2023,Su,תמוז 27 5783,כתובות מה,דברים
960,07/23/2023,Su,אב 5 5783,כתובות מו,ואתחנן
961,07/30/2023,Su,אב 12 5783,כתובות מז,עקב
962,08/06/2023,Su,אב 19 5783,כתובות מח,ראה
963,08/13/2023,Su,אב 26 5783,כתובות מט,שופטים
964,08/20/2023,Su,אלול 3 5783,כתובות נ,כי תצא
965,08/27/2023,Su,אלול 10 5783,כתובות נא,כי תבוא
966,09/03/2023,Su,אלול 17 5783,כתובות נב,נצבים-וילך
967,09/10/2023,Su,אלול 24 5783,כתובות נג,ראש השנה
968,09/17/2023,Su,תשרי 2 5784,כתובות נד,האזינו
969,09/24/2023,Su,תשרי 9 5784,כתובות נה,סוכות
970,10/01/2023,Su,תשרי 16 5784,כתובות נו,שמיני עצרת
971,10/08/2023,Su,תשרי 23 5784,כתובות נז,בראשית
972,10/15/2023,Su,תשרי 30 5784,כתובות נח,נח
973,10/22/2023,Su,חשון 7 5784,כתובות נט,לך לך
974,10/29/2023,Su,חשון 14 5784,כתובות ס,וירא
975,11/05/2023,Su,חשון 21 5784,כתובות סא,חיי שרה
976,11/12/2023,Su,חשון 28 5784,כתובות סב,תולדת
977,11/19/2023,Su,כסלו 6 5784,כתובות סג,ויצא
978,11/26/2023,Su,כסלו 13 5784,כתובות סד,וישלח
979,12/03/2023,Su,כסלו 20 5784,כתובות סה,וישב
980,12/10/2023,Su,כסלו 27 5784,כתובות סו,מקץ
981,12/17/2023,Su,טבת 5 5784,כתובות סז,ויגש
982,12/24/2023,Su,טבת 12 5784,כתובות סח,ויחי
983,12/31/2023,Su,טבת 19 5784,כתובות סט,שמות
984,01/07/2024,Su,טבת 26 5784,כתובות ע,וארא
985,01/14/2024,Su,שבט 4 5784,כתובות עא,בא
986,01/21/2024,Su,שבט 11 5784,כתובות עב,בשלח
987,01/28/2024,Su,שבט 18 5784,כתובות עג,יתרו
988,02/04/2024,Su,שבט 25 5784,כתובות עד,משפטים
989,02/11/2024,Su,אדר א 2 5784,כתובות עה,תרומה
990,02/18/2024,Su,אדר א 9 5784,כתובות עו,תצוה
991,02/25/2024,Su,אדר א 16 5784,כתובות עז,כי תשא
992,03/03/2024,Su,אדר א 23 5784,כתובות עח,ויקהל
993,03/10/2024,Su,אדר א 30 5784,כתובות עט,פקודי
994,03/17/2024,Su,אדר ב 7 5784,כתובות פ,ויקרא
995,03/24/2024,Su,אדר ב 14 5784,כתובות פא,צו
996,03/31/2024,Su,אדר ב 21 5784,כתובות פב,שמיני
997,04/07/2024,Su,אדר ב 28 5784,כתובות פג,תזריע
998,04/14/2024,Su,ניסן 6 5784,כתובות פד,מצורע
999,04/21/2024,Su,ניסן 13 5784,כתובות פה,"חוה""מ פסח"
1000,04/28/2024,Su,ניסן 20 5784,כתובות פו,אחרי מות
1001,05/05/2024,Su,ניסן 27 5784,כתובות פז,קדשים
1002,05/12/2024,Su,אייר 4 5784,כתובות פח,אמור
1003,05/19/2024,Su,אייר 11 5784,כתובות פט,בהר
1004,05/26/2024,Su,אייר 18 5784,כתובות צ,בחקתי
1005,06/02/2024,Su,אייר 25 5784,כתובות צא,במדבר
1006,06/09/2024,Su,סיון 3 5784,כתובות צב,נשא
1007,06/16/2024,Su,סיון 10 5784,כתובות צג,בהעלתך
1008,06/23/2024,Su,סיון 17 5784,כתובות צד,שלח לך
1009,06/30/2024,Su,סיון 24 5784,כתובות צה,קרח
1010,07/07/2024,Su,תמוז 1 5784,כתובות צו,חקת
1011,07/14/2024,Su,תמוז 8 5784,כתובות צז,בלק
1012,07/21/2024,Su,תמוז 15 5784,כתובות צח,פינחס
1013,07/28/2024,Su,תמוז 22 5784,כתובות צט,מטות-מסעי
1014,08/04/2024,Su,תמוז 29 5784,כתובות ק,דברים
1015,08/11/2024,Su,אב 7 5784,כתובות קא,ואתחנן
1016,08/18/2024,Su,אב 14 5784,כתובות קב,עקב
1017,08/25/2024,Su,אב 21 5784,כתובות קג,ראה
1018,09/01/2024,Su,אב 28 5784,כתובות קד,שופטים
1019,09/08/2024,Su,אלול 5 5784,כתובות קה,כי תצא
1020,09/15/2024,Su,אלול 12 5784,כתובות קו,כי תבוא
1021,09/22/2024,Su,אלול 19 5784,כתובות קז,נצבים-וילך
1022,09/29/2024,Su,אלול 26 5784,כתובות קח,האזינו
1023,10/06/2024,Su,תשרי 4 5785,כתובות קט,יום כיפור
1024,10/13/2024,Su,תשרי 11 5785,כתובות קי,"חוה""מ סוכות"
1025,10/20/2024,Su,תשרי 18 5785,כתובות קיא,בראשית
1026,10/27/2024,Su,תשרי 25 5785,כתובות קיב,נח
1027,11/03/2024,Su,חשון 2 5785,נדרים ב,לך לך
1028,11/10/2024,Su,חשון 9 5785,נדרים ג,וירא
1029,11/17/2024,Su,חשון 16 5785,נדרים ד,חיי שרה
1030,11/24/2024,Su,חשון 23 5785,נדרים ה,תולדת
1031,12/01/2024,Su,חשון 30 5785,נדרים ו,ויצא
1032,12/08/2024,Su,כסלו 7 5785,נדרים ז,וישלח
1033,12/15/2024,Su,כסלו 14 5785,נדרים ח,וישב
1034,12/22/2024,Su,כסלו 21 5785,נדרים ט,מקץ
1035,12/29/2024,Su,כסלו 28 5785,נדרים י,ויגש
1036,01/05/2025,Su,טבת 5 5785,נדרים יא,ויחי
1037,01/12/2025,Su,טבת 12 5785,נדרים יב,שמות
1038,01/19/2025,Su,טבת 19 5785,נדרים יג,וארא
1039,01/26/2025,Su,טבת 26 5785,נדרים יד,בא
1040,02/02/2025,Su,שבט 4 5785,נדרים טו,בשלח
1041,02/09/2025,Su,שבט 11 5785,נדרים טז,יתרו
1042,02/16/2025,Su,שבט 18 5785,נדרים יז,משפטים
1043,02/23/2025,Su,שבט 25 5785,נדרים יח,תרומה
1044,03/02/2025,Su,אדר 2 5785,נדרים יט,תצוה
1045,03/09/2025,Su,אדר 9 5785,נדרים כ,כי תשא
1046,03/16/2025,Su,אדר 16 5785,נדרים כא,ויקהל
1047,03/23/2025,Su,אדר 23 5785,נדרים כב,פקודי
1048,03/30/2025,Su,ניסן 1 5785,נדרים כג,ויקרא
1049,04/06/2025,Su,ניסן 8 5785,נדרים כד,צו
1050,04/13/2025,Su,ניסן 15 5785,נדרים כה,פסח
1051,04/20/2025,Su,ניסן 22 5785,נדרים כו,שמיני
1052,04/27/2025,Su,ניסן 29 5785,נדרים כז,תזריע-מצורע
1053,05/04/2025,Su,אייר 6 5785,נדרים כח,אחרי מות-קדשים
1054,05/11/2025,Su,אייר 13 5785,נדרים כט,אמור
1055,05/18/2025,Su,אייר 20 5785,נדרים ל,בהר-בחקתי
1056,05/25/2025,Su,אייר 27 5785,נדרים לא,במדבר
1057,06/01/2025,Su,סיון 5 5785,נדרים לב,נשא
1058,06/08/2025,Su,סיון 12 5785,נדרים לג,בהעלתך
1059,06/15/2025,Su,סיון 19 5785,נדרים לד,שלח לך
1060,06/22/2025,Su,סיון 26 5785,נדרים לה,קרח
1061,06/29/2025,Su,תמוז 3 5785,נדרים לו,חקת
1062,07/06/2025,Su,תמוז 10 5785,נדרים לז,בלק
1063,07/13/2025,Su,תמוז 17 5785,נדרים לח,פינחס
1064,07/20/2025,Su,תמוז 24 5785,נדרים לט,מטות-מסעי
1065,07/27/2025,Su,אב 2 5785,נדרים מ,דברים
1066,08/03/2025,Su,אב 9 5785,נדרים מא,ואתחנן
1067,08/10/2025,Su,אב 16 5785,נדרים מב,עקב
1068,08/17/2025,Su,אב 23 5785,נדרים מג,ראה
1069,08/24/2025,Su,אב 30 5785,נדרים מד,שופטים
1070,08/31/2025,Su,אלול 7 5785,נדרים מה,כי תצא
1071,09/07/2025,Su,אלול 14 5785,נדרים מו,כי תבוא
1072,09/14/2025,Su,אלול 21 5785,נדרים מז,נצבים
1073,09/21/2025,Su,אלול 28 5785,נדרים מח,וילך
1074,09/28/2025,Su,תשרי 6 5786,נדרים מט,האזינו
1075,10/05/2025,Su,תשרי 13 5786,נדרים נ,"חוה""מ סוכות"
1076,10/12/2025,Su,תשרי 20 5786,נדרים נא,בראשית
1077,10/19/2025,Su,תשרי 27 5786,נדרים נב,נח
1078,10/26/2025,Su,חשון 4 5786,נדרים נג,לך לך
1079,11/02/2025,Su,חשון 11 5786,נדרים נד,וירא
1080,11/09/2025,Su,חשון 18 5786,נדרים נה,חיי שרה
1081,11/16/2025,Su,חשון 25 5786,נדרים נו,תולדת
1082,11/23/2025,Su,כסלו 3 5786,נדרים נז,ויצא
1083,11/30/2025,Su,כסלו 10 5786,נדרים נח,וישלח
1084,12/07/2025,Su,כסלו 17 5786,נדרים נט,וישב
1085,12/14/2025,Su,כסלו 24 5786,נדרים ס,מקץ
1086,12/21/2025,Su,טבת 1 5786,נדרים סא,ויגש
1087,12/28/2025,Su,טבת 8 5786,נדרים סב,ויחי
1088,01/04/2026,Su,טבת 15 5786,נדרים סג,שמות
1089,01/11/2026,Su,טבת 22 5786,נדרים סד,וארא
1090,01/18/2026,Su,טבת 29 5786,נדרים סה,בא
1091,01/25/2026,Su,שבט 7 5786,נדרים סו,בשלח
1092,02/01/2026,Su,שבט 14 5786,נדרים סז,יתרו
1093,02/08/2026,Su,שבט 21 5786,נדרים סח,משפטים
1094,02/15/2026,Su,שבט 28 5786,נדרים סט,תרומה
1095,02/22/2026,Su,אדר 5 5786,נדרים ע,תצוה
1096,03/01/2026,Su,אדר 12 5786,נדרים עא,כי תשא
1097,03/08/2026,Su,אדר 19 5786,נדרים עב,ויקהל-פקודי
1098,03/15/2026,Su,אדר 26 5786,נדרים עג,ויקרא
1099,03/22/2026,Su,ניסן 4 5786,נדרים עד,צו
1100,03/29/2026,Su,ניסן 11 5786,נדרים עה,"חוה""מ פסח"
1101,04/05/2026,Su,ניסן 18 5786,נדרים עו,שמיני
1102,04/12/2026,Su,ניסן 25 5786,נדרים עז,תזריע-מצורע
1103,04/19/2026,Su,אייר 2 5786,נדרים עח,אחרי מות-קדשים
1104,04/26/2026,Su,אייר 9 5786,נדרים עט,אמור
1105,05/03/2026,Su,אייר 16 5786,נדרים פ,בהר-בחקתי
1106,05/10/2026,Su,אייר 23 5786,נדרים פא,במדבר
1107,05/17/2026,Su,סיון 1 5786,נדרים פב,שבועות
1108,05/24/2026,Su,סיון 8 5786,נדרים פג,נשא
1109,05/31/2026,Su,סיון 15 5786,נדרים פד,בהעלתך
1110,06/07/2026,Su,סיון 22 5786,נדרים פה,שלח לך
1111,06/14/2026,Su,סיון 29 5786,נדרים פו,קרח
1112,06/21/2026,Su,תמוז 6 5786,נדרים פז,חקת-בלק
1113,06/28/2026,Su,תמוז 13 5786,נדרים פח,פינחס
1114,07/05/2026,Su,תמוז 20 5786,נדרים פט,מטות-מסעי
1115,07/12/2026,Su,תמוז 27 5786,נדרים צ,דברים
1116,07/19/2026,Su,אב 5 5786,נדרים צא,ואתחנן
1117,07/26/2026,Su,אב 12 5786,נזיר ב,עקב
1118,08/02/2026,Su,אב 19 5786,נזיר ג,ראה
1119,08/09/2026,Su,אב 26 5786,נזיר ד,שופטים
1120,08/16/2026,Su,אלול 3 5786,נזיר ה,כי תצא
1121,08/23/2026,Su,אלול 10 5786,נזיר ו,כי תבוא
1122,08/30/2026,Su,אלול 17 5786,נזיר ז,נצבים-וילך
1123,09/06/2026,Su,אלול 24 5786,נזיר ח,ראש השנה
1124,09/13/2026,Su,תשרי 2 5787,נזיר ט,האזינו
1125,09/20/2026,Su,תשרי 9 5787,נזיר י,סוכות
1126,09/27/2026,Su,תשרי 16 5787,נזיר יא,שמיני עצרת
1127,10/04/2026,Su,תשרי 23 5787,נזיר יב,בראשית
1128,10/11/2026,Su,תשרי 30 5787,נזיר יג,נח
1129,10/18/2026,Su,חשון 7 5787,נזיר יד,לך לך
1130,10/25/2026,Su,חשון 14 5787,נזיר טו,וירא
1131,11/01/2026,Su,חשון 21 5787,נזיר טז,חיי שרה
1132,11/08/2026,Su,חשון 28 5787,נזיר יז,תולדת
1133,11/15/2026,Su,כסלו 5 5787,נזיר יח,ויצא
1134,11/22/2026,Su,כסלו 12 5787,נזיר יט,וישלח
1135,11/29/2026,Su,כסלו 19 5787,נזיר כ,וישב
1136,12/06/2026,Su,כסלו 26 5787,נזיר כא,מקץ
1137,12/13/2026,Su,טבת 3 5787,נזיר כב,ויגש
1138,12/20/2026,Su,טבת 10 5787,נזיר כג,ויחי
1139,12/27/2026,Su,טבת 17 5787,נזיר כד,שמות
1140,01/03/2027,Su,טבת 24 5787,נזיר כה,וארא
1141,01/10/2027,Su,שבט 2 5787,נזיר כו,בא
1142,01/17/2027,Su,שבט 9 5787,נזיר כז,בשלח
1143,01/24/2027,Su,שבט 16 5787,נזיר כח,יתרו
1144,01/31/2027,Su,שבט 23 5787,נזיר כט,משפטים
1145,02/07/2027,Su,שבט 30 5787,נזיר ל,תרומה
1146,02/14/2027,Su,אדר א 7 5787,נזיר לא,תצוה
1147,02/21/2027,Su,אדר א 14 5787,נזיר לב,כי תשא
1148,02/28/2027,Su,אדר א 21 5787,נזיר לג,ויקהל
1149,03/07/2027,Su,אדר א 28 5787,נזיר לד,פקודי
1150,03/14/2027,Su,אדר ב 5 5787,נזיר לה,ויקרא
1151,03/21/2027,Su,אדר ב 12 5787,נזיר לו,צו
1152,03/28/2027,Su,אדר ב 19 5787,נזיר לז,שמיני
1153,04/04/2027,Su,אדר ב 26 5787,נזיר לח,תזריע
1154,04/11/2027,Su,ניסן 4 5787,נזיר לט,מצורע
1155,04/18/2027,Su,ניסן 11 5787,נזיר מ,"חוה""מ פסח"
1156,04/25/2027,Su,ניסן 18 5787,נזיר מא,אחרי מות
1157,05/02/2027,Su,ניסן 25 5787,נזיר מב,קדשים
1158,05/09/2027,Su,אייר 2 5787,נזיר מג,אמור
1159,05/16/2027,Su,אייר 9 5787,נזיר מד,בהר
1160,05/23/2027,Su,אייר 16 5787,נזיר מה,בחקתי
1161,05/30/2027,Su,אייר 23 5787,נזיר מו,במדבר
1162,06/06/2027,Su,סיון 1 5787,נזיר מז,שבועות
1163,06/13/2027,Su,סיון 8 5787,נזיר מח,נשא
1164,06/20/2027,Su,סיון 15 5787,נזיר מט,בהעלתך
1165,06/27/2027,Su,סיון 22 5787,נזיר נ,שלח לך
1166,07/04/2027,Su,סיון 29 5787,נזיר נא,קרח
1167,07/11/2027,Su,תמוז 6 5787,נזיר נב,חקת-בלק
1168,07/18/2027,Su,תמוז 13 5787,נזיר נג,פינחס
1169,07/25/2027,Su,תמוז 20 5787,נזיר נד,מטות-מסעי
1170,08/01/2027,Su,תמוז 27 5787,נזיר נה,דברים
1171,08/08/2027,Su,אב 5 5787,נזיר נו,ואתחנן
1172,08/15/2027,Su,אב 12 5787,נזיר נז,עקב
1173,08/22/2027,Su,אב 19 5787,נזיר נח,ראה
1174,08/29/2027,Su,אב 26 5787,נזיר נט,שופטים
1175,09/05/2027,Su,אלול 3 5787,נזיר ס,כי תצא
1176,09/12/2027,Su,אלול 10 5787,נזיר סא,כי תבוא
1177,09/19/2027,Su,אלול 17 5787,נזיר סב,נצבים-וילך
1178,09/26/2027,Su,אלול 24 5787,נזיר סג,ראש השנה
1179,10/03/2027,Su,תשרי 2 5788,נזיר סד,האזינו
1180,10/10/2027,Su,תשרי 9 5788,נזיר סה,סוכות
1181,10/17/2027,Su,תשרי 16 5788,נזיר סו,שמיני עצרת
1182,10/24/2027,Su,תשרי 23 5788,סוטה ב,בראשית
1183,10/31/2027,Su,תשרי 30 5788,סוטה ג,נח
1184,11/07/2027,Su,חשון 7 5788,סוטה ד,לך לך
1185,11/14/2027,Su,חשון 14 5788,סוטה ה,וירא
1186,11/21/2027,Su,חשון 21 5788,סוטה ו,חיי שרה
1187,11/28/2027,Su,חשון 28 5788,סוטה ז,תולדת
1188,12/05/2027,Su,כסלו 5 5788,סוטה ח,ויצא
1189,12/12/2027,Su,כסלו 12 5788,סוטה ט,וישלח
1190,12/19/2027,Su,כסלו 19 5788,סוטה י,וישב
1191,12/26/2027,Su,כסלו 26 5788,סוטה יא,מקץ
1192,01/02/2028,Su,טבת 3 5788,סוטה יב,ויגש
1193,01/09/2028,Su,טבת 10 5788,סוטה יג,ויחי
1194,01/16/2028,Su,טבת 17 5788,סוטה יד,שמות
1195,01/23/2028,Su,טבת 24 5788,סוטה טו,וארא
1196,01/30/2028,Su,שבט 2 5788,סוטה טז,בא
1197,02/06/2028,Su,שבט 9 5788,סוטה יז,בשלח
1198,02/13/2028,Su,שבט 16 5788,סוטה יח,יתרו
1199,02/20/2028,Su,שבט 23 5788,סוטה יט,משפטים
1200,02/27/2028,Su,שבט 30 5788,סוטה כ,תרומה
1201,03/05/2028,Su,אדר 7 5788,סוטה כא,תצוה
1202,03/12/2028,Su,אדר 14 5788,סוטה כב,כי תשא
1203,03/19/2028,Su,אדר 21 5788,סוטה כג,ויקהל-פקודי
1204,03/26/2028,Su,אדר 28 5788,סוטה כד,ויקרא
1205,04/02/2028,Su,ניסן 6 5788,סוטה כה,צו
1206,04/09/2028,Su,ניסן 13 5788,סוטה כו,"חוה""מ פסח"
1207,04/16/2028,Su,ניסן 20 5788,סוטה כז,שמיני
1208,04/23/2028,Su,ניסן 27 5788,סוטה כח,תזריע-מצורע
1209,04/30/2028,Su,אייר 4 5788,סוטה כט,אחרי מות-קדשים
1210,05/07/2028,Su,אייר 11 5788,סוטה ל,אמור
1211,05/14/2028,Su,אייר 18 5788,סוטה לא,בהר-בחקתי
1212,05/21/2028,Su,אייר 25 5788,סוטה לב,במדבר
1213,05/28/2028,Su,סיון 3 5788,סוטה לג,נשא
1214,06/04/2028,Su,סיון 10 5788,סוטה לד,בהעלתך
1215,06/11/2028,Su,סיון 17 5788,סוטה לה,שלח לך
1216,06/18/2028,Su,סיון 24 5788,סוטה לו,קרח
1217,06/25/2028,Su,תמוז 1 5788,סוטה לז,חקת
1218,07/02/2028,Su,תמוז 8 5788,סוטה לח,בלק
1219,07/09/2028,Su,תמוז 15 5788,סוטה לט,פינחס
1220,07/16/2028,Su,תמוז 22 5788,סוטה מ,מטות-מסעי
1221,07/23/2028,Su,תמוז 29 5788,סוטה מא,דברים
1222,07/30/2028,Su,אב 7 5788,סוטה מב,ואתחנן
1223,08/06/2028,Su,אב 14 5788,סוטה מג,עקב
1224,08/13/2028,Su,אב 21 5788,סוטה מד,ראה
1225,08/20/2028,Su,אב 28 5788,סוטה מה,שופטים
1226,08/27/2028,Su,אלול 5 5788,סוטה מו,כי תצא
1227,09/03/2028,Su,אלול 12 5788,סוטה מז,כי תבוא
1228,09/10/2028,Su,אלול 19 5788,סוטה מח,נצבים-וילך
1229,09/17/2028,Su,אלול 26 5788,סוטה מט,האזינו
