Vocalized Punctuation,William Davidson Edition - Aramaic,Difference in word count
Temurah 14a:12,"וְהָאִיכָּא אֲשַׁם יָחִיד — דְּזָכָר אָתֵי, נְקֵבָה לָא אָתֵי? כִּי קָאָמְרִי רַבָּנַן — קׇרְבָּן דְּשָׁוֵי בֵּין בְּיָחִיד בֵּין בְּצִיבּוּר, אָשָׁם — בְּיָחִיד אִיתֵיהּ, בְּצִבּוּר לֵיתֵיהּ. וְאִיבָּעֵית ""אֵימָא: מִי"" ""קָתָנֵי כׇּל"" קׇרְבְּנוֹת, יֵשׁ בְּקׇרְבְּנוֹת קָתָנֵי, וּמַאי נִיהוּ? — שְׁלָמִים. וְאִי בָּעֵי — נְקֵבָה מַיְיתֵי, וְאִי בָּעֵי — זָכָר מַיְיתֵי.",והאיכא אשם יחיד דזכר אתי נקבה לא אתי כי קאמרי רבנן קרבן דשוי בין ביחיד בין בציבור אשם ביחיד איתיה בצבור ליתיה ואיבעית אימא מי קתני כל קרבנות יש בקרבנות קתני ומאי ניהו שלמים ואי בעי נקבה מייתי ואי בעי זכר מייתי,-6
Temurah 16a:16,"""אִם בֵּרַךְ תְּבָרְכֵנִי"" — ""בַּתּוֹרָה, וְהִרְבִּיתָ אֶת"" גְּבוּלִי ""בְּתַלְמִידִים"" וְהָיְתָה, יָדְךָ"" עִמָּדִי שֶׁלֹּא — יִשְׁתַּכֵּחַ ""תַּלְמוּדִי מִלִּבִּי"" וַעֲשֵׂה, מֵרָעָתִי שֶׁיִּזְדַּמְּנוּ — ""לִי רֵיעִים"" כְּמוֹתִי לְבִלְתִּי, עׇצְבִּי שֶׁלֹּא — יְשַׂגְּבֵנִי יֵצֶר הָרָע מִלִּשְׁנוֹת אִם. אַתָּה עוֹשֶׂה כֵּן מוּטָב — וְאִם, לָאו ""הֲרֵינִי — הוֹלֵךְ (לִנְסִיסִי) [בִּנְסִיסִי]"" לַשְּׁאוֹל. מִיָּד, וַיָּבֵא אֱלֹהִים אֵת אֲשֶׁר שָׁאָל.",אם ברך תברכני בתורה והרבית את גבולי בתלמידים והיתה ידך עמדי שלא ישתכח תלמודי מלבי ועשה מרעתי שיזדמנו לי ריעים כמותי לבלתי עצבי שלא ישגבני יצר הרע מלשנות אם אתה עושה כן מוטב ואם לאו הריני הולך לנסיסי לשאול מיד ויבא אלהים את אשר שאל,-7
Temurah 24b:1,"מַתְנִי' <strong><big>כֵּיצַד</big></strong> מַעֲרִימִין עַל הַבְּכוֹר? — מְבַכֶּרֶת, שֶׁהָיְתָה מְעוּבֶּרֶת, ""אוֹמֵר: מַה שֶּׁבְּמֵעֶיהָ שֶׁל זוֹ, אִם זָכָר"" — עוֹלָה. יָלְדָה זָכָר, — יִקְרַב עוֹלָה. וְאִם"": נְקֵבָה — זִבְחֵי שְׁלָמִים, יָלְדָה נְקֵבָה — תִּקְרַב שְׁלָמִים. ",מתני׳ כיצד מערימין על הבכור מבכרת שהיתה מעוברת אומר מה שבמעיה של זו אם זכר עולה ילדה זכר יקרב עולה ואם נקבה זבחי שלמים ילדה נקבה תקרב שלמים,-6
Shevuot 18b:15,"ורְמִינְהִי. אָמַר רַבִּי אֱלִיעֶזֶר: מָה נַפְשָׁךְ? חֵלֶב אָכַל — חַיָּיב, נוֹתָר אָכַל — חַיָּיב! שַׁבָּת חִילֵּל — חַיָּיב, יוֹם הַכִּפּוּרִים חִילֵּל — חַיָּיב! אִשְׁתּוֹ נִדָּה בָּעַל — חַיָּיב, אֲחוֹתוֹ בָּעַל — חַיָּיב.",ורמינהי אמר רבי אליעזר מה נפשך חלב אכל חייב נותר אכל חייב שבת חילל חייב יום הכפורים חילל חייב אשתו נדה בעל חייב אחותו בעל חייב,-6
Shevuot 31a:19,"וְרַבָּנַן סָבְרִי: דּוּן מִינַּהּ וְאוֹקֵי בְּאַתְרַהּ: מָה פִּקָּדוֹן מוּשְׁבָּע מִפִּי עַצְמוֹ — חַיָּיב, אַף עֵדוּת מוּשְׁבָּע מִפִּי עַצְמוֹ — חַיָּיב, וְאוֹקֵי בְּאַתְרַהּ, מָה מוּשְׁבָּע מִפִּי אֲחֵרִים, בְּבֵית דִּין — אִין, שֶׁלֹּא בְּבֵית דִּין — לָא, אַף מוּשְׁבָּע מִפִּי עַצְמוֹ, בְּבֵית דִּין — אִין, שֶׁלֹּא בְּבֵית דִּין — לָא.",ורבנן סברי דון מינה ואוקי באתרה מה פקדון מושבע מפי עצמו חייב אף עדות מושבע מפי עצמו חייב ואוקי באתרה מה מושבע מפי אחרים בבית דין אין שלא בבית דין לא אף מושבע מפי עצמו בבית דין אין שלא בבית דין לא,-6
Shevuot 35b:6,"תָּנוּ רַבָּנַן: כׇּל הַטָּפֵל לַשֵּׁם, בֵּין מִלְּפָנָיו וּבֵין מִלְּאַחֲרָיו — הֲרֵי זֶה נִמְחָק. לְפָנָיו ""כֵּיצַד? לַייָ' ל', נִמְחָק ""בַּייָ' — ב' נִמְחָק, ""וַייָ' — ו' נִמְחָק, ""מֵיְיָ' — מ' נִמְחָק, ""שֶׁיְיָ' — ש' נִמְחָק, ""הַיְיָ' — ה' נִמְחָק, ""כַּייָ' — כ' נִמְחָק.",תנו רבנן כל הטפל לשם בין מלפניו ובין מלאחריו הרי זה נמחק לפניו כיצד ליי׳ ל׳ נמחק ביי׳ ב׳ נמחק ויי׳ ו׳ נמחק מיי׳ מ׳ נמחק שיי׳ ש׳ נמחק היי׳ ה׳ נמחק כיי׳ כ׳ נמחק,-7
Shevuot 35b:12,"כָּל שֵׁמוֹת הָאֲמוּרִים בְּנָבוֹת, — קֹדֶשׁ. בְּמִיכָה — חוֹל. רַבִּי אֱלִיעֶזֶר אוֹמֵר: בְּנָבוֹת — קֹדֶשׁ, בְּמִיכָה — יֵשׁ מֵהֶן חוֹל וְיֵשׁ מֵהֶן קֹדֶשׁ, אָלֶף לָמֶד — חוֹל, יוֹד הֵי — קֹדֶשׁ, ""חוּץ מִזֶּה שֶׁאָלֶף לָמֶד וְהוּא קֹדֶשׁ"": כׇּל יְמֵי הֱיוֹת בֵּית הָאֱלֹהִים בְּשִׁילֹה.",כל שמות האמורים בנבות קדש במיכה חול רבי אליעזר אומר בנבות קדש במיכה יש מהן חול ויש מהן קדש אלף למד חול יוד הי קדש חוץ מזה שאלף למד והוא קדש כל ימי היות בית האלהים בשילה,-6
Keritot 6a:15,"תָּנוּ רַבָּנַן: פִּיטּוּם הַקְּטֹרֶת? הַצֳּרִי, וְהַצִּיפּוֹרֶן, וְהַחֶלְבְּנָה, וְהַלְּבוֹנָה — מִשְׁקַל שִׁבְעִים שֶׁל שִׁבְעִים מָנָה. מוֹר, וּקְצִיעָה, שִׁיבּוֹלֶת נֵרְדְּ, וְכַרְכּוֹם — מִשְׁקָל שִׁשָּׁה עָשָׂר שֶׁל שִׁשָּׁה עָשָׂר מָנֶה. הַקּוֹשְׁטְ — שְׁנֵים עָשָׂר, קִילּוּפָה — שְׁלֹשָׁה, וְקִנָּמוֹן תִּשְׁעָה. בּוֹרִית כַּרְשִׁינָה — תִּשְׁעָה קַבִּין, יֵין קַפְרִיסִין — סְאִין תְּלָתָא קַבִּין תְּלָתָא אִם. אֵין לוֹ יֵין קַפְרִיסִין מֵבִיא חֲמַר חִיוַּרְיָין עַתִּיק. מֶלַח סְדוֹמִית רוֹבַע. מַעֲלֵה עָשָׁן, — כׇּל שֶׁהוּא. רַבִּי נָתָן אוֹמֵר: אַף כִּיפַּת הַיַּרְדֵּן כׇּל שֶׁהוּא.",תנו רבנן פיטום הקטרת הצרי והציפורן והחלבנה והלבונה משקל שבעים של שבעים מנה מור וקציעה שיבולת נרד וכרכום משקל ששה עשר של ששה עשר מנה הקושט שנים עשר קילופה שלשה וקנמון תשעה בורית כרשינה תשעה קבין יין קפריסין סאין תלתא קבין תלתא אם אין לו יין קפריסין מביא חמר חיוריין עתיק מלח סדומית רובע מעלה עשן כל שהוא רבי נתן אומר אף כיפת הירדן כל שהוא,-7
Keritot 19a:17,"<strong><big>גְּמָ'</big></strong> תַּנְיָא אָמַר רַבִּי אֱלִיעֶזֶר: מָה נַפְשָׁךְ? אִי חֵלֶב אָכַל — חַיָּיב, אִי נוֹתָר אָכַל — חַיָּיב! אִי אִשְׁתּוֹ נִדָּה בָּעַל — חַיָּיב, אִי אֲחוֹתוֹ בָּעַל — חַיָּיב! אִי בְּשַׁבָּת עָשָׂה מְלָאכָה — חַיָּיב, אִי בְּיוֹם הַכִּפּוּרִים עָשָׂה מְלָאכָה — חַיָּיב! ",גמ׳ תניא אמר רבי אליעזר מה נפשך אי חלב אכל חייב אי נותר אכל חייב אי אשתו נדה בעל חייב אי אחותו בעל חייב אי בשבת עשה מלאכה חייב אי ביום הכפורים עשה מלאכה חייב,-7
Avodah Zarah 31a:10,"הֵיכִי דָּמֵי חוֹתָם בְּתוֹךְ חוֹתָם? אָמַר רָבָא: אַגָּנָא דְּפוּמָּא דְּחָבִיתָא שְׁרִיקָא וַחֲתִימָא — הָוֵי חוֹתָם בְּתוֹךְ חוֹתָם, וְאִי לָא — לָא. דִּיקּוּלָא וּמִיהַדַּק — הָוֵי חוֹתָם בְּתוֹךְ חוֹתָם, לָא מִיהַדַּק — לָא הָוֵי חוֹתָם בְּתוֹךְ חוֹתָם. נוֹד בְּדִיסַקַּיָּא חֲתִימַת פִּיו לְמַטָּה — הָוֵי חוֹתָם בְּתוֹךְ חוֹתָם, פִּיו לְמַעְלָה — לָא הָוֵי חוֹתָם בְּתוֹךְ חוֹתָם, וְכִי כַּיִיף פּוּמֵּיהּ לְגָיו וְצַיִיר וַחֲתִים — הָוֵי חוֹתָם בְּתוֹךְ חוֹתָם.",היכי דמי חותם בתוך חותם אמר רבא אגנא דפומא דחביתא שריקא וחתימא הוי חותם בתוך חותם ואי לא לא דיקולא ומיהדק הוי חותם בתוך חותם לא מיהדק לא הוי חותם בתוך חותם נוד בדיסקיא חתימת פיו למטה הוי חותם בתוך חותם פיו למעלה לא הוי חותם בתוך חותם וכי כייף פומיה לגיו וצייר וחתים הוי חותם בתוך חותם,-7
Avodah Zarah 75b:6,"<strong><big>מַתְנִי'</big></strong> הַלּוֹקֵחַ כְּלִי תַּשְׁמִישׁ מִן הַגּוֹיִם, אֶת שֶׁדַּרְכּוֹ לְהַטְבִּיל — יַטְבִּיל, לְהַגְעִיל, — יַגְעִיל, לְלַבֵּן בָּאוּר — יְלַבֵּן בָּאוּר. הַשַּׁפּוּד וְהָאַסְכָּלָא — מְלַבְּנָן בָּאוּר. הַסַּכִּין — שָׁפָהּ וְהִיא טְהוֹרָה. ",מתני׳ הלוקח כלי תשמיש מן הגוים את שדרכו להטביל יטביל להגעיל יגעיל ללבן באור ילבן באור השפוד והאסכלא מלבנן באור הסכין שפה והיא טהורה,-6
Bava Kamma 7b:20,"הָיוּ לוֹ עִידִּית וּבֵינוֹנִית וְזִיבּוּרִית: נִזָּקִין — בְּעִידִּית, וּבַעַל חוֹב — בְּבֵינוֹנִית, וּכְתוּבַּת אִשָּׁה — בְּזִיבּוּרִית. עִידִּית וּבֵינוֹנִית, נִזָּקִין — בְּעִידִּית, בַּעַל חוֹב וּכְתוּבַּת אִשָּׁה — בְּבֵינוֹנִית. בֵּינוֹנִית וְזִיבּוּרִית, נִזָּקִין וּבַעַל חוֹב — בְּבֵינוֹנִית, וּכְתוּבַּת אִשָּׁה — בְּזִיבּוּרִית.",היו לו עידית ובינונית וזיבורית נזקין בעידית ובעל חוב בבינונית וכתובת אשה בזיבורית עידית ובינונית נזקין בעידית בעל חוב וכתובת אשה בבינונית בינונית וזיבורית נזקין ובעל חוב בבינונית וכתובת אשה בזיבורית,-7
Bava Kamma 12a:6,"מָכַר לוֹ עֲבָדִים וְקַרְקָעוֹת, הֶחְזִיק בַּעֲבָדִים — לֹא קָנָה קַרְקָעוֹת, בְּקַרְקָעוֹת — לֹא קָנָה עֲבָדִים. קַרְקָעוֹת וּמִטַּלְטְלִין, הֶחְזִיק בְּקַרְקַע — קָנָה מִטַּלְטְלִין, בְּמִטַּלְטְלִין — לֹא קָנָה קַרְקַע. עֲבָדִים וּמִטַּלְטְלִין, הֶחְזִיק בַּעֲבָדִים — לֹא קָנָה מִטַּלְטְלִין, בְּמִטַּלְטְלִין — לֹא קָנָה עֲבָדִים.",מכר לו עבדים וקרקעות החזיק בעבדים לא קנה קרקעות בקרקעות לא קנה עבדים קרקעות ומטלטלין החזיק בקרקע קנה מטלטלין במטלטלין לא קנה קרקע עבדים ומטלטלין החזיק בעבדים לא קנה מטלטלין במטלטלין לא קנה עבדים,-6
Bava Kamma 19b:12,"<strong><big>מַתְנִי',</big></strong> כֵּיצַד הַשֵּׁן — מוּעֶדֶת לֶאֱכוֹל אֶת הָרָאוּי. לָהּ הַבְּהֵמָה מוּעֶדֶת לֶאֱכוֹל פֵּירוֹת, וִירָקוֹת אָכְלָה כְּסוּת אוֹ — כֵלִים מְשַׁלֵּם חֲצִי. — נֶזֶק בַּמֶּה דְּבָרִים — אֲמוּרִים בִּרְשׁוּת, הַנִּיזָּק אֲבָל בִּרְשׁוּת — הָרַבִּים. פָּטוּר ",מתני׳ כיצד השן מועדת לאכול את הראוי לה הבהמה מועדת לאכול פירות וירקות אכלה כסות או כלים משלם חצי נזק במה דברים אמורים ברשות הניזק אבל ברשות הרבים פטור,-6
Bava Kamma 26b:6,"הִכִּיר בָּהּ וּשְׁכֵחָהּ, וְעָמַד, וְנָפְלָה, לְעִנְיַן נְזָקִין — חַיָּיב. לְעִנְיַן אַרְבָּעָה דְּבָרִים — פָּטוּר. לְעִנְיַן גָּלוּת — ""חַיָּיב"", דְּאָמַר קְרָא: בִּשְׁגָגָה, — מִכְּלָל דַּהֲוָה לֵיהּ יְדִיעָה, — וְהָא הַוְיָא לֵיהּ יְדִיעָה. לְעִנְיַן שַׁבָּת — פָּטוּר. לְעִנְיַן עֶבֶד — פְּלוּגְתָּא דְּרַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל וְרַבָּנַן.",הכיר בה ושכחה ועמד ונפלה לענין נזקין חייב לענין ארבעה דברים פטור לענין גלות חייב דאמר קרא בשגגה מכלל דהוה ליה ידיעה והא הויא ליה ידיעה לענין שבת פטור לענין עבד פלוגתא דרבן שמעון בן גמליאל ורבנן,-7
Bava Kamma 37a:25,"תָּנוּ רַבָּנַן: רָאָה שׁוֹר — נָגַח, שׁוֹר — לֹא נָגַח, שׁוֹר — נָגַח, שׁוֹר — לֹא נָגַח, שׁוֹר — נָגַח, שׁוֹר — לֹא נָגַח — נַעֲשָׂה מוּעָד לְסֵירוּגִין לִשְׁווֹרִים.",תנו רבנן ראה שור נגח שור לא נגח שור נגח שור לא נגח שור נגח שור לא נגח נעשה מועד לסירוגין לשוורים,-7
Bava Kamma 37a:26,"תָּנוּ רַבָּנַן: רָאָה שׁוֹר — נָגַח, חֲמוֹר — לֹא נָגַח, סוּס — נָגַח, גָּמָל — לֹא נָגַח, פֶּרֶד — נָגַח, עָרוֹד — לֹא נָגַח — נַעֲשָׂה מוּעָד לְסֵירוּגִין, לַכֹּל.",תנו רבנן ראה שור נגח חמור לא נגח סוס נגח גמל לא נגח פרד נגח ערוד לא נגח נעשה מועד לסירוגין לכל,-7
Bava Kamma 50b:4,"<strong><big>מַתְנִי'</big></strong> הַחוֹפֵר בּוֹר בִּרְשׁוּת הָרַבִּים וְנָפַל לְתוֹכוֹ שׁוֹר אוֹ — חֲמוֹר. חַיָּיב אֶחָד הַחוֹפֵר בּוֹר שִׁיחַ, וּמְעָרָה חֲרִיצִין — וּנְעִיצִין. חַיָּיב אִם כֵּן ""לָמָּה"" נֶאֱמַר: — בּוֹר מָה בּוֹר שֶׁיֵּשׁ בּוֹ כְּדֵי, לְהָמִית עֲשָׂרָה, טְפָחִים אַף, כֹּל שֶׁיֵּשׁ בּוֹ כְּדֵי — לְהָמִית עֲשָׂרָה. טְפָחִים הָיוּ פְּחוּתִין מֵעֲשָׂרָה, טְפָחִים וְנָפַל לְתוֹכוֹ שׁוֹר אוֹ חֲמוֹר — וּמֵת, פָּטוּר וְאִם הוּזַּק בּוֹ — חַיָּיב. ",מתני׳ החופר בור ברשות הרבים ונפל לתוכו שור או חמור חייב אחד החופר בור שיח ומערה חריצין ונעיצין חייב אם כן למה נאמר בור מה בור שיש בו כדי להמית עשרה טפחים אף כל שיש בו כדי להמית עשרה טפחים היו פחותין מעשרה טפחים ונפל לתוכו שור או חמור ומת פטור ואם הוזק בו חייב,-7
Bava Kamma 61a:7,"אָמַר רַב פָּפָּא: תַּנָּא דִּידַן, קָא חָשֵׁיב מִלְּמַעְלָה לְמַטָּה? שֵׁשׁ אַמּוֹת — פָּטוּר, חָמֵשׁ אַמּוֹת — פָּטוּר, עַד אַרְבַּע אַמּוֹת — פָּטוּר. תַּנָּא בָּרָא מִלְּמַטָּה לְמַעְלָה קָא חָשֵׁיב: שְׁתֵּי אַמּוֹת — חַיָּיב, שָׁלֹשׁ אַמּוֹת — חַיָּיב, עַד אַרְבַּע אַמּוֹת — חַיָּיב. —",אמר רב פפא תנא דידן קא חשיב מלמעלה למטה שש אמות פטור חמש אמות פטור עד ארבע אמות פטור תנא ברא מלמטה למעלה קא חשיב שתי אמות חייב שלש אמות חייב עד ארבע אמות חייב,-7
Bava Kamma 84a:10,"וּמַאי קוּשְׁיָא? דִּלְמָא מֵימָד אָמְדִינַן לֵיהּ, אִי מָצֵי מְקַבֵּל — עָבְדִינַן, — וְאִי לָא מָצֵי מְקַבֵּל — לָא עָבְדִינַן. — וְאִי אָמְדִינַן דְּמָצֵי מְקַבֵּל וְעָבְדִינַן בֵּיהּ וּנְפַק רוּחֵיהּ, אִי מָיֵית — לֵימוּת, — מִי לָא תְּנַן גַּבֵּי מַלְקוֹת: אֲמָדוּהוּ וּמֵת תַּחַת יָדוֹ — פָּטוּר. —",ומאי קושיא דלמא מימד אמדינן ליה אי מצי מקבל עבדינן ואי לא מצי מקבל לא עבדינן ואי אמדינן דמצי מקבל ועבדינן ביה ונפק רוחיה אי מיית לימות מי לא תנן גבי מלקות אמדוהו ומת תחת ידו פטור,-8
Bava Kamma 98b:15,"<strong><big>מַתְנִי'</big></strong> נָתַן לָאוּמָּנִין לְתַקֵּן, וְקִלְקְלוּ — חַיָּיבִין לְשַׁלֵּם. נָתַן לְחָרָשׁ שִׁידָּה תֵּיבָה וּמִגְדָּל לְתַקֵּן וְקִלְקֵל — חַיָּיב לְשַׁלֵּם. וְהַבַּנַּאי שֶׁקִּיבֵּל עָלָיו לִסְתּוֹר אֶת הַכּוֹתֶל, וְשִׁיבֵּר הָאֲבָנִים אוֹ שֶׁהִזִּיקָן — חַיָּיב לְשַׁלֵּם. הָיָה סוֹתֵר מִצַּד זֶה וְנָפַל מִצַּד אַחֵר — פָּטוּר, וְאִם מֵחֲמַת הַמַּכָּה — חַיָּיב. ",מתני׳ נתן לאומנין לתקן וקלקלו חייבין לשלם נתן לחרש שידה תיבה ומגדל לתקן וקלקל חייב לשלם והבנאי שקיבל עליו לסתור את הכותל ושיבר האבנים או שהזיקן חייב לשלם היה סותר מצד זה ונפל מצד אחר פטור ואם מחמת המכה חייב,-6
Bava Kamma 102b:1,"לִיקַּח לוֹ חִטִּין — וְלָקַח מֵהֶם שְׂעוֹרִין, שְׂעוֹרִין — וְלָקַח מֵהֶם חִטִּין, תַּנְיָא חֲדָא: אִם פָּחֲתוּ, — פָּחֲתוּ לוֹ, וְאִם הוֹתִירוּ, — הוֹתִירוּ לוֹ. — וְתָנֵי חֲדָא: אִם פָּחֲתוּ — פָּחֲתוּ לוֹ, וְאִם הוֹתִירוּ — הוֹתִירוּ לָאֶמְצַע.",ליקח לו חטין ולקח מהם שעורין שעורין ולקח מהם חטין תניא חדא אם פחתו פחתו לו ואם הותירו הותירו לו ותני חדא אם פחתו פחתו לו ואם הותירו הותירו לאמצע,-7
