"shekalim, Erster Abschnitt.1","<b>M</b><small>OŠE EMPFING DIE</small> T<small>ORA AUF</small>[<small>DEM</small> B<small>ERGE</small>] S<small>INAJ, ÜBERLIEFERTE SIE</small> J<small>EHOŠUA͑</small>, J<small>EHOŠUA͑ DEN</small> Ä<small>LTESTEN, DIE</small> Ä<small>LTESTEN DEN</small> P<small>ROPHETEN UND DIE</small> P<small>ROPHETEN ÜBERLIEFERTEN SIE DEN</small> M<small>ÄNNERN DER</small> G<small>ROSSSYNODE</small>. D<small>IESE SPRACHEN DREI</small> D<small>INGE AUS:</small> S<small>EID BEDÄCHTIG BEIM</small> R<small>ECHTSPRECHEN, BILDET VIELE</small> S<small>CHÜLER AUS, UND ERRICHTET EINEN</small> Z<small>AUN UM DIE</small> T<small>ORA</small><sup>1</sup><i class=""footnote"">fn2668,Durch Verschärfung der Bestimmungen derselben.</i>."
"shekalim, Vierter Abschnitt.12","XII. R. M<small>EÎR SAGTE:</small> B<small>ESCHRÄNKE DEIN</small> G<small>EWERBE UND REFASSE DICH MIT DER</small> T<small>ORA</small>. S<small>EI DEMÜTIG GEGEN JEDERMANN</small>. H<small>AST DU DIE</small> T<small>ORA VERNACHLÄSSIGT, SO SIND ES DER VERNACHLÄSSIGUNGEN</small><sup>9</sup><i class=""footnote"">fn2732,Wahrscheinl. Widersacher.</i> <small>VIELE, DIE WIDER DICH; HAST DU DICH ABER MIT DER</small> T<small>ORA ABGEMÜHT, SO IST ES EIN REICHER</small> L<small>OHN, DER DIR ZUTEIL WIRD</small>."
"shekalim, Vierter Abschnitt.13","XIII. R. E<small>LIE͑ZER B</small>. J<small>A͑QOB SAGTE:</small> W<small>ER EIN</small> G<small>EBOT AUSÜBT, ERWIRBT SICH EINEN</small> F<small>ÜRSPRECHER; WER EINE</small> Ü<small>BERTRETUNG BEGEHT, ERWIRBT SICH EINEN</small> A<small>NKLÄGER</small>. B<small>USSFERTIGKEIT UND GUTE</small> H<small>ANDLUNGEN SIND EIN</small> S<small>CHILD GEGEN DAS</small> S<small>TRAFGERICHT</small>."
"shekalim, Vierter Abschnitt.14","XIV. R. J<small>OḤANAN DER</small> S<small>ANDALENMACHER SAGTE</small>: E<small>INE</small> V<small>EREINIGUNG, DIE UM DES</small> H<small>IMMELS WILLEN, WIRD FÜRDER BESTEHEN, DIE ABER NICHT UM DES</small> H<small>IMMELS WILLEN, WIRD FÜRDER NICHT BESTEHEN</small>."
"shekalim, Vierter Abschnitt.15","XV. R. E<small>LEA͑ZAR B</small>. Š<small>AMUA͑ SAGTE:</small> D<small>IE</small> E<small>HRE DEINES</small> S<small>CHÜLERS SEI DIR EBENSO LIEB WIE DEINE EIGENE, DIE</small> E<small>HRE DEINES</small> K<small>OLLEGEN GLEICHE DER</small> E<small>HRFURCHT VOR DEINEM</small> L<small>EHRER, UND DIE</small> E<small>HRFURCHT VOR DEINEM</small> L<small>EHRER GLEICHE DER</small> E<small>HRFURCHT VOR DEM</small> H<small>IMMEL</small>."
"shekalim, Vierter Abschnitt.16","XVI. R. J<small>EHUDA SAGTE:</small> S<small>EI VORSICHTIG BEI DER</small> L<small>EHRE, DENN BEI DER</small> L<small>EHRE WIRD AUS DEM</small> V<small>ERSEHEN EINE</small> V<small>ORSÄTZLICHKEIT</small>."
"shekalim, Vierter Abschnitt.17","XVII. R. Š<small>IMO͑N SAGTE:</small> E<small>S GIBT DREI</small> K<small>RONEN : DIE</small> K<small>RONE DER</small> T<small>ORA, DIE</small> K<small>RONE DES</small> P<small>RIESTERTUMS UND DIE</small> K<small>RONE DES</small> K<small>ÖNIGTUMS; ABER DIE</small> K<small>RONE DES GUTEN</small> N<small>AMENS ÜBERTRIFFT SIE ALLE</small>."
"shekalim, Vierter Abschnitt.18","XVIII. R. N<small>EHORAJ SAGTE :</small> W<small>ANDRE AUS NACH EINER</small> S<small>TÄTTE DER</small> T<small>ORA, UND SAGE NICHT, SIE WERDE ZU DIR KOMMEN, ODER SIE WERDE DIR DURCH DEINE</small> N<small>ÄCHSTEN ERHALTEN BLEIBEN; AUCH STÜTZE DICH NICHT AUF DEINE</small> E<small>INSICHT</small>."
"shekalim, Vierter Abschnitt.19","XIX. R. J<small>ANNAJ SAGTE :</small> W<small>IR KENNEN NICHT<sup>10</sup><i class=""footnote"">fn2733,Dh. wir vermögen dies nicht zu erklären; viell. aber: wir vermögen nichts dagegen.</i>DIE</small> B<small>EHAGLICHKEIT DER</small> F<small>REVLER, AUCH NICHT DIE</small> L<small>EIDEN DER</small> F<small>ROMMEN</small>."
"shekalim, Vierter Abschnitt.20",XX. R. M<small>ATHJA B</small>. Ḥ<small>EREŠ SAGTE</small>: K<small>OMME JEDERMANN MIT EINEM</small> G<small>RUSSE ZUVOR</small>. S<small>EI EIN</small> S<small>CHWANZ BEI DEN</small> L<small>ÖWEN UND NICHT EIN</small> H<small>AUPT BEI DEN</small> F<small>ÜCHSEN</small>.
"shekalim, Vierter Abschnitt.21","XXI. R. J<small>A͑QOB SAGTE :</small> D<small>IESE</small> W<small>ELT IST WIE EIN</small> V<small>ORZIMMER FÜR DIE ZUKÜNFTIGE</small> W<small>ELT; RÜSTE DICH IM</small> V<small>ORZIMMER, DAMIT DU</small> E<small>INLASS FINDEST IN DEN</small> S<small>AAL</small>."
"shekalim, Vierter Abschnitt.22","XXII. E<small>R SAGTE FERNER:</small> B<small>ESSER EINE</small> S<small>TUNDE IN</small> B<small>USSFERTIGKEIT UND GUTEN</small> W<small>ERKEN ALS DAS GANZE</small> L<small>EBEN DER ZUKÜNFTIGEN</small> W<small>ELT, UND BESSER EINE</small> S<small>TÜNDE DER</small> S<small>ELIGKEIT IN DER ZUKÜNFTIGEN</small> W<small>ELT ALS ALLES</small> L<small>EBEN DIESER</small> W<small>ELT</small>."
"shekalim, Vierter Abschnitt.23","XXIII. R. Š<small>IMO͑N B</small>. E<small>LEA͑ZAR SAGTE :</small> B<small>ESCHWICHTIGE DEINEN</small> N<small>ÄCHSTEN NICHT IM</small> A<small>UGENBLICKE SEINES</small> Z<small>ORNES; TRÖSTE IHN NICHT, SOLANGE SEIN</small> T<small>OTER VOR IHM LIEGT; LÖSE IHM NICHT DAS</small> G<small>ELÜBDE BEI SEINEM</small> G<small>ELOBEN; UND SUCHE IHN NICHT ZU SEHEN IN DER</small> S<small>TUNDE SEINES</small> V<small>ERDERBENS</small><sup>11</sup><i class=""footnote"">fn2734,Um ihn zurechtzuweisen. <span dir=""rtl"">קלקלה</span> heißt niemals Erniedrigung, sondern Sünde, besonders Unzucht; der Sinn dieses Satzes geht auch aus dem Zusammenhange hervor.</i>."
"shekalim, Vierter Abschnitt.24","XXIV. Š<small>EMUÉL DER</small> K<small>LEINE SAGTE</small>:<sup>12</sup><i class=""footnote"">fn2735,Pr. 24,17,18.</i><i>wenn dein Feind fällt, freue dich nicht, und wenn er strauchelt, frohlocke dein Herz nicht, daß nicht der Herr es sehe und Mißfallen empfinde und seinen Zorn von ihm wende</i>."
"shekalim, Vierter Abschnitt.25","XXV. E<small>LIŠA͑ B</small>. A<small>BUJA SAGTE :</small> L<small>ERNT MAN IN DER</small> J<small>UGEND, SO IST ES EBENSO, ALS SCHRIEBE MAN MIT</small> T<small>INTE AUF NEUES</small> P<small>APIER; LERNT MAN ABER IM</small> A<small>LTER, SO IST ES EBENSO, ALS SCHRIEBE MAN MIT</small> T<small>INTE AUF VERWISCHTES</small> P<small>APIER</small>."
"shekalim, Vierter Abschnitt.26","XXVI. R. J<small>OSE B</small>. J<small>EHUDA AUS</small> K<small>EPHAR</small> B<small>ABLI SAGTE :</small> L<small>ERNT MAN VON</small> K<small>INDERN, SO IST ES EBENSO, ALS</small> A<small>SSE MAN UNREIFE</small> T<small>RAUBEN ODER TRÄNKE MAN</small> W<small>EIN AUS DER</small> K<small>ELTER; LERNT MAN ABER VON</small> E<small>RWACHSENEN, SO IST ES EBENSO, ALS ÄSSE MAN REIFE</small> T<small>RAUBEN ODER TRÄNKE MAN ALTEN</small> W<small>EIN</small>."
"shekalim, Vierter Abschnitt.27","XXVII. R<small>ABBI SAGTE :</small> S<small>IEH NICHT AUF DEN</small> K<small>RUG, SONDERN AUF DAS, WAS DARINNEN; MANCHER NEUE</small> K<small>RUG IST VOLL MIT ALTEM</small> [W<small>EINE</small>], <small>MANCHER ALTE ABER ENTHÄLT NICHT EINMAL NEUEN</small>."
"shekalim, Vierter Abschnitt.28","XXVIII. R. E<small>LEA͑ZAR HA</small>-Q<small>APPAR SAGTE</small>: N<small>EID</small>, W<small>OLLUST UND</small> E<small>HRGEIZ BRINGEN DEN</small> M<small>ENSCHEN AUS DER</small> W<small>ELT</small>."
"shekalim, Vierter Abschnitt.29","XXIX. E<small>R SAGTE FERNER:</small> D<small>IE</small> G<small>EBORENEN SIND BESTIMMT ZU STERBEN, DIE</small> V<small>ERSTORBENEN AUFZULEBEN, UND DIE</small> A<small>UFLEBENDEN GERICHTET ZU WERDEN</small>. M<small>AN ERFAHRE, MAN TUE KUND UND MAN SEI SICH BEWUSST: ER IST</small> G<small>OTT, ER IST DER</small> B<small>ILDNER UND ER IST DER</small> S<small>CHÖPFER; ER IST DER</small> B<small>EOBACHTER, ER IST DER</small> R<small>ICHTER, ER IST DER</small> Z<small>EUGE UND ER IST</small> K<small>LÄGER; UND ER WIRD DEREINST RICHTEN</small>! G<small>EPRIESEN SEI ER, VOR DEM ES KEIN</small> U<small>NRECHT GIBT UND KEIN</small> V<small>ERGESSEN UND KEIN</small> A<small>NSEHEN DER</small> P<small>ERSON UND KEINE</small> B<small>ESTECHUNG, DENN ALLES IST SEIN</small>. W<small>ISSE FERNER, DASS ALLES NACH</small> R<small>ECHNUNG GEHT, UND NICHT BERUHIGE DICH DEIN TRIEB, DASS DIE GRUFT EINE</small> Z<small>ÜFLUCHTSTÄTTE</small> F<small>ÜR DICH SEIJ GEGEN DEINEN</small> W<small>ILLEN BIST DU ERSCHAFFEN WORDEN, GEGEN DEINEN</small> W<small>ILLEN</small><sup>13</sup><i class=""footnote"">fn2736,Die Tosaphot Ket. Fol. 30a zitieren <span dir=""rtl"">ע״ך חי</span> nach <span dir=""rtl"">ע״ך מת</span>, wonach zu übersetzen: wirst du auferstehen.</i><small>LEBST DU, GEGEN DEINEN</small> W<small>ILLEN WIRST DU STERBEN, UND GEGEN DEINEN</small> W<small>ILLEN WIRST DU DEREINST</small> R<small>ECHEN SCHAFT ABLEGEN UND</small> R<small>ECHNUNG VOR DEM</small> K<small>ÖNIGE DER</small> K<small>ÖNIGE, DEM</small> H<small>EILIGEN, GEPRIESEN SEI ER</small>."
"shekalim, Fünfter Abschnitt.1","<b>D</b><small>URCH ZEHN</small> A<small>USSPRÜCHE</small><sup>1</sup><i class=""footnote"">fn2737,Die Worte ‘er sprach’ werden in der Schöpfungsgeschichte (Gen. Kap. 1) 10 mal wiederholt; cf. Meg. Fol. 21b.</i> <small>IST DIE</small> W<small>ELT ERSCHAFFEN WORDEN</small>. W<small>AS WILL DIES LEHREN, SIE KÖNNTE AUCH DURCH EINEN EINZIGEN AUSSPRUCH ERSCHAFFEN WORDEN SEIN</small>? U<small>M DIE</small> F<small>REVLER, DIE DIE</small> W<small>ELT VERDERBEN, DIE DURCH ZEHN</small> A<small>USSPRÜCHE ERSCHAFFEN WORDEN IST, UM SO STRENGER ZU BESTRAFEN, UND UM DEN</small> F<small>ROMMEN, DIE DIE</small> W<small>ELT ERHALTEN, DIE DURCH ZEHN</small> A<small>USSPRÜCHE ERSCHAFFEN WORDEN IST, EINEN UM SO REICHEREN</small> L<small>OHN ZU GEWÄHREN</small>."
"shekalim, Fünfter Abschnitt.2","II. Z<small>EHN</small> G<small>ENERATIONEN SIND VON</small> A<small>DAM BIS</small> N<small>OAH<sup>2</sup><i class=""footnote"">fn2738,Cf. iChr. 1,1.</i>; DIES BEKUNDET, WELCHE</small> L<small>ANGMUT ER WALTEN LÄSST: ALL DIESE</small> G<small>ENERATIONEN FUHREN FORT, IHN ZU ERZÜRNEN, DANN ERST BRACHTE ER ÜBER SIE DAS WASSER DER</small> S<small>INTFLUT</small>."
"shekalim, Fünfter Abschnitt.3","III. Z<small>EHN</small> G<small>ENERATIONEN SIND VON</small> N<small>OAḤ BIS</small> A<small>BRAHAM</small><sup>3</sup><i class=""footnote"">fn2739,Cf. ib. V. 17ff.</i>; <small>DIES BEKUNDET, WELCHE</small> L<small>ANGMUT ER WALTEN LÄSST: ALL DIESE</small> G<small>ENERATIONEN FUHREN FORT, IHN ZU ERZÜRNEN, DANN ERST KAM UNSER</small> V<small>ATER</small> A<small>BRAHAM UND ERHIELT DEN FÜR SIE ALLE BESTIMMTEN</small> L<small>OHN</small><sup>4</sup><i class=""footnote"">fn2740,Den sie alle erhalten haben würden.</i>."
"shekalim, Fünfter Abschnitt.4","IV. D<small>URCH ZEHN</small> P<small>RÜFUNGEN WURDE UNSER</small> V<small>ATER</small> A<small>BRAHAM ERPROBT, UND ER BESTAND SIE ALLE; DIES BEKUNDET, WIE GROSS DIE</small> B<small>ELIEBTHEIT UNSERES</small> V<small>ATERS</small> A<small>BRAHAM WAR</small>."
"shekalim, Fünfter Abschnitt.5",V. Z<small>EHN</small> W<small>UNDER GESCHAHEN UNSEREN</small> V<small>ORFAHREN IN</small> M<small>IÇRAJIM UND ZEHN AM</small> M<small>EERE</small>.
"shekalim, Fünfter Abschnitt.6","VI. D<small>URCH ZEHN</small> V<small>ERSUCHUNGEN VERSUCHTEN UNSERE</small> V<small>ORFAHREN</small> G<small>OTT IN DER</small> W<small>ÜSTE, DENN ES</small> H<small>EISST</small>:<sup>5</sup><i class=""footnote"">fn2741,Num, 14,22.</i><i>sie versuchten mich nun zehnmal und hörten nicht auf meine Stimme</i>."
"shekalim, Fünfter Abschnitt.7","VII. Z<small>EHN</small> W<small>UNDER GESCHAHEN UNSEREN</small> V<small>ORFAHREN IM</small> T<small>EMPEL: NIE HAT EINE</small> F<small>RAU DURCH DEN</small> G<small>ERUCH DES HEILIGEN</small> F<small>LEISCHES</small><sup>6</sup><i class=""footnote"">fn2742,Der Geruch reizte den Appetit, jedoch durfte man davon nicht essen.</i> <small>FEHLGEBOREN; NIE WURDE DAS HEILIGE</small> F<small>LEISCH ÜBELRIECHEND; NIE WURDE EINE</small> F<small>LIEGE IM</small> S<small>CHLACHTHAUSE BEMERKT; NIE WIDERFUHR DEM</small> H<small>OCHPRIESTER</small> S<small>AMENERGUSS AM</small> V<small>ERSÖHNUNGSTAGE; NIE HAT DER</small> R<small>EGEN DAS</small> F<small>EUER DES</small> A<small>LTARHOLZSTOSSES AUSGELÖSCHT; NIE HAT DER</small> W<small>IND DIE</small> R<small>AUCHSÄULE</small><sup>7</sup><i class=""footnote"">fn2743,Auf dem Altar; cf. Jom. Fol. 21b.</i> <small>BESIEGT; NIE HAT SICH BEI DER</small> S<small>CHWINGEGARBE</small><sup>8</sup><i class=""footnote"">fn2744,Cf. Lev. 23,10 ff.</i>, <small>DEN ZWEI</small> B<small>ROTEN</small><sup>9</sup><i class=""footnote"">fn2745,Cf. ib. V. 18 ff.</i> <small>UND DEN</small> S<small>CHAUBROTEN</small><sup>10</sup><i class=""footnote"">fn2746,Cf. Ex. 25,30.</i>U<small>NTAUGLICHKEIT EREIGNET; SIE STANDEN GEDRÄNGT</small><sup>11</sup><i class=""footnote"">fn2747,Beim Gottesdienste im Tempel.</i><small>UND WARFEN SICH GERÄUMIG NIEDER; NIE HAT EINE</small> S<small>CHLANGE ODER EIN</small> S<small>KORPION IN</small> J<small>ERUŠALEM JEMAND ZU</small> S<small>CHADEN GEBRACHT; UND NIE SAGTE JEMAND ZU SEINEM</small> N<small>ÄCHSTEN, IHM SEI</small> J<small>ERUŠALEM ZU ÜBERFÜLLT, UM DA ZU ÜBERNACHTEN</small>."
"shekalim, Fünfter Abschnitt.8","VIII. Z<small>EHN</small> D<small>INGE SIND AM</small> V<small>ORABEND DES</small> Š<small>ABBATHS IN DER</small> D<small>ÄMMERUNG</small><sup>12</sup><i class=""footnote"">fn2748,Die hier aufgezählten Wunder sollen also nicht mit dem von Gott festgelegten Naturgesetze in Widerspruch stehen, da sie ebenfalls zum Schöpfungswerke gehören.</i> <small>ERSCHAFFEN WORDEN, UND ZWAR: DER</small> S<small>CHLUND DER</small> E<small>RDE</small><sup>13</sup><i class=""footnote"">fn2749,Der später die Rotte Qoraḥs verschlang; cf. Num. 16,32 ff.</i>, <small>DIE</small> Ö<small>FFNUNG DES</small> B<small>RUNNENS</small><sup>14</sup><i class=""footnote"">fn2750,Der Fels, aus dem Moše Wasser hervorbrachte; cf. Num. 20,7 ff.</i>, <small>DAS</small> M<small>AUL DER</small> E<small>SELIN</small><sup>15</sup><i class=""footnote"">fn2751,Bilea͑ms; cf. Num. 22,28.</i>, <small>DER</small> R<small>EGENBOGEN</small><sup>16</sup><i class=""footnote"">fn2752,Der vor der Sintflut nicht vorhanden war; cf. Gen. 9,13.</i>, <small>DAS</small> M<small>ANNA</small><sup>17</sup><i class=""footnote"">fn2753,Cf. Ex. 16,4 ff.</i>, <small>DER</small> S<small>TAB</small><sup>18</sup><i class=""footnote"">fn2754,Mošes, mit dem er die Wunder vollbrachte; cf. Ex. Kap. 4.</i>, <small>DER</small> Š<small>AMIR</small><sup>19</sup><i class=""footnote"">fn2755,Zur Bearbeitung der Edelsteine für das Brustschild Ahrons; vgl. Bd. II S. 469 Anm. 78.</i>, <small>DIE</small> S<small>CHRIFT</small><sup>20</sup><i class=""footnote"">fn2756,Die Form der Buchstaben auf den Bundestafeln.</i>, <small>DIE</small> I<small>NSCHRIFT</small><sup>21</sup><i class=""footnote"">fn2757,Die Art, wie die Buchstaben in die Tafeln eingegraben waren; cf. Meg. Fol. 2b.</i><small>UND DIE</small> B<small>UNDESTAFELN</small>. M<small>ANCHE SAGEN, AUCH DIE</small> D<small>ÄMONEN, DAS</small> G<small>RAB</small> M<small>OŠES UND DER</small> W<small>IDDER UNSERES</small> V<small>ATERS</small> A<small>BRAHAM</small><sup>22</sup><i class=""footnote"">fn2758,Cf. Gen. 22,13.</i>. M<small>ANCHE SAGEN, AUCH DIE</small> Z<small>ANGE KANN NUR MIT EINER</small> Z<small>ANGE GEFERTIGT WERDEN</small><sup>23</sup><i class=""footnote"">fn2759,Die erste Zange kann nur durch Gott erschaffen worden sein.</i>."
"shekalim, Fünfter Abschnitt.9","IX. S<small>IEBEN</small> D<small>INGE SIND DEM</small> T<small>ÖLPEL EIGEN UND SIEBEN</small> D<small>INGE DEM</small> W<small>EISEN</small>. D<small>ER</small> W<small>EISE REDET NICHT VOR DEM, DER IHM AN</small> W<small>EISHEIT UND</small> Z<small>AHL</small><sup>24</sup><i class=""footnote"">fn2760,Viell, der Jahre; vgl. S. 406 Anm. 13.</i> <small>ÜBERLEGEN IST; ER FÄLLT NICHT SEINEM</small> N<small>ÄCHSTEN INS</small> W<small>ORT; ER ÜBERSTÜRZT SICH NICHT MIT SEINER</small> A<small>NTWORT; ER FRAGT ZUR</small> S<small>ACHE UND ANTWORTET NACH</small> G<small>EBÜHR; ER SPRICHT VOM ERSTEHEN ZUERST UND VOM LETZTEREN ZULETZT; WEISS ER ETWAS NICHT, SO SAGT ER, ER WISSE ES NICHT; ER GESTEHT DIE</small> W<small>AHRHEIT EIN</small>. D<small>AS</small> E<small>NTGEGENGESETZTE BEIM</small> T<small>ÖLPEL</small>."
"shekalim, Fünfter Abschnitt.10","X. S<small>IEBEN VERSCHIEDENE</small> S<small>TRAFGERICHTE KOMMEN ÜBER DIE</small> W<small>ELT WEGEN SIEBEN SCHWERWIEGENDER</small> Ü<small>BERTRETUNGEN</small>. W<small>ENN MANCHE DEN</small> Z<small>EHNTEN ENTRICHTEN UND MANCHE IHN NICHT ENTRICHTEN, SO KOMMT EINE</small> H<small>UNGERSNOT DURCH DIE</small> D<small>ÜRRE; MANCHE HUNGERN UND MANCHE SIND SATT</small>. E<small>NTRICHTET NIEMAND DEN</small> Z<small>EHNTEN, SO KOMMT EINE</small> H<small>UNGERSNOT DURCH</small> V<small>ERWIRRUNG UND DURCH</small> D<small>ÜRRE</small>. E<small>NTRICHTET MAN DIE</small> T<small>EIGHEBE NICHT, SO KOMMT EINE</small> H<small>UNGERSNOT DER VOLLSTÄNDIGEN</small> V<small>ERNICHTUNG</small>. S<small>EUCHE KOMMT ÜBER DIE</small> W<small>ELT WEGEN DER</small><sup>25</sup><i class=""footnote"">fn2761,Dh. wegen der Sünden, worauf diese gesetzt sind.</i><small>IN DER</small> T<small>ORA GENANNTEN</small> T<small>ODESSTRAFEN</small><sup>26</sup><i class=""footnote"">fn2762,Durch himmlische Fügung u. nicht durch gerichtliche Aburteilung; nach anderer Erklärung, die Syn. Fol. 49b. aufgezählten gerichtlichen Todesarten.</i>, [<small>DEREN</small> V<small>OLLSTRECKUNG</small>] <small>DEM</small> G<small>ERICHTE NICHT ÜBERWIESEN WORDEN</small><sup>27</sup><i class=""footnote"">fn2763,Nach der 2. Erklärung, aus formalen Gründen.</i><small>IST, UND WEGEN DER</small> F<small>RÜCHTE DES</small> S<small>IEBENTJAHRES</small><sup>28</sup><i class=""footnote"">fn2764,Wenn die bezüglichen Gesetze übertreten werden.</i>. D<small>AS</small> S<small>CHWERT KOMMT ÜBER DIE WELT WEGEN DER</small> R<small>ECHTSQUÄLEREI</small><sup>29</sup><i class=""footnote"">fn2765,Vgl. Bd. VIII S. 597 Anm. 87.</i>, <small>DER</small> R<small>ECHTSBEUGUNG UND WEGEN DERER, DIE DIE</small> T<small>ORA FALSCH DEUTEN</small>. W<small>ILDES</small> G<small>ETIER KOMMT ÜBER DIE</small> W<small>ELT WEGEN DER FALSCHEN</small><sup>30</sup><i class=""footnote"">fn2766,Vgl. S. 675 Anm. 7.</i>S<small>CHWÜRE UND WEGEN DER</small> E<small>NTWEIHUNG DES</small> [<small>GÖTTLICHEN</small>] N<small>AMENS</small>. V<small>ERBANNUNG KOMMT ÜBER DIE</small> W<small>ELT WEGEN</small> G<small>ÖTZENDIENSTES</small>, U<small>NZUCHT</small>, B<small>LUTVERGIESSENS UND WEGEN</small> [U<small>NTERLASSUNG DES</small> G<small>ESETZES ÜBER DAS</small>] E<small>RLASSJAHR</small>."
"shekalim, Fünfter Abschnitt.11","XI. A<small>N VIER</small> Z<small>EITABSCHNITTEN NIMMT DIE</small> S<small>EUCHE ÜBERHAND: IM VIERTEN</small><sup>31</sup><i class=""footnote"">fn2767,Des Septenniums.</i> J<small>AHRE, IM SIEBENTEN</small><sup>31</sup><i class=""footnote"">fn2767,Des Septenniums.</i>J<small>AHRE, NACH</small> A<small>BLAUF DES</small> S<small>IEBENTJAHRES</small><sup>32</sup><i class=""footnote"">fn2768,Im ersten des folgenden Septenniums.</i><small>UND AM</small> A<small>USGANG DES</small> [H<small>ÜTTEN</small>]<small>FESTES ALLJÄHRLICH</small>. I<small>M VIERTEN</small> J<small>AHR, WEGEN DES</small> A<small>RMENZEHNTEN DES DRITTEN</small><sup>33</sup><i class=""footnote"">fn2769,Cf. Dt. 14,28.</i>, <small>IM SIEBENTEN, WEGEN DES</small> A<small>RMENZEHNTEN DES SECHSTEN</small><sup>34</sup><i class=""footnote"">fn2770,Wenn sie nicht entrichtet werden.</i>, <small>NACH</small> A<small>BLAUF DES</small> S<small>IEBENTJAHRES, WEGEN DER</small> F<small>RÜCHTE DES</small> S<small>IEBENTJAHRES</small><sup>35</sup><i class=""footnote"">fn2771,Wenn das Ex. 23,11 vorgeschriebene Gesetz nicht beobachtet wird.</i>, <small>UND AM</small> A<small>ÜSGANGE DES</small>[H<small>ÜTTEN</small>]<small>FESTES ALLJÄHRLICH, WEGEN DER</small> B<small>ERAUBUNG DER</small> A<small>RMENABGABEN</small><sup>36</sup><i class=""footnote"">fn2772,Bei der Ernte (Nachlese, Vergessenes).</i>."
"shekalim, Fünfter Abschnitt.12","XII. V<small>IER</small> G<small>ESINNUNGEN GIBT ES BEI DEN</small> M<small>ENSCHEN: MEINES IST MEIN UND DEINES IST DEIN: EINE DURCHSCHNITTLICHE</small> G<small>ESINNUNG, UND WIE MANCHE SAGEN, EINE SEDOMITISCHE GESINNUNG</small><sup>37</sup><i class=""footnote"">fn2773,Als solche gilt die Verweigerung einer müheu. kostenlosen Gefälligkeit.</i>; <small>MEINES IST DEIN UND DEINES IST MEIN: EIN</small> M<small>ENSCH AUS DEM GEMEINEN</small> V<small>OLKE</small><sup>38</sup><i class=""footnote"">fn2774,Der das Eigentumsrecht nicht kennt.</i>; <small>MEINES IST DEIN UND DEINES IST DEIN: EIN</small> F<small>ROMMER; MEINES IST MEIN UND DEINES IST MEIN: EIN</small> B<small>ÖSEWICHT</small>."
"shekalim, Fünfter Abschnitt.13",XIII. V<small>IER</small> G<small>EMÜTSARTEN GIBT ES: LEICHT ZU ERZÜRNEN UND LEICHT ZU BESÄNFTIGEN: DER</small> S<small>CHADEN WIEGT DEN</small> G<small>EWINN AUF; SCHWER ZU ERZÜRNEN UND SCHWER ZU BESÄNFTIGEN: DER</small> G<small>EWINN WIEGT DEN</small> S<small>CHADEN AUF; SCHWER ZU ERZÜRNEN UND LEICHT ZU BESÄNFTIGEN: EIN FROMMER; LEICHT ZU ERZÜRNEN UND SCHWER ZU BESÄNFTIGEN: EIN BÖSE WICHT</small>.
"shekalim, Fünfter Abschnitt.14",XIV. V<small>IER</small> E<small>IGENSCHAFTEN SIND BEI DEN</small> J<small>ÜNGERN ZU FINDEN: SCHNELL AUFFASSEN UND SCHNELL VERGESSEN: DER</small> S<small>CHADEN WIEGT DEN</small> G<small>EWINN AUF; SCHWER AUFFASSEN UND SCHWER VERGESSEN: DER</small> G<small>EWINN WIEGT DEN</small> S<small>CHADEN AUF; LEICHT AUFFASSEN UND SCHWER VERGESSEN: EIN</small> W<small>EISER; SCHWER AUFFASSEN UND LEICHT VERGESSEN: EIN SCHLECHTES LOS</small>.
"shekalim, Fünfter Abschnitt.15","XV. V<small>IER</small> C<small>HARAKTERE GIBT ES BEI DEN</small> A<small>LMOSENSPENDERN: MANCHER GIBT, WÜNSCHT ABER NICHT, DASS ANDERE GEBEN: ER GEIZT MIT FREMDEM; MANCHER WÜNSCHT, DASS ANDERE GEBEN, GIBT ABER SELBER NICHT: ER GEIZT MIT SEINEM; MANCHER GIBT SELBER UND WÜNSCHT, DASS ANDERE GEBEN: EIN</small> F<small>ROMMER; MANCHER GIBT SELBER NICHT UND WÜNSCHT AUCH NICHT, DASS ANDERE GEBEN: EIN</small> B<small>ÖSEWICHT</small>."
"shekalim, Fünfter Abschnitt.16","XVI. V<small>IER</small> K<small>LASSEN GIBT ES BEI DEN</small> B<small>ESUCHERN DES</small> L<small>EHRHAUSES : MANCHER GEHT HIN UND HANDELT NICHT DANACH: ER HAT DAS</small> V<small>ERDIENST DES</small> H<small>INGEHENS; MANCHER HANDELT DANACH, UND GEHT NICHT HIN: ER HAT DAS</small> V<small>ERDIENST DES</small> H<small>ANDELNS; MANCHER GEHT HIN UND HANDELT DANACH: EIN</small> F<small>ROMMER; MANCHER GEHT NICHT HIN UND HANDELT NICHT DANACH: EIN</small> B<small>ÖSEWICHT</small>."
