1:1	אמרו רז״ל. אבות פ״ד מי״ג, ועי׳ חזית פ׳ טוב שם משמן טוב,
14:83	והים סוער. במכילתא ושמ״ר וילקוט הגי׳ והים סוגר.
14:84	כי עת לקצר. שם. וספרי בהעלותך פי׳ ק״ה וברכות ל״ד ע״א.
14:85	א״ר יהושע. עיין הערה פ״ב.
14:86	כנגד י״ב שבטים נבקע הים. במכילתא ריש פ״ד הים נחלק לשנים עשר גזרים. ובילקוט הגי׳ נחלק לשנים.
14:87	בוא וראה. מכילתא וילקוט ורש״י עה״ת.
14:88	משל. שם.
14:89	באו לסטים מאחריו. במכילתא ורש״י עה״ת הגי׳ בא הזאב מאחריו ובילקוט חסר שורה וכצ״ל באו לסטים לתפסו נטלו מלפניו ונתנו לאחריו בא זאב ליטלו מאחריו נטלו [מאחריו ונתנו מלפניו באו לסטים מלפניו וזאבים מאחריו נטלו] ונתנו על זרועותיו.
14:90	שנא׳ ואנכי תרגלתי. כ״ה הגי׳ גם בילקוט בשם המכילתא. אולם לפנינו במכילתא מובא הכתובים בנמשל כו׳ ע״ש וכאשר הוא לפנינו היא גירס׳ ישרה.
14:91	הענן לישראל. מכילתא וילקוט.
14:92	מקבלין אותה. כ״ה הגי׳ בילקוט אולם במכילתא הגי׳ מגין עליהם.
14:93	ולא מחנה ישראל. הגהתי כמו שהוא במכילתא ובילקוט. וחסר גם בכ״י פלארענץ.
14:94	התחיל הים. מכילתא וילקוט ריש רמז רל״ד.
14:95	הראהו המטה ולא קיבל עליו. עיין במכילתא וילקוט שמשלו משל.
14:96	קדים עזה שברוחות. מכילתא. גיטין ל״א ע״ב, ב״ב כ״ה ע״א וילקוט שם, ורש״י עה״ת.
14:97	ברוח קדים. וכן הוא בכ״י פלארענץ ופ״ב ובמקרא כתוב כרוח קדים.
14:98	עשאו כמין חרבה. מכילתא וילקוט.
14:99	כל המימות שבעולם נבקעו. מכילתא וילקוט ורש״י עה״ת.
14:100	דע כי אלו שלשה פסוקים. וכן מובא ברש״י סוכה מ״ה ע״א ד״ה אני והו.
14:101	ומהם אתה מוצא שם המפורש. כ״ה גם בכ״י פלארענץ. ובכ״י פ״ב הגי׳ ומהם אתה למד שם המפורש.
14:102	ותמצא זה השם בספר הישר. עיין במבוא אות ט׳ סי׳ כ״א.
14:103	אמר ר׳ מאיר. מכילתא בשלח פ״ה וסוטה ל״ו ע״ב ומובא בילקוט רמז רל״ד.
14:104	וצווחין. כ״ה במכילתא.. י-ייי. יי.׳י^י^י ובגמרא שם הנוסחא מנצחים זה עם זה, ובילקוט וצוהבין וכן בתוס׳ סוטה ל״ז ע״א בשם המכילתא הגי׳ צוהבין.
14:105	בזכות מזוזה, במכילתא וילקוט שם מימינם זו מזוזה ומשמאלם זו תפילין וכן במכילתא פ״ו ד״א מימינם ומשמאלם, מימינם זו מזוזה שעתידין ישראל לעשות ומשמאלם זו תפילין ועיין מדרש חזית בפ׳ לסוסתי.
14:106	הראה להם הקב״ה. עיין מכילתא שם פ״ו דרש ר׳ פפוס לססתי ברכבי פרעה.
14:107	לעולם תפלתן של צדיקים. מכילתא פ״ה בפ׳ ויהי באשמורת הבקר. וילקוט רמז רל״ה בשם המכילתא ושם הוא בהוספת דברים.
14:108	כדכתיב לעיל. בכ״י פלארענץ כתוב אחר וישכם אברהם בבקר ״וישכם יעקב בבקר [בראשית כ״ח יח] וישכם משה בבקר [שמות ל״ד ד] וישכם יהושע בבקר [יהושע ג א] וישכם שמואל לקראת שאול בבקר [ש״א ט״ו יב]״ ובכ״י שלפנינו קצר המעתיק וכתב כדכתיב לעיל.
14:109	בוא וראה. מכילתא באריכות קצת. וכן מובא בילקוט שם.
14:110	הענן היה יורד. מכילתא וילקוט ורש״י עה״ת.
14:111	הממם וערבבם. מכילתא, ורש״י עה״ת.
14:112	סוגניות signum פי׳ נס ודגל.
14:113	ר׳ יהודה. מכילתא וילקוט רמז רל״ה ורש״י עה״ת.
14:114	ר׳ יהודה אומר הם אמרו. מכילתא וילקוט ורש״י עה״ת וע״ש והנוסחא נשתנית.
14:115	מי שעשה. שם.
14:116	אין הים. מכילתא פ״ו וילקוט רמז רל״ו.
14:117	לתקפו. מכילתא וילקוט רמז רל״ז ונרשם בצדו תנחומא יש לתקן שצ״ל מכילתא. וע׳ בח״ב סוף פרשה שופטים שם פי׳ רבינו איתנו כמשמעו קשה וכה״א איתן מושבך.
14:118	ללמדך. שם.
14:119	ירד האחרון שבמצרים. כ״ה גי׳ גם הילקוט ובמכילתא לפנינו הגי׳ ירד ראשון שבמצרים.
14:120	כאדם שהוא מנער את הקדרה. מכילתא וילקוט וע׳ רש״י עה״ת כאדם שמנער את הקדרה והופך העליון למטה ותחתון למעלה כו׳.
14:121	וי״א פרעה נשאר. הוא דעת ר׳ נחמיה במכילתא שם ומובא בילקוט רמז רל״ח ויש לתקן שם ר׳ נחמי׳ במקום ר׳ נחמן.
14:122	חמה כתיב חסר וי״ו כלומר חמה נתמלאו מלאכי השרת עליהם. במכילתא הגי׳ והיו מלאכי השרת תמהים לומר בני אדם עובדים עבודת כוכבים מהלכים ביבשה בתוך הים ומנין שאף הים נתמלא עליהם חמה שנאמר והמים להם חמה אל תקרא חומה אלא חמה, וכאשר הביא המחבר היא גי׳ ישרה. ולדעתי יש לתקן במכילתא. ומנין שאף הים נתמלא עליהם חמה שצ״ל ומנין שאף מ״ה והוא ר״ת מלאכי השרת. או צ״ל שאף הם נתמלאו עליהם חמה. ובילקוט הגי׳ כמו שהוא לפנינו במכילתא ומנין שאף הים וכו׳. רק גורס שלמעלה הוא אומר והמים להם חומה חמה כתיב כוונתו לפסוק כ״ב, בשם נאמר חומה מלא ובעל מנחת שי כתוב על פסוק זה נאמר ולא על שלמעלה וכן צריך להגיה בילקוט והביא ג״כ דברי בעל הטורים חמה כתיב חסר שהקב״ה נתמלא עליהם חימה על פסל מיכה כו׳. ורבינו בחיי כתב שדרשו רבותינו והמים להם חומה חמה כתיב חומה לישראל חמה למצרים. וכן דרשו בחילו של סנחריב והיה אור לישראל לאש. אור לישראל אש לסנחריב.
14:123	שנאמר והיה לאות על ידכה. הסיום הזה ראיה מהכתוב ליתא במכילתא והוא עפ״י דרשתם מובא לעיל י״ד ט״ז ידכה יד כהה ואיזה זו שמאל.
14:124	כצפור. מכילתא וילקוט רמז רל״ט.
14:125	מפני ד׳ דברים. מכילתא וילקוט שם.
14:126	כסף וזהב. במכילתא וילקוט כסף וזהב ואבנים טובות ומרגליות.
14:127	ד״א. גם בילקוט הוא מאמר בפני עצמו ועיין מאיר עין הערה כ״ג.
14:128	מיתות חמורות. גם בילקוט מובא זה על הכתוב וירא ישראל את היד הגדולה אולם במכילתא הלשון משובש והגי׳ ד״א וירא ישראל את מצריים מת מיתות משונות מיתות חמורות. וכבר תקן במדת סופרים כמו שהוא לפנינו.
14:129	לשעבר. מכילתא.
14:130	גדולה האמנה. מכילתא וע״ש ותמצא אריכות דברים:
15:1	יש אז לשעבר. מכילתא בשלח מסכתא דשירתא פ״א ותנחומא בשלח, וילקוט רמז רמ״א ובטעות נרשם בצדו מדרש אבכיר.
15:2	למדנו לתחיית המתים. מכילתא, סנהדרין צ״א ע״ב, ילקוט רמז רמ״א, ורש״י עה״ת.
15:3	משה שקול. שם.
15:4	מגיד הכתוב. שם.
15:5	עשר שירות הן. שם ותנחומא בשלח וילקוט רמז רמ״ב.
15:6	ויעמד משוררים בבית ה׳. במקרא כתוב ויעמד משוררים לה׳ ומהללים להדרת קודש בצאת לפני החלוץ ואומרים הודו לה׳ כי לעולם חסדו. וראיתי שגם במכילתא מובא לשון הכתוב ״בצאתו במקום ״בצאת״, ״אומר״ במקום ״ואומרים״ גם ״כי טוב״ אשר ליתא בקרא.
15:7	שנאמר שירו לה׳ שיר חדש. במכילתא מצוין ישעיה מ״ב י׳ בתנתומא מובא הכתוב שירו לה׳ שיר חדש כי נפלאות עשה (תהלים צ״ח א׳) ובילקוט רמז רמ״ב הגי׳ שנאמר שירו לה׳ שיר חדש תהלתו בקצה [צ״ל מקצה] הארץ (ישעיה מ״ב י) ואומר שירו לה׳ שיר חדש תהלתו בקהל חסידים (תהלים קמ״ט א).
15:8	משונה שיר זה. מכילתא שם.
15:9	ותצאן כל הנשים. בקרא ותצאנה הנשים. וכן בכ״י פ״ב מובא ותצאן כל הנשים ובכ״י פלארענץ ותצאנה כל הנשים. וגם במכילתא נאמר כל הנשים וחסר שם שהשמיט המעתיק או המדפיס וכצ״ל ותצאנה כל הנשים [מכל ערי ישראל וגו׳ ותענינה הנשים] המשחקות וגו׳.
15:10	ר׳ נחמי׳. מכילתא וילקוט שם.
15:11	כבני אדם שהן קורין את שמע. כלומר שכלם עונין ביחד.
15:12	ר׳ אלעזר בן תרדיון. במכילתא ר׳ אליעזר בן תדאי בתנחומא בן תדיי׳ ובכ״י פלארענץ ר׳ אלעזר בן תידיי. ובילקוט ר׳ אליעזר בן עזריה.
15:13	נאה לה׳ גדולה. עיין מכילתא.
15:14	משל לשר. עיין מכילתא שם בקצת שינויים.
15:15	הראשון רפה והשני דגש. ר״ל כתיב גאה גאה וכן במסורת אילין זוגין חד דגש וחד רפי וסימן או דדו או בן דדו כי גאה גאה מי כמכה באלים ה׳, מי כמכה. לקחת לו גוי מקרב נוי. שחת לו לא.
15:16	גאני וגאתיו. מכילתא פ״ב ותנחומא וילקוט שם.
15:17	וגאתיו בשירה. במכילתא שם אף אני גאיתיו על הים ושרתי לפניו שירה שנאמר אשירה לה׳.
15:18	במה שאו״ה. מכילתא וילקוט רמז רמ״ג ושם באריכות דברים.
15:19	בו בדבר מתגאה עליהם. במכילתא בו הוא נפרע מהם. ובתנחומא שכל המתגאים במה שהם מתגאים בו נפרע מהם.
15:20	אנשי סדום. עיין מכילתא ותנחומא וילקוט.
15:21	וכי סוס אחד. מכילתא תנחומא וילקוט רמז רמ״ג.
15:22	ד״א. שם.
15:23	עזי זו התורה. מכילתא פ״ג ילקוט רמז רמ״ד.
15:24	ד״א. שם.
15:25	ישועה אתה. מכילתא וילקוט.
15:26	ר׳ אליעזר אומר מנין אתה אומר. מכילתא.
15:27	ישעי׳ ויחזקאל. וכ״ה בכ״י פ״ב וכ״י פלארענץ ובילקוט. ובמכילתא הגי׳ שלא ראה יחזקאל ושאר הנביאים.
15:28	א״ר ישמעאל. שם.
15:29	תפלה נאה. כ״ה גם במכילתא וילקוט ור״ל תפילין. ומובא הרבה פעמים לשון יחיד.
15:30	אנוה שמו הנכבד והנורא. דרש נוטריקון מלשון נוי ומן הו שהוא השם הנכבד עיין רש״י ותוס׳ סוכה מ״ה ע״א. ובמכילתא הגי׳ ריה״ג אומר ניינו ושבחו להקב״ה בפני כל אוה״ע. ובילקוט הגי׳ רי״א אגיד נאותיו ושבחו של מי שאמר והיה העולם בפני כל אוה״ע.
15:31	שנאמר על כן עלמות אהבוך. במכילתא שם סיים אהבוך עד מות, וכן מובא בילקוט רמז רמ״ד.
15:32	בזמן שהאומות אומרין. מכילתא וילקוט שם.
15:33	וחכמים אומרים. עיין במכילתא שם.
15:34	אני טהורה. מכילתא וילקוט רמז רמ״ה.
15:35	ר׳ שמעון. מכילתא וילקוט שם.
15:36	ד״א. עיין מכילתא וילקוט שם.
15:37	הכליל בה כל מיני כלי זיין. מכילתא שם בשם ר׳ יהודה, ומובא בילקוט רמז רמ״ו.
15:38	ד״א ה׳ איש מלחמה. וכן הגיה הגאון בעל איפת צדק במכילתא שם.
15:39	למה נאמר איש. מכילתא וילקוט רמז רמ״ו.
15:40	לפי שנגלה על הים כגבור ונגלה בסיני כזקן. עיין פסיקתא פסקא בחדש השלישי דף ק״ט ע״ב ובפסיקתא רבתי פכ״א אות ה׳ א״ר לוי בדמויית הרבה נגלה להם. ובהערות שלי להפסיקתא הערה קפ״ג הבאתי דברי המכילתא יתרו פ״ה פ׳ אנכי והעירותי שעל פי המכילתא יסד הפייטן בפיוט תחתיות ארץ ליום א׳ דשבועות דרך בעשיתו במים עמוקים גבור נגלה ונלחם במצוקים, בתתו בסיני דתות וחוקים, אזי כרחמן נגלה משחקים. וכן בפיוט אנכי ראש לדברות במעריב ליל שני, גואל כזקן בישיבה נגלה לכללם כו׳. אזי כגבור נגלה ושבחוהו עד עולם. וכן ביוצר לשבת אחר שבועות, מתוך שנראה בים כגבור בנלחמים אתא לסיני כזקן מלא רחמים.
15:41	וכתיב חזה הוית. וסיפא דקרא לבושיה כתלג חוור ושער ראשיה כעמר נקא.
15:42	יש גבור. מכילתא וילקוט שם.
15:43	ולא טכסיס מלחמה. במכילתא וילקוט ולא תכסיס ולא מלחמה. והגי׳ שלפנינו יותר נכונה.
15:44	ד״א. במכילתא חסרים המלות ״ד״א״.
15:45	אע״פ שהוא איש מלחמה לצרים. במכילתא. הוא נלחם על המצריים.
15:46	ד״א ה׳ שמו. מכילתא ורש״י עה״ת.
15:47	בחרב ובחנית ואני בא אליך. כ״ה גם בכ״י פלארענץ ופ״ב ובמקרא כתוב בחרב ובחנית ובכידון ואנכי בא אליך. וגם במכילתא מובא לשון הכתוב ואני במקום ואנכי.
15:48	במדה שמדדו בה נמדדו. במכילתא סיים פרעה אמר מי ה׳ אשר אשמע בקולו ואף אתה באותה מדה מדדת לו לכך נאמר מרכבות פרעה וחילו ירה בים. ועיין במדת סופרים ובמאיר עין ולדעתי יש לתקן שם פרעה אמר כל הבן הילוד היאורה תשליכהו (שמות א כב) ואף אתה באותה מדה מדדת לו לכך נאמר ירה בים.
15:49	כתיב ירה. מכילתא וילקוט שם.
15:50	אלו שש מאות רכב. בכ״י פ״ב חסר פה שורה שלימה.
15:51	טובעו בטיט. במכילתא אין טביעה אלא בטיט, וכן הביא רש״י עה״ת טבעו אין טביעה אלא במקום טיט.
15:52	ויש קורין יכסיימו. בכ״י פ״ב ויש שקורין יכסומו ובכ״י פלארענץ ויש שקורין יכסיומו, והיא גירסא נכונה. והכוונה המלה נקוד יכסיומו ועל זה כתב יש שקורין יכסיומו כי במלה זו יש ארבעה זריות כמו שהביא המבאר והד׳ הוא השנוי הגדול שבאה המ״ם במלאפום במקום החולם, והביא על זה חבר כמו לא תעבורי מזה, הראוי תעבורי. ובכ״י פלארענץ הגי׳ כמו לא תעבורי מזה פירושו לא תעבורי. והמעתיק באשר לא הבין הכוונה השמיט זה. וגם רש״י עה״ת כתב יכסימו אין לו דומה במקרא בנקודתו ודרכו להיות בנקודתו יכסימו מלאפום (ר״ל בחולם כי הראשונים קראו לחולם מלאפום). ואולי כוונתו ויש שקורין יכסיומו ר״ל במלאפום אף שנקדה היו״ד בקבוץ הוא במקום מלאפום והוי״ו חסרה ע״פ המסורת.
15:53	והוא מחלופי בן אשר ובן נפתלי הנקדנים. וז״ל בעל מנחת שי בראשית א׳ ג׳ האנשים האלה היו שני ראשי ישיבות במסורת, שם האחד יעקב בן נפתלי, ושם השני אהרן בן אשר, ור׳ אברהם דבלניש קרא אותם משה בן אשר. ובעל שלשלת הקבלה כתב שאחרי דור רבינו סעדי׳ גאון הי׳ שני חכמים גדולים שנחלקו על מלות הרבה שבתורה וטעמיהן, ונקראו ר׳ אהרן בר משה משבט אשר, ור׳ משה בן דוד משבט נפתלי, ואנחנו סומכים על קריאת בן אשר, וכך סמך עליו הרמב״ם ז״ל וכמנהג מערבי, ומדינחא סומכים על קריאת בן נפתלי.
15:54	מלמד שעלה תהום העליון. מכילתא פ״ה וע״ש.
15:55	נתן להם סימן שבשעה שכורעה לילד יריכותיה מצטננות כאבנים. זה ליתא במכילתא.
15:56	שאתה נותן ארכה. מכילתא וילקוט.
15:57	ב׳ פעמים. שם.
15:58	לע״ל. שם.
15:59	בזעם תצעד ארץ. ודרשו כמו תרעץ ארץ.
15:60	תרעץ אויב זה פרעה. הוספתי וכ״ה בכ״י פ״ב ובכ״י פלארענץ ובמכילתא וילקוט סוף רמז רמ״ו.
15:61	הרבית להתגאות. מכילתא פ״ו וילקוט רמז רמ״ז.
15:62	קמינו לא נאמר. מכילתא באריכות דברים.
15:63	תשלח חרונך לעתיד לבא. כלהביאמר הוא במכילתא באריכות ומובא בילקוט רמז רמ״ז ורבינו קצר בלשונו.
15:64	הם אמרו הבה. מכילתא וילקוט רמז רמ״ח.
15:65	נעשו ערימות. הוספתי כמו שהוא במכילתא וכן הוא לנכון בכ״י פלארענץ וכ״י פ״ב.
15:66	כך היתה נשמתן. עיין מכילתא שם.
15:67	ונוזלים. הוספתי כי הם ב׳ כתובים ונמצא לנכון בכ״י פלארענץ.
15:68	כמין כיפה. כ״ה בילקוט ובתנחומא, אולם במכילתא הגי׳ כמין קופה.
15:69	כשם שלב האדם. מכילתא.
15:70	זה הפסוק. מכילתא פרשה ז׳ וילקוט רמז רמ״ט.
15:71	מנין היו ישראל יודעין. מכילתא וילקוט שם.
15:72	אמר להם פרעה. שם.
15:73	היו בהם עניים שאבדו ממון מעט אמרו אנחנו וויתרנו. במכילתא הגי׳ משובשת כיון שראו מקצת העם שאבדו ממונם מועט אמרו נרדפם. ועיין במאיר עין שדחק לפרשו. וכתב וגי׳ הילקוט אין בידי לפרשה. כי הילקוט ברמז רמ״ט הביא הגי׳ וז״ל כיון שראו מקצת העם שאבדו ממון מועט אמרי הוו יתרתה נרדוף אחרי ישראל. יש לתקן שצ״ל. אמרו וויתרנו מלרדוף אחרי ישראל.
15:74	אמר להם פרעה. מכילתא. ושם הגי׳ לשעבר הייתם בוזזים בהם והייתי תובע מידכם בנימוסי מלכות אבל כאן תורישמו ידי.
15:75	אחלק שלל. כן הוספתי כמו שהוא בכ״י פלארענץ וכ״י פ״ב. והשמיט המעתיק מן עכשיו עד עכשיו. ונראה כי הי׳ במכילתא ד׳ דרשות על אחלק שלל תמלאמו נפשי, אריק חרבי, תורישמו ידי, ולפנינו קטוע ומשובשת.
15:76	זו אניסת בניהם ובנותיהם. בכ״י פלארענץ הגי׳ אניסת נשיהם ובנותיהם. ועיין במכילתא וי״א אתן חרבי אינו אומר אלא אריק חרבי, אמר לבעול זכריהם כענין שנאמר והריקו חרבותם על יפי חכמתך וחללו יפעתך (יחזקאל כח ז). ובילקוט רמז רמ״ט הגי׳ לשעבר הייתם רוצים לאנוס נשיהן ובנותיהן והייתי תובע מידכם [בנימוסי מלכות] אבל כאן אריק חרבי. וי״א אתן חרבי אין כתיב כאן אלא אריק חרבי אמר לבעול את זכוריהן כענין שנאמר ונתנו [צ״ל והריקו] חרבות [צ״ל חרבותם] על יופי [צ״ל יפי] חכמתך (יחזקאל כח ז). ובמכילתא לפנינו חסר מן לשעבר עד אריק חרבי ומתחיל וי״א שהשמיט המעתיק מן לשעבר עד חרבי.
15:77	שלש כיתות. מכילתא וילקוט שם.
15:78	וכנגדם בא עליהם חמשה פורענות בים. במכילתא וכנגדן של חמשה דברים השיבתו רוח הקודש ואומרת נשפת ברוחך כו׳. ובילקוט רמז רמ״ט השמיט המעתיק המלות ״וברוח אפיך״ ומן נטית ימינך מתחיל רמז ר״נ. בטעות.
15:79	ארבעה נקראו אדיר. מכילתא וילקוט רמז ר״נ.
15:80	צדיקים. במכילתא הגירסא ישראל.
15:81	יבוא אדיר. עיין מנחות נ״ג ע״א.
15:82	כיון שראו ישראל. מכילתא פ״ח וילקוט רמז ר״נ.
15:83	ואפילו האומות. עיין גי׳ אחרת במכילתא.
15:84	חסר יו״ד. ז״ל בעל מנחת שי באלם חסר דחסר כלומר מי כמוך באלמים כן דרשו רבותינו בפ׳ הניזקין [גיטין נ״ו ע״ב] ובמכילתא ובמדרש לקח טוב נדרש מי כמוכה באלמים על פנים שונים.
15:85	באנסים שעושה דין ונקמות ברשעים. ובמכילתא מי כמוך באלים באלמים מי כמוך בנסים וגבורות שעשית על הים. והמפרשים פירשו שהוא מלשון אלים וחזק וכן ואת אילי הארץ לקח (יחזקאל יז יג). וכפירוש רבינו.
15:86	ד״א באלם באלמים בע״ז. דרש באלם מלשון אלם. ובמכילתא הגי׳ ד״א מי כמוך באלים מי כמוך באלו שאחרים קורין אותם אלוהות כו׳.
15:87	עושה תחלה ולבסוף מקירות לבם בפה מלא. הביאמר קטוע ונשתבש מן המעתיק, ונמצא לנכון בכ״י פ״ב ובכ״י פלארענץ. וכן צ״ל באלמים בע״ז עושה נקמות מי כמוך רפה מי כמוך השני דגש לפי שבתחלה היו משבחין בשפה רפה ולבסוף מקירות לבם בפה מלא. וכן מצאתי בס׳ מנחת שי שכתב וז״ל מי כמוך הראשון ברפי הכ״ף והשני בדגש בתר יהו״א בלא מבטל ע״פ המסורת ונתנו טעם לדבר שלא לגמגם מיכה אצל השם. ועיין מ״ש בתהלים ל״ה י׳ ומה שכתב מרן ב״י באו״ח סוף סי׳ ל״א בשם ארחות חיים, ומדרש לקח טוב מי כמוכה הראשון רפי והשני דגש לפי שבתחלה היו משבחין בשפה רפה ולבסוף מקירות לבם בפה מלא עכ״ל ועיין ברבינו בחיי ותראה ששאב מדברי הלקח טוב.
15:88	אלו ישראל שהם אלמים בגלות. במכילתא וילקוט רמז ר״נ מי כמוך באלמים שומע עלבון בניך ושותק. נראה כי יש להגיה שם ע״פ דברי רבינו וכצ״ל מי כמוך באלמים [אלו ישראל שהם אלמים בגלות מתחרפין ואין משיבין והקב״ה] שומע עלבון בניו ושותק.
15:89	ד״א מי כמוך באלים. באלו שמשמשין לפניך במרום. דרש באלים מלשון בני אלים וזה שהביא הדורש כי מי בשחק יערוך לה׳ וכוונתו לסיפא דקרא ידמה לה׳ בבני אלים.
15:90	נאה אתה ואדיר בקודש. מכילתא וילקוט׳ רמז ר״נ.
15:91	נורא תהלות מעולם אתה. במכילתא לא מעכשיו אלא מעולם נורא תהלות.
15:92	ד״א. שם.
15:93	מוראו על הקרובים. במכילתא וילקוט נוסף ״יותר מהרחוקים״. ועיין מכילתא שם באריכות דברים.
15:94	מדקדק עם עבדיו כחוט השערה. הסיום הזה ליתא במכילתא, והוא מגמרא ב״ק נ׳ ע״א וסביביו נשערה מאד מלמד שהקב״ה מדקדק עם סביביו אפי׳ כחוט השערה, ודרשו נשערה לשון חוט השערה.
15:95	עשה עם האבות. זה לשון המכילתא ד״א עושה פלא עם אבות ועתיד לעשות עם בנים.
15:96	לפי שצדקו עליהם הדין. מכילתא פ״ט, ילקוט רמז רנ״א, ורש״י עה״ת.
15:97	ד״א נטית. מכילתא וילקוט שם.
15:98	אמרה היבשה. עיין בת״י ויב״ע ימא וארעא הוו מדיינין. ועיין פדר״א פמ״ב ובפי׳ הרשב״ם לפסחים קי״ח ע״ב ד״ה פלוט.
15:99	לפי שלא היה. מכילתא וילקוט.
15:100	אין לך עם. שם.
15:101	ד״א עם זו. הוספת רבינו.
15:102	אלו י״ג שבטים. דרש ז״ו בגימטריא י״ג.
15:103	בזכות התורה. מכילתא וילקוט.
15:104	אמרו. מכילתא וילקוט.
15:105	ד״א. שם.
15:106	כיון ששמעו אנשי פלשת. שם.
15:107	לעורר ערעור. במכילתא לעורר עידותן ובילקוט הגי׳ לעורר עברתם. והגאון איפת צדק הגיה עירורין. ועיין סנהדרין צ״ב ע״ב, וברש״י עה״ת.
15:108	שנאמר אלה בני אפרים שותלח בנו ועזר ואלעזר. במקרא כתיב ובני אפרים וגו׳ ושותלח בנו ועזר ואלעד. וגם בכ״י פלארענץ וכ״י פ״ב מובא המקרא בטעות אלה בני אפרים למשפחותם שותלח בנו זבדי בנו ועזר ואליעזר.
15:109	למה נבהלו. מכילתא.
15:110	אלא אמרו. נראה כי גם לפני רבינו הוא מאמר אחד ועיין במאיר עין שהגיה במכילתא. ״דבר אחר״ והביא שכן הגיה הגאון בעל איפת צדק. ועיין ברש״י עה״ת.
15:111	אמרו עתה יעוררו. מכילתא וילקוט שם.
15:112	נמוגו נמסו. מכילתא וכן כתב רש״י בפי׳ עה״ת והביא ראי׳ כמו ברביבים תמוגגנה (תהלים סה). ובמכילתא מובא כמו שהביא רבינו נמוגים ארץ.
15:113	למען נמוג לב העם. וכן מובא בכ״י פלארענץ וכ״י פ״ב. ובקרא כתיב למען למוג לב. ומלת העם ליתא.
15:114	אימתה על הרחוקים. מכילתא וילקוט ורש״י עה״ת וכן בספרי סוף עקב פחדכם ומוראכם, פחד על הקרובים ומוראכם על הרחוקים. ומובא ברש״י סוף עקב.
15:115	זה נאמר על עמלק. מכילתא וילקוט.
15:116	ד״א. שם.
15:117	היה דומם. מכאן טד הכנעני חסר בכ״י פ״ב.
15:118	ד״א. שם.
15:119	מלך כנען. במקרא מלך חצור.
15:120	ויוועדו כל המלכים ויתקבצו יחדו. וכן מובא בכ״י פלארענץ וכ״י פ״ב. ובקרא כתיב ויוועדו כל המלכים האלה ויבאו ויחנו יחדו. וביהושע ט׳ ב׳ כתוב ויתקבצו יחדו.
15:121	עד יעבור עמך את הים כו׳ את הירדן. במכילתאהביאמר קטוע ועיין במאיר עין שהוסיף ע״פ הילקוט רמז רנ״ב והי׳ גם לנכון לפני רבינו במכילתא.
15:122	לפי שכל העולם. מכילתא וילקוט.
15:123	ארבעה נקראו קנין. מכילתא וילקוט רמז רנ״ב. ובספרי האזינו בפ׳ הלא הוא אביך קנך איתא ג׳ נקראו קנין. ובפסחים פ״ז ע״ב. ובאבות פ״ו מ״י חמשה קנינים.
15:124	נתנבאו האבות. מכילתא פרשה י׳, וילקוט רמז רנ״ג.
15:125	שנאמר אם יראה. הסיום הזה ליתא במכילתא.
15:126	ככרם. מכילתא וילקוט.
15:127	שנאמר מפאת קדמה. אין זה סדר הכתובים. ביחזקאל מ״ח א׳ ג׳ ז׳ וכאשר הביא רבינו הוא ג״כ במכילתא שם וילקוט רמז רנ״ג. וגם בספרי האזינו בפ׳ ואין עמו אל נכר מובא הכתובים לא כלשון המקרא וכאשר העיר ג״כ בעל מאיר עין.
15:128	בהר שהבטחתנו. מכילתא וילקוט.
15:129	ארבעה נקרא נחלה. מכילתא וילקוט רמז רנ״ג.
15:130	דכתיב והם עמך ונחלתך. במכילתא וילקוט מובא לראי׳ הכתוב עמי ונחלתי ישראל (יואל ד׳ ב׳).
15:131	דכתיב אל המנוחה ואל הנחלה. במכילתא וילקוט מובא הכתוב בארץ אשר ה׳ אלהיך נוחן לך נחלה (דברים טו ד).
15:132	תבא נחלה נחלה. נחלה בזכות נחלה במכילתא אמר הקב״ה יבואו ישראל שנקרא נחלה לארץ שנקראת נחלה ויבנו ביהמ״ק שנקרא נחלה בזכות התורה שנקראת נחלה. ובכ״י פ״בהביאמר מקוטע. והגי׳ שם ״תבוא נחלה נחלה בזכות״.
15:133	בוא וראה. מכילתא וילקוט.
15:134	ובמקדש כתיב פעולה. בילקוט הגי׳ וכשבנה בית המקדש. ועיין במאיר עין שהגיה במכילתא וכשבא לבנות ביהמ״ק.
15:135	שהחריבו פעולת. עיין מאיר עין אות י״ד.
15:136	לשם אחת ופה שתים. כשברא עולמו לא בראו אלא בידו אחת, ופה כשבא לבנות ביהמ״ק בשתי ידיו. מכילתא וכן הובא ברש״י עה״ת.
15:137	מקדש רפה. בקרא מקדש ק׳ דגושה הדל״ת רפה. ועיין מנחת שי שמות ב׳ ג׳ שהביא בשם המסורת ג׳ מלין דגשין ורפין מתחלפין וסימן הצפינו, מקדש ה׳ משתי עיניו (שופטים טז) ובעל אור תורה פי׳ מתחלפים כי בשלשת מלות הללו היה ראוי להיות אות שניה רפה והשלישית דגושה ונהפך הדבר ובאה השניה דגושה והשלישית רפה.
15:138	נודע בישראל שנאמר. הוספתי ע״פ כ״י פ״ב וכ״י פלארענץ.
15:139	ר׳ יוסי הגלילי אומר. מכילתא ומובא בילקוט.
15:140	שירת משה רבינו. הוספת המחבר.
