Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Leviticus 26 33,"And you I will scatter among the nations;<br>I will unsheath the sword against you,<br>so that your land becomes a desolation and your cities become a wasteland."
Leviticus 26 34,"Then the land will find-acceptance regarding its Sabbaths,<br>all the days of desolation—when you are in the land of your enemies—<br>then the land will enjoy-cessation, and find-acceptance regarding its Sabbaths."
Leviticus 26 35,"All the days of desolation it will enjoy-cessation,<br>since it did not enjoy-cessation during its Sabbaths when you were settled on it."
Leviticus 26 36,"Now those that remain among you—I will bring faintness into their hearts, in the lands of their enemies,<br>they will be set-in-pursuit by the sound of a leaf blown about,<br>they will flee as if in flight from a sword and will fall, though there is no pursuer!"
Leviticus 26 37,"They will stumble, each-man over his brother, as before the sword, though pursuer there is none.<br>And you will not be able to stand-your-ground before your enemies;"
Leviticus 26 38,"rather, you will perish among the nations—<br>it will devour you, the land of your enemies."
Leviticus 26 39,"Those that remain among you will rot away in their iniquity, in the lands of their enemies;<br>yes, because of the iniquities of their fathers, with them they shall rot away."
Leviticus 26 40,"Now should they confess their iniquity and the iniquity of their fathers, in their breaking-faith by which they broke-faith with me<br>—yes, since they have walked with me in opposition,"
Leviticus 26 41,"yes, I myself will walk with them in opposition,<br>and will bring them into the land of their enemies—<br>if then their foreskinned heart should humble itself,<br>if then they should find-acceptance regarding their iniquity,"
Leviticus 26 42,"I will bear-in-mind my Yaakov covenant,<br>and yes, my Yitzhak covenant, and yes, my Avraham covenant I will bear-in-mind, and the land I will bear-in-mind."
Leviticus 26 43,"—The land will have to be left behind by them, attaining-acceptance through its Sabbaths by being-desolate-of them,<br>and they will have to find-acceptance regarding their iniquity,<br>because, because my regulations they spurned, and my laws they repelled.—"
Leviticus 26 44,"And yes, even then, when they are in the land of their enemies, <br>I will not spurn them, I will not repel them, to finish them off, to abrogate my covenant with them,<br>for I <small>YHWH</small> am their God!"
Leviticus 26 45,"I will bear-in-mind to their [benefit] the covenant of the former-ones<br>whom I brought out of the land of Egypt, before the eyes of the nations,<br>to be a God for them;<br>I am <small>YHWH</small>!"
Leviticus 26 46,"These are the laws, the regulations, and the instructions<br>that <small>YHWH</small> gave between himself and the Children of Israel at Mount Sinai, by the hand of Moshe."
Leviticus 27 1,"<small>YHWH</small> spoke to Moshe, saying:"
Leviticus 27 2,"Speak to the Children of Israel and say to them:<br>Anyone—when one would make a vow-offering<br>in your assessed-equivalent of persons to <small>YHWH</small>,"
Leviticus 27 3,"your assessment shall be:<br>[if] a male, from the age of twenty years up to the age of sixty years,<br>your assessment shall be fifty silver <i>shekels</i> by the Holy-Shrine <i>shekel.</i>"
Leviticus 27 4,"And if it is a female, your assessment shall be thirty <i>shekels.</i>"
Leviticus 27 5,"If the age [is] from five years up to the age of twenty years,<br>your assessment for a male is twenty <i>shekels</i>, and for a female, ten <i>shekels.</i>"
Leviticus 27 6,"If from the age of a month up to the age of five years,<br>your assessment is for a male, five silver <i>shekels,</i> and for a female, your assessment, three silver <i>shekels.</i>"
Leviticus 27 7,"If from the age of sixty years and upward,<br>if a male, your assessment shall be fifteen <i>shekels,</i> and for a female, ten <i>shekels.</i>"
Leviticus 27 8,"If he sinks down [in poverty], lower than the assessment,<br>he is to be stood before the priest,<br>and the priest is to assess [the amount] for him;<br>according to what the hand of the one-making-the-vow can reach, the priest is to assess him."
Leviticus 27 9,"If [it concerns] an animal from which they bring near a near-offering for <small>YHWH</small>,<br>all of what he gives from it to <small>YHWH</small> is to be a holy-portion."
Leviticus 27 10,"He is not to substitute for it and he is not to exchange it, good for ill or ill for good;<br>if they exchange, yes, exchange animal for animal,<br>it will be that it and its exchanged-one will be a holy-portion."
Leviticus 27 11,"If it [concerns] any <i>tamei</i> animal from which there may not be brought near a near-offering for <small>YHWH</small>,<br>the animal is to be stood before the priest,"
Leviticus 27 12,"and the priest is to make-assessment for it, between good and ill,<br>according to your assessment by the priest, thus shall it be."
Leviticus 27 13,"And if he [wants to] redeem, yes, redeem it,<br>he is to add its fifth-part to your assessment."
Leviticus 27 14,"Now a man—when he hallows his house as holy-property to <small>YHWH</small>,<br>the priest is to assess it, between good and ill;<br>as the priest assesses it, thus shall [its cost] be-established."
Leviticus 27 15,"And if the one-who-hallows-it would redeem his house,<br>he is to add a fifth-part [to the] silver of your assessment,<br>and it shall remain his."
Leviticus 27 16,"If from the field of his holding any-man hallows [part] to <small>YHWH</small>,<br>your assessment shall be according to its seed-requirement:<br>the seed-requirement of a <i>homer</i> of barley, fifty silver <i>shekels.</i>"
Leviticus 27 17,"If as of the year of Homebringing he hallows his field, as your assessment [its cost] will be-established."
Leviticus 27 18,"but if it is after the Homebringing that he hallows his field,<br>the priest is to reckon for him the silver according to the years left until the Year of Homebringing,<br>and it is to be subtracted from your [first] assessment."
Leviticus 27 19,"If he wants to redeem, yes, redeem the field, the one hallowing it,<br>he is to add a fifth-part of the silver of your assessment of it, and [its cost] is to be-established for him."
Leviticus 27 20,"But if he does not want to redeem the field,<br>or if he has sold the land to another man,<br>it cannot be redeemed again—"
Leviticus 27 21,"the field shall be, when it goes-free in the Homebringing, a holy-portion for <small>YHWH</small>,<br>like a field specially-devoted;<br>for the priest it shall be, as his holding."
Leviticus 27 22,"And if his purchased field that is not a field of his holding [is what] he hallows to <small>YHWH</small>,"
Leviticus 27 23,"the priest is to reckon for him the value of your assessment, until the Year of Homebringing,<br>he is to give your assessment [in payment] at that time,<br>as a holy-portion for <small>YHWH</small>."
Leviticus 27 24,"In the Year of Homebringing the field shall return to the one from whom it was purchased,<br>the one whose holding of land it is."
Leviticus 27 25,"All your assessments are to be according to the Holy-Shrine <i>shekel,</i><br>twenty grains being the [one] <i>shekel.</i>"
Leviticus 27 26,"However, a firstborn that is assigned-as-firstborn to <small>YHWH</small>, among animals—<br>no man may hallow it;<br>whether ox or sheep, it is <small>YHWH’S</small>."
Leviticus 27 27,"Now if [it is] of a <i>tamei</i> animal, he is to redeem it at your assessment,<br>and add its fifth-part to it,<br>and if it is not redeemed, it is to be sold at your assessment."
Leviticus 27 28,"However, everything specially-devoted that a man devotes for <small>YHWH</small> from all that is his,<br>whether of man or of beast or of field of his holding,<br>is not to be sold and not to be redeemed;<br>everything specially-devoted—it is a holiest holy-portion for <small>YHWH</small>."
Leviticus 27 29,"Anyone specially-devoted that has been devoted-to-destruction, among humans, is not to be ransomed;<br>he is to be put to death, yes, death."
Leviticus 27 30,"And every tithe of the land, [whether] from the seed of the land or from the fruit of the tree:<br>for <small>YHWH</small> it is, a holy-portion for <small>YHWH</small>."
Leviticus 27 31,"of his tithes,<br>its fifth-part he is to add to it;"
Leviticus 27 32,"and every tithe of herd or flock, from all that passes under the [shepherd’s] rod,<br>[each] tenth one, is to be a holy-portion for <small>YHWH</small>."
Leviticus 27 33,"He is not to search between good and ill, he is not to make-exchange for it;<br>but if he makes-exchange, yes, exchange for it,<br>then it and its exchange are a holy-portion, they cannot be redeemed."
Leviticus 27 34,These are the commandments<br>that <small>YHWH</small> commanded Moshe for the Children of Israel at Mount Sinai.
Numbers 1 1,"<small>YHWH</small> spoke to Moshe in the Wilderness of Sinai, in the Tent of Appointment,<br>on the first [day] of the second month, in the second year after their going-out from the land of Egypt,<br>saying:"
Numbers 1 2,"Take up the head-count of the entire community of the Children of Israel,<br>by their clans, by their Fathers’ Houses,<br>according to the number of names, <br>every male per capita;"
Numbers 1 3,"from the age of twenty years and upward,<br>everyone going out to the armed-forces in Israel:<br>you are to count them [for battle] according to their forces,<br>you and Aharon."
Numbers 1 4,"And with you let there be<br>a man, a man per tribe [each],<br>each head of his Fathers’ House he is [to be]."
Numbers 1 5,Now these are the names of the men who are to stand with you:<br>for Re’uven: Elitzur son of Shedei’ur;
Numbers 1 6,for Shim’on: Shelumi’el son of Tzurishaddai;
Numbers 1 7,for Yehuda: Nahshon son of Amminadav;
Numbers 1 8,for Yissakhar: Netan’el son of Tzu’ar;
Numbers 1 9,for Zevulun: Eliav son of Heilon;
Numbers 1 10,for the Sons of Yosef: for Efrayim: Elishama son of Ammihud; for Menashe: Gamliel son of Pedahtzur;
Numbers 1 11,for Binyamin: Avidan son of Gid’oni;
Numbers 1 12,for Dan: Ahi’ezer son of Ammishaddai;
Numbers 1 13,for Asher: Pag’iel son of Okhran;
Numbers 1 14,for Gad: Elyasaf son of De’uel;
Numbers 1 15,for Naftali: Ahira’ son of Einan.
Numbers 1 16,"These are the [ones] called-by the community,<br>the exalted-leaders of the tribes of their fathers;<br>heads of the divisions of Israel are they."
Numbers 1 17,"Now Moshe and Aharon took these men, who were indicated by name,"
Numbers 1 18,"and the entire community they assembled,<br>on the first [day] of the second month;<br>they declared-their-lineage according to their clans, by their Fathers’ Houses,<br>as numbered by name, from the age of twenty years and upward, per capita,"
Numbers 1 19,as <small>YHWH</small> had commanded Moshe;<br>thus he counted them [for battle] in the Wilderness of Sinai.
Numbers 1 20,"Thus they were: the Sons of Re’uven, firstborn of Israel,<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name, per capita,<br>every male from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 21,"their count, of the tribe of Re’uven: six and forty thousand and five hundred."
Numbers 1 22,"For the Sons of Shim’on:<br>their begettings by their clans, by their Fathers’ House,<br>those of his count, as numbered by name, per capita,<br>every male from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 23,"their count, of the tribe of Shim’on: nine and fifty thousand and three hundred."
Numbers 1 24,"For the Sons of Gad:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name, <br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 25,"their count, of the tribe of Gad: five and forty thousand and six hundred and fifty."
Numbers 1 26,"For the Sons of Yehuda:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name, <br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 27,"their count, of the tribe of Yehuda: four and seventy thousand and six hundred."
Numbers 1 28,"For the Sons of Yissakhar:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name, <br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 29,"their count, of the tribe of Yissakhar: four and fifty thousand and four hundred."
Numbers 1 30,"For the Sons of Zevulun:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name,<br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 31,"their count, of the tribe of Zevulun: seven and fifty thousand and four hundred."
Numbers 1 32,"For the Sons of Yosef: <br>For the Sons of Efrayim:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name, <br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 33,"their count, of the tribe of Efrayim: forty thousand and five hundred."
Numbers 1 34,"For the Sons of Menashe:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name,<br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 35,"their count, of the tribe of Menashe: two and thirty thousand and two hundred."
Numbers 1 36,"For the Sons of Binyamin:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name, <br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 37,"their count, of the tribe of Binyamin: five and thirty thousand and four hundred."
Numbers 1 38,"For the Sons of Dan:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name,<br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 39,"their count, of the tribe of Dan: two and sixty thousand and seven hundred."
Numbers 1 40,"For the Sons of Asher:<br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name, <br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 41,"their count, of the tribe of Asher: one and forty thousand and five hundred."
Numbers 1 42,"For the Sons of Naftali: <br>their begettings by their clans, by their Fathers’ House,<br>as numbered by name,<br>from the age of twenty years and upward,<br>everyone going out to the armed-forces:"
Numbers 1 43,"their count, of the tribe of Naftali: three and fifty thousand and four hundred."
Numbers 1 44,"These are the accountings which Moshe and Aharon and the leaders of Israel counted, <br>[the] twelve men—one man per Fathers’ House were they—"
Numbers 1 45,"they were, all those accounted for of the Children of Israel by their Fathers’ House,<br>from the age of twenty and upward,<br>everyone going out to the armed-forces in Israel,"
Numbers 1 46,"thus they were, all those accounted for: <br>six hundred thousand and three thousand and five hundred and fifty."
Numbers 1 47,"But the Levites, by the tribe of their fathers, were not counted in the midst of them."
Numbers 1 48,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 1 49,"Mark, the tribe of Levi you are not to count,<br>their head-count you are not to take up in the midst of the Children of Israel."
Numbers 1 50,"But you, make the Levites accountable for the Dwelling of Testimony, for all its implements and for all that belongs to it:<br><i>they</i> are to carry the Dwelling and all its implements,<br><i>they</i> are to attend to it,<br>and around the Dwelling they are to camp."
Numbers 1 51,"When the Dwelling moves on, the Levites are to take it down,<br>and when the Dwelling is encamped, the Levites are to set it up;<br>the outsider who comes near is to be put to death!"
Numbers 1 52,"The Children of Israel are to camp, <br>each according to his encampment, each according to his banner-contingent, by their forces."
Numbers 1 53,But the Levites are to camp around the Dwelling of Testimony—that there be no fury against the community of the Children of Israel—<br>and the Levites are to keep the charge of the Dwelling of Testimony.
Numbers 1 54,"The Children of Israel did [it];<br>exactly as <small>YHWH</small> commanded Moshe, thus they did."
Numbers 2 1,"<small>YHWH</small> spoke to Moshe and to Aharon, saying:"
Numbers 2 2,"Each by its contingent, under the insignias of their Fathers’ House, are the Children of Israel to encamp,<br>at a distance, around the Tent of Appointment, they are to encamp."
Numbers 2 3,"Those encamping eastward, toward sunrise: the contingent of the Camp of Yehuda, according to their forces.<br>Now the leader of the Sons of Yehuda: Nahshon son of Amminadav;"
Numbers 2 4,his force and their count: four and seventy thousand and six hundred.
Numbers 2 5,"Those encamping alongside them, the tribe of Yissakhar.<br>The leader of Yissakhar: Netan’el son of Tzu’ar;"
Numbers 2 6,his force and their count: four and fifty thousand and four hundred.
Numbers 2 7,The tribe of Zevulun—<br>the leader of the Sons of Zevulun: Eliav son of Heilon;
Numbers 2 8,his force and their count: seven and fifty thousand and four hundred.
Numbers 2 9,"All the accountings of the Camp of Yehuda: a hundred thousand and eighty thousand and six thousand and four hundred, by their forces;<br>first are they to march."
Numbers 2 10,"The contingent of the camp of Re’uven, southward, according to their forces—<br>the leader of the Sons of Re’uven: Elitzur son of Shedei’ur;"
Numbers 2 11,his force and their count: six and forty thousand and five hundred.
Numbers 2 12,And those encamping beside them: the tribe of Shim’on—<br>the leader of the Sons of Shim’on: Shelumi’el son of Tzurishaddai;
Numbers 2 13,his force and their count: nine and fifty thousand and three hundred.
Numbers 2 14,And the tribe of Gad—<br>the leader of the Sons of Gad: Elyasaf son of Re’uel;
Numbers 2 15,his force and their count: five and forty thousand and six hundred and fifty.
Numbers 2 16,"All the accountings of the camp of Re’uven: a hundred thousand and one and fifty thousand and four hundred and fifty, according to their forces;<br>second are they to march."
Numbers 2 17,"Then shall march the Tent of Appointment, [in] the camp of the Levites, in the midst of the camps;<br>as they encamp, so are they to march,<br>each by his position, by their contingents."
Numbers 2 18,"The contingent of the Camp of Efrayim, according to their forces, seaward—<br>the leader of Efrayim: Elishama son of Ammihud;"
Numbers 2 19,his force and their count: forty thousand and five hundred.
Numbers 2 20,"And beside them, the tribe of Menashe—<br>the leader of the Sons of Menashe: Gamliel son of Pedahtzur;"
Numbers 2 21,his force and their count: two and thirty thousand and two hundred.
Numbers 2 22,And the tribe of Binyamin—<br>the leader of the Sons of Binyamin: Avidan son of Gid’oni;
Numbers 2 23,his force and their count: five and thirty thousand and four hundred.
Numbers 2 24,"All the accountings of the Camp of Efrayim: a hundred thousand and eight thousand and a hundred, according to their forces;<br>third are they to march."
Numbers 2 25,"The contingent of the Camp of Dan, northward, according to their forces—<br>the leader of the Sons of Dan: Ahi’ezer son of Ammishaddai;"
Numbers 2 26,his force and their count: two and sixty thousand and seven hundred.
Numbers 2 27,"And those encamping beside them, the tribe of Asher—<br>the leader of Asher: Pag’iel son of Okhran;"
Numbers 2 28,his force and their count: one and forty thousand and five hundred.
Numbers 2 29,And the tribe of Naftali—<br>the leader of the Sons of Naftali: Ahira’ son of Einan;
Numbers 2 30,his force and their count: three and fifty thousand and four hundred.
Numbers 2 31,"All the accountings of the Camp of Dan: a hundred thousand and seven and fifty thousand and six hundred;<br>as the last are they to march, by their contingents."
Numbers 2 32,"These [are] the accountings of the Children of Israel by their Fathers’ Houses,<br>all the accountings of the camps, by their forces:<br>six hundred thousand and three thousand and five hundred and fifty."
Numbers 2 33,"But the Levites were not counted [for battle] in the midst of the Children of Israel,<br>as <small>YHWH</small> had commanded Moshe."
Numbers 2 34,"And the Children of Israel did<br>exactly as <small>YHWH</small> had commanded Moshe: <br>thus they encamped, by their contingents,<br>and thus they marched, each-man by his clans, alongside his Fathers’ House."
Numbers 3 1,Now these are the begettings of Aharon and Moshe<br>at the time <small>YHWH</small> spoke with Moshe on Mount Sinai:
Numbers 3 2,"These are the names of the sons of Aharon: the firstborn—Nadav,<br>and Avihu,<br>El’azar and Itamar;"
Numbers 3 3,"these are the names of the sons of Aharon, the anointed priests,<br>whom he had mandated to act-as-priests."
Numbers 3 4,"Now Nadav and Avihu died before the presence of <small>YHWH</small>,<br>when they brought near outside fire before the presence of <small>YHWH</small><br>in the Wilderness of Sinai;<br>sons they did not have,<br>so El’azar and Itamar were made-priest in the living-presence of Aharon their father."
Numbers 3 5,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 3 6,"Bring near the tribe of Levi,<br>and have it stand [regularly] in the presence of Aharon the priest,<br>that they may attend upon him."
Numbers 3 7,"They are to keep his charge and the charge of the entire community,<br>in front of the Tent of Appointment,<br>to serve the serving-tasks of the Dwelling."
Numbers 3 8,"They are to be-in-charge of the implements of the Tent of Appointment<br>and the charge of the Children of Israel,<br>to serve the serving-tasks of the Dwelling."
Numbers 3 9,"You are to give over the Levites to Aharon and to his sons;<br>formally-given, given over are they to him, from among the Children of Israel."
Numbers 3 10,"And Aharon and his sons, you are to make accountable,<br>that they may keep-the-charge of their priesthood;<br>the outsider who comes-near is to be put to death!"
Numbers 3 11,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 3 12,"As for me, I hereby take the Levites from the midst of the Children of Israel,<br>in place of every firstborn, breacher of womb from the Children of Israel;<br>they are to be mine, the Levites."
Numbers 3 13,"For mine is every firstborn;<br>at the time that I struck-down every firstborn in the land of Egypt,<br>I hallowed to me every firstborn in Israel,<br>from man to beast.<br>Mine are they to be;<br>I am <small>YHWH</small>!"
Numbers 3 14,"Now <small>YHWH</small> spoke to Moshe in the Wilderness of Sinai, saying:"
Numbers 3 15,"Count the Sons of Levi, by their Fathers’ House, by their clans;<br>every male from the age of a month and upward, you are to count them."
Numbers 3 16,"So Moshe counted them by order of <small>YHWH</small>, as he was commanded."
Numbers 3 17,"Now these were the Sons of Levi according to their names:<br>Gershon, Kehat and Merari."
Numbers 3 18,"And these the names of the sons of Gershon, by their clans:<br>Livni and Shim’i."
Numbers 3 19,"And the sons of Kehat, by their clans:<br>Amram and Yitzhar, Hevron and Uzziel."
Numbers 3 20,"And the sons of Merari, by their clans:<br>Mahli and Mushi.<br>These are they, the Levite clans, by their Fathers’ House."
Numbers 3 21,"For Gershon, the Livnite clan and the Shim’ite clan,<br>these are they, the Gershonite clans:"
Numbers 3 22,"those counted of them, according to the number of every male from the age of a month and upward,<br>those counted of them: seven thousand and five hundred."
Numbers 3 23,"The Gershonite clans—behind the Dwelling they are to camp, seaward."
Numbers 3 24,Now the leader of the Father’s House for the Gershonites: Elyasaf son of Lael.
Numbers 3 25,"The charge of the Sons of Gershon at the Tent of Appointment [was]<br>the Dwelling and the Tent, <br>its covering, the screen of the entrance to the Tent of Appointment,"
Numbers 3 26,"the hangings of the courtyard,<br>the screen of the entrance to the courtyard which is about the Dwelling<br>and about the altar, all around,<br>and its cords—including all their serving tasks."
Numbers 3 27,"To Kehat, the Amramite clan, the Yitzharite clan, the Hevronite clan, and the Uzzi’elite clan,<br>these are they, the Kehatite clans,"
Numbers 3 28,"numbering every male, from the age of a month and upward:<br>eight thousand and six hundred,<br>keepers of the charge of the holy-things."
Numbers 3 29,"The clans of the Sons of Kehat are to encamp along the flank of the Dwelling, southward."
Numbers 3 30,Now the leader of the Father’s House for the Kehatite clans: Elitzafan son of Uzziel.
Numbers 3 31,"Their charge: the Coffer, the table, the lampstand and the altars,<br>and the implements of holiness that are used in conjunction with them,<br>and the screen—and all their serving-tasks."
Numbers 3 32,"Now the leader of the Levite leaders: El’azar son of Aharon the priest,<br>accountable for the keepers of the charge of the holy-things."
Numbers 3 33,"To Merari—the Mahlite clan and the Mushite clan,<br>these, the Merarite clans."
Numbers 3 34,"Now those counted of them, numbering every male from the age of a month and upward:<br>six thousand and two hundred."
Numbers 3 35,"And the leader of the Father’s House of the Merarite clans: Tzuriel son of Avihayil.<br>On the flank of the Dwelling they are to camp, northward."
Numbers 3 36,"Accountable for the [following] charge are the Sons of Merari:<br>the boards of the Dwelling and its bars,<br>its columns, its sockets, and all its implements,<br>with all its service [of packing];"
Numbers 3 37,"the columns of the courtyard, all around, and their bases,<br>their posts and their cords."
Numbers 3 38,"Now those encamping in front of the Dwelling, eastward, in front of the Tent of Appointment, toward sunrise:<br>Moshe and Aharon and his sons,<br>keepers of the charge of the Holy-Area,<br>for the charge of the Children of Israel;<br>the outsider who comes-near is to be put to death!"
Numbers 3 39,"All those counted of the Levites, whom Moshe and Aharon counted by order of <small>YHWH</small>, by their clans,<br>every male, from the age of a month and upward:<br>two and twenty thousand."
Numbers 3 40,"<small>YHWH</small> said to Moshe:<br>Count every firstborn male of the Children of Israel,<br>from the age of a month and upward,<br>take up the enumeration of their names."
Numbers 3 41,"Take the Levites aside for me <br>—I am <small>YHWH</small>!—<br>in place of every firstborn among the Children of Israel;<br>along with the animals of the Levites,<br>in place of every firstborn animal among the Children of Israel."
Numbers 3 42,"Moshe made an accounting, as <small>YHWH</small> had commanded him,<br>of every firstborn among the Children of Israel."
Numbers 3 43,"And it was, every firstborn male by the number of names,<br>from the age of a month and upward, by their count:<br>two and twenty thousand, three and seventy and two hundred."
Numbers 3 44,"And <small>YHWH</small> spoke to Moshe, saying:"
Numbers 3 45,"Take aside the Levites,<br>in place of every firstborn among the Children of Israel,<br>along with the animals of the Levites, in place of their animals;<br>the Levites are to be mine;<br>I am <small>YHWH</small>!"
Numbers 3 46,"And as the redemption-price for the three and seventy and two hundred,<br>those-in-excess beyond the Levites from the firstborn of the Children of Israel,"
Numbers 3 47,"you are to take five—five <i>shekels</i> per capita;<br>by the Holy-Shrine <i>shekel</i> you are to take,<br>twenty grains to the <i>shekel.</i>"
Numbers 3 48,"You are to give the silver to Aharon and to his sons,<br>as a redemption-price for those-in-excess among them."
Numbers 3 49,"So Moshe took the silver for redemption from those-in-excess beyond those redeemed by the Levites,"
Numbers 3 50,"from the firstborn of the Children of Israel he took the silver:<br>five and sixty and three hundred and a thousand, by the Holy-Shrine <i>shekel;</i>"
Numbers 3 51,"Moshe gave the silver for redemption to Aharon and to his sons, by order of <small>YHWH</small>,<br>as <small>YHWH</small> had commanded Moshe."
Numbers 4 1,"<small>YHWH</small> spoke to Moshe and to Aharon, saying:"
Numbers 4 2,"Take up the head-count of the Sons of Kehat from the midst of the Sons of Levi,<br>by their clans, by their Fathers’ House,"
Numbers 4 3,"from the age of thirty years and upward, until the age of fifty years,<br>all who enter the working-force<br>to do skilled-work in the Tent of Appointment."
Numbers 4 4,This is the serving-task of the Sons of Kehat in the Tent of Appointment: the holiest holy-things.
Numbers 4 5,"Aharon and his sons are to come, when the camp marches forward,<br>and are to take down the curtain of the screen,<br>and are to cover with it the Coffer of the Testimony."
Numbers 4 6,"They are to put over it a covering of tanned-leather skin,<br>and are to spread a cloth entirely of blue-violet on top,<br>putting its poles [in place]."
Numbers 4 7,"On the Table of the Presence they are to spread a cloth of blue-violet,<br>and are to place on it the bowls, the ladles, the jars and the jugs for pouring [offerings],<br>and the regular bread is to remain on it."
Numbers 4 8,"They are to spread over these a cloth of worm-scarlet,<br>and are to cover it with a covering of tanned-leather skin,<br>and put its poles [in place]."
Numbers 4 9,"They are to take a cloth of blue-violet<br>and are to cover the lampstand for the lighting,<br>its lamps, its tongs and its fire-pans,<br>and all the implements for its oil which they use in conjunction with them."
Numbers 4 10,"They are to place it and all its implements in a covering of tanned-leather skin,<br>and place [them] on a frame."
Numbers 4 11,"Over the altar of gold they are to spread a cloth of blue-violet,<br>and are to cover it with a covering of tanned-leather skin,<br>putting its poles [in place]."
Numbers 4 12,"They are to take all the implements of attending with which they tend in the Holy-Shrine<br>and are to put them into a cloth of blue-violet,<br>and are to cover them with a covering of tanned-leather skin,<br>placing [them] on a frame."
Numbers 4 13,"They are to de-ash the altar,<br>and are to spread on it a cloth of purple;"
Numbers 4 14,"they are to place on it all its implements that they use in conjunction with them:<br>the fire-pans, the flesh-hooks, the scrapers and the bowls,<br>all the implements of the altar,<br>and they are to spread over it a covering of tanned-leather skin,<br>and put its poles [in place]."
Numbers 4 15,"[Once] Aharon and his sons have finished covering the holy-things and all the holy implements, when the camp marches on,<br>[only] after that may the Sons of Kehat enter, to carry,<br>so that they do not touch the holy-things and die.<br>These are the carrying-chores of the Sons of Kehat in the Tent of Appointment."
Numbers 4 16,"Accountable is El’azar son of Aharon the priest for:<br>the oil for the light, the fragrant smoking-incense, the regular grain-gift, and the oil for anointing—<br>accountable for all the Dwelling and all that is in it,<br>whether the holy-things or its implements."
Numbers 4 17,"<small>YHWH</small> spoke to Moshe and to Aharon, saying:"
Numbers 4 18,Do not cut off the tribe of the clans of Kehat from the midst of the Levites;
Numbers 4 19,"do this with them,<br>that they may live and not die<br>when they encroach upon the holiest holy-things:<br>Aharon and his sons are to enter and assign them,<br>each one, each one to his service, his carrying-chores."
Numbers 4 20,"But they are not to enter and see [even] for-a-moment [the dismantling of] the Holy-Shrine, lest they die."
Numbers 4 21,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 4 22,"Take up the head-count of the Sons of Gershon, they too,<br>by their Fathers’ House, by their clans,"
Numbers 4 23,"from the age of thirty years and upward;<br>to the age of fifty years you are to count them,<br>all who enter to join-forces with the working-force, to serve the serving-tasks in the Tent of Appointment."
Numbers 4 24,"This is the serving-task of the Gershonite clans, for the service [of packing] and for carrying:"
Numbers 4 25,"they are to carry <br>the curtains of the Dwelling, and the Tent of Appointment,<br>its covering, the covering of tanned-leather that is over it, on top,<br>and the screen for the entrance of the Tent of Appointment,"
Numbers 4 26,"the hangings of the courtyard <br>and the screen for the entrance to the gate of the courtyard that is over the Dwelling and over the altar, all around,<br>as well as their cords,<br>and all their serving implements;<br>whatever is to be done with regard to them, they are to do-the-serving-task."
Numbers 4 27,"By order of Aharon and his sons shall it be [done]:<br>all the serving-tasks of the Sons of the Gershonites,<br>including all their carrying-chores, including all their service.<br>You are to make them accountable for discharging all their carrying-chores."
Numbers 4 28,This is the serving-task of the clans of the Sons of the Gershonites at the Tent of Appointment<br>and their charge under the hand of Itamar son of Aharon the priest.
Numbers 4 29,"The Sons of Merari: by their clans, by their Fathers’ House you are to count them,"
Numbers 4 30,"from the age of thirty years and upward until the age of fifty years you are to count them,<br>every one that may enter the working-force,<br>to serve the serving-tasks of the Tent of Appointment."
Numbers 4 31,"This is their charge of carrying, including all their service [of packing] in the Tent of Appointment:<br>the boards of the Dwelling, <br>its bars, its columns and its sockets;"
Numbers 4 32,"the columns of the courtyard, all around, their sockets, their pegs and their cords—including all their implements, including all their serving-tasks;<br>by name you are to account for the implements of their carrying duties."
Numbers 4 33,"That is the service [of packing] of the clans of the Sons of Merari,<br>including all their serving-tasks in the Tent of Appointment under the hand of Itamar son of Aharon the priest."
