Index Title,"Maskil LeDavid, Genesis",Found Rashi Ref,Text
"Maskil LeDavid, Genesis 24:55:2",ימים וכו׳ נותנין לבתולה וכו׳ דאל״כ הנך ימים או עשור דקאמרי מאי עבידתייהו דקמיבעו בפשיטות ימים סתם לכך הוצרכו בגמ׳ לפ׳ שנה הידועה דנותנים לבתולה וכו׳ ומה ששאלו י׳ חדשים דלכאורה ליכא שום טעמא דמש״ה הרב הנח״י הניח בקושיא על הש״ס ולדידי איכא למימר דכיון דהנך י״ב חדש הם לפרנס עצמ׳ בתכשיטיה וידוע שהם כ״ד תכשיטי כלה המנויים בישעיה א״כ נמצא שיש לה לפרנס ב׳ תכשיטין לכל חדש. והשתא אליעזר כבר נתן לה לרבקה בתחלה נזמים וצמידים והם הנזמים והשרות שכתובים שם בישעיה ולבתר הכי נתן לה כלי כסף וכלי זהב ובגדים וי״ל דכלי כסף וכלי זהב הוא איזה תכשיט אחר ויהיב לה תרתי מאותו מין חד ממינא דכסף וחד ממינא דזהב ובגדים הם תכשיט אחר והיינו הרדידים דהתם בישעיה נמצא מעתה שאינה צריכה עוד לפרנס עצמה כי אם עשרים תכשיטין והילכך סגי לה בעשרה חדשים ולכך קאמרי או עשור לכל הפחות ואליעזר השיב אל תאחרו וכו׳ שלא יחסר לה שום תכשיט שאין בית המלך חסר כלום ולא צריכא לדידכו:,,
"Maskil LeDavid, Genesis 24:57:1",ונשאלה וכו׳ שאין משיאין וכו׳ כלו׳ אחיה ואמה אין משיאין אותה אלא מדעתה בין שהיא גדולה בין שהוא קטנה ואם השיאוה לקטנה שלא מדעתה אפי׳ מיאון אינה צריכה וכדתנן ביבמות אבל אב זכאי בבתו כדכתיב את בתי נתתי וכו׳ בין קטנה בין נערה והילכך לעיל שהיה בתואל קיים אמרו הנה רבקה לפניך קח ולך בלא שאלת רשותה אבל עכשיו שבתואל מת היו צריכין לשאול את פיה כן נלע״ד אע״פ שהרא״ם לא פי׳ כן ע״ש:,,
"Maskil LeDavid, Genesis 24:62:1",מבוא באר וכו׳ להביא הגר וכו׳ טעמו דאל״כ הואיל ואין זה שם עיר או מקום אלא שהבאר שהיה שם בדרך נקרא שמו כך על שם מה שאירע שם להגר וכדלעיל בפרשת לך לך אם כן לא שייך לכתוב הפ׳ שיצחק הלך לבאר אם לא שבא לומר שהלך להביא אותה דכתיב בה על כן קרא לבאר באר לחי רואי:,,
"Maskil LeDavid, Genesis 24:64:1",ותפל השמיטה וכולי ולא הגיעה וכו׳ מדלא כתיב ותפל ארצה כמו בכל דוכתא ויפול יהושע ע״פ ארצה ויפל על אפיו ארצה ויפל ארצה וישתחו א״נ ותפל על פניה א״ו שלא נפלה על פניה אלא הרכינה עצמ׳ קצת מעל הגמל:,,
"Maskil LeDavid, Genesis 24:66:1",ויספר וכולי גלה לו נסים וכו׳ דאילו כפשוטו דברי שליחותו לא שייך ל׳ ספור אלא ל׳ הגדה וכיוצא ועוד מהו ל׳ הדברים הול״ל את כל הדבר א״נ את כל אשר עשה שהרי אינו אלא ענין שליחות א׳ ולכך קאמר דאה״נ דתשובת שליחותו לא הגיד לו שהוא לא שלחו ומה שסיפר ליצחק היינו ספור דברים מהנסים שעשה לו הקדוש ברוך הוא ולפי״ז מאי דסיים קרא אשר עשה לאו אדידיה קאי אלא רצה לומר אשר עשה הקדוש ברוך הוא ולא חש לבאר דידוע מאן עביד נסי אלא רחמנא:,,
"Maskil LeDavid, Genesis 24:67:1",האהלה וכו׳ ונעשית דוגמת וכו׳ מוכרח לפרש כן דאל״כ הול״ל אהלה שרה דהשתא דכתיב האהלה בה״א הידועה ידוע דלא שייך סמיכות בדבר שיש בו ה״א הידיעה. ודע עוד דעם פירושו ז״ל יתישב ג״כ דיוק אחר בפ׳ דכתיב ויביאה יצחק האהלה שרה אמו ויקח את רבקה ולכאורה מקרא מסורס הוא דהול״ל ויבא יצחק את רבקה האהלה וכולי ויקחה ותהי לו וכו׳ אלא ה״ק ויביאה יצחק האהלה למי הביא לשרה אמו שנעשית זו דוגמתה וכאילו חזרה שרה וביותר מיושב עם לשון המד׳ שאמרו ויביאה וכולי והרי היא שרה אמו:,,
"Maskil LeDavid, Genesis 25:1:1",קטורה וכו׳ שנאים מעשיה וכו׳ ושקשרה וכו׳ נר׳ דצ״ל ד״א שקשרה פתחה וכו׳ דהא ע״כ תרוייהו לא מדרשי שאם הוא מל׳ קטורת אינו מל׳ קשירה וכן הוא במדרש ילמדנו בלשון ד״א ובכל אחד יש קצת דוחק דאילו לפי׳ קמא שהוא מל׳ קטורת הול״ל קטורה בחולם ולפי׳ בתרא הוא דוחק שנכתב בל׳ תרגום. ונלע״ד דקא מפלגי הני תנאי בפירושא דקרא דכתיב ותלך ותתע דמאן דמפרש ותתע שחזרה לגלולי בית אביה וכדפירש״י שם ממילא א״א לפ׳ שנאים מעשיה כקטורת ואיהו מפ׳ שקשרה פתחה כלו׳ דאע״ג שחזרה לגלולי בית אביה מ״מ בזנות מיהא לא פרצה ומאן דמפרש נאים מעשיה כקטורת יפרש קרא דותלך ותתע כפשוטו תעות הדרך במדבר. ושוב מצאתי בב״ר ושמה קטורה ר׳ אומר זו הגר וכו׳ א״ל והכתיב ושמה קטורה א״ל שמקטרת מצות ומעשים טובים ולבתר הכי איתא אמר רבי ברכיה אע״ג דאת אמר ותלך ותתע במדבר וכו׳ תאמר שנחשד עליה בריה ת״ל ושמה קטורה מן קטר כזה שהוא חותם גנזכ׳ ומוצאה בחותמה ע״כ מוכח בהדיא כדאמרן דר׳ ברכיה פליג עליה דר׳ וסבר דלא היתה מקוטרת מצות ומע״ט דאדרבא כתיב ותלך ותתע וכו׳ דדריש ליה כדלעיל אלא דמ״מ גלי הכא קרא דבזנות מיהא גדרה עצמה וקשרה פתחה. והרב ג״א שהביא הש״ח לא ראה ל׳ המד׳ הנז׳ ע״ש דא״צ לדבריו. ולפי דרכנו למדנו נועם שיח מאמר רז״ל בש״ס דזבחים פ׳ ק״ק דף ס״ב וז״ל בני אחתיה דר״ט הוו יתבי קמיה ולא אמרי ולא מידי פתח ואמר ויוסף אברהם ויקח אשה ושמה יוחני א״ל קטורה כתיב קרי עלייהו בני קטורה ופירש״י אינם יודעים לדבר כהלכה והיינו דידוע שהראשים של גלולי מצרים היו שמם יוחני וממרא כנר׳ מדברי רז״ל א״ל יוחני וממרא למשה תבן אתה מכניס וכו׳ והשתא היינו דקאמר ר״ט ויוסף אברהם ויקח אשה ושמה יוחני כלו׳ שזוהי הגר שחזרה לגלולי בית אביה שראש הגלולים היה יוחני ואז הם הקשו לו היכי מצית למימר הכי והא קטורה כתיב לומר שנאים מעשיה כקטורת קרי עלייהו בני קטורה שכך נר׳ מהגמ׳ התם לעיל שכך היה דרכם כשרוצי׳ לומר על אותם שלא היו יודעים ההלכה היו אומרים כך בני קטורה פ׳ מל׳ קשירה כלומר שלבם מטומטם מלהבין. והשתא ה״נ ר״ט קרי עלייהו בני קטורה ורצה לומר לעולם יוחני הויא כלומר שחזרה לגלולי בית אביה והא דכתיב קטורה אנא סבר כאידך פירוש שהוא מלשון קשירה דהלכך קרינא עלייכו בני קטורה לומר שאתם קשורים ומטומטמים דלא אמריתו מידי בהלכה. ודוק שהוא בעיני כפתור ופרח:,,
"Maskil LeDavid, Genesis 25:3:1",אשורים וכו׳ ותרגום של אנקלוס וכו׳ נר׳ דהכרחו של אנקלוס ממלת היו דאל״כ לימא ובני דדן אשורים וכו׳ ולשון הכתוב אפ׳ לידחק ולפ׳ אשורים מל׳ תמוך אשורי כלו׳ הולכי שיירות והיינו דמתרגם משריין ולטושים מל׳ לוטש כל חורש נחשת לשון חידוד והמכוון שהיו יושבים ונועדים יחד ומחדדין זה את זה כענין ברזל בברזל יחד ואיש יחד פני רעהו והיינו דמתרגם לשכונין כלומר שוכנים יחד ולאומים כפשוטו ריבוי עם והיינו ולנגוון:,,
"Maskil LeDavid, Genesis 25:5:1",ויתן אברהם וכו׳ ברכה דאייתיקי וכו׳ בב״ר ר״י אמר בכורה ור״נ אמר ברכה ורבנן אמרי קבורה ודייתיקי ר׳ חמא אמר לא ברכות נתן לו אלא מתנות משל למלך וכו׳ ורבינו ז״ל משמע ליה פי׳ ר״נ שהיא מתיישב יותר לפי הפשט דאילו לפי׳ ר״י לא שייך על הבכור׳ לומר את כל אשר לו וכן למ״ד קבורה וכ״ש שאינו קרוב לפשט מ״ד מתנו׳ שהרי כבר נתן לו הכל מקודם כדכתיב לעיל ויתן לו את כל אשר לו מש״ה נקט אליביה דר״נ. ומ״מ ק׳ אמאי קאמר נמי דייתיקי דאמור רבנן ונר׳ דאיהו ז״ל מפ׳ שמלת דייתיקי לאו ארבנן לחוד קא מהדר אלא אכלהו קאי בין למ״ד בכורה בין למ״ד ברכה ובין למ״ד קבורה קאמר שנתן לו זה בתור׳ דייתיקי דהיינו בצואת שכיב מרע דהכי מיקריא והוכרח לפרש כך דאל״כ נמצא דרבנן דרשי תרתי מילי קבורה ודייתיקי והיכי דרשי תרתי מילי על דיבור אחד ועוד דאל״כ דייתיקי היינו מתנת ש״מ ואם כן רבי חמא מה בא לחדש באמרו מתנות היינו רבנן דרבנן נמי אמרי דייתיקי דהיינו מתנה א״ו כדאמרן:,,
"Maskil LeDavid, Genesis 25:6:1",הפלגשים חסר וכו׳ עינינו רואות בספרים שלנו שהיא מלא ואדרבא נמסר במס׳ שאין בכל התורה מלא דמלא בב׳ יודי״ן אלא זה ושני לו באסתר שמר הפילגשים ועיינתי במד׳ וז״ל פלגש׳ כתיב אותה שישבה על הבאר ואמרה לחי העולמים ראה בעלבוני וכו׳ ויש לדקדק היכי בעי לאוכוחי מדכתיב פלגשם דהיינו אותה שישבה על הבאר ואמרה וכולי היכי נרמז כלום מזה בל׳ פלגשם ונ״ל דה״ק פלגשם כתיב פי׳ בשאר מקומות נכתבה תיבה זו חסר ומ״ש הכא דכתיב מלא דמלא א״ו לדרוש דמיירי בהגר שישבה וכו׳ כלו׳ ולכך כתיב פילגשים דמתחלק׳ לג׳ תיבות פ״י לג״ש י״ם פי׳ אותה שפיה פתחה בחכמה בתפילתה למי שהגיש לה הים דהיינו באר המים. ומ״ש רבינו פילגשים בלא כתובה ר״ל אבל קידושין ודאי איכא אף בפלגש שהרי כתיב לעיל ויקח אשה ול׳ קיחה משמע קידושין וכן נמי כתיב לעיל ותתן אות׳ לאברם אישה לו לאשה הרי דקרי לה אשה והיינו משום דהוו לה קידושין אבל כתובה לא ולכך קרויה פילגש ודבר זה תלוי בחילוק נוסחאו׳ בההיא דסנהדרין ועיין בהרמב״ם ריש הלכו׳ אישות ובהשגת הראב״ד שם:,,
"Maskil LeDavid, Genesis 25:6:2",נתן אברהם וכו׳ שם טומא׳ וכו׳ דאילו שאר מתנות ליכא למימר שהרי כבר נתן הכל ליצחק אלא לפי ששלחם אל ארץ קדם דתמן נפקי כל חרשין דעלמא כדאי׳ בזהר דתמן נינהו הנהו תרי נופל וגלוי עינים לימד׳ היאך יעשו לכפות הקלי׳ שיהא מסור׳ בידם שלא יוכלו להרע להם וזהו אומרו שם טומאה מסר להם:,,
"Maskil LeDavid, Genesis 25:7:1",מאת שנה וכו׳ בן ק׳ כבן ע׳ וכו׳ עיין מ״ש בריש פ׳ זו גבי חיי שרה בס״ד:,,
"Maskil LeDavid, Genesis 25:11:1",ויהי אחרי וכו׳ ד״א אע״פ שמסר וכולי אע״ג דרש״י ז״ל כתב לעיל גבי ויתן אברהם וכו׳ ברכה דייתיקי וכו׳ כבר כתב הרא״ם ז״ל דלדעת זו אין פי׳ ויתן אברהם וכו׳ ענין ברכה אלא לשום דרשה אחרת ע״ש ואע״ג דהיה נר׳ לומר שיש חילוק בין מסירת הברכות בידו שהוא יברך אשר יחפוץ וזה עשה שפיר אברהם ליצחק ולא חש שמא הוא יברך את עשו מדעתו דפשיטא שלא יעשה כן אבל לברך הוא את יצחק לא רצה שא״כ תחול הברכה ממילא דרך כלל על כל היוצא ממנו ושוב מצאתי דומה לזה בש״ח בשם הנח״י מ״מ לפי האמת מל׳ המד׳ בב״ר נר׳ כוותיה דהרא״ם ז״ל דלא דריש הך דהכא אלא ר׳ חמא שאמר לא ברכות נתן לו אלא מתנות וע״ז מסיי׳ משל למלך שהי״ל פרדס ומסרו לאריס והיו בו ב׳ אילנות א׳ של סם חיים וא׳ של סם המות אמר האריס אם אני משקה וכו׳ אלא מאי דאהני למאריה דפרדיסא יעביד ליה כך אמר אברהם וכולי ע״ש ומאי דאייתי רש״י ב׳ פי׳ דאילו לפי׳ א׳ מה ענין ברכה עם תנחומין ולפי׳ ב׳ אמאי כתיב ויהי אחרי מות אברהם. ובעיקרא דהא מילתא דכתב רש״י שלא בירך את יצחק משום עשו אין להקשות דהוה מצי לברך את יצחק ולפרש שלא תחול הברכה רק על הצדיק שיצא ממנו ולא על הרשע דהא כיון דצריך לברך תחלה את יצחק ולכוין להמשיך עליו מקור הברכה ממילא מקור הברכ׳ אין לו הפסק וחל על כל זרעו ושוב לאו כל כמיניה לחזור ולהוציא הרשע מכלל דכיון שהגיד שוב אינו חוזר ומגיד דבשר ודם אין לו כח לומר שני דברים ביחד בדבור אחד ולכך אמר יבא הקדוש ברוך הוא ויברך את אשר ייטב בעיניו שהוא יתברך יכול לעשות כרצונו והיינו דאמר במ׳ שאמר אברהם אני בשר ודם וכו׳ מה שהקדוש ברוך הוא רוצה לעשות וכו׳:,,
"Maskil LeDavid, Genesis 25:17:1",ואלה וכו׳ למה נמנו וכולי דאע״ג שעשה תשובה מ״מ שנים הרבה הרשיע ולמה מנה הכתוב כל שנותיו דממילא מנה שנות רשעו אדרבא לישתוק מנייהו שכן הדין בב״ת דכל פשעיו לא יזכרו לו ומתרץ כדי לייחס וכולי והואיל והוצרך להזכיר שנותיו מטעם האמור כתבם ג״כ ע״ד הצדיקים שנה בכל כלל וכלל להודיע שעשה תשובה וזדונות נעשו לו כזכיות וכאילו היו כל ימיו בתשובה וכדכתיבנא לעיל בריש פרשתא והיינו דמסיים הכא לא נאמרה גויעה אלא בצדיקים:,,
"Maskil LeDavid, Genesis 25:19:1",ואלה וכו׳ יעקב ועשו וכו׳ תרי מילי רצה רבינו ליישב בזה חדא דאמאי כתוב ואלה דקי״ל ב״מ שנאמר ואלה מוסיף על הראשונים ולזה תירץ יעקב ועשו כלו׳ דשפיר מוסיף מה הראשונים תולדות אברהם היה בהם צדיק ורשע כך ג״כ בתולדות יצחק. ואחר זמן שכתבתי זה מצאתי בשמות רבה פ׳ משפטים וז״ל ואלה תולדות יצחק מוסיף על הראשונים על מ״ש למעלה ממנו בני ישמעאל ומי היה זה עשו ובניו וכו׳ ע״ש והרי זה מעין מה שפירשנו בס״ד. ועוד יישב רש״י דאע״ג דלא כתיבי מיד בסמוך שפיר שייך לכתוב ל׳ ואלה מאחר שכתובים בהך פרשה גופה והרא״ם ז״ל כתב שלא בא ללמד אלא דאעפ״י שאינן סמוכים שייך מלת אלה. וק״ל דא״כ לא הול״ל אלא הכתובים בפרשה דאטו לא ידעי׳ דיעקב ועשו נינהו. ומ״ש רש״י צר קלסתר פניו של יצחק וכולי ראיתי בש״ח שהק׳ בשם הד״ד דמה עדות יש בזה שהרי כל מזנה חושבת בבעלה בשעת זנות והולד נוצר כפי המחשבה ותירץ הרב במאי דאי׳ בפ׳ הפועלים שבשעת הסעודה שעשה אברהם ביום הגמל את יצחק ושם היו הלצים שאומרי׳ כן ואז נהפך קלסתר של יצחק ונדמה לאברהם וזה היה עדות גדול עכ״ל. ודבריו ז״ל טובים ונכוחים עפ״י שיטת הש״ס דהתם אבל אינם עולים לפירש״י שנמשך אחר מדרש תנחומא שהביא הרא״ם ז״ל דנר׳ בהדיא דמתחלת לידתו נולד בדמות קלסתר של אברהם דהכי אי׳ התם דבשעת שנטלה שרה וכו׳ היו אומרים האומות הלבן ק׳ שנה וכולי מה עשה הב״ה אמר למלאך הממונה על התאוה והממונה על צורת הולד עשה כל קלסתר שלו כדמות אביו וכולי והכי אי׳ נמי בב״ר ותלד שרה לאברה׳ בן לזקניו שהי׳ זיו אקונין שלו דומה לו. ומיהו נלע״ד דמעיקרא לק״מ דאיברא דהולד נוצר כפי המחשבה מיהו היינו דוקא בדמות הפרצוף אבל אין המחשב׳ מועלת לזיו המראה וכאן לא אמרו שהיה דמות פניו לבד דומה לאברה׳ שזה ודאי לא היה עדות מספיק אבל מלת קלסתר ר״ל זיו המראה שכך פירש״י בנדה פ׳ המפלת וכך פי׳ בערוך ומייתי ואור פני לא יפילון דמתרגמי׳ קלסתר אפוי והיינו נמי זיו איקונין שאמרו במד׳ וזה דבר שאינו נעשה ודאי בכח ההרהור להיות פניו מאירים כזהר כעין זהרי של אברהם דהיינו עדות גמורה:,,
"Maskil LeDavid, Genesis 25:20:1",בת בתואל וכו׳ וכי עדיין וכו׳ ההרגש שמבחוץ הוא יתורא דקרא דקאמר בתואל הארמי מפדן ארם דהיינו ארמי היינו מפדן ארם וה״נ בלבן הדר וכתב לבן הארמי והכל יתור נפיש לכך מפרש דהכתוב רצה לומר מלשון רמאי בין בבתואל ובין בלבן ושוב מצאתי שכך מבואר במדרש אם ללמד שהוא מפדן ארם מה תלמוד לומר אחות לבן הארמי אלא בא ללמדך אביה רמאי ואחיה רמאי וכולי ע״כ:,,
"Maskil LeDavid, Genesis 25:20:2",פדן ארם ע״ש שב׳ ארם וכולי הא ודאי שהרבה ארם יש בעולם כגון ארם דמשק וארם מעכה וארם בית רחוב אלא ר״ל שאלו הב׳ היו סמוכין כמ״ש הרא״ם ז״ל אך ק׳ דמ״מ כיון דבתואל א״א להיות מב׳ מקומות אלא מארם נהרים הוא דהוה א״כ למאי נ״מ הזכיר כאן שניהם וי״ל שאף זה מן השבח של רבקה שלא זו בלבד שכל בני עירה היו רשעי׳ אלא גם בני העיר אשר סביבותיה כלם רמאים ואפ״ה היא היתה כשושנה בין החוחים:,,
"Maskil LeDavid, Genesis 25:21:1",לנוכח אשתו זה עומד וכו׳ דא״א לומר לנוכח אשתו ממש ולעולם הוא בלבד היה מתפלל דהא אסור לעמו׳ כנגד המתפלל אלא ודאי שגם היא היתה מתפללת והשתא נמי ליכא למימר שהיו יושבים לנוכח זה כנגד זה ממש פנים כנגד פנים דהא המתפלל צריך שלא יהיה דבר חוצץ בינו ובין הקיר ועוד דא״כ זה מתפלל לרוח אחת וזו לרוח אחרת וא״א לומר כן דממ״נ חד מנייהו עשה שלא כהוגן ולכך מפ׳ זה היה עומד בזוית זו וכולי ולעולם תרוייהו לרוח אחת ופניהם אל הקיר:,,
"Maskil LeDavid, Genesis 25:21:2",ויעתר וכולי שאין דומה וכו׳ ק׳ דאדרבא הצדיק בן רשע מסתברא דעדיף טפי שאף על פי שהי״ל ממי ללמוד לא למד ורש״י גופיה הביא לעיל להגיד שבחה שהיתה בת רשע וכו׳ ונ״ל דלעולם לענין חשיבות טפי חשוב צדיק בן רשע וגדול זכותו כדאמרן מ״מ לענין תפלה אינה דומה וכולי וצדיק בן צדיק מהני טפי לשתעש׳ בקשתו וה״ה דומה למאי דאי׳ בגמ׳ כשחלה בנו של ריב״ז שלח אצל ר״ח בן דוסא להתפלל עליו והניח ראשו בין ברכיו והתפלל וחיה ואמר ריב״ז אלמלא הטיח בן זכאי וכו׳ וא״ל אשתו וכי הוא גדול ממך א״ל לאו אלא הוא דומה כעבד לפני המלך (שהוא בן בית ורגיל אצלו) ואני דומה כשר לפני המלך ע״ש א״כ ה״נ הצב״ר הוא דומה כשר לפני המלך שהוא חשוב טפי מן העב׳ ומיהו אפ״ה אינו קרוב למלך ואינו רגיל אצלו ולכך אינו קרוב שימלא שאלתו מיד אבל הצב״צ הוא קרוב טפי שקדושתו קדומה מצד אבותיו והרי הוא כבן בית:,,
"Maskil LeDavid, Genesis 25:22:1",ויתרוצצו וכו׳ כשהיתה עוברת וכולי וכההיא דאמרי׳ ביומא גבי עוברה שהריחה ביה״כ דאלחישו לה ולא אילחישה קרי עליה זורו רשעים מרחם וההיא דאלחיש׳ קרי עליה בטרם אצרך בבטן ידעתיך ואע״ג דבפ׳ חלק אי׳ דא״ל אנטונינוס לר׳ דיצה״ר לא ניתן באדם עד שעת יציאה ומשמע התם דר׳ אודי ליה איכא למימר דהיינו דלא ניתן בו כח לפעול הרע עד שעת יציאה אבל לעולם היצה״ר ניתן מיד משעת יצירה להתאוות להרע. ושוב מצאתי בילקוט ראובני על פ׳ זה שמביא בשם ש״ח אלו שבבטן יש להם יצה״ר הרי הן מאותן שנבראו תתקע״ד דורות וכו׳ ע״ש וא״כ י״ל דמ״ש בפ׳ חלק משעת יציאה היינו עפ״י הרוב. ואין להקשו׳ מאי שיאטה דרבקה לעבור על פתחי ע״א דמדי עברה ללכת לבתי מדרשות היתה עוברת לפני פתחי ע״ז. ומה שהביא רש״י ד״א היינו דלפי׳ ראשון ק׳ מאי ויתרוצצו בב׳ צד״י הרי בל׳ ריצה ליכא אלא צד״י אחת. ולד״א ק׳ מהו בקרבה דפשיטא דבקרבה היו ומה בא ללמדנו. דאילו לפי׳ קמא ניחא דמחמת שהיו בקרבה ולא היו יכולים לצאת היו דוחקים ומפרכסים כשהיו מגיעים למקום שהיו מתאוים לו. ומ״ש שהיו מריבים בנחלת ב׳ עולמות נלע״ד שמחלקות׳ היה במאי דאי׳ בגמרא דברכות דמעיקרא הוה בעי מימר צדיק וטוב לו צב״צ צדיק ורע לו צב״ר רשע וטוב לו רב״צ רשע ורע לו רב״ר. ומק׳ ע״ז ומסקינן צדיק וט״ל צדיק גמור צדיק ורע לו צדיק שאינו גמור. רשע וטוב לו רשע שאינו גמור רשע ורע לו רשע גמור והשתא עשו סבר כס״ד דתלמודא ולכך הוה בעי ליהנו׳ מהעולם הזה בזכות אביו אף על פי שהוא היה רשע ואם כן היה טוען ליעקב שהוא יקח לו העה״ב לבד ויהיה כל העה״ז לעשו בלבד ויחלוקו הב׳ עולמות ויעקב משיב דליתא אלא כמסקנ׳ דגמרא והוא יהיה לו גם כן העה״ז לפי שהוא צדיק גמור ועשו יטרד גם מהעה״ז לפי שהוא רשע גמור:,,
"Maskil LeDavid, Genesis 25:22:2",ותלך וכו׳ מה שלא שאלה ליצחק שהיה גם הוא נביא ולא היתה צריכה ללכת החוצה א״נ מאברהם אפשר שחששה דילמא יש איזה דבר שהקב״ה אינו רוצה לגלות לא לאברהם ולא ליצחק שהדבר נוגע אליהם:,,
"Maskil LeDavid, Genesis 25:23:1",ויאמר וכו׳ פי׳ שליח וכו׳ שהרי אינו דרך כבוד של מעלה וכ״ש דהדר והזכיר השם ויאמר ה׳ לה דכיון דכתיב ותלך לדרוש את ה׳ היה סגי דלימ׳ ויאמר לה דהא גבי מיתת מרים לא הוזכר ע״פ ה׳ אע״ג שלפי האמת היה כך לפי שאינו דרך כבוד וא״כ ק׳ הכא אמאי חזר והזכיר השם בענין שאינו דרך כבוד א״ו היא גופה אשמועי׳ בהאי דהדר והזכיר ה׳ שהיה דרך כבוד שהרי היה ע״י שליח ואפ׳ עוד דדייק מדלא כתיב ויאמר לה ה׳ א״ו דהכי קאמ׳ ויאמר ה׳ לשם והוא אמר לה אבל אין לומר שדיוקו מדלא כתיב אליה שהרי בפ׳ דלעיל פירש״י דגבי דיבור דוקא הוא דאין נופל ל׳ לו ולה אבל גבי אמירה שפיר נופל והוי כמו אליה:,,
"Maskil LeDavid, Genesis 25:23:2",שני גוים וכו׳ דאל״כ שני ראשי גוים מיבעי ליה ועוד דאי על כללות הב׳ אומות הא כתוב בתר הכי וב׳ לאמים וכולי ובכוונת המדרש עיין מ״ש בדרשותו בס״ד:,,
"Maskil LeDavid, Genesis 25:23:3",ממעיך וכולי הם נפרדים וכולי כלו׳ דיתפרדו אינו ל׳ עתיד דא״כ הול״ל בצאתם ממעיך אלא רצ״ל בעודם במעים הרי הם נפרדים זה לרשעו וכו׳ והרי זו תשובה לדרישתה למה היה לה כ״כ צער והשיבה שפיר לפי שבעודה עוברת על פתחי בה״מ יעקב רץ וכו׳ וכדלעיל דאל״כ נמצא שלא השיב לה הקב״ה על עיקר שאלתה כלום. וכבר הקדים רש״י בפ׳ דלעיל בפ׳ טרם אכלה של׳ הווה פעמים מדבר בלשון עבר ופעמים בל׳ עתיד:,,
"Maskil LeDavid, Genesis 25:23:4",מלאום וכולי לא ישוו וכו׳ לא ניחא ליה לרבינו לפ׳ ע״פ פשוטו דמלאום ר״ל יותר מלאום כמו כי חזק הוא ממנו וכן רבים דא״כ ה״ז יתור נפיש שה״ז נכלל במ״ש אח״כ ורב יעבוד צעיר וממילא שהצעיר הוא יותר מהרב ומה בא זה ללמדנו:,,
"Maskil LeDavid, Genesis 25:26:1",ואחרי כן וכו׳ שמעתי וכו׳ פי׳ דק״ל מאי ואחרי כן הא מדכתיב תחלה ויצא הראשון ממילא שזה יצא אחריו והוה סגי לומר ויצא אחיו אלא לומר לענין יציאה דוקא הוא אחרי כן אבל לענין יציר׳ היה ראשון:,,
"Maskil LeDavid, Genesis 25:26:2",בעקב עשו סימן וכו׳ דאם לא היה אלא לעכבו כדלעיל למה הניח שיצא כל גופו והמתין לו לאחוז בעקבו ה״ל לאחוז מיד בראשו אלא לסימן וכו׳:,,
"Maskil LeDavid, Genesis 25:26:3",ויקרא וכו׳ דבר אחר וכו׳ דאילו לפירוש ראשון ק׳ כיון שהקדוש ברוך הוא קרא שמו יעקב אמאי אחר כך שינה שמו ישראל. והו״ל לקרותו מתחלה באותו שם. ולד״א קשה דמדסמיך ליה ויצחק בן שמונים שנה מכלל דעד השתא לאו ביצחק מיירי. ומה שכתוב ע״ש אחיזת העקב אפ׳ שטעם זה שייך שפיר גם לאידך מ״ד שהקדוש ברוך הוא קרא שמו יעקב ע״ש הסימן של אחיזת העקב שאין זה מספיק וכו׳:,,
"Maskil LeDavid, Genesis 25:26:4",בן ששים וכו׳ בת י״ג שנה וכו׳. לאו דוקא אלא כלו׳ עד סוף שנת י״ב שנכנסה לי״ג דהא כשילדה לא היה לה אלא כ״ג כיון שיצחק היה בן ס׳ כנר׳ מהחשבון דלעיל וכן בדין דבת י״ב בתנוקת כבר יצאה מכלל קטנה והרי היא נערה וראויה להריון. ומ״ש ושפחה לא רצה וכו׳ כלו׳ דבשלמא אשה אחרת לא היה יכול ליקח לפי שידע שלא היה לו בנשמות הקדושה בת זוג אחרת אלא רבקה לבד תדע שהרי המתין לה עד מ׳ שנה ונכרית נמי שנתגדלה בעבודת אלילים פשיטא שלא רצה ליקח אבל מ״מ הו״מ ליקח שפחה שנתגדל׳ בביתו בעבודת שמים דהרבה שפחות היו לו וכמו שעשה אברהם ומתרץ דהא נמי לא עבד לפי שנתקדש וכולי:,,
"Maskil LeDavid, Genesis 25:27:1",ויגדלו וכולי דק״ל מאי ויגדלו דפשיטא שלא נשארו לעולם בקטנותם:,,
"Maskil LeDavid, Genesis 25:27:2",יודע ציד וכו׳ דאילו כפשוטו יודע לצוד מיבעי ליה. ומ״ש שהיה שואל היאך מעשרין וכו׳ ה״פ שהיה שואל ידענא דהתבן פטור מדינא מיהו הרוצה להחמיר ולעשרו היאך יעשה דמסתברא דיש לו לעשות איזה חילוק ושינוי כדי שיורה דהא לאו מדינא הוא אלא חומרא בעלמא ולא ליתי מינה חורבה לעשר מן הפטור על החיוב זוהי כוונת ערמתו דאל״כ מה זו שאלה היאך מעשרין כמו מעשרין כל שאר הדברי׳ ותו דאי לא תימא הכי הרי בשאלתו זאת היה מורה שהוא עם הארץ ושאינו יודע הדין דתבן פטור ממעשר ואין זו ערמה דאדרבא יאמר אביו שאינו נותן לבו לשמוע בלימודים דאל״כ הוה יודע מה חייב ומה פטור אבל למאי דאמרן היא ערמה גמורה:,,
