"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, Iii Eben Haezer.246.2",R. Meir's opinion was as follows:
"Meir, Iii Eben Haezer.246.3","The testimony of R. Shealtiel and his sons is of no consequence for two reasons. a) They are related to each other; their testimony is that of a single witness, and, therefore, insufficient. b) The foetus could have lingered in the mother's womb for twelve months (cf. Yeb. 80b). Sarah's giving birth to a child twelve months after her husband left her, is, therefore, no proof of her depravity. The testimony of the other witness regarding Sarah's indecent behavior on the evening of <i>Shabuot</i>, being the testimony of a single witness, does not deprive Sarah of her right to her <i>ketubah</i>. If R. Isaac believes the aforementioned witness or if he takes the word of his wife's own father, he must divorce Sarah even against her will. If she renders it impossible for him to divorce her, he may marry another woman without divorcing Sarah as a warning to all indecent and depraved women. But he must pay Sarah her <i>ketubah</i>. However, if Sarah admits her guilt, or acknowledges the truth of the testimony regarding her indecent conduct on the evening of <i>Shabuot</i>, or if she cannot satisfactorily explain why she denied her being pregnant in the month of <i>Elul</i> of the previous year, or answer all other questions regarding her conduct, she loses her right to her <i>ketubah</i> and is entitled only to whatever is left of the valuables she had brought with her upon her marriage."
"Meir, Iii Eben Haezer.246.4","S<small>OURCES</small>: L. 310; Tesh. Maim. to <i>Nashim</i> 25; Hag. Mord. to Yeb. 121; cf. Sinai vol. V (1941) p. 296; Asher <i>Responsa</i> 32, 11; Weil, <i>Responsa</i> 8; ibid. 88; Isserlein, <i>Pesakim</i> 22."
"Meir, Iii Eben Haezer.247.1","<i>Q</i>. A, of priestly lineage, married a woman within three months [of the death of her husband]. The authorities would have forced A to divorce her — even though he was of priestly lineage and would not be able to remarry her once he divorced her — had he not postponed asking them about the matter till long after the three months had expired and after it had become definitely certain that she had not been pregnant by her former husband. What is your opinion on this subject?"
"Meir, Iii Eben Haezer.247.2","<i>A</i>. The ban that is pronounced against a person who marries a widow within three months of her husband's death, is not a punitive measure, but is a means of forcing such a person to divorce her in order that he should not live with her within the three months of her former husband's death [so that the child born seven, eight, or nine, months later would not be of doubtful parentage]. After the three months have passed, therefore, there is no longer any reason for pronouncing the ban, and persons already married prior to the expiration of that period may be permitted to continue their married life undisturbed. The same rule applies to a person who married a nursing widow before her child was twenty-four months old. If no action was taken against him before the expiration of the twenty-four months, none should be taken against him after the expiration of that period. At the same time we make no distinction between a person who married a nursing widow because he was ignorant of the transgression involved, and the person who did so fully aware that he was doing wrong, since forcing a person to divorce his wife whom he married in a forbidden period, as referred to above, is not a punitive measure."
"Meir, Iii Eben Haezer.247.3","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 157c."
"Meir, Iii Eben Haezer.248.1",<i>Q</i>. How long should a nursing widow wait until she can remarry?
"Meir, Iii Eben Haezer.248.2","<i>A</i>. The accepted law is that she must wait 24 moon-months (from the day the child is born), i. e. months of alternating length of 29 and 30 days. If one of the years is a leap year, she must wait 25 such months. However, were I not afraid to differ with the decisions of my teachers, I would require her to wait 24 full months of 30 days each, or 720 days, and in a leap year 25 moon-months of alternating length, in order to be sure to comply with all possible interpretations of the opinions of the authorities of the Talmud."
"Meir, Iii Eben Haezer.248.3",This Responsum is addressed to R. Yekutiel.
"Meir, Iii Eben Haezer.248.4","S<small>OURCES</small>: Pr. 79. Cf. Mord. Yeb. 19; Israel Bruno, <i>Responsa</i> 192; ibid. 193; ibid. 194; <i>Terumat Hadeshen</i> 216; Isserlein, <i>Pesakim</i> 82; ibid. 178."
"Meir, Iii Eben Haezer.249.1","<i>Q</i>. A, of priestly lineage, married a nursing widow, Leah. Before the marriage took place, Leah, following the advice of Rabbi Jacob (of Cracow), gave her infant to a wet-nurse who made a vow <i>Al Daat Rabbim</i> (the interpretation of said vow to lodge with an undetermined number of people, and, therefore, incapable of annulment) not to resign her position till the infant be of age to be weaned (two years). Many have disputed the efficacy of this procedure, and gave their opinions that A must divorce Leah. Rabbi Jacob pleaded that A be not required to divorce Leah since A, being of priestly lineage, would not be able to remarry her after the two year period of nursing be over."
"Meir, Iii Eben Haezer.249.2","<i>A</i>. A person who married a nursing widow must divorce her, even though he was of priestly lineage and consequently could not remarry her, once he divorced her. The wet-nurse's vow is of no avail since her husband could annul it even though it was made <i>Al Daat Rabbim</i>."
"Meir, Iii Eben Haezer.249.3","S<small>OURCES</small>: Pr. 864; Tesh. Maim. to <i>Nashim</i>, 24; cf. R. Asher, <i>Responsa</i>, 53, 2; <i>Tur Eben Haezer</i> 13."
"Meir, Iii Eben Haezer.250.1","<i>Q</i>. A went to a village and expected to return the same day. He did not return, and on that day a murdered man was found in the nearby forest. Although the body was unrecognizable as it had been mutilated by dogs, it was identified as A's body for the following reasons: (a) People said that a Jew was murdered; (b) the garments on the dead body were recognized as belonging to A; (c) A's wife identified a mole on the dead body as the one her husband had. May A's wife remarry?"
"Meir, Iii Eben Haezer.250.2","<i>A</i>. Neither a general rumor, nor the finding of one's garments on a dead body, are sufficient to establish the death of an individual. But a woman is believed when she identifies her husband's body through a mole. A's wife may, therefore, remarry."
"Meir, Iii Eben Haezer.250.3",S<small>OURCES</small>: Pr. 371.
"Meir, Iii Eben Haezer.251.1","<i>Q</i>. L's husband disappeared. Her relatives sent inquiries to the surrounding towns in an effort to locate him. Meanwhile a Gentile came to the Jews of a neighboring town, and asked them why they did not fetch the body of the murdered Jew from T (the town where L's husband had lived) that was lying in place X. The Gentile added that for one pound he would himself convey the body in his wagon to T. Since the Gentile mentioned money, we were doubtful whether his statement should be admitted in evidence."
"Meir, Iii Eben Haezer.251.2","<i>A</i>. I have considered the above case from all angles, and find no reason why L should not be permitted to remarry. The fact that the Gentile mentioned money did not weaken his testimony, but rather strengthened it; for, not only did he make a report in his innocence, he even offered to prove the truth of it. Therefore, if no other Jew is missing from T, L should be permitted to remarry. Moreover, I have seen the letter of R. Jacob b. Mordecai, bearing the signature of Rabbi Eliezer, which stated that a certain Gentile told a Jew that he killed L's husband. This statement by the murderer is to be admitted in evidence; and should, in itself, serve as a basis for permitting L to remarry."
"Meir, Iii Eben Haezer.251.3","Rabbi Meir adds: I am not worthy to be relied upon, unless my teacher Rabbi Eliezer, you yourselves, and the other teachers agree with me. Otherwise, my opinion is void."
"Meir, Iii Eben Haezer.251.4",This Responsum is addressed to Rabbi Abraham and Rabbi Mordecai.
"Meir, Iii Eben Haezer.251.5","S<small>OURCES</small>: Tesh. Maim. to <i>Ishut</i>, 9; Sinai VII (1943) 5–6 no. 33. Cf. <i>Terumat Hadeshen</i> 239; Isserlein, <i>Pesakim</i> 161; ibid. 223."
"Meir, Iii Eben Haezer.252.1","<i>Q</i>. A Jewish young man and three Gentiles were together in a boat on a rough sea, full of rocks, reefs and floating ice. Another Jew and many Gentiles heard them crying: ""Help! oh Lord, we are drowning."" Their boat was subsequently found overturned and empty; but the young man's body was not found. One Jew is willing to testify that the young man is dead since he searched for his body together with experienced fishermen who assured him that no one could come out alive under the circumstances. May we permit the young man's wife to remarry?"
"Meir, Iii Eben Haezer.252.2","<i>A</i>. The Rabbis did not permit remarrying by the wife of a man, lost in a body of water of which not all the boundaries are visible, and no distinction was made as to the nature of the water, or the shore. We would be very happy were we able to find a legal basis for allowing the woman to remarry; but many before us have tried to find such a basis and were not successful. We must, therefore, accept the decision of the Rabbis."
"Meir, Iii Eben Haezer.252.3",S<small>OURCES</small>: Pr. 971.
"Meir, Iii Eben Haezer.253.1","<i>Q</i>. A and B were married to two sisters. Since A frequented B's house, B suspected him of adulterous relations with his wife, and threatened to kill him. One day A went out of town leaving his books and his valuables with his wife, his manner indicating that he intended to return shortly. He never came back, however, and a search for him proved futile. Subsequently, three Gentile thieves came to the house of a Jew of a neighboring town to sell a stolen article; and casually remarked that A, from the nearby town, was murdered through the instigation of his brother-in-law, and was buried in his clothes in an upright but inverted position. The Jew asked the thieves to show him where A was buried, and they answered that they would show him the place if he gave them one <i>mark</i>. On the same day, however, before they had a chance to point out A's grave, the thieves were apprehended for stealing and were hanged. Subsequently, a Jew arrived in town who told the relatives of A's wife that he had seen A alive in France. This Jew, however, had been an apostate and later returned to Judaism, but not wholeheartedly. He was one of those despicable creatures who wander from town to town and alternately appear as Jews or as fanatical Christians. Nevertheless, the relatives of A's wife sent a man with the apostate to France, and the man investigated thoroughly but could find no trace of A. Meanwhile a long time has passed, and the grass widow, lonely, miserable, and distressed, has not heard a word about the whereabouts of her husband."
"Meir, Iii Eben Haezer.253.2","<i>A</i>. Whenever a Gentile makes an informal statement to the effect that he witnessed the death of a Jew, we accept such statement as reliable evidence and permit the Jew's wife to remarry. Thus, the unsolicited remarks of the three thieves are to be considered as the testimony of three witnesses. Although the statement of the apostate contradicted the words of the thieves, we do not admit into evidence the testimony of a single witness in the face of the testimony of three witnesses. It is true that, although in a case involving the release of a grass widow we admit into evidence the testimony of ordinarily unqualified witnesses (such as women and Gentiles), the testimony of a single qualified witness is nevertheless considered equal to that of a hundred unqualified witnesses. In our case, the three Gentile witnesses were not contradicted by a qualified witness, for the apostate cannot be considered a qualified witness, since his return to the fold was not sincere. He and the others of his kind call themselves Jews in order that people should give them food, and that they should have a chance to steal and to indulge their base appetites. Therefore, if the communities of Rita and Kublin should agree, I would permit the woman to remarry."
"Meir, Iii Eben Haezer.253.3","S<small>OURCES</small>: Mord. Ket. 306; Yeb. 81; Tesh. Maim. to <i>Ishut</i>, 10. Cf. Weil <i>Responsa</i> 164; Israel Bruno, <i>Responsa</i> 28; ibid. 29; ibid. 32; Isserlein, <i>Pesakim</i> 138; ibid. 220; ibid. 221."
"Meir, Iii Eben Haezer.254.1","Most scholars hold the opinion that a woman whose husband fell into a body of water whose final boundaries are not discernible, and who, though not permitted to remarry, defiantly transgressed against the prohibition of the Rabbis and did remarry, need not be divorced from her second husband. This opinion they base on the talmudic ruling that the law prohibiting the remarriage of a woman whose husband fell into a ""boundless"" body of water, applies only before, but not after, she has remarried. I once saw a prominent personage of our kingdom remarry under such circumstances without any one admonishing her. All our prominent scholars decided that she need not be divorced, once she has remarried. A great French scholar was then staying in our kingdom, and he, too, permitted her to stay married claiming that he had witnessed a similar case in France and that all the great scholars of France ruled that she need not be divorced. I also gave my consent to his decision though I was hesitant. However, I have finally come to the conclusion that such an opinion is untenable. For, were this opinion correct the prohibition of the Rabbis would be rendered senseless, useless, and ridiculous, since no woman would heed such prohibition and would transgress against it rather than stay single all her life. Why, then, would the Rabbis prohibit such remarriage to begin with! Therefore, we must say that the talmudic ruling which does not require the remarried woman to be divorced, refers only to that woman who remarried because she innocently believed that a scholar had permitted her to do so, as in the case of Hassa (Yeb. 121b) and that of R. Shila (Yeb. 121a); but that it does not refer to the woman who defiantly transgressed the prohibition of the Rabbis. This latter interpretation of the pertinent talmudic sources clarifies the words of the Rabbis and renders them logical and tenable. Therefore, a woman who remarried without receiving permission from a scholar must be divorced, or the husband be put under the ban till he divorce her. We must not be concerned lest a relative of the woman permit her to remarry (thus flouting the prohibition of the Rabbis), for the following reasons: a) only a scholar holding the position among scholars that R. Nahman (the scholar who inadvertantly caused the wife of Hassa to remarry) and R. Shila held in their day, is empowered to permit such a woman to remarry; b) a scholar permitting such a woman to remarry would bring upon himself the ban."
"Meir, Iii Eben Haezer.254.2","S<small>OURCES</small>: Cr. 194; Am II, 97; Mord. Yeb. 128; Tesh. Maim. to <i>Nashim</i>, 11, Pr. 612; <i>Tashbetz</i>, 468. Cf. Weil, <i>Responsa</i> 128."
"Meir, Iii Eben Haezer.255.1","<i>Q</i>. B claims that he gave A fifteen pounds to lend it on interest for two years and then give the principal and the interest to B's son if he should consent to marry A's daughter. B's son, however, refused to marry A's daughter and B wants his money back. A claims that he had originally accepted B's money as a dowry for his daughter, that he had taken possession of the gift for her, and that the money, therefore, belongs to her."
"Meir, Iii Eben Haezer.255.2","<i>A</i>. A dowry gift becomes the property of the donee only if the marriage takes place. Therefore, neither A nor his daughter has ever gained title to B's money, and A must return the principal plus the interest to B. Even if B expressly stipulated that he will forfeit the 15 pounds if the marriage does not take place, such a stipulation is considered an <i>Asmakhta</i> and is not valid. B, however, must pay A for his trouble in managing B's investments."
"Meir, Iii Eben Haezer.255.3",S<small>OURCES</small>: Cr. 86; Pr. 285; Mord. B.B. 615; <i>Agudah</i> B.B. 198.
"Meir, Iii Eben Haezer.256.1","<i>Q</i>. A negotiated a marriage between his daughter and B who was from out of town and whom A did not know very well. A deposited a pledge of twenty-five <i>marks</i> on condition that should his daughter refuse to marry B, the pledge would belong to B. A had stipulated, however, that the agreement be void in case he be prevented by unavoidable accident from carrying out his part of the agreement. Subsequently it became known that B was an epileptic. A's daughter, therefore, refused to marry him."
"Meir, Iii Eben Haezer.256.2","<i>A</i>. Even according to Rabbi Joel, who was doubtful whether or not an epileptic might be forced to divorce his wife, the pledge must be returned to A, since in cases of doubt we do not give a verdict in favor of one seeking to collect money from the other party to the suit. Moreover A had stipulated that his agreement with B should be void in case of unavoidable accident; the discovery that B was an epileptic and the rightful refusal, hence, of A's daughter to marry B because of the danger involved, constituted an unavoidable accident and thus voided the agreement. We must also take into consideration the possibility that B's children will be epileptic. Although the admonition of the Talmud (Yeb. 64b) not to marry into a family of epileptics applies to a family of which at least three members are epileptic, this admonition applies to the marrying of a person who is himself an epileptic even though no other member of his family is so afflicted. Moreover had B already married A's daughter, and were she to demand a divorce on the ground that she can not live with an epileptic, she would have been entitled to the return of her dowry; since no marriage has taken place, B is not entitled to receive any money from A. Even if the pledge was already delivered to B, there is not the slightest doubt that he must return it to A."
"Meir, Iii Eben Haezer.256.3","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 165a."
"Meir, Iii Eben Haezer.257.1","<i>Q</i>. A promised his daughter, a minor, in marriage to B, and stipulated the condition that should his daughter, upon reaching her majority, refuse to accept <i>kiddushin</i> from B or from his deputy, A would pay B one <i>mark</i> of gold. Subsequently, but while A's daughter was still a minor, he betrothed her to another man. A maintains that he owes nothing to B since his daughter is prevented from accepting <i>kiddushin</i> from B by circumstances beyond her control."
"Meir, Iii Eben Haezer.257.2","<i>A</i>. If A's daughter would herself have made the above-mentioned agreement with B, and her father would subsequently betroth her to another, she would have had a plausible excuse for her not complying with the agreement. Since A himself, however, entered into an agreement with B, he not only guaranteed thereby that his daughter would accept <i>kiddushin</i> from B, but also that he himself would not prove a hindrance to the betrothal. B, therefore, is entitled to collect one <i>mark</i> of gold from A. B, however, must wait till A's daughter grows up before he will be entitled to collect the penalty, since in the meantime it may happen that A will not be prevented from fulfilling his original agreement with B."
"Meir, Iii Eben Haezer.257.3","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 200c."
"Meir, Iii Eben Haezer.258.1","<i>Q</i>. B promised his young daughter in marriage to A's minor son. He gave A a written document obligating himself, from the time of the promise, to be A's debtor for 20<xref rid=""fn8"">*</xref> <i>marks</i> should his daughter refuse to accept <i>kiddushin</i> from B's son when he will have arrived at his majority, or in case A himself should refuse to accept the <i>kiddushin</i> for his daughter. B died before A's son reached the age of 13, and his daughter married someone else. Now A demands the 20<xref rid=""fn8"">*</xref> <i>marks</i> from B's heirs."
"Meir, Iii Eben Haezer.258.2","<i>A</i>. Since B has been prevented, by death, from fulfilling his promise, he never became obligated to pay the 20<xref rid=""fn8"">*</xref> <i>marks</i> to A. Consequently his heirs owe nothing to A."
"Meir, Iii Eben Haezer.258.3","This question was also sent to R. Meir by his father, R. Baruch, who was one of the judges in this case."
"Meir, Iii Eben Haezer.258.4","S<small>OURCES</small>: Cr. 31; Pr. 50; Pr. 939; L. 355; Mord. B.M. 247; cf. Jacob Weil, <i>Responsa</i> 105; ibid. 142."
"Meir, Iii Eben Haezer.259.1","<i>Q</i>. A and B arranged a match between their children. At the time the amounts of dowry and parents' gifts were agreed upon, A and B stipulated that the bride and groom, if they subsequently quarrel, should divide their combined possessions equally between themselves. Now the groom refuses to abide by such stipulation claiming that he is not bound by his father's agreements."
"Meir, Iii Eben Haezer.259.2","<i>A</i>. Since the possessions of the young couple originally came from their parents, the former are bound by the stipulations of the latter regarding the disposal of such possessions. For the dowry and the presents were originally given on condition that the agreement between the parents be carried out."
"Meir, Iii Eben Haezer.259.3","S<small>OURCES</small>: Am II, 129."
"Meir, Iii Eben Haezer.260.1","<i>Q</i>. A went to a distant country, leaving behind a wife and a daughter. His wife betrothed her daughter to C and promised him a dowry. C demanded that A's brother, B, become surety for the dowry. B did so, and A's wife deposited valuables with B to be used in the discharge of B's suretyship. A's wife died. When A returned, he demanded that B restore to him the valuables his late wife had entrusted to B."
"Meir, Iii Eben Haezer.260.2","<i>A</i>. A's wife had no right to promise a dowry or give anything to B or C without A's permission. Her promises and gifts were, therefore, void and B must return to A the valuables A's wife had deposited with him."
"Meir, Iii Eben Haezer.260.3",S<small>OURCES</small>: Pr. 858.
"Meir, Iii Eben Haezer.261.1",<i>Q</i>. A (verbally) promised to give a definite amount of money to his sister upon her marriage. After her marriage A refused to keep his promise. Can A's sister enforce his promise?
"Meir, Iii Eben Haezer.261.2","<i>A</i>. Only a father's verbal promise to his child on his first marriage is binding. All other promises of marriage gifts are not binding unless accompanied by a <i>kinyan</i> (a formal binding act). If, however, A's sister was poor, he is bound to pay her the promised sum, because a promise to give charity is binding."
"Meir, Iii Eben Haezer.261.3",The Responsum is addressed to R. Eleazer Kohen.
"Meir, Iii Eben Haezer.261.4",S<small>OURCES</small>: Pr. 97; cf. Cr. 151 where the opposite opinion is given.
"Meir, Iii Eben Haezer.262.1","<i>Q</i>. A had promised to give a dowry to his sister, an orphan, but after her marriage refused to keep his promise."
"Meir, Iii Eben Haezer.262.2","<i>A</i>. Any person who promises a marriage-gift before the wedding of a couple, must keep his promise. The ruling of the Palestinian Talmud that such a promise by a brother of the bride or the bridegroom is not binding, must be construed to apply only to the case where the brother promised his father's money, for this interpretation eliminates a contradiction between the Palestinian and Babylonian Talmuds (Yer. Ket. 5,1; Bab. Ket. 102a)."
"Meir, Iii Eben Haezer.262.3","S<small>OURCES</small>: Cr. 151. Cf. Hag. Maim. to <i>Ishut</i>. 23, 9."
"Meir, Iii Eben Haezer.263.1","<i>Q</i>. Since the written betrothal agreement makes no mention of a <i>kinyan</i>, it should not have the force of a legal document. Obviously, greater trust was place in him (the intended father-in-law) than in a legal document. Moreover, the witnesses do not recall the contents of the written agreement that bears their signature."
"Meir, Iii Eben Haezer.263.2","<i>A</i>. There are a number of documents that contain no <i>kinyan</i> clause and yet have the force of legal documents. Although the witnesses do not recall the contents of the document that bears their signature, the document is legally binding nevertheless."
"Meir, Iii Eben Haezer.263.3","S<small>OURCES</small>: Cr. 210; Mord. Ket. 284; Tesh. Maim. to <i>Mishpatim</i> 39. Cf. Weil, <i>Responsa</i> 94."
"Meir, Iii Eben Haezer.264.1","<i>Q</i>. A had a sickly, epileptic daughter. He promised B a large dowry, and for this reason B married her. A's daughter died within the first year of her marriage, after having given birth to a child who, in turn, died before he was thirty days old. Since A's daughter left a child when she died, we decided that B was entitled to collect the dowry from A."
"Meir, Iii Eben Haezer.264.2","<i>A</i>. Since the child died before he was thirty days old, his viability has not been established. Therefore, his existence was of no consequence. Thus, I am greatly surprised that you considered the existence of the child a determining factor in the case. Moreover, Rashi and R. Tam hold conflicting opinions regarding the question whether a widower is entitled to collect the dowry his father-in-law had promised him (<i>Tosaphot</i> Ket. 47a, s. v. <span dir=""rtl"">כתב</span>). I am greatly surprised, therefore, that you dare decide between the two conflicting opinions; for whenever there exists a difference of opinion between authorities, we do not enforce the collection of money by either party. Your contention that since A's daughter was a sickly person B had a stronger claim on her dowry, is also baseless, for the law draws no distinction between a healthy and a sickly wife. Indeed, the <i>takkanah</i> of R. Tam to the effect that when a wife dies within the first year of her marriage the husband must return her dowry to the original donors, is only valid in those communities where this <i>takkanah</i> was accepted. My decision in this case, however, is not based on this <i>takkanah</i>, but on Rabbinic law which is valid everywhere."
"Meir, Iii Eben Haezer.264.3",S<small>OURCES</small>: Cr. 159.
"Meir, Iii Eben Haezer.265.1","<i>Q</i>. L's father gave five pounds to L's fiance, C. Her father deposited with B the rest of L's dowry, with the provision that B deliver it to C one year after he marries L. C married L, but she died within the first year of her marriage. C, now, demands L's dowry from B."
"Meir, Iii Eben Haezer.265.2","<i>A</i>. When a woman dies within the first year of her marriage, the ordinance of Rabbenu Tam undisputably prevails that her dowry must be returned to the donors. The communities have further ordained that when a woman dies within the second year of her marriage, half of her dowry must be returned to the donor. We are not certain, however, whether or not this latter ordinance was accepted. Moreover, even according to talmudic law the dowry mentioned above is not collectible, since according to R. Tam's interpretation of the pertinent talmudic ruling (ket. 47a) a person may not collect the dowry that had been promised to his wife, who subsequently died, unless he collected it before she died. There is no doubt, therefore, that C is not entitled to collect L's dowry from B (talmudic law), and that he must even return the five pounds he had already received (because of the ordinance of R. Tam). Should C deny having received the five pounds, he would have to take an oath in support of his denial. Since C, however, does not inherit L's dowry, he is under no obligation to pay for L's funeral. Therefore, he is not to be charged with the funeral expenses spent by L's father. Similarly, C is under no obligation to discharge L's pledges to charity, unless C had instructed L to make such pledges at his expense."
"Meir, Iii Eben Haezer.265.3","S<small>OURCES</small>: Tesh. Maim. to <i>Ishut</i>, 35. Cf. Maharil, <i>Responsa</i> 61; ibid. 76; ibid. 80; Weil, <i>Responsa</i> 40."
"Meir, Iii Eben Haezer.266.1","I have observed that persons misunderstand and misinterpret the words of Rabbenu Tam who derived from the Talmud the law that a father, whose daughter died within the first year of her marriage,<xref rid=""fn9"">*</xref> was under no obligation to pay the dowry he had promised. This ruling, however, applies only to the father who had merely promised a dowry but failed to give it to his son-in-law before his daughter died. In our case, however, the son-in-law gained title to the dowry, for it was secured through pledges the father had deposited with trustees, or because sureties have guaranteed its delivery. The dowry was merely entrusted to the father-in-law that he do business therewith, and earn profit for the benefit of the young couple until they grow up. Therefore, the son-in-law is entitled to collect the dowry."
"Meir, Iii Eben Haezer.266.2","S<small>OURCES</small>: Hag. Mord. Ket. 287; cf. Maharil, <i>Responsa</i> 61."
"Meir, Iii Eben Haezer.267.1","Addressed to R. Mordecai haKohen: You committed no sin in marrying a deaf maiden, especially since you married her in the presence of her father and with his consent. You should be careful, however, not to permit her to eat <i>hallah</i>, as this is forbidden to her even in these days when we have no Biblically consecrated <i>Terumah</i> (Yeb. 113a)."
"Meir, Iii Eben Haezer.267.2","S<small>OURCES</small>: Sinai V (1941) 4, no. 114."
"Meir, Iii Eben Haezer.268.1","<i>Q</i>. In the presence of witnesses Leah asked A to betroth her. While she was in a yard not owned by her, A threw a ring into her lap for the purpose of betrothal. The witnesses, although they saw Leah shake her dresses in order to brush the ring away, did not see whether or not the ring actually fell into her lap. Does Leah need a divorce from A?"
"Meir, Iii Eben Haezer.268.2","<i>A</i>. Had the witnesses seen the ring fall into Leah's lap, she would need a divorce in spite of her claim that she never intended to become A's wife and that she was joking when she asked him to betroth her. For we would, then, be concerned only with facts and not with her thoughts and unexpressed intentions. But, since the witnesses did not see the ring fall into Leah's lap, and the yard where the incident took place did not belong to Leah, she needs no divorce, for no betrothal took place. R. Meir adds: If my teachers agree with my decision, all will be well. But if they do not agree I shall subscribe to whatever they decide to do. However, I should prefer not to be strict in this matter and not to require Leah to obtain a divorce, lest A become rebellious and refuse to divorce her, and lest he travel to a distant land and thus render it impossible for the unfortunate woman ever to marry again."
"Meir, Iii Eben Haezer.268.3","This Responsum is addressed to: ""My teacher Rabbi Haim and his court."""
"Meir, Iii Eben Haezer.268.4",S<small>OURCES</small>: Pr. 993: Mord. Git. 451; ibid. Kid. 548: Tesh. Maim. to <i>Nashim</i>. 1.
"Meir, Iii Eben Haezer.269.1","<i>Q</i>. Without any previous courting A gave money or presents to Leah saying they were tokens of love. The witnesses testify that A did not speak to Leah about marriage while he gave her the money, and that she did not express her consent."
"Meir, Iii Eben Haezer.269.2","<i>A</i>. If there are witnesses that A proposed to Leah on a previous occasion and that she accepted his proposal, she is betrothed to A, even though A did not expressly say he was betrothing her. When there are no such witnesses, but both, A and Leah, admit that they had a previous understanding between them, or that at the time A gave the money to Leah they both intended the money to bind them in betrothal, Leah is betrothed to A. Moreover, the mere statement of A to Leah that he gave her the money as a token of love may constitute a betrothal, and therefore, Leah needs a divorce from A before she can marry another."
"Meir, Iii Eben Haezer.269.3","S<small>OURCES</small>: Cr. 19; Pr. 519–520; Mord. Kid. 521; Tesh. Maim. to <i>Ishut</i>, 4."
"Meir, Iii Eben Haezer.270.1","The betrothal of a woman in the presence of a single witness, is void. We do not require that she receive a divorce, for the mere sake of strictness, since such an act would bar her from marrying a person of priestly lineage. Nor are we apprehensive of a spreading report to the effect that the woman was betrothed, since such report would also include the information that the betrothal took place in the presence of a single witness, thus automatically nullifying the effect of the report. If it was originally reported, however, that a bona fide betrothal took place, and later it became known that the betrothal took place in the presence of a single witness, a divorce would be required, if we did not deliberately cancel false reports. Rabiah, however, ruled that we should cancel false reports."
"Meir, Iii Eben Haezer.270.2","S<small>OURCES</small>: Pr. 133; Mord. Kid. 537; ibid. 548; Tesh. Maim. to <i>Nashim</i> 2; Rashba I, 856."
"Meir, Iii Eben Haezer.271.1","<i>Q</i>. A, a nephew of Rabbi Kohen Zedek, asked the latter for advice regarding the planned betrothal of his daughter. A informed him that in his (A's) locality there were no qualified witnesses (unrelated to the bride) but that he intended to invite two strangers from another locality to act as witnesses to the betrothal. These two strangers, however, were brothers-in-law and one was the nephew of the other. Rabbi Kohen Zedek, then, told A that since these two were related to each other they were disqualified witnesses and consequently the betrothal would be void. A, however, answered that no great harm would be done even if the betrothal were void since the bridegroom would ultimately betroth the bride again, at the time of the marriage. A repeated this answer to the widowed sister of Rabbi Kohen Zedek who later witnessed the betrothal and protested that the witnesses were disqualified. Must A's daughter receive a divorce in order to free herself from the bridegroom?"
"Meir, Iii Eben Haezer.271.2","<i>A</i>. Since the two witnesses were related to each other, they were disqualified and the betrothal was not binding. Therefore, A's daughter needs no divorce. As to the spreading rumor that a betrothal took place, the opinion of Rav is accepted that when the court discovers that a certain rumor [of betrothal] had no foundation in fact, the court silences such rumor. Moreover, a rumor is of no consequence unless the probability of its truthful origin has been upheld in court (cf. Git. 89a f.), while in our case the rumor is known to be baseless."
"Meir, Iii Eben Haezer.271.3","Rabbi Kohen Zedek wrote again to Rabbi Meir raising doubt as to the correctness of R. Meir's decision, and informing him that his (R. Meir's) teacher from Spiers at first agreed with this decision but later disagreed with it; and that meanwhile A's daughter became betrothed to another man."
"Meir, Iii Eben Haezer.271.4","Rabbi Meir answered that the first decision of his teacher was correct; that in the case of a woman who was betrothed in the presence of two witnesses, one of whom was later discovered to be related to the bridegroom, Rabbi Joel haLevi decided in a Responsum that the woman did not need a divorce, and permitted her to remarry; and that he enclosed a copy of Rabbi Joel's Responsum in order to prove that his own decision was based on a solid foundation. He added: A rumor is of no consequence unless it be current in the town where the alleged betrothal took place. In this case, however, A and his sons were the only Jewish residents of the settlement, and they were told beforehand that such a betrothal would be void. Moreover, even the authorities who hold that we cannot dispel a rumor, agree that when a rumor is self-contradictory, or the statements made therein are not untrue but harmless, such rumor is of no consequence. We are not at liberty to be overstringent in such cases and demand that a divorce be delivered in order to dispel any shadow of doubt as to the girl's freedom to remarry, since such a step would make her ineligible to marry a man of priestly lineage."
