Index Title,"Shulchan Arukh, Yoreh De'ah"
"Shulchan Arukh, Yoreh De'ah 189:28","<i data-commentator=""Beur HaGra"" data-order=""45""></i><i data-commentator=""Be'er HaGolah"" data-order=""53""></i>וכן זקנה שעברו עליה שלש עונות משהזקינה ולא ראתה הרי זו מסולקת דמים <i data-commentator=""Siftei Kohen"" data-order=""69""></i>ואינה חוששת <i data-commentator=""Siftei Kohen"" data-order=""70""></i>לוסתה <i data-commentator=""Ba'er Hetev"" data-order=""51""></i>הראשון <i data-commentator=""Turei Zahav"" data-order=""44""></i><i data-commentator=""Siftei Kohen"" data-order=""71""></i><small>(וקטנה <i data-commentator=""Torat HaShlamim"" data-order=""52""></i>וזקנה אינן חוששות לוסת שאינו קבוע) (ב""י בשם הרשב""א):</small>"
"Shulchan Arukh, Yoreh De'ah 189:29","<i data-commentator=""Be'er HaGolah"" data-order=""54""></i>איזו היא זקנה כל <i data-commentator=""Be'er HaGolah"" data-order=""55""></i><i data-commentator=""Torat HaShlamim"" data-order=""53""></i><small>(שזקנה כל כך <i data-commentator=""Beur HaGra"" data-order=""46""></i>שראויה) (טור) </small><i data-commentator=""Turei Zahav"" data-order=""45""></i>שקורין לה אימא בפניה מחמת זקנותה <i data-commentator=""Turei Zahav"" data-order=""46""></i><i data-commentator=""Torat HaShlamim"" data-order=""54""></i><i data-commentator=""Beur HaGra"" data-order=""47""></i>ואינה חוששת:"
"Shulchan Arukh, Yoreh De'ah 189:30","<i data-commentator=""Beur HaGra"" data-order=""48""></i><i data-commentator=""Be'er HaGolah"" data-order=""56""></i>חזרה וראתה דינה כדין תינוקת <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""29""></i>שלא הגיע זמנה לראות:"
"Shulchan Arukh, Yoreh De'ah 189:31","<i data-commentator=""Beur HaGra"" data-order=""49""></i><i data-commentator=""Be'er HaGolah"" data-order=""57""></i>חזרה לראות בעונות קטנות שהיתה למודה להיות רואה בהן חזרה לקביעותה הראשון אם וסת ההפלגות חזרה לקדמותה אם תהיה ההפלגה כמו שהיתה למודה תחלה ואם בשאר הוסתות <i data-commentator=""Be'er HaGolah"" data-order=""58""></i>אפי' בפעם א' חוזרת לקדמותה שהרי נתגלה שדילוג הראשון לא סילוק דמיה הי' אלא מקרה. ובזה חמור דין הזקנה מדין הקטנה שלא הגיע זמנה לראות:"
"Shulchan Arukh, Yoreh De'ah 189:32","<i data-commentator=""Beur HaGra"" data-order=""50""></i><i data-commentator=""Be'er HaGolah"" data-order=""59""></i>פעמי' שהאשה קובעת לה וסת <i data-commentator=""Ba'er Hetev"" data-order=""52""></i>בתוך וסת כיצד ראתה שלש פעמים בראש חודש <i data-commentator=""Turei Zahav"" data-order=""47""></i><i data-commentator=""Siftei Kohen"" data-order=""72""></i><i data-commentator=""Beur HaGra"" data-order=""51""></i><i data-commentator=""Torat HaShlamim"" data-order=""55""></i>ורביעית <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""30""></i>בב' לחודש ובר""ח <i data-commentator=""Pithei Teshuva"" data-order=""28""></i>וכן בחמישית ובששית הרי קבעה שתי וסתות:"
"Shulchan Arukh, Yoreh De'ah 189:33","<i data-commentator=""Beur HaGra"" data-order=""52""></i><i data-commentator=""Be'er HaGolah"" data-order=""60""></i>מעוברת <i data-commentator=""Be'er HaGolah"" data-order=""61""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""31""></i>לאחר ג' חדשים לעיבורה ומניקה <i data-commentator=""Be'er HaGolah"" data-order=""62""></i>כל כ""ד חדש אחר לידת הולד <i data-commentator=""Siftei Kohen"" data-order=""73""></i><i data-commentator=""Torat HaShlamim"" data-order=""56""></i><i data-commentator=""Pithei Teshuva"" data-order=""29""></i>אינה קובעת וסת <i data-commentator=""Beur HaGra"" data-order=""53""></i>אפי' <i data-commentator=""Pithei Teshuva"" data-order=""30""></i>מת הולד או גמלתו דמים מסולקים מהן כל זמן עיבורה וכל כ""ד חדש <i data-commentator=""Turei Zahav"" data-order=""48""></i><i data-commentator=""Beur HaGra"" data-order=""54""></i><i data-commentator=""Ba'er Hetev"" data-order=""53""></i><i data-commentator=""Pithei Teshuva"" data-order=""31""></i><i data-commentator=""Be'er HaGolah"" data-order=""63""></i>ומ""מ חוששת לראיה שתראה כדרך שחושש' לוסת שאינו קבוע:"
"Shulchan Arukh, Yoreh De'ah 189:34","<i data-commentator=""Beur HaGra"" data-order=""55""></i><i data-commentator=""Be'er HaGolah"" data-order=""64""></i>מעובר' <i data-commentator=""Beur HaGra"" data-order=""56""></i>משהוכר עוברה <i data-commentator=""Beur HaGra"" data-order=""57""></i>ומניקה כל כ""ד חדש אינה חוששת לוסת הראשון אפילו היה לה וסת קבוע והגיע תוך הזמן הזה אינה צריכה בדיקה ומותרת לבעלה ואפילו <i data-commentator=""Be'er HaGolah"" data-order=""65""></i>שופעו' ורואו' דם באותן עונו' שהן למודו' לראו' בהן <i data-commentator=""Turei Zahav"" data-order=""49""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""32""></i>אינו אלא <i data-commentator=""Ba'er Hetev"" data-order=""54""></i>במקרה <i data-commentator=""Beur HaGra"" data-order=""58""></i><i data-commentator=""Be'er HaGolah"" data-order=""66""></i>עברו ימי העיבור וההנקה חוזרות לחוש <i data-commentator=""Pithei Teshuva"" data-order=""32""></i>לוסתן הראשון כיצד היה לה וסת לימים אם למודה לראשי חדשים <i data-commentator=""Siftei Kohen"" data-order=""74""></i><i data-commentator=""Torat HaShlamim"" data-order=""57""></i>חוששת לר""ח ראשון <i data-commentator=""Siftei Kohen"" data-order=""75""></i><i data-commentator=""Torat HaShlamim"" data-order=""58""></i>שהיא <i data-commentator=""Ba'er Hetev"" data-order=""55""></i>פוגעת בו וכן כל כיוצא בזה וכן הדין אם היה לה וסת הגוף או לזמן ידוע אבל אם היה וסתה וסת ההפלגה <i data-commentator=""Siftei Kohen"" data-order=""76""></i><i data-commentator=""Torat HaShlamim"" data-order=""59""></i>אי אפשר לחוש עד <i data-commentator=""Ba'er Hetev"" data-order=""56""></i>שתחזור לראות חזרה לראות <i data-commentator=""Turei Zahav"" data-order=""50""></i>אפילו פעם א' חוששת יום ההפלגה שהיתה למודה להפליג:"
"Shulchan Arukh, Yoreh De'ah 190:1","<b>דיני כתמים ובדיקת האשה. ובו נ""ד סעיפים:</b><br> <i data-commentator=""Beur HaGra"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""1""></i>דבר תורה אין האשה <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""1""></i>מטמאה ולא אסורה לבעלה <i data-commentator=""Turei Zahav"" data-order=""1""></i>עד <i data-commentator=""Pithei Teshuva"" data-order=""1""></i>שתרגיש שיצא דם מבשרה <i data-commentator=""Turei Zahav"" data-order=""2""></i><i data-commentator=""Be'er HaGolah"" data-order=""2""></i>וחכמים <i data-commentator=""Ba'er Hetev"" data-order=""1""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""2""></i>גזרו על כתם שנמצא <i data-commentator=""Beur HaGra"" data-order=""2""></i>בגופה או <i data-commentator=""Pithei Teshuva"" data-order=""2""></i>בבגדיה <i data-commentator=""Torat HaShlamim"" data-order=""1""></i>שהיא טמאה ואסורה <i data-commentator=""Be'er HaGolah"" data-order=""3""></i>לבעלה אפילו לא הרגישה <i data-commentator=""Beur HaGra"" data-order=""3""></i>ואפי' בדקה עצמה ומצאה טהורה <i data-commentator=""Beur HaGra"" data-order=""4""></i>וצריכה הפסק טהרה שתבדוק עצמה ותמצא טהורה ואח""כ תמנה שבעה נקיים חוץ מיום המציאה <i data-commentator=""Beur HaGra"" data-order=""5""></i><small>(כאלו ראתה <i data-commentator=""Be'er HaGolah"" data-label=""(°)"" data-order=""3""></i>ודאי וכמו שיתבאר לקמן סימן קצ""ו) <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""3""></i></small>ואם <i data-commentator=""Siftei Kohen"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""4""></i><i data-commentator=""Pithei Teshuva"" data-order=""3""></i>הרגישה <i data-commentator=""Pithei Teshuva"" data-order=""4""></i>שנפתח מקורה להוציא דם <i data-commentator=""Pithei Teshuva"" data-order=""5""></i>ובדקה אח""כ <i data-commentator=""Pithei Teshuva"" data-order=""6""></i>ולא מצאה כלום <i data-commentator=""Torat HaShlamim"" data-order=""2""></i>יש מי שאומר <i data-commentator=""Pithei Teshuva"" data-order=""7""></i><i data-commentator=""Turei Zahav"" data-order=""3""></i>שהיא טמאה:"
"Shulchan Arukh, Yoreh De'ah 190:2","<i data-commentator=""Turei Zahav"" data-order=""4""></i><i data-commentator=""Torat HaShlamim"" data-order=""3""></i><i data-commentator=""Be'er HaGolah"" data-order=""5""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""4""></i>לא גזרו בתינוקת שלא הגיע זמנה לראות <i data-commentator=""Beur HaGra"" data-order=""6""></i>דהיינו שהיא פחותה <i data-commentator=""Siftei Kohen"" data-order=""2""></i><i data-commentator=""Ba'er Hetev"" data-order=""2""></i><i data-commentator=""Torat HaShlamim"" data-order=""4""></i><i data-commentator=""Pithei Teshuva"" data-order=""8""></i>מי""ב אפילו הביאה שתי שערות <i data-commentator=""Be'er HaGolah"" data-order=""6""></i>וכן אפי' היתה יתירה מי""ב אם בדקוה ולא הביאה ב' שערות <i data-commentator=""Siftei Kohen"" data-order=""3""></i>בין שהיא בתולה <i data-commentator=""Torat HaShlamim"" data-order=""5""></i><i data-commentator=""Be'er HaGolah"" data-order=""7""></i>בין שהיא בעולה <i data-commentator=""Beur HaGra"" data-order=""7""></i><i data-commentator=""Be'er HaGolah"" data-order=""8""></i>ואפילו אם ראתה כבר ב""פ <i data-commentator=""Beur HaGra"" data-order=""8""></i>אבל לאחר שראתה <i data-commentator=""Be'er HaGolah"" data-order=""9""></i>שלש פעמים חוששת לכתם:"
"Shulchan Arukh, Yoreh De'ah 190:3","<i data-commentator=""Turei Zahav"" data-order=""5""></i><i data-commentator=""Be'er HaGolah"" data-order=""10""></i>היתה שופעת כמה ימים או שהית' מזלפת טיף אחר טיף בלא הפסק אינו אלא כראיה אחת עד שתפסיק <i data-commentator=""Siftei Kohen"" data-order=""4""></i><i data-commentator=""Torat HaShlamim"" data-order=""6""></i><i data-commentator=""Beur HaGra"" data-order=""9""></i><i data-commentator=""Be'er HaGolah"" data-order=""11""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""5""></i>אבל אם <i data-commentator=""Ba'er Hetev"" data-order=""3""></i>פסקה מעט וחזרה וראתה שלש פעמים אפילו ביום א' הרי זו מוחזקת בדמים וכתמה טמא <i data-commentator=""Be'er HaGolah"" data-order=""12""></i>ויש מי שאומר שאין כתמה טמא אלא א""כ ראתה <i data-commentator=""Turei Zahav"" data-order=""6""></i>דם שלשה וסתות <small>(ויש להחמיר כסברא הראשונה) (היא סברת רש""י ורשב""א והטור):</small>"
"Shulchan Arukh, Yoreh De'ah 190:4","<i data-commentator=""Be'er HaGolah"" data-order=""13""></i>תינוקת שלא הגיע זמנה לראות וראתה ג""פ ופסקה מלראות שיעור שלש עונות שהם צ' יום חוזרת <i data-commentator=""Ba'er Hetev"" data-order=""4""></i>לקדמותה <i data-commentator=""Siftei Kohen"" data-order=""5""></i>וכתמה טהור <i data-commentator=""Beur HaGra"" data-order=""10""></i>עד שתחזור ותראה שלש פעמים:"
"Shulchan Arukh, Yoreh De'ah 190:5","<i data-commentator=""Beur HaGra"" data-order=""11""></i><i data-commentator=""Be'er HaGolah"" data-order=""14""></i>לא גזרו על הכתם אלא אם כן יש בו <i data-commentator=""Beur HaGra"" data-order=""12""></i>כגריס ועוד <i data-commentator=""Pithei Teshuva"" data-order=""9""></i><i data-commentator=""Be'er HaGolah"" data-order=""15""></i>ושיעור <i data-commentator=""Pithei Teshuva"" data-order=""10""></i>הגריס הוא כט' עדשים <i data-commentator=""Beur HaGra"" data-order=""13""></i><small>(ג' על ג') (טור) <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""6""></i></small>ושיעור <i data-commentator=""Siftei Kohen"" data-order=""6""></i>עדשה <i data-commentator=""Torat HaShlamim"" data-order=""7""></i><i data-commentator=""Nekudat HaKesef"" data-label=""♯"" data-order=""3""></i>כ""ד שערות <small>(אגור בשם מהרי""ל <i data-commentator=""Siftei Kohen"" data-order=""7""></i>שהוא ל""ו שערות <i data-commentator=""Siftei Kohen"" data-order=""8""></i><i data-commentator=""Beur HaGra"" data-order=""14""></i>כמו שהן <i data-commentator=""Ba'er Hetev"" data-order=""5""></i>קבועות <i data-commentator=""Pithei Teshuva"" data-order=""11""></i>בגופו של אדם) (תשובת מהרי""ו סימן כ""ב) </small>וכל <i data-commentator=""Siftei Kohen"" data-order=""9""></i><i data-commentator=""Torat HaShlamim"" data-order=""8""></i>זמן שאין בו כזה השיעור <i data-commentator=""Be'er HaGolah"" data-order=""16""></i>אנו תולין לומר <i data-commentator=""Pithei Teshuva"" data-order=""12""></i>דם כנה הוא אף על פי שלא הרגה כנה אבל כשיש בו כזה השיעור אין תולין בכנה <i data-commentator=""Beur HaGra"" data-order=""15""></i><i data-commentator=""Be'er HaGolah"" data-order=""17""></i>בין אם הוא מרובע או אם הוא ארוך <i data-commentator=""Be'er HaGolah"" data-order=""18""></i>ואם נזדמן לה <i data-commentator=""Turei Zahav"" data-order=""7""></i>גריס יותר גדול מזה השיעור <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""7""></i>משערין בו:"
"Shulchan Arukh, Yoreh De'ah 190:6","<i data-commentator=""Be'er HaGolah"" data-order=""19""></i>הא דבעינן שיעורא בין בכתם הנמצא על חלוקה <i data-commentator=""Torat HaShlamim"" data-order=""9""></i>בין בכתם הנמצא על בשרה <i data-commentator=""Siftei Kohen"" data-order=""10""></i><i data-commentator=""Beur HaGra"" data-order=""16""></i><i data-commentator=""Be'er HaGolah"" data-order=""20""></i>וי""א <i data-commentator=""Pithei Teshuva"" data-order=""13""></i>שלא אמרו <i data-commentator=""Ba'er Hetev"" data-order=""6""></i>אלא בכתם הנמצא על חלוקה אבל כתם הנמצא <i data-commentator=""Pithei Teshuva"" data-order=""14""></i>על בשרה בלבד במקומות שחוששין להם <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""8""></i>אין לו שיעור:"
"Shulchan Arukh, Yoreh De'ah 190:7","<i data-commentator=""Turei Zahav"" data-order=""8""></i><i data-commentator=""Siftei Kohen"" data-order=""11""></i><i data-commentator=""Torat HaShlamim"" data-order=""10""></i><i data-commentator=""Beur HaGra"" data-order=""17""></i><i data-commentator=""Be'er HaGolah"" data-order=""21""></i>אם הרגה <i data-commentator=""Siftei Kohen"" data-order=""12""></i><i data-commentator=""Ba'er Hetev"" data-order=""7""></i>פשפש <i data-commentator=""Turei Zahav"" data-order=""9""></i><i data-commentator=""Beur HaGra"" data-order=""18""></i>או הריחה ריחו תולה בו <i data-commentator=""Pithei Teshuva"" data-order=""15""></i>עד כתורמוס <small>(פירוש מין ממיני הקטניות שהוא מר ובלע""ז לופינ""ו):</small>"
"Shulchan Arukh, Yoreh De'ah 190:8","אם אין בכתם במקום אחד כגריס ועוד <i data-commentator=""Be'er HaGolah"" data-order=""22""></i>אע""פ שיש שם <i data-commentator=""Pithei Teshuva"" data-order=""16""></i>טיפין הרבה סמוכין זה לזה עד שאם נצרפם יש בהם יותר מכגריס טהורה שאנו תולין כל טיפה וטיפה בכנה עד שיהא בו כגריס ועוד במקום אחד <i data-commentator=""Beur HaGra"" data-order=""19""></i><i data-commentator=""Be'er HaGolah"" data-order=""23""></i><i data-commentator=""Torat HaShlamim"" data-order=""11""></i>וי""א <i data-commentator=""Siftei Kohen"" data-order=""13""></i>דהני מילי כשנמצאו על חלוקה אבל אם נמצאו על בשרה <i data-commentator=""Ba'er Hetev"" data-order=""8""></i>מצטרפין לכגריס ועוד:"
"Shulchan Arukh, Yoreh De'ah 190:9","<i data-commentator=""Siftei Kohen"" data-order=""14""></i><i data-commentator=""Be'er HaGolah"" data-order=""24""></i>כתם <i data-commentator=""Torat HaShlamim"" data-order=""12""></i>הנמצא על בשרה שהוא ארוך כרצועה או עגול <i data-commentator=""Beur HaGra"" data-order=""20""></i>או שהיו טיפין טיפין או שהיה אורך הכתם על רוחב יריכה או שהיה נראה כאילו הוא ממטה למעלה הואיל והוא כנגד בית תורפה <small>(פי' גנאי הוא והוא כנוי לערוה) </small>טמאה ואין אומרים אילו נטף מן הגוף לא היה כזה:"
"Shulchan Arukh, Yoreh De'ah 190:10","<i data-commentator=""Beur HaGra"" data-order=""21""></i><i data-commentator=""Be'er HaGolah"" data-order=""25""></i>כתם שנמצא על <i data-commentator=""Torat HaShlamim"" data-order=""13""></i>דבר <i data-commentator=""Siftei Kohen"" data-order=""15""></i><i data-commentator=""Pithei Teshuva"" data-order=""17""></i>שאינו <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""9""></i>מקבל <i data-commentator=""Ba'er Hetev"" data-order=""9""></i>טומאה <i data-commentator=""Pithei Teshuva"" data-order=""18""></i>לא גזרו כיצד בדקה קרקע עולם <small>(או <i data-commentator=""Pithei Teshuva"" data-order=""19""></i>בית הכסא שאינו מקבל טומאה) (מרדכי הלכות נדה בשם סמ""ג וסמ""ק) </small>או <i data-commentator=""Siftei Kohen"" data-order=""16""></i>כל דבר שאינו <i data-commentator=""Ba'er Hetev"" data-order=""10""></i>מקבל טומאה וישבה עליו ומצאה בו כתם <i data-commentator=""Be'er HaGolah"" data-order=""26""></i>וכן כתם שנמצא על <i data-commentator=""Pithei Teshuva"" data-order=""20""></i>בגד צבוע <i data-commentator=""Pithei Teshuva"" data-order=""21""></i>טהורה. <i data-commentator=""Torat HaShlamim"" data-order=""14""></i><small>(לפיכך <i data-commentator=""Pithei Teshuva"" data-order=""22""></i>תלבש האשה בגדי צבעונין <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""10""></i>כדי להצילם מכתמים) (הרמב""ם ובגמ' פרק האשה):</small>"
"Shulchan Arukh, Yoreh De'ah 190:11","<i data-commentator=""Be'er HaGolah"" data-order=""27""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""11""></i>לא בכ""מ שימצא שם כתם טמאה אלא במקום שאפשר שבא שם מן המקור כיצד נמצא <i data-commentator=""Turei Zahav"" data-order=""10""></i>על <i data-commentator=""Ba'er Hetev"" data-order=""11""></i>עקבה טמאה וכן אם נמצא על כל אורך שוקה ופרסותיה מבפנים <i data-commentator=""Beur HaGra"" data-order=""22""></i>והם המקומות הנדבקים זה בזה בעת שתעמוד <i data-commentator=""Torat HaShlamim"" data-order=""15""></i>ותדבק רגל ברגל ושוק בשוק וכן אם נמצא על ראש גודל רגליה <i data-commentator=""Turei Zahav"" data-order=""11""></i><i data-commentator=""Siftei Kohen"" data-order=""17""></i><i data-commentator=""Torat HaShlamim"" data-order=""16""></i><small>(וכ""ש על <i data-commentator=""Ba'er Hetev"" data-order=""12""></i>רגליה ממש) (ב""י בשם רשב""א) </small>וכן <i data-commentator=""Siftei Kohen"" data-order=""18""></i><i data-commentator=""Be'er HaGolah"" data-order=""28""></i>אם נמצא על ידיה אפילו על קשרי אצבעותיה שהידים עסקניות הן <i data-commentator=""Ba'er Hetev"" data-order=""13""></i><i data-commentator=""Pithei Teshuva"" data-order=""23""></i>ושמא נגעו באותו מקום <i data-commentator=""Siftei Kohen"" data-order=""19""></i>אבל אם נמצא על שוקיה ועל פרסותיה מצד חוץ או אפילו מהצדדין <i data-commentator=""Beur HaGra"" data-order=""23""></i><i data-commentator=""Be'er HaGolah"" data-order=""29""></i>ואצ""ל <i data-commentator=""Turei Zahav"" data-order=""12""></i>למעלה מאותו מקום <i data-commentator=""Ba'er Hetev"" data-order=""14""></i>טהורה <i data-commentator=""Torat HaShlamim"" data-order=""17""></i><i data-commentator=""Be'er HaGolah"" data-order=""30""></i>ואם יודעת <i data-commentator=""Siftei Kohen"" data-order=""20""></i>שנזדקרה והגביהה רגליה למעלה טמאה בכ""מ שתמצאנו אפי' למעלה <i data-commentator=""Siftei Kohen"" data-order=""21""></i><i data-commentator=""Ba'er Hetev"" data-order=""15""></i>מהחגור בין מלפניה בין מלאחריה <i data-commentator=""Beur HaGra"" data-order=""24""></i>אפילו עברה בשוק של טבחים או נתעסקה בכתמים <i data-commentator=""Be'er HaGolah"" data-order=""31""></i>ודוקא כשנמצא על בשרה לבד אבל אם נמצא <i data-commentator=""Turei Zahav"" data-order=""13""></i>על בשרה <i data-commentator=""Pithei Teshuva"" data-order=""24""></i>וגם על <i data-commentator=""Ba'er Hetev"" data-order=""16""></i>חלוקה אם עברה בשוק של טבחים או נתעסקה בכתמים תולה בו בין שנמצא למטה מהחגור או שהגביהה רגליה ונמצא למעלה מהחגור <small>(הרמב""ן ורשב""א) </small>בד""א <i data-commentator=""Siftei Kohen"" data-order=""22""></i>שכשנמצא הכתם על בשרה בלבד אינה תולה כשאין לה לתלות אלא בעסק הכתמים או בשוק של טבחים <i data-commentator=""Turei Zahav"" data-order=""14""></i><i data-commentator=""Siftei Kohen"" data-order=""23""></i><i data-commentator=""Torat HaShlamim"" data-order=""18""></i><i data-commentator=""Be'er HaGolah"" data-order=""32""></i>אבל אם יש <i data-commentator=""Ba'er Hetev"" data-order=""17""></i><i data-commentator=""Pithei Teshuva"" data-order=""25""></i>מכה בגופה שיכולה לתלות בה שאפשר שיבא הדם ממנה תולה בה וטהור' <i data-commentator=""Turei Zahav"" data-order=""15""></i><i data-commentator=""Torat HaShlamim"" data-order=""19""></i><i data-commentator=""Beur HaGra"" data-order=""25""></i>ואם המכה <i data-commentator=""Ba'er Hetev"" data-order=""18""></i>בכתפה והכתם על יריכה במקום שאי אפשר לבא מהמכה טמאה:"
"Shulchan Arukh, Yoreh De'ah 190:12","<i data-commentator=""Be'er HaGolah"" data-order=""33""></i>נמצא הכתם <i data-commentator=""Pithei Teshuva"" data-order=""26""></i>על <i data-commentator=""Ba'er Hetev"" data-order=""19""></i>חלוקה למטה מהחגור <i data-commentator=""Be'er HaGolah"" data-order=""34""></i>או במקום החגור עצמו טמאה <i data-commentator=""Be'er HaGolah"" data-order=""35""></i>אפי' נמצא לצד חוץ <small>(ואין חילוק בין נמצא בחלוק לפניה או מאחריה או מן הצדדין מפני שהבגדים חוזרין הנה והנה) (ב""י בשם הראב""ד בס' בע""הנ ורשב""א בת""ה) </small>ואם <i data-commentator=""Be'er HaGolah"" data-order=""36""></i>עברה בשוק של טבחים טהורה <i data-commentator=""Be'er HaGolah"" data-order=""37""></i>אפילו נמצא לצד פנים <i data-commentator=""Siftei Kohen"" data-order=""24""></i>ועל בשרה <i data-commentator=""Be'er HaGolah"" data-order=""38""></i>ואם נמצא על חלוקה בלבד <i data-commentator=""Siftei Kohen"" data-order=""25""></i><i data-commentator=""Pithei Teshuva"" data-order=""27""></i>מהחגור ולמעלה טהורה אפילו נזדקרה והגביהה רגליה <i data-commentator=""Siftei Kohen"" data-order=""26""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""12""></i>ואפילו לא עברה בשוק של טבחים <i data-commentator=""Siftei Kohen"" data-order=""27""></i>שאילו בא מן המקור היה נמצא על בשרה:"
"Shulchan Arukh, Yoreh De'ah 190:13","<i data-commentator=""Be'er HaGolah"" data-order=""39""></i>נמצא על <i data-commentator=""Siftei Kohen"" data-order=""28""></i><i data-commentator=""Ba'er Hetev"" data-order=""20""></i>בית יד של חלוקה אם המקום שנמצא בו הדם בבית יד מגיע עד בית תורפה טמאה <i data-commentator=""Be'er HaGolah"" data-order=""40""></i>אפי' אינה יכולה להגיע שם אא""כ תשחה הרבה <i data-commentator=""Pithei Teshuva"" data-order=""28""></i>ואם אינה יכולה ליגע שם כלל <i data-commentator=""Be'er HaGolah"" data-label=""(°)"" data-order=""40""></i>טהורה:"
"Shulchan Arukh, Yoreh De'ah 190:14","<i data-commentator=""Be'er HaGolah"" data-order=""41""></i>היתה פושטתו ומתכסה בו בלילה בכל מקום שימצא בו טמאה מפני שהוא <small>(חוזר) </small>הילך והילך וכן הדין אם נמצא במעפורת <i data-commentator=""Beur HaGra"" data-order=""26""></i>שמכסה ראשה <i data-commentator=""Beur HaGra"" data-order=""27""></i>או שחוגרת בו <small>(רמב""ם) </small><i data-commentator=""Be'er HaGolah"" data-order=""42""></i>ואם קשרה בו ראשה היטב וכשנעורה גם כן מצאתו קשור יפה אינה חוששת:"
"Shulchan Arukh, Yoreh De'ah 190:15","<i data-commentator=""Beur HaGra"" data-order=""28""></i><i data-commentator=""Be'er HaGolah"" data-order=""43""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""13""></i>שתי נשים שכיסו ראשן בחלוק א' <i data-commentator=""Torat HaShlamim"" data-order=""20""></i>שתיהן טמאות ואם אחת כיסתה והאחרת לא כיסתה אף על פי ששתיהן לבשו החלוק ונמצא הכתם למעלה מהחגור אותה שכיסתה טמאה והאחרת טהורה:"
"Shulchan Arukh, Yoreh De'ah 190:16","<i data-commentator=""Torat HaShlamim"" data-order=""21""></i><i data-commentator=""Beur HaGra"" data-order=""29""></i><i data-commentator=""Be'er HaGolah"" data-order=""44""></i>אם יש לה מכה <i data-commentator=""Siftei Kohen"" data-order=""29""></i><i data-commentator=""Ba'er Hetev"" data-order=""21""></i>בצוארה ונמצא הכתם בחלוק אפילו למטה מהחגור שאי אפשר ליגע שם מהמכה אם פושטתו ומתכסה בו תולה במכתה שאני אומר נתהפך ובא לו שם:"
"Shulchan Arukh, Yoreh De'ah 190:17","<i data-commentator=""Beur HaGra"" data-order=""30""></i><i data-commentator=""Be'er HaGolah"" data-order=""45""></i>מצאה כתם למעלה מהחגור וכתם למטה ממנו <i data-commentator=""Siftei Kohen"" data-order=""30""></i><i data-commentator=""Torat HaShlamim"" data-order=""22""></i>ויודעת שלא <i data-commentator=""Ba'er Hetev"" data-order=""22""></i>נזדקרה טהורה <i data-commentator=""Pithei Teshuva"" data-order=""29""></i>שאני אומר <i data-commentator=""Pithei Teshuva"" data-order=""30""></i>כמו שהעליון בא מעלמא כך בא התחתון <i data-commentator=""Be'er HaGolah"" data-order=""46""></i>בד""א כשיש בעליון כגריס ועוד או יותר שודאי מעלמא בא שהרי אין לתלותו בכנה <i data-commentator=""Siftei Kohen"" data-order=""31""></i>אבל אם אין בו כגריס ועוד אין תולין אותו מעלמא דשמא דם כנה הוא ואם יש בתחתון כגריס ועוד שאין לתלות בכנה <i data-commentator=""Be'er HaGolah"" data-label=""(°)"" data-order=""46""></i>טמאה:"
