Old	New	Hebrew
13. Synagogue, Dormitory, and Yeshiva	13. Synagogue, Dormitory, and Yeshiva	י"ג – בית כנסת, פנימיות וישיבות
14. Ĥametz Buried under a Pile of Dirt and the Question of Searching a Storeroom	14. Hametz Buried under a Pile of Dirt and the Question of Searching a Storeroom	י"ד – חמץ תחת מפולת ואם צריך לבדוק מחסן
5 - Bitul and Bi’ur Ĥametz	5. Bitul and Bi'ur Hametz	ה - ביטול חמץ וביעורו
1. Bitul Ĥametz in the Evening and Morning	1. Bitul Hametz in the Evening and Morning	א – ביטול החמץ בלילה וביום
2. The Significance of Bitul Ĥametz	2. The Significance of Bitul Hametz	ב – משמעות ביטול החמץ
3. Laws Regarding Bitul Ĥametz	3. Laws Regarding Bitul Hametz	ג – דיני ביטול החמץ
4. The Custom of Bi’ur Ĥametz by Burning	4. The Custom of Bi'ur Hametz by Burning	ד – מנהג ביעור החמץ בשריפה
5. Ĥametz in the Garbage	5. Hametz in the Garbage	ה – חמץ שבאשפה
6. Ĥametz Found after the Onset of the Prohibition	6. Hametz Found after the Onset of the Prohibition	ו – חמץ שנמצא אחר תחילת זמן האיסור
6 - Mekhirat Ĥametz – the Sale of Ĥametz	6. Mekhirat Hametz. the Sale of Hametz	ו - מכירת חמץ
1. Sparing Ĥametz from Destruction by Selling It to a Gentile	1. Sparing Hametz from Destruction by Selling It to a Gentile	א – הצלת החמץ מאיבוד על ידי מכירתו לגוי
2. How the Practice of Selling Ĥametz Spread	2. How the Practice of Selling Hametz Spread	ב – התפשטות מנהג מכירת החמץ
3. For Whom Is the Ĥametz Sale Intended Today?	3. For Whom Is the Hametz Sale Intended Today?	ג – למי נועדה כיום מכירת חמץ
4. The Laws of the Sale	4. The Laws of the Sale	ד – דיני המכירה
5. The Deadline for Selling Ĥametz and the Status of One Visiting Israel or Abroad	5. The Deadline for Selling Hametz and the Status of One Visiting Israel or Abroad	ה – סוף זמן מכירה ודין בן חו"ל
6. Ĥametz That Was Sold – Its Status after Pesaĥ	6. Hametz That Was Sold. Its Status after Pesah	ו – החמץ שנמכר – דינו אחר הפסח
7 - Ĥametz Mixtures	7. Hametz Mixtures	ז - תערובת חמץ
1. Even a Drop of Ĥametz Renders Food Forbidden	1. Even a Drop of Hametz Renders Food Forbidden	א – חמץ בפסח אוסר את תערובתו בכלשהו
2. Can a Mixture Containing a Drop of Ĥametz Be Salvaged?	2. Can a Mixture Containing a Drop of Hametz Be Salvaged?	ב – האם אפשר להציל תערובת שיש בה כלשהו חמץ
3. Can Ĥametz That Was Nullified before Pesaĥ Regain Its Status (“Ĥozer Ve-ne’or”) on Pesaĥ?	3. Can Hametz That Was Nullified before Pesah Regain Its Status ("Hozer Ve'ne'or") on Pesah?	ג – האם חמץ שנתבטל לפני פסח "חוזר וניעור" בפסח
4. Ĥozer Ve-ne’or in Practice	4. Hozer Ve'ne'or in Practice	ד – הלכה למעשה בדין "חוזר וניעור"
5. Does Ĥametz That Imparts Foul Taste (“Noten Ta’am Li-fgam”) Render a Mixture Forbidden?	5. Does Hametz That Imparts Foul Taste ("Noten Ta'am Li'fgam") Render a Mixture Forbidden?	ה – האם חמץ שנותן טעם פגום אוסר תערובתו
6. The Torah Law Concerning Ĥametz Mixtures	6. The Torah Law Concerning Hametz Mixtures	ו – דין אכילת תערובת חמץ והשהייתה בפסח
8 - Pesaĥ Kashrut	8. Pesah Kashrut	ח - מהלכות כשרות לפסח
1. Matza Ashira (“Egg Matza”)	1. Matza Ashira ("Egg Matza")	א – מצה עשירה – לישה במי פירות
2. Becoming Ĥametz Once It Has Been Baked, and the Status of Matza Sheruya (Soaked Matza; “Gebrokts”)	2. Becoming Hametz Once It Has Been Baked, and the Status of Matza Sheruya (Soaked Matza; "Gebrokts")	ב – אין החמצה אחר אפיה, ודין מצה שרויה
3. Sephardic and Ashkenazic Approaches to Keeping Kosher on Pesaĥ	3. Sephardic and Ashkenazic Approaches to Keeping Kosher on Pesah	ג – כללי כשרות לפסח, שיטת הספרדים והאשכנזים
4. Principles of Kosher Supervision on Pesaĥ	4. Principles of Kosher Supervision on Pesah	ד – כללי ההשגחה לפסח
5. Milk from an Animal That Ate Ĥametz	5. Milk from an Animal That Ate Hametz	ה – חלב מבהמה שאוכלת חמץ
6. Meat and Eggs	6. Meat and Eggs	ו – בשר וביצים
7. Medicines on Pesaĥ	7. Medicines on Pesah	ז – תרופות בפסח
8. Citric Acid	8. Citric Acid	ח – חומצת לימון
9. Soaps and Cosmetics	9. Soaps and Cosmetics	ט – סבונים וקוסמטיקה
9 - Kitniyot	9. Kitniyot	ט - מנהג איסור קטניות
1. The Origins of the Ashkenazic Custom	1. The Origins of the Ashkenazic Custom	א – שורשי מנהג אשכנז
2. The Sephardic Custom	2. The Sephardic Custom	ב – מנהג הספרדים בקטניות ובאורז
3. Spouses from Different Communities	3. Spouses from Different Communities	ג – בני זוג מעדות שונות
4. Prohibited Species	4. Prohibited Species	ד – המינים הכלולים באיסור
5. Rules Governing This Custom	5. Rules Governing This Custom	ה – דיני המנהג
6. Kitniyot That Never Touched Water and Kitniyot Oils	6. Kitniyot That Never Touched Water and Kitniyot Oils	ו – קטניות שלא נגעו במים, ושמני קטניות
7. Extenuating Circumstances, the Sick, and Babies	7. Extenuating Circumstances, the Sick, and Babies	ז – בשעת הצורך לחולים וקטנים
10 - The Principles of Hagalat Kelim	10. The Principles of Hagalat Kelim	י - כללי הגעלת כלים
1. When Does Taste Absorbed into Utensils Render Their Contents Forbidden?	1. When Does Taste Absorbed into Utensils Render Their Contents Forbidden?	א – דין הטעם הבלוע בכלים, מתי אוסר?
2. Ĥametz Utensils on Pesaĥ	2. Hametz Utensils on Pesah	ב – דין כלי חמץ בפסח
3. Releasing through the Same Method as Absorption (“Ke-bole’o Kakh Polto”): Hagala and Heavy Libun	3. Releasing through the Same Method as Absorption ("Ke'bole'o Kakh Polto"): Hagala and Heavy Libun	ג – כבולעו כך פולטו – הגעלה וליבון חמור
4. Defining the Difference between Absorption through Liquid and Absorption through Fire: the Status of a Frying Pan	4. Defining the Difference between Absorption through Liquid and Absorption through Fire: The Status of a Frying Pan	ד – גדר ההבדל בין בליעה באור לנוזלים, ודין מחבת
5. Heavy and Light Libun: Does Temperature Affect Absorption?	5. Heavy and Light Libun: Does Temperature Affect Absorption?	ה – ליבון חמור וליבון קל (האם מתחשבים ברמת החום בבליעה)
6. Koshering Vessels That Absorbed Ĥametz Prior to the Onset of the Prohibition	6. Koshering Vessels That Absorbed Hametz Prior to the Onset of the Prohibition	ו – היתרא בלע – הכשרה לפסח
7. Utensils Likely to Be Damaged by Libun; Baking Trays	7. Utensils Likely to Be Damaged by Libun; Baking Trays	ז – כלים שעלולים להינזק בליבון ודין תבניות
8. The Principles of Hagala	8. The Principles of Hagala	ח – כללי ההגעלה
9. What Determines the Type of Hagala: Main Use or Most Intense Absorption?	9. What Determines the Type of Hagala: Main Use or Most Intense Absorption?	ט – אם הולכים אחר הבליעה החמורה או רוב תשמישו
10. Cleaning and Preparing Utensils for Hagala	10. Cleaning and Preparing Utensils for Hagala	י – ניקוי הכלים והכנתם להגעלה
11. The Reason to Wait Twenty-Four Hours before Hagala	11. The Reason to Wait Twenty Four Hours before Hagala	י"א – טעם ההמתנה עשרים וארבע שעות לפני ההגעלה
12. Hagala in Practice	12. Hagala in Practice	י"ב – הגעלת הכלים בפועל
13. Koshering Pots via Hagala	13. Koshering Pots via Hagala	י"ג – הגעלת סירים
14. Absorption through Pickling (“Kvisha”) and Its Koshering	14. Absorption through Pickling ("Kvisha") and Its Koshering	י"ד – בליעה בכבוש והכשרתו
11 - Koshering the Kitchen	11. Koshering the Kitchen	י"א - הכשרת המטבח לפסח
1. Countertops	1. Countertops	א – שיש
2. The Sink	2. The Sink	ב – כיור
3. Grates, Burners, and Stovetops	3. Grates, Burners, and Stovetops	ג – חצובה של כיריים גז, כיריים חשמליות וקרמיות
4. Ovens	4. Ovens	ד – תנור אפייה
5. Warming Trays (Shabbat “Plata”s)	5. Warming Trays (Shabbat "Plata"s)	ה – פלטה של שבת
6. Microwave Ovens	6. Microwave Ovens	ו – מיקרו גל
7. Dishwashers	7. Dishwashers	ז – מדיח כלים
8. The Dining Table	8. The Dining Table	ח – שולחן האוכל
9. The Refrigerator and Kitchen Cabinets	9. The Refrigerator and Kitchen Cabinets	ט – מקרר וארונות מטבח
10. Pots, Skillets, Silverware, and (Non-Earthenware) Bowls	10. Pots, Skillets, Silverware, and (Non Earthenware) Bowls	י – סירים מחבתות קערות (שאינן מחרס) וסכו"ם
11. Blenders and Mixers	11. Blenders and Mixers	י"א – בלנדר ומיקסר
12. Other Utensils	12. Other Utensils	י"ב – כלים שונים
13. Earthenware and Porcelain Utensils	13. Earthenware and Porcelain Utensils	י"ג – כלי חרס ופורצלאן
14. Glassware	14. Glassware	י"ד – כלי זכוכית
15. Enamel Utensils	15. Enamel Utensils	ט"ו – כלי אמייל
16. Plastic Utensils	16. Plastic Utensils	ט"ז – כלי פלסטיק
12 - The Laws of Matza	12. The Laws of Matza	י"ב - הלכות מצה
1. The Mitzva of Eating Matza	1. The Mitzva of Eating Matza	א – מצוות אכילת מצה
2. Shmura Matza	2. Shmura Matza	ב – מצה שמורה
3. Does the Guarding Have to Be with the Intent to Fulfill a Mitzva?	3. Does the Guarding Have to Be with the Intent to Fulfill a Mitzva?	ג – האם השמירה צריכה כוונה לשם מצווה
4. Handmade versus Machine-Made Matza at the Seder	4. Handmade versus Machine Made Matza at the Seder	ד – כשרות מצות יד ומצות מכונה למצוות אכילת מצה
5. Is There Value in Eating Handmade Matzot All Pesaĥ?	5. Is There Value in Eating Handmade Matzot All Pesah?	ה – האם ראוי לאכול בכל הפסח מצות שמורות
6. Water That Has Stayed Overnight	6. Water That Has Stayed Overnight	ו – מים שלנו
7. Preventing Leavening during Kneading	7. Preventing Leavening during Kneading	ז – שמירה מחימוץ בעת הלישה
8. More Laws about Matza	8. More Laws about Matza	ח – דינים נוספים במצות
13 - The Laws and Customs of Erev Pesaĥ	13. The Laws and Customs of Erev Pesah	י"ג - הלכות ערב פסח ומנהגיו
1. The Prohibition against Work (Melakha) on Erev Pesaĥ	1. The Prohibition against Work (Melakha) on Erev Pesah	א – איסור עשיית מלאכה בערב פסח
2. Which Melakhot Are Forbidden?	2. Which Melakhot Are Forbidden?	ב – איזו מלאכה אסורה
3. Ta’anit Bekhorot – the Fast of the Firstborns	3. Ta'anit Bekhorot. the Fast of the Firstborns	ג – תענית בכורות
4. Who Is Included in the Custom to Fast?	4. Who Is Included in the Custom to Fast?	ד – על מי מנהג הצום
5. The Custom to Rely on a Siyum Masekhet	5. The Custom to Rely on a Siyum Masekhet	ה – המנהג לסמוך על סיום מסכת
6. The Prohibition on Eating Matza on Erev Pesaĥ	6. The Prohibition on Eating Matza on Erev Pesah	ו – איסור אכילת מצה ביום י"ד
7. Summary: What Can Be Eaten on Erev Pesaĥ	7. Summary: What Can Be Eaten on Erev Pesah	ז – סיכום המאכלים שמותר לאכול בערב פסח
8. Baking Matza and Reciting Seder Korban Pesaĥ	8. Baking Matza and Reciting Seder Korban Pesah	ח – אפיית מצות ואמירת קרבן פסח
14 - When Erev Pesaĥ Falls on Shabbat	14. When Erev Pesah Falls on Shabbat	י"ד - ערב פסח שחל בשבת
1. Bi’ur Ĥametz and Shabbat Meals	1. Bi'ur Hametz and Shabbat Meals	א – סדר ביעור החמץ ושלוש הסעודות
2. Additional Laws	2. Additional Laws	ב – עוד דינים
15 - The Hagada	15. The Hagada	ט"ו - ההגדה
1. “Tell your Child”	1. "Tell your Child"	א – והגדת לבנך
2. The Mitzva to Tell the Exodus Story on Pesaĥ Night	2. The Mitzva to Tell the Exodus Story on Pesah Night	ב – המצווה לספר ביציאת מצרים בליל פסח
3. The Mitzva to Begin the Seder with a Question	3. The Mitzva to Begin the Seder with a Question	ג – המצווה לפתוח את הסדר בשאלה
4. The Text of “Ma Nishtana”	4. The Text of "Ma Nishtana"	ד – נוסח "מה נשתנה"
5. The Torah Speaks of Four Children	5. The Torah Speaks of Four Children	ה – כנגד ארבעה בנים דברה תורה
6. The Main Message of the Hagada	6. The Main Message of the Hagada	ו – המסר המרכזי של ההגדה
7. From Indignity to Praise	7. From Indignity to Praise	ז – פותחים בגנות ומסיימים בשבח
8. The Meaning of the Ten Plagues	8. The Meaning of the Ten Plagues	ח – משמעות עשר המכות
9. Pesaĥ, Matza, and Maror	9. Pesah, Matza, and Maror	ט – פסח מצה ומרור
16 - Seder Night	16. Seder Night	ט"ז - ליל הסדר
1. Introduction	1. Introduction	א – הקדמה
2. Preparing for the Seder	2. Preparing for the Seder	ב – ההכנות לסדר
3. The Seder Plate	3. The Seder Plate	ג – הקערה
4. Arranging the Seder Plate	4. Arranging the Seder Plate	ד – סידור הקערה
5. Kadesh – Kiddush	5. Kadesh. Kiddush	ה – קדש – קידוש
6. The Four Cups	6. The Four Cups	ו – ארבע כוסות
7. The Wine	7. The Wine	ז – היין
8. The Amount of Wine and Cup Size	8. The Amount of Wine and Cup Size	ח – שיעור היין והכוס
9. How Much Wine?	9. How Much Wine?	ט – שיעור השתייה
10. The Mitzva of Reclining	10. The Mitzva of Reclining	י – מצוות הסבה
11. How to Recline	11. How to Recline	י"א – כיצד מסבים
12. If One Forgets To Recline	12. If One Forgets To Recline	י"ב – דין מי ששכח להסב
13. May One Drink after the First Cup?	13. May One Drink after the First Cup?	י"ג – האם מותר לאכול או לשתות אחר כוס ראשונה?
14. Raĥatz – Washing Hands before Eating Karpas	14. Rahatz. Washing Hands before Eating Karpas	י"ד – רחץ – נטילת ידיים לפני אכילת הכרפס
15. Karpas	15. Karpas	ט"ו – כרפס
16. Yaĥatz – Breaking the Middle Matza	16. Yahatz. Breaking the Middle Matza	ט"ז – יחץ – חציית המצה האמצעית
17. Magid – Beginning the Hagada	17. Magid. Beginning the Hagada	י"ז – מגיד – פתיחת ההגדה
18. Laws of Reciting the Hagada	18. Laws of Reciting the Hagada	י"ח – דיני אמירת ההגדה
19. Customs Regarding the Recitation of the Hagada	19. Customs Regarding the Recitation of the Hagada	י"ט – מנהגי אמירת ההגדה
20. The Mitzva to Recite Hallel on the Seder Night	20. The Mitzva to Recite Hallel on the Seder Night	כ – מצוות אמירת ההלל בליל הסדר
21. The Laws of the Second and Fourth Cups	21. The Laws of the Second and Fourth Cups	כא – כוס שנייה – לשו"ע לא יברך ולרמ"א יברך
22. The Mitzva to Eat Matza	22. The Mitzva to Eat Matza	כ"ב – מצוות אכילת מצה
23. Calculating the Size of a Kezayit for Torah Commandments	23. Calculating the Size of a Kezayit for Torah Commandments	כ"ג – חשבון שיעור כזית לקיום המצווה מהתורה
24. The Sephardic Custom Regarding a Kezayit	24. The Sephardic Custom Regarding a Kezayit	כ"ד – מנהג ספרדים בשיעור כזית
25. How Much Is a Shi’ur Akhilat Pras?	25. How Much Is a Shi'ur Akhilat Pras?	כ"ה – שיעור אכילת פרס
26. How the Matza Is Eaten	26. How the Matza Is Eaten	כ"ו – סדר אכילת המצה
27. The Mitzva to Eat Maror	27. The Mitzva to Eat Maror	כ"ז – מצוות אכילת מרור
28. Korekh	28. Korekh	כ"ח – כורך
29. Those Who Have Difficulty Eating Matza	29. Those Who Have Difficulty Eating Matza	כ"ט – המתקשים לאכול שיעורי המצות
30. Those Exempt from Matza and Maror	30. Those Exempt from Matza and Maror	ל – איזה חולה פטור מאכילת מצה ומרור
31. The Time for Eating the Matza, Maror, and Afikoman	31. The Time for Eating the Matza, Maror, and Afikoman	ל"א – זמן אכילת המצה המרור והאפיקומן
32. Meal Customs: Roasted Foods, Eggs	32. Meal Customs: Roasted Foods, Eggs	ל"ב – מנהגי הסעודה – צלי, ביצים
33. Tzafun – the Afikoman	33. Tzafun. the Afikoman	ל"ג – צפון – אפיקומן
34. The Afikoman: Two Reasons, Two Kezeytim	34. The Afikoman: Two Reasons, Two Kezeytim	ל"ד – שני טעמים לאכילת האפיקומן – שני זיתים.
35. Hallel, the Great Hallel, and the Concluding Berakha	35. Hallel, the Great Hallel, and the Concluding Berakha	ל"ה – אמירת הלל והלל הגדול וברכת השיר
36. The Fifth Cup – Eliyahu’s Cup	36. The Fifth Cup. Eliyahu's Cup	ל"ו – כוס חמישית – כוס של אליהו
37. Drinking Coffee or Juice after the Seder	37. Drinking Coffee or Juice after the Seder	ל"ז – האם מותר לשתות קפה או מיץ אחר סיום הסדר?
38. Recounting the Exodus and Studying the Laws of Pesaĥ All Night	38. Recounting the Exodus and Studying the Laws of Pesah All Night	ל"ח – מצווה לספר וללמוד את ההלכות כל הלילה
01 - Rosh Ĥodesh	01. Rosh Hodesh	א - ראש חודש
1 – The Jewish Month	1. The Jewish Month	א – החודש העברי
2 – The Authority to Fix the Months was Entrusted to Israel	2. The Authority to Fix the Months was Entrusted to Israel	ב – הסמכות לקביעת החודשים ניתנה לישראל
3 – The History of the Sanctification of the Moon	3. The History of the Sanctification of the Moon	ג – תולדות קידוש החודשים
4 – Rosh Chodesh – One Day or Two?	4. Rosh Chodesh. One Day or Two?	ד – אימתי ראש חודש יום אחד ואימתי יומיים
5 – The Status of Rosh Chodesh in the Torah	5. The Status of Rosh Chodesh in the Torah	ה – מעמדו של ראש חודש בתורה
6 – Festive Meals on Rosh Chodesh and the Prohibition to Fast or Grieve	6. Festive Meals on Rosh Chodesh and the Prohibition to Fast or Grieve	ו – שמחה וסעודת ראש חודש ואיסור תענית וצער
7 – The Custom of Women Refraining from Work on Rosh Chodesh	7. The Custom of Women Refraining from Work on Rosh Chodesh	ז – מנהג נשים בהימנעות ממלאכה בראש חודש
8 – Shabbat Mevarchim (Blessing the New Month)	8. Shabbat Mevarchim (Blessing the New Month)	ח – שבת מברכים
2 - The Laws of Counting the Omer	2. The Laws of Counting the Omer	ב - הלכות ספירת העומר
1 – The Mitzvah and its Meaning	1. The Mitzvah and its Meaning	א – מצוות הספירה ומשמעותה
2 – The Process of Ascension from Nationalism to Spirituality	2. The Process of Ascension from Nationalism to Spirituality	ב – תהליך העלייה מהלאומיות לרוחניות
3 – The Mechanics of Counting	3. The Mechanics of Counting	ג – נוסח הספירה
4 – The Status of the Mitzvah after the Temple’s Destruction	4. The Status of the Mitzvah after the Temple's Destruction	ד – מעמד המצווה לאחר החורבן
5 – When to Count	5. When to Count	ה – זמן הספירה
6 – Until When Can One Count?	6. Until When Can One Count?	ו – עד מתי אפשר לספור
7 – One Who forgets to Count an Entire Day	7. One Who forgets to Count an Entire Day	ז – דין השוכח לספור יום אחד
8 – When in Doubt, Continue Counting with a Blessing	8. When in Doubt, Continue Counting with a Blessing	ח – בכל הספקות ממשיך לספור בברכה
9 – Women and the Omer Count	9. Women and the Omer Count	ט – נשים בספירת העומר
10 – Specific Laws Regarding the Mitzvah of Counting	10. Specific Laws Regarding the Mitzvah of Counting	י – פרטי דינים במצוות הספירה
3 - Customs of Mourning During the Omer Period	3. Customs of Mourning During the Omer Period	ג - מנהגי אבלות בספירת העומר
1 – The Reason for These Customs	1. The Reason for These Customs	א – טעם מנהגי האבלות שבספירת העומר
2 – The Duration of the Mourning Period	2. The Duration of the Mourning Period	ב – זמני מנהגי האבלות
3 – The Sefardi Practice	3. The Sefardi Practice	ג – מנהג יוצאי ספרד
4 – The Ashkenazi Practice	4. The Ashkenazi Practice	ד – מנהג יוצאי אשכנז
5 – Weddings and Engagements During the Omer Peeriod	5. Weddings and Engagements During the Omer Peeriod	ה – נישואין ואירוסין בימי ספירת העומר
6 – Haircuts	6. Haircuts	ו – תספורת
7 – Shaving	7. Shaving	ז – גילוח
8 – Dancing and Musical Instruments	8. Dancing and Musical Instruments	ח – ריקודים וכלי זמר
9 – Circumcisions, Torah Processions, and Bar Mitzvahs	9. Circumcisions, Torah Processions, and Bar Mitzvahs	ט – ברית מילה, הכנסת ספר תורה ובר מצווה
10 – Listening to Music on Electronic Devices	10. Listening to Music on Electronic Devices	י – שמיעת מוזיקה ממכשיר חשמל ביתי
11 – SheHechiyanu	11. SheHechiyanu	יא – שהחיינו
12 – Brief Summary of the Joyous Days of the Omer Period	12. Brief Summary of the Joyous Days of the Omer Period	יב – סיכום קצר לימי שמחה שבתוך ספירת העומר
4 - Yom HaAtzmaut, Yom Yerushalayim, Yom HaZikaron	4. Yom HaAtzmaut, Yom Yerushalayim, Yom HaZikaron	ד - יום העצמאות
1 – The Mitzvah of Settling the Land of Israel	1. The Mitzvah of Settling the Land of Israel	א – מצוות ישוב הארץ
2 – The Beginning of Redemption and Sanctifying God’s Name	2. The Beginning of Redemption and Sanctifying God's Name	ב – אתחלתא דגאולה וקידוש ה'
3 – Salvation of Israel	3. Salvation of Israel	ג – הצלת ישראל
4 – The Three Oaths	4. The Three Oaths	ד – שלוש השבועות
5 – Establishing Yom HaAtzmaut as a Lasting Holiday	5. Establishing Yom HaAtzmaut as a Lasting Holiday	ה – קביעת יום טוב לדורות ביום העצמאות
6 – The Recitation of Hallel	6. The Recitation of Hallel	ו – אמירת הלל
7 – Hallel With or Without a Blessing?	7. Hallel With or Without a Blessing?	ז – האם לומר הלל בברכה
8 – SheHechiyanu and Hallel at Night	8. SheHechiyanu and Hallel at Night	ח – שהחיינו והלל בלילה
9 – The Different Dates of Yom HaAtzmaut	9. The Different Dates of Yom HaAtzmaut	ט – ברוב המקרים יום העצמאות נדחה
10 – Yom Yerushalayim	10. Yom Yerushalayim	י – יום ירושלים
11 – Shaving, Haircuts, Weddings, and Tachanun	11. Shaving, Haircuts, Weddings, and Tachanun	יא – גילוח, תספורת, נישואין ותחנון
12 – Yom HaZikaron (Memorial Day) for the Fallen Soldiers of Tzahal	12. Yom HaZikaron (Memorial Day) for the Fallen Soldiers of Tzahal	יב – יום הזיכרון לחיילי צה"ל
13 – The Siren and Standing Silently on Yom HaZikaron	13. The Siren and Standing Silently on Yom HaZikaron	יג – צפירה ודומיה ביום הזיכרון לחללי צה"ל
14 – Holocaust Remembrance Day	14. Holocaust Remembrance Day	יד – יום הזיכרון לשואה ולגבורה
5 - Lag B’Omer	5. Lag B'Omer	ה - ל"ג בעומר
01 – The Thirty-Third Day of the Omer	01. The Thirty Third Day of the Omer	א – ל"ג בעומר
02 – The Hillula of R. Shimon bar Yochai (“Rashbi”)	02. The Hillula of R. Shimon bar Yochai ("Rashbi")	ב – הילולת רשב"י
03 – R. Shimon bar Yochai’s Character	03. R. Shimon bar Yochai's Character	ג – אישיותו של רשב"י
04 – Rabbi Akiva	04. Rabbi Akiva	ד – רבי עקיבא
05 – Bonfires on Lag B’Omer	05. Bonfires on Lag B'Omer	ה – מדורות ושמחת ל"ג בעומר
06 – The Chalekah or Upsherin Custom: Cutting the Hair of Young Boys	06. The Chalekah or Upsherin Custom: Cutting the Hair of Young Boys	ו – מנהג תספורת הקטנים – 'חלקה'
07 – Throwing Clothes into the Fire and Praying at the Gravesites of Tzaddikim	07. Throwing Clothes into the Fire and Praying at the Gravesites of Tzaddikim	ז – השלכת בגדים למדורה ותפילה ליד קברי צדיקים
6 - The Four Fasts Commemorating the Churban	6. The Four Fasts Commemorating the Churban	ו - ארבעת צומות החורבן
1 – Instituting the Fasts	1. Instituting the Fasts	א – תקנת הצומות
2 – The Tenth of Tevet	2. The Tenth of Tevet	ב – עשרה בטבת
3 – The Seventeenth of Tammuz	3. The Seventeenth of Tammuz	ג – שבעה עשר בתמוז
4 – The Ninth of Av (Tish’a B’Av)	4. The Ninth of Av (Tish'a B'Av)	ד – תשעה באב
5 – The Fast of Gedalyah (Tzom Gedalyah)	5. The Fast of Gedalyah (Tzom Gedalyah)	ה – צום גדליה
7 - The Laws of the Minor Fasts	7. The Laws of the Minor Fasts	ז - דיני הצומות הקלים
1 – The Current Status of the Minor Fasts	1. The Current Status of the Minor Fasts	א – מעמד הצומות בימינו
2 – The Laws of the Minor Fasts	2. The Laws of the Minor Fasts	ב – דין הצומות הקלים
3 – The Duration of the Minor Fasts	3. The Duration of the Minor Fasts	ג – זמן הצומות הקלים
4 – May One Eat and Drink if He Arises Before Daybreak?	4. May One Eat and Drink if He Arises Before Daybreak?	ד – האם הקם לפני עלות השחר רשאי לאכול ולשתות
5 – Rinsing One’s Mouth	5. Rinsing One's Mouth	ה – שטיפת הפה
6 – One Who Forgets it’s a Fast Day	6. One Who Forgets it's a Fast Day	ו – שכח שהוא צום
7 – The Infirm are Exempt from Fasting	7. The Infirm are Exempt from Fasting	ז – חולים פטורים מהצום
8 – Pregnant and Nursing Women on Tish’a B’Av and the Minor Fast Days	8. Pregnant and Nursing Women on Tish'a B'Av and the Minor Fast Days	ח – מעוברות ומיניקות בתשעה באב ובצומות הקלים
9 – Children, Bridegrooms, and Soldiers	9. Children, Bridegrooms, and Soldiers	ט – קטנים חתנים וחיילים
10 – The Aneinu Prayer	10. The Aneinu Prayer	י – תפילת עננו
11 – The Torah Reading for Fast Days	11. The Torah Reading for Fast Days	יא – קריאת 'ויחל' בתענית
12 – Birkat Kohanim (the Priestly Blessing) During Mincha	12. Birkat Kohanim (the Priestly Blessing) During Mincha	יב – ברכת כהנים במנחה
8 - The Customs of the Three Weeks	8. The Customs of the Three Weeks	ח - מנהגי שלושת השבועות
03. Playing Music and Singing at a Se’udat Mitzva	03. Playing Music and Singing at a Se'udat Mitzva	ג – נגינה ושירה בסעודות מצווה
07. Reciting She-heĥeyanu During the Three Weeks	07. Reciting She'heheyanu During the Three Weeks	ז – שהחיינו בשלושת השבועות
08. In Which Cases May One Recite She-heĥeyanu?	08. In Which Cases May One Recite She'heheyanu?	ח – באיזה מקרים מותר לברך 'שהחיינו'
11. Shaving One’s Beard During the Three Weeks	11. Shaving One's Beard During the Three Weeks	יא – גילוח זקן בשלושת השבועות
15. Meat and Wine on Shabbat Ĥazon and at a Se’udat Mitzva	15. Meat and Wine on Shabbat Hazon and at a Se'udat Mitzva	טו – בשר ויין בשבת חזון ובסעודות מצווה
20. Children’s Clothing and Hospital Garb	20. Children's Clothing and Hospital Garb	כ – בגדי קטנים ובתי חולים
22. Shabbat Ĥazon	22. Shabbat Hazon	כב – שבת חזון
23. “The Week of Tisha Be-Av” when Tisha Be-Av is Postponed to Sunday	23. "The Week of Tisha BeAv" when Tisha BeAv is Postponed to Sunday	כג – 'שבוע שחל בו' כשתשעה באב נדחה ליום ראשון
9 - The Eve of Tish’a B’Av	9. The Eve of Tish'a B'Av	ט - ערב תשעה באב
1 – The Meal Before the Fast (Seudah HaMafseket)	1. The Meal Before the Fast (Seudah HaMafseket)	א – סעודה מפסקת
2 – Which Foods are Prohibited?	2. Which Foods are Prohibited?	ב – הגדרת המאכלים האסורים
3 – Customs of the Seudah HaMafseket	3. Customs of the Seudah HaMafseket	ג – מנהגי סעודה מפסקת
4 – The Transition Between Shabbat and Tish’a B’Av When the Fast Falls Out on Sunday	4. The Transition Between Shabbat and Tish'a B'Av When the Fast Falls Out on Sunday	ד – המעבר בין שבת לתשעה באב שחל במוצאי שבת
5 – Havdalah on Tish’a B’Av When it Falls Out on Saturday Night	5. Havdalah on Tish'a B'Av When it Falls Out on Saturday Night	ה – כיצד מבדילים במוצאי שבת שהוא ט' באב
10 - The Laws of Tish’a B’Av	10. The Laws of Tish'a B'Av	י - הלכות תשעה באב
1 – Instituting the Fast of Tish’a B’Av	1. Instituting the Fast of Tish'a B'Av	א – תקנת צום תשעה באב
2 – General Rules of the Fasts	2. General Rules of the Fasts	ב – כללי הצומות
3 – Eating and Drinking and the Laws of Sick People and Postpartum Women	3. Eating and Drinking and the Laws of Sick People and Postpartum Women	ג – איסור אכילה ושתייה ודין חולים ויולדת
4 – Pregnant and Nursing Women	4. Pregnant and Nursing Women	ד – מעוברות ומיניקות
5 – Washing	5. Washing	ה – רחיצה
