Index Title,Be'er Mayim Chaim on Torah,
"Be'er Mayim Chaim on Torah, Exodus 25:10:12","ולזה הארון שהיה מורה על כללות ישראל והנהגותיהם היה בו מדות הללו אמתים וחצי ארכו כי אמה אחת הוא בסוד האתערותא מלתתא ולקבל הברכה בסוד מאה, ואמה השניה מורה על קבלת הברכה מן השמים בסוד מאה והוא מבחינת החמשים שערי בינה ששם כל הברכות הללו בגנזי חיים וגנזי שלום ואוצרות הטוב והמיטיב, שלזה היה חצי אמה והוא חצי מאה בחינת חמשים שמשם הם מקבלין כל הברכות הללו, וזה בארכו, רומז לקבלת הברכה בבחינת החסד בחינת אהבה הגדולה בחינת י""ג מדות כנאמר ומקורם בבחינת אריך אנפין כידוע לחכמי לב. ומלת ארכו עם ד' אותיותיו הוא אריך להראות שבבחינה זו מדבר מה שישראל מקבלים הברכה בבחינת האהבה הגדולה והחיבה הזו. ואמה וחצי רחבו, עתה אינו צריך שוב לרמז אתערותא דלתתא שכבר רמזו, רק לרמז אופני קבלת הברכות שהם משתנים ועתה רומז על קבלתם בבחינת הגבורה כי רחבו חושבן גבורה במספר השוה והכל בסוד מאה שהוא אמה ומנ' שערי בינה סוד חצי. ואמה וחצי קמתו, רומז על קבלתם בבחינת התפארת כי קמתו אותיות תקום ועיין בדברי הרב האר""י ז""ל <small>(בתיקון חצות)</small> שהוא רומז על בחינת היסוד וגוף וברית חד הוא כידוע, והכל בבחינת אמה וחצי כנזכר. ולזה אמר, ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:1","ואתה תצוה את בני ישראל וגו', עד חוקת עולם לדורותם מאת בני ישראל, הדקדוקים באלה הכתובים רבו. מה שאמר ואתה תצוה, שלא כדרכו בכל מקום לומר דבר אל בני ישראל וכדומה, ומה שאמר ויקחו אליך, ויקחו אלי מיבעי ליה, וגם מה שאמר להעלות נר, והיה לו לומר נרות. ומה שאמר תמיד יפלא הלא לא תמיד היה כי אם מערב עד בוקר, וגם מה שסיים חוקת עולם לדורותם, הלא מצוה זו אינה כי אם בזמן שבית המקדש היה קיים, ועוד שארי דקדוקים, וכתבנום בחיבורנו סידורו של שבת <small>(שורש השלישי ענף א')</small> וביארנו שם בישובם באורך, ולא נכפיל את הנאמר שם. ",1
"Be'er Mayim Chaim on Torah, Exodus 27:20:2","ועוד לאלוה מילין בביאורם, והוא כי הנה נודע מה שאמר הכתוב <small>(משלי כ', כ""ז)</small> נר ה' נשמת אדם וגו', פירוש שהנשמה שבאדם הוא כדוגמת הנר שמאירה ומופיעה בכל קומת האדם לכל פרטי אבריו להזכירם דרך ה' ומצוותיו כל הימים, ובאופן שידליק האדם את נרו, כי הלא תראה כשיעמיד בבית תיבה גדולה מלאה נרות שלימים אשר לא הודלקו, או הודלקו ונכבו, יהיה בכל הבית חושך אפילו לא יראו איש את אחיו, וכן אם יהיה לאחד נר בביתו ואף ידליקנה ולא יוסיף בה תמיד שמן למאור הרי תכבה נרו ולא יאיר, וכן היא גם כן נשמת אדם אשר בתוכו, אם האדם נותן דעתו ולבו להבין בגדולת יוצר בראשית ברוך הוא וברוך שמו שהוא לאין קץ ותכלית ומסתכל בשמים ובארץ ובכל ברואיו הנפלאים, חוץ מברואיו אשר בשמי השמים העליונים שלא שלטה בהם עין כל בריה, ורואה בהן לפי ערכו כח מעשיו ברוך הוא וחכמתו בהן שאין לה שיעור וערך ומסתכל בנפשו שהיא כלי ריק וחסר מלא בושה וכלימה עומד לפני תמיד דעות ברוך הוא, והאל הטוב חפץ בו ובעבודתו, ורוצה לקרבו אליו בכל מיני קירוב ולהביאו אצלו בבחינת אתדבקות רוחא ברוחא הנזכר בזוה""ק, ומשכין שכינתו בתוך כל אחד ואחד מישראל כמאמר חז""ל <small>(עיין אלשיך שם)</small> בפסוק <small>(לעיל כ""ה, ח')</small> ועשו לי מקדש ושכתי בתוכם בתוכו לא נאמר אלא בתוכם מגיד שהשכינה שורה בתוך כל אחד ואחד מישראל וכו' והכל מרוב חיבתו ואהבתו להפחות שבפחותים מבני ישראל, ובזה כל אחד לפי ערכו וערך נשמתו וערך זיכוך גופו וטהרתו בקודש מוסיף אהבה וחיבה ותשוקה לה' הטוב וצמאה נפשו לה' לעזוב את כל אשר לו מגוף ואשה ובנים והונו ורכושו וכל הנמצא אתו, ולהתקרב ולהתדבק בה' הטוב בדביקה וחפיצה וחשוקה ותשוקה באהבה עזה ונפלאה ולבו בוער בקרבו כרשפי אש לאהבת דביקה הנפלאה הלזה, עד שלא ישמע כלל דבר אחר בעולם, רק תצמא נפשו ויכמה בשרו אל אל חי, וכמו שאמר דוד המלך ע""ה <small>(תהלים מ""ב, ג')</small> צמאה נפשי לאלהים ואומר <small>(שם פ""ד, ג')</small> לבי ובשרי ירננו אל אל חי. ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:3","ואופן התקרבות והדביקות לבורא עולם הוא רק על ידי התורה והמצוות, כי לא יעלה לשמים שיאו לראות שם את פני ה', רק על ידי התורה והמצוות של הקב""ה עשה ולא תעשה שהן רצונו יתברך שהוא רצה שזאת נעשה וזאת לא נעשה, והוא ורצונו אחד מיוחד ממש מכל צד ומכל פינה כמו שביאר הרמב""ם ז""ל <small>(בפרק ב' מהלכות יסודי התורה הלכה י')</small> ונמצא כאשר הוא מדבק הבל פיו שהיא נשמתו כי נפשו יוצאה בדברו לעסק התורה והתפילה, הרי מדבק כל כוחו הפנימית לאור ה' הנעלם בה שהיא רצונו יתברך. ואם עיני שכל לו, מרגיש טעם עריבות נעימת ידידת חיבת הקודש אשר בזה, עד שיערב למו על ידי זה מתיקת התורה והתפילה שהוא בחינת אתדבקת רוחא ברוחא באור אין סוף ברוך הוא יותר מכל חמדת חביבות חפיצות כל מחמדי עולם ותענוגיה, וכמו שאמר דוד <small>(תהלים י""ט, י""א)</small> הנחמדים מזהב ומפז רב ומתוקים מדבש, כי הרגיש נועם נפלא טעם מתיקות הזה, והעיקר שירצה לעשות רצונו יתברך ולעובדו שיהיה לו נחת רוח, וכן על ידי מצוות מעשיות שנעשה בזה מרכבה לשכינה, כמו הראש והזרוע למרכבת התפילין שהם רצונו יתברך והוא מיוחד בהם, או לבוש הציצית ולקיחת האתרוג וכדומה, וממילא בא מזה ליראה גדולה ועצומה לומר כי מי אני לפני מלך גדול ונורא כזה, אם לא מפני חיבתו ואהבתו אלינו כאב על הבן ויותר, הכל כידוע מספרי קודש. וכאשר יתן זאת על מחשבתו ודעתו, ונותן לבו להבין זאת על בוריה, בזה הוא מדליק אור הנשמה שהיא חלק אלוה ממעל, וחשקה ורצונה להתדבקות הזה עד בלתי שיעור כי כל מקור יקו למקורו בטבעה למקום אשר נלקחה משם, רק שהגוף מסובב עליה מבית ומבחוץ ולא תאיר נרה כי החושך מקיפה. ואך כשאדם מדליקה לעורר אור ה' בתוך גופו, אז היא מעלת אורה בלהבי אש ומשתוקקת וחומדת להגיע למחוז חפצה להדבק באור פני מלך חיים והיו לאחד, ומאירה בכל אברי הגוף עד שכולם ירצו כרצונם להתדבק באור ה'. ואמנם כי צריך האדם להוסיף תמיד שמן בנר והוא מעשה התורה והמצוות שבזה היא דולקת ומאירה תמיד. ועל כן הזהיר שלמה המלך ע""ה <small>(קהלת ט', ח')</small> ושמן על ראשך אל יחסר כי אם יחסר השמן שהם התורה והמצוות, ח""ו תכבה הנשמה מכל וכל. והנה כדוגמת הנשמה הניתנה בגוף האדם, כן הוא הצדיק בכללות ישראל, שהוא המאיר באורו לכללות ישראל אשר בדורו, כי הוא גם גופו זך ומזוכך כבחינת הנשמה כי הם מהפכין החומר לצורה ואמרו ז""ל <small>(שוחר טוב מובא בילקוט תהלים רמז תתל""ג)</small> אשריהם הצדיקים שהם מדמין את הצורה ליוצרה ואת הנטיעה לנוטעה וכו' כי מזככים את גופם בתכלית הזיכוך והקדושה והטהרה, עד שנעשה הגוף כצורה, וכמו אברהם אבינו וחנניה מישאל ועזריה שנשלכו לתוך כבשן האש ולא נשרפו, ובודאי אם היה מעט חומר בגופם היה זה נשרף, רק שהיה כולו צורה, ונשמה לא תשרף באור, וכמו משה ואליהו שעלו למרום בגופם כי הפכוהו לנשמה, וכן בכל דור ודור, הצדיק הוא הנשמה לכללות ישראל. ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:4","ועל כן כאשר ישראל יעשו מצוות ומעשים טובים בדחילו ורחימו דקודשא בריך הוא אז הם מדליקים את הנר ביותר ויותר ומוסיפים שמן בו עד שיהיה הצדיק שביניהם יאיר באורו בהארה נפלאה ומבהיק ומופיע והלהב עולה ממנו יפה יפה, וממילא מאיר לכל האברים עם ישראל הכלולים בו, וכולם מאירים ומופיעים ביחודא שלים. אשר על כן אל מול פני המנורה הזה שלמטה שכולם מאירין יאירו שבעת הנרות העליונים הידועים והם המוריקים ומשפיעים חיות ומזון ושפע קודש לכל הנבראים על ידי ישראל וכל טוב על בית ישראל. ואפשר על כן כאשר עשו ישראל את העגל אמר הקב""ה למשה <small>(שמות ל""ב, ז')</small> לך רד כי שחת עמך וגו' ואמרו חז""ל <small>(ברכות ל""ב.)</small> לך רד מגדולתך כלום נתתי לך גדולה אלא בשביל ישראל וכו', כלומר כי הנה גדולתך הוא על ידי ישראל כשהם עוסקים בתורה ומצוות להוסיף שמן בנר, ועתה כאשר הנהר יחרב ויבש ואין שמן בפתילה רד מגדולתך אתה עמהם, ולזה אמרו <small>(בשמות רבה מ""ב, ב')</small> על פסוק הזה לך רד וגו' אתה והם בירידה וכו' והבן. ונמצא אשר ח""ו כאשר ישראל גרמו להמעיט אורו של משה מלהיות מאיר עמהם, כביכול כביכול נתמעט אור שבעת הימים העליונים שלא יכלו להאיר באורם על כל יושבי תבל ומלואה להשפיע להם כל בחינות הברכות והישועות מצד עוונות ישראל, ולזה באה המצוה הזו לכללות ישראל לתקן את אשר עיוותו באור שבעת הימים וציום להדליק את המנורה הטהורה בשבעה נרותיה אשר נעשית כוון לשבעת הנרות העליונים, בכדי שעל ידי האור הזה שלמטה יאירו שבעת הנרות למעלה למעלה וישפיעו כל בחינת שפע וברכה לכל העולמות. ואכן כי לכאורה היה די במצוה זו לצוות לאהרן לבד, כי הלא על אהרן לבד היה מוטל הדלקת הנרות ולא על כללות ישראל, וכי אהרן היה מצמצם ח""ו לתת משלו ללפיד נר ה'. ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:5","ואמנם כי הנה בכל המצוות כבר כתבנו במקום אחר אשר הם בבחינת גוף ונשמה כי כל ברואי אלהינו יתברך שמו הם בבחינת גוף ונשמה ואפילו בעולמות העליונים כידוע, וכן התורה הלא הפשטות שבה היא בבחינת הגוף, והפנימיות והרוחניות שבה מרזי אלהינו יתברך שמו הוא בחינת נשמתה. וכן במצוות מעשיות כי עשיות המצוה גופה כמו הנחת תפילין וציצית וסוכה ואתרוג וכדומה, הם רק גוף המצוה, אבל העיקר בהם הוא הנשמה שבהם והוא המחשבה הטובה מה שהאדם מתקן דיעותיו וכל גופו מול מצוה הזו כמו בתפילין העיקר בהם כמו שאנו אומרים בלשם יחוד וכו' שהוא נגד הלב לשעבד בזה תאוות ומחשבות לבנו לעבודתו יתברך שמו ועל הראש שהנשמה שבמוחי עם שאר חושי וכחי כולם יהיו משועבדים לעבודתו וכו', כי זה הוא העיקר בכל המצוות לעשות עצמו מרכבה לשכינה על ידיהם לראות ליישר לבבו ומדותיו ותאוות לבו לשם ה', כי כל הכוונה בהם לקרב אותנו לעבודתו, ומפורש אמרו חז""ל <small>(סנהדרין ק""ו:)</small> הקב""ה ליבא בעי דכתיב <small>(שמואל-א ט""ז, ז')</small> וה' יראה ללבב, כי אין הקב""ה רוצה ורואה רק את הלב מה שנתקרב על ידי מצוה זו לאהבתו ויראתו והכנעת תאות לבבו לדבר שחוץ ממנו. וחז""ל <small>(בראשית רבה מ""ד, א')</small> אמרו לא ניתנו המצוות אלא לצרף בהן את הבריות, כלומר לא תעלה על דעתך שאם תעשה המצוות בעשיית הגופנית לבד בלתי שימת המחשבה לכוון דעותיו על ידי מצוה זו להתקרב לבורא עולם על ידה ולהתרחק מדבר שאינו נוגע לעבודתו יהיה מצוה זו עולה כוון נכון לה', לא כן כי כל המצוות לא ניתנו רק לצרף בהן את הבריות כלומר לצרף ולחבר לבבם אל ה' לאהבה אותו ולירא ממנו ולחפוץ בדביקתו, וגם לצרפם וללבנם מכל סיג שלא יעלה עליהם קטורת זרה להתקשר בתאוה וחמדה לדבר אחר שאינו נוגע אליו מממון ואשה ובנים, חוץ מן המוכרח לעבודתו. ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:6","וזה שאמרו חז""ל בלשונם <small>(מנחות מ""ג.)</small> כל שיש לו תפילין בראשו וכו' מובטח לו שלא יחטא, ולא אמרו תפילין על ראשו כי הלא על הראש המה מונחים ולא בתוכו, ואכן כי זה עיקר הנחתם שיהיו בראשו לידע ולהבין במוחו ודעתו גדולת אלהינו ברוך הוא וברוך שמו מה שעשה במצרים ולו הכח והממשלה בכל העולמות עליונים ותחתונים לעשות בהם כרצונו, ועל כן אליו ימסור נפשו ורוחו ולבו ומוחו וכל אבריו כי הוא אחד ואין יחיד כיחודו. ועיקר יחוד אלהינו יתברך שמו הוא כשאם מיחד עצמו בכל אבריו וגידיו במחשבה דיבור ומעשה שלא יזיז בהם חוץ מדבר הנוגע לעבודתו, בזה הוא מראה יחודו שאין בעולם כי אם אלהינו ברוך הוא וברוך שמו, ואינו יוצא מיחודו רשות היחיד לרשות הרבים הנקרא סטרא אחרא צד אחר שאינו לה', והכל באהבה ויראה לשמו יתברך, וזה הוא הנשמה שבמצוות. וכמו כן מצות סוכה, הנה גוף הסוכה בדפנותיה וסככה הוא הוא הגוף שבמצוה, אבל לא זה הוא העיקר והעיקר הוא הנשמה שבה, שהוא שהאדם מראה שנכנס כולו עם כל אבריו וגידיו תחת צל סוכה שהוא שמו יתברך הוי""ה ואדנ""י, ואינו רוצה להסתופף בשום צל אחר כי אם רק תחת צלו ומקבל עליו יחודו יתברך באמת ובתמים כנזכר כי כל המצוות שבתורה מורים הכל על יחודו יתברך. וזה הוא כל השלימות והתיקון כמו שנאמר <small>(זכריה י""ד, ט')</small> ביום ההוא יהיה ה' אחד ושמו אחד, וכשנכנס לסוכה יכוון שנכנס כולו לרשות היחיד, שלא לצאת חוצה אף במחשבה קלה שאינו נוגע לעבודתו יתברך אף שהוא היתר גמור, כי כל ההיתרים אינם מותרים כי אם בדבר הנוגע לכבודו יתברך ולא יותר אף דקה מן הדקה. וכן ציצית מורים על יחודו יתברך בארבע רוחות העולם, וכולם על יחוד שמו המה מעידים, להיות האדם מיוחד עם שמו ברוך הוא באמת ובתמים. רק מי שמוח שכלו גדול יכול להפריש לידע בחינת כל מצוה ומצוה באורותיה למעלה בכדי לידע אופן יחודו באבריו נגד אורות מצוה זו למעלה, אבל בכלל כולם מורים על יחוד שמו והוא הנשמה שבהם. והאדם העושה אותן בהגוף לבד בלתי אור נשמתם הרי זה כמו הנפל שנולד גוף בלא נשמה, ונקרא <small>(משלי ז', כ""ו)</small> רבים חללים הפילה, כמו נפל אשת בל חזו שמש <small>(תהלים נ""ח, ט')</small>. וכן כאן במצות מאור המנורה, גוף המצוה היה המנורה וכליה ונרותיה הכל מכוון לאור שבעת הימים למעלה, אבל העיקר היה הצווי אל בני ישראל שהם יקחו השמן למאור המנורה, לומר שהמה ילדיקו בקרבם את אור הנשמה שבהם בשבעה מדותיה שהם אהבה ויראה ותפארת וכו', ליחד כל שבעה המדות לשם ה', שלא לאהוב כי אם אותו ולא לירא מזולתו וכדומה, ועל כן נאמר בהעלותך את הנרות ולא בהדלקתך, כי העיקר שתהא הלהב מהלב עולה לה' כיוון נכון, בלתי לפנות ימין ושמאל, ובזה האדם מכוון עצמו עם ה' לעשות אשר חפץ ולהדבק בו, ועל ידי כן ממילא האיר אור הנשמה שלהם בכללות הוא משה רבינו ע""ה, והאיר באורו לכללות ישראל, ומשם על שבעה קני המנורה העליונים בבחינת שבעה ושבעה מוצקות, שיאיר אור שבעת הימים בהארה נפלאה בברכה ושפע רבה לכל העולמות ולתקן בזה חטא העגל אשר עיוותו למעט נר משה ח""ו להורידו מגדולתו, וממילא נעשה כזה לעילא לעילא, ועתה חזר להאיר כבראשונה. ואמנם לפי זה היו ישראל מחויבין להדליק הנרות הללו, ומה לאהרן בזה. ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:7","ואכן הנה חז""ל הגידו <small>(תנחומא פרשה בהעלותך)</small> וזה לשונם: דבר אחר בהעלותך את הנרות אתה מוצא שנים עשר שבטים הקריבו קרבנות לחנוכת המזבח שבט לוי לא הקריב כלום והיו מצירים וכו' משל למלך שעשה סעודה והיה קורא בכל יום וכו' ולאוהב לא קרא עמהם והיה מיצר לומר שמא יש בלבו עלי וכו' והיה אהרן אומר אוי לי שמא בשבילי אין הקב""ה מקבל שבטו של לוי אמר לו הקב""ה אל תירא לגדולה מזו אתה מתוקן וכו' שנאמר בהעלותך את הנרות וגו' עד כאן. ולהבין למה ידמה לאהרן שבשבילו דוקא אינו מקבל שבטו של לוי וכי הוא היה הגרוע מכל השבט, ואולם לפי שהקרבת חנוכת המזבח היה סימן שמחל הקב""ה על מעשה עגל כמאמר חז""ל <small>(שם תרומה ח')</small> ולכך היה אהרן דואג שמא על ידו נמנע הקרבת שבטו, כי הן שבט לוי לא טעו בעגל כמאמר הכתוב <small>(דברים ל""ג, ט')</small> האומר לאביו ולאמו לא ראיתיו, ואין החשש כי אם עליו שהוא עשה את העגל, ואפשר עדיין לא נמחל לו, ומנע הקב""ה הקרבת חנוכת המזבח ממנו עבור זה, ועל כן אמר לו הקב""ה לגדולה מזה אתה מתוקן, כי הארת הנרות סימן יותר למחילת מעשה עגל כי זה הוא תיקונו מאת בני ישראל כנאמר. והנה נודע מה שמבואר בזוה""ק <small>(פנחס רמ""ו.)</small> אשר בזה שאמר משה לפני הקב""ה מחני נא מספרך וגו', עשתה דברו רושם, ונתקיים בסדר אחד מן התורה הוא פרשת ואתה תצוה שלא נזכר בה שם משה בכל הסדר רק בלשון ואתה, ואתה תצוה, ואתה הקרב וגו'. ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:8","ואחר כל הדברים הנאמרים נבוא בביאור הכתוב, כי לצד שישראל גרמו במעשה העגל להמעיט אור נשמתן בכלל שהוא אורו של משה רבינו כנאמר, על כן אמר הקב""ה ואתה תצוה, פירוש עבור בחינת ואתה מה שאיני מזכיר שמך על עוון העגל שהורדתיך מגדולתך עבורם ואינך נקרא כאן בשמך כי אם בלשון ואתה, על כן תצוה את בני ישראל ויקחו אליך, פירוש בשבילך, שמן זית זך וגו', והוא שיכניסו בלבבם אור החכמה המרומז בשמן כמאמר חז""ל <small>(מנחות פ""ה:)</small> מתוך שרגילין בשמן חכמה מצויה בהן וכו', ועל ידי זה יבינו בגדולת הבורא ברוך הוא וידליקו את אורם אשר בקרבם שתהא הלהב עולה לה' ואז יהיה להעלות נר תמיד, שתהא נר שלך עולה תמיד להיות מבהיק ומאיר כמאז, וממילא אתה תאיר נרם גם כן, שיאיר בהם נר ה' נשמת אדם. ואכן שלא תאמר שישראל יזכו במצוה זו כולה גם בהדלקתן כדי שיאיר נרם, ולא יהיה סימן טוב לאהרן שמחלתי לו עוון העגל, כי לא כן, שהם רק יקחו השמן כדי שגם הם יהיה להם חלק בזה, וידעו להאיר בגופם ונפשם ורוחם ונשמתם אור שבעת הימים המה ז' מדות הקדושים שצריכין לתקנם להאירם כולם אל ה' ולהתרחק משבע תועבות ההפכיות שכנגדם, אבל גמר המצוה ועיקרה הוא על ידי אהרן כי יערוך אותו אהרן ובניו מערב ועד בוקר וזה הוא סימן טוב אליו שנתהפך לו הערב לבוקר ואור, להיות מאיר ובא כשמש בצהרים ולא יזכר לו שום שמץ חטא כל דהוא. וזה חוקת עולם לדורתם מאת בני ישראל שתמיד יראו ויעשו להדליק ולהאיר בנפשותם פרטי מדותיהם ביחוד לאל עליון ובזה יאיר אור שבעת הימים להוריק ולהשפיע כל בחינת ברכה וחיים ורחמים ושלום ממקור הברכות והישועות אמן. ",
"Be'er Mayim Chaim on Torah, Exodus 27:20:9","ב או יתבאר הכתוב כי הנה חז""ל הגידו <small>(ויקרא רבה ל""א, ד')</small> אמר הקב""ה נרי בידך ונרך בידי וכו' עד אם הארת נרי הריני מאיר נרך וכו' ונמצאת למד שעל ידי מצות הנרות היה הקב""ה מאיר לנר ה' נשמת אדם אשר בכל גבול ישראל שתאיר ותופיע בכל בחינות הטובות וברכות לעלות נר לבעור לה' אלהים ולהשתוקק ברשפי אש שלהבת יה להתדבק בחי עולמים שנאצלה מאתו. והנה נודע אשר דברים היוצאים מן הלב נכנסים ללב כמאמר חז""ל <small>(עיין ברכות ו':)</small> כי כאשר המשמיע משמיע בדברי אמת ובכוונת הלב ומכוון רק בכדי להכניס דברים אלה בלב השומע כדי שיעשה השומע נחת רוח לפני מי שאמר והיה העולם בזה, וזה כל חפצו ומגמתו שיגיע תענוג ונחת לאלהיו בזה, אז שם ה' שורה על פי דיבורו ומאמרו וכמאמרם ז""ל <small>(בתיקוני זוהר ריש תיקון כ""ב)</small> פומא דילך אתמר בה והר סיני וכו' בגין דאות יוד שריא במוחא דילך ה' בליבך ובפומא דילך וכו', וממילא כאשר כח דברו בא בשם ה' באמת, הרי הדיבור הזה נוקב ויורד ונכנס לתוך עומקי מורשי לבב השומע, ואין דבר שמבחוץ כמו הגוף והיצר הרע המונחים על לב האדם מעכבים את דברו להכנס,כי בא בכח גדול קול ה' והוא שובר ארזים ומשבר כל אשר מקיף ללב ונכנס לתוך מעמקי לבבו. וממילא כאשר המשמיע מכוון לשם ה', אז יכוון מאוד להסביר הדבר מאוד ולהבינו להשומע ומדבר מתוך פנימיות לבבו באש בוערת עד שנכנס דברו אליו בטוב טעם ודעת כארס של עכנא ממש ויותר. ובזה אף שאין השומע מכוון עצמו ולבבו כל כך להכניס הדברים בלבו ממש ממילא נכנסין ללבו כאמור. ואכן אם השומע רוצה מאוד לשמוע דברי אלהים חיים מפה המדבר, אף שאין המשמיע מכוון כל כך להכניס דברו לו, מכל מקום כיון שהוא מכוון מאוד לשמוע הדבר ולקבלו בלבבו הרי הוא מקבל על נכון כיון שמתאוה לזה, וכעין אומרם ז""ל <small>(בחגיגה ט""ו:)</small> ברבי מאיר שהיה למד תורה מאחר, ר' מאיר רמון מצא וכו', כי לצד שהוא היה שומע על נכון לא היה איכפת ליה כל כך אף שלא השמיע לו יפה, וממילא מכל שכן דכל שכן כשהמשמיע מכוון יפה בדברים היוצאים מן הלב לאהבת הבורא ברוך הוא, ולצוות על דבר המצוה שיהיה נעשה יפה לכבוד מלכו של עולם במחשבה דיבור ומעשה ביראה ואהבה ושמחה רבה ובכל מיני הידור ויפויים לכבוד שמו ברוך הוא, והשומע גם הוא מכוון מאוד בלבבו לשמוע את צווי המלך מלכי המלכים ברוך הוא מה שמצוהו על ידי עבדיו הקדושים לעשות כזה וכזה, והוא רוצה מאוד לעשות כדבר המלך אשר ביד הסריסים בכל אות נפשו ומאודו, אז ודאי ודאי טוב הדבר אשר יעשה בזה למאוד כי טובים השנים מן האחד. ",1
"Be'er Mayim Chaim on Torah, Exodus 27:20:10","ולזה אמר הכתוב ואתה תצוה וגו' כלומר הנה אתה בעצמך תצוה על הדבר הזה שאתה הוא שליח הנאמן מבורא עולם אוהבו אהבת אמת, ובודאי אתה תשמיעם את הוד קולך ודברות קדשך מלהבות אש אשר בלבבך בדברים היוצאים ממעמקי מורשי לבבך ושם הוי""ה שריא על פומא דילך, ואין צו אלא זירוז כמאמר חז""ל <small>(ספרי מובא בילקוט רמז שע""ז)</small> שתזרזם מאוד מאוד במצוה זו שתהיה נעשה יפה על השלימות הראוי כי גדולה היא עד מאוד ואין ערוך אליה. והצווי הוא את בני ישראל הזריזים מצד עצמם ורוצים לשמוע מאוד את דברי אלהים חיים ולעשות שליחתו ככל אשר יצוום כאשר כן עשו כבר בציוות הראשונות, שבשני בקרים הביאו כל הנצרך למשכן ויותר כמאמר חז""ל <small>(שמות רבה נ""א, ב')</small>. ועל כן ויקחו אליך ולכאורה היה לו לומר ויתנו אליך, ואמנם כי לגודל חפצם ותשוקתם אחר כוונת השומע ומשמיע לא ימתינו להיות בא אצלם הגבאי לביתם ויתנו לו, רק שהם יהיו לוקחים מעצמן להביא אליך, וגם יבחרו מבחר השמנים שמן זית זך ומזוכך בשביל הידור מצוה על צד היותר טוב, והכל בכדי להעלות נר, שיהא עולה להב השלהבת יפה יפה כלפידות אש, לרוב צלילות השמן. אשר לא כן יהיה אם יהיה השמן עכור ומעורב בפסולת שמעכב המאור ומכבהו לפעמים. ועוד יאמר להעלות נר תמיד, כלומר הן לא לאורה אני צריך ח""ו רק לעלות נר על ידי זה פירוש שיהיה נר ה' נשמת אדם אשר בהם עולה תמיד בלהבי שלהבת יה ומאירה תמיד על ידי מצוה זו כי נרי בידך ונרך בידי כנזכר. וזה צריך תמיד כי הקב""ה מחדש בכל עת מעשה בראשית ואלמלי יצוייר העדר שפעו וחיותו מכל הנמצאים שבעולם אף על רגע אחת היה כל העולם כלא היה והיה לאפס ואין, כאשר בארנו זה במקום אחר. ",1
"Be'er Mayim Chaim on Torah, Exodus 27:20:11","ואומר הכתוב עוד, תדע שלא לאורה אני צריך, כי הלא מחוץ לפרוכת אשר על העדות יערוך אותו. כי כן הצווי מאתי להדליקם במקום הזה דוקא ואם ח""ו לאורה אני צריך הייתי מצוה להעריך אותם לפנים מן הפרוכת במקום מושב המלך אשר משם יצא דבר המלך מבין העדות אשר על הכפורת. ועוד סימן לזה שלא לאורה אני צריך, כי אני מצוה בהערכתם שיערוך אותו אהרן ובניו וגו' דוקא, ומי שהוא צריך לנר אינו מקפיד מי מדליק לו הנר, אם לא שאיני רוצה בזה רק בכדי להאיר על ידיהם לנר נשמתכם ברוב אורות הברכה והשלום, ועל כן נתתי לאהרן הכהן שאיש חסד הוא כאשר העיד עליו הכתוב <small>(דברים ל""ג, ח')</small> תומיך ואוריך לאיש חסידך והוא הרודף לעשות שלום בעולם. וגם בזה על ידו יושפע כל בחינת שפע החסדים והברכות ואור גדול וטובה לעולם. ולהבין ולהשכיל בזה שכוונת הקב""ה בדבר הזה אינו כי אם בשביל להיטיב לנו מאורו הטוב ולא לצורכו ח""ו כי חפץ חסד הוא ודרכו של גומל חסד לרוץ אחרי הדלים הם כל העולם הדלים והאביונים שאין להם כי אם מה שמקבלים מאתו יתברך. ואמנם לפי שצריך אתערותא דלתתא בכל הדברים כי כן היה בריאת אלהינו יתברך, ועל כן צריכים הם ליקח שמן זית ויתנאו לפניו במצוות על צד היותר יפה שיהיה לנחת רוח לפניו שאמר ונעשה רצונו, ותיכף הוא יריק וישפיע ברכה ורחמים וחיים ושפע טוב לכל העולמות עליונים ותחתונים ויתפאר בנו לעד ולעולמי עולמים. ",
