abbrev,expanded,context_before,context_after
מבעי,מבעוד יום,לו עפר מוכן,ואם עבר ושחט
אאכ,אלא אם כן,ביום טוב אסור,הוא חם שראוי
אעפ,אף על פי,מתר לכסות בו,שאינו ראוי לצלות
ביוט,ביום טוב,אין שוחטין אותו,ואם שחטו אין
דהול,דהוי ליה,לו עפר מוכן,כגרף של רעי
אאכ,אלא אם כן,אסור למלג גדי,מולגו לאכל העור
מעיוט,מערב יום טוב,אבל אם נשחטה,אסור הגה ונוצות
בכהג,בכהאי גונא,אינו יהודי אפלו,אסור אסור לשקל
אעפ,אף על פי,חתיכות בבת אחת,שאינו צריך אלא
ויא,ויש אומרים,אלא אחת הגה,דלא שרי להערים
אעפ,אף על פי,הבשר ביום טוב,שהיה אפשר למלחו
מעיוט,מערב יום טוב,טוב אפלו נשחט,וטוב לשנות קצת
מעיוט,מערב יום טוב,עליהם כלי כבד,הרי אלו מוכנים
בעב,בעלי בתים,התר במפוח של,על ידי שנוי
יוט,יום טוב,ראשון אבל לצרך,שני אסור העושה
עג,על גבי,אבל לא יניחנה,האבנים וכן המטה
עג,על גבי,יעמיד אותם שורה,שורה עד שיעמדו
ויא,ויש אומרים,בזה משום בנין,דאפלו מגיע לארץ
אעג,אף על גב,עם שאר עצים,שאינו ראוי להסיק
עי,על ידי,המנהג אם לא,הדחק ולכן נהגו
יוט,יום טוב,הוא שבת או,ואפלו בשני ימים
אעפ,אף על פי,אשה קדרה בשר,שאינה צריכה אלא
שאצ,שאינה צריכה,אף על פי,אלא לחתיכה אחת
וכש,וכל שכן,לחתיכה אחת הגה,שיכול לשחט אף
מכא,מכל אחת,הרבה קדרות ולאכל,מעט ודוקא קדם
אעפ,אף על פי,חבית של מים,שאינו צריך אלא
שאצ,שאינו צריך,אף על פי,אלא לקיתון אחד
רה,רשות הרבים,אצלם אפלו דרך,אף על פי
ובאי,ובארץ ישראל,הוא השנוי שלה,אפלו בקטנה אסור
והה,והוא הדין,כמו דיכת מלח,מצות בלא שנוי
ואי,ואינו יהודי,שנותן בכלי הגה,החולב בהמה ביום
ביוט,ביום טוב,של גליות מתר,שני ואם מתר
עי,על ידי,מרקדין הקמח אפלו,שנוי אבל אם
עג,על גבי,שנוי קצת כגון,שלחן הגה והוא
בעיוט,בערב יום טוב,אבל עסה שנלושה,אסור להפריש ממנה
עי,על ידי,ומתר לאפות הפת,שיאכל ממנו ויפריש
ביוט,ביום טוב,"העכו""ם אסור לאפותה",אלא יחלקנה ויאפה
בב,בני בית,כן יש לו,שרגיל להאכילם פת
ביוט,ביום טוב,מתר להפריש המתנות,
אעפ,אף על פי,פי' יורה גדולה,שעצים שנשרו מן
ביוט,ביום טוב,להסיקן אם נשרו,בתוך התנור מרבה
ביוט,ביום טוב,בשבת אסור להסיקן,שלאחריו אפלו על
עי,על ידי,טוב שלאחריו אפלו,בטול ברב אסור
אעפ,אף על פי,יגע בפת כלל,שאם היה נוגע
אעפ,אף על פי,תנור מלא פת,שאינו צריך אלא
שאצ,שאינו צריך,אף על פי,אלא פת אחת
אעפ,אף על פי,שפוד שנרצף,שהוא יכול לפשטו
ביוט,ביום טוב,בו כך ונשבר,מתר לתקנו ואין
עג,על גבי,שלה אבל מחדדה,העץ או חרס
דז,דבר זה,אבן ואין מורים,לרבים כדי שלא
ביוט,ביום טוב,וביצים מתר לתפרם,והוא שיתקן מערב
ביוט,ביום טוב,בו מתר לחתך,אגד גדיים ועופות
ביוט,ביום טוב,דאסור להגעיל כלי,ומתר ללבן שפוד
ביוט,ביום טוב,להטביל כלי חדש,דינו כמו בשבת
ביוט,ביום טוב,ומפרכין קטניות כדרכן,ומנפח מעט מעט
ביוט,ביום טוב,ושאר דיני סנון,כמו בשבת כדאיתא
ביוט,ביום טוב,אין עושין גבינה,ואין מעמידין חלב
והה,והוא הדין,חלב ביום טוב,דאין עושין חמאה
אעפ,אף על פי,אם רוצה לאכלן,שאסור בשבת ויש
אא,אי אפשר,משנוי המשא ואם,כגון שזמן הרבה
עי,על ידי,לחמם לצרכו אפלו,אינו יהודי אבל
עי,על ידי,לשלח לו לביתו,"עכו""ם שרי אבל"
כא,כי אם,לגבל המורסן לעופות,על ידי שנוי
עי,על ידי,לעופות כי אם,שנוי ומתר להרבות
דא,דבר אחר,אם יש לו,שיוכל לתן לכלבים
ביוט,ביום טוב,ביצה שנולדה,אסור לגע בה
ביוט,ביום טוב,טוב ראשון מתרת,שני בשני יום
רה,ראש השנה,יום טוב של,וכן בשבת ויום
ומסלת,ומסיח לפי תמו,ביום טוב ראשון,שנולדו מאתמול מתר
מסלת,מסיח לפי תמו,"טוב אין עכו""ם",נאמן ודוקא ביום
ביוט,ביום טוב,טוב ראשון אבל,שני אפלו ראש
רה,ראש השנה,טוב שני אפלו,נאמן דאינו אלא
ביוט,ביום טוב,נולד בשבת אסור,שלאחריו
ביוט,ביום טוב,אסור לכבות דלקה,אפלו אם רואה
עי,על ידי,וכן נוהגין אבל,סכין אסור ומתר
שאצ,שאינו צריך,של בטלה דהינו,לו אסור להדליקו
אקבו,אשר קדשנו במצותיו וצונו,טוב צריך לברך,להדליק נר של
יט,ימים טובים,בכדי שיעשו ובשני,של גליות אם
יוט,יום טוב,לאסרו עד מוצאי,שני ונוהגין להחמיר
ביוט,ביום טוב,וכן אם הובא,שני צריך להמתין
רה,ראש השנה,בשני ימים של,או ביום טוב
ביוט,ביום טוב,ראש השנה או,הסמוך לשבת בין
מויט,מוצאי יום טוב,צריך להמתין עד,ושבת בכדי שיעשו
ביוט,ביום טוב,שיש במינם במחבר,ראשון של ראש
רה,ראש השנה,טוב ראשון של,שחל להיות בה'
דא,ד' אמות,מתר לטלטלן בתוך,או בתוך העיר
יוט,יום טוב,אף לאכלם ולערב,ראשון צריך להמתין
והה,והוא הדין,השנה מתר בשני,לשבת ויום טוב
ויוט,ויום טוב,והוא הדין לשבת,הסמוכים זה לזה
אעג,אף על גב,היה דעתו מאתמול,דלית ביה אסור
ביוט,ביום טוב,מתר לשלח לחברו,בהמה חיה ועוף
אעפ,אף על פי,מתר משלחים כלים,שאינם תפורים שהם
רה,רשות הרבים,בזה אפלו דרך,מתר לשלחן
וסת,וספר תורה,כגון קטן ולולב,וכלים הגה הצריכים
ברה,ברשות הרבים,לשחק בכדור אפלו,אף על גב
ברה,ברשות הרבים,משובך לשובך אפלו,אבל סלם של
ועל,ועין לעיל,דינו ביום טוב,"סי' של""ט שכיב"
יוט,יום טוב,הלואת,נתנה לתבע בדין
ועל,ועין לעיל,מת בו ביום,"סימן ד""ש ואפלו"
וכז,וכל זה,למחר שלא יסריח,בעשית קבר וארון
עי,על ידי,ולשומו בקבר מתר,ישראל הגה וטוב
עי,על ידי,וטוב לזהר לטהרו,קש על גב
ביוט,ביום טוב,עושים ישראלים כמו,ראשון אבל אם
עג,על גבי,טוב שני לרכב,בהמה אם נודע
יוט,יום טוב,,שחל להיות בערב
בעש,בערב שבת,טוב שחל להיות,לא יבשל בתחלה
ליוט,ליום טוב,הוא כמה קדרות,ואם הותיר הותיר
ועי,ועל ידי,הותיר הותיר לשבת,ערוב מבשל בתחלה
והה,והוא הדין,על תפוחים מבשלים,שאר פרות מבשלים
מעיוט,מערב יום טוב,קטנים שבשלן סומך,אפלו על עדשים
עת,ערוב תחומין,בו אפלו הניח,ויכול לבא לכאן
אאכ,אלא אם כן,ויכול לבא לכאן,התנה עליו המניח
בעת,בערובי תבשילין,מזכין על ידו,וכל מי שאין
שאי,שאינו יודע,הזאת הגה ומי,בלשון הקדש יוכל
בלהק,בלשון הקדש,ומי שאינו יודע,יוכל לאמרו בלשון
מיוט,מיום טוב,אינו יכול לבשל,ראשון לשבת אם
ויא,ויש אומרים,דולק עד הלילה,דאפלו לבשל כמה
עת,על תנאי,אינו יכול לערב,אבל אם הוא
ויא,ויש אומרים,צריך לומר כלום,דאי לית ליה
יוט,יום טוב,,אינו צריך ערובי
אצ,אינו צריך,יום טוב,ערובי חצרות ושתופי
יוט,יום טוב,מצות,לחלקו חציו לבית
יוט,יום טוב,על היין ובגדי,יהיו יותר טובים
ביוט,ביום טוב,עניים דין תענית,כמו בשבת ועין
בעיוט,בערב יום טוב,מצוה לגלח,אין מגלחין במועד
והה,והוא הדין,אינו מגלח במועד,למי שהיה חולה
עג,על גבי,בנתר ואהל ובפרהסיא,הנהר הגה מיהו
והול,והוה ליה,ולא נהגו כן,דברים המתרים ואחרים
הז,הרי זה,היו עשויות ונתקלקלו,מתקנן במועד אבל
ויא,ויש אומרים,ותולה בה המצודה,שבשדה הלבן הסמוכה
וביוט,וביום טוב,שכר מזונות אסור,יכול לתן לו
דהל,דהוה ליה,מצויים אחר המועד,דבר האבד אם
והה,והוא הדין,לעשות סחורה ולהשתכר,לירידים הקבועים מזמן
יוט,יום טוב,ראשון ויוציאנו בשמחת,הגה ומתר לקח
כש,כל שהוא,בנין אפלו,אסור ואם נפרץ
לרה,לרשות הרבים,כתל חצר הסמוך,שנפל בונהו כדרכו
עי,על ידי,"לעכו""ם לתקנם מיהו",שנוי שרי לתקנם
עע,על עצמו,וכל אדם יחמיר,לתפר בשנוי זה
עי,על ידי,מלאכה מתר לעשותה,פועל שאין לו
אעפ,אף על פי,לעשות בחל המועד,שהוא חוץ לתחום
יוט,יום טוב,יותר ברוח לשמחת,ואם כתבן כדי
משיטא,"משיט""א אין",שלנו שהיא כתיבה,כותבין שטרי חוב
עי,על ידי,שאסור לכתב אפלו,שנוי אסור הגה
נל,נראה לי,יום קדם הרגל,שמתר לספדו ואף
אעפ,אף על פי,טוב שני האחרון,שאינו נוהג בו
עי,על ידי,האבלות מלאכתו נעשית,אחרים בבתיהם ועבדיו
ואצ,ואינו צריך,לרחץ סמוך לערב,להמתין עד הלילה
שמע,שמיני עצרת,ויום שני של,"הרי כ""ב ומשלים"
בעש,בערב שבת,הגה ואם חלו,קורים בשחרית ומנחה
ואחכ,ואחר כך,מנחה ולקרות ויחל,עושין החפה ועין
כא,כי אם,ללבש בגדי שבת,הכתנת לבד אבל
מרח,מראש חדש,"לכובסת עכו""ם לכבס",ואילך אבל קדם
רח,ראש חדש,פי שכובסת אחר,לאחר התענית מתר
רח,ראש חדש,ונוהגין להחמיר מתחלת,לענין כבוס אבל
טב,ט' באב,החדש עד אחר,יש נוהגים שלא
מרח,מראש חדש,יין ויש שמוסיפין,עד התענית ויש
מרח,מראש חדש,בתמוז הגה ומצניעים,ואילך הסכין של
תב,תשעה באב,וזה אפלו בערב,שרי ובלבד שלא
בעש,בערב שבת,חדש ואילך אפלו,של חזון אסור
טב,ט' באב,שלא ימצא אחר,מתר לברך ולאכלו
עג,על גבי,וגו' נהגו לישב,קרקע בסעדה המפסקת
ואחכ,ואחר כך,קבועה קדם מנחה,מתפללין מנחה ואוכלים
אאכ,אלא אם כן,מתר לחזר ולאכל,קבל עליו בפרוש
עי,על ידי,מי שאוסר ללמד,הרהור ומתר לקרות
כא,כי אם,"העכו""ם לא יחלץ",ברחוב היהודים וכן
עי,על ידי,שלא לעשות מתר,"עכו""ם אפלו בביתו"
בתב,בתשעה באב,,אומר בבונה ירושלים
מביהכנ,מבית הכנסת,מיד אחר שיצאו,שחרית ומאריכין עם
כא,כי אם,מדליקין נרות בלילה,נר אחד לומר
אא,אין אומרים,לאורו קינות ואיכה,תחנון ולא סליחות
ואצ,ואין צריך,ולא פטום הקטרת,לשנות מקומו בתשעה
שיוט,שיום טוב,משלים תעניתו לפי,שלו הוא נוהגים
הקבה,הקדוש ברוך הוא,הודאות וזכרון חסדי,על היין הגה
אצ,אינו צריך,על ירושלים תחלה,לקרע על שאר
שצ,שליח צבור,"סי' קי""ט אבל",לא יאמר עננו
מביהכנ,מבית הכנסת,אלא עד שיצא,הגה והיחיד מתפלל
בעש,בערב שבת,צאת הכוכבים ואפלו,ועין לעיל סימן
יא,יש אומרים,ידי נדרו מיהו,דמתפלל עננו וכן
אעפ,אף על פי,חלום מתפלל עננו,שלא קבלו עליו
אעפ,אף על פי,התענית נמלך להתענות,שלן בתעניתו שלא
מבעי,מבעוד יום,שלא קבלו עליו,מתענה אדם תענית
אאכ,אלא אם כן,ואוכל ולא שותה,התנה לאכל או
כא,כי אם,הצומות שלא לאמרו,במנחה מלבד שליח
רח,ראש חדש,קורים שחרית פרשה,ומנחה בשל תענית
כתצ,כתענית צבור,יש נוהגים לדונו,לענין עננו בין
אאכ,אלא אם כן,ברכה בפני עצמה,יש בבית הכנסת
ויא,ויש אומרים,אלא מעט מעט,שאפלו בפעם אחת
בפא,בפעם אחת,ויש אומרים שאפלו,יכול לטעם עד
בתצ,בתענית צבור,לרחץ פיו בשחרית,לא כשר למעבד
בעשית,בעשרת ימי תשובה,וסכות או אפלו,וארע ברית מילה
סד,סעיף ד',"לעיל סימן רפ""ח",אין תענית צבור
אצ,אין צריך,קבלת תענית בעלמא,התרה ואם קבלו
דהה,דהוא הדין,מתענה ונראה לי,לראש חדש וערב
לרח,לראש חדש,לי דהוא הדין,וערב יום הכפורים
תח,תלמיד חכם,וחזק נקרא חוטא,אינו רשאי לישב
כתח,כתלמידי חכמים,ומלמדי תינוקות דינם,"עיר שהקיפוה עכו""ם"
בחול,בחוצה לארץ,תענית שגוזרים הצבור,אוכלים בהם בלילה
באי,בארץ ישראל,זה היה דבר,מתענין שאר גליות
אעפ,אף על פי,אחרת שתיהן מתענות,שהן רחוקות זו
הז,הרי זו,שוה עשרה בששה,צרת צבור ומתריעין
ורח,וראש חדש,ומועד חנכה ופורים,
ברח,בראש חדש,וטוב שלא להשלים,באחד בניסן מתו
בכו,בעשרים וששה,מרים ונסתלק הבאר,בו מת יהושע
בכו,בעשרים וששה,מרים ונסתלק הבאר,בו מת יהושע
בכח,בעשרים ושמונה,ושחטו בניו לעיניו,בכסלו שרף יהויקים
יוהכ,יום הכפורים,אלול ואילך עד,הגה ומנהג בני
מרח,מראש חדש,אינו כן אלא,ואילך מתחילין לתקע
אעפ,אף על פי,ראש השנה בתפלה,שנופלים על פניהם
על,עין לעיל,עד שעקר רגליו,"סוף סימן קי""ז"
סס,סוף סימן,רגליו עין לעיל,"קי""ז חוזר לראש"
על,עין לעיל,"קי""ז חוזר לראש","סימן קי""ח אם"
רח,ראש חדש,הזה ואינו מזכיר,אם חל בחל
ועל,ועין לעיל,השנה ויום הכפורים,"ס""ס קל""ה מלין"
בעיוט,בערב יום טוב,יוצא אלא בנתבטל,ועין לעיל סי'
אעפ,אף על פי,אם לא סתמו,שנשתנה קולו כשר
יא,יש אומרים,לתקע בזה כי,שאין לתקע בשופר
אאכ,אלא אם כן,בכל שהוא פסול,הדקו הרבה בחוט
אאכ,אלא אם כן,כשר ברבו פסול,נשאר מהסדק לצד
סג,סעיף ג',"נתבאר בסימן תקפ""ז",שמע ט' תקיעות
גפ,ג' פעמים,"ג' פעמים ותש""ת","ותר""ת ג' פעמים"
יא,יש אומרים,"ותר""ת ג' פעמים",ששעור תקיעה כתרועה
גכ,גם כן,טרומיטין ושעור תקיעה,תשעה טרומיטין כתרועה
שאצ,שאינו צריך,"דתשר""ת יש אומרים",לעשותם בנשימה אחת
ויא,ויש אומרים,יותר מכדי נשימה,שצריך לעשותם בנשימה
ויא,ויש אומרים,בשביל תקיעה אחת,שאפלו בשביל אחת
ואא,ואין אומרים,מוסף ראש השנה,פסוקי מוסף ראש
רח,ראש חדש,אומרים פסוקי מוסף,אלא אומרים מלבד
גכ,גם כן,תמידין כהלכתן ואומרים,מוספי יום הזכרון
שצ,שליח צבור,מחזיר,התפלה ותוקעין על
פא,פעם אחת,"שתוקעים תשר""ת למלכיות",וכן לזכרונות וכן
אחכ,אחר כך,שהות ביום שישמע,התקיעות במקום שתוקעין
ואצ,ואין צריך,שני בלבד הגה,למיתב תענית לתעניתו
ויא,ויש אומרים,ביום שני הגה,לאומרו אפלו אם
באי,בארץ ישראל,ועל האש אף,עושים ראש השנה
אמ,אבינו מלכנו,אפלו הכי אומרים,ואומרים בכל יום
בעשית,בעשרת ימי תשובה,"מפת של עכו""ם",צריך לזהר הגה
ית,ימי תשובה,ולשוב מהם בעשרת,וספק עברה צריך
אצ,אינו צריך,עליו שם רע,למחל לו אם
שר,שם רע,וחרם שלא להוציא,על המתים יכול
אעפ,אף על פי,כפור מבטל שבעה,שנהגו שלא לרחץ
אצ,אין צריך,כפור בתוך התפלה,לפרט החטא ואם
אפה,אפלו הכי,ולא שנה עליהם,יכול לחזר ולהתודות
והה,והוא הדין,לעשות בזדון הגה,בכל דבר אסור
פא,פעם אחת,ברבים להוכיחן רק,אבל לא ירבה
ויא,ויש אומרים,יום הכפורים הגה,שאין להטמין ביום
בכמ,בכל מקום,גבי החולים נוהגים,להרבות נרות בבתי
אעפ,אף על פי,גופו או לטבל,שבשאר ימות השנה
לרה,לרשות הרבים,אפלו לצאת בהם,ומתר לעמד על
והה,והוא הדין,לענות אותו בשעות,לקטנה הבריאה בן
מדס,מדברי סופרים,ואינן משלימין אלא,הגה ואפלו הוא
אעפ,אף על פי,שהריחה ופניה משתנים,שלא אמרה צריכה
מעלע,מעת לעת,אין מונין אותם,כגון אם ילדה
אעפ,אף על פי,עמו אומרים צריך,שמאה רופאים אומרים
ביוהכ,ביום הכפורים,"י""ד חולה שאכל",ונתישב דעתו בענין
שצ,שליח צבור,הכפורים נוהגים שאומר,בישיבה של מעלה
ואחכ,ואחר כך,כל נדרי וכו',אומר שהחינו בלא
יוהכ,יום הכפורים,ואינו מזכיר של,ואין אומרים אבינו
סת,ספר תורה,עד אחר חזרת,וחוזרים ואומרים קדיש
גכ,גם כן,ומזכירין נשמותיהם דהמתים,יש להם כפרה
ביוהכ,ביום הכפורים,יש להם כפרה,
אמ,אבינו מלכנו,לשא כפים ואומרים,בסוף הסליחות אומרים
יוהכ,יום הכפורים,ואין מברכים במוצאי,על האור שהוציאו
יוהכ,יום הכפורים,שאין מברכים במוצאי,אלא על האור
יוט,יום טוב,הכפורים דהוי קצת,יש מחמירים לעשות
יוכ,יום כפור,לעשות שני ימים,ויש לזה התרה
דט,ד' טפחים,ואם הוא רחוק,מן הגג פסולה
אעפ,אף על פי,ואם אינו לנוי,שהוא בתוך ארבעה
עי,על ידי,של עליונה ואפלו,הדחק ויש ביניהם
עי,על ידי,מסככת כהלכתה ומתכשרת,סכך העליונה צריך
ביוט,ביום טוב,ואין עולין לה,מקצתה על האילן
ביוט,ביום טוב,תפול עולין לה,ואם לאו אין
ביוט,ביום טוב,אין עולין לה,
אעפ,אף על פי,צומח מן הארץ,שגדולו מן הארץ
אכ,אם כן,ומסככין בה אלא,עשאה לשכיבה דהינו
אעפ,אף על פי,בירקות שממהרין ליבש,שפסולים לסכך מפני
ואצ,ואינו צריך,הדברים כשרים לדפנות,להעמידם דרך גדילתן
אצ,אין צריך,והדפן מגיע לסכך,קנה על גביהן
עג,על גביהן,אין צריך קנה,ומה שנהגו בצורת
צופ,צורת פתח,בזה צריך לעשות,שיתן קנה מהפס
ויא,ויש אומרים,על הדפן האחר,שאין זה צריך
עג,על גבי,אסיק מחצתא סכך,מבוי שיש לו
בכהג,בכהאי גונא,אין לעשות סכה,היו דפנותיה גבוהים
ביוט,ביום טוב,לסכה להכשירה ואפלו,ובלבד שלא ידע
אעפ,אף על פי,מעבה כמין בית,שאין הכוכבים נראים
אעפ,אף על פי,וג' דפנות כשרה,שהדפן האמצעי לא
אעפ,אף על פי,נמשך עמהם כשר,שעשה דפן על
גט,ג' טפחים,כשרה יש ביניהם,פסולה
סח,סעיף ח',"לעיל סימן תקי""ח",ואם אחר שעשה
פא,פעם אחד,בסכה שישב בה,אבל אם הזמינה
וביוט,וביום טוב,שמנה אפלו נפלו,ושבת אסור לטלטלם
כש,כל שכן,אפלו בדפנות עצמן,בנוין ומכל מקום
יוט,יום טוב,אכילה בסכה בליל,הראשון חובה אפלו
יח,ידי חובה,כזית פת יצא,מכאן ואילך רשות
ואצ,ואינו צריך,לאכל במקום נר,לילך לסכת חברו
אעג,אף על גב,וחיב לישן שם,דצריך לכפף ידיו
ואעג,ואף על גב,לילה לאכל בסכה,דיש להקל מכל
ממ,מכל מקום,גב דיש להקל,המחמיר תבא עליו
ואחכ,ואחר כך,יין קדוש וסכה,זמן לפי שהזמן
ואחכ,ואחר כך,לישב בסכה ויושב,מברך זמן ואין
ויוט,ויום טוב,בחל אבל בשבת,שיש בהן קדוש
בקש,בקריאת שמע,אלא כדרך שאמרו,באמצע שואל מפני
ועכ,ועל כן,דאמר בגמרא דכשר,נוהגין באלו המדינות
ויא,ויש אומרים,כל שהוא פסול,דגם בנקב מפלש
אעפ,אף על פי,על ידי קוצים,שיש בהם חסרון
דהה,דהוא הדין,ויש מי שאומר,דיבש פוסל שם
אעפ,אף על פי,עשאו כמו בריתו,שעשאו דפין דפין
אכ,אם כן,השדה פסול אלא,חוזר למראה אתרוג
עכומ,"עכו""ם ויקנה מהם",לידו אלא יקצצנו,ואין חלוק בזה
גט,ג' טפחים,שעור הדס וערבה,ושדרו של לולב
ויא,ויש אומרים,"לולב י""ד גודלים",ששעור הדס וערבה
שהשצ,שהשליח צבור,הגה ויש אומרים,מנענע גם כן
גפ,ג' פעמים,והלאה וינענע שם,בהולכה וג' פעמים
בפע,בפני עצמו,על כל אחד,ואם חסר לו
תקפו,"תקפ""ו וסימן",ועין לעיל סימן,"ש""ז אם מתר"
ביוט,ביום טוב,על הבגד אפלו,דמוליד ריחא אין
שד,שפיר דמי,שלא יצא מידו,שתפים שקנו לולב
סת,ספר תורה,נוהגים להעלות,על ולהקיפה פעם
סת,ספר תורה,מקיפים ואין מוציאין,על הבימה נוהגים
שאא,שאין אומרים,יש מי שאומר,הושענא בשבת ולא
אאכ,אלא אם כן,שני על הלולב,חל יום ראשון
ביוט,ביום טוב,להרבות במזמורים כמו,"הגה וא""א נשמת"
ביוט,ביום טוב,ישראל וכו' כמו,ואומרים קדיש שלאחר
ביוהכ,ביום הכפורים,קצת בנרות כמו,הגה והמדקדקים נוהגים
יוט,יום טוב,טוב לצרך ליל,ולכן אסור להעמיד
סת,ספרי תורה,ערבית ושחרית כל,שבהיכל ואומרים זמירות
על,עין לעיל,ולענין צדוק הדין,בהלכות ראש חדש
רח,ראש חדש,עין לעיל בהלכות,"סי' ת""כ בהגה"
ויא,ויש אומרים,ידליקו יותר הגה,דכל אחד מבני
ויוט,ויום טוב,בנרות של שבת,יזהרו שלא לעשות
לרה,לרשות הרבים,לו פתח פתוח,מניחו בחלון הסמוך
מגט,מג' טפחים,אחר מניחו למעלה,ומצוה להניחו למטה
מיט,מי' טפחים,ומצוה להניחו למטה,ואם הניחו למעלה
וממ,ומכל מקום,בטפח הסמוך לפתח,המנהג להדליק בטפח
עי,על ידי,להדליק זה מזה,נר של חל
ככ,כל כך,והשאר אינו למצוה,לכן אין להדליק
כש,כל שכן,המצוה מתרים בהנאה,שמתר להדליק מהן
וממ,ומכל מקום,ומדליקה לשם מצוה,צריך שידליקנה במקום
ואעפ,ואף על פי,לא עשה כלום,שהניחה גדול ויש
ויא,ויש אומרים,אצל אביו הגה,דבזמן הזה שמדליקים
דבזהז,דבזמן הזה,הגה ויש אומרים,שמדליקים בפנים ממש
בפע,בפני עצמו,לו מדורה ושורפו,שהרי הקצה למצותו
וכש,וכל שכן,קדם ההבדלה הגה,בביתו שמדליק ואחר
ויא,ויש אומרים,ההם בעת הזאת,שאומרים אותו
רח,ראש חדש,קורא אחד בשל,ומתחיל וביום השבת
רח,ראש חדש,ושמחי ואם חל,בחל מוציאין ב'
אצ,אינו צריך,הוציאו ספר ב',לקרות יותר אבל
רח,ראש חדש,,אדר הסמוך לניסן
רח,ראש חדש,השבוע ובשני של,ובשלישי קורא מפטיר
ממ,מכל מקום,אפשר להם לבא,יזהרו לקרותם בנגינתם
אחכ,אחר כך,לא יתענו ויפרעו,אבל שאר בריאים
תת,תלמוד תורה,השחר יצא מבטלים,לשמע מקרא מגלה
אא,אי אפשר,שתיהן אבל אם,לעשות שתיהן אין
ובטו,"ובט""ו ובליליהון","לאו קורין בי""ד",ולא יברך כי
ויא,ויש אומרים,ממנו לא יצא,שהנשים אינם מוציאות
יא,יש אומרים,אינו מוציא הגה,דאפלו את עצמו
אע,את עצמו,יש אומרים דאפלו,אינו מוציא וצריך
ואחכ,ואחר כך,השני וקרא שלישי,חזר וקרא השני
יח,ידי חובתו,הם אומרים יצא,היתה כתובה תרגום
ויא,ויש אומרים,אינו יוצא בלעז,שיוצא הגה ואם
אעפ,אף על פי,המגלה בלשון לעז,שכתובה בלשון לעז
יח,ידי חובתו,כון לבו לצאת,יצא והוא שתהא
בביהכנ,בבית הכנסת,כשקורים את המגלה,ואין לבטל שום
ויא,ויש אומרים,צריך לעבד לשמה,שצריך עבוד לשמה
בסת,בספר תורה,קדם שיכתבנה כמו,ועושין כל פרשיותיה
והה,והוא הדין,לענין לולב הגזול,כאן
אעפ,אף על פי,בעוד שקורין אותה,שיצא כבר מברך
יח,ידי חובתו,להוציא את אחר,מי שהוא אנוס
ואחכ,ואחר כך,לך וקורים המגלה,מבדילין אומר על
בטו,"בט""ו ובליל","י""ד אבל לא","י""ד אף על"
ועל,ועין לעיל,מלבד תענית חלום,"סימן תקס""ח וסימן"
ביוד,ביורה דעה,חדש וכמו שיתבאר,"סי' שפ""ה עין"
אאכ,אלא אם כן,לקים משלח מנות,מחל האבל על
וכש,וכל שכן,כדברי תורה הגה,שחיב במקרא מגלה
ממ,מכל מקום,ואין נוהגין כן,ירבה קצת בסעדה
