Quoting Book,Quoting Ref,Quoted Book,Quoted Ref,Snippet
Meshech Hochma,"Meshech Hochma, Emor 115",,," לו שונא גדול או לא, שזה אין ביד האדם לדעת אותו. ועיין פרק הנשרפין (סנהדרין ע""ח ע""ב) ודו""ק.
"
Meshech Hochma,"Meshech Hochma, Emor 117",,," נשרפים צ""ל אל המזבח בצפון וסברי, דרק נגד כותל המזבח מקרי צפון (עיין זבחים דף כ""א), ולזה אמר יוציא לצד חוץ המזבח קרוב יותר אל הפתח מצפון המזבח ממק"
Meshech Hochma,"Meshech Hochma, Behar 12",,," נכון דסתם ספרא ר' יהודה וחביבין עליה שמעתתיה דר' אליעזר רביה דאביו (מנחות י""ח). [וראיתי בקרית ספר להמבי""ט שעמד בזה וביאר דמכשירין דחי אף בשבת,"
Meshech Hochma,"Meshech Hochma, Behar 13",,," ואישתרי אישתרי, אבל גבי שבת לא אישתרי כלל. אמנם זה תלוי אם אמרינין (זבחים ל""ב) היכא דהוי מתורת היתר הואיל ואישתרי אישתרי, יעו""ש, דפליגי בזה אב"
Meshech Hochma,"Meshech Hochma, Bekhukotai 6",Shabbat,," וכבודו אצל חית הארץ, וזה כחטאתיכם. ודו""ק. ויעוין פרק במה מדליקין (שבת ל""ב.)
"
Meshech Hochma,"Meshech Hochma, Bekhukotai 31",,," כסף. יתכן, כי יש זריעה במפולת יד ויש במפולת שורים, ועיין פרק המקבל (בבא מציעא דף ק""ה), שהרבה צריך זרע למפולת שורים יותר מלמפולת יד, וזה שאמר לפי זרעו"
Meshech Hochma,"Meshech Hochma, Bekhukotai 35",Niddah,," האדם, והפירוש, דאדם כולל אף בן יום אחד כל דהוא כמפורש פרק יוצא דופן (נדה מ""ד.) והנה קטן לא יתכן, שיהא נגמר דינו, אם לא מדין מלך וסנהדרין, כמו "
Meshech Hochma,"Meshech Hochma, Bekhukotai 38",Temurah,," רחם בבנ""י, שתחת הוא ענין במקומו ותמורתו, וכמו דאמרינין זו תחת זו (תמורה ט' עיי""ש), וכמו וימליכה תחת ושתי, וזהו דוקא אם כבר נמנה וסמוך לעשיר"
Meshech Hochma,"Meshech Hochma, Bamidbar 29",Menachot,," ונתנו על המערכת לבונה כו' על בסמוך לא על ממש ויעוין פרק שתי הלחם (מנחות צ""ז ע""א). ויעוין שם צ""ו בתוס' ד""ה והא איכא בזיכין, דמוכח, דשולחן מקדש לב"
Meshech Hochma,"Meshech Hochma, Bamidbar 31",,," הקהתי. רמז במלת שבט, שמשפחת הקהתי שקול כשבט, וגמירי דלא כלה שבטא (ב""ב קט""ו), וזה הוא שנאמר לו והקמותי בריתי את זרעך אחריך כו'. וכמו שאמרו ב"
Meshech Hochma,"Meshech Hochma, Naso 5",,," קהת, ובמקום שצריך לישא הקרשים שנשאו בכתף ועבודת עבודה הוא כמו דאמרו (שבת צ""ח) דהוי קאי בן לוי דכי משתלפו קרשים נקיט להו, יעו""ש ברש""י, שהמשיכה"
Meshech Hochma,"Meshech Hochma, Naso 8",,," לענן ולריב עמהם, אבל המצורעים קבלו זה בשמחה להתכפר מעונם מזבח כפרה (ברכות ה' רש""י), א""כ לא היה כמקיים אזהרה, רק כאלו דבר ד' ג""כ עשו, וכמו דאמ"
Meshech Hochma,"Meshech Hochma, Naso 9",Shabbat,,") שצוהו לפרוש מהאשה, כן עשו בנ""י, שבשעה שהיו באים לעזרה פרשו מנשו"
Meshech Hochma,"Meshech Hochma, Naso 13",,," שנשים חייבות לראותה, שנאמר ונוסרו כל הנשים ולא תעשנה כמזימתכם כו' (סוטה ח'), ונשים חייבות בשמחה ובאות ברגל לירושלים, לכן אמר והקריב אותה לב"
Meshech Hochma,"Meshech Hochma, Naso 37",Shabbat,,"כה תברכו. שבת פרק כל כתבי (שבת קי""ח א)""ר יוסי מעולם לא עברתי על דברי חבירי יודע אני שאין אני כהן ואילו"
Meshech Hochma,"Meshech Hochma, Behaalotkha 9",Sanhedrin,," שגם למשה עשו כן בנ""י, שגילח כל בשרו וכבס בגדיו, כמו שמבואר בפ' חלק (סנהדרין דף ק""ח) איהו נמי קא עביד, וערש""י שם, מפני שהיה משורר. ולכן מהדר קרא משו"
Meshech Hochma,"Meshech Hochma, Behaalotkha 17",Arakhin,," פסח לא היו עושין רק הבאים מהגולה, וכל כמה דלא סליק עזרא לא חשיב (ערכין דף י""ג), לכן כיון שלא היה יסוד המעלה עדיין לא היו חשובים כצבור. ואף דאמ"
Meshech Hochma,"Meshech Hochma, Behaalotkha 27",Pesachim,," נדחית מפני המילה, דאי כולהו צבור ערלים אמרינין להו זילו מוהלו כו' (פסחים ס""ט) שוה עם שבת, שגם היא נדחית מפני המילה, לכן כשחל ע""פ בשבת לא ידעו"
Meshech Hochma,"Meshech Hochma, Korakh 29",Bava Batra,," שקדים. ולכן לעוה""ב יקחו מנשה ואפרים חלק אחד, כדאיתא פרק יש נוחלין (בבא בתרא דף קכ""ב) ברשב""ם ותוס' שם. וכן אמרו בספרי גדולה ברית שנכרתה לאהרן מברית ש"
Meshech Hochma,"Meshech Hochma, Korakh 58",Bekhorot,," דמעשר אסור לזרים), ולכן סד""א, דבטומאה היוצא מגופו לא אכלי (יעוין בכורות ל""ב), אמר וביתכם, ובנשים רבות מוכרח להיות נדה ויולדת וזבה, ומותרין ב"
Meshech Hochma,"Meshech Hochma, Khukkat 17",,," מעליו, עוד טומאתו בו לרבות שאם נטמא במת מצוה, חייב על כניסה דמקדש (מכות דף ח'), וזה כתוב גבי משכן ד' טמא, שבמשכן נקרה לפעמים שהיו צריכים לטמא "
Meshech Hochma,"Meshech Hochma, Khukkat 38",Ketubot,," פירוש, דנשיא שמחל על כבודו אין כבודו מחול, ות""ח שמחל על כבודו מחול (כתובות ט""ז), משום דמעלת החכם הוא קנין עצמי דבוק לנפש, ובזה לא נגרע מעלתו, כ"
Meshech Hochma,"Meshech Hochma, Balak  21",Sanhedrin,," במתניתא תנא כצמיד ע""י אשה ואילו ואתם הדבקים בד' אלדיכם דבוקים ממש (סנהדרין דף ס""ד ע""ב). הענין דתנן בגמ' ערובין ס""ט אדם מכם ולא כולכם פרט למומר כו' מן "
Meshech Hochma,"Meshech Hochma, Pinekhas 17",,," יושבין מ""ס חולקין כבוד לתלמיד במקום רב כו' הא דפליג לי' רבו יקרא כו' (ב""ב קי""ט). נראה דפליגי בהא דבריש אלו דברים אמר דהלכות הגעלת כלים נשתכח ממ"
Meshech Hochma,"Meshech Hochma, Pinekhas 23",Pesachim,," ומה ת""ל אלא אמר לפניו כו' ואם לאו כו'. דריש לאמר לשון לא אמור (עיין פסחים מ""ב), והיינו שאם לא תעשה כדברי הודיעני הן או לאו.
"
Meshech Hochma,"Meshech Hochma, Pinekhas 65",,," מנחתם ונסכיהם בלא וא""ו, הלא דבר הוא. ואולי יתכן כך, דבסוכה פרק החליל (סוכה דף נ""ה) אמר ר' אלעזר הני שבעים פרים כנגד שבעים אומות, ופרש""י שירדו גשמי"
Meshech Hochma,"Meshech Hochma, Masei 14",Makkot,," מות הכה""ג אשר משח אותו בשמן הקדש. וכי הוא מושחו אלא זה שנמשח בימיו (מכות י""א). והפירוש, שעד שלא נגמר דינו מת כה""ג ומנו אחר תחתיו ולאחר מכאן נ"
Meshech Hochma,"Meshech Hochma, Masei 24",Yoma,," אורים ותומים כתוב משפט, שאעפ""י שעל נביא חוזר גזרת או""ת אינה חוזרת (יומא ע""ב), לכן לא שאלו מאלעזר הכהן.
"
Meshech Hochma,"Meshech Hochma, Devarim 4",Sanhedrin,,"ואצוה את שופטיכם בעת ההיא לאמר. אמר ר' יוחנן כנגד מקל ורצועה (סנהדרין ז'). בגמ' חשיב כלי הדיינין מקל ורצועה ושופר זה לנדוי, אמנם כאן לא ח"
Meshech Hochma,"Meshech Hochma, Devarim 5",Bava Kamma,," הא תינוק שתקף בעבדיו וכו' ואמר שלי הוא כו' אלא מוציאין מידו מיד (ב""ק קי""ב). ולכך מסיק דוקא יתומים משום דקאי על מה דסליק מיניה זה מחזיק בשד"
Meshech Hochma,"Meshech Hochma, Va'etkhanan 17",Shabbat,," איפקוד במרה, ואמרו שם דאהוצאה לא איפקוד עד מתן תורה יעו""ש בתוספות (שבת פ""ז), אם כן עופות לאו בני מלאכה נינהו, כדאמר (סנהדרין נ""ט), ודש באוז"
Meshech Hochma,"Meshech Hochma, Va'etkhanan 17",Bava Kamma,,"וכל בהמתך. רבויא הוא לרבות עופות (ב""ק נ""ג), דכתיב שמור כו' כאשר צוך ד' אלודיך, והיכן איפקוד במרה, ואמרו שם"
Meshech Hochma,"Meshech Hochma, Va'etkhanan 31",,," כמעשה, למען תפוש ישראל בלבם, וע""ז אמרו אבל לצדיק גמור עין לא ראתה כו' (ברכות ל""ד), והמהרהר נאמר עליו לא תתורו אחרי לבבכם כו'. והנה בהטבת הקטרת חל"
Meshech Hochma,"Meshech Hochma, Va'etkhanan 34",Yevamot,," חקותיו כו' הוא לעשות סיגים וגדרים, שלא יבואו לפרוץ גוף החק והמצוה (כמו יבמות כ""א) אתה ובנך ובן בנך כל ימי חייך, פירוש אף שיש לך בני בנים וא""כ אתה"
Meshech Hochma,"Meshech Hochma, Va'etkhanan 39",Chullin,," פרוטה אחת, כמו שדרשו על יעקב ויותר לבדו, שנשאר בשביל פכין קטנים (חולין צ""ב), כדי שירגיש הנפש בתת המעשר לד', ויעשה זה ברגש תשואות וחפץ אלדי "
Meshech Hochma,"Meshech Hochma, Va'etkhanan 48",Yevamot,,"לא תתחתן בם. הגמרא פרק הערל (יבמות דף ע""ט) מסיק דבגירותן אית להו חתנות, וכתב הרמב""ן דמן התורה אינו אסור רק"
Meshech Hochma,"Meshech Hochma, Ekev 38",,," ט'). והפירוש דארץ היא ארץ ישראל כמו שאמרו ושולח מים על ארץ וחוצות (תענית דף יו""ד), ובארץ ישראל יהיה הקדושה לעתיד עד כי יפלא מעין המלאכים רוחניו"
Meshech Hochma,"Meshech Hochma, Ekev 38",Megillah,,"אגב אבאר מליצת התפלה והנשא על כל הארץ ביקרך, דיקר הוא לשון ארמי (מגילה דף ט'). והפירוש דארץ היא ארץ ישראל כמו שאמרו ושולח מים על ארץ וחוצות ("
Meshech Hochma,"Meshech Hochma, Re'eh 14",,," גבולך ויתן את הקיני, והקניזי, והקדמוני, ויהיה ללוי חלק ונחלה (עי' ב""ב נ""ד ועי' סמ""ג ומשל""מ סוף הלכות שמיטה) ולא יהיה נשתנה מכל שבטי ישראל,"
Meshech Hochma,"Meshech Hochma, Re'eh 30",,," שעבוד, אבל בקדושת דמים אין מפקיע מידי שעבוד, לכן תפלה בגדר חיי שעה (שבת ט') ולכך לא הוה רק קדושת דמים שאינו חל על עצם הנפש, לכן מידי שעבוד "
Meshech Hochma,"Meshech Hochma, Re'eh 37",Yoma,," מ""ז כשישראל אין עושין רצונו של מקום והיה מספר בנ""י כחול הים (וכן ביומא כ""ב) ואמר שפיר ראיה מהא דכתיב והיה מספר הרי דאין עושין רצונו של מקום"
Meshech Hochma,"Meshech Hochma, Re'eh 38",Chullin,," עו""ג שלא לדעת ישראל שרי לאכילה, רק כי נעשה ע""י ישראל אסור (ועיין חולין קט""ו ד""ה כל שתעבתי לך) וזהו כעין קנס הואיל ועשה מום בהקדש, וזה שייך ל"
Meshech Hochma,"Meshech Hochma, Re'eh 44",Chullin,," חיישי דלמא נטרף או נתנבלה אף במקום דטבחים ישראל. ועיין פרק גיד הנשה (חולין דף צ""ה) בתוס' ד""ה ובנמצא. "
Meshech Hochma,"Meshech Hochma, Re'eh 47",,," שבתות ויו""ט (האשה רבה דף צ""ד), והוא כמו שכתבו בתוס' פרק לא יחפור (בבא בתרא דף כ""א) שהמעשר מביא לידי יראה לפי שהיה עומד בירושלים כו' והיה רואה שכול"
Meshech Hochma,"Meshech Hochma, Re'eh 57",,," בך להיות לך לאשה, כי אוהבת אותך או את בנך. ורז""ל דרשו להענקה (עיין קדושין י""ט) וזה ואף לאמתך שההענקה הוא לאביה תעשה כן אף שאין ההענקה לעצמה. ו"
Meshech Hochma,"Meshech Hochma, Re'eh 58",,," גמרינן מלידה דאדם דליכא לידה רק ממקום שמזרעת, ויעוין פרק יש בכור (בכורות מ""ז ע""ב) בתוס' רק דסבר כרבנן דהזכר תקדיש היינו שיהא מצוה להקדישו בפה אע"""
Meshech Hochma,"Meshech Hochma, Re'eh 63",Rosh Hashanah,," אלדיך וכו' במקום אשר יבחר ומרבויא דכל מרבה בספרי שאר קדשים (עיין ר""ה ה' ותוס' שם ודו""ק), ובפרט לשיטת רמב""ם ז""ל קאי ג""כ על בעל מום, דזה ל"
Meshech Hochma,"Meshech Hochma, Shoftim 9",,," בהן עבירה ומוקצה וטרפה. ופלפול ארוך בדברי ר' יהושע בפרק אלו טריפות (חולין דף נ""ח), יעו""ש. וכפי הנראה מכאן כלישנא דאמר מחלוקת כשנרבעו כשהן מוקדשין"
Meshech Hochma,"Meshech Hochma, Shoftim 11",Sanhedrin,," בכל דבר שאתה יכול להמיתו, וכמו דמרבה הגמרא גבי רוצח בפרק נגמר הדין (סנהדרין דף מ""ה), ועיין ריש מכות תוס' ד""ה כל, ועיין מש""כ בחידושי על הרמב""ם ודו""ק"
Meshech Hochma,"Meshech Hochma, Shoftim 17",,,"עפ""י שנים עדים כו' יומת המת. מעיקרא (ברכות י""ח). נראה דקמ""ל קרא דברוצח שברח או נתערב בין אותם שלא נגמרו דינן וב"
Meshech Hochma,"Meshech Hochma, Shoftim 19",Bava Kamma,," העדים שהי' כבר, פירש דכתיב וסקלתם באבנים ומתו זה גמר דין (כמו דאמר בב""ק מ""ד והא השור יסקל כו') ולא נזכר יד העדים, דאף אם המה גידמים והא נגמר"
Meshech Hochma,"Meshech Hochma, Ki Tetze 38",,," אמרה הניחו לו שאילו לא נזקק לה היא שוכרתו, אפ""ה פטורה דיצרה אלבשה (כתובות פ' נערה), לכן אם מצאוה עדים נבעלת לאיש בעיר והתרו בה והיא רוצה לבלי"
Meshech Hochma,"Meshech Hochma, Ki Tetze 104",Yoma,," שעדיין לא היתה בביתו של זה ששלחה וכל כמה דלא כניס לה לאו ביתו הוי (יומא דף י""ב) והוי מן האירוסין לאירוסין. ודו""ק.
"
Meshech Hochma,"Meshech Hochma, Ki Tetze 154",,," גם מהשניה דכבר הותרה אליו ותו אינה נפקעת הזיקה למפריע (עיין היטב יבמות י""א), והיא אינה רק בעשה או בלאו ופליגי בזה תוס' והרמב""ם, וזה אינו בצ"
Meshech Hochma,"Meshech Hochma, Ki Tetze 154",,," השני והשלישי בלא כנוי, כמו ויעש גדי עזים, ויוצא אליו כו' ויגש כו' (שופטים י') ובכ""מ שבא בכנוי ידרשוהו רז""ל, ולכן כאן היה צ""ל ולקח ויבם, לכן ד"
Meshech Hochma,"Meshech Hochma, Ki Tavo 21",,," השמש והירח מעשה ידי השי""ת המה, לכן אמר האיש. ועיין בפרק ר' ישמעאל (עבודה זרה דף נ""ה) בזה ודו""ק.
"
Meshech Hochma,"Meshech Hochma, Ki Tavo 22",,," לכן אררו ע""ז. ולכן לא שביק רב לבריה למשקל מניה סילוא דלמא חביל ביה (סנהדרין פ""ד) ולמחול ליה דקאי בארור. וזה מכוון הירושלמי ריש פרק ר""א בנדרים דה"
Meshech Hochma,"Meshech Hochma, Ki Tavo 34",Nedarim,,"ועבדת את אויבך כו' ובחסר כל, זה דעת (נדרים מ""א) תחת כו' בשמחה ובטוב לבב מרוב כל. יתכן דכמו דבן זומא התבונן כמה "
Meshech Hochma,"Meshech Hochma, Nitzavim 30",,,"כי הוא חייך ואורך ימיך וכו'. ברכות פ' הרואה (ברכות דף ס""א) אמר רבה כגון אנו בינונים כו'. פי' דבינונים זה וזה שופטן, שיצר ה"
Meshech Hochma,"Meshech Hochma, Vayelekh 14",Yevamot,," והוא כשני דברים המתירין שמעלין זה בלא זה, וכדאמר בפרק מצות חליצה (יבמות דף ק""ד), דמשו""ה בכבשים המקדשים את הלחם נתקדש ע""י שחיטה בלא זריקה רק שקד"
Gevurot Hashem,"Gevurot Hashem, Second Introduction to Gevurot Hashem 6",,," הקב""ה. ולפעמים שהיה המופת על ידי מלאך, אלוה שלח מלאכא וסגר פום אריותא (דניאל ז) וכיוצא בזה במפלת סנחרב (מלכים ב' י""ט) ויצא מלאך ה' ויך במחנה אש"
Gevurot Hashem,"Gevurot Hashem, Second Introduction to Gevurot Hashem 7",,,) האומר הלל בכל יום כאלו מחרף ומגדף. פירוש כי ההלל תקנו על הנסים 
Gevurot Hashem,"Gevurot Hashem, Second Introduction to Gevurot Hashem 8",II Kings,," שמש בגבעון דום וירח בעמק אילון, וכן החזרת צל המעלות שנעשה לחזקיה (מלכים ב' כ'), קלקל בכתובים פגם בנביאים עשה פירושים של תוהו ובוהו, וזכות הנבי"
Gevurot Hashem,"Gevurot Hashem, Second Introduction to Gevurot Hashem 8",Joshua,," שיהיה שנוי נפלאות בגרמיים השמימיים, אחר כך התחיל לפרש הכתוב שאמר (יהושע ו') שמש בגבעון דום וירח בעמק אילון, וכן החזרת צל המעלות שנעשה לחזקי"
Gevurot Hashem,"Gevurot Hashem, Second Introduction to Gevurot Hashem 11",Kiddushin,," שכל ולא היה מי שהיה לו מעלת השכל כמו שהיה לאברהם, שבשביל כך אמרו (קידושין פ""ב ע""ב) קיים אברהם אבינו מחכמתו אפילו עירובי תבשילין. והדעת נותן כך שהו"
Gevurot Hashem,"Gevurot Hashem, Second Introduction to Gevurot Hashem 11",,,") שבו לכם פה עם החמור עם הדומה לחמור, ואין בן חורין רק השכל ולפיכ"
Gevurot Hashem,"Gevurot Hashem, Third Introduction to Gevurot Hashem 2",,,") כשזה קם זה נופל וזה מורה שאין אחדות לזרע עשו עם ישראל, וזה לא ת"
Gevurot Hashem,Gevurot Hashem 3:2,,,"ובמדרש שוחר טוב (תהלים קט""ז) ויוציא אתכם מכור ברזל כשם שהזהבי פושט ידו ונוטל הזהב מן הכור כך"
Gevurot Hashem,Gevurot Hashem 3:6,,," המצרים שולטים עליהם בכח ופועלים בהם. וכנגד אלו שני דברים אמר הכתוב (תהלים קט""ז) בצאת ישראל ממצרים בית יעקב מעם לועז, הזכיר כי יצאו ישראל בשני ח"
Gevurot Hashem,Gevurot Hashem 4:1,,," זו כדאיתא בויקרא רבה (פל""ב), ועליהם מפורש בקבלה גן נעול אחותי כלה (שיר השירים ג') אמר רבי פנחס גן נעול אלו הבתולות גל נעול אלו הבעולות מעין חתום "
Gevurot Hashem,Gevurot Hashem 8:10,Daniel,, לתור שהוא קטן. וידוע כי כאשר ראה דניאל ד' מלכיות אמר על חיה רביעית (דניאל ז') דהיא שניא לכך גם כן היה המין הד' משונה ממינים הראשונים שהיו בהמ
Gevurot Hashem,Gevurot Hashem 8:11,Daniel,,) ראיתי האיל והנה מנגח וגו' ומלכות יון נקרא הצפיר השעיר. כי שניהם
Gevurot Hashem,Gevurot Hashem 8:17,Exodus,,") כי יד על כס יה וגו', ומזה תבין גודל כח המן שהוא זרע עמלק שעליו "
Gevurot Hashem,Gevurot Hashem 9:8,,,") וישמע יתרו וגו', וכן ברחב הזונה ועל זה נאמר (שיר השירים א') שמן"
Gevurot Hashem,Gevurot Hashem 9:11,Shevuot,,") אמן בו שבועה אמן בו האמנת דברים אמן בו קבלת דברים. ר""ל כי האמונ"
Gevurot Hashem,Gevurot Hashem 10:3,Exodus,,") וינצלו את מצרים וכן הוא אומר לפני זה (בראשית ל""ה) כי טוב ארץ מצ"
Gevurot Hashem,Gevurot Hashem 10:3,,," מנצלים את מצרים דכתיב (שמות י""ד) וינצלו את מצרים וכן הוא אומר לפני זה (בראשית ל""ה) כי טוב ארץ מצרים לכם הוא ונתנבא שעתידים לעשות אותה כמצולה שאין "
Gevurot Hashem,Gevurot Hashem 15:1,Genesis,," עמוק כי הבנין הוא הפך הברכה כי בברכה אין גדר וגבול ולכך נאמר בברכה (בראשית ל""ח) ופרצת ימה וקדמה אין ברכה אלא בדבר הפרוץ ואין לו גדר וגבול, זהו "
Gevurot Hashem,Gevurot Hashem 17:1,Exodus,,") וארא אל אברהם אל יצחק ואל יעקב באל שדי ושמי ה' לא נודעתי להם, ו"
Gevurot Hashem,Gevurot Hashem 19:2,Sanhedrin,,") הכית לא נאמר אלא תכה לשון עתיד אע""ג שלא הכהו נקרא רשע, בהרמת יד"
Gevurot Hashem,Gevurot Hashem 21:2,Exodus,,) נוצר חסד לאלפים שהחסד שעושים האבות זוכר לבניהם ונוצר אותו והבן זה
Gevurot Hashem,Gevurot Hashem 33:5,,," הלכו כלם. וזה כי שלש האחרונות כלם הם נחשבים מיתה, אצל הארבה כתיב (שמות ט""ו) ויסר מעלי המות הזה, ומכת חושך בודאי זה נחשב מיתה דכתיב (איכה ג'"
Gevurot Hashem,Gevurot Hashem 36:4,,,) הזהירה התורה על אונאות הגר בכמה מקומות מפני שסורו רע ופירושו שש
Gevurot Hashem,Gevurot Hashem 37:5,Exodus,,") בני בכורי ישראל והיו נזוקים אף שאינם בכורים, דלא גרע מגדול הבית"
Gevurot Hashem,Gevurot Hashem 38:1,,," שולטים בזה כי אין מזיקים שולטים רק בשניות, כמו שידוע במה שאמרו חכמים (פסחים ק""ט ע""ב) שלא לאכול זוגות ולשתות זוגות כי המזיקים שולטים על זה ואינם שולט"
Gevurot Hashem,Gevurot Hashem 39:1,Deuteronomy,,") וראו כל עמי הארץ כי שם ה' נקרא עליך ויראו ממך, ואמר רבי אליעזר "
Gevurot Hashem,Gevurot Hashem 39:5,Shabbat,," ולשון לטוטפות הוא לשון תכשיט הנתון בראש כדמוכח בפרק במה אשה יוצאה (שבת נ""ג ע""ב) וצוה הכתוב שדבר זה שהוא יציאת מצרים שיהיה נחשב לתכשיט של כבוד ל"
Gevurot Hashem,Gevurot Hashem 39:6,Shabbat,," הבריאה, וימי הפסח השלמת סדר העולם בתולדותיו. וכבר ידעת שאמרו חכמים (שבת קנ""ו ע""א) בעת שהאדם נולד לפי אותה שעה ואותו מזל נמשכים כל עניני האדם, וה"""
Gevurot Hashem,Gevurot Hashem 44:4,Deuteronomy,," הוא השכל, והזרוע שבו כחו לכן נקרא זרוע על שם הזרוע והכח, וכדכתיב (דברים ט') ובזרועך הנטויה ודבר שהוא כחו הוא עיקר מציאותו, כי חזקו וכחו הוא"
Gevurot Hashem,Gevurot Hashem 44:5,,,") גם אני בכור אתנהו וזהו שיתן אותו גדול, ולפיכך אמרו חכמים במכת מ"
Gevurot Hashem,Gevurot Hashem 46:1,,,") ישמח ה' במעשיו והפך זה (בראשית ו') ויתעצב ה' אל לבו, לכך השמחה "
Gevurot Hashem,Gevurot Hashem 47:2,Ezekiel,,") ואת אילי הארץ לקח ובמדת הדין בא לה התשועה מאת השם יתברך, כי כאש"
Gevurot Hashem,Gevurot Hashem 47:5,Pesachim,," ואין ספק כי האש שייך לגיהנם, ודבר זה מבואר במקומות הרבה מאוד שאמרו (פסחים נ""ד) אש של גיהנם. ומה שאמר ועולה עשן מביניהם, פירוש כשם שהגיהנם נאמר"
Gevurot Hashem,Gevurot Hashem 47:6,Deuteronomy,," החלקים בכל מקום, וכאשר רוצה להזכיר הרבוי מזכיר אותו במספר שבעה כמו (דברים כ""ה) בדרך אחד יצאו אליך ובשבעה דרכים ינוסו מפניך וזה נזכר פעמים הרבה"
Gevurot Hashem,Gevurot Hashem 47:15,Bava Batra,," פני השור מן השמאל וזה צד צפון שנקרא שמאל ודרום ימין, ואמרו חכמים (ב""ב כ""ה ע""ב) הרוצה להעשיר יצפין ובדבר זה אין ספק. וחלק מדת הכבוד לנשר כי אין"
Gevurot Hashem,Gevurot Hashem 47:15,Chagigah,,"כי גאה גאה, בפרק אין דורשין (חגיגה י""ג ע""א) מה דכתיב שירו לה' כי גאה גאה שירו למי שמתגאה על גאים ד' גאים בע"
Gevurot Hashem,Gevurot Hashem 47:23,Sanhedrin,," הפרטים ואין זה שמושל על העולם כאשר מושל על דברים שהם פרטים. וזהו אמרם (סנהדרין ס""ב) שאין השד שולט על פחות מכשעורה, והטעם הוא מבואר כי פחות מכשעורה "
Gevurot Hashem,Gevurot Hashem 50:1,,,"בפרק ערבי פסחים (פסחים ק""ו ע""א) אמר רב ברונא אמר רב הנוטל ידיו לא יקדש אמר ליה רב יצחק בר שמואל"
Gevurot Hashem,Gevurot Hashem 52:5,,, הזה הוא נכון כאשר תדקדק בדבר הזה. ואלו ב' דברים זכרם בב' פסוקים (דברים ו') או הנסה אלקים לבא לקחת לו גוי מקרב גוי וגו' ובפסוק (שם מ') ויוצ
Gevurot Hashem,Gevurot Hashem 52:6,Ezekiel,," יפתח ה' את אוצרו, וגבי חיה (בראשית ל') ויפתח ה' את רחמה, וגבי תחיה (יחזקאל ל""ז) בפתחי קברותיכם שזה מורה שכלם דברים יוצאים אל הפעל אחר שלא היו ב"
Gevurot Hashem,Gevurot Hashem 52:8,Deuteronomy,," למה לו לספר, אין הדבר קשיא כי צריך לספר את הדבר וכמו שאמר הכתוב (דברים ט""ו) למען תזכור את יום צאתך לפיכך אף אם כלנו חכמים כלנו נבונים מצוה "
Gevurot Hashem,Gevurot Hashem 54:6,Numbers,," כן כאן לא יצא הפעל אל זולתו. ועוד כי נוכל לפרש כי אובד הוא שם כמו (במדבר כ""ו) ואחריתו עדי אובד, ונקרא לבן בשם אובד לפי שהוא אובד של יעקב כלומ"
Gevurot Hashem,Gevurot Hashem 55:1,,," במצרים תחת רשות מצרים כמו העובר שהוא בבטן אמו, כמו שדרשו ז""ל (שו""ט תהלים קט""ו) מן הכתוב או הנסה אלקים לבא לקחת לו גוי מקרב גוי, כמו הרועה ששומ"
Gevurot Hashem,Gevurot Hashem 60:1,Shabbat,," פשוט מצה כמו שהתבאר דבר זה פעמים הרבה מאוד, ובשביל כך קראו חכמים (שבת ע""ט ע""א) העור דלא מליח ולא קמיח מצה בשביל הפשיטות, ודבר שהוא פשוט הוא רא"
Gevurot Hashem,Gevurot Hashem 61:3,Shabbat,,"ובפרק כל כתבי (שבת קי""ח ע""א) אמרינן האומר הלל בכל יום כאלו מחרף ומגדף כלפי מעלה, והטעם שראוי"
Gevurot Hashem,Gevurot Hashem 63:1,,," יום טוב. ועוד ראיה שדוקא גבי שבת שייך לחם משנה, דבמדרש שוחר טוב (תהלים צ""ב) אמרו על כן נותן לכם לחם יומים כל עסקה של שבת כפול עומרה כפול שנ"
Gevurot Hashem,Gevurot Hashem 63:6,,," רק מפסיק לאחרים. ותימה גדולה דמאי שני מתלמידי דרב דבפרק כסוי הדם (חולין פ' ע""ב) אמרו שם דרב ברונא ורב חננאל תלמידי דרב הוו יתבי בסעודה קאים עלי"
Gevurot Hashem,Gevurot Hashem 66:2,Shabbat,," השכינה לרקיע ב'. בא דור אנוש וחטאו בע""ז כמו שאמרו חכמים בפ' כל כתבי (שבת קי""ח) כל שומר שבת מחללו וסמיך ליה אשרי אנוש יעשה זאת כל שומר שבת כהלכ"
Gevurot Hashem,Gevurot Hashem 70:2,Isaiah,,") וירום וגבה ונשא, ולפיכך המטה הוא ראשית מפני שמצד המטה אין קודם לו"
Gevurot Hashem,Gevurot Hashem 71:2,Nedarim,," מוציא כח לחוץ וזהו ענין החיות הוצאת הכח, כאשר תבין ממה שאמרו חכמים (נדרים ס""ד ע""ב) מי שאין לו בנים ואינו מוציא פירות נחשב מת, מזה תראה כי כל חיות "
Gevurot Hashem,Gevurot Hashem 71:2,,," השם הוא מרחיב בצרה, וכבר התבאר זה כי ההשתחויה היא לשם יה כמו שאמרו (סוכה נ""ב ע""ב) ליה אנו משתחוים וליה אנו מודים, וכיון שהשתחוו לשם יה יתברך ושם "
