Index Title,Ibn Ezra on Genesis
Ibn Ezra on Genesis 23:18:1,"<b>לעיני בני חת.</b> את אנשי המקום<i data-commentator=""Yahel Ohr"" data-order=""מד""></i>, וטעם:"
Ibn Ezra on Genesis 23:18:2,"<b>לכל באי שער עירו.</b> כל עובר ושב<i data-commentator=""Yahel Ohr"" data-order=""מה""></i><i data-commentator=""Karnei Ohr"" data-order=""יד""></i>:"
Ibn Ezra on Genesis 23:19:1,"<b>ואחרי כן קבר אברהם את שרה.</b> ומאז נתקיים השדה לאחוזת קבר<i data-commentator=""Yahel Ohr"" data-order=""מו""></i> לו ולזרעו<i data-commentator=""Yahel Ohr"" data-order=""מז""></i> ונזכרה זאת הפרשה<i data-commentator=""Yahel Ohr"" data-order=""מח""></i> להודיע מעלת ארץ ישראל על כל הארצות לחיים ולמתים<i data-commentator=""Yahel Ohr"" data-order=""מט""></i> ועוד לקיים דבר ד' לאברהם להיות לו נחלה<i data-commentator=""Yahel Ohr"" data-order=""נ""></i>:"
Ibn Ezra on Genesis 24:1:1,"<b>וד' ברך את אברהם בכל.</b> באורך ימים ועושר וכבוד ובנים, וזו<i data-commentator=""Yahel Ohr"" data-order=""א""></i> כל חמדת האדם<i data-commentator=""Yahel Ohr"" data-order=""ב""></i> ודרש שבתו היתה שמה בכל<i data-commentator=""Yahel Ohr"" data-order=""ג""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i> צריך להוסיף בי""ת משרת<i data-commentator=""Yahel Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 24:2:1,"<b>שים נא ידך תחת ירכי.</b> יש אומר רמז למילה<i data-commentator=""Yahel Ohr"" data-order=""ה""></i> ואילו היה כן היה נשבע בברית המילה ולא בשם<i data-commentator=""Yahel Ohr"" data-order=""ו""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i>, והקרוב אלי שהיה משפט בימים ההם לשום אדם ידו תחת ירך מי שהוא ברשותו<i data-commentator=""Yahel Ohr"" data-order=""ז""></i> והטעם אם אתה ברשותי שים נא ידך תחת ירכי, והאדון יושב והירך על היד, כטעם הנה ידי תחת רשותך<i data-commentator=""Yahel Ohr"" data-order=""ח""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i> לעשות רצונך, וזה המשפט עדיין בארץ הודו<i data-commentator=""Yahel Ohr"" data-order=""ט""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 24:3:1,"<b>וטעם אלהי השמים ואלהי הארץ.</b> במקום הזה, כי בת פלוני לפלוני בארץ מן השמים<i data-commentator=""Yahel Ohr"" data-order=""י""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>, והוא סוד<i data-commentator=""Yahel Ohr"" data-order=""יא""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>:"
Ibn Ezra on Genesis 24:3:2,"<b>הכנעני.</b> כלל לעשתי עשר גוים<i data-commentator=""Yahel Ohr"" data-order=""יב""></i>:"
Ibn Ezra on Genesis 24:4:1,"<b>כי אל ארצי.</b> זאת חרן שדר שם<i data-commentator=""Yahel Ohr"" data-order=""יג""></i>:"
Ibn Ezra on Genesis 24:4:2,"<b>מולדתי.</b> אור כשדים<i data-commentator=""Yahel Ohr"" data-order=""יד""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>:"
Ibn Ezra on Genesis 24:5:1,"<b>אולי.</b> ימצא על טעמים רבים<i data-commentator=""Yahel Ohr"" data-order=""טו""></i>, וכן ""אולי יעשה זרים"" (הושע ח ז)<i data-commentator=""Yahel Ohr"" data-order=""טז""></i>"
Ibn Ezra on Genesis 24:5:2,"נפתח ה""א הֶהָשֵב בפתח קטן<i data-commentator=""Yahel Ohr"" data-order=""יז""></i> בעבור שיש ה""א הבנין קמוץ<i data-commentator=""Yahel Ohr"" data-order=""יח""></i>, ואילו נפתח בפתח גדול<i data-commentator=""Yahel Ohr"" data-order=""יט""></i> היה כבד על הלשון<i data-commentator=""Yahel Ohr"" data-order=""כ""></i>:"
Ibn Ezra on Genesis 24:6:1,"<b>כל השמר מלעיל מלשון שמירה.</b><i data-commentator=""Yahel Ohr"" data-order=""כא""></i> ואשר מלרע לשון שמרים, כמו ""השמר והשקט"" (ישעי' ז ד)<i data-commentator=""Yahel Ohr"" data-order=""כב""></i> כטעם ""ושקט הוא על שמריו"" (ירמי' מח יא):"
Ibn Ezra on Genesis 24:7:1,"<b>הוא ישלח מלאכו.</b> תפלה<i data-commentator=""Yahel Ohr"" data-order=""כג""></i>, ואלו היתה נבואה, למה אמר ואם לא תאבה האשה<i data-commentator=""Yahel Ohr"" data-order=""כד""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i>:"
Ibn Ezra on Genesis 24:8:1,"<b>לא תשב שמה.</b> שיעמוד בארץ ישראל<i data-commentator=""Yahel Ohr"" data-order=""כה""></i> וטעם לא תשב<i data-commentator=""Yahel Ohr"" data-order=""כו""></i>, בעבור אברהם שהוא העיקר<i data-commentator=""Yahel Ohr"" data-order=""כז""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>:"
Ibn Ezra on Genesis 24:11:1,"<b>ויברך הגמלים.</b> הבריכם על ברכיהם<i data-commentator=""Yahel Ohr"" data-order=""כח""></i><i data-commentator=""Karnei Ohr"" data-order=""י""></i>:"
Ibn Ezra on Genesis 24:12:1,"<b>הקרה נא לפני.</b> כטעם הכן הפצי לפני<i data-commentator=""Yahel Ohr"" data-order=""כט""></i>, וכן ""כי הקרה ד' אלהיך"" (למטה כז כ)<i data-commentator=""Yahel Ohr"" data-order=""ל""></i><i data-commentator=""Karnei Ohr"" data-order=""יא""></i>:"
Ibn Ezra on Genesis 24:14:1,"<b>אותה הוכחת.</b><i data-commentator=""Karnei Ohr"" data-order=""יב""></i> נסמך העבד על תפלת הנביא<i data-commentator=""Yahel Ohr"" data-order=""לא""></i> שהשם ענהו<i data-commentator=""Yahel Ohr"" data-order=""לב""></i>, והוכיח בחלום<i data-commentator=""Yahel Ohr"" data-order=""לג""></i> על יד המלאך שהוא שליח השם לעזרו<i data-commentator=""Yahel Ohr"" data-order=""לד""></i>, והעבד חשב בלבו כי אין עם נדיב כמו משפחת אדוניו<i data-commentator=""Yahel Ohr"" data-order=""לה""></i> ורבים יתמהו באמרם שלא שאל כהוגן<i data-commentator=""Yahel Ohr"" data-order=""לו""></i><i data-commentator=""Karnei Ohr"" data-order=""יג""></i>, ולא ידעתי למה, כי אילו היתה נערה אחרת שתשקהו ותשקה לגמליו, ומצאה שהיא ממשפחה אחרת היה עוזב אותה ולא הפסיד כלום<i data-commentator=""Yahel Ohr"" data-order=""לז""></i>, כי ויאמר בת מי את, פירושו וכבר אמר לה קודם שיתן לה כלום, וכן אמר ואשאל אותה, ואשים הנזם<i data-commentator=""Yahel Ohr"" data-order=""לח""></i> וכלל הדבר שהתפלל לשם שיוכיח אחת ממשפחת אדוניו, וההוכחה שתעשה דרך מוסר, כמו בת נדיב והשם שמע תפלתו<i data-commentator=""Yahel Ohr"" data-order=""לט""></i> ודרך יהונתן אחרת<i data-commentator=""Yahel Ohr"" data-order=""מ""></i><i data-commentator=""Karnei Ohr"" data-order=""יד""></i>:"
Ibn Ezra on Genesis 24:16:1,"<b>ואיש לא ידעה.</b> רחוק שידבר הכתוב על חוץ הדרך<i data-commentator=""Yahel Ohr"" data-order=""מא""></i><i data-commentator=""Karnei Ohr"" data-order=""טו""></i>, רק פי' שיתכן שתהיה הנערה בתולה וישכב עמה איש<i data-commentator=""Yahel Ohr"" data-order=""מב""></i> גם תהר<i data-commentator=""Yahel Ohr"" data-order=""מג""></i> ואין ראוי לגלות דבר ערוה<i data-commentator=""Yahel Ohr"" data-order=""מד""></i>:"
Ibn Ezra on Genesis 24:21:1,"<b>והאיש מִשְתָּאֵה.</b> כמו משתומם<i data-commentator=""Yahel Ohr"" data-order=""מה""></i><i data-commentator=""Karnei Ohr"" data-order=""טז""></i> מגזרת ""שאו ערים"" (ישעי' ו יא), תשאה שממה (שם שם),"
Ibn Ezra on Genesis 24:21:2,"וטעם לה כמו בשבילה<i data-commentator=""Yahel Ohr"" data-order=""מו""></i> וכן אשתומם כשעה חדא (דניאל ד טז)<i data-commentator=""Yahel Ohr"" data-order=""מז""></i> והתי""ו מבנין התפעל<i data-commentator=""Yahel Ohr"" data-order=""מח""></i> כמו נתראה פנים (מ""ב יד ח), ולא יתכן היותו מן שתה<i data-commentator=""Yahel Ohr"" data-order=""מט""></i><i data-commentator=""Karnei Ohr"" data-order=""יז""></i>:"
Ibn Ezra on Genesis 24:22:1,"<b>נזם.</b> יש נזם שהוא באף<i data-commentator=""Yahel Ohr"" data-order=""נ""></i> גם באזן<i data-commentator=""Yahel Ohr"" data-order=""נא""></i><i data-commentator=""Karnei Ohr"" data-order=""יח""></i>, ושעל האף ירד מעל פתיל קשור במצח<i data-commentator=""Yahel Ohr"" data-order=""נב""></i>:"
Ibn Ezra on Genesis 24:22:2,"<b>בקע.</b> חצי שקל מגזרת נבקע<i data-commentator=""Yahel Ohr"" data-order=""נג""></i><i data-commentator=""Karnei Ohr"" data-order=""יט""></i>:"
Ibn Ezra on Genesis 24:22:3,"<b>וצמידים.</b> מגזרת צמיד פתיל (במד' יט טו)<i data-commentator=""Yahel Ohr"" data-order=""נד""></i>, כי על היד האחת הצמיד האחד, הוא שנים, וצורתו ידועה<i data-commentator=""Yahel Ohr"" data-order=""נה""></i><i data-commentator=""Karnei Ohr"" data-order=""כ""></i>:"
Ibn Ezra on Genesis 24:23:1,"<b>ללין.</b> מן הבנין הכבד הנוסף<i data-commentator=""Yahel Ohr"" data-order=""נו""></i> כי ללון מן הקל<i data-commentator=""Yahel Ohr"" data-order=""נז""></i><i data-commentator=""Karnei Ohr"" data-order=""כא""></i>:"
Ibn Ezra on Genesis 24:32:1,"<b>ומספוא.</b> שם מאכל בהמות והוא שם כלל, ותחתיו שעורה<i data-commentator=""Yahel Ohr"" data-order=""נח""></i><i data-commentator=""Karnei Ohr"" data-order=""כב""></i>:"
Ibn Ezra on Genesis 24:33:1,"<b>ויישם.</b> מהבנין שלא נזכר שם פועלו<i data-commentator=""Yahel Ohr"" data-order=""נט""></i> כמו ""ויושב את משה"" (שמות יו""ד ח),"
Ibn Ezra on Genesis 24:34:1,"וי""א כי טעם עבד אברהם אנכי נדבק עם דבר המאכל, והטעם כי יש מאכלים אסורים לנו<i data-commentator=""Yahel Ohr"" data-order=""ס""></i> והנכון שדבריו כמשמעם<i data-commentator=""Yahel Ohr"" data-order=""סא""></i><i data-commentator=""Karnei Ohr"" data-order=""כג""></i>:"
Ibn Ezra on Genesis 24:41:1,"<b>אז תנקה מאלתי.</b> ולא אמר משבועתי<i data-commentator=""Yahel Ohr"" data-order=""סב""></i> והטעם כי אפחד מאדני ומאלתו<i data-commentator=""Yahel Ohr"" data-order=""סג""></i><i data-commentator=""Karnei Ohr"" data-order=""כד""></i>:"
Ibn Ezra on Genesis 24:49:1,"<b>חסד.</b> דבר שאינו חיוב<i data-commentator=""Yahel Ohr"" data-order=""סד""></i>:"
Ibn Ezra on Genesis 24:49:2,"<b>ואמת.</b> לקיים דבר החסד<i data-commentator=""Yahel Ohr"" data-order=""סה""></i><i data-commentator=""Karnei Ohr"" data-order=""כה""></i>, והמלה מגזרת אמונה<i data-commentator=""Yahel Ohr"" data-order=""סו""></i><i data-commentator=""Karnei Ohr"" data-order=""כו""></i> והתי""ו לשון נקבה<i data-commentator=""Yahel Ohr"" data-order=""סז""></i>:"
Ibn Ezra on Genesis 24:51:1,"<b>דבר ד'.</b> גזר, וכן ""בדבר ד' שמים נעשו"" (תה' לג ו)<i data-commentator=""Yahel Ohr"" data-order=""סח""></i><i data-commentator=""Karnei Ohr"" data-order=""כז""></i>, או הוכיח בחלום<i data-commentator=""Yahel Ohr"" data-order=""סט""></i>:"
Ibn Ezra on Genesis 24:53:1,"<b>ומגדנות.</b> מגזרת מגדים (שה""ש ד יג)<i data-commentator=""Yahel Ohr"" data-order=""ע""></i>, או פי' מלבושים נכבדים ויהי' הנו""ן שרש<i data-commentator=""Yahel Ohr"" data-order=""עא""></i><i data-commentator=""Karnei Ohr"" data-order=""כח""></i> כמו מטפחות<i data-commentator=""Yahel Ohr"" data-order=""עב""></i>:"
Ibn Ezra on Genesis 24:55:1,"<b>ויאמר אחיה ואמה.</b> הם שקיבלו המתנות והאב מחריש<i data-commentator=""Yahel Ohr"" data-order=""עג""></i><i data-commentator=""Karnei Ohr"" data-order=""כט""></i>, ויתכן שלבן היה גדול מאביו בחכמה וכבוד כי כן מצאנו ויען לבן ובתואל (למעלה פ' נ)<i data-commentator=""Karnei Ohr"" data-order=""ל""></i>:"
Ibn Ezra on Genesis 24:59:1,"<b>מנקתה.</b> בימים הקדמונים<i data-commentator=""Yahel Ohr"" data-order=""עד""></i><i data-commentator=""Karnei Ohr"" data-order=""לא""></i>:"
Ibn Ezra on Genesis 24:61:1,"<b>ותרכבנה.</b> על הגמלים שהביא העבד<i data-commentator=""Yahel Ohr"" data-order=""עה""></i>:"
Ibn Ezra on Genesis 24:61:2,"<b>וַיֵלַך.</b> פתוח<i data-commentator=""Yahel Ohr"" data-order=""עו""></i> ואם הוא סוף פסוק, ולא נקמץ כי בתחלה היה בפתח קטן<i data-commentator=""Yahel Ohr"" data-order=""עז""></i>, ולא יוכל לעלות שתי מדרגות<i data-commentator=""Yahel Ohr"" data-order=""עח""></i>, וכן כל ויֹאמַר<i data-commentator=""Yahel Ohr"" data-order=""עט""></i>"
Ibn Ezra on Genesis 24:61:3,"וטעם ויקח העבד את רבקה וילך, הוא היה הולך עם רבקה<i data-commentator=""Yahel Ohr"" data-order=""פ""></i> ולא הרגיש עד בא יצחק<i data-commentator=""Yahel Ohr"" data-order=""פא""></i>:"
Ibn Ezra on Genesis 24:62:1,"<b>בא מבוא.</b> שם מקום יקרא בב' שמות<i data-commentator=""Yahel Ohr"" data-order=""פב""></i> וי""א בא מבוא מבפנים<i data-commentator=""Yahel Ohr"" data-order=""פג""></i> וכן יפרשו ""סוגר כל בית מבוא"" (ישעי' כד יו""ד) והישר בעיני שהוא שם הפועל, וכן טעמו, בא מבוא באר לחי<i data-commentator=""Yahel Ohr"" data-order=""פד""></i><i data-commentator=""Karnei Ohr"" data-order=""לב""></i>:"
Ibn Ezra on Genesis 24:62:2,"<b>והוא יושב.</b> כי בימים ההם שם היה דר<i data-commentator=""Yahel Ohr"" data-order=""פה""></i> והוא בפאת נגב מארץ ישראל<i data-commentator=""Yahel Ohr"" data-order=""פו""></i>:"
Ibn Ezra on Genesis 24:63:1,"<b>לשוח.</b> ללכת בין השיחים<i data-commentator=""Yahel Ohr"" data-order=""פז""></i><i data-commentator=""Karnei Ohr"" data-order=""לג""></i>:"
Ibn Ezra on Genesis 24:63:2,"<b>לפנות ערב.</b> קרוב מביאת השמש<i data-commentator=""Yahel Ohr"" data-order=""פח""></i>, וההפך לפנות בקר<i data-commentator=""Yahel Ohr"" data-order=""פט""></i>, ובפ' כי תצא אבארנו באר היטיב<i data-commentator=""Yahel Ohr"" data-order=""צ""></i>:"
Ibn Ezra on Genesis 24:64:1,"<b>וטעם ותפול מעל הגמל.</b> ברצונה<i data-commentator=""Yahel Ohr"" data-order=""צא""></i> כמו ""ויפול על פניו"" (במד' טז ד)<i data-commentator=""Yahel Ohr"" data-order=""צב""></i><i data-commentator=""Karnei Ohr"" data-order=""לד""></i>, והפסוק הבא מאוחר<i data-commentator=""Yahel Ohr"" data-order=""צג""></i> הוא מוקדם, כי ותאמר אל העבד וכבר אמרה אל העבד<i data-commentator=""Yahel Ohr"" data-order=""צד""></i><i data-commentator=""Karnei Ohr"" data-order=""לה""></i>:"
Ibn Ezra on Genesis 24:65:1,"<b>ותתכס.</b> מבנין התפעל<i data-commentator=""Yahel Ohr"" data-order=""צה""></i> התי""ו הראשון לנקבה שאיננה נמצאה<i data-commentator=""Yahel Ohr"" data-order=""צו""></i>, והשני להתפעל<i data-commentator=""Yahel Ohr"" data-order=""צז""></i><i data-commentator=""Karnei Ohr"" data-order=""לו""></i>:"
Ibn Ezra on Genesis 24:67:1,"<b>האהלה שרה אמו.</b> דרך קצרה, האהלה אהל שרה אמו,<i data-commentator=""Yahel Ohr"" data-order=""צח""></i> וכן ""הנבואה עודד הנביא"" (דה""ב טו ח)<i data-commentator=""Yahel Ohr"" data-order=""צט""></i> ""כסאך אלהים"" (תה' מה ז)<i data-commentator=""Yahel Ohr"" data-order=""ק""></i>:"
Ibn Ezra on Genesis 25:1:1,"<b>קטורה.</b> איננה הגר<i data-commentator=""Yahel Ohr"" data-order=""א""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i>, כי כתוב ולבני הפילגשים אשר לאברהם נתן אברהם (למטה פ' ו)<i data-commentator=""Yahel Ohr"" data-order=""ב""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i>, ופי' פלגש שפחה<i data-commentator=""Yahel Ohr"" data-order=""ג""></i> וזה השם איננו נופל על זכר<i data-commentator=""Yahel Ohr"" data-order=""ד""></i>, ונוכל לפרש על פילגשים נשים<i data-commentator=""Yahel Ohr"" data-order=""ה""></i>:"
Ibn Ezra on Genesis 25:3:1,"<b>אשורים.</b> י""א כי אשורים שהי' יודעים הדרכים<i data-commentator=""Yahel Ohr"" data-order=""ו""></i>, ולטושים צופים מרחוק<i data-commentator=""Yahel Ohr"" data-order=""ז""></i>, והנכון בעיני כי הם שמות<i data-commentator=""Yahel Ohr"" data-order=""ח""></i>, ואין בהם תואר שם<i data-commentator=""Yahel Ohr"" data-order=""ט""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i>:"
Ibn Ezra on Genesis 25:6:1,"<b>מתנות.</b> ממון נתן להם<i data-commentator=""Yahel Ohr"" data-order=""י""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 25:6:2,"קדמה. פי' אל ארץ קדם<i data-commentator=""Yahel Ohr"" data-order=""יא""></i>, וכן ""אשר לא יעבדו אותו את נבוכדנצר"" (ירמי' כז ח)<i data-commentator=""Yahel Ohr"" data-order=""יב""></i>, וקדם מזרח א""י<i data-commentator=""Yahel Ohr"" data-order=""יג""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>, וי""א אל מקום בן ישמעאל<i data-commentator=""Yahel Ohr"" data-order=""יד""></i> והראשון נכון<i data-commentator=""Yahel Ohr"" data-order=""טו""></i>:"
Ibn Ezra on Genesis 25:8:1,"<b>מלת וינוע.</b> צאת הרוח מהגוף רגע אחד בלי עינוי ועיכוב<i data-commentator=""Yahel Ohr"" data-order=""טז""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>, הלא תראה ""ויאסוף רגליו אל המטה"" (למטה מט ג), ומיד גוע<i data-commentator=""Yahel Ohr"" data-order=""יז""></i> והנה כל גויעה מיתה<i data-commentator=""Yahel Ohr"" data-order=""יח""></i> ואין כל מיתה גויעה<i data-commentator=""Yahel Ohr"" data-order=""יט""></i> על כן כתוב במבול ויגוע (למעלה ז כא)<i data-commentator=""Yahel Ohr"" data-order=""כ""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>:"
Ibn Ezra on Genesis 25:8:2,"<b>ופי' וימת אברהם</b><i data-commentator=""Yahel Ohr"" data-order=""כא""></i>. שמת בשיבה טובה<i data-commentator=""Yahel Ohr"" data-order=""כב""></i>:"
Ibn Ezra on Genesis 25:8:3,"<b>ויאסוף אל עמיו.</b> י""א כי על כבוד הנפש אמר, כי בהיותו מתעסקים עם הגוף הוא כחלק נפרד<i data-commentator=""Yahel Ohr"" data-order=""כג""></i>, ובהפרד מהגוף יאסף הכבוד אל עמיו<i data-commentator=""Yahel Ohr"" data-order=""כד""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i>, וי""א כי זה משפט הלשון,<i data-commentator=""Yahel Ohr"" data-order=""כה""></i> והטעם על לכתו בדרך אבותיו כאלו יתחבר אליהם<i data-commentator=""Yahel Ohr"" data-order=""כו""></i>, וכן ""ואתה תבוא אל אבותיך בשלום"" (למעלה טו טו)<i data-commentator=""Yahel Ohr"" data-order=""כז""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>:"
Ibn Ezra on Genesis 25:16:1,"<b>ובטירותם.</b> ארמונים<i data-commentator=""Yahel Ohr"" data-order=""כח""></i><i data-commentator=""Karnei Ohr"" data-order=""י""></i> כמו ""טירת כסף"" (ש""ה ח ט)<i data-commentator=""Yahel Ohr"" data-order=""כט""></i><i data-commentator=""Karnei Ohr"" data-order=""יא""></i>:"
Ibn Ezra on Genesis 25:16:2,"<b>לאמותם.</b> בשורק, מצאנו אמות<i data-commentator=""Yahel Ohr"" data-order=""ל""></i>, ואומים<i data-commentator=""Yahel Ohr"" data-order=""לא""></i><i data-commentator=""Karnei Ohr"" data-order=""יב""></i>, ולמ""ד לאמותם נוסף כלמ""ד לגוייהם<i data-commentator=""Yahel Ohr"" data-order=""לב""></i>, ואיננו כלמ""ד ""בלאמים"" (תה' קמט ז) כי הוא שרש<i data-commentator=""Yahel Ohr"" data-order=""לג""></i> כמו ""ולאום מלאום יאמץ"" (למטה פסוק כג)<i data-commentator=""Yahel Ohr"" data-order=""לד""></i>, והטעם שהוא בלמ""ד<i data-commentator=""Yahel Ohr"" data-order=""לה""></i> ובחסרונו<i data-commentator=""Yahel Ohr"" data-order=""לו""></i> שוה והם שני שרשים<i data-commentator=""Yahel Ohr"" data-order=""לז""></i>:"
Ibn Ezra on Genesis 25:18:1,<b>על פני כל אחיו.</b> הם זמרן ויקשן:
Ibn Ezra on Genesis 25:18:2,"<b>נפל.</b> חלקו או גורלו<i data-commentator=""Yahel Ohr"" data-order=""לח""></i>, או שרוב בני ישמעאל נוסעים ממקום אל מקום, כטעם ""אל הכשדים אתה נופל"" (ירמי' לז יג)<i data-commentator=""Yahel Ohr"" data-order=""לט""></i><i data-commentator=""Karnei Ohr"" data-order=""יג""></i>, וזה מעט רחוק<i data-commentator=""Yahel Ohr"" data-order=""מ""></i> בעבור שאחיו במזרח<i data-commentator=""Yahel Ohr"" data-order=""מא""></i> ומצרים ואשור למערב א""י<i data-commentator=""Yahel Ohr"" data-order=""מב""></i><i data-commentator=""Karnei Ohr"" data-order=""יד""></i>, ויתכן שהכתוב דבר על ישמעאל שמת בחיי אחיו אחד שנפל<i data-commentator=""Yahel Ohr"" data-order=""מג""></i>, כי לא ידענו סבת מותו<i data-commentator=""Yahel Ohr"" data-order=""מד""></i>:"
Ibn Ezra on Genesis 25:19:1,"<b>ואלה.</b> אחר שהזכיר תולדות ישמעאל שב להזכיר תולדות יצחק שהם עשו ויעקב<i data-commentator=""Yahel Ohr"" data-order=""א""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i>, וי""א כי טעם הוליד את יצחק שהיה דומה לאביו<i data-commentator=""Yahel Ohr"" data-order=""ב""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i> וכל רואיו יעידו כי אברהם הולידו<i data-commentator=""Yahel Ohr"" data-order=""ג""></i> וי""א כי טעם הוליד גדל ורבה, כמו ""יולדו על ברכי יוסף"" (למטה נ' כג)<i data-commentator=""Karnei Ohr"" data-order=""ג""></i>, והעד שאמר ""וישלחם מעל יצחק בנו"" (למעלה פסוק ו')<i data-commentator=""Yahel Ohr"" data-order=""ד""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 25:20:1,"<b>מפדן.</b> שדה<i data-commentator=""Yahel Ohr"" data-order=""ה""></i>, וכן בלשון ישמעאל<i data-commentator=""Yahel Ohr"" data-order=""ו""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>:"
Ibn Ezra on Genesis 25:20:2,"<b>אחות לבן.</b> הוא ידוע ונכבד מאביה<i data-commentator=""Yahel Ohr"" data-order=""ז""></i>, וכן אחות נחשון (שמות ו כג)<i data-commentator=""Yahel Ohr"" data-order=""ח""></i>:"
Ibn Ezra on Genesis 25:21:1,"<b>ויעתר.</b> מבנין הקל<i data-commentator=""Yahel Ohr"" data-order=""ט""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>, כי ""העתירו אל ה'"" (שמות ח ד) מהכבד<i data-commentator=""Yahel Ohr"" data-order=""י""></i> וטעמו שרצה ה' בדבריהם<i data-commentator=""Yahel Ohr"" data-order=""יא""></i>:"
Ibn Ezra on Genesis 25:21:2,"<b>ויעתר.</b> ויתרצה<i data-commentator=""Yahel Ohr"" data-order=""יב""></i> מבנין נפעל<i data-commentator=""Yahel Ohr"" data-order=""יג""></i>:"
Ibn Ezra on Genesis 25:22:1,"<b>ויתרוצצו.</b> מלשון מרוצה<i data-commentator=""Yahel Ohr"" data-order=""יד""></i> והצדי""ק כפול, ואחיו<i data-commentator=""Yahel Ohr"" data-order=""טו""></i> ""כברקים ירוצצו"" (נחום ב ה)<i data-commentator=""Yahel Ohr"" data-order=""טז""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>, ונקראו בנים על שם סופם<i data-commentator=""Yahel Ohr"" data-order=""יז""></i> וכן ""ובגדי ערומים תפשיט"" (איוב כב ו)<i data-commentator=""Yahel Ohr"" data-order=""יח""></i>, והיא שאלה לנשים שילדו<i data-commentator=""Yahel Ohr"" data-order=""יט""></i> אם ארע להם ככה, ותאמרנה לא<i data-commentator=""Yahel Ohr"" data-order=""כ""></i>:"
Ibn Ezra on Genesis 25:22:2,"<b>וטעם ותאמר אם כן.</b> הדבר והמנהג, למה זה אנכי בהריון משונה<i data-commentator=""Yahel Ohr"" data-order=""כא""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i>:"
Ibn Ezra on Genesis 25:23:1,"<b>ויאמר ד' לה.</b> על ידי נביא<i data-commentator=""Yahel Ohr"" data-order=""כב""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>, או אברהם בעצמו<i data-commentator=""Yahel Ohr"" data-order=""כג""></i> כי לא מת עד שהי' בניה בני ט""ו שנה<i data-commentator=""Yahel Ohr"" data-order=""כד""></i>:"
Ibn Ezra on Genesis 25:23:2,"<b>ורב.</b> הוא הפועל<i data-commentator=""Yahel Ohr"" data-order=""כה""></i> וכן ""בן יכבד אב"" (מלאכי א ו)<i data-commentator=""Yahel Ohr"" data-order=""כו""></i> ועוד אפרש זה הפסוק<i data-commentator=""Yahel Ohr"" data-order=""כז""></i>:"
Ibn Ezra on Genesis 25:24:1,"<b>תומים.</b> בחסרון אל""ף השרש<i data-commentator=""Yahel Ohr"" data-order=""כח""></i>, כמו ""אם לא שריתך לטוב"" (ירמי' טו יא), שפירושו נתתי שאריתך לטוב<i data-commentator=""Yahel Ohr"" data-order=""כט""></i><i data-commentator=""Karnei Ohr"" data-order=""י""></i>:"
Ibn Ezra on Genesis 25:25:1,"<b>יו""ד אדמוני.</b> נוסף כיו""ד אכזרי<i data-commentator=""Yahel Ohr"" data-order=""ל""></i>,"
Ibn Ezra on Genesis 25:25:2,"ואין מלת כאדרת סמוכה<i data-commentator=""Yahel Ohr"" data-order=""לא""></i> רק טעמו כולו שער כאדרת<i data-commentator=""Yahel Ohr"" data-order=""לב""></i><i data-commentator=""Karnei Ohr"" data-order=""יא""></i>, ועל דעת אחרים שהיא סמוכה<i data-commentator=""Yahel Ohr"" data-order=""לג""></i>:"
