term english,term translation,term alternate,term hebrew,term hebrew alternate,hebrew description,english description,,
Ban,,bet-nun,"ב""ן",,,"<i>Ban</i>, or <i>bet-nun</i>, is the numerical value of 52 in Hebrew letters (<i>nun</i>=50; <i>bet</i>=2). This numerical value is derived from the letters of the Tetragrammaton, the four-letter name of God referred to as the name of <<Havaya>>, when they are spelled out in full using the letter <i>heh</i>. In other words, each of its letters of the name of <<Havaya>> is written out as a separate word, and the letter <i>heh</i> is used in order to fill out the letters, as follows: The <i>yod</i> is spelled out as <i>yod-vav-dalet</i> (יוד), the <i>heh</i> is spelled <i>heh-heh</i> (הה), the <i>vav</i> is spelled <i>vav-vav</i> (וו), and the final <i>heh</i> is spelled <i>heh-heh</i> (הה). <i>Ban</i> represents the <<level>> of <<</i>Malkhut</i>>> or the light of <<</i>Malkhut</i>>>.",121,
World of Nekudim,points,Nekudim,עוֹלָם הַנְּקוּּדִים,,,"The world of <i>nekudim</i> is the second of the worlds of <<<i>Adam Kadmon</i>>>. It is called by this name because the spiritual <<levels>> within it are called <i>nekudot</i>, or points. In this context, the <i>nekuda</i> refers to <<<i>Malkhut</i>>>, the fourth <<level>>, after the first <<constriction (<i>tzimtzum</i>)>> occurred. As a result of this constriction, <<<i>Malkhut</i>>> is only a black point without any light whatsoever.Then,as a result of the <<second constriction (<i>tzimtzum</i>)>>, <<<i>Malkhut</i>>> and the <<partition>> that is upon it became intermingled within all the <<<i>sefirot</i>>> and are then present in all the <<<i>sefirot</i>>>. As a result of this intermingling, there are ten <i>nekudot</i>, or ten <i>Malkhuyot</i> with <<partitions>> because the <<level>> of <<<i>Malkhut</i>>> with its <<partition>> is present in each of the ten <<<i>sefirot</i>>>. This contrasts with the preceding worlds, in which there was only one <<<i>Malkhut</i>>> and one <<partition>>. The world of <i>nekudim</i> is also called the “world of breaking,” or the “world of chaos,” because the shattering of the vessels occurred in this world. ",165,
World of Tikkun,rectification,Rectification,עוֹלַם הַתִּיקּוּן,,,"The world of <i>tikkun</i>, or rectification, refers to the four worlds of <<</i>Atzilut</i> (Emanation)>>, <<</i>Beria</i> (Creation)>>, <<</i>Yetzira</i> (Formation)>>, and <<</i>Asiya</i> (Action)>> in which a rectification occurs for the shattering of the vessels. This shattering occurred as a result of the second <<constriction (<i>tzimtzum</i>)>> and the ensuing processes, which caused a discrepancy between the vessels and the lights. The world of <i>tikkun</i> differs from the worlds that came before it primarily in two ways: First, in contrast to the previous worlds, in which the <<</i>sefirot</i>>> are structured on a single line or column, in the world of <i>tikkun</i> the <<</i>sefirot</i>>> are arranged in the form of three lines: <i>ḥesed,</i> kindness, to the right, <i>din</i>, judgment, to the left, and <i>raḥamim</i>, mercy, in the middle. This is referred to as the “rectification of lines.” Second, the world of <i>tikkun</i> contains the <i>parsa</i> (separation), which is formed as a result of the ascent of <<</i>Malkhut</i>>> in <<second constriction (<i>tzimtzum</i>)>>. This ascent allows for combinations between the <<levels>> and the drawing forth of various lights at different times.",174,
,Inner Light,inner light,אוֹר פְּנִימִי,,,"The inner light refers to the supernal light that successfully permeates and is <<enclothed>> within every <<level>> of reality, in accordance with the <<level>>’s capacity to contain it at any given time. This contrasts with <<surrounding light>>, the light that reality cannot contain because it is too limited to contain the infinite divine light and so the surrounding light cannot shine within reality at present (but will do so in the future).",72,
,Surrounding Light,surrounding light,אוֹר מַקִּיף,,,"Although the supernal light wishes to permeate every <<level>> of reality, reality cannot fully contain it on account of its limited vessels, or receptacles. Therefore the supernal light that cannot be contained, called surrounding light, is always situated in the background and so has an indirect influence on reality. This contrasts with the <<inner light>>, which is the supernal light that is currently <<enclothed>> in reality and permeates it in accordance with the reality’s capacity to contain it. When reality is fully rectified in the future, the surrounding light too will be able to permeate it.",96,
,Terminating Malkhut,,מַלְכוּת הַמְּסַיֶּימֶת,,,"When the <<partition>> that is above the <<level>> of <<<i>Malkhut</i>>> prevent the supernal light, or direct light, entering it, yet a <<fusion through collision>> does not occur there, this <<level>> of <<<i>Malkhut</i>>> is known as the terminating <i>Malkhut</i>. It is a terminating <<<i>Malkhut</i>>> because it constitutes the end of the <<level>>.",51,
,Second Constriction,second constriction,צִמְצוּם ב',,,"The second constriction occurred in one of the formative stages of the <<<i>partzufim</i>>> of <<<i>Adam Kadmon</i>>> , in order to enable the creation of man and this world. The fourth <<level>>, or phase of creation, which constitutes the will to receive, or the attribute of judgment, also known as the <<level>> of <<<i>Malkhut</i>>>, rose and mingled with the second <<level>>, which constitutes the will to give, or the attribute of mercy, also known as the <<level>> of <<<i>Bina</i>>>, and thus the <<partition>> that is upon the <<level>> <<<i>Malkhut</i>>> rose to the second <<level>> as well. As a consequence of the <<partition>>’s new position, the light of the <<levels>> beneath the second <<level>>, the third and fourth <<levels>>, was darkened. It is this intermingling of the will to give with the will to receive that creates the capacity for free choice between these options for human beings.",146,
,Mouth,mouth,פֶּה,,,"The mouth, as the lowest organ in the human head, represents the <<<i>sefira</i>>> of <<<i>Malkhut</i>>>, the last and lowest of the <<<i>sefirot</i>>>. With respect to the structure of the <<<i>partzuf</i>>>, which corresponds to the entire structure of man, the mouth is the <<<i>Malkhut</i>>> of the ten <i>sefirot</i> of the <<head>>.",50,
,Fusing Malkhut,,מַלְכוּת הַמִּזְדַּוֶּוגֶת,,,"The <<level>> of <<<i>Malkhut</i>>> that exists in every <<<i>partzuf</i>>> contains two aspects. One is the fusing <i>Malkhut</i>. When there is a <<fusion through collision>> in the <<partition>> that is positioned above the <<level>> of <<<i>Malkhut</i>>>, where the supernal light is rebuffed by the <<partition>> because it prevents the supernal light from entering this <<level>>, the light that rises from it <<enclothes>> the supernal light, thereby producing the next <<level>>. The second aspect of <<<i>Malkhut</i>>> is the <<terminating <i>Malkhut</i>>>, where the <<partition>> above it stops the supernal light from spreading into it, serving as terminal for the <<<i>partzuf</i>>> and determining where it will end.",103,
Havaya,,,הֲוָיָה,,,"The name of <i>Havaya</i> refers to the Tetragrammaton, the four-letter name of God comprised of the letters <i>yod-heh-vav-heh</i>. It is pronounced Havaya rather than its true pronunciation on account of its sanctity and in order to avoid unwittingly violating the Torah prohibition against uttering the name of God. It is often written in this form in order to avoid the prohibition against erasing the name of God.<br>This name of God represents the main <<levels>> of existence. Its four letters correspond to four of the five primary <<<i>sefirot</i>>>: the <i>yod¬</i> parallels <<<i>Ḥokhma</i>>>; the first <i>heh</i>, <<<i>Bina</i>>>>; the <i>vav</i>, <<<i>Tiferet</i>>>; and the final <i>heh</i>, <<<i>Malkhut</i>>>), while the upper point of the <i>yod</i> corresponds to the fifth, <<<i>Keter</i>>>, the root of all the <<<i>sefirot</i>>>. The letters of the name also parallel the four worlds, <<<i>Atzilut </i>(Emanation)>>, <<<i>Beria </i>(Creation)>>, <<<i>Yetzira </i>(Formation)>>, and <<<i>Asiya </i>(Action)>>, while the upper point of the <i>yod</i> parallels the world of <<<i>Adam Kadmon</i>>>.<br>Just as each of the letters of the name corresponds to a different <<level>> of reality, so too the various ways of writing the name express different <<levels>> in the upper worlds. Thus, for example, the name <<<i>Ab</i>>> is the one that is revealed in the <<<i>sefira</i>>> of <<<i>Ḥokhma</i>>> in every <<level>> of reality. At the same time, every <<<i>partzuf</i>>> has a specific name (“<i>Havaya</i>”) that is revealed through it, e. g., the name that is revealed in the second <<<i>partzuf</i>>> of <<<i>Adam Kadmon</i>>> is “<i>Havaya</i> of <i>Ab</i> of <i>Adam Kadmon</i>,” and it refers to that <<<i>partzuf</i>>>.",249,
,Six Extremities,,ו' קְצָווֹת,"ו""ק",,"The six extremities refers to the six directional edges or limits of every physical being. They are: Above, below, right, left, front, and back. These six extremities are paralleled by the six <<<i>sefirot</i>>> that represent the <<body>> of a <<<i>partzuf</i>>>: <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>. .",48,
Yisrael Sabba and Tevuna,,Yisrael Saba and Tevuna,יִשְׂרָאֵל סָבָא וּתְבוּנָה,,,"<i>Yisrael Sabba</i> and <i>Tevuna</i> is a double <<<i>partzuf</i>>> with a male and female aspect. It was generated in the world of <<<i>Atzilut</i>>> after the <<<second constriction (<i>tzimtzum</i>)>>, which separated every <<level>> of reality into two parts. The upper part of each <<level>> contains the <<<i>sefirot</i>>> of <<<i>Keter</i>>> and <<<i>Hokhma</i>>>, while the lower part of the <<level>> contains <<<i>Bina</i>>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>. This split began in the third <<level>> of <<<i>Adam Kadmon</i>>>, which is the <<level>> of <<<i>Bina</i>>>> of <<<i>Adam Kadmon</i>>>. The part of the <<level>> of <<<i>Bina</i>>>> that remains above the split and so contains the first three <<<i>sefirot</i>>> of the original <<level>> – <<<i>Keter</i>>>, <<<i>Hokhma</i>>>, and <<<i>Bina</i>>>> – is called <i>Abba VeImma Ila’in</i>, or “the lofty Father and Mother.” The part of the <<level>> below the split consists of the seven lower <<<i>sefirot</i>>>, <<<i>Hesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzah</i>>>, <<<i>Hod</i>>>, <<<i>Yesod</i>>> and <<<i>Malkhut</i>>> – and is called <i>Yisrael Sabba</i> and <i>Tevuna</i>.<br>The reason this lower part is called by this name is because the primary purpose of this <<level>> is to pass along the supernal light flowing through <i>Abba VeImma Ila’in</i> to the <<<i>partzufim</i>>> below <i>Yisrael Sabba</i> and <i>Tevuna</i>. Those lower <<<i>partzufim</i>>> are <<<i>Ze’er Anpin</i>>> and <i>Nukba</i>. <<<i>Ze’er Anpin</i>>> is referred to as <i>Yisrael</i>, and therefore, the corresponding aspect of the <<<i>partzuf</i>>> above it is called <i>Yisrael Sabba</i> (Grandfather <i>Yisrael</i>). The word <i>Tevuna</i> comes from the language of <i>ben</i> and <i>bat</i>, which means “son” and “daughter.” This indicates the idea of this <<level>> sharing its light to the “children,” <<<i>Ze’er Anpin</i>>> and <i>Nukba</i>, which are the “offspring” of <<<i>Bina</i>>>>, the “mother.”",259,
,Level,"levels, level, Levels",בחינה,,,"The word “level” has multiple meanings and usages in the writings of the Sulam, though these different meanings share a common core. The main idea is a reference to a layering structure in existence. At the “top” of the layers is the Source of all existence, the endless supernal light of the <<<i>Ein Sof</i>>>, the Endless One. This light shines “downward” through a series of layers, barriers or filters, ultimately manifesting in the form of the world we experience. It is these layers that give rise to the diversity and multiplicity we perceive in the created world around us, as the light “appears” differently after each layer it traverses.<br>There are many different kinds of layers in this system, and these form the different levels referred to in the text. Generally, there are five main structures of levels, which are the worlds of <<<i>Adam Kadmon</i>>>, <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>> and <<<i>Asiya</i>>>. However, within each of these categories are also many levels or layers. Additionally, the <<<i>sefirot</i>>>, the main ingredients of all creation, are often described as “levels,” because they form the structures of the various layers of creation. Similarly, the more complex constructs of the <<<i>partzufim</i>>> are referred to as levels as well.<br>In addition to these layered levels, the Sulam describes how each aspect and level within existence contains all other aspects and levels. For example, each of the five main <<<i>sefirot</i>>> are described as levels, and also as individually containing all five of the <<<i>sefirot</i>>>. Each of the five <<<i>sefirot</i>>> comprising one <<<i>sefira</i>>> are said to be five levels within that individual <<<i>sefira</i>>>. This structure is somewhat similar to that of fractal geometry, in which macrostructures are mirrored by microstructures, and large structures are formed of smaller, parallel structures.<br>Thus, when the word “level” appears, it is important to be attentive to the discussion in the text, and to realize the word is used with some liberality, as opposed to one fixed type of usage. Fundamentally, it always refers to the layered structure of reality in some way, though there is variance in its application in each context.",346,
Light of giving,,,אוֹר חֲסָדִים,,,"The light of giving (<i>or ḥassadim</i>) is the type of <<<i>shefa</i> >> that is revealed as a result of the will or desire of a created being to give. This light originates in the second <<level>> of the <<<i>sefirot</i>>>, the <<level>> of <<<i>Bina</i>>>. This is in contrast to the other type of <<<i>shefa</i>>>, the light of <<<i>Ḥokhma</i>>>, which is the light of the Creator that emanates in and from the first <<level>> of the <<<i>sefirot</i>>>, the <<level>> of <<<i>Ḥokhma</i>>>. Although the light of giving is not the main lifeforce of the created beings, it contains an important quality related to the <<constriction>> (<i>tzimtzum</i>). Constriction involves the abstention of the vessel of the will to receive (the vessel of <<<i>Malkhut</i>>>) from receiving the light of the Creator. However, this <<constriction>> of the vessel applies only to the light of <<<i>Ḥokhma</i>>>. The receiving vessel for the light of <<<i>Ḥokhma</i>>> is the will of the created being to receive. After the <<constriction>> this vessel is disqualified as a vessel for the divine light. However, <<constriction>> does not apply to the light of giving, whose vessel is the will of the created being to give. One result of this difference in the effects of the <<constriction>> is that the light of giving illuminates in places and ways where the light of <<<i>Ḥokhma</i>>> does not shine. Additionally, by <<enclothing>> the light of <<<i>Ḥokhma</i>>> in the light of giving, the light of giving helps the light of <<<i>Ḥokhma</i>>> illuminate <<levels>> from which it would otherwise be restricted.",,
Brains,,,מוֹחִין ,,,"The term “brains” (<i>moḥin</i>) generally refers to different <<levels>> of the light and vessels that are acquired by a particular <<level>> or <<<i>partzuf</i>>>. Through the different processes of ascent and descent of different <<<i>partzufim</i>>> and <<levels>>, different lights are acquired by those <<levels>> or <<<i>partzufim</i>>>. The acquisition of these new “brains” can be thought of as similar to the human concept of mental development, in which a person’s mind expands and matures. Accordingly, the acquisition of brains is often called the <<maturity>> of the <<<i>partzuf</i>>> . The reason this expansion is called a “brain” is because these new lights either form a new <<head>> or are received in an existing <<head>> of a <<<i>partzuf</i>>>. ",,
Da’at,,,דַּעַת,,,"There are a number of ways to count and categorize the <<<i>sefirot</i>>>. The most well-known count is that of ten, including <<<i>Keter</i>>>, <<<i>Hokhma</i>>>, <<<i>Bina</i>>>, <<<i>Hesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzah</i>>>, <<<i>Hod</i>>>, <<<i>Yesod</i>>> and <<<i>Malkhut</i>>>. This count can be thought of as the “core” <<<i>sefirot</i>>>, the root ingredients of everything in existence. However, an alternative count of ten <<<i>sefirot</i>>> removes <<<i>Keter</i>>> and adds the <<<i>sefira</i>>> of <i>Da’at</i> after <<<i>Bina</i>>>. <i>Da’at</i> is not a true substitute for <<<i>Keter</i>>>, as it is not one of the core <<<i>sefirot</i>>>. Instead, it is a pseudo-<<<i>sefira</i>>> formed during a process called the “rectification of lines.” During this process, and as a result of the <<second constriction>>, two columns of light are formed, one associated with the right (the <<light of giving>>), and one associated with the left (the light of <<<i>Hokhma</i>>>, able to be received only by vessels formed of the will to receive). These two columns are described as in conflict, unable to “work together” and therefore unable to serve their function of merging and transmitting supernal light to lower <<levels>>. The rectification of this conflicted state comes through a middle line or column of light that ascends from below and mediates between the two sides. The root of this middle column is <<<i>Ze’er Anpin</i>>>, the <<<i>partzuf</i>>> below, and its ascended form is <i>Da’at</i>, the pseudo-<<<i>sefira</i>>> meant to unite the opposing sides. ",,
Abba and Imma Ila’in,,,אַבָּא וְאִמָּא עִלָּאִין,,,"<i>Abba </i>and <i>Ima Ila'in</i> (literally ""supernal father and mother"") is the name for the <<<i>partzuf</i>>> formed out of the first three <<<i>sefirot</i>>> of the entire <<level>> of <<<i>Bina</i>>> that was ejected from the <<head>> of <<<i>Arikh Anpin</i>>> as a result of the <<second constriction>> and the ascent of <<<i>Malkhut</i>>>. This <<<i>partzuf</i>>> <<enclothes>> <<<i>Arikh Anpin</i>>> from the <<mouth>> to the chest.",,
Ima Ila’ah,,,אִמָּא עִלָּאָה,,,"This refers to the female component that became part of <<<i>Bina</i>>> of <<<i>Arikh Anpin</i>>> during the <<second constriction>>. Each of the <<<i>partzufim</i>>> of <<<i>Atzilut</i>>> received a female component and the female component of the first three <<<i>sefirot</i>>> of <<<i>Bina</i>>> is called <i>Ima Ila'ah</i>, the ""supernal mother.""",,
Arikh Anpin,,,אֲרִיךְ אַנְפִּין,,,"This term, literally “the Long Face,” refers to the <<partzuf>> in the world of <<Atzilut>> that it female part corresponds to the lower half of <<Keter>> and the male aspect of the <<level>> of <<<i>Ḥokhma</i>>>. It is called “long face” in contrast to <<Ze’er Anpin>> which means “small face” or “short face.” This <<<i>partzuf</i>>> is called “long” because it has an abundance of the light of <<<i>Ḥokhma</i>>>. <<<i>Ze’er Anpin</i>>> contains mainly the <<light of giving>>, so it is described as “short” of the light of <<Ḥokhma>> compared to <i>Arikh Anpin</i>.",,
Nukba,,,נֻקְבָּא,,,"This refers to the <<<i>partzuf</i>>> structure corresponding to the <<level>> of <<<i>Malkhut</i>>>. The <i>Nukba</i> is the female counterpart to the <<<i>partzuf</i>>> of <<<i>Ze’er Anpin</i>>> and most of the time it receives its lights (<<brains>>) through <<<i>Ze’er Anpin</i>>>. In the case of the <i>Nukba</i> of <<<i>Atzilut</i>>>, receiving these <<brains>> allows the <i>Nukba</i> to bestow those lights upon the worlds below.",,
Direct Light,,,אוֹר יָשָׁר,,,"Direct light (<i>or yashar</i>) refers to the flow of the light from above to below. This light flows from the source, the <<<i>Ein Sof</i>>>, in a set of ten <<<i>sefirot</i>>> called the “ten <<<i>sefirot</i>>> of the direct light. This is in contrast to the <<returning light>>, which flows from below to above as a result of the <<partition>> upon <<<i>Malkhut</i>>>",,
Diaphragm,,,פַּרְסָא,,,"The diaphragm (<i>parsa</i>) is a term describing the separation between the world <<<i>Atzilut</i>>> and the worlds below. This separation is a result of the <<second constriction>>, in which <<<i>Malkhut</i>>>, with its attendant first <<constriction>>, ascended to the <<level>> of <<<i>Bina</i>>>. In Kabbalah language, the structures of the <<<i>partzufim</i>>> and the <<levels>> are described using terms derived from the human body. The diaphragm in the body lies at the point of the chest, similar to the location of the <<level>> of <<<i>Bina</i>>> within the <<body>> of a <<<i>partzuf</i>>>. ",,
Maturity,,,גַּדְלוּת,,,"The phase of maturity (<i>gadlut</i>) refers to when the <<second constriction>> is reduced, allowing the vessels ejected in the state of immaturity to return to their original <<level>>. This change allows the higher lights (<<brains>>) to return to the given <<level>> as well, since they now have vessels to receive them. As a result, the <<level>> is said to be “mature,” since it has now acquired a more developed state of <<brains>>. There are multiple degrees of maturity, corresponding to different permutations of the lights and different orientations of the vessels to each other when receiving those lights.",,
Immaturity,,,קַטְנוּת,,,"When a <<<i>partzuf</i>>> is in a state of gestation or infancy, it is described as being in the phase of immaturity (<i>katnut</i>). In this phase, the influence of the <<second constriction>> causes the <<levels>> and <<<i>partzufim</i>>> below the constriction to be split, ejecting some of the vessels to the <<level>> below. In this state, the higher lights (<<brains>>) of a given <<level>> are not present. As a result, the <<<i>partzuf</i>>> is described as having no spiritual <<head>>since some of the needed vessels for containing the higher lights have been ejected to the <<level>> below. This lack of <<brains>> is termed “immaturity,” corresponding to the immature state of a child that lacks understanding (brain development).",,
Will to Receive,,will to receive,רָצוֹן לְקַבֵּל,,,"The will to receive is closely linked to the concept of <<opacity>>. This concept denotes thickness, materiality, or darkness, as opposed to purity, clarity, and spirituality. In kabbalistic terminology, this expresses the quality of the vessel, which is the will to receive. It is considered thick and dark because it is the antithesis of the eternal divine light, the essence of which is entirely giving. A greater will to receive is regarded as having greater opacity, while a vessel that contains a lesser will to receive is regarded as being more pure. This is because the greater the will to receive that a vessel acquires, the more it is distanced from the Creator and His light and the more material and dark it becomes. ",,
Feminine Waters,,,מַיַּן נוֹקְבִין,,,"The ascent of feminine waters (<i>mayan nukvin</i>) is a term referring to the ""yearning"" from below for the light from the <<levels>> above. In Kabbalah and Torah thought, the concept of female denotes the dynamic of receiving, while male denotes giving. The “giving” from above to below is described as ""masculine waters,"" and denotes the dynamic of giving from the divine source to the lower beings. The lower beings are the “receivers'' of this divine light, and accordingly, their yearning for that light is described as a “flow” of “feminine waters” from below to above. When feminine waters arise, they cause <<fusion through collision>> that draws new light down, considered to be “masculine waters.”",,
Light,,light,אוֹר,,,"The <<will to receive>> in an emanated being is called a <<vessel>>, while the <<<i>shefa</i>>> it receives is called <<light>> (<i>Talmud Eser HaSefirot</i>, v. 1, Q & A 2).  ",,
Bina,,,בֵּינָהּ,,,"  The <<light>> initially spreads and emerges from the Creator as <<light of <i>Ḥokhma</i>>>, which is the entirety of its life force belonging to that emanated being. It incorporates the first <<level>> of the <<will to receive>> and is called the first expansion, or the first <<level>>. Subsequently, a will of giving prevails in that <<light>>. The prevailing of this will draws out <<light>> of <<<i>ĥassadim</i>>> from the Creator, which is called the first prevailment, or the second <<level>> (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 69).   ",,TAS
Beria,Creation,,בְּרִיאָה,,,"     The bringing forth of something into existence ex nihilo, <<<i>yesh</i> <i>me</i>’<i>ayin</i>>>, is known as <<<i>Beria</i> (Creation)>>. Since the <<opacity (<i>ovyut</i>)>> in the <<vessels>> cannot be revealed in the world of <<<i>Atzilut</i> (Emanation)>>, but only from the ground of the world of <<<i>Atzilut</i> (Emanation)>> and below, it is therefore called <<<i>Beria</i>>> from that point and below, after the <<opacity (<i>ovyut</i>)>> that has been revealed. For the <<opacity (<i>ovyut</i>)>>, which is comprised of the <<will to receive>> in the created being, is a form of <<<i>yesh</i> <i>me</i>’<i>ayin</i>>>, creation from nothing. Everything that exists is drawn from God as <i>yesh miyesh</i>, literally “something from something,” because there is nothing He does not have, apart from a “will of receiving,” which of necessity He does not possess, since there is no one from whom He could receive, God forbid. This must be understood.     ",,TAS
Ḥokhma,,,חָכְמָה,,,"The <<light>> initially spreads and emerges from the Creator as <<light of <i>Ḥokhma</i>>>, which is the entirety of its life force belonging to that emanated being. It incorporates the first <<level>> of the <<will to receive>> and is called the first expansion, or the first <<level>> (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 69). This first <<level>> is called <<<i>Ḥokhma</i>>>, while the <<light>> it contains is called <<<i>ḥaya</i>>>. ",,TAS
Asiya,Action,,עֲשִׂיָּה,,,"The ten <<<i>sefirot</i>>> of the level of <<<i>Malkhut</i>>>, which receives from <<<i>Ze’er Anpin</i>>>, are called the world of <<<i>Asiya</i>>>. ",,TAS
Atik,Ancient,,עַתִּיק,,,"<<<i>Atik</i>>> is the level of <<<i>Keter</i>>> of <<<i>Atzilut</i> (Emanation)>> (<i>Talmud Eser Sefirot</i>, v. 14, Q & A 45).
<<<i>Malkhut</i>>> of the <<<i>Malkhut</i>>> of the upper <<partzuf>> becomes <<<i>Atik</i>>> of the lower <<partzuf>>, i.e., from the perspective of its own existence, due to the spark of the Creator it contains, while the spark of the created being within it (see v. 3, Answers, answer 67) becomes <<<i>Atik</i>>>. Together, they form the <<partzuf>> of the lower <<<i>Keter</i>>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 79).
The <<<i>Malkhut</i>>> of the <<head>> is the mystical concept of an emanator, for a <<fusion through collision>> occurs on its <<partition>>, meaning a resistance to <<enclothing>>. Accordingly, it is the diametric opposite to <<enclothing>>, which is called an emanated being. How, then, can the one <<devolve>> from the other? It is for this reason that the <<head>>, which is called <<<i>Keter</i>>>, has two levels: The first is <<<i>Atik</i>>>, which is the resistance to <<enclothing>>. It is only the <<root>> to the <<light>> of <<<i>ĥassadim</i>>>, where <<enclothing>> does not occur, because there was no <<constriction (<i>tzimtzum</i>)>> upon the <<light>> of <<<i>ĥassadim</i>>>, and thus it does not suffer from any <<opacity (<i>ovyut</i>)>> on account of <<enclothing>> at all. It is considered the <<root>> to the second <<head>>, which is the level of <<<i>Arikh Anpin</i>>>, the <<root>> of the <<enclothing>>, and it serves as the intermediary between emanator and emanated being, since it is the <<root>> for the <<enclothing>> of the <<light of <i>Ḥokhma</i>>>. By contrast, the emanator, which is <<<i>Atik</i>>>, is the opposite of the emanated being, as explained. Accordingly, every <<<i>Keter</i>>> is divided into two levels: <<<i>Atik</i>>>, which is only the <<root>> to the <<light of giving>>, and <<<i>Arikh Anpin</i>>>, which is the <<root>> to the <<light of <i>Ḥokhma</i>>> (<i>Talmud Eser Sefirot</i>, v. 8, Q & A 130).     
",,TAS
Partzuf,Face,face,פַּרְצוּף,,," The ten <<<i>sefirot</i>>> that are one below the other, which result from the ascent of the <<<i>Malkhut</i>>> to the Creator, are called <<<i>partzufim</i>>> (as stated in <i>Histaklut Penimit</i> 8:13, section 1) (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 83). ",,TAS
Kelippot ,Husks,husks,קְלִפּוֹת,,,"See section 83, where it is explained that spiritual beings are separated and divided from one another by their difference of form. Know that divergent forms, from one extreme to the other, separates these beings and distances them from one extreme to its opposite, until there is no suckling between them at all. As you already know, the supernal light contains only a will to give, not to receive anything, whereas the <i>kelippot</i> have the exact opposite forms: Only a will to receive and to swallow everything; they have no will to give whatsoever. Therefore, they are separated from the Source of Life and are called dead, they and all that cleave to them. This must be understood (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 88). ",,TAS
Head,,head,ראש,,,"The <<first three>> <<<i>sefirot</i>>> are the <<lights>> that came before the <<vessels>>, which are <<enclothed>> in the <<returning light>> that ascends to them from the <<partition>> that is located from them and above. That is, the first three <<<i>sefirot</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, and <<<i>Bina</i>>> – which are also known as the <<head>> of the <<<i>partzuf</i>>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 13).
Those first three and the <<head>> are the ten <<<i>sefirot</i>>> of <<direct light>>, which are <<enclothed>> in the <<returning light>> that ascends from the <<partition>> and above, meaning the beginning and <<root>>. For they are not yet considered complete <<vessels>> that are suited to the full <<enclothing>> of the <<light>>, but only as <<roots>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 96).
In addition, the <<enclothing>> of the <<lights>> in the <<vessels>> must initially be in “potential” form, and only subsequently “actualized.” The <<enclothing>> of the ten <<<i>sefirot</i>>> in “potential” form is called <<head>>, while the <<enclothing>> of the ten <<<i>sefirot</i>>> in “actualized” form is called <<body>> (<i>Talmud Eser Sefirot</i>, v. 4, Q & A 13).  
",,TAS
Ruaḥ,,,רוּחַ,,,"<<<i>Ruaḥ</i>>> refers to the <<light>> that is in the <<<i>partzuf</i>>> of <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>>, or the world of <<<i>Yetzira</i> (Formation)>>.
For this reason, the <<light of giving>> is called <<<i>ruaḥ</i>>> (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 50) and the level of the <<light>> of the <<<i>ruaḥ</i>>>, which is the <<six extremities>> (<i>Talmud Eser Sefirot</i>, v. 13, Q & A 106). 
",,TAS
