Index Title,Ritva on Pesachim
Ritva on Pesachim 30a:1,"<b>אמר רבא הלכתא חמץ בזמנו בין במינו בין שלא במינו אסור.</b> וכתב הרי""ט ז""ל דלא גרסינן במשהו כרב ופסקו ר""ת ור""ז ז""ל דרבא בששים קאמר כר' יוחנן דהכי ס""ל בשאר איסורין כר' יוחנן אבל רבי' אלפסי ז""ל וכל הגאוני' ז""ל פי' דרבא במשהו קאמר וכן הכריע הרמב""ן ז""ל בס' המלחמות ה' ואעפ""י שבכל איסורין שבתורה לרבא כר' יוחנן סבירא ליה י""ל דמחמיר בחמץ משום דכל דבר שיש לו מתירין אפי' באלף לא בטיל במינו מיהא וגזר שאינו מינו אטו מינו כרב וחמץ לדין תורה וליכא לר' <small>(נ""ל דצ""ל ואליבא דר')</small> שמעון דבר שיש לו מתירין הוא לאחר הפסח ולא קנס ר""ש להקל עליו ושיהא בטל בנ""ט אלא להחמיר עליו ולאחר שנתערב מדרבנן יש לו מתירין כדלקמן ולפ""ז לפני זמנו דהיינו יום י""ד בכלל זמנו הוא בדין זה דהוי נמי דבר שיש לו מתירין ומיהו כי אסר חמץ במשהו היינו בשאינו ניכר ואפי' יבש ביבש או שנפל בדבר מבושל אבל נפל בדבר צלי בקליפ' סגי לי' וכדבעינן למימר קמן פ' אלו עוברין בס""ד ע""כ ולעני' איסור הנא' י""א שהוא במשהו שהרי יין נסך וכל איסורי הנאה כשיעור שאוסרין באכילה אוסרין בהנאה. וכתב הרי""ט ז""ל ומיהו כפר""ת במס' ע""ז דתנן אלו דברים אסורים ואוסרין בכל שהו אמרינן דתרתי בעי איסורי הנאה ודבר שבמנין ופרכינן וליתני חמץ בפסח ופרקי' דהא קתני לה ר' עקיבא אומר אף ככרות של ב""ה אלמא אינו אוסר תערובתו בהנאה בכל שהו אלא כשהוא דבר חשוב ודעת הרא""ה ז""ל דהיכא דאינו דבר חשוב אי אפשר לדון בו פחות מן הגדול שבנותני טעם דהיינו כלאים שהוא באחד ומאתים והרי""ט ז""ל הכריע לדעת רבי' אלפסי ז""ל שאפי' שלא בדבר חשוב אוסר תערובתו בכ""ש אפי' בהנאה כשאר איסורין שאיסור הנאה ואכילה שיעורן שוה: וחמץ שנתערב לפני זמנו דעת גדולי המפרשים שהוא בטל בס' בין בלח בין ביבש דאשכחן ביטול להיתר בהיתר ומטעם זה מתירין דבש או חלב או גבינה שנתנה לפני הפסח בכלים של חמץ ולא שמרן בגיעול הכלי כבר בטל לפני זמנו בס' וכן שמנן ודובשן של גוים מותר בשקנאו לפני הפסח אבל לא תוך הפסח דאע""ג דלא חיישינן לעבוד בידים כדאיתא במס' ע""ז על ידי שעשת משהין בו חמץ קרוב הדבר שנפל בו משהו של חמץ ומיהו לגיעול כליהם ליכא למיחש דנותן טעם לפגם אף באיסורי משהו מותר וסתם כליהם אינן בני יומן הרי""ט ז""ל ודעת הרא""ה ז""ל דדוקא שנתערב לפני זמנו בדבר שאינו מחמיץ אבל אם נפל בקמח שראוי להחמיץ אין לו ביטול שהרי ראוי הוא לגבור ולהחמיץ הכל: וכתב הרי""ט ז""ל וזו חומרא יתירא וכל המחמיר תבוא עלב""ר:"
Ritva on Pesachim 30b:1,"<b>ליעבד להו הסקה חייס עלייהו דלמא פקעי.</b> וכתב הרי""ט ז""ל ומיהו בדיעבד אפשר דמהני להו כי לא מצינו שגזרו איסור בדבר. והרשב""א ז""ל אסר אפי' דיעבד. ובודאי דכי מהדר להו לכבשונות לכתחלה דבהא ליכא למיחש דלמא פקעו שלא אמרו אלא בענין זה דממילא גורמין ע""כ. והרא""ה ז""ל למד מכאן שכלי זכוכית שנשתמש בהן בחמין אסור אע""ג דסגי להו בהגעלה שוויום כלי מתכות לענין זה ודין להצריכם טבילה בשניקחים מן הגוי מ""מ איכא למיחש דחייס עלייהו דלמא פקעי ולא שרינן ליה לכתחלה להגעילן והרי הן אסורין אפי' לצונן שמא ישתמש בהן חמין ולמוכרן לגוים אסור אם אין חזיתם מוכח עליהם שמא יחזרו וימכרו לישראל אחר:"
Ritva on Pesachim 30b:2,<b>הלכך האי בוכיא.</b> פי' הוא כלי עשוי מרעפין ומטגנין בו ואופין בו והסיקו מבחוץ שרי ליה אפי' לכתחלה דלמלייא גומרי דלא חייס עליה דלא עביד דפקעי:
Ritva on Pesachim 30b:3,"<b>הני סכיני דפסחא היכי עבדינן להו וכו'.</b> והלכתא אידי ואידי ברותחין ובכלי ראשון. כתב ר""ת ז""ל דוקא סכין קטנה אבל סכין גדולה בעי ליבון מפני שפעמים שצולין בהם בשר דומיא דשפוד והביא ראי' מן התוספתא ומן הירושלמי. ואחרים כתבו דהתם הוא בסכינין של גוים דאיסורא בלעי אבל הכא דהיתרא בלעי בהגעלה סגי להו ואפי' לשפוד ואסכלא דומיא דקרשים כדאמרינן בפ""ב דע""ז וזהו דעת הראב""ד ז""ל. וכתב הרי""ט ז""ל והנכון דל""ש סכיני דפיסחא ול""ש סכיני דארמאי בין גדולים בין קטנים בהגעלה או בשיפה באבן של נפחים סגי להו וכתב הרשב""א ז""ל המחבת שמטגנין בה בשר ודגים על גבי האש כיון שמשתמשין בה בצונן מועט ופעמים שימצא אומר שמטגנין בה במקום שאין השמן מגיע אליו הרי הוא כאסכלה וצריכא ליבון ע""כ בסת""ה. עוד כתב ז""ל דשיפא לא מהניא לסכינין אלא לחתוך בו דברים חריפין בצונן אבל לרותח לא ע""כ בסוף מס' ע""ז: והשפוד והאסכלה מלבן באור והירושלמי והתוספ' פליגי אגמרא דילן או אפשר דמיירי דידעי וודאי שנשתמשו בהן כעין שפוד ובהא ודאי מדינא דבעי ליבון אבל מן הסתם אין לחוש לכך דהא הכשר זה דרבנן הוא דמדאורייתא נטל""פ שרי ולפי ששנינו הסכין שיפה והיא טהורה ולא ידעינן שפיר אי שיפה במקום ליבון עומדת או במקום הגעלה עומדת דמה מייתי הני סכיני דפסחא ופשיט ליה דבמקום הגעלה דאידי ואידי סגי להו בהגעלה ברותחין ואשמעינן דכיון דבמקום הגעלה עומדת לא סגיא לשפודין ואסכלאות דבעי ליבון ע""כ וכן כתב הרשב""א בסוף מס' ע""ז בשם הרמב""ן ז""ל דסכינין ל""ש גדולים ול""ש קטנים בין דפסחא בין דארמאי סגי להו בהגעלה ע""כ וזה דעת רבי' אלפסי' ז""ל בסכינין ושפודין וגם זה דעת הרמב""ן ז""ל וליבון האמור בכ""מ מפורש בירושלמי שצריך שיהי' ניצוצות ניתזין. והיכא דמצרכינן ליבון אפי' כמה הגעלות אינן עומדות במקום ליבון כן כתב הרי""ט ז""ל. עוד לו ז""ל דכל מאי דצריך ליבון דוקא להשתמש על ידי האור אבל שלא ע""י האור בהגעלה סגי ויש מחמירין. והרשב""א ז""ל כתב דכלי הראוי ללבון והגעילו אסור להשתמש בו בחמין ע""כ בסוף מס' ע""ז ע""כ בשם הר""י בעל תוס' ז""ל:"
Ritva on Pesachim 30b:4,"<b>ובכלי ראשון.</b> כתב הרי""ט ז""ל כלי ראשון הוא כל שהוא על גבי האור אבל אם סילק אותו מעל גבי האש אינו כלי ראשון לענין הגעלה ואעפ""י שהוא כלי ראשון לענין שבת דשאני הגעלה דלעולם כבולעו כך פולטו ולפיכך אעפ""י שלענין שבת יש פנים בירושלמי דעירוי מכלי ראשון לכלי שני דינו ככלי ראשון ומבשל אינו נידון כן לענין הגעלה וכן כתב הרשב""א סוף מס' ע""ז. ולענין כלי אבנים נחלקו הראשונים בהכשרם ורבי' אלפסי ז""ל יהיב להו דין כלי מתכות ולא דין כלי חרס וכן העלה עיקר הרי""ט ז""ל ודעת ר""י ז""ל דלא בעו כלום וראייתו מן התוספתא וכבר דחה דבריו הרי""ט ז""ל: ובדיני הגעלה רבו דיעות הראשונים ז""ל יש שהיו אומרים להניח הכלי הנגעל במים עד שינוחו המים מרתיחתן דההיא סימנא היא דפליט וראייתם מההיא דפ' כל הבשר כגון שנפל תוך יורה רותחת כו'. ור""ת ז""ל דחה הראיה ופי' בענין אחר וכתב הרי""ט ז""ל וזה הפי' הוא הנכון. ולפי' זה נראה שאין צריך להניח הכלי הנגעל במים עד שינוחו מרתיחתן. מ""מ עדיין יש לשאול האיך אפשר לנו לידע כמה ישהא שם הכלי עד שיפלוט האיסור כולו ואפי' תאמר שיפלטנו לאלתר מ""מ הא בלע ליה לאלתר להאי איסורא דפלט וכ""ש היורה שאנו מגעילין לתוכה שהיא אסורה דכל מה הנגעל בתוכה פליט דידה ובלע איסור דידיה. ויש שהיו אומרים דבין כלי גוים ובין כלי הפסח אפשר להגעיל אפי' בתוך כלי איסור אחר קינוח יפה ובלבד שלא תהא היורה ולא הכלים בני יומן דהא פלטי איסורא שבלעי בעודו מושבח ואע""ג דהדרי בלעי לית לן בה דלא אסרו כלים שאינן בני יומן ולא שבלעו <small>(נ""ל דצ""ל אלא כשבלעו, המעתיק)</small> האיסור מעודו מושבח וזה האיסור שבולעים. והרי""ט ז""ל דחה סברא זו דא""כ לא מצינו הכשר לכלים בני יומן ועיקר הכשר התורה דכתיב בכלי מדין בכלים בני יומן כתיב דאי לאו בני יומן שרו מדאורייתא ולא בעו הכשר וזה דעת הרשב""א ז""ל בס' ת""ה. ואחרים כתבו דמכשרינן להו בכלי גדול כשר שיהא בו ס' כנגד כל הכלי דכיון דלא ידעינן כמה פליט בכולי' מנא משערינן. וגם זה דחה דזה אינו דבר נכון כי הוא דבר רחוק שנצטרך כלי גדול כ""כ. ועוד יורה עצמה שהיא גדולה ובת יומא במאי מתכשרא שהרי אי אפשר שיהא בחללה ששים והגעלה שאמרה תורה בכלי מדין לכלי [בני יומן] סתמא כתיב לא שנא יורה גדולה ול""ש יורה קטנה. וכתב ז""ל ועדיין לא מצינן דרך מרווח בענין הגעלה עד שהוצרך הרמב""ן ז""ל לומר כי בענין פליטה ובליעה דינין חלוקין יש כי יש דברים שנבלעים לגמרי ואינן מפליטין וזהו מדין המאכלים וכדאמרינן התם וכגון שנפל לתוך יורה רותחת דמיבלע בלע מיפליט לא פליט אבל טבע המים כשהן בכחן הוא בהיפך שמפליטין ואינן מבליעין ולאו למימרא שאינן מבליעים בדבר רך שזה אינו דא""כ אם נפל בשר לתוך יורה של מימי הגעלה וזה לא שמענו אלא לומר שאין מבלעין כלים בכלים שהם דבר קשה ומצינו לגבי דם האיברים שמים [פותחין אותו] <small>(נ""ל כמיותר, המעתיק)</small> כובשין אותו שאינו יוצא וכן החומץ כובש והכל לפי טבען של דברים ובזה שהוא אסור הבליעה בכלים ואינו אלא דבר מועט וחלוש כחן שלימים <small>(נ""ל דצ""ל של מים, המעתיק)</small> הוא להפליטו ושלא לחזור ולהבליעו בין בעודן שהן רותחין בין לאחר שינוחו מרתיחתן ולפי שידעה תורה שזהו טבען של מים אמרה תורה להגעיל כלי במים ולהכשיר אפי' יורה גדולה של כלי מדין בת יומא על ידי עצמה:"
Ritva on Pesachim 30b:5,"<b>ומעתה</b> לפי שיטה זו מותר להגעיל אפי' כלי איסור בת יומא וזה אחר שיקנחם יפה ויסיר מהם כל החלודה דחוץ וכיוצא בו שלא יהא שם איסור בעין וכן צריך שלא להכשיר כלים הרבה ביחד כי איפשר שתרבה הפליטה שם עד שתעבור צורת המים ויתבטל כחן וטיבען זה ולעולם כל שיתחילו המים להתבטל כחן ולהעביר צורתן שוב אין מגעילין בהם. כך קבלנו הצעת שיטה זו מפי רבי' נרו' <small>(נ""ל דצ""ל הרא""ה, המעתיק)</small> לפי מה שקיבלוה מפי רבו רבינו הגדול זצ""ל ע""כ דברי הרי""ט ז""ל. וכתב עוד ז""ל ואעפ""י שיש בשיטה זו דברים שהם כמי שאין עליהם מופת לתת כח משונה למים בענין זה. הענין מכריחנו לפרש כן ומורי נרו' <small>(נ""ל דצ""ל הרא""ה. המעתיק)</small> סומך הלכה למעשה. אבל מגדולי הדור יש שחולקין על זה וכבר היתה המלחמה חזקה ולפי' המחמיר תבוא עליו ברכה:"
Ritva on Pesachim 30b:6,"<b>וביורה גדולה.</b> כבר אמרו בשלהי ע""ז לא גדופה אפומה כדי שיעלו המים על שפתה וכתב הרי""ט ז""ל ויש שנוהגין שאין עושין גדנפא אלא מלבנין דעפין ומשליכין לתוך הכלי כשהוא מלא עד ששופך מים מכל צד ואלו היה זה אמת לא היה טורח ר' עקביא לעשות גדנפא אלא ודאי לא סגי באותן המים העוברין דרך השפה מהיורה ששאין משתהין כלל וראוי למחות במי שעושה כן. והדבר פשוט שאין צריך טבילה במ' סאה שלא הצריכו כן אלא בכלים הלקוחין מן הגוים כשהן של מתכת או זכוכית או של קוניא ואם הם מושאלין אין צריכין טבילה וכן אין צריכין מן הדין לשוטפן במים צוננין אחר הגעלה דלא אתמר ההיא אלא בקדשים ומעלה עשו בקדשים. וכלי גדול שאי אפשר להכשירו כולו כאחד מכשירו לחצאין ומעדיף. כל זה לרי""ט ז""ל:"
Ritva on Pesachim 31a:1,"<b>שאני התם דמצי אמר להו כי היכי דמשתעבדנא וכו'.</b> פי' והאי ארעא משתעבדנא לדידיה נמי מחיים מדר' נתן כי היכי דמשתעבדנא לאבוהון. וכתב הרי""ט ז""ל והיינו דאיכא בין ר' נתן ורבנן דפליגי עליה כדאיתא בפ""ק דקדושין ולכ""ע גובה המלוה מכל מאי דאית ליה עלויה ברשות אחרים בין מלוה בין פקדון ואפי' שלא בשבועה כל דבעי ראשון מיחת דהא לאו נכסים משועבדים נינהו ולית להו פסידא ואפי' בעל כרחיה אלא דלרבנן לא משתעבד ליה כלל ואלו לר' נתן משתעבד ליה וגובה ממנו כגובה מבעל חובו ונפקא מינה להו דהכא ונפקא מינה נמי להיכא דאמר שטר זה שחייב לי פלוני שטר אמנה הוא דלר' נתן חשיב חב לאחרים ואינו נאמן כדאיתא בפ""ב דכתובות ועוד י""א דמהני הא דר""נ דלא מצי מחיל ליה מלוה דהא משעבד לי' לאידך וזהו דעת הראב""ד ז""ל אבל אינו כדעת הרא""ה ז""ל. אבל הוא אומר שאם בא ופרעו מעצמו אפי' שלא ע""פ ב""ד הרי הוא פטור ולא חשיב פורע חובו של חבירו כיון דמשעבד ליה מדר""נ והוה ליה כערב וזה שלא כדעת רוב הראשונים ז""ל שכתבו דאפי' קבלן שפרע שלא בכפיית ב""ד פורע חובו של חבירו הוא וכן דעת הרי""ט ז""ל. וכתב עוד ז""ל ומיהו אם בא לתפוס באותו רוב או בפקדון שיש ברשותו לב""ח של זה הויא תפיסה למאי דכתבי רבוותא ז""ל שהתופס לבעל חובו במקום שלא חב לאחרי' קנה. ומיהו י""א דלא מהניא תפיסה לעולם אלא היכא שעשאוהו שליח למתפס א""נ בשהתפיסו בהם בעל הנכסים ובא לחזור בו אבל בלאו הכי לית ליה רשות למתפס דמצי אמר ליה לאו בעל דברים דידי את וכן העלו למעשה בפני הרא""ה ז""ל וכן היה אומר בשם רבו הרמב""ן ז""ל וכן נמצא בתשובותיו אבל אין זה דעת הרא""ז הלוי ז""ל. וכתב עוד הרי""ט ז""ל והא דר' נתן ודאי הלכה היא דהא דרבא תליא ביה והלכתא כרבא וכן בפ""ב דכתובות ובפ' החובל מסקינן שמעתתא כותיה ושלא כדברי ר""ת ז""ל דאפקיה להא דר""נ מהלכתא:"
Ritva on Pesachim 31a:2,"<b>והא</b> דרמי בר חמא ליתא אלא בשלא שיעבד לוה למלוה מטלטלין אבל אם שעבד לו מטלטליו אפי' שלא באגב משתעבד לב""ח וצריך למיכתב דאקני דאי לא לא משתעבדי ליה מאי דקני בתר הכי והיכא דלא כתב ליה דאקני ונמצאו מטלטלין ליורשיו והם אומרים שקנאם אח""כ. דעת הרא""ה ז""ל שעל הב""ח להביא ראיה:"
Ritva on Pesachim 31a:3,"<b>והשתא תקון רבנן דגבי ב""ח מן המטלטלין של יורשין כי היכי דגבי מב""ח גופיה.</b> וכתב הרי""ט ז""ל דלא גבי ממטלטלין דקנה בתר הכי דלא תיקנו הגאונים ז""ל אלא שיגבה מן המטלטלין כדרך שגובה מן הקרקעות ואלו מן הקרקעות שקנה אחר הלואה ומת והורישם אינו גובה כל היכא דלא כתב דאקני כדאיתא בפ' גט פשוט. ולכ""ע כל שבא לטרוף קרקע או מטלטלין מיד הלקוחות ולא היה כתוב בשטר חובו דאקנה עליו להביא ראיה שהיו ללוה נכסים אלו בשעה שלוה וכן דעת הרא""ה ז""ל:"
Ritva on Pesachim 35a:1,"מתני' <b>אלו דברים שאדם יוצא בהן ידי חובתו בפסח.</b> פי' מחובת מצה שהאדם חייב לאכול כזית מצה בלילי הפסח. כוסמין פרש""י שהוא אשפלטא והוא דומה לחיטין אלא שאין לו סדק כמו לחיטין. שבולת שועל אבינא כן כתב הרי""ט ז""ל:"
Ritva on Pesachim 35a:2,"<b>שיפוי</b> פרש""י שהוא הנקרא שג""ל ויש שקורין אתו סינטי""ן ויש שהיו מפרשין אותו שהוא פריצ""ו. וכתב הרי""ט ז""ל בשם רבו הרא""ה ז""ל שקבל מגדולים וחכמים כי הפריצ""ו מין דוחן ואינו מחמיץ ונקיטינן לחומרא שאין יוצאין בו וגם שיש בו משום חמץ. ע""כ דברי הרי""ט ז""ל:"
Ritva on Pesachim 35b:1,"פיסקא <b>ולא במעשר ראשון וכו'.</b> תנו רבנן יכול יוצא אדם ידי חובתו בטבל וכו' עד הא מני ר' שמעון היא. כתב הרי""ט ז""ל ומעתה מתני' דקתני שאין יוצאין בטבל כר' שמעון וכיון שכן לרבנן דסברי דאיסור חל על איסור יוצאין בטבל וקיל""ן כוותיהו ואע""ג דדמיא למצוה הבאה בעבירה כתבו בתוס' דלא אסרו מצוה הבאה בעבירה אלא בתוך <small>(נ""ל דצ""ל באותן, המעתיק)</small> שבא לרצות וכן לולב אבל בשאר מצות לא תדע דהא איצטריך קרא למעוטי סוכה גזולה וכן ציצית ומעתה מצה גזולה וכן של טבל יוצאין בה בדיעבד מיהו לכתחילה אסור משום ובוצע ברך. והרמב""ם ז""ל כתב דמצה גזולה אין יוצאין בה בדיעבד ובירושלמי נחלקו בדבר. וכתב הרי""ט ואנן הא פרישנא לה בכמה דוכתין וברירנא בראיות ברורות דלא אמרינן מה""ב אלא בשהמצוה מסעיית בקנינא אבל בשאין המצוה מסעיית בקנינא לא שהרי דמים הוא חייב לו וכל היכא דגזל קמח ועשאו מצה דאיכא יאוש ושינוי מעשה דכ""ע יוצאין בה אבל גזל מצה אפויה ואיכא יאוש בעלים ועל ידי המצוה איכא שינוי השם דמעיקרא לחם והשתא מצה אי נמי שינוי רשות למאן דסבר מדרבנן בקדושת מצוה חשיב שינוי רשות דאשכח דעל ידי המצוה הוא קונה מצה זו דהא איפליגי בירושלמי וקי""ל כמאן דאסר הלכך טבל דעבירתו מעצמו ואין המצוה מסעיית לאו מצוה הבאה בעבירה חשיבא ושרייא:"
Ritva on Pesachim 36a:1,"<b>והתניא אין לשין את העיסה ביין שמן ודבש וכו'.</b> פי' ע""י תערובת ואם לש ר""ג אומר תשרף מיד וחכמים אומרים תאפה מיד ומאי דלא בדקינן בסימני סידוק ושיאור פי' הריטב""א ז""ל שלא נאמרו סימני סידוק ושיאור אלא בשנעשין בפושרין או ששהתה יותר מן השיעור פעמים מתחלת להחמיץ ואין בה סימני שיאור וסידוק:"
Ritva on Pesachim 36b:1,"<b>תנו רבנן אין אופין פת עבה וב""ה אומרים מותר</b> וכו' עד <b>מאי פת עבה פת מרובה.</b> כתב הרי""ט ז""ל דהא דלא אוקמה בפחות מטפח היינו משום דלא משמע ליה דאיכא מאן דשרי בפסח פת עבה יותר מן הנהוג כי היכי דתיהוי בה פלוגתא וכיון דאפיקתיה מטפח ולא אוקמו לן בגמ' שיעורא אחרינא להתירא לית לן למיעבד פת עבה כלל וזהו שנהגו העולם לעשות מצה של חובה דקה ומ""מ איפשר דבדיעבד לא אסרו עד טפח ע""כ בשם הרא""ה ז""ל:"
Ritva on Pesachim 37a:1,"<b>ואמאי קרו ליה פת עבה דנפישא בלישה.</b> כתב הרי""ט ז""ל דלהאי לישנא לית לן מאי דאמר רבא לקמן קבא מלוגנאה לפיסחא דההיא לא נפישא בלישא אבל לאידך לישנא דאוקי' דקרי ליה עבה משום דנפיש טירחיה שפיר אית לן דרב ונפישא בטירחא לאפות בה הרבה בזה אחר זה וכלישנא בתרא קיל""ן דקאי כרב ע""כ ואסיקנא דתנא בי""ט של פסח קאי ופלוגתא דב""ש וב""ה משום טורח יו""ט. ופי' בתוס' וכן בעל המאור דטעמא דב""ה בזו כי ההיא דאמרינן במס' יו""ט תניא ממלא נחתום חבית של מים כו' אבל לאפות אינו אופה רשב""א אומר אף לאפות אופה והקשו על פי' זה כמה קושיות. וכתב הרי""ט ז""ל דהנכון דלא שייכי אהדדי דההיא דהתם בעושה יותר מן הצריך ואפי' ע""י נשים הרבה שאין בו טורח כל כך ורשב""א שרי משום שבח מילוי התנור והלכתא כותיה והא דהכא דאינו אופה אלא הצריך לו בלבד כגון שיש לו אוכלין הרבה ואין לו אלא נשים מועטות לטרוח ומשום טורח אסרו ב""ש וב""ה שרי דלא חיישינן לטורח כי האי גוונא ויש שתמהו על רבי' אלפסי ז""ל שכתב בהלכות על ברייתא זו וה""מ בשאר ימים טובים אבל בפסח אסור למילש ולמיפא יתר על חמש רבעים קמח ועוד וכו' והאיך אפשר לומר דמתניתא לא איירי בפסח דהא בפסח קתני ומאי דאמרי תנא איום טוב דפסחא קאי לאו לאפוקי מפסח הוא וכן תפס עליו הרב בעל המאור ז""ל והרמב""ן כתב בספר מלחמות ד' דהאי לישנא דרב אלפסי ז""ל פי' בעלמא הוא לברורי מלתא משום דקתני דב""ה מתירין לאפות פת מרובה ומשמע כמו שירצה ופי' מרן ז""ל דלא תימא דבלישה הוא דשרי הכי אבל כיון דתנא בי""ט של פסח קאי לא איפשר למימר הכי אלא וודאי דאפייה דווקא שרי וכגון שהנשים לשות כל אחת ואחת כשיעור ואשה אחת מסקת ואופה לכולן אבל להתיר לישה גדולה בפסח לא הודו ב""ה כלל ועוד מפני שנאמר על ברייתא זו שתי לשונות וחד לישנא מפיק מדרב דילמא הוה סלקא דעתך דלישנא בתרא נמי מפיק אשמעינן דלישנא ב""ה כרב אתי ולא כתב ז""ל השתי לשונות אבל הודיענו פירושן והאי דקאמר רבינו אבל הפסח אסור למילש ולמיפה לאו משום אפייה קאמר אלא הכי קאמר אסור למילש כדי לאפות:"
Ritva on Pesachim 39a:1,"מתני' <b>ואלו ירקות שאדם יוצא בהן ידי חובתו בפסח בחזרת ובמרור.</b> פי' הרא""ה ז""ל כי לשון כלל הוא כלומר ובמרורים כיוצא באלו שראויים לאכילה קצת לאפוקי דברים המרים לגמרי דלא חזו לאכילה ולא לשום ברכה. והרי""ט ז""ל כתב דבגמ' משמע דמרור שם פרטי הוא וכ' שהוא מין חזרת אלא שהוא*:"
Ritva on Pesachim 39b:1,"גמרא <b>אמר רב חסדא לא שנו אלא קלח אבל עלין לחין אין יבשין לא.</b> וכתב הרי""ט ז""ל אעפ""י שאין להם הכרע בגמ' מיהו מדקתני בסיפא דברייתא כל שיש בו טעם מרור יש לפסוק כן דהא עלין כמושין טעם מרור יש בהן ע""כ:"
Ritva on Pesachim 39b:2,"<b>והא דתנן במתניתין יוצאין בקלח שלהם.</b> פי' בתוס' בשם השר מקוצי דדוקא בקלח אבל בשורש לא ויש ליזהר להסיר השורש מן החזרת ע""כ. משיטת הרב רבי' פרץ:"
Ritva on Pesachim 39b:3,"מתני' <b>אין שורין את המורסין לתרנגולין אבל חולטין.</b> פי' ברותחין שאין מניחין אותו להחמיץ. וכתב הרי""ט ומיהו השתא לא בקיאינן בחליטה ואסירא כדכתבו רבוותא ז""ל. כתב הרמב""ם ז""ל מותר ללוש לתרנגולין קמח או מורסן ומאכילן מיד או עומד עליהם עד שלא יהא בה הילוך מיל וכל זמן שמנקרין בו או מתהפך בידו אינו חמץ ע""כ והרב בעל העיטור השיב עליו. וכתב הרי""ט ז""ל וזה ודאי מן הקולות שהרב ז""ל נוהג לענין חמץ כי האיך הוא מדמה ניקור התרנגולין לדלף היורד טיף טיף כנגד טיף טיף או לנשים העוסקות בבצק עד שנתיר כן לכתחילה, ע""כ:"
Ritva on Pesachim 39b:4,"מתני' <b>לא ילעוס אדם חיטין ויתן על גבי מכתו בפסח מפני שהן מחמיצות.</b> פי' שמחמיצות במשקה היוצא מפיו. וכתב הרי""ט ז""ל וי""ל דמיירי במכה שאין בה שום סכנה אי נמי דאיפשר בלאו הכי דאי לא כיון שזה שלא כדרך הנאתו הוא מתרפאין מהם אפי' שלא במקום סכנ' גוף ויש אוסר שלא לאכול בפסח מאותן תאנים שהם בקמח כי כשהאדם נושך בו לאוכלו יש בו מרוקו ומחמיץ וחוזר ואוכלו. וכתב הרי""ט ז""ל ונראה דאין לחוש לכך כי בעודו בכפו יבלענו ואינו שוהה כל כך ומ""מ צריך ליזהר בהם לפי שבאים לאחר הסעודה שלא יפול עליהם משקה ויחמיץ ובעל נפש לא יטפל בהם וכן צריך ליזהר הרבה שלא לתת על המצה אותן מעות שהן מלאות אבק של קמח וכ""ש שלא ליתנם במקום הקמח לפי שהקמח נדבק בסדיקי הלחם ואח""כ כשנותן פתיתים בקערה הוא מחמיץ שם וזו חששא קרובה כמו מה שאסרו חז""ל ללוש את העיסה בחלב וקרוב היה לאסור הפת כמו שאמרו שם אלא שאין לנו אלא מה שמנו חז""ל ואם לא נזהר ונתן ממנו בקערה הרי היא אסירא מיד דודאי לאלתר החמיץ ואוסר אפי' בשאינו מינו במשהו ע""כ:"
Ritva on Pesachim 40a:1,"<b>תנו רבנן אין לותתין את השעורין בפסח.</b> פי' לתיתה הוא שמזלפין עליהם מים כדי לכתשן ולהסיר קליפתן וישאר הקמח סולת נקייה ואסרוהו בפסח שמא לא יזהרו בדבר כל הצורך ויבא לידי חימוץ ואם לתת נתבקעו אסורות לא נתבקעו מותרות. אמר מר עוקבא לא נתבקעו ממש אלא כל שמניחן על פי החבית ומתבקעות מאיליהן. פי' מפני חוזק ההבל כך גורס הרב בעל העיטור ז""ל. ובספרים נמצא על פי חביב ויש מפרשין מלשון בודיא שאופין כן ויש מפרשין כיבי ששופכין לתוכו שופכין ומתבקעות מחוזק ההבל והרא""ה גם בתוספת גורסין על פי אבוב והוא כלי שעושין בו הקליות והוא מנוקב והם מתבקעות מכח האור. וכתב הרי""ט ז""ל וכולו אסחו וכולהו פירושי לחדא מילתא וכולהו איתנהו:"
Ritva on Pesachim 40b:1,"<b>איתביה בגד שאבד בו כלאים.</b> פי' שאפי' חוט א' אוסר בגד גדול ולא דמי לבשר בחלב דבעי נותן טעם דהתם דרך בישול אסרה תורה דהיינו נתינת טעם. לא ימכרנו לגוי פי' דכיון דאבד לא מינכר אבל אם היה ניכר מותר למוכרו לגוי וכן בגד צמר תפור פשתן מותר למוכרו לגוי דכי מזבן ליה בחזקת שעטנז זבין ליה ישראל מיניה הרי""ט ז""ל:"
Ritva on Pesachim 40b:2,"<b>ולא יעשנו מרדעת לחמור.</b> פרש""י ז""ל דילמא הדר שקיל ליה מהתם ותופרו בא' מבגדיו. וכתב הרי""ט ז""ל אבל משום חשש ישיבתו כדי לא נאסרה דהא תנן מרדעת החומר ותכריכי המת אין בהן משום כלאים. ועוד כתב הרי""ט ז""ל דיני כלאים בסוף פ""ק דביצה ביארתים באר היטיב כתבתים בילקוטים:"
