Index Title,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah
"Pesach Haggadah, Magid, The Ten Plagues 9",כִּנִּים ,Lice,"lice,","VERMIN,","vermin,","lice,","VERMIN,","lice,","Vermin,"
"Pesach Haggadah, Magid, The Ten Plagues 10",עָרוֹב ,[The] Mixture [of Wild Animals],"flies,","MURRAIN,","murrain,","a mixture of noxious vermin,","A MIXTURE NOXIOUS BEAST,","vermin,","Murrain,"
"Pesach Haggadah, Magid, The Ten Plagues 11",דֶּבֶר ,Pestilence,"murrain,","A MIXTURE, NOXIOUS BEASTS,","a mixture of noxious beasts,","pestilence,","MURRAIN,","pestilence,","a Mixture of Noxiout beasts,"
"Pesach Haggadah, Magid, The Ten Plagues 12",שְׁחִין ,Boils,"boils,","BOILS,","boils,",blains,"BOILS,","boils,","Boils,"
"Pesach Haggadah, Magid, The Ten Plagues 13",בָּרָד ,Hail,"hail,","HAIL,","hail,","hail,","HAIL,","hail,","Hail,"
"Pesach Haggadah, Magid, The Ten Plagues 14",אַרְבֶּה ,Locusts,"locusts,","LOCUSTS,","locusts,","locust,","LOCUSTS,","locusts,","Locusts,"
"Pesach Haggadah, Magid, The Ten Plagues 15",חשֶׁךְ ,Darkness,"darkness,","DARKNESS,","darkness,","darkness,","DARKNESS,","darkness,","Darkness,"
"Pesach Haggadah, Magid, The Ten Plagues 16",מַכַּת בְּכוֹרוֹת,Slaying of [the] Firstborn,and slaying the first born.,and SLAYING THE FIRSTBORN.,and slaying the first-born.,and the slaying of the first-born.,and SLAYING THE FIRST-BORN. ,slaying of the first-born.,and Slaying the First-born
"Pesach Haggadah, Magid, The Ten Plagues 17","רַבִּי יְהוּדָה הָיָה נוֹתֵן בָּהֶם סִמָּנִים: דְּצַ""ךְ עַדַ""שׁ בְּאַחַ""ב.","Rabbi Yehuda was accustomed to giving [the plagues] mnemonics: <i>Detsakh</i> [the Hebrew initials of the first three plagues], <i>Adash</i> [the Hebrew initials of the second three plagues], <i>Beachav</i> [the Hebrew initials of the last four plagues].","Rabbi Judah makes remarks thereon, (and takes the first letter of each of the ten plagues, which makes, דצך עדש באח'ב
","Rabbi Judah formed the initials for an index, thus -: ד""צ""ך – ע""ד""ש"" – ב""א""ח""ב",,"Rabbi Yehudah arranged them into mnemonic forms: thus, ""detsach,"" ""adash,"" ""beachab.""","Rabbi Jehudah formed the initials to serve for an index, thus: דצ""ך עד""ש ברח""ב.","Rabbi Judah made of them (of the initial letters of each of these terms) the following signs: דְּצַ""ךְ עַדַ""שׁ בְּאַחַ""ב.","Rabbi Judah formed the initials to serve for an index, thus דצ""ך עד""ש באח""ב "
"Pesach Haggadah, Magid, The Ten Plagues 18","רַבִּי יוֹסֵי הַגְּלִילִי אוֹמֵר: מִנַּיִן אַתָּה אוֹמֵר שֶׁלָּקוּ הַמִּצְרִים בְּמִצְרַיִם עֶשֶׂר מַכּוֹת וְעַל הַיָּם לָקוּ חֲמִשִּׁים מַכּוֹת? בְּמִצְרַיִם מַה הוּא אוֹמֵר? וַיֹּאמְרוּ הַחַרְטֻמִּם אֶל פַּרְעֹה: אֶצְבַּע אֱלֹהִים הִוא, וְעַל הַיָּם מָה הוּא אוֹמֵר? וַיַּרְא יִשְׂרָאֵל אֶת-הַיָּד הַגְּדֹלָה אֲשֶׁר עָשָׂה ה' בְּמִצְרַיִם, וַיִּירְאוּ הָעָם אֶת-ה', וַיַּאֲמִינוּ בַּיי וּבְמשֶׁה עַבְדוֹ. כַּמָה לָקוּ בְאֶצְבַּע? עֶשֶׂר מַכּוֹת. אֱמוֹר מֵעַתָּה: בְּמִצְרַים לָקוּ עֶשֶׂר מַכּוֹת וְעַל הַיָּם לָקוּ חֲמִשִּׁים מַכּוֹת. ","Rabbi Yose Hagelili says, ""From where can you [derive] that the Egyptians were struck with ten plagues in Egypt and struck with fifty plagues at the Sea? In Egypt, what does it state? 'Then the magicians said unto Pharaoh: ‘This is the <i>finger</i> of God' (Exodus 8:15). And at the Sea, what does it state? 'And Israel saw the Lord's great <i>hand</i> that he used upon the Egyptians, and the people feared the Lord; and they believed in the Lord, and in Moshe, His servant' (Exodus 14:31). How many were they struck with with the finger? Ten plagues. You can say from here that in Egypt, they were struck with ten plagues and at the Sea, they were struck with fifty plagues.""","Rabbi Jose of Gallicia, faith, from whence dost thou learn that the Egyptians were smitten in Egypt with ten plagues, and upon the sea they were smitten with fifty plagues? it is written, and the magicians said unto Pharaoh, this is the finger of God: and by the sea, it is written, and Israel saw the mighty hand which the lord did upon the Egyptians: and the people feared the lord, and believed the lord, and his servant Moses. Thus they were smitten with the finger with ten plagues, saying, from thence in Egypt they were smitten with ten plagues, and upon the sea they were smitten with fifty plagues.","Rabbi Jose, the Galilean, saith, From whence art thou authorized to assert, that the Egyptians were afflicted with ten plagues in Egypt; and upon the sea, they were smitten with fifty plagues? To which he answers: In Egypt, it says, And the magicians said unto Pharaoh, this is the finger of God; but at the sea, it says, And Israel saw the mighty hand wherewith the Lord smote the Egyptians: and the people feared the Lord, and believed in the Lord, and his servant Moses.<br>Now, (Rabbi Jose argues thus) if by the finger only they were smitten with ten plagues, hence, it is deducible that in Egypt they were smitten with ten plagues; and at the sea, they were smitten with fifty plagues. ","“Rabbi Jose, the Galilean, saith, from whence art thou authorized to assert that the Egyptians were afflicted with 10 plagues in Egypt, and upon the sea they were smitten with 50 plagues? To which he answers, in Egypt it says, and the magician said unto Pharaoh this is the finger of God; but at the sea it says, and Israel saw the mighty hand wherewith the Lord smote the Egyptians, and the people feared the Lord, and believed in the Lord and His servant Moses.<br>“Now, Rabbi Jose argues thus:–If by the finger only smitten with 10 plagues, and at sea they were smitten with 50 plagues. (This is founded on this argument:¬ In Egypt, they said this is the finger of God, but at seas it is said “And they saw the mighty hand.” If by the finger only they received 10 plagues, they must, of course, have received 50 by the hand, as it contains five fingers.)","Rabbi Jose, the Galilean, asks, Whence canst thou deduce that the Egyptians were smitten with ten plagues in Egypt, and that at the Red Sea they were smitten with fifty plagues? He thus replies: In Egypt it is said, ""The magicians said unto Pharaoh this is the finger of God;"" and at the Red Sea, it is said, ""The people saw the mighty hand wherewith the Eternal had wrought against Egypt, and the people feared the Eternal, and believed in the Eternal, and in his servant Moses. <br>If then they were smitten with ten plagues by a finger only, from this last passage it may be deduced, that in Egypt they were smitten with ten plagues, and at the Red Sea they were smitten with fifty plagues. 
","Rabbi Jose, the Galilian, said: from whence art thou authorized to assert that the Egyptians were afflicted with TEN plagues in Egypt, and upon the sea they were smitten with FIFTY, plagues? To which he answeres : in Egypt, it says: and the magicians said unto Pharaoh, this is the FINGER of God; but at the sea it says, and Israel saw the mighty HAND, wherewith the Lord smote the Egptians, and the people feard the Lord, and believed in the Lord and in his servant Moses. Now, if by the finger they were smitten with ten plagues, hence, it is deducible that in Egypt they were smitten with ten plagues, and at the sea they were smitten with fifty plagues. ","Rabbi Jose of Galilee said: ""Whence do we know that while the Egyptians suffered ten plagues in Egypt, they were, at the Red Sea, smitten with fifty plagues."" Of Egypt, it is said (Ex. viii. 19), ""Then the magicians said unto Pharaoh, This is the finger of God."" While of the Red Sea it is said (Ex. xiv, 31), ""And Israel saw that great hand with which the Lord wrought against Egypt, and the people feared the Lord, and believed in the Lord and in his servant Moses.""<br>Now, if with the finger of God they were smitten with ten plagues, then we may say that in Egypt (where they were smitten by the finger of God) they were smitten with ten plagues, while at the Red Sea (where the whole hand of God was manifest) they were smitten with fifty plagues. ","Rabbi Jose, the Galilan, saith, from whence art thou authorized to assert, that the Egyptians wers afflicted with ten plagues in Egypt; and upon the sea thy were smitten with fitty plagues ? To which he answeres : In Egypt, it says: and the magicians said unto Pharaoh, this is the finger of God ; but at the sea, it says: and Israel saw the mighety hand wherewith the Lord smote the Egyptians, and the people feared the Lord and believed in the Lord, and his servant Moses . (Rabbi Jose argues thus) if by the finger only they were smitten with ten plauges, hence, it is deducible that in Egypt they were smitten with ten plagues; and at the sea they were smitten with fifty plagues. "
"Pesach Haggadah, Magid, The Ten Plagues 19","רַבִּי אֱלִיעֶזֲר אוֹמֵר: מִנַּיִן שֶׁכָּל-מַכָּה וּמַכָּה שֶׁהֵבִיא הַקָּדוֹשׁ בָּרוּךְ הוּא עַל הַמִּצְרִים בְּמִצְרַיִם הָיְתָה שֶׁל אַרְבַּע מַכּוֹת? שֶׁנֶּאֱמַר: יְשַׁלַּח-בָּם חֲרוֹן אַפּוֹ, עֶבְרָה וָזַעַם וְצָרָה, מִשְׁלַחַת מַלְאֲכֵי רָעִים. עֶבְרָה - אַחַת, וָזַעַם - שְׁתַּיִם, וְצָרָה - שָׁלשׁ, מִשְׁלַחַת מַלְאֲכֵי רָעִים - אַרְבַּע. אֱמוֹר מֵעַתָּה: בְּמִצְרַיִם לָקוּ אַרְבָּעִים מַכּוֹת וְעַל הַיָּם לָקוּ מָאתַיִם מַכּוֹת. ","Rabbi Eliezer says, ""From where [can you derive] that every plague that the Holy One, blessed be He, brought upon the Egyptians in Egypt was [composed] of four plagues? As it is stated (Psalms 78:49): 'He sent upon them the fierceness of His anger, wrath, and fury, and trouble, a sending of messengers of evil.' 'Wrath' [corresponds to] one; 'and fury' [brings it to] two; 'and trouble' [brings it to] three; 'a sending of messengers of evil' [brings it to] four. You can say from here that in Egypt, they were struck with forty plagues and at the Sea, they were struck with two hundred plagues.""","Rabbi Eleazer saith, from whence is it proved that each plague, which the lord brought upon the Egyptians in Egypt, consisted of four plagues? it is written, he casted upon them the fierceness of his anger with wrath, and indignation, and trouble, sending evil angels. Fierceness of his anger is one plague, wrath is two, indignation is three, trouble and sending evil angels is four; saying from thence in Egypt they were smitten with forty plagues, and upon the sea with two hundred plagues.","Rabbi Eliezer saith, from whence can it be proved, that every plague which the most Holy, blessed be he, brought upon the Egyptians in Egypt, consisted of four different plagues? Answer. From what is said, He sent forth against them, the fierceness of his anger, wrath, indignation, and trouble; also, by sending evil angels among them. Now, WRATH is one, INDIGNATION two, TROUBLE three, and SENDING EVIL ANGELS four. Hence, it is deducible that in Egypt they were afflicted with forty plagues; and at the sea, they were smitten with two hun dred plagues.","“Rabbi Eliezer saith from whence can it be proved that every plague which the Most Holy (blessed be He) brought upon the Egyptians in Egypt consisted of four different plagues? From what is said He sent forth against them, the fierceness of his anger, wrath, indignation, and trouble; also by sending evil angels amongst them. Now wrath is one, indignation two, trouble three, sending evil angels four. Hence it is deducible that in Egypt they were afflicted with 48 plagues, and at the sea they were smitten with 200 plagues.","Rabbi Eleazar asks, Whence canst thou deduce that each plague which the Most Holy, blessed be He, brought upon the Egyptians, in Egypt, consisted of four several plagues? From where it is said, that ""He sent forth against them the fierceness of his anger, wrath, indignation and trouble, a band of evil angels."" Wrath is one, indignation two, trouble three, a band of evil angels four: hence it may be deduced that in Egypt they were smitten with fifty plagues, and at the Red Sea they were smitten with two hundred plagues.","Rabbi Eliezer said : from whence can it be proved that every plague, which the Most Holy, blessed be he, brought upon the Egyptians, in Egypt, consisted of four different plagues?- answer. From what it is said: he sent forth against them, the fierceness of his anger, wrath, indignation, and trouble; also by sending evil angels among them. Now WRATH is one, INDIGNATION two, TROUBLE three, and SENDING EVIL ANGELS four. Hence it is deducible, that in Egypt they were smitten with FORTY plagues, and at the sea they were smitten with Two HUNDRED plagues. ","Rabbi Eleazer said, Whence can we tell that each plague that the Holy One, blessed be He, brought upon the Egyptians in Egypt was equal to four plagues? Because it is said (Ps. lxxviii. 49), ""He east upon them the fierceness of his anger, WRATH and INDIGNATION, and TROUBLE, by SENDING EVIL ANGELS among them."" Now WRATH indicates one plague INDIGNATION a second, TROUBLE a third, SENDING EVIL ANGELS a fourth; hence we may say that in Egypt they were smitten with plagues equal to forty, while at the Red Sea they were smitten with plagues equal to two hundred.","Rabbi Elieser said: from whence can it be proved, that every plague, which the Most Holy, blessed be he, brought upon the Egyptians in Egypt, consisted of four different plagues ? Answer. From what is said: He sent forth against them, the fierceness of his anger, wrath, indignation, and trouble. Also by sending evil angels among them. Now wrath is one, indignation two, trouble three, and sending evil angels four. Hence, it is deducible, that in Egypt they were afflicted with forty plagues, and at the sea, they were smitten with two hundred plagues. "
