א,A
מנהיג,leader
מנהרה,tunnel
מנוח,rest
מנוחה,rest
מנורה,lamp
מנזר,monastery
מנחה מתנה,A gift moderator
מנחה קרבן תפלה,Mincha Korban Tefila
מנין,quorum
מנלם,Manalam
מנע,Prevent
מנעל,Lock
מנצפך,Flipping
מנשה המלך,Menashe the King
מנשה,Menashe
מס,tax
מסוה,disguise
מסורת,tradition
מסות,Essays
מסחר,trade
מסטיק,Bubble gum
מסיג גבול,Trespasser
מסיח לפי תומו,Distractingly
מסילה,Track
מסירה,delivery
מסירות נפש,self-sacrifice
מסית,agitator
מסך,screen
מסכה,mask
מסכנות,Poor
מסכתא,Tractate
מסע,a journey
מספא,From a spa
מספר אחד,number one
מספר אלף,Number of thousand
מספר ארבעה,Number four
מספר ארבעים,Number forty
מספר חמשה,Number five
מספר חמשים,Number of fifty
מספר טו,Number 15
מספר יא,Number 11
מספר יב,Number 12
מספר יג,Number 13
מספר יח,Number of units
מספר מאה,Number one hundred
מספר מה,Number of what
מספר עשרה,Number ten
מספר רבבה,Number of thousands
מספר ש,Number Q
מספר שבעה,Number seven
מספר שבעים,Number seventy
מספר שלשה,Number three
מספר שלשים,Number of threes
מספר שמונה,Number eight
מספר שמונים,Number eighty
מספר שנים,few years
מספר ששה,Number six
מספר ששים רבוא,Number of sixty thousand
מספר ששים,Number sixty
מספר ת,Number T
מספר תשעה,Number nine
מספר,number
מסרף,Seraph
מסת,Mass
מעון,residence
מעונן,cloudy
מעוף,flight
מעי מעים,Bowel movements
מעי עיוור,Blind bowel
מעיל,Coat
מעילה,embezzlement
מעין,kind of
מעל מעילה,Above her coat
מעלה בחוץ,Up outside
מעלה גרה,Ruminant
מעלל,More than
מעמד ומושב,Status and seat
מעמדות,Classes
מענה מענית,A torturing response
מעקה,railing
מערב,West
מערה,cave
מערכה,campaign
מערת המכפלה,Cave of the Patriarchs
מעשה אבות,The story of fathers
מעשה בראשית,Genesis
מעשה מרכבה מרכבה,The chariot of a chariot
מעשה,act
מעשים טובים,good deeds
מעשר בעור וודוי,Tithe in the skin of a wood
מעשר בהמה,From the tithe of beast
מעשר עני,A poor tithe
מעשר שני,Second tithe
מעשר,Tithe
מפיבושת,Mephiboshet
מפלצת,monster
מפלשי,Fascists
מפני,because
מפרסת פרסה,Horseshoe hoof
מפתה,tempting
מפתח,key
מצא מציאה,Find a bargain
מצא חן,Liked
מצבה,gravestone
מצה,Matzah
מצוה בין אדם למקום בין אדם לחברו,Mitzvah between man and place between man and his fellow
מצוה מעשה,A mitzva of action
מצוה עשה ולא תעשה,A positive commandment
מצוה פעולה,Mitzvah action
מצוה תלויה בארץ,A mitzva depends on the country
מצוה,commandment
מצולה,husks
מצוק,pillar
מצוקי,Cliffs
מצור,siege
מצורע,leprous
מצח,forehead
מצחק,He laughed
מציאות,reality
מצעדי,Parades
מצפה,Expect
מצפון,conscience
מצרים בים סוף,Egypt at the Red Sea
מצרים ישיבת,Egypt Yeshiva
מצרים רעב,Egypt is hungry
מצרים,Egypt
מקדש,Temple
מקוה,Mikveh
מקום,Place
מקושש,He recovers
מקח וממכר,A bargain
מקל,Stick
מקלל אביו ואמו,Cursing his father and mother
מקלל,Cursing
מקנה,Enough
מקץ,The end
מקצוע,profession
מקרא קדש,Mikra Kodesh
מקרא,legend
מקרה,case
מקשרות,Interconnecting
מר,Mr
מראה במראות,Mirror shows
מראה יפת תאר,A beautiful look
מראה מראתו,The sight of his appearance
מראה נבואה,Shows prophecy
מראית העין,The appearance
מראשותיו,From his head
מרבכת,Blessing
מרגלים,Spy
מרגלית,gem
מרד,revolt
מרדכי,Mordechai
מרה דור המדבר,The generation of the desert
מרה טבע,Mara drowned
מרה רוח,Bitter spirit
מרודים,Stupid
מרודך בלאדן,From Radd Bladen
מרוז,Meroz
מרור,Maror
מרזח,revel
מרחוק,from afar
מרחץ,bath
מרחק,distance
מרחשון,From Rechovot
מרי בר איסק,Mary Bar Isak
מריא,Mariah
מריבה,Fight
מרים בת בייתוס,Miriam the daughter of Beatus
מרים בת בלגה,Miriam is a daughter of Belga
מרים בת נקדימון,Miriam the daughter of Nakdimon
מרים התרמודית,Miriam the Thermodynamic
מרים,Miriam
מריקה,scouring
מרירי,Merry
מרך,Merck
מרכבה,buggy
מרכז,coordinator
מרמה,fraud
מרעהו,From another
מרק,soup
מרקוליס,Markoulis
מררי,Merry
מרשה,Marsha
מרתא בת בייתוס,Martha Bat Bethus
משא משאוי,The burden of Mashoy
משא נבואה,The burden of prophecy
משארות,From leftovers
משאת,Wish
משגל,intercourse
משה אוהל מועד,Moshe Ohel Mo&#39;ed
משה אותות,Moshe signals
משה במדין,Moshe in Midian
משה בסיני,Moshe at Sinai
משה בסנה,Moshe Bessna
משה ברכתו,Moshe blessing
משה דין,Moshe Dayan
משה וארון יוסף,Moshe and Aron Yosef
משה וארץ ישראל,Moses and the Land of Israel
משה ובניו,Moshe and his sons
משה וה,Moshe and
משה והלוחות,Moses and the Tablets
משה והמצרי,Moses and the Egyptian
משה וחטא העגל,Moses and the sin of the golden calf
משה ויהושע,Moses and Joshua
משה וישראל,Moshe and Israel
משה ויתרו,Moshe gave up
משה ומלאכים,Moses and angels
משה ומרים,Moshe and Miriam
משה ופרעה,Moshe and Pharaoh
משה וצפורה,Moshe and Tzipora
משה וקרח,Moshe and Korach
משה חטא,Moshe sinned
משה חצוצרות,Moshe trumpets
משה ידיעה,Moshe knew
משה כהונה,Moshe was a priest
משה לידתו,Moshe was born
משה מטה,Moshe is down
משה מי מריבה,Moshe who quarrels
משה מילה,Moshe Mila
משה מיתה וקבורה,Moshe died and was buried
משה נבואה,Moses prophecy
משה סיחון ועוג,Moshe Sihon and Og
משה עמלק,Moshe Amalek
משה ערל שפתים,Moshe uncircumcised
משה קרון עור פניו,Moshe Kron skinned his face
משה תוכחה,Moses rebuked
משה תורה,Moshe Torah
משה תפלה במרגלים,Moshe prayed in spies
משה תפלה בעגל,Moshe prayer in the calf
משה תפלה לעצמו,Moshe prayed to himself
משה תפלה,Moshe is a prayer
משה ואהרן,Moshe and Aharon
משה,Moses
משוא פנים,Bias
משואות,Beacons
משוכה,hurdle
משומד,apostate
משורה,From row
משוש,joy
משח משיחה,Anointed from a conversation
משחית,destructive
משחק,play
משי,silk
משיח חבלי,Mashiach Habali
משיח ימות,Messiah will die
משיח בן יוסף,Messiah son of Joseph
משיח,Messiah
משיכה,attraction
משך,duration
משכב זכור,Mishkav Zachor
משכון,pledge
משכיל,intellectual
משכית,Maskit
משכן אדנים,Mishkan Adanim
משכן בריחים,Locking latches
משכן הקמה ומשיחה,A building and a workshop
משכן חנכת,The Mishkan was inaugurated
משכן חצר,Mishkan courtyard
משכן יריעות ומכסה,Covering sheets and covers
משכן מסע,Mishkan Masa
משכן מעשה,Mishkan Ma&#39;aseh
משכן נדבת,A benevolent dwelling
משכן פקודי,The Pekudei Residence
משכן פרוכת,The Tabernacle
משכן קרסים,A nest of hooks
משכן קרשים,A plank of wood
משכן,house
משל מלך,A king&#39;s parable
משל,parable
משלח מנות,Forwarder
משלי,Proverbs
משלשת,Triple
משמן,From oil
משמר משמרת,Guard Shift
משנה תורה,Mishneh Torah
משנה,Matter
משנים,Changing
משפח,misjudgment
משפחה,Family
משפט,Sentence
משפתים,Languages
משק בן משק,Household farm
משק,economy
משקה,Beverage
משקוף,lintel
משקל,Weight
משרת,servant
משתה,feast
משתולל,rampant
משתין בקיר,Peeing in the wall
מת מצוה,He died of a mitzvah
מת,dead
מתא מחסיא,From the cell
מתג האמה,The switch of the aqueduct
מתום,Tom
מתורגמן,interpreter
מתושלח,Methuselah
מתים,Dead
מתיקות,sweetness
מתכונת,format
מתכת,metal
מתן תורה הגבלה,Matan Torah restriction
מתן תורה,Giving of the Torah
מתנה,Gift
מתנות כהונה חזה ושוק,Gifts of Priest and Market
מתנות כהונה,Gifts of priesthood
מתנות עניים,Poor gifts
מתנים,hips
מתתיהו,Matityahu
נ,N
נא בקשה,Please request
נא חי,Please live
נא אמון,Please trust
נאדר,glorious
נאוה,Nava
נאום,a speech
נאור,enlightened
נאלח,Salty
נאמן,loyal
נאף,Naf
נאץ,Screaming
נאק נאקה,Naka groaned
נאר,Nar
נבו,Nevo
נבואה,prophecy
נבוזראדן,Nebuzaradan
נבוכדנאצר,Nebuchadnezzar
נבול פה,Wretched here
נבון,intelligent
נבות,Navot
נבח,Barked
נבט,germ
נביא שקר,false prophet
נביא,prophet
נביאים,Prophets
נבך נבכי,We cry
נבל אביגיל,Abigail Harp
נבל כנור,Harp violin
נבל ליין,Harp Line
נבל עם נבל,Harp with harp
נבל תבול,Harp will fall
נבלה מאכלות אסורות,We shall eat forbidden foods
נבלה,carcass
נגב,Negev
נגד,Against
נגה,Noga
נגח,He rammed
נגיד,The Governor
נגיעה,touching
נגן נגינה,Play a musical instrument
נגע צרעת,The plague of leprosy
נגע קרב,A touching plague
נגף מגפה,A plague
נגש לא יגש,Nagsh will not come
נגש,Access
נדב ואביהוא,Nadav and Avihu
נדבה,handout
נדה זבה,Nida Zaba
נדה מוהר,Nada Mohar
נדוי,ostracism
נדוניה,dowry
נדיבות,generosity
נדר,vow
נהג,driver
נהיה,yearning
נהל,manager
נהר ונהרו,River and river
נהר נחל,River River
נהר דינור,The Dinur River
נהר כבר,River already
נהרדעא,Nehardea
נוב,Nov
נוגה,Venus
נוגש,oppressor
נוד,nomadic
נוח,comfortable
נוטריקון,abbreviation
נוכח,present
נום,Nome
נון,Nun
נוס,Nus
נוע,Move
נועז,daring
נוער,youth
נוף,View
נופת,Beautiful
נוצה,feather
נוצר חסד,Grace was created
נוצרים,Christians
נוקד,shepherd
נורא,Horrible
נותר,left
נזיפה,reprimand
נזיקין,damages
נזיר,monk
נזם,nose ring
נזק,damage
נזר,tiara
נח ובניו,Noah and his sons
נח והתבה,Noah and Hatva
נח כרם,Noah Kerem
נח קרבן,Noah was a victim
נח,Noah
נחה,Resting
נחום איש גמזו,Nachum Ish Gamzu
נחום,Nahum
נחור,Nahor
נחוש,determined
נחל נחלה,Nahal Nahal
נחל קישון,The Kishon River
נחם נחמה,Comfort comfort
נחמד,Nice
נחמיה,Nehemiah
נחר,Snorted
נחרפת,Scorched
נחרץ,determined
נחש בריח,A snare snake
נחש חטא ועונש,Serve sin and punishment
נחש הנחושת,The copper snake
נחש העמוני,Snake the Ammonite
נחש מלך בני עמון,Snake king of the children of Ammon
נחש,snake
נחשון,Nahshon
נחת,landed
נטה,Inclined
נטילה,taking
נטילת ידים,Washing hands
נטירה,Netira
נטישות,Abandonment
נטע נטיעה,Neta Planting
נטף,myrrh
נטש,Abandoned
ניאוף,Adultery
ניחוח,scent
נילוס,Nile
נין,great grandchild
נינוה,Nineveh
ניסן,Nissan
ניקנור,Nicanor
נכאת,Disgusting
נכד,grandson
נכוחה,Right
נכון,Right
נכח,Attended
נכסים,property
נכרי קרבן,A foreigner is a victim
נכרי תורה,Torah scholars
נכרי,Foreigner
נכרית,A foreigner
נלוז,aberrant
נמלה,ant
נמלץ,grandiloquent
נמרוד,Nimrod
נמרץ,vigorous
נס אות.htm,Miracle letter
נס על נס,Miracle on the miracle
נסיון,experience
נסס,Ness
נסע,He drove
נסתר,hidden
נעות המרדות,Moving the anesthesiologist
נעל,Shoe
נעמה העמונית,Naama the Ammonite
נעמה,Naama
נעמי,Naomi
נעמיות,Na&#39;amiyot
נעמן,Na&#39;aman
נעצוץ,Stinging
נער,boy
נערה,girl
נערץ,revered
נעשה ונשמע,Done and heard
נעתם,You moved
נפילים,Nipples
נפילת אפים,The fall of noses
נפל,Fell
נפלאות,Wonderful
נפץ,detonator
נפש חיה,living soul
נפש,soul
נפתלי,Naftali
נץ עופות,Hawk of birds
נץ פרי,Hawk of fruit
נצב,quadrature
נצבים,Nitzavim
נצה,Victory
נצח,Eternity
נצל,Take advantage
נצר צומח,A scion grows
נצר שמר,Netzer kept
נצרות,Christianity
נקב,puncture
נקבה,female
נקדימון,Nakdimon
נקודה,point
נקודים,Naked
נקי נקיון,Clean and clean
נקמה,Revenge
נקנור שער,Neknor Gate
נקף נקפה,There was a lift
נקר נקרה,Pecker necks
נקש נקשה,A knock clicked
נר אור,Candle light
נר סבו של שאול,Saul&#39;s grandfather&#39;s candle
נרגן,querulous
נרדף,persecuted
נשא יד,Raised a hand
נשא לב,He bore a heart
נשא עון,He bore a penance
נשא עין,He looked up
נשא פנים,He looked up
נשא ראש,He carried a head
נשא רגל,He carried a leg
נשא,He carried
נשה,Nasha
נשואות,Married
נשואין סעודה,Marriage
נשואין שנה ראשונה,First year
נשואין,Marriage
נשיא,president
נשיאים,Presidents
נשיאת כפים,Carrying a spoon
נשיקה,kiss
נשל,sloughing
נשמה גלגול,Soul avatar
נשמה וגוף,Soul and body
נשמה יחידה,A single soul
נשמה יתרה,A great soul
נשמה,soul
נשף,prom
נשפה,She exhaled
נשק,Weapon
נשר,Nesher
נתח,chunk
נתיב,path
נתין,subject
נתן הנביא,Nathan the prophet
נתן,Nathan
נתנאל,Nathaniel
נתץ,We&#39;ll break
נתק,Disconnect
נתר,carbonate
מנין,quorum
ס,S.
סאה,Seah
סאסאה,Sasa
סב,grandfather
סבב,Round
סבה,Her grandfather
סביבה,around the
סבל סבלנות,Suffering patience
סברא,Sabra
סגד,Szeged
סגלה,Segula
סגן,Lieutenant
סגר,closure
סד,chock
סדום מדת,Sodom from religion
סדום מלך,Sodom king
סדום,Sodom
סדר,order
סוד,secret
סוחר,merchant
סוטה,pervert
סוכה,succah
סוכות,Sukot
סוכן,agent
סוכנת,Agent
סוללה,battery
סולם,ladder
סולת,semolina
סומא,blind
סוס עגור,Horse Crane
סוס,horse
סוף גמר,The end is over
סוף ים סוף,The end of the Red Sea
סופה,a storm
סופר סופרים,Writer writers
סור,Sur
סורא,Sura
סוריה,Syria
סורר ומורה,Rebellious and rebellious
סורר,intractable
סות,Soth
סחיש,Sakhish
סחר סחורה,Merchandise trading
סטירה,slap
סטרא אחרא,Sitra achra
סיד,lime
סיום,finish
סיון,Sivan
סיחון,Sihon
סייג,Sage
סימן,sign
סין,China
סיני,Chinese
סיסרא,Sisera
סכות,Priests
סכין,Knife
סכל,foolish
סכן,Risky
סכנה,danger
סכסך,zigzag
סכר,dam
סלה לעולם,Sala to the world
סלה סולו,Sala Solo
סלה,Sala
סלח סליחה,Forgive forgiveness
סלמנדרא,Salamandra
סלסל,Curl
סלע,Sela
סלף,Salaf
סם,drug
סמאל,Sammael
סמבטיון,Sambatyon
סמיכה בית דין,Semicha Beit Din
סמיכה קרבן,Semicha Korban
סמיכות,Blankets
סמים,Drugs
סמך,Yes
סמל,symbol
סנבלט,Sanblat
סנדק,godfather
סנה,bush
סנהדרין,Sanhedrin
סנורים,Snacks
סנחריב,Sennacherib
סניגור וקטיגור,Defense attorney and defense attorney
סנפיר,fin
סנפירינון,Finnirinone
סעדיה גאון,Saadia Gaon
סעודה של לויתן,Leviathan&#39;s meal
סעודה,meal
סעפים,Exhaustions
סערה,a storm
סף,threshold
ספד,lamentation
ספה,sofa
ספור ספר,Count a book
ספות,Sofas
ספיח,accretion
ספינה,ship
ספיר,Sapir
ספירות,Sefirot
ספק,Provider
ספר הישר,Book of Yashar
ספר יצירה,Book of Creation
ספר תורה כתיבה,Torah scroll writing
ספר תורה,Sefer Torah
ספר,Book
ספרד,Spain
ספרים חיצוניים,External Books
סקילה,stoning
סקרנות,curiosity
סרה,Sera
סרוב,refusal
סרוס,emasculation
סרח,excess
סריס,eunuch
סרסור,pimp
סתום,blocked
סתירה,contradiction
סתם,mere
סתר,secret
ע,P
עב,UFO
עבד כנעני,He was a Canaanite slave
עבד ה,Abed H.
עבד כנעני הסגרה,Canaanite slave extradition
עבד כנעני יום או יומים,He worked Canaanite for a day or two
עבד כנעני שן ועין,"Canaanite slave, tooth and eye"
עבד מלך הכושי,Slave of the Negro king
עבד עברי הענקה,Hebrew slave grant
עבד עברי נרצע,Hebrew slave
עבד עברי שפחה,Hebrew slave slave
עבד עברי,Hebrew slave
עבד,slave
עבודה ועבודה,Work and work
עבודה פעולה,Working action
עבודה זרה אשרה,Idolatry visa
עבודה זרה בטול,Avodah Zarah in Tull
עבודה זרה דגון,The idol of Dagon
עבודה זרה חמנים,Idolatry and sunflower
עבודה זרה כונים,Idolatry are called
עבודה זרה מולך,Idolatry in front of you
עבודה זרה,Idolatry
עבודת אדמה,farming
עבודת ה אהבה,The work of love
עבודת ה יראת שמים,The work of piety
עבודת ה עול מלכות שמים,The work of the yoke of the Kingdom of Heaven
עבודת ה,Work
עבור הריון,For pregnancy
עבור מעבור הארץ,For the country
עבור שנה,For a year
עבור,for
עבות,thick
עבטיט,Avatite
עבר בנו של שם,Passed the son of Shem
עבר פאה,He passed a wig
עבר הירדן,Transjordan
עברה,passage
עברי,Hebrew
עגב,Tomato
עגול ועדשים עגולים,Round and round lentils
עגול,round
עגל חטא,The calf sinned
עגל,calf
עגלה ערופה,A broken cart
עגלה שלישיה,Threesome cart
עגלה,wagon
עגלון,driver
עד,Until
עדד,A witness
עדה,Witness
עדו,Ido
עדות עדותיו,Testimony of his testimony
עדות עדים זוממים,Testimony of witnesses plotting
עדות,testimony
עדי,jewel
עדינו,We are
עדן,Eden
עדנה,rejuvenation
עדשים,Lentils
עובד אדום,Red worker
עובד כוכבים,Stellar Worker
עובד,Employee
עובדיה,Ovadia
עובר,Passes
עוג,Og
עוד,More
עוה,Aw
עוון,sin
עוור,Blindness
עוות,warp
עוז,courage
עוזא,Uza
עוזיאל,Uziel
עוזיה,Uzia
עוים,Awn
עול,burden
עולל,infant
עוללות,Childhood
עולם ועד,World to
עולם מן העולם,World from the world
עולם הבא,next World
עולם הזה,This world
עולם,world
עומר ספירת,Omer counts
עומר,Omar
עון,Aoun
עונג,pleasure
עוני עני,Poor poverty
עונן,Poor
עונש,punishment
עועים,People
עוף,chicken
עופל,Ophel
עופר,Ofer
עופרת,lead
עוץ,Oz
עוקר הרים,Pulling up mountains
עור,skin
עורב,crow
עורך דין,Lawyer
עורף,hinterland
עורק,artery
עושר,wealth
עז פנים,Goat face
עז,goat
עזא ועזאל,Azza and Azal
עזאזל,hell
עזב,Left
עזות,Goats
עזק,Hold on
עזר,helped
עזרא,Ezra
עזרה,help
עזריהו בן עודד,Azaryahu Ben Oded
עטוף,wrap
עטוש,Atosh
עטין,udder
עטף עטוף,Wrap wrapped
עטרה,molding
עי עיי העברים,The Hebrews
עי,A
עידית,Idit
עיט צבוע,A painted eagle
עיט,eagle
עילם,Eilam
עין חושים,Eye of the senses
עין מעין,Ein Ma&#39;ayan
עין רעה,Evil Eye
עין גדי,Ein Gedi
עין דאר,Ein Dar
עין טובה יפה,Good eye
עין יעקב,Ein Yaakov
עין רוגל,Ein Rogel
עין תחת עין,tit for tat
עין,eye
עיף,fatigued
עיר לוים,A city of peace
עיר מלאך,City of the Angel
עיר הנדחת,A city that is rejected
עיר חומה,A brown city
עיר מקלט,City of refuge
עיר,City
עירא היאירי,Ira Hayari
עיש,Wain
עכבר,mouse
עכו,Acre
עכן,Achan
עכס,A butt
עכסה,Its back
עכר,Wrong
עכשוב,You&#39;re back
על אודות,about
על דבר,About anything
על יד,By
על כן,Therefore
על פי,According to
על פני,Over
על,On
עלה עליה,Climbed on it
עלות,cost
עלז,Alz
עלטה,darkness
עלי בני,Ali Benny
עלי,pestle
עליה לרגל,Pilgrimage
עליל,A plot
עלילה,plot
עלמה,What
עלמות כלי שיר,The maidens of songs
עלמות,youthfulness
עלף,Elaf
עלץ,Excited
עם אומה,With Uma
עם עמו,With his people
עם הארץ,people of the country
עמד עמידה,Stood standing
עמדי,Stand with me
עמוד ענן,pillar of Defense
עמון,Ammon
עמוס,Amos
עמורה,Amora
עמית,Colleague
עמל,labor
עמלק מחיית זכר,Amalek wiped out a male
עמלק מלחמת,Amalek War
עמלק,Amalek
עמנואל,Emanuel
עמק,valley
עמרי,Omri
עמרם,Amram
עמשא,Amasa
ענבים,Grapes
ענה תענית,He answered a fast
ענה,He replied
ענוה,humility
עני,poor
ענן,cloud
ענק,Giant
ענר,Aner
ענתות,Anatot
עסה,She chewed
עסיס,juice
עפר,dirt
עפרון,pencil
עץ הדעת,the tree of knowledge
עץ החיים,tree of Life
עץ,Wood
עצב,Nerve
עצבים,nerves
עצה לעומת העצה,Advice vs. advice
עצה,piece of advice
עצום,closed
עצומות,Petitions
עצור,under arrest
עציון גבר,Etzion Gever
עצל עצלות,Lazy laziness
עצלנות,laziness
עצם היום,The very day
עצם,bone
עצרה,She stopped
עצרת,assembly
עקב ויעקבני,Heel and heel
עקב עקב תשמעון,Due to due you will hear
עקב,due to
עקד,Aqad
עקדה,Akeda
עקילס,Akilles
עקר עקרה,Sterile sterile
עקר,futile
עקרב,Scorpion
עקרת,Housewife
ער בכור יהודה,In the Bekhor Yehuda
ער מואב,Ar Moav
ער,awake
ערב ערבות,Evening guaranty
ערב יום טוב,Good evening
ערב פסח,Passover night
ערב רב,Horde
ערב שבת,Friday night
ערב,evening
ערבה בקעה,Willow Baka
ערבה סוכות,Willow Succot
ערבות שמים,The promise of heaven
ערבות,bail
ערבי,Arabic
ערג,He yearned
ערה,Awake
ערום ערמה,Naked pile
ערום,naked
עריות,Incest
ערירי,childless
ערכין,Values
ערל ערלה,Foreskin uncircumcised
ערלה,foreskin
ערמה,heap
ערער,juniper
ערף,Foreskin
ערפה,Arfa
ערפל,fog
ערץ,Erz
עש,moth
עשב,grass
עשה,Made
עשהאל,Asael
עשו,did
עשיר,rich
עשירית האפה,A tenth of her nose
עשן,smoke
עשק,Aishak
עשר מכות ארבה,Ten beaten locusts
עשר מכות ברד,Ten blows of hail
עשר מכות דבר,Ten blows a thing
עשר מכות דם,Ten strokes of blood
עשר מכות התראה,Ten strikes
עשר מכות והחרטומים,Ten blows and snows
עשר מכות חושך,Ten blows of darkness
עשר מכות כנים,Ten honest blows
עשר מכות מכת בכורות,Ten plagues from the plague of the firstborn
עשר מכות ערוב,Ten plagues
עשר מכות צפרדע,Ten Frog Beats
עשר מכות שחין,Ten plagues boils
עשר מכות שפטים,Ten punches
עשר מכות תנין,Ten Crocodile Strikes
עשר מכות,Ten blows
עשרה בטלנים,Ten idle people
עשרה הרוגי מלכות,Ten Martyrs
עשרה עממין,Ten people
עשרה,ten
עשרת הדברות אנכי,The Ten Commandments are vertical
עשרת הדברות כבד את אביך,The Ten Commandments saddened your father
עשרת הדברות לא יהיה לך,The Ten Commandments will not be yours
עשרת הדברות לא תחמוד,The Ten Commandments will not covet
עשרת הדברות לא תשא,The Ten Commandments will not bear
עשרת הדברות שבת,The Ten Commandments Shabbat
עשרת הדברות,Ten Commandments
עשרת השבטים,the ten tribes
עשרת ימי תשובה,Ten Days of Repentance
עשת,Eshet
עשתרות,Ashtaroth
עת,time
עתה,now
עתודות,Reserves
עתי,Uday
עתליה,Atalia
עתניאל,Otniel
פ,F.
פאה מתנות עניים,Wig poor gifts
פאה עבר,A wig passed
פאה נכרית,wig
פאר לא תפאר,Peer will not boast
פאר תפארת,The glory of Tiferet
פאת הראש והזקן,The head and beard
פגול,Peggy
פגע,affliction
פגר,carcass
פגש,Met
פדיון פדה,Redemption of Redemption
פדיון הבן,Redemption of the firstborn
פדיון שבויים,Redemption of captives
פדן,Padan
פדר,Feder
פה,Here
פהוק,yawn
פוג,Fog
פודגרא,Podgra
פוטיאל,Futial
פוטיפר,Potiphar
פומבדיתא,Pumbedita
פועל יצר,Verb created
פועל,worker
פוקד עון,Aoun orders
פורים,Purim
פורש מדרכי צבור,Retiring from public roads
פורת,Porat
פושעי ישראל,Israeli criminals
פז,Paz
פחד יצחק,Fear of Isaac
פחד,fear
פחה,Pasha
פחז,Puff
פחים,Sheets
פחתת,Reduced
פטר חמור,Peter is a donkey
פי החירות,According to freedom
פיוט,poetry
פיוס,reconciliation
פיכול,Peacock
פיל,Phil
פילוסוף פילוסופיה,Philosopher of philosophy
פירוש,Meaning
פישון,Pishon
פיתום,ventriloquist
פלא אות,A wonder
פלא לפלא,Wonder of wonder
פלגש בגבעה,A concubine on the hill
פלגש,A concubine
פלוני אלמוני,anonymous
פלטי בן ליש,Palti Ben Layish
פלילים,Criminal
פלל,Palal
פלפול,argumentation
פלפל,pepper
פלשתים,The Philistines
פן,lest
פנה פנה,Please contact
פנחס,Pinchas
פנים בפנים,Face inside
פנים,face
פנינה,pearl
פסוח,Passing
פסוקי דזמרא,Pesukei D&#39;Zimra
פסח ערב,Passover Eve
פסח מצרים,Passover of Egypt
פסח שני,Pesach Shani
פסח,Passover
פסל,statue
פעור,wide open
פעל פעולה,Follow action
פעם,time
פעמות,Beats
פפא בר אבא,Papa Bar Abba
פפוניא,Paponia
פצוע דכא,Wounded and depressed
פצע,wound
פצר,Fetzer
פקד יפקד,A commanding officer
פקד,chief
פקדון,deposit
פקודה,command
פקודים,Commanders
פקוח נפש,Mental supervision
פקח,inspector
פקידה,clerk
פר,bull
פרא אדם,Savage
פרד,mule
פרדס,grove
פרה אדומה,Red cow
פרה,cow
פרוד,separated
פרוזבול,Prozbul
פרוטה,A penny
פרוכת,The curtain
פרוע ראש,Wild
פרח פרוח,Flower Flower
פרט,an individual
פרידה,breakup
פריה ורביה,Fertility and reproduction
פריקה וטעינה,Unloading and loading
פרישה פרישות,Retirement and celibacy
פרישות פרושים,Celibacy
פרך,Silly
פרנס,Parnes
פרנסה,livelihood
פרס אומות העולם,The Righteous Among the Nations Award
פרס שכר,Reward prize
פרע פרע,Pharaoh broke up
פרעה ויוסף,Pharaoh and Joseph
פרעה וישראל,Pharaoh and Israel
פרעה ושרה,Pharaoh and Sarah
פרעה חזוק לבו,Pharaoh strengthened his heart
פרעה חלום,Pharaoh dream
פרעה נכה,Pharaoh is crippled
פרעה,Pharaoh
פרעון,payment
פרץ פרצה פריצות,Peretz broke out
פרץ,breach
פרק,Chapter
פרש כנף,Winged wing
פרשה,affair
פרת,Perth
פשה,Pasha
פשחור,Pashhur
פשט,Simplify
פשטות פשיטות,Simplicity raids
פשע,crime
פשרה,compromise
פשתים פשתן,Flax linen
פת,bread
פתאום פתע,"Suddenly, suddenly"
פתה,Open
פתואל,Fethual
פתור,Resolve
פתח דלת,He opened a door
פתח עינים,Open your eyes
פתח,opening
פתחון פה,Open your mouth
פתחיה,Fethiye
פתי,gullible
פתיל,thread
פתלתול,serpentine
פתע,suddenly
צ,C
צאלים,Tze&#39;elim
צאן,sheep
צב,turtle
צבא מרום,Marom army
צבא,army
צבוע רשע,Painted evil
צבוע,hyena
צבור ויחיד,Single and collective
צבור צרכי,Accumulating needs
צבור,public
צבי,deer
צבע,Colour
צבר,Sabra
צד,party
צדה מזון,Hunting Food
צדה,Hunting
צדוק הדין,Tzadok HaDin
צדוק,Tzadok
צדוקי,Tzadoki
צדיק ורע לו,Righteous and evil
צדיק מיתה,Righteousness
צדיק,righteous
צדק,justice
צדקה,charity
צדקיה בן כנענה,Zedekiah the son of Canaan
צדקיה,Zedekiah
צהוב,yellow
צהלה,rejoicing
צהר,Tzohar
צהרים,Midday
צו צוה,Order
צואה בית הכסא,Feces in the chair
צואה ירושה,Fecal inheritance
צואר,neck
צובאות,Tzovat
צום,fast
צוער,cadet
צוף,nectar
צופה,Watchman
צופר,horn
צור אבן,Create a stone
צור חירם,Zur Hiram
צורבא מרבנן,Tzurba from Rabin
צורה,shape
צח,fresh
צחוק,laugh
צחיח,arid
צי,fleet
ציד,hunting
צידה,provisions
צידון,Sidon
ציה,Tzia
ציון,Grade
ציונות,Zionism
ציים,Fleets
ציץ,Tzitz
ציצית הכסת,The quilt of the quilt
ציצית,fringe
ציר דגים,Fish hinge
ציר מלאך,Axis of an Angel
צירים,Hinges
צל,shadow
צלה,shadow
צלח,successful
