Sanhedrin 2a:1	<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN$fn1 <small>WERDEN VOR DREI</small> [R<small>ICHTERN VERHANDELT</small>], R<small>AUB UND</small> K<small>ÖRPERVERLETZUNGEN</small>$fn2 <small>VOR DREI</small>, S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ</small>$fn3, Z<small>AHLUNG DES</small> D<small>OPPELTEN</small>$fn4 <small>UND DES</small> V<small>IER ODER</small> F<small>ÜNFFACHEN</small>$fn5 <small>VOR DREI</small>,
Sanhedrin 70b:6	R. Jiçḥaq sagte: Woher, daß Šelomo später seiner Mutter beipflichtete? Es heißt: <i>ich bin dümmer als ein Mann und Menschenverstand ist nicht bei mir</i>. Ich bin dümmer als ein Mann, als Noaḥ, von dem es heißt: <i>und Noaḥ, der Landmann, fing an. Und Menschenverstand ist nicht bei mir</i>, das ist Adam der Urmensch.
Sanhedrin 70b:7	H<small>AT ER ES BEI EINEM</small> G<small>ASTMAHLE GELEGENTLICH EINER GOTTGEFÄLLIGEN</small> H<small>ANDLUNG GEGESSEN</small>. R. Abahu sagte: er ist nur dann strafbar, wenn er es in einer ausschließlich aus zuchtlosen Menschen bestehenden Gesellschaft gegessen hat. — 
Sanhedrin 70b:8	Wir haben ja gelernt, wenn er es bei einem Gastmahle gelegentlich einer gottgefälligen Handlung gegessen hat, gelte er nicht als mißratener und widerspenstiger Sohn; nur wenn gelegentlich einer gottgefälligen Handlung, wenn aber nicht, [gilt er als solcher,] auch wenn [die Gesellschaft] nicht ganz aus zuchtlosen Menschen besteht!? — Folgendes lehrt er uns: selbst wenn sie ganz aus zuchtlosen Menschen besteht, wird er, da es gelegentlich einer gottgefälligen Handlung erfolgt, [zur Völlerei] nicht hingezogen.
Sanhedrin 70b:9	O<small>DER GELEGENTLICH DER</small> I<small>NTERKALATION DES</small> N<small>EUMONDES</small>. Demnach brachte man da$fn91Fleisch und Wein hinauf, dagegen wird ja aber gelehrt, daß man da nur bei Getreide- und Erbsenbrot zusammentrete!? — Folgendes lehrt er uns: obgleich man da nur bei Getreide- und Erbsenbrot zusammentritt, er aber Fleisch und Wein mitgenommen hat, wird er, da er sich mit einer gottgefälligen Handlung befaßt, [zur Völlerei] nicht hingezogen.
Sanhedrin 70b:10	Die Rabbanan lehrten: Zur Interkalation des Neumondes treten nicht weniger als zehn Personen zusammen, ferner tritt man da nur bei Getreide- und Erbsenbrot zusammen, ferner nur am Abend vor der Interkalation, ferner nicht am Tage, sondern nur nachts. — Es wird ja aber gelehrt, daß man hierzu nicht nachts, sondern nur am Tage zusammentrete!? — Wie R. Ḥija zu seinen Söhnen zu sagen pflegte: Geht früh hinein und kommt früh heraus, damit die Leute euch bemerken$fn92.
Sanhedrin 70b:11	O<small>DER ALS ZWEITEN</small> Z<small>EHNTEN IN</small> J<small>ERUŠALEM</small>. Da er nach Vorschrift ißt, so wird er nicht [zur Völlerei] hingezogen.
Sanhedrin 70b:12	O<small>DER</small> A<small>AS</small>, T<small>OTVERLETZTES</small>, E<small>KEL- UND</small> K<small>RIECHTIERE</small>. Raba sagte: Hat er Geflügelfleisch gegessen, so gilt er nicht als mißratener und widerspenstiger Sohn. — 
Sanhedrin 70b:13	Wir haben ja aber gelernt, wenn er Aas, Totverletztes, Ekel- und Kriechtiere gegessen hat, gelte er nicht als mißratener und widerspenstiger Sohn. Wohl aber, wenn er [Fleisch] reiner Tiere gegessen hat!? — Unsere Mišna lehrt dies nur von der Ergänzung$fn93.
Sanhedrin 70b:14	O<small>DER ETWAS, WODURCH ER EIN</small> G<small>EBOT AUSGEÜBT ODER EIN</small> V<small>ERBOT ÜBERTRETEN HAT</small>. Ein Gebot, gelegentlich der Tröstung von Leidtragenden; ein Verbot, an einem Gemeinde-Fasttage. — 
Sanhedrin 70b:15	Weshalb dies? — Die Schrift sagt:$fn94<i>er hört nicht auf unsere Stimme</i>, auf unsere Stimme, nicht aber auf die Stimme Gottes.
Sanhedrin 70b:16	H<small>AT ER JEDE ANDERE</small> S<small>PEISE GEGESSEN, ABER KEIN</small> F<small>LEISCH, JEDES ANDERE</small> G<small>ETRÄNK GETRUNKEN, ABER KEINEN</small> W<small>EIN &amp;C</small>. Hat er jede andere Speise gegessen, aber kein Fleisch, dies schließt die qei͑lische Feige ein; hat er jedes andere Getränk getrunken, aber keinen Wein, dies schließt Honig und Milch ein. 
Sanhedrin 70b:17	Es wird nämlich gelehrt: Wer eine qei͑lische Feige gegessen und Honig und Milch getrunken hat und darauf in den Tempel eingetreten ist, ist 
Sanhedrin 71a:1	strafbar 
Sanhedrin 71a:2	E<small>R GILT NUR DANN ALS MISSRATENER UND WIDERSPENSTIGER</small> S<small>OHN, WENN ER</small> F<small>LEISCH GEGESSEN UND</small> W<small>EIN GETRUNKEN HAT</small>. Die Rabbanan lehrten: Hat er jede andere Speise gegessen, aber kein Fleisch, jedes andere Getränk getrunken, aber keinen Wein, so gilt er nicht als mißratener und widerspenstiger Sohn; mur wenn er Fleisch gegessen und Wein getrunken hat, denn es heißt: <i>ein Schlemmer und ein Saufbold</i>. 
Sanhedrin 71a:3	Und obgleich es hierfür keinen Beweis gibt, so gibt es doch eine Andeutung, denn es heißt: <i>sei nicht unter den Weinsäufern und unter den Fleischverprassern.</i> Ferner heißt es:$fn95<i>denn der Säufer und der Prasser verarmt, und Schläfrigkeit gibt Lumpen zur Kleidung</i>. R. Zera sagte: Wenn jemand im Lehrhause schlummert, so wird seine Tora zerlumpt$fn96, denn es heißt: <i>Schläfrigkeit gibt Lumpen zur Kleidung</i>.
Sanhedrin 71a:4	<sup>iii</sup> <b>H</b><small>AT ER VON SEINEM</small> V<small>ATER GESTOHLEN UND ES IM</small> G<small>EBIETE SEINES</small> V<small>ATERS VERZEHRT, ODER VON</small> F<small>REMDEN UND ES IM</small> G<small>EBIETE VON</small> F<small>REMDEN VERZEHRT, ODER VON</small> F<small>REMDEN UND ES IM</small> G<small>EBIETE SEINES</small> V<small>ATERS VERZEHRT, SO GILT ER DADURCH NICHT ALS MISSRATENER UND ABTRÜNNIGER</small> S<small>OHN; NUR WENN ER VON SEINEM</small> V<small>ATER GESTOHLEN UND ES IM</small> G<small>EBIETE VON</small> F<small>REMDEN GEGESSEN HAT</small>. R. J<small>EHUDA SAGT, NUR WENN ER VON SEINEM</small> V<small>ATER UND SEINER</small> M<small>UTTER GESTOHLEN HAT</small>.
Sanhedrin 71a:5	GEMARA. Wenn er von seinem Vater gestohlen und im Gebiete seines Vaters gegessen hat, so war er, obgleich er dazu Gelegenheit hat, ängstlich$fn97; 
Sanhedrin 71a:6	wenn er von Fremden gestohlen und es im Gebiete von Fremden gegessen hat, so ist ihm, obgleich er nicht ängstlich war, dazu nicht oft die Gelegenheit geboten, und um so weniger, wenn er von Fremden gestohlen und es im Gebiete seines Vaters gegessen hat, denn dazu ist ihm nicht oft die Gelegenheit geboten, auch war er ängstlich. 
Sanhedrin 71a:7	Nur dann, wenn er von seinem Vater gestohlen und es im Gebiete von Fremden gegessen hat, denn dazu hat er oft Gelegenheit, auch war er nicht ängstlich.
Sanhedrin 71a:8	R. J<small>OSE B</small>. R. J<small>EHUDA SAGT, NUR WENN ER VON SEINEM</small> V<small>ATER UND SEINER</small> M<small>UTTER GESTOHLEN HAT</small>. Woher hatte es denn seine Mutter, was die Frau besitzt, gehört ja ihrem Ehemanne!? R. Jose b. Ḥanina erwiderte: Von einer Mahlzeit, die bereits für seinen Vater und seine Mutter hergerichtet war. — 
Sanhedrin 71a:9	Aber R. Ḥanan b. Molada sagte ja im Namen R. Honas, er sei nur dann strafbar, wenn er Fleisch billig gekauft und gegessen hat, Wein billig gekauft und getrunken hat!? — Sage vielmehr: vom Gelde, das zu einer Mahlzeit für seinen Vater und für seine Mutter bestimmt war. 
Sanhedrin 71a:10	Wenn du aber willst, sage ich: wenn jemand es ihr zugeeignet hat unter der Bedingung, daß ihr Mann keinen Anspruch darauf habe.
Sanhedrin 71a:11	<sup>iv,1</sup> <b>W</b><small>ENN SEIN</small> V<small>ATER ES</small>$fn98<small>WILL UND SEINE</small> M<small>UTTER NICHT, ODER WENN SEIN</small> V<small>ATER ES NICHT WILL UND SEINE</small> M<small>UTTER WOHL, SO GILT ER NICHT ALS MISSRATENER UND WIDERSPENSTIGER</small> S<small>OHN; NUR WENN BEIDE ES WOLLEN</small>. R. J<small>EHUDA SAGTE</small>: I<small>ST SEINE</small> M<small>UTTER FÜR SEINEN</small> V<small>ATER NICHT GEEIGNET, SO GILT ER NICHT ALS MISSRATENER UND WIDERSPENSTIGER</small> S<small>OHN</small>.
Sanhedrin 71a:12	GEMARA. Was heißt ‘nicht geeignet’: wollte man sagen, wenn [auf ihre Heirat] die Ausrottung oder der Tod durch das Gericht gesetzt ist, so ist er ja immerhin sein Vater und sie seine Mutter!? — 
Sanhedrin 71a:13	Vielmehr, er spricht von der [physischen] Gleichheit mit seinem Vater. Ebenso wird auch gelehrt: R. Jehuda sagte: Gleicht seine Mutter nicht seinem Vater in Stimme, Aussehen und Statur, so gilt er nicht als mißratener und widerspenstiger Sohn. — Aus welchem Grunde? — Die Schrift sagt: <i>er hört nicht auf unsere Stimme</i>, und wie demnach die Stimme$fn99gleichmäßig sein muß, so müssen auch Aussehen und Statur gleichmäßig sein. — 
Sanhedrin 71a:14	Wessen Ansicht vertritt demnach folgende Lehre: [Der Fall vom] mißratenen und widerspenstigen Sohne ist nie geschehen und wird nie geschehen; er ist nur deshalb niedergeschrieben worden, damit man für die Schriftforschung eine Belohnung erhalte. Wessen also? Die des R. Jehuda$fn100. — 
Sanhedrin 71a:15	Wenn du willst, sage ich: die des R. Šimo͑n, denn es wird gelehrt: R. Šimo͑n sagte: Sollten etwa Vater und Mutter einen zur Steinigung hinausführen, weil er ein Tritemor Fleisch gegessen und ein Log italischen Wein getrunken hat? Dies ist vielmehr [ein Fall,] der nie geschehen ist und nie geschehen wird; er ist nur deshalb niedergeschrieben worden, damit man für die Schriftforschung eine Belohnung erhalte. R. Jonathan sagte: Ich sah einen solchen und saß auf seinem Grabe. — 
Sanhedrin 71a:16	Wessen Ansicht vertritt folgende Lehre: [Der Fall von der] abtrünnigen Stadt ist nie geschehen und wird nie geschehen; er ist nur deshalb niedergeschrieben worden, damit man für die Schriftforschung eine Belohnung erhalte. Wessen also? Die des R. Elie͑zer, denn es wird gelehrt: R. Elie͑zer sagte: Eine Stadt, in der auch nur eine Mezuza vorhanden ist, kann nicht als abtrünnige Stadt erklärt werden. — 
Sanhedrin 71a:17	Aus welchem Grunde? — Die Schrift sagt:$fn101<i>alles in ihr Erbeutete sollt ihr auf ihren Marktplatz zusammentragen und im Feuer verbrennen</i>, und wenn da eine Mezuza vorhanden ist, so ist dies nicht möglich, denn es heißt:$fn102<i>ihr dürft nicht ebenso verfahren mit dem Herrn, eurem Gott</i>. R. Jonathan sagte: Ich sah eine solche und saß auf ihrem Trümmerhaufen. — 
Sanhedrin 71a:18	Wessen Ansicht vertritt folgende Lehre: [Der Fall vom] aussätzigen Hause ist nie geschehen und wird nie geschehen; er ist nur deshalb niedergeschrieben worden, damit man für die Schriftforschung eine Belohnung erhalte. Wessen also? Die des R. Elea͑zar b. R. Šimo͑n, denn es wird gelehrt: R. Elea͑zar b. R. Šimo͑n sagt, das Haus sei nur dann [der Aussatz] in der Größe von zwei Graupenkörnem erscheint, an zwei Steinen, an zwei Wänden, in einem Winkel, zwei Graupenkörner lang und ein Graupenkorn breit. — 
Sanhedrin 71a:19	Was ist der Grand des R. Elea͑zar b. R. Šimo͑n? Es heißt:$fn103<i>Wand</i> und es heißt <i>Wände</i>; welche Wand gleicht Wänden? Ein Winkel. 
Sanhedrin 71a:20	Es wird gelehrt: R. Elie͑zer b. Çadoq sagte: Im Gebiete von A͑za war ein Ort, den man ‘Aussätzige Ruine’ nannte. R. Šimo͑n aus Kephar A͑kko erzählte: Einst ging ich nach Galiläa und sah da einen Ort, den man kennzeichnete, und man sagte mir, da seien aussätzige Steine hingeschafft worden.
Sanhedrin 71a:21	<sup>iv,2</sup> <b>I</b><small>ST EINER VON IHNEN EINHÄNDIG, LAHM, STUMM, BLIND ODER TAUB, SO GILT ER NICHT ALS MISSRATENER UND WIDERSPENSTIGER</small> S<small>OHN, DENN ES HEISST</small>: $fn104<i>sein Vater und seine Mutter sollen ihn ergreifen</i>, <small>KEINE</small> E<small>INHÄNDIGEN;</small> <i>sie sollen ihn hinausführen</i>, <small>KEINE</small> L<small>AHMEN;</small> <i>sie sollen sprechen</i>, <small>KEINE</small> S<small>TUMMEN;</small> <i>dieser, unser Sohn</i>, <small>KEINE</small> B<small>LINDEN;</small> <i>er hört nicht auf unsere Mahnung</i>, <small>KEINE</small> T<small>AUBEN</small>$fn105. 
Sanhedrin 71a:22	M<small>AN WARNE IHN VOR DREI</small> [P<small>ERSONEN</small>] <small>UND GEISSELE IHN; WIEDERHOLTE ER SEINE</small> A<small>USARTUNG, SO IST ER DURCH DREIUNDZWANZIG</small> [R<small>ICHTER</small>] <small>ABZUURTEILEN</small>. E<small>R IST NUR DANN ZU STEINIGEN, WENN DIE DREI ERSTEREN ZUGEGEN SIND, DENN ES HEISST:</small> <i>dieser, unser Sohn</i>, <small>DIESER IST ES, DER VOR EUCH GEGEISSELT WORDEN IST</small>.
Sanhedrin 71a:23	GEMARA. Hieraus wäre also zu entnehmen, daß man sich an den Wortlaut der Schrift halte? — Anders ist es hierhei, 
Sanhedrin 71b:1	wo der ganze Schriftvers überflüssig ist.
Sanhedrin 71b:2	M<small>AN WARNE IHN VOR DREI</small> [P<small>ERSONEN</small>]. Wozu dies, zwei genügen ja!? Abajje erwiderte: Er meint es wie folgt: man warne ihn vor zwei und geißele ihn vor drei [Personen]. — 
Sanhedrin 71b:3	Wo steht es geschrieben, daß ein mißratener und widerspenstiger Sohn zu geißeln ist? — Nach einer Lehre R. Abahus, denn R. Abahu sagte: Man folgere hinsichtlich des [Wortes] <i>züchtigen</i>$fn106vom [Worte] <i>züchtigen</i>, hinsichtlich des [letzteren] <i>züchtigen</i> vom [Worte] <i>Sohn</i>, und hinsichtlich des [Wortes] <i>Sohn</i> vom [Worte] <i>Sohn</i> [im Schriftverse:]$fn107<i>und wenn der Schuldige ein Sohn</i>$fn108<i>von Prügelstrafe ist</i>.
Sanhedrin 71b:4	W<small>IEDERHOLTE ER SEINE</small> A<small>USARTUNG, SO IST ER DURCH DREIUNDZWANZIG &amp;C</small>. Aus [dem Worte] <i>diese</i>$fn109wird ja gefolgert: keine Blinden!? — Der Schriftvers könnte ja lauten: es$fn110ist unser Sohn, wenn es aber heißt: dieser, unser Sohn, so ist hieraus beides zu entnehmen.
Sanhedrin 71b:5	<sup>iv,3</sup> <b>I</b><small>ST ER VOR SEINER</small> A<small>BURTEILUNG ENTFLOHEN, WORAUF IHM UNTEN RINGSHERUM</small>$fn111<small>EIN</small> B<small>ART GEWACHSEN IST, SO BLEIBT ER STRAFFREI; IST ER NACH SEINER</small> A<small>BURTEILUNG ENTFLOHEN, WORAUF IHM UNTEN RINGSHERUM EIN</small> B<small>ART GEWACHSEN IST, SO IST ER STRAFBAR</small>.
Sanhedrin 71b:6	GEMARA. R. Ḥanina sagte: Wenn ein Noaḥide eine Gotteslästerung ausgesprochen hat und darauf Proselyt wird, so ist er straffrei, denn bei ihm hat sich sowohl$fn112das Strafverfahren$fn113als auch die Todesart$fn114 geändert. 
Sanhedrin 71b:7	Ihm wäre eine Stütze zu erbringen: Ist er nach seiner Aburteilung entflohen, worauf ihm unten ringsherum ein Bart gewachsen ist, so bleibt er straffrei. Doch wohl deshalb, weil wir sagen, da bei ihm eine Veränderung eingetreten ist, so hat es sich vollständig geändert. — 
Sanhedrin 71b:8	Nein, anders ist es hierbei, denn, wenn er es nachher getan hätte, könnte er ja überhaupt nicht zum Tode verurteilt werden. — 
Sanhedrin 71b:9	Komm und höre: Ist er aber nach seiner Aburteilung entflohen, worauf ihm unten ringsherum ein Bart gewachsen ist, so ist er strafbar!? — Du sprichst von dem Falle, wenn er abgeurteilt worden ist, nach seiner Aburteilung gilt er als hingerichtet. — 
Sanhedrin 71b:10	Komm und höre: Wenn ein Noaḥide seinen Genossen erschlagen, oder die Frau seines Genossen beschlafen hat, und darauf Proselyt wird, so ist er straffrei; wenn aber einen Jisraéliten und darauf Proselyt wird, so ist er strafbar. Weshalb denn, man sollte doch sagen, da bei ihm eine Veränderung eingetreten ist, so hat es sich vollständig geändert!? — 
Sanhedrin 71b:11	Es muß [eine Änderung] im Strafverfahren und in der Todesart eingetreten sein, während bei diesem die Änderung nur im Strafverfahren eingetreten ist, nicht aber in der Todesart. — 
Sanhedrin 71b:12	Allerdings stimmt dies beim Morde, denn vorher würde er durch das Schwert [hingerichtet worden sein] und nachher ebenfalls durch das Schwert, wieso aber beim Ehebruche, vorher würde er ja durch das Schwert hingerichtet worden sein, nachher aber durch Erdrosselung!? — 
Sanhedrin 71b:13	Hier handelt es sich um eine Verlobte, in welchem Falle er sowohl vorher als auch nachher durch Steinigung hinzurichten ist$fn115. — 
Sanhedrin 71b:14	Er lehrt es ja aber von der Frau eines Jisraéliten in eben demselben Falle, wie bei der Frau seines Genossen$fn116!? — 
Sanhedrin 71b:15	Vielmehr, die leichtere [Todesart] ist in der schwereren einbegriffen$fn117. — 
Sanhedrin 71b:16	Einleuchtend ist dies nach den Rabbanan, welche sagen, [der Tod durch] das Schwert sei schwerer, wie ist es aber nach R. Šimo͑n, welcher sagt, [der Tod durch] Erdrosselung sei schwerer, zu erklären!? — 
Sanhedrin 71b:17	R. Šimo͑n ist der Ansicht des Autors aus der Schule Menašes, welcher sagt, daß überall, wo hinsichtlich der Noaḥiden von der Todesstrafe gesprochen wird, es die Erdrosselung sei. — 
Sanhedrin 71b:18	Einleuchtend ist dies beim Ehebruche, vorher würde er durch Erdrosselung hingerichtet worden sein und nachher ebenfalls durch Erdrosselung, wieso aber beim Morde, vorher würde er ja durch Erdrosselung hingerichtet worden sein, nachher aber durch das Schwert!? — Die leichtere [Todesart] ist in der schwereren einbegriffen. — 
Sanhedrin 71b:19	Ihm wäre eine Stütze zu erbringen: Hat sie sich vergangen und darauf das mannbare Alter$fn118 erreicht, so ist sie durch Erdrosselung hinzurichten. Durch Steinigung wohl deshalb nicht, weil, da bei ihr eine Veränderung eingetreten ist, [auch die Todesart] sich geändert hat, und um so mehr hierbei, wo die Veränderung eine vollständige$fn119ist. — R. Joḥanan sprach ja zu einem Jünger: Lies: so ist sie durch Steinigung hinzurichten.
Sanhedrin 71b:20	<sup>v</sup> <b>D</b><small>R MISSRATENE UND WIDERSPENSTIGE</small> S<small>OHN WIRD NUR WEGEN SEINES</small> E<small>NDES GERICHTET</small>; <small>MAG ER LIEBER UNBELASTET STERBEN ALS</small> [<small>MIT</small> S<small>ÜNDEN</small>] <small>BELASTET</small>. D<small>ER</small> T<small>OD DER</small> F<small>REVLER IST EINE</small> W<small>OHLTAT FÜR SIE SELBER UND EINE</small> W<small>OHLTAT FÜR DIE</small> W<small>ELT</small>; <small>DER DER</small> F<small>ROMMEN IST EIN</small> U<small>NGLÜCK FÜR SIE SELBER UND EIN</small> U<small>NGLÜCK FÜR DIE</small> W<small>ELT</small>. 
Sanhedrin 71b:21	W<small>EIN UND</small> S<small>CHLAF FÜR DIE</small> F<small>REVLER IST EINE</small> W<small>OHLTAT FÜR SIE SELBER UND EINE</small> W<small>OHLTAT FÜR DIE</small> W<small>ELT; FÜR DIE</small> F<small>ROMMEN SIND SIE EIN</small> U<small>NGLÜCK FÜR SIE SELBER UND EIN</small> U<small>NGLÜCK FÜR DIE</small> W<small>ELT</small>. 
Sanhedrin 71b:22	D<small>IE</small> Z<small>ERSTREUUNG DER</small> F<small>REVLER IST EINE</small> W<small>OHLTAT FÜR SIE SELBER UND EINE</small> W<small>OHLTAT FÜR DIE</small> W<small>ELT</small>; <small>DIE DER</small> F<small>ROMMEN IST EIN</small> U<small>NGLÜCK FÜR SIE SELBER UND EIN</small> U<small>NGLÜCK FÜR DIE</small> W<small>ELT</small>. D<small>IE</small> E<small>INIGKEIT DER</small> F<small>REVLER IST EIN</small> U<small>NGLÜCK FÜR SIE SELBER UND EIN</small> U<small>NGLÜCK FÜR DIE</small> W<small>ELT; DIE DER</small> F<small>ROMMEN IST EINE</small> W<small>OHLTAT FÜR SIE SELBER UND EINE</small> W<small>OHLTAT FÜR DIE</small> W<small>ELT</small>. D<small>IE</small> B<small>EHAGLICHKEIT DER</small> F<small>REVLER IST EIN</small> U<small>NGLÜCK FÜR SIE SELBER UND EIN</small> U<small>NGLÜCK FÜR DIE</small> W<small>ELT</small>; <small>DIE DER</small> F<small>ROMMEN IST EINE</small> W<small>OHLTAT FÜR SIE SELBER UND EINE</small> W<small>OHLTAT FÜR DIE</small> W<small>ELT</small>.
Sanhedrin 72a:1	GEMARA. Es wird gelehrt: R. Jose der Galiläer sagte: Sollte etwa die Tora bestimmt haben, daß dieser, weil er ein Tritemor Fleisch gegessen und ein halbes Log italischen Wein getrunken hat, durch das Gericht zur Steinigung hinausgeführt werde? Vielmehr hat die Tora das Ende des mißratenen und widerspenstigen Sohns berücksichtigt; sein Ende ist, daß er das Vermögen seines Vaters durchbringt, und da er seine Lebensweise fortsetzen will und dies nicht kann, begibt er sich auf die Scheidewege und plündert die Menschen aus. 
Sanhedrin 72a:2	Die Tora sagt daher, daß er lieber unbelastet sterbe, als [mit Sünden] belastet. Der Tod der Frevler ist eine Wohltat für sie selber und eine Wohltat für die Welt; der der Frommen ist ein Unglück für sie selber und ein Unglück für die Welt. Schlaf und Wein für die Frevler ist eine Wohltat für sie selber und eine Wohltat für die Welt; für die Frommen sind sie ein Unglück für sie selber und ein Unglück für die Welt. Die Behaglichkeit der Frevler ist ein Unglück für sie selber und ein Unglück für die Welt; die der Frommen ist eine Wohltat für sie selber und eine Wohltat für die Welt. Die Zerstreuung der Frevler ist eine Wohltat für sie selber und eine Wohltat für die Welt; die der Frommen ist ein Unglück für sie selber und ein Unglück für die Welt.
Sanhedrin 72a:3	<sup>vi</sup> <b>D</b><small>ER</small> E<small>INBRECHER</small>$fn120<small>WIRD WEGEN SEINES</small> E<small>NDES GERICHTET</small>. W<small>ER BEI EINEM</small> E<small>INBRUCHE EIN</small> F<small>ASS ZERBRICHT, IST, WENN MAN SEINETWEGEN</small> B<small>LUTSCHULD</small>$fn121 <small>AUF SICH LÄDT, ERSATZPFLICHTIG, WENN ABER NICHT, SO IST ER FREI</small>.
Sanhedrin 72a:4	GEMARA. Raba sagte: Was ist der Grund [der Lehre vom] Einbrüche? Es ist feststehend, daß niemand sich bei [der Rettung] seines Geldes zurückhält, somit denkt [der Einbrecher wie folgt:] gehe ich, so stellt er sich mir entgegen und läßt mich nicht [stehlen], und wenn er sich mir entgegenstellt, töte ich ihn; die Tora aber sagt: will jemand dich töten, so komme ihm zuvor und töte ihn.
Sanhedrin 72a:5	Rabh sagte: Wer einen Einbruch verübt, Geräte mitnimmt und entkommt, ist ersatzfrei, weil er sie durch die Einsetzung seines Lebens geeignet hat. Raba sagte: Einleuchtend sind die Worte Rabhs in dem Falle, wenn er sie zerschlagen hat und sie nicht mehr vorhanden sind, nicht aber, wenn er sie mitgenommen hat; 
Sanhedrin 72a:6	aber, bei Gott, Rabh sagte es auch von dem Falle, wenn er sie mitgenommen hat. Wenn man seinetwegen Blutschuld auf sich lädt, ist er ja ersatzpflichtig, auch wenn [die Sache nachher] unverschuldet$fn122abhanden kommt, wonach sie in seinen Besitz übergeht, ebenso sind sie auch in diesem Falle in seinen Besitz übergegangen. — 
Sanhedrin 72a:7	Dies ist aber nichts; der Allbarmherzige ließ sie nur hinsichtlich des unverschuldeten Abhandenkommens in seinen Besitz übergehen, hinsichtlich der Aneignung aber befinden sie sich im Besitze des Eigentümers. Ebenso verhält es sich nämlich auch beim Entleiher. — 
Sanhedrin 72a:8	Wir haben gelernt: Wer bei einem Einbrüche ein Faß zerbricht, ist, wenn man seinetwegen Blutschuld auf sich lädt, ersatzpflichtig, wenn aber nicht, so ist er frei. Nur wenn er es zerbrochen hat, ist er, wenn man seinetwegen keine Blutschuld auf sich lädt, frei, nicht aber wenn er es mitgenommen hat!? — 
Sanhedrin 72a:9	Nein, dasselbe gilt auch von dem Falle, wenn er es mitgenommen hat, und nur deshalb lehrt er es von dem Falle, wenn er es zerbrochen hat, um uns zu lehren, daß, wenn man seinetwegen Blutschuld auf sich lädt, er ersatzpflichtig sei, auch wenn er es zerbrochen hat. — 
Sanhedrin 72a:10	Selbstverständlich, er hat ja einen Schaden angerichtet!? — Folgendes lehrt er uns: selbst ohne Absicht. — Er lehrt uns somit, daß ein Mensch stets als gewarnt$fn123gelte, und dies wurde ja bereits gelehrt: ein Mensch gilt stets als gewarnt, einerlei ob versehentlich oder vorsätzlich, ob unverschuldet oder willig!? — Dies ist ein Einwand. 
Sanhedrin 72a:11	R. Bebaj b. Abajje wandte ein: Wer einen Geldbeutel am Šabbath gestohlen hat, ist [ersatz]pflichtig, denn bevor er noch das Šabbathgesetz übertreten hatte, war er bereits wegen des Diebstahls$fn124schuldig; 
Sanhedrin 72a:12	hat er ihn allmählich herangezogen, so ist er [ersatz]frei, weil der Diebstahl und das mit der Steinigung belegte Verbot gleichzeitig$fn125ausgeübt worden sind!? — 
Sanhedrin 72a:13	Diese Lehre bezieht sich auf den Fall, wenn er ihn in einen Fluß geworfen hat. 
Sanhedrin 72a:14	Einst wurden Raba bei einem Einbrüche Widder gestohlen, und als [später die Diebe] sie ihm zurückgeben wollten, nahm er sie nicht, indem er sagte: Weil dies$fn126aus dem Munde Rabhs hervorgegangen ist.
Sanhedrin 72a:15	Die Rabbanan lehrten:$fn127<i>So erwächst seinetwegen keine Blutschuld; wenn aber die Sonne auf ihn schien</i>. Schien denn die Sonne nur auf ihn allein? Vielmehr, ist es dir sonnenklar, daß er dir nicht friedfertig gesinnt ist, so töte ihn, wenn aber nicht, so töte ihn nicht. 
Sanhedrin 72a:16	Ein Anderes lehrt: <i>Wenn aber die Sonne auf ihn schien, so erwächst seinetwegen Blutschuld</i>. Schien denn die Sonne nur auf ihn allein? Vielmehr, ist es dir sonnenklar, daß er dir friedfertig gesinnt ist, so töte ihn nicht, wenn aber nicht, so töte ihn. — Die anonymen Lehren widersprechen ja einander!? — 
Sanhedrin 72a:17	Das ist kein Widerspruch; 
Sanhedrin 72b:1	eine handelt von einem Vater$fn128 gegenüber seinem Sohne, und eine handelt von einem Sohne gegenüber seinem Vater$fn129.
Sanhedrin 72b:2	Rabh sagte: Wer bei mir einbricht, den töte ich, nur nicht R. Ḥanina b. Šila. — Aus welchem Grunde: wollte man sagen, weil er fromm ist, so bricht er ja ein!? — Vielmehr, weil ich überzeugt bin, daß er mich liebt wie ein Vater seinen Sohn liebt.
Sanhedrin 72b:3	Die Rabbanan lehrten: <i>So erwächst seinetwegen Blutschuld</i>, einerlei$fn130 ob am Wochentage oder am Šabbath; <i>so erwächst seinetwegen keine Blutschuld</i>, einerlei$fn130ob am Wochentage oder am Šabbath. – 
Sanhedrin 72b:4	Allerdings ist [der Fall:] so erwächst seinetwegen keine Blutschuld, einerlei ob am Wochentage oder am Šabbath nötig, denn man könnte glauben, bei diesem verhalte es sich ebenso wie bei den durch das Gericht Hinzurichtenden, die am Šabbath nicht hingerichtet werden, so lehrt er uns, daß man ihn wohl töte; wozu ist aber [der Fall:] so erwächst seinetwegen Blutschuld, nötig, wenn man ihn am Wochentage nicht töten darf, um wieviel weniger am Šabbath!? 
Sanhedrin 72b:5	R. Šešeth erwiderte: Dies lehrt, daß man seinetwegen einen Trümmerhaufen abtrage$fn131.
