Niddah 2a:1	<sup>i</sup> <b>Š</b>AMMAJ <small>SAGT, ALLE</small> F<small>RAUEN HABEN</small>$fn1 <small>AN IHRER</small> Z<small>EIT GENUG</small>$fn2; H<small>ILLEL SAGT, SEIT DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG</small>$fn3, <small>AUCH WENN VIELE</small> T<small>AGE</small> [<small>DAZWISCHEN LIEGEN</small>],
Niddah 33b:3	und wenn nur einen Tag, so sagt ja der Allbarmherzige:$fn59<i>und nachher ist sie rein</i>, das ‘nachher’ bezieht sich auf alle, sie$fn60dürfen nicht durch eine Unreinheit getrennt sein. — 
Niddah 33b:4	Wie erfolgt das Umstoßen, auch nach deiner Auffassung, beim Flußbehafteten selbst, der Allbarmherzige sagt ja:$fn61<i>zu seiner Reinigung</i>, sie$fn62dürfen nicht durch eine Unreinheit unterbrochen sein!? 
Niddah 33b:5	Du mußt also sagen, sie dürfen nicht durch eine Flußunreinheit unterbrochen sein, ebenso dürfen sie auch hierbei nicht durch eine Flußunreinheit unterbrochen sein.
Niddah 33b:6	M<small>AN IST ABER IHRETWEGEN NICHT SCHULDIG WEGEN</small> B<small>ETRETENS DES</small> H<small>EILIGTUMS &amp;C</small>. Als R. Papa einst in Tavakh eintraf, fragte er: Ist hier ein Gelehrter anwesend, ich will gehen und ihm meine Aufwartung machen. Da sprach eine Greisin zu ihm: Hier ist ein Gelehrter anwesend, sein Name ist R. Šemuél, und er trägt Lehren vor; möge es [Gottes] Wille sein, daß du ihm gleichest. 
Niddah 33b:7	Da sagte er: Wenn sie mich mit ihm segnet, so ist er wohl ein gottesfürchtiger Mann. Hierauf ging er zu ihm hin, und dieser ließ für ihn ein Rind werfen$fn63. Alsdann wies er ihn auf einen Widerspruch zwischen zwei Lehren hin. Wir haben gelernt, man sei ihretwegen nicht schuldig wegen Betretens des Heiligtums und man verbrenne ihretwegen keine Hebe, weil ihre Unreinheit zweifelhaft ist, wonach man wegen eines Zweifels keine Hebe verbrenne, 
Niddah 33b:8	und dem widersprechend [haben wir gelernt], daß man wegen sechs Zweifel Hebe verbrenne, wegen eines Zweifels über Kleider eines Menschen aus dem gemeinen Volke$fn64!? 
Niddah 33b:9	Da sprach R. Papa: Möge es [Gottes] Wille sein, daß dieses Rind als Friedens[mahl]$fn65verzehrt werde. Hier handelt es sich um einen Samaritaner, der Genosse ist. — 
Niddah 33b:10	Hältst du denn einen Samaritaner, der Genosse ist, für einen, der Menstruierenden beiwohnt!? 
Niddah 33b:11	Als er ihn verlassen hatte und zu R, Šimi b. Aši kam, sprach dieser zu ihm: Weshalb erwidertest du ihm nicht, dies gelte von dem Falle, wenn ein Samaritaner ein Tauchbad genommen hat, heraufgestiegen ist, und auf die Kleider eines Genossen getreten ist, und die Kleider des Genossen Hebe berührt haben. 
Niddah 33b:12	Wenn etwa$fn66wegen der Unreinheit des Menschen aus dem gemeinen Volke, so hat er ja ein Tauchbad genommen, wenn etwa wegen Beiwohnung einer Menstruierenden, so ist es zweifelhaft, ob die Beiwohnung kurz vorher oder nicht kurz vorher erfolgt ist$fn67, 
Niddah 33b:13	und wenn du auch sagst, die Beiwohnung sei kurz vorher erfolgt, so ist es noch zweifelhaft, ob gelbes [Blut] sie$fn68ergänzt hat oder nicht ergänzt hat, somit besteht hier ein doppelter Zweifel, und wegen eines doppelten Zweifels verbrennen wir keine Hebe. — 
Niddah 33b:14	Sollte doch schon der Umstand genügen, daß es Kleider eines Menschen aus dem gemeinen Volke sind, und der Meister sagte, Kleider eines Menschen aus dem gemeinen Volke gelten für Gelehrte$fn69als [verunreinigend durch] Auftreten!? Dieser erwiderte: Dies gilt von einem nackten Samaritaner.
Niddah 33b:15	<sup>ii</sup> <b>D</b><small>IE</small> S<small>ADÜZÄERINNEN GLEICHEN, WENN SIE DEN</small> W<small>EG IHRER</small> V<small>ÄTER GEHEN, DEN</small> S<small>AMARITANERINNEN; ZIEHEN SIE SICH ZURÜCK UND GEHEN DEN</small> W<small>EG</small> J<small>ISRAÉLS, SO GLEICHEN SIE DEN</small> J<small>ISRAÉLITINNEN</small>. R. J<small>OSE SAGT, SIE GLEICHEN IMMER DEN</small> J<small>ISRAÉLITINNEN, BIS SIE SICH ZURÜCKZIEHEN UND DEN</small> W<small>EG IHRER</small> V<small>ÄTER GEHEN</small>.
Niddah 33b:16	GEMARA. Sie fragten: Wie ist$fn70es, wenn unbestimmt? — Komm und höre: Die Sadüzäerinnen gleichen, wenn sie den Weg ihrer Väter gehen, den Samaritanerinnen. Demnach gleichen sie, wenn unbestimmt, den Jisraélitinnen. — Wie ist demnach der Schlußsatz zu erklären: Ziehen sie sich zurück und gehen den Weg Jisraéls, so gleichen sie den Jisraélitinnen. Demnach gleichen sie, wenn unbestimmt, den Samaritanerinnen. Vielmehr ist hieraus nichts zu entnehmen. — 
Niddah 33b:17	Komm und höre: R. Jose sagt, sie gleichen immer den Jisraélitinnen, bis sie sich zurückziehen und den Weg ihrer Väter gehen. Demnach ist der erste Autor der Ansicht, sie gleichen den Samaritanerinnen. Schließe hieraus.
Niddah 33b:18	Die Rabbanan lehrten: Einst unterhielt sich ein Saduzäer mit dem Hochpriester auf der Straße, und ein Spritzer kam aus seinem Munde und fiel dem Hochpriester auf die Kleider. Da verfärbte sich das Gesicht des Hochpriesters und er eilte vor jenem zu dessen$fn71Frau. 
Niddah 33b:19	Da sprach diese zu ihm: Sind sie auch Frauen der Saduzäer, so fürchten sie dennoch die Pharisäer und zeigen ihr Blut den Weisen. 
Niddah 33b:20	R. Jose sagte: Wir kennen sie$fn72besser als jeder andere; sie zeigen ihr Blut den Weisen. Ausnahmsweise war in unserer Nachbarschaft eine Frau, die nicht das Blut den Weisen zeigte, und sie starb. — 
Niddah 33b:21	Es sollte doch schon der Umstand ausreichen, daß es ein Spritzer eines Menschen aus dem gemeinen Volke$fn73 war!? Abajje erwiderte: Es war ein Saduzäer, der Genosse war. Raba entgegnete: Hältst du denn einen Saduzäer, der Genosse ist, für einen der Menstruierenden beiwohnt!? Vielmehr, erwiderte Raba, 
Niddah 34a:1	geschah es an einem Feste, und die Unreinheil eines Menschen aus dem gemeinen Volke am Feste haben die Rabbanan der Reinheit gleichgestellt, denn es heißt:$fn74<i>da versammelten sich alle Männer Jisraéls nach der Stadt, wie ein Mann verbündet</i>; die Schrift machte sie alle zu Genossen$fn75.
Niddah 34a:2	<sup>iii</sup> <b>D</b><small>AS</small> B<small>LUT VON</small> N<small>ICHTJÜDINNEN UND DAS</small> R<small>EINHEITSBLUT</small>$fn76<small>EINER</small> A<small>USSÄTZIGEN IST NACH DER</small> S<small>CHULE</small> Š<small>AMMAJS REIN; DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, ES GLEICHE IHREM</small> S<small>PEICHEL UND IHREM</small> U<small>RIN</small>$fn77. 
Niddah 34a:3	D<small>AS</small> B<small>LUT EINER</small> W<small>ÖCHNERIN</small>$fn78, <small>DIE KEIN</small> T<small>AUCHBAD GENOMMEN HAT, GLEICHT, WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, IHREM</small> S<small>PEICHEL UND IHREM</small> U<small>RIN; DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, ES MACHE FEUCHT UND TROCKEN UNREIN</small>. 
Niddah 34a:4	J<small>EDOCH PFLICHTET JENE BEI, DASS ES, WENN SIE FLUSSBEHAFTET GEBOREN HAT, FEUCHT UND TROCKEN UNREIN MACHE</small>.
Niddah 34a:5	GEMARA. Hält denn die Schule Šammajs nichts von [der Lehre]: $fn79<i>Rede zu den Kindern Jisraél und sprich zu ihnen: Jedermann, wenn er flußhehaftet ist</i>, nur die Kinder Jisraél sind durch den Fluß verunreinigend, nicht aber sind Nichtjuden durch den Fluß verunreinigend; jedoch haben sie angeordnet, daß sie in jeder Hinsicht Flußbehafteten gleichen sollen!? — 
Niddah 34a:6	Die Schule Šammajs kann dir erwidern: dies wurde von Männern gelehrt, denn wie sollte es hierbei erfolgen, wenn man sagen wollte, auch von Weibern: macht es feucht und trocken unrein, so hast du es ja der [Unreinheit] der Tora gleichgestellt$fn80, und macht es nur feucht und nicht trocken unrein, so hast du die [Unreinheit] der Tora$fn81 geteilt. — 
Niddah 34a:7	Demnach ist dies ja auch hinsichtlich ihres Speichels$fn82und ihres Urins einzuwenden!? — Da es bei ihrem Blute eine Kenntlichkeit gibt$fn83, so weiß man, daß ihr Speichel und ihr Urin nur rabbanitisch [unrein] ist. — 
Niddah 34a:8	Sollte man auch bei ihrem Speichel und ihrem Blute eine Kenntlichkeit machen und ihr Blut als unrein erklären!? — Beim Speichel und beim Urin, die häufig sind, haben die Rabbanan es angeordnet, beim Blute aber, das nicht häufig ist, haben die Rabbanan es nicht angeordnet.
Niddah 34a:9	Raba sagte: Sein$fn84Fluß ist unrein, auch nach der Schule Šammajs, und sein Samenerguß ist rein, auch nach der Schule Hillels. 
Niddah 34a:10	Sein Fluß ist unrein, auch nach der Schule Šammajs, denn es gibt eine Kenntlichkeit$fn85 bei seinem Samenergusse; 
Niddah 34a:11	sein Samenerguß ist rein, auch nach der Schule Hillels, denn die Rabbanan haben dadurch eine Kenntlichkeit gemacht, damit man nicht seinethalben Hebe und Heiliges verbrenne. — 
Niddah 34a:12	Sollten sie doch die Kenntlichkeit gemacht haben bei seinem Flusse, und seinen Samenerguß als unrein erklären!? — Bei seinem Flusse, der ohne Einwirkung erfolgt, haben die Rabbanan es angeordnet, bei seinem Samenergusse aber, der durch eine Einwirkung$fn86erfolgt, haben die Rabbanan es nicht angeordnet. 
Niddah 34a:13	Ihm wäre eine Stütze zu erbringen: Hat eine Nichtjüdin Samenerguß von einem Jisraéliten ausgestoßen, so ist er unrein; hat eine Jisraélitin Samenerguß von einem Nichtjuden ausgestoßen, so ist er rein. Doch wohl vollständig rein. — Nein, rein nach der Tora, rabbanitisch aber unrein. — 
Niddah 34a:14	Komm und höre: Es ergibt sich also, daß der Samenerguß eines Jisraéliten überall unrein ist, 
Niddah 34b:1	auch im Leibe einer Nichtjüdin, und der eines Nichtjuden überall rein ist, auch im Leibe einer Jisraélitin, außer dem darin enthaltenen Urin$fn87. 
Niddah 34b:2	Wolltest du sagen, auch hierbei rein nach der Tora, rabbanitisch aber unrein: ist etwa ihr Urin unrein nach der Tora!? Hieraus ist vielmehr zu schließen, auch rabbanitisch rein. Schließe hieraus.
Niddah 34b:3	Der Meister sagte: Daß der Samenerguß eines Jisraéliten überall unrein ist, auch im Leibe einer Nichtjüdin. Hieraus ist ja eine Frage R. Papas zu entscheiden, denn R. Papa fragte, wie es sich mit dem Samenergusse eines Jisraéliten im Leibe einer Nichtjüdin verhalte!? — 
Niddah 34b:4	Innerhalb [der ersten] drei Tage$fn88war es R. Papa nicht fraglich, fraglich war es ihm nur nach drei$fn89Tagen. 
Niddah 34b:5	Wie ist es nun: wärmt und macht [den Samen] verwesen nur der Körper von Jisraéliten, die durch fromme Übung ekstatisch$fn90sind, nicht aber wärmt, und macht ihn verwesen der Körper von Nichtjuden, die nicht durch fromme Übung ekstatisch sind, oder wärmt auch ihr Körper, weil sie Ekel- und Kriechtiere essen, und macht ihn verwesen? — Dies bleibt unentschieden.
Niddah 34b:6	D<small>AS REINE</small> B<small>LUT EINER</small> A<small>USSÄTZIGEN IST NACH DER</small> S<small>CHULE</small> Š<small>AMMAJS &amp;C</small>. Was ist der Grund der Schule Hillels? R. Jiçḥaq erwiderte:$fn91<i>Für den Mann</i>, dies schließt den Aussätzigen ein hinsichtlich seiner Quellen$fn92, <i>und für das Weib</i>, dies schließt die Aussätzige ein hinsichtlich ihrer Quellen. 
Niddah 34b:7	Was heißt Quellen, wollte man sagen, die anderen$fn93Quellen, so ist dies ja vom Manne$fn94zu folgern. Doch wohl ihr Blut, daß nämlich ihr Reinheitsblut unrein ist. — 
Niddah 34b:8	Und die Schule Šammajs!? — Vom Manne ist nicht auf das Weib zu folgern, denn es ist zu erwidern: wohl gilt dies vom Manne, bei dem$fn95Entblößen des Hauptes und Einreißen der Kleider erforderlich ist, und dem der Geschlechtsverkehr verboten ist, was aber bei einem Weibe nicht der Fall ist. — 
Niddah 34b:9	Und die Schule Hillels!? — Der Allbarmherzige sollte es doch nur beim Weibe und nicht beim Manne geschrieben haben, und ich würde gefolgert haben: wenn der Allbarmherzige beim Weibe, bei dem das Entblößen des Hauptes und das Einreißen der Kleider nicht erforderlich ist, und dtem der Geschlechtsverkehr nicht verboten ist, die Quellen einbegriffen hat, um wieviel mehr beim Manne. 
Niddah 34b:10	Da dies nun wegen des Mannes nicht nötig ist, so beziehe man es auf das Weib, und da dies wegen ihrer Quellen nicht nötig ist, so beziehe man es auf ihr Blut, daß nämlich ihr Reinheitsblut unrein ist. — 
Niddah 34b:11	Und die Schule Šammajs!? — Vom Weibe ist nicht auf den Mann zu folgern, denn es ist zu erwidern: wohl gilt dies vom Weibe, das auch bei einem Mißgeschick unrein ist, was aber beim Manne nicht der Fall$fn87ist. — 
Niddah 34b:12	Und die Schule Hillels!? — Wieso sollten wir, wenn wir uns mit dem Aussätzigen befassen, einen Einwand von einen Flußbehafteten betreffenden Dingen erheben. — Und die Schule Šammajs!? — Der Einwand betrifft die Unreinheit allgemein. 
Niddah 34b:13	Wenn du aber willst, sage ich: die Schule Šammajs kann dir erwidern: [das Wort] <i>für den Mann</i> deutet darauf, daß dies von jedem gilt, der Mann ist, ob erwachsen oder minderjährig. — Und die Schule Hillels!? — Sie folgert dies aus [den Worten]:$fn96<i>dies ist das Gesetz über den Flußbehafteten</i>, ob erwachsen oder minderjährig.
Niddah 34b:14	R. Joseph sagte: Wenn R. Šimo͑n b. Laqiš über den Flußbehafteten vortrug, fragte er folgendes: Verunreinigt die erste Wahrnehmung eines minderjährigen Flußbehafteten durch Berühren? Der Allbarmherzige sagt: 
Niddah 34b:15	<i>dies ist das Gesetz über den Flußbehafteten, und über den, dem Samen abgeht</i>; dessen Samenerguß verunreinigt, bei dem verunreinigt auch die erste Wahrnehmung, bei diesem aber, dessen Samenerguß nicht verunreinigt, verunreinigt auch nicht die erste Wahrnehmung, oder aber verunreinigt sie wohl, da, wenn er noch zweimal wahrnimmt, sie$fn97vereinigt werden!? 
Niddah 34b:16	Raba erwiderte: Komm und höre: <i>Dies ist das Gesetz über den Flußbehafteten</i>, ob erwachsen oder minderjährig. Wie beim Erwachsenen die erste Wahrnehmung verunreinigt, ebenso verunreinigt die erste Wahrnehmung des Minderjährigen.
Niddah 34b:17	R. Joseph fragte: Verunreinigt die erste Wahrnehmung$fn98eines Aussätzigen durch Tragen? Gilt die Flußstelle als Quelle$fn99und verunreinigt, oder gilt sie nicht als Quelle. 
Niddah 34b:18	Raba erwiderte: Komm und höre:$fn100<i>Sein Fluß ist unrein</i>, dies lehrt, daß der Fluß unrein$fn101ist. Wessen, wollte man sagen, eines nur Flußbehafteten, 
Niddah 35a:1	so gilt dies ja, wenn er für andere$fn102Unreinheit bewirkt, um so mehr von diesem selber. Doch wohl eines aussätzigen$fn103Flußbehafteten, 
Niddah 35a:2	und da die Schrift es nötig hat, ihn bei der zweiten Wahrnehmung einzubegreifen, so ist hieraus zu entnehmen, daß die Flußstelle nicht als Quelle$fn104gilt. 
Niddah 35a:3	R. Jehuda aus Dasqarta sprach zu Raba: Wieso dies, tatsächlich, kann ich dir erwidern, gilt dies von einem nur Aussätzigen, wenn du aber einwendest: wenn er für andere Unreinheit bewirkt, so gilt dies umsomehr von diesem selber, so ist vom fortzuschickenden Bocke$fn105[das Entgegengesetzte] zu beweisen: er macht andere$fn106 unrein, ist aber selber rein. 
Niddah 35a:4	Abajje erwiderte: Was ist ihm$fn107da fraglich, er selber sagte ja: <i>dies ist das Gesetz über den Flußbehafteten</i>, ob erwachsen oder minderjährig, und da er dies hieraus entnimmt, so bleibt ja [das Wort] <i>Mann</i>$fn108zurück, um den Aussätzigen hinsichtlich seiner Quelle einzuschließen, und [das Wort] <i>Weib</i>, um die Aussätzige hinsichtlich ihrer Quelle einzuschließen, 
Niddah 35a:5	und der Allbarmherzige vergleicht den Aussätzigen mit dem definitiv Flußbehafteten; wie der definitiv Flußbehaftete durch Tragen verunreinigt, ebenso verunreinigt die erste Wahrnehmung des Aussätzigen durch Tragen.
Niddah 35a:6	R. Hona sagte: Die erste Wahrnehmung des Flußbehafteten$fn109verunreinigt auch bei einem Mißgeschick, denn es heißt: <i>dies ist das Gesetz über den Flußbehafteten und den, dem Samen abgeht</i>; wie der Samenerguß bei einem Mißgeschick verunreinigt, ebenso verunreinigt die erste Wahrnehmung des Flußbehafteten bei einem Mißgeschick. — 
Niddah 35a:7	Komm und höre: Hat er die erste Wahrnehmung gemacht, so untersuche$fn110man ihn. Doch wohl hinsichtlich der Unreinheit$fn111!? — Nein, hinsichtlich des Opfers$fn112. — 
Niddah 35a:8	Komm und höre: Bei der zweiten untersuche man ihn. Wozu, wollte man sagen, hinsichtlich des Opfers und nicht hinsichtlich der Unreinheit, so beziehe man doch hierauf: <i>aus seinem Leibe</i>, nicht aber durch ein Mißgeschick. Doch wohl hinsichtlich der Unreinheit, und wie im Schlußsatze hirtsichtlich der Unreinheit, so auch im Anfangsatze hinsichtlich der Unreinheit!? — 
Niddah 35a:9	Wieso denn, einer so und der andere so. — 
Niddah 35a:10	Komm und höre: R. Elie͑zer sagt, man untersuche ihn auch bei der dritten, wegen des Opfers. Demnach nach dem ersten Autor wegen der Unreinheit!? — 
Niddah 35a:11	Nein, nach allen wegen des Opfers, und hier streiten sie über [die Partikel] <i>den</i>$fn113; die Rabbanan deuten nicht [die Partikel] <i>den</i>, und R. Elie͑zer deutet [die Partikel] <i>den</i>. 
Niddah 35a:12	Die Rabbanan deuten nicht [die Partikel] <i>den: der Flußbehaftete</i>, einmal, <i>seinen Fluß</i>, zweimal; dies beim Manne, und beim dritten Male vergleicht ihn der Allbarmherzige mit dem Weibe. 
Niddah 35a:13	R. Elie͑zer aber deutet [die Partikel] <i>den: der Flußbehaftete</i>, einmal, <i>den</i>, zweimal, <i>Fluß</i>, dreimal, und beim vierten Male vergleicht ihn der Allbarmherzige mit dem Weibe. — 
Niddah 35a:14	Komm und höre: R. Jiçḥaq sagte: Der Flußbehaftete war ja im [Gesetze über den] Ergußbehafteten einbegriffen, weshalb wurde er ausgeschieden? Um bei ihm zu erleichtern und bei ihm zu erschweren; bei ihm zu erleichtern, daß er bei einem Mißgeschick nicht verunreinigt; 
Niddah 35b:1	bei ihm zu erschweren, daß er Lager und Sitz [unrein] macht. 
Niddah 35b:2	Wann, wollte man sagen, bei der zweiten Wahrnehmung, so war er ja nicht im [Gesetze über den] Ergußbehafteten einbegriffen, doch wohl bei der ersten Wahrnehmung, und er lehrt, bei ihm zu erleichtern, daß er bei einem Mißgeschick nicht verunreinige. — 
Niddah 35b:3	Du glaubst wohl für ihn zu erschweren, indem er Lager und Sitz [unrein] macht bei der ersten Wahrnehmung; macht er denn dann Lager und Sitz [unrein]!? 
Niddah 35b:4	Vielmehr meint er es wie folgt. R. Jiçḥaq sagte: Der Flußbehaftete war ja im [Gesetze über den] Ergußbehafteten einbegriffen, bei der ersten Wahrnehmung, weshalb wurde er ausgeschieden, bei der zweiten Wahrnehmung? Um bei ihm zu erleichtern und bei ihm zu erschweren; bei ihm zu erleichtern, daß er bei einem Mißgeschick nicht verunreinigt, bei ihm zu erschweren, daß er Lager und Sitz [unrein] macht.
Niddah 35b:5	R. Hona sagte: Der Fluß gleicht dem Safte von Gerstenteig. Der Fluß kommt von totem Fleische, der Samenerguß kommt von lebendem Fleische. Der Fluß ist dünnflüssig und gleicht dem Weißen eines zerrührten Eies, der Samenerguß ist dickflüssig und gleicht dem Weißen eines unzerrührten Eies.
Niddah 35b:6	D<small>AS</small> B<small>LUT EINER</small> W<small>ÖCHNERIN, DIE KEIN</small> T<small>AUCHBAD GENOMMEN HAT &amp;C</small>. 
Niddah 35b:7	Es wird gelehrt: Die Schule Hillels sprach zur Schule Šammajs: Pflichtet ihr etwa nicht bei, daß eine Menstruierende, die kein Tauchbad genommen und Blut wahrgenommen hat, unrein ist? Die Schule Šammajs entgegnete: Nein, wenn ihr dies von der Menstruierenden sagt, die, auch wenn sie ein Tauchbad genommen und wahrgenommen hat, unrein ist, wollt ihr dies auch von der Wöchnerin sagen, die, wenn sie ein Tauchbad genommen und wahrgenommen hat, rein ist!? 
Niddah 35b:8	Jene erwiderte: Die im Flusse geboren hat, beweist [das Entgegengesetzte]: hat sie ein Tauchbad genommen und nach den Zähltagen$fn114wahrgenommen, so ist sie rein, hat sie aber kein Tauchbad genommen und wahrgenommen, so ist sie unrein. 
Niddah 35b:9	Diese entgegnete: Dies die Schlußfolgerung und dies Entgegnung$fn115. — 
Niddah 35b:10	Demnach streiten sie, und dem widersprechend haben wir gelernt, [die Schule Šammajs] pflichte bei, daß es, wenn sie im Flusse geboren hat, feucht und trocken unrein mache!? — 
Niddah 35b:11	Das ist kein Einwand; eines, wenn sie gezählt$fn114hat, und eines, wenn sie nicht gezählt hat. — 
Niddah 35b:12	Es wird auch gelehrt: Wenn eine, die im Fluß geboren hat, gezählt und kein Tauchbad genommen hat, wahrnimmt, so richtet sich die Schule Šammajs nach ihrer Ansicht und die Schule Hillels nach ihrer Ansicht$fn116.
Niddah 35b:13	Es wurde gelehrt: Rabh sagte, es sei dieselbe$fn117Quelle, die Tora hat es$fn118 als unrein erklärt und die Tora hat es$fn119als rein erklärt; 
Niddah 35b:14	Levi sagt, es seien zwei verschiedene Quellen; schließt sich die unreine, so öffnet sich die reine, schließt sich die reine, so öffnet sich die unreine. — 
Niddah 35b:15	Welchen Unterschied gibt es zwischen ihnen? — Einen Unterschied gibt es zwischen ihnen, wenn sie über die sieben Tage hinaus$fn120nach den sieben Tagen, über die vierzehn Tage hinaus nach den vierzehn Tagen, über die vierzig Tage hinaus nach den vierzig Tagen, und über die achtzig Tage hinaus nach den achtzig Tagen [Blut] aussondert.
Niddah 35b:16	Nach Rabh im ersten Falle$fn121 erleichternd und im zweiten Falle$fn122erschwerend, 
Niddah 35b:17	und nach Levi im ersten Falle erschwerend$fn123und im zweiten Falle erleichternd$fn124. 
Niddah 35b:18	Man wandte ein: Das Blut einer Wöchnerin, die kein Tauchbad genommen hat, gleicht, wie die Schule Šammajs sagt, ihrem Speichel und ihrem Urin; die Schule Hillels sagt, es mache feucht und trocken unrein. Er glaubte, wenn [die Blutung] aufgehört hat. 
Niddah 35b:19	Erklärlich ist es nach Rabh, welcher sagt, es sei dieselbe Quelle, daß es feucht und trocken verunreinige, wieso aber verunreinigt es feucht und trocken nach Levi, welcher sagt, es seien zwei verschiedene Quellen$fn125!? — 
Niddah 35b:20	Levi kann dir erwidern: Dies gilt von dem Falle, wenn sie [ununterbrochen Blut] aussondert. — Was ist, wenn sie aussondert, der Grund der Schule Šammajs!? — Die Schule Šammajs ist der Ansicht, es sei dieselbe Quelle. — 
Niddah 35b:21	Allerdings gibt es nach Levi einen Unterschied zwischen der Schule Šammajs und der Schule Hillels, welchen Unterschied aber gibt es zwischen ihnen nach Rabh? — 
Niddah 35b:22	Ein Unterschied besteht zwischen ihnen hinsichtlich der Tage und des Untertauchens. Die Schule Šammajs ist der Ansicht, der Allbarmherzige habe es von den Tagen abhängig$fn126gemacht, und die Schule Hillels ist der Ansicht, von den Tagen und vom Untertauchen. — 
Niddah 35b:23	Komm und höre: [Die Schule Šammajs] pflichtet bei, daß es, wenn sie im Flusse geboren hat, feucht und trocken unrein mache. Er glaubte, auch hierbei, wenn [die Blutung] aufgehört hat. 
Niddah 35b:24	Erklärlich ist es nach Rabh, welcher sagt, es sei dieselbe Quelle, daß es feucht und trocken verunreinige, wieso aber verunreinigt es feucht und trocken nach Levi, welcher sagt, es seien zwei verschiedene Quellen!? — 
Niddah 35b:25	Er kann dir erwidern: dies ebenfalls in dem Falle, wenn sie [ununterbrochen Blut] aussondert. — Wozu ist, wenn sie aussondert, dies [zu lehren] nötig!? — 
Niddah 35b:26	Dies ist nach der Schule Šammajs nötig. Obgleich die Schule Šammajs sagt, es sei dieselbe Quelle, und der Allbarmherzige habe es von den Tagen abhängig gemacht, so gilt dies nur von einer normalen Gebärenden, deren [Unreinheits]tage vorüber sind, nicht aber von einer im Flusse Gebärenden, die der Zählung$fn127benötigt. — 
Niddah 35b:27	Komm und höre:$fn128<i>Wie in ihrer Absonderung sei sie unrein</i>, dies schließt den ein, der ihr beiwohnt; 
Niddah 35b:28	<i>wie in ihrer Absonderung sei sie. unrein</i>, dies schließt die Nächte ein; <i>wie in ihrer Absonderung sei sie unrein</i>, dies schließt die im Flusse Gebärende ein, daß sie sieben Reinheitstage verweile. Erklärlich ist es nach Rabh, welcher sagt, es sei dieselbe Quelle, daß sie sieben Reinheitstage abwarten muß, wozu aber sind sieben Tage erforderlich 
Niddah 36a:1	nach Levi, welcher sagt, es seien zwei verschiedene Quellen, eine kurze [Unterbrechung] sollte ja ausreichend sein$fn129!? — 
Niddah 36a:2	Dies meint er auch: daß eine Unterbrechung erfolgt, die ihr für die sieben Reinheitstage angerechnet wird. — 
Niddah 36a:3	Komm und höre: Dire Schwangerschaftstage werden ihr zu ihren Säugetagen und ihre Säugetage werden ihr zu ihren Schwangerschaftstagen mitgerechnet. 
Niddah 36a:4	Zum Beispiel: hatte sie zwei [Tage] in ihren Schwangerschaftstagen und einen in ihren Säugetagen oder zwei in ihren Säugelagen und einen in ihren Schwangerschaftstagen oder anderthalb in ihren Schwangerschaftstagen und anderthalb in ihren Säugetagen unterbrochen, so werden sie ihr als drei Menstruationsfristen$fn130 angerechnet. 
Niddah 36a:5	Allerdings ist nach Rabh, welcher sagt, es sei dieselbe Quelle, eine Unterbrechung von drei Menstruationsperioden erforderlich, wozu aber ist nach Levi, welcher sagt, es seien zwei verschiedene Quellen, eine Unterbrechung von drei Menstruationsperioden erforderlich, eine kurze [Unterbrechung] ist ja ausreichend!? — 
Niddah 36a:6	Dies meint er auch: es ist eine Unterbrechung erforderlich, die ihr für die drei Menstruationsperioden angerechnet wird. — 
Niddah 36a:7	Komm und höre: Sie$fn131stimmen jedoch überein, daß sie, wenn sie nach ihrer Reinheitsblutung$fn132wahrgenommen hat, an ihrer Zeit genug$fn133habe. 
Niddah 36a:8	Erklärlich ist es nach Levi, welcher sagt, es seien zwei verschiedene Quellen, daß sie an ihrer Zeit genug hat, wieso aber hat sie nach Rabh, welcher sagt, es sei dieselbe Quelle, an ihrer Zeit genug, sie sollte doch [rückwirkend] einen Stundentag unrein sein!? — 
Niddah 36a:9	Wenn nicht soviel Zeit dazwischen$fn134war. — 
Niddah 36a:10	Sie sollte doch von der [vorletzten] Untersuchung bis zur [letzten] Untersuchung unrein sein!? — Da es kein Stundentag ist, haben die Rabbanan bei ihr auch nicht [die Dauer von der vorletzten] Untersuchung bis zur [letzten] Untersuchung angeordnet. — 
Niddah 36a:11	Komm und höre: Wenn eine, die im Flusse geboren hat, gezählt und kein Tauchbad genommen hat, wahrnimmt, so richtet sich die Schule Šammajs nach ihrer Ansicht$fn116und die Schule Hillels nach ihrer Ansicht. 
Niddah 36a:12	Erklärlich ist es nach Rabh, welcher sagt, es sei dieselbe Quelle, daß es feucht und trocken verunreinigt, wieso aber verunreinigt es feucht und trocken nach Levi, welcher sagt, es seien zwei verschiedene Quellen!? — 
Niddah 36a:13	Levi kann dir erwidern: ich bin der Ansicht des Autors, nach dem sie übereinstimmen$fn135. 
Niddah 36a:14	Wenn du aber willst, sage ich: Wenn sie [ununterbrochen] Blut aussondert. — Er lehrt ja: gezählt$fn136!? — 
