Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 45b:13	Woher, daß die Farren und die Widder andere sind, vielleicht sagt der Allbarmherzige folgendes: wenn man will, bringe man einen Farren und zwei Widder dar, und wenn man will, zwei Farren und einen$fn241Widder!? – Da auch die Reihenfolge$fn242eine andere ist, so sind es andere.
Menachot 45b:14	D<small>IE</small> L<small>ÄMMER SIND VOM</small> B<small>ROTE ABHÄNGIG</small>. Was ist der Grund R. A͑qibas? – 
Menachot 45b:15	Er folgert dies [durch eine Vergleichung] von <i>sein</i>$fn243mit <i>sollen</i>$fn244<i>es sein</i>; wie es$fn245sich da auf das Brot bezieht, 
Menachot 45b:16	ebenso auch hier auf das Brot. –
Menachot 45b:17	Und Ben Nannos? – Er folgert dies [durch eine Vergleichung] von <i>sein</i> mit$fn246<i>sein</i>, wie es sich da auf die Lämmer bezieht, ebenso auch hier auf die Lämmer. – 
Menachot 45b:18	Sollte auch Ben Nannos [durch die Vergleichung] mit <i>sollen es sein</i> folgern, wie es sich da auf das Brot bezieht, ebenso auch hier auf das Brot!? – Man folgere [durch Vergleichung] von <i>sein</i> mit <i>sein</i>, nicht aber von <i>sein</i> mit <i>sollen es sein</i>. – 
Menachot 45b:19	Welchen Unterschied gibt es denn hierbei, in der Schule R. Jišma͑éls lehrten sie ja:$fn247<i>Wenn der Priester wiederkommt</i>,$fn248<i>der Priester soll hineingehen</i>$fn249, ‘kommen’ und ‘gehen’ sind dasselbe!?– 
Menachot 45b:20	Dies nur, wenn kein gleiches [Wort] vorhanden ist, ist aber ein gleiches vorhanden, folgere man vom gleichen. – 
Menachot 45b:21	Sollte auch R. A͑qiba [durch Vergleichung] von <i>sein</i> mit <i>sein</i> folgern!? – Man folgere hinsichtlich einer Sache, die ein Geschenk an den Priester ist, von einer Sache, die ein Geschenk an den Priester$fn250ist, während jene$fn251Brandopfer sind. 
Menachot 45b:22	Wenn du aber willst, sage ich, sie streiten über den Schriftvers selbst. <i>Heilig sind sie dem Herrn für den Priester</i>; R. A͑qiba erklärt: das, was vollständig dem Priester$fn252gehört, ist das Brot. – 
Menachot 45b:23	Und Ben Nannos!? – Es heißt ja nicht: heilig sind sie dem Priester, sondern: heilig sind sie dem Herrn für den Priester, und die Lämmer sind es, die zum Teil dem Herrn und zum Teil dem Priester gehören. – 
Menachot 45b:24	Und R. A͑qiba!? – Es heißt ja nicht: heilig sind sie dem Herrn und dem Priester, sondern: dem Herrn für den Priester. Dies nach R. Hona, denn R. Hon a sagte: Gott hat es geeignet und dem Priester gegeben.
Menachot 45b:25	R. Joḥanan sagte: Alle stimmen überein, 
Menachot 46a:1	daß sie, wenn sie bereits verbunden sind, von einander abhängig$fn253sind. – Was ist ihre Verbindung? – Das Schlachten$fn254.
Menachot 46a:2	U͑la sagte: Im Westen fragten sie, ob durch das Schwingen$fn255eine Verbindung erfolge oder keine Verbindung erfolge. – 
Menachot 46a:3	Dies ist ja aus der Lehre R. Joḥanans zu entscheiden; R. Joḥanan sagte, das Schlachten sei ihre Verbindung, demnach erfolgt durch das Schwingen keine Verbindung. – 
Menachot 46a:4	Von R. Joḥanan selbst ist es fraglich: war es R. Joḥanan entschieden, daß nur durch das Schlachten eine Verbindung erfolge, nicht aber durch das Schwingen, oder aber war es ihm vom Schlachten entschieden und vom Schwingen zweifelhaft? – Dies bleibt unentschieden.
Menachot 46a:5	R. Jehuda b. Ḥanina sprach zu R. Hona, dem Sohne R. Jehošua͑s: Der Schriftvers: <i>heilig sind sie dem Herrn für den Priester</i>, befindet sich ja nach [der Vorschrift vom] Schwingen, und Ben Nannos und R. A͑qiba streiten$fn256hierüber. – 
Menachot 46a:6	Nach deiner Auffassung, etwa nur nach dem Schwingen und nicht auch nach dem Schlachten$fn257!? 
Menachot 46a:7	Du mußt also erklären, es sei schon vorher$fn258hierfür bestimmt, und [die Worte:] <i>heilig sind sie dem Herrn für den Priester</i>, sind zu verstehen, später gehören sie dem Priester, ebenso ist auch diesbezüglich$fn259zu erklären, später gehören sie dem Priester. – 
Menachot 46a:8	Erfolgt denn durch das Schlachten eine Verbindung, ich will auf einen Widerspruch hinweisen: Ist vor dem Schlachten von einem Brote$fn260 etwas abgebrochen worden, so hole man ein anderes Brot und schlachte, 
Menachot 46a:9	ist aber etwas von einem Brote nach dem Schlachten abgebrochen worden, so werde das Blut gesprengt$fn261und das Fleisch gegessen; des Gelübdes$fn262 aber hat er sich nicht entledigt und das Brot ist untauglich. 
Menachot 46a:10	Ist das Blut bereits$fn263gesprengt worden, so hebe man$fn264von dem ganzen für das zerbrochene ab. 
Menachot 46a:11	Ist ein Brot vor dem Schlachten hinausgekommen$fn265, 
Menachot 46a:12	so bringe man es zurück und schlachte, ist aber ein Brot nach dem Schlachten hinausgekommen, so werde das Blut gesprengt und das Fleisch gegessen; des Gelübdes aber hat er sich nicht entledigt und das Brot ist untauglich. Ist das Blut bereits gesprengt worden, so hebe man von dem innerhalb befindlichen für das außerhalb befindliche ab. 
Menachot 46a:13	Ist ein Brot vor dem Schlachten unrein geworden, so hole man ein anderes Brot und schlachte; ist aber das Brot nach dem Schlachten unrein geworden, so werde das Blut gesprengt und das Fleisch gegessen, und auch des Gelübdes hat er sich entledigt, weil das Stirnblatt das unreine tauglich macht; das Brot aber ist untauglich. 
Menachot 46a:14	Ist das Blut bereits gesprengt worden, so hebe man vom reinen für das unreine ab. 
Menachot 46a:15	Wenn man nun sagen wollte, durch das Schlachten erfolge eine Verbindung, so sollte ja, sobald sie durch das Schlachten verbunden worden sind, wenn das Brot untauglich wird, auch das Dankopfer untauglich sein!? – 
Menachot 46a:16	Anders verhält es sich beim Dankopfer, das der Allbarmherzige Heilsopfer nennt; wie das Heilsopfer ohne Brot dargebracht wird, ebenso kann auch das Dankopfer ohne Brot dargebracht werden.
Menachot 46a:17	R. Jirmeja sagte: Wenn du entscheidest, durch das Schwingen erfolge eine Verbindung, so sind, wenn das Brot$fn266abhanden gekommen ist, 
Menachot 46b:1	auch die Lämmer fort, und wenn die Lämmer abhanden gekommen sind, auch das Brot fort. 
Menachot 46b:2	Wie ist es aber, falls du entscheidest, durch das Schwingen erfolge keine Verbindung, wenn man das Brot und die Lämmer gebracht, und nachdem man sie geschwungen hat, ein Brot abhanden gekommen ist und man ein anderes gebracht hat: ist für dieses Brot das Schwingen erforderlich oder ist das Schwingen nicht erforderlich? 
Menachot 46b:3	Der Fall, wenn die Lämmer abhanden gekommen sind, ist nicht fraglich, dann ist entschieden das Schwingen$fn267erforderlich, fraglich ist nur der Fall, wenn das Brot abhanden gekommen ist. 
Menachot 46b:4	Ferner ist es nach Ben Nannos, welcher sagt, die Lämmer seien die Hauptsache, nicht fraglich, fraglich ist es nur nach R. A͑qiba, welcher sagt, das Brot sei die Hauptsache. 
Menachot 46b:5	Ist, da das Brot die Hauptsache ist, das Schwingen erforderlich, oder ist das Schwingen nicht erforderlich, weil es durch die Lämmer erlaubt wird? – Dies bleibt unentschieden.
Menachot 46b:6	Abajje sprach zu Raba: Weshalb heiligen die zwei Lämmer das Brot$fn268 und machen es abhängig, während die sieben Lämmer, der Farre und die Widder$fn269das Brot nicht heilig und abhängig machen? 
Menachot 46b:7	Dieser erwiderte: Weil sie durch das Schwingen verbunden$fn270sind. – Beim Dankopfer sind sie$fn271ja nicht durch das Schwingen verbunden, und es macht [die Brote] heilig und abhängig!? – 
Menachot 46b:8	Vielmehr, gleich dem Dankopfer; wie das Dankopfer ein Heilsopfer ist, ebenso sind auch jene$fn272ein Heilsopfer$fn273. – 
Menachot 46b:9	Sind sie denn gleich, zu diesen gehören keine anderen Schlachtopfer, zu jenen aber gehören noch andere Schlachtopfer, somit sollten sowohl die einen als auch die anderen heilig machen!? – 
Menachot 46b:10	Vielmehr, gleich dem Widder des Nazirs; wie der Widder des Nazirs, obgleich zu ihm noch andere Schlachtopfer gehören, nur dieser als Heilsopfer heiligt, anderes aber nicht, ebenso auch jene. – 
Menachot 46b:11	Woher dies von diesem? – Es wird gelehrt:$fn274<i>Den Widder richte er her zur Schlachtung eines Heilsopfers für den Herrn samt dem Korbe mit Ungesäuertem</i>; dies lehrt, daß der Korb pflichtgemäß zum Widder gehöre und das Schlachten des Widders ihn heilige; daher sind, wenn man ihn auf einen anderen Namen geschlachtet hat, die Brote nicht heilig.
Menachot 46b:12	Die Rabbanan lehrten: Die zwei Brote, die allein dargebracht$fn275werden, schwinge man, sodann lasse man sie verderben$fn276und bringe sie in den Verbrennungsraum. – 
Menachot 46b:13	Wie du es nimmst: werden sie zum Essen$fn277dargebracht, so sollte man sie doch essen, und werden sie zur Verbrennung dargebracht, so sollte man sie doch sofort verbrennen, wozu das Verderbenlassen$fn278!? 
Menachot 46b:14	Rabba erwiderte: Tatsächlich werden sie zum Essen dargebracht, nur wird berücksichtigt, man könnte, wenn im folgenden Jahr Lämmer vorhanden sind, sagen: im Vorjahre aßen wir die Brote ohne Lämmer, wir wollen dies auch in diesem Jahre. 
Menachot 46b:15	Man würde nicht wissen, daß im Vorjahre, wo keine Lämmer vorhanden waren, diese sich selbst erlaubt machten, während sie in diesem Jahre, wo Lämmer vorhanden sind, erst durch die Lämmer erlaubt$fn279werden. 
Menachot 46b:16	Rabba sagte: Dies entnehme ich aus folgender Lehre: Ben Bokhri bekundete in Jabne, daß ein Priester, der den Šeqel$fn280entrichtet, keine Sünde begehe. 
Menachot 46b:17	R. Joḥanan b. Zakkaj sprach zu ihm: Nicht so, vielmehr begeht ein Priester, der den Šeqel nicht entrichtet, eine Sünde. Die Priester aber legen folgenden Schriftvers zu ihrem Vorteile aus:
Menachot 46b:18	$fn281<i>Jedes Speisopfer eines Priesters ist ein Ganzopfer, es darf nicht gegessen werden</i>; wieso dürften die Webegarbe, die zwei Brote und die Schaubrote, wenn sie unser$fn280wären, [von uns] gegessen werden!? 
Menachot 46b:19	Von welchem Falle wird hier hinsichtlich der zwei Brote gesprochen, wollte man sagen, wenn sie mit dem Schlachtopfer dargebracht werden, so dürfen ja Priester ein Dankopfer$fn282samt den Broten spenden und sie essen: 
Menachot 46b:20	doch wohl, wenn sie allein dargebracht werden, und es heißt: wieso dürften &amp;c. gegessen werden. Demnach werden sie zum Essen dargebracht. 
Menachot 46b:21	Abajje sprach zu ihm: Tatsächlich, wenn sie mit dem Schlachtopfer dargebracht werden, wenn du aber vom Dankopfer und von den Broten$fn283einwendest, so werden die Brote des Dankopfers nicht Speisopfer genannt, die zwei Brote aber werden Speisopfer$fn284genannt, denn es heißt:$fn285<i>wenn ihr dem Herrn ein neues Speisopfer bringt</i>. 
Menachot 46b:22	R. Joseph erwiderte: Tatsächlich werden sie zur Verbrennung dargebracht, nur sind sie deshalb nicht [sofort] zu verbrennen, weil man Heiliges nicht am Feste verbrennen darf. 
Menachot 46b:23	Abajje sprach zu ihm: Es ist ja nicht gleich; dort$fn286wird dadurch das Gebot nicht ausgeübt, hierbei aber, wo dadurch das Gebot ausgeübt wird, sollte man sie verbrennen, wie dies$fn287auch beim Farren und dem Ziegenbocke des Versöhnungstages der Fall ist!? 
Menachot 46b:24	Vielmehr, erklärte R. Joseph, mit Rücksicht darauf, man könnte später Lämmer$fn288erhalten. Abajje sprach zu ihm: Erklärlich ist dies hinsichtlich der Zeit$fn289der Darbringung, nachher aber sollte man sie verbrennen!? – Das Verderbenlassen, von dem er spricht, bezieht sich eben auf die Zeit$fn290der Darbringung. 
Menachot 46b:25	Raba erwiderte: Tatsächlich werden sie zum Essen dargebracht, nur wurde hierbei der von Rabba genannte Fall berücksichtigt, jedoch nicht wegen des von ihm angegebenen Grundes. 
Menachot 46b:26	Raba sagte: Dies entnehme ich aus folgendem Schriftverse:$fn291<i>Aus euren Wohnorten sollt ihr Brote zur Schwingung bringen &amp;c. Erstlinge für den Herrn</i>; wie die Erstlinge allein dargebracht werden, ebenso auch die zwei Brote$fn292allein, und hieraus: wie die Erstlinge zum Essen, ebenso auch die zwei Brote zum Essen.
Menachot 47a:1	Die Rabbanan lehrten: Die Lämmer des Wochenfestes heiligen das Brot nur durch das Schlachten. 
Menachot 47a:2	Zum Beispiel: hat man sie auf ihren Namen geschlachtet und das Blut auf ihren Namen gesprengt, so ist das Brot heilig$fn293; hat man sie auf einen anderen Namen geschlachtet und das Blut auf einen anderen Namen gesprengt, so ist das Brot nicht$fn294heilig; hat man sie auf ihren Namen geschlachtet und das Blut auf einen anderen Namen gesprengt, so ist das Brot heilig und nicht heilig – so Rabbi. R. Elea͑zar b. R. Šimo͑n sagt, es sei nur dann heilig, wenn man sie auf ihren Namen geschlachtet und das Blut auf ihren Namen gesprengt hat. – 
Menachot 47a:3	Was ist der Grund Rabbis? – 
Menachot 47a:4	Es heißt:$fn295<i>den Widder richte er her zur Schlachtung eines Heilsopfers für den Herrn samt dem Korbe mit Ungesäuertem</i>, demnach wird es$fn296durch das Schlachten heilig. – 
Menachot 47a:5	Und R. Elea͑zar b. R. Šimo͑n!? – <i>Richte er her</i>, nur wenn die Herrichtung vollständig$fn297erfolgt ist. – 
Menachot 47a:6	Und Rabbi, es heißt ja: <i>richte er her</i>!? – Hieße es: Schlachtung richte er her, so wäre dem auch$fn298so, es heißt aber: richte er her zur Schlachtung, die Herrichtung erfolgt durch die Schlachtung. – 
Menachot 47a:7	Und R. Elea͑zar b. R. Šimo͑n, es heißt ja <i>Schlachtung</i>!? – Dies deutet auf eine Lehre R. Joḥanans, denn R. Joḥanan sagte, alle$fn299stimmen überein, daß das Brot beim Schlachten vorhanden sein muß. – 
Menachot 47a:8	Was heißt heilig und nicht heilig? Abajje erklärte: Heilig, nicht aber vollständig. Raba erklärte: Heilig, es ist aber nicht erlaubt$fn300. – 
Menachot 47a:9	Welchen Unterschied$fn301gibt es zwischen ihnen? – Ein Unterschied besteht zwischen ihnen, ob es die Lösung$fn302erfaßt; nach Abajje erfaßt es die Lösung nicht, nach Raba erfaßt es die Lösung$fn303. – 
Menachot 47a:10	Allerdings gibt es nach Raba einen Unterschied zwischen Rabbi und R. Elea͑zar b. R. Šimo͑n, welchen Unterschied aber gibt es nach Abajje zwischen Rabbi und R. Elea͑zar$fn304b. R. Šimo͑n? – 
Menachot 47a:11	Ein Unterschied besteht zwischen ihnen, ob es durch das Hinauskommen$fn305untauglich werde.
Menachot 47a:12	R. Šemuél b. R. Jiçḥaq fragte R. Ḥija b. Abba: Wie verhält es sich, wenn man die Lämmer des Wochenfestes auf ihren Namen geschlachtet und das Blut auf einen anderen Namen gesprengt hat, mit dem Essen des Brotes? – 
Menachot 47a:13	Nach wessen Ansicht, wenn nach R. Elea͑zar b. R. Šimo͑n, so sagt er ja, es werde nur durch das Sprengen$fn306geheiligt, und wenn nach Rabbi, so ist es ja sowohl nach Abajje als auch nach Raba heilig und nicht erlaubt!? – 
Menachot 47a:14	Vielmehr, nach dem Autor der folgenden Lehre des Vaters des R. Jirmeja b. Abba: Wenn die zwei Brote zwischen dem Schlachten und dem Sprengen hinausgekommen sind und man das Blut der Lämmer für außerhalb der Frist$fn307gesprengt hat, so erstreckt sich, wie R. Elie͑zer sagt, die Verwerflichkeit nicht auf das Brot; R. A͑qiba sagt, die Verwerflichkeit erstrecke sich auch auf das Brot. 
Menachot 47a:15	Hierzu sagte R. Šešeth: Beide Tannaím sind der Ansicht Rabbis, daß nämlich die Heiligung$fn308durch das Schlachten erfolge, 
Menachot 47a:16	jedoch vertritt R. Elie͑zer hierbei seine Ansicht, beim Hinausgebrachten sei das Sprengen nicht von Wirkung$fn309, und R. A͑qiba seine Ansicht, beim Hinausgebrachten sei das Sprengen wohl von Wirkung. 
Menachot 47b:1	Wir haben nämlich gelernt: Sind die Opferteile von minderheiligen Opfern vor dem Blutsprengen hinausgekommen, so gibt es bei ihnen, wie R. Elie͑zer sagt, keine Veruntreuung, und man ist ihrethalben nicht schuldig wegen Verwerflichem, Übriggebliebenem und Unreinheit; 
Menachot 47b:2	R. A͑qiba sagt, bei ihnen gebe es eine Veruntreuung, und man ist ihrethalben schuldig wegen Verwerflichem, Übriggebliebenem und Unreinheit. 
Menachot 47b:3	Wie ist es nun; 
Menachot 47b:4	macht das Sprengen auf einen anderen Namen$fn310das Brot erlaubt, wie auch das Sprengen in verwerflichmachender Weise das hinausgebrachte Brot gleich dem Fleische verwerflich$fn311macht, oder aber gilt dies nur erschwerend, nicht aber erleichternd? 
Menachot 47b:5	R. Papa wandte ein: Woher, daß sie über den Fall streiten, wenn sie$fn312sich außerhalb befinden, 
Menachot 47b:6	vielleicht stimmen alle überein, daß, wenn sie sich außerhalb befinden, das Sprengen beim Hinausgebrachten nicht von Wirkung sei, und sie streiten über den Fall, wenn man sie zurück hereingebracht hat. R. Elie͑zer ist der Ansicht Rabbis, daß nämlich die Heiligung durch das Schlachten erfolg, somit sind sie durch das Hinausbringen untauglich geworden, 
Menachot 47b:7	und R. A͑qiba ist der Ansicht des R. Elea͑zar b. R. Šimo͑n, daß nämlich durch das Schlachten keine Heiligung erfolge, somit sind sie durch das Hinausbringen nicht untauglich geworden!? – 
Menachot 47b:8	Was soll dies; einleuchtend ist die Ansicht R. A͑qibas, wenn er der Ansicht Rabbis ist, ihre Heiligung erfolge durch das Schlachten, sie sind durch das Schlachten heilig und darauf durch das Sprengen verwerflich geworden; wieso aber können sie, 
Menachot 47b:9	wenn du sagst, er sei der Ansicht des R. Elea͑zar b. R. Šimo͑n, ihre Heiligung erfolge nicht durch das Schlachten, durch ein verwerflichmachendes Sprengen heilig$fn313 werden, 
Menachot 47b:10	R. Gidel sagte ja im Namen Rabhs, das verwerflichmachende Sprengen bringe nicht zur Veruntreuung und bringe nicht aus dem Zustande$fn314der Veruntreuung!? 
Menachot 47b:11	Es bringt nicht zur Veruntreuung bei den Opferteilen minderheiliger$fn315Opfer, 
Menachot 47b:12	und es bringt nicht aus dem Zustande der Veruntreuung, beim Fleische hochheiliger Opfer$fn316. – 
Menachot 47b:13	Ist etwa die Lehre des R. Gidel im Namen Rabhs nicht widerlegt worden!?
Menachot 47b:14	R. Jirmeja fragte R. Zera: Darf man, wenn man die Lämmer des Wochenfestes auf ihren Namen geschlachtet hat und das Brot abhanden gekommen ist, das Blut auf einen anderen Namen$fn317sprengen, um das Fleisch zum Essen erlaubt zu machen? 
Menachot 47b:15	Dieser erwiderte: Gibt es denn etwas, das auf den richtigen Namen untauglich und auf einen anderen Namen tauglich wäre? – Etwa nicht, dies ist ja beim Pesaḥopfer während der übrigen Tage des Jahres$fn318der Fall, es ist auf den richtigen Namen untauglich und auf einen anderen Namen tauglich!? – 
Menachot 47b:16	Ich meine es wie folgt: gibt es denn etwas, das auf den richtigen Namen tauglich war und verdrängt worden ist, und auf den richtigen Namen untauglich und auf einen anderen Namen tauglich wäre!? – 
Menachot 47b:17	Etwa nicht, dies ist ja beim Pesaḥopfer nach Ablauf der Frist$fn319während der übrigen Tage des Jahres der Fall!? – 
Menachot 47b:18	Ich meine es wie folgt: gibt es denn etwas, das auf den richtigen Namen tauglich und auf den richtigen Namen geschlachtet und verdrängt worden ist, und auf den richtigen Namen untauglich und auf einen anderen Namen tauglich wäre!? – 
Menachot 47b:19	Etwa nicht, dies ist ja beim Dankopfer$fn320der Fall!? – 
Menachot 47b:20	Anders verhält es sich beim Dankopfer, da der Allbarmherzige es Heilsopfer nennt.
Menachot 47b:21	Die Rabbanan lehrten: Hat man zwei Lämmer zu vier Broten geschlachtet, so nehme man zwei von diesen und schwinge$fn321sie, 
Menachot 48a:1	und die anderen werden nach erfolgter Auslösung gegessen. Die Jünger sprachen vor R. Ḥisda: Dies ist gegen die Ansicht Rabbis, 
Menachot 48a:2	denn wo könnte man sie nach Rabbi, welcher sagt, die Heiligung erfolge durch das Schlachten, auslösen: 
Menachot 48a:3	löst man sie außerhalb$fn322aus, so werden sie ja, da es$fn323<i>vor dem Herrn</i> heißt, durch das Hinausbringen untauglich, und wenn innerhalb, so bringt man ja Profanes$fn324in den Tempelhof. 
Menachot 48a:4	R. Ḥisda erwiderte ihnen: Tatsächlich nach Rabbi, und zwar löse man sie innerhalb aus, denn profan werden sie$fn325von selbst. 
Menachot 48a:5	Rabina sprach zu R. Aši: Es wird ja gelehrt, daß man sie nur außerhalb auslöse!? – 
Menachot 48a:6	Dies ist entschieden nach R. Elea͑zar b. R. Šimo͑n, denn nach Rabbi werden sie durch das Hinausbringen untauglich. 
Menachot 48a:7	R. Aḥa, der Sohn Rabas, sprach zu R. Aši: Hieraus wäre also eine Widerlegung R. Joḥanans zu entnehmen. Es wurde nämlich gelehrt: Hat man ein Dankopfer zu achtzig Broten geschlachtet, so sind, wie Ḥizqija sagt, vierzig von den achtzig heilig, und wie R. Joḥanan sagt, keine vierzig von den achtzig heilig$fn326. – 
Menachot 48a:8	Hierzu wurde ja gelehrt: R. Zera sagte: Alle stimmen überein, daß sie heilig sind, wenn man gesagt hat, vierzig von den achtzig mögen heilig sein, und auch hierbei gilt dies von dem Falle, wenn man gesagt hat, zwei von den vier mögen heilig sein.
Menachot 48a:9	R. Ḥanina aus Tirṭa$fn327rezitierte vor R. Joḥanan: Hat man vier Lämmer zu zwei Broten geschlachtet, so nehme man zwei von diesen und sprenge das Blut auf einen anderen Namen, 
Menachot 48a:10	denn wenn du nicht so entscheidest, so verdirbst du die letzteren$fn328. 
Menachot 48a:11	R. Joḥanan sprach zu ihm: Sollte man denn zu einem sagen: auf, sündige, damit du gewinnest$fn329!? – 
Menachot 48a:12	Es wird ja gelehrt: Wenn Glieder von einem Sündopfer mit Gliedern von einem Brandopfer vermischt worden sind, so lege man diese, wie R. Elie͑zer sagt, oben und das Fleisch vom Sündopfer betrachte man als Brennholz; die Weisen sagen, man lasse sie verderben, und sie kommen in den Verbrennungsraum. 
Menachot 48a:13	Weshalb$fn330denn, man sollte ja sagen: auf, sündige, damit du gewinnest$fn331!? – 
Menachot 48a:14	Wir sagen wohl: auf, sündige beim Sündopfer, damit du beim Sündopfer$fn332gewinnest, nicht aber sagen wir: auf, sündige beim Sündopfer, damit du beim Brandopfer gewinnest. – 
Menachot 48a:15	Sagen wir dies etwa bei einer Sache, es wird ja gelehrt: Hat man die Lämmer des Wochenfestes auf einen anderen Namen geschlachtet, oder hat man sie vor oder nach der Zeit geschlachtet, so ist das Blut zu sprengen$fn333und das Fleisch zu essen; 
Menachot 48a:16	ist es ein Šabbath, so sprenge$fn334man nicht; hat man gesprengt, so ist es gültig, sodaß abends die Opferteile aufzuräuchern sind. 
Menachot 48a:17	Weshalb denn, man sollte ja sagen: auf, sündige, damit du gewinnest$fn335!? – 
Menachot 48a:18	Wir sagen wohl: auf, sündige am Šabbath, damit du am Šabbath gewinnest$fn336, nicht aber: auf, sündige am Šabbath, damit du wochentags gewinnest. – 
Menachot 48a:19	Sagen wir dies etwa nicht auch bei zwei Sachen, wir haben ja gelernt: Wenn ein Faß [Wein] von Hebe in der oberen Kelter zerbricht und in der unteren sich profaner unreiner [Wein] befindet, so muß man, wie R. Elie͑zer und R. Jehošua͑ übereinstimmen, wenn es möglich ist, ein Viertellog in Reinheit zu retten, dies$fn337tun, 
Menachot 48a:20	wenn aber nicht, so lasse man ihn, wie R. Elie͑zer sagt, 
Menachot 48b:1	auslaufen und unrein werden, nur nicht mit den Händen unrein$fn338machen; R. Jehošua͑ sagt, man mache ihn auch mit den Händen unrein$fn339!? – 
Menachot 48b:2	Anders verhält es sich hierbei, wo er ohnehin$fn340der Unreinheit verfällt.
Menachot 48b:3	Als R. Jiçḥaq kam, lehrte er: Sind die Lämmer des Wochenfestes nicht nach Vorschrift$fn341geschlachtet worden, so sind sie untauglich; man lasse sie verderben, und sie kommen in den Verbrennungsraum. 
Menachot 48b:4	R. Naḥman sprach zu ihm: Der Meister vergleicht sie mit dem Sündopfer$fn342und lehrt, daß sie untauglich sind, 
Menachot 48b:5	der Autor der Schule Levis aber, der hinsichtlich der Pflichtigen Heilsopfer von den freiwilligen Heilsopfern folgert, lehrt, daß sie tauglich sind. Levi lehrte nämlich: Die übrigen Heilsopfer des Nazirs, die man nicht nach Vorschrift geschlachtet hat, sind tauglich und sie werden dem Eigentümer nicht als Pflichtopfer angerechnet; sie werden einen Tag und eine Nacht gegessen und benötigen nicht des Brotes und nicht des Buges$fn343. 
Menachot 48b:6	Man wandte ein: Hat man statt eines einjährigen Schuldopfers ein zweijähriges$fn344oder statt eines zweijährigen ein einjähriges gebracht, so ist es untauglich, man lasse es verderben, und es komme in den Verbrennungsraum; 
Menachot 48b:7	hat man aber das Brandopfer eines Nazirs, das Brandopfer einer Wöchnerin oder das Brandopfer eines Aussätzigen$fn345 zweijährig geschlachtet, so ist es tauglich. 
Menachot 48b:8	Die Regel hierbei ist: was bei einem freiwilligen Brandopfer tauglich ist, ist beim Pflichtbrandopfer tauglich, und was beim Sündopfer untauglich ist, ist beim Schuldopfer untauglich, ausgenommen [das Schlachten] auf einen anderen Namen$fn346. – 
Menachot 48b:9	Dieser Autor ist der Autor der Schule Levis. – 
Menachot 48b:10	Komm und höre: Levi lehrte: Hat man das Schuldopfer eines Nazirs und das Schuldopfer eines Aussätzigen auf einen anderen Namen geschlachtet, so sind sie tauglich und sie werden dem Eigentümer nicht als Pflichtopfer angerechnet; 
Menachot 48b:11	hat man sie vor Eintritt der Darbringungsfrist für den Eigentümer oder zweijährig geschlachtet, so sind sie untauglich. 
Menachot 48b:12	Wenn dem$fn347nun so wäre, so sollte er doch hinsichtlich dieser vom Heilsopfer folgern!? – Er folgert hinsichtlich des Heilsopfers vom Heilsopfer, nicht aber hinsichtlich des Schuldopfers vom Heilsopfer. – 
Menachot 48b:13	Wenn er hinsichtlich des Heilsopfers vom Heilsopfer folgert, so sollte er hierbei hinsichtlich des Schuldopfers vom Schuldopfer folgern: hinsichtlich des Schuldopfers des Nazirs und des Schuldopfers des Aussätzigen vom Schuldopfer wegen Raubes und dem Schuldopfer wegen Veruntreuung, und hinsichtlich des Schuldopfers wegen Raubes und des Schuldopfers wegen Veruntreuung vom Schuldopfer des Nazirs und dem Schuldopfer des Aussätzigen$fn348!? – 
Menachot 48b:14	R. Šimi b. Aši erwiderte: Man folgere hinsichtlich des Unrichtigen vom Unrichtigen$fn349, nicht aber hinsichtlich des Unrichtigen vom Richtigen$fn350. – 
Menachot 48b:15	Etwa nicht, es wird ja gelehrt: Woher, daß, wenn das Hinausgekommene$fn351[auf den Altar] gekommen ist, es nicht mehr her abgenommen werde? Weil das Hinausgekommene bei einem Privataltar erlaubt$fn352ist. – 
Menachot 49a:1	Der Autor stützt sich auf die einschließenden Worte:$fn353<i>dies ist das Gesetz des Brandopfers</i>$fn354.
Menachot 49a:2	Rabba b. Bar Ḥana rezitierte vor Rabh: Hat man die Lämmer des Wochenfestes als Widder geschlachtet, so sind sie tauglich, sie werden aber dem Eigentümer$fn355nicht als Pflichtopfer angerechnet. Rabh sprach zu ihm: Angerechnet und angerechnet. 
Menachot 49a:3	R. Ḥisda sagte: Die Ansicht Rabhs ist einleuchtend in dem Falle, wenn man sie im Glauben, es seien Widder, als Lämmer geschlachtet hat, da dann die Lämmer als Lämmer geschlachtet worden sind, 
