		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
ירמיהו פרק לא	Jeremiah 31:22	Dwelling of Righteousness	Yehudah				mountain	19	Jeremiah	32	yes	yes	yes	Jeremiah 31:23					
מצודת דוד ירמיהו פרק לא פסוק כב	Metzudat David Jeremiah 31:22	Jerusalem, Dwelling of Righteousness		building of the Second Temple				19	Jeremiah	33	yes	no	yes	Metzudat David on Jeremiah 31:23					
מדרש תנחומא (בובר) פרשת לך לך סימן ה	Midrash Tanchuma (Buber) parshat Lech Lecha	Dwelling of Righteousness		coming world		Avraham, Levi, The Holy One	blessing, mountain	19	Jeremiah	34	no	no	no	x	ד"א והיה ברכה, א"ל הקדוש ברוך הוא עתיד אני להעמיד ממך שבט שהוא מברך את ישראל, ואיזה הוא זה שבט לוי שהוא מברך את ישראל, אמר לפניו אברהם רבונו של עולם מי מברך לאותו השבט, א"ל הקדוש ברוך הוא משהן מברכין את ישראל אני מברכם, שנאמר ושמו את שמי על בני ישראל ואני אברכם (במדבר ו כז), אמר הקדוש ברוך הוא לישראל בעולם הזה שבט לוי מברך אתכם בשמי, אבל לעולם הבא אני בכבודי מברך אתכם שנאמר יברכך ה' נוה צדק הר הקדש (ירמיה לא כב).	Another explanation. “…and you shall be a blessing.” (Genesis 12:2) The Holy One said to him: in the future I will raise up a tribe from you that will bless Israel. Which one is it? The tribe of Levi who blesses Israel. Avraham said before Him: master of the world! Who will bless that tribe? The Holy One replied to him: once they bless Israel I will bless them, as it says “They shall bestow My Name upon the children of Israel, so that I will bless them.” (Numbers 6:27) The Holy One said to Israel: in this world the tribe of Levi blesses you in My name, but in the world to come I in My glory will bless you, as it says “May the Lord bless You, dwelling of righteousness, holy mount.” (Jeremiah 31:22)	x		Midrash Tanchuma
ירמיהו פרק לג	Jeremiah 33:16	Jerusalem, The Lord is our Righteousness	Yehuda					19	Jeremiah	35	yes	yes	yes	Jeremiah 33:16					
מצודת דוד ירמיהו פרק לג פסוק טז	Metzudat David Jeremiah 33:16	Jerusalem, Makom, The Lord is Our Righteousness						19	Jeremiah	36	yes	yes	yes	Metzudat David on Jeremiah 33:16			He translated it slightly differently earlier on. This is his translation which is not up: and this is the name that He shall call it – this is the name that God (HaMakom) will call Jerusalem: the Lord is our righteousness – God will make use righteous in the time of its rising up.		
ירמיהו פרק לח	Jeremiah 38:28	Jerusalem		destruction of the First Temple				19	Jeremiah	37	yes	yes	yes	Jeremiah 38:28					
בראשית רבה (וילנא) פרשת לך לך פרשה מב סימן ג	Bereshit Raba parshat Lech Lecha 42:3	Jerusalem, Zion	Holy Temple	destruction of the First Temple			atonement	19	Jeremiah	38	yes	no	yes	Bereishit Rabbah 41:3					
	Yalkut Shimoni Isaiah 470	Zion	Yehudah	destruction of the First Temple, creation of man, Yosef in Egypt, wandering in the wilderness, standing at Sinai		Jeremiah, The Holy One, Zion, Adam, Yosef, Knesset Yisrael	king, water, blood, four kingdoms, Red Sea, sacrifice, Throne of Glory, Sinai	19	Jeremiah		yes	no	yes	Yalkut Shimoni on Nach 470					
יחזקאל פרק ד	Ezekiel 4:1	Jerusalem						20	Ezekiel	1	yes	yes	yes	Ezekiel 4:1					
מלבי"ם יחזקאל פרק ד פסוק א	Malbim Ezekiel 4:1	Jerusalem					king	20	Ezekiel	2	yes	no	yes	Malbim on Ezekiel 4:1					
יחזקאל פרק ה	Ezekiel 5:5	Jerusalem						20	Ezekiel	3	yes	yes	yes	Ezekiel 5:5					
רש"י יחזקאל פרק ה פסוק ה	Rashi Ezekiel 5:5		center of the world					20	Ezekiel	4	yes	no	yes	Rashi on Ezekiel 5:5					
רד"ק יחזקאל פרק ה פסוק ה	Radak Ezekiel 5:5	The Fairest of Branches, Joy of All the Earth	center of the world	divided kingdom		Manasseh		20	Ezekiel	5	no	no	no	x	(ה) כה אמר אדני ה', בתוך הגוים שמתיה – יושביה שמתי בה לטובתם לפי שהיא נבחרת מכל הארצות יפה נוף משוש כל הארץ שהיא באמצע הישוב לפיכך אוירה טוב ומזוג מכל הארצות ויושבי' היה להם ללכת דרך ישרה ולעשות משפטי הטובים והם המירו אותם לרשעה מן הגוים אשר סביבותיהם כמו שאמר ויתעם מנשה לעשות את הרע מן הגוים אשר השמיד ה' מפני בני ישראל והגוי' ההם אשר סביבותיה' לא המירו משפטיה' והם המירו משפטי בלא יועיל:	So said the Lord God…in the midst of the nations I have placed it – I placed her inhabitants within her for their own good because she is the choice of all lands. “The fairest of branches, the joy of the entire earth…” (Psalms 48:3) because she is in the center of settled lands, therefore her air is good - a mixture of all the lands. Her inhabitants should have gone in a straight path and executed proper judgments, but they exchanged them for the wickedness of the nations surrounding them, as it says “…and Manasseh led them astray to do what was evil, more than the nations that the Lord had destroyed from before the children of Israel.” (Kings II 21:9) The nations which were around them did not exchange their laws but they exchanged My laws for that which has no advantage.	x		Radak
ויקרא רבה (מרגליות) פרשת אחרי מות פרשה כא ד"ה [ו] ר' יודן	Vayikra Raba (Margaliot) parshat Achre Mot 21:6	Jerusalem	Holy of Holies			Aaron, Yehudah, Israel	High Priest, Torah, circumcision, Shabbat, tribes, sacrifice	20	Ezekiel	6	no	no	no	x	[ו] ר' יודן פתר קריה בכהן גדול בכניסתו לבית קדש הקדשים, חבילות חבילות שלמצוות יש בידו. זכות התורה, וזאת התורה (דברים ד, מד). בזכות מילה, זאת בריתי אשר תשמרו (בראשית יז, י). בזכות שבת, אשרי אנוש יעשה זאת (ישעיה נו, ב). בזכות ירושלם, זאת ירושלם (יחזקאל ה, ה). בזכות שבטים, וזאת אשר דבר (בראשית מט, כח). בזכות יהודה, וזאת ליהודה (דברים לג, ז). בזכות ישראל, זאת קומתך (שיה"ש =שיר השירים= ז, ח). בזכות התרומה, וזאת התרומה (שמות כה, ג). בזכות מעשרות, ובחנוני נא בזאת (מלאכי ג, י). בזכות קורבנות, בזאת יבא אהרן.	“With this shall Aaron enter the Holy…” (Leviticus 16:3) R’ Yudan explained the verse as referring to the High Priest. Upon entering the Holy of Holies, he has bundles and bundles of commandments in his hands. In the merit of the Torah, “And this is the teaching (torah)…” (Deuteronomy 4:44) In the merit of circumcision, “This is My covenant, which you shall observe…” (Genesis 17:10) In the merit of Shabbat, “Fortunate is the man who will do this…” (Isaiah 56:2) In the merit of Jerusalem, “This is Jerusalem…” (Ezekiel 5:5) In the merit of the tribes, “…and this is what their father spoke to them…” (Genesis 49:28) In the merit of Yehudah, “And this is for Yehudah…” (Deuteronomy 33:7) In the merit of Israel, “This, your stature…” (Song of Songs 7:8) In the merit of priestly gifts, “And this is the offering…” (Exodus 25:3) In the merit of the tithes, “…and test Me now with this…” (Malachi 3:10) In the merit of the sacrifices, “With this shall Aaron enter the Holy…” (Leviticus 16:3)	x		Vayikra Raba
שיר השירים רבה (וילנא) פרשה ב	Shir HaShirim Raba 2:5	Jerusalem		time to come		The Holy One	four kingdoms, fire	20	Ezekiel	7	yes	no	yes	Shir HaShirim Rabbah 2:2:5					
	Ezekiel 17:23						mountain, tree				yes	yes	yes	Ezekiel 17:23					
	Radak Ezekiel 17:23	Jerusalem		divided kingdom, return to Zion		Tzidkiyahu, Zerubabel		20	Ezekiel		no	no	no			In the mountain of the height of Israel – The height of the land of Israel, because Jerusalem is higher than all of the land of Israel and the land of Israel is higher than all the lands. Yonatan translated it into Aramaic as ‘the holy mountain of Israel’: I will plant it – The letter tav is written with a kamatz-chataf for the beautification of the language: and bring forth fruit – In reference to Tzidkiyahu the prophet did not mention fruit because his sons died, as we mentained: and become a sturdy cedar – Just as it was at first a cedar, as it says “…the lofty top of the cedar,” (Ezekiel 17:3) and not a grapevine as it says of Tzidkiyahu: and under it shall dwell – Israel will dwell in its shadow: shall they dwell – there is an accent mark in the letter nun for the nun of the root which was dropped. The word is referring to the birds, which are a metaphore for Israel who will dwell in the shadow of Zerubabel:			Radak
יחזקאל פרק כא	Ezekiel 21:2						field, tree	20	Ezekiel	8	yes	yes	yes	Ezekiel 21:2					
רש"י יחזקאל פרק כא פסוק ב	Rashi Ezekiel 21:2		Holy Temple	destruction of the First Temple			tree, field	20	Ezekiel	9	yes	no	yes	Rashi on Ezekiel 21:2, 2					
רד"ק יחזקאל פרק כא פסוק ב	Radak Ezekiel 21:2	Jerusalem					tree, field, angel, prophecy	20	Ezekiel	10	no	no	no	x	(ב) בן אדם שים פניך דרך תימנה - הנביא היה בבבל ואמר לו האל שיפנה דרך דרום והיא ירושלם שהיא דרומה של בבל כי בבל היא צפונית לירושלם כמו שאמר מצפון תפתח הרעה אם כן ירושלם היא דרומה של בבל: והטף אל דרום - ענין דבור וכן אל תטיפו יטיפון: והנבא אל יער השדה נגב - קרא ירושלם יער השדה דרך משל כמו היער שיש בו עצים טובים ורעים כן בירושלם צדיקים ורשעים ונספו הצדיקים שהיו מעטים בעון הרשעים שהיו רבים נספו בכללם כמו שאמר כי עד צדק ישוב משפט וכן אמר המלאך ללוט פן תספה בעון העיר ותירגם יונתן שים פניך קביל נבואה ותרגם והטף ואליף ואמר תימנה דרום נגב כפל הענין במלות שונות לחזק כמנהג הנבואות בכל מקום:	Son of man, set your face southward – The prophet is in Babylon and Gd told him to turn southward which is toward Jerusalem that is to the south of Babylon. Babylon is to the north of Jerusalem, as it says “From the north the misfortune will break forth…” (Jeremiah 1:14) and if that is so then Jerusalem is south of Babylon: and speak to the south – hatef means speech, as in “Preach not, those who preach” (Micah 2:6): and prophesy to the forest of the field in the south – He called Jerusalem forest of the field in a metaphorical sense, just as a forest has good and bad trees so to in Jerusalem there are righteous people and wicked people. The righteous, who were few, were swept up with the wicked who were many. They were all swept up together, as it says “For until righteousness will judgment return…” (Psalms 94:15) And so the angel said to Lot “…lest you perish because of the iniquity of the city,” (Genesis 19:15) Yonatan translated ‘set your face’ into Aramaic as receive the prophecy, and ‘speak’ as teach. And the prophet says south three times in three different ways in order to strengthen his point, as is the way of prophecy in general.	x		Radak
מלבי"ם יחזקאל פרק כא פסוק ב	Malbim Ezekiel 21:2	Jerusalem	Holy Temple, Yehudah	destruction of the First Temple		Nevuchadnezzar	prophecy, tree	20	Ezekiel	11	yes	no	yes	Malbim on Ezekiel 21:2:1-3					
יחזקאל פרק כא פסוק ז	Ezekiel 21:7	Jerusalem					prophecy	20	Ezekiel	12	yes	yes	yes	Ezekiel 21:7					
פסיקתא זוטרתא (לקח טוב) בראשית פרשת לך לך פרק יב סימן ט	Pesikta Zutra Bereshit Lech Lecha 12:9		Holy Temple			Avraham	ingathering	20	Ezekiel	13	no	no	no	x	ט) ויסע אברם הלוך ונסוע הנגבה. כי היה מכוין והולך כנגד בית המקדש. ומנין שבית המקדש נקרא נגב, שנא' הטף אל דרום והנבא אל מקדשי (יחזקאל כא ז), הוא נגב הוא דרום, שנאמר שובה ה' את שבותינו כאפיקים בנגב (תהלים קכו ד):	“And Abram traveled, continually traveling southward.” (Genesis 12:9) Because he was oriented to and moving toward the Holy Temple. And from where do we learn that the Holy Temple is called south (negev)? As it says ‘speak to the south (darom)…and prophecy about the sanctuaries’ (see Ezekiel 21:2-7) Darom and negev are the same, as it says “Return, O Lord, our captivity like rivulets in arid land (ba’negev).” (Psalms 126:4)	x		Pesikta Zutra
יחזקאל פרק כב	Ezekiel 22:2-3	City of Bloodshed				Manasseh	blood	20	Ezekiel	14	yes	yes	yes	Ezekiel 22:2-3					
רד"ק יחזקאל פרק כב פסוק ב	Radak Ezekiel 22:2	City of Bloodshed		divided kingdom			blood	20	Ezekiel	15	no	no	no	x	את עיר הדמים - אף על פי שהיתה עיר גילולים ותועבות אחרות העון הגדול הוא שפיכות דם נקי וכן אמר במנשה אחר שזכר כל תועבותיו וגם דם נקי שפך מנשה:	the city of bloodshed – Even though there were idolatry and other abominations in the city, the great sin was the spilling of innocent blood. This is also said in reference to Menashe after all his abominations were mentioned it says “Moreover, Manasseh shed very much innocent blood…” (Kings II 21:16):	x		Radak
מלבי"ם יחזקאל פרק כב פסוק ג	Malbim Ezekiel 22:3						blood	20	Ezekiel	16	yes	no	yes	Malbim on Ezekiel 22:3					
מדרש תנחומא (בובר) פרשת שופטים סימן ב	Midrash Tanchuma parshat Shoftim 2	Jerusalem	Yehudah	divided kingdom		Yehoshafat, Moshe, Yitro, The Holy One	king, Sanhedrin, Torah, judges	20	Ezekiel	17	yes	no	yes	Midrash Tanchuma 1:48:2			Translation does not match exactly (different version)		
יחזקאל פרק כב	Ezekiel 22:19	Jerusalem						20	Ezekiel	18	yes	yes	yes	Ezekiel 22:19					
רד"ק יחזקאל פרק כב פסוק יט	Radak Ezekiel 22:19	Jerusalem					fire, exile	20	Ezekiel	19	no	no	no	x	(יט) לכן יען היות כלכם לסיגים - תחת אשר היה הדין עליכם להיות כסף והייתם סיגים אקבץ אתכם ואתיך אתכם באש עברתי כי כמו שהדבר המותך תאבד צורתו הראשונה בהתכה וכל שכן המתכות המעורבים שתאבד צורתם בהתכתם כן אמר שיאבדו הם בחרב וברעב ובדבר ואף הנשארים מהם יאבדו ממה שהיו בארצם בטובה יגלו ממנה לרעה: אל תוך ירושלם - היא תהיה לכם כמו הכור למתכות:	Because you have all become dross – Since it was decreed that you should be silver but instead you were dross, I will gather you together and smelt you with “the fire of my wrath” (Ezekiel 21:36) Because just as something which is melted down loses its original form, and all the more so mixed metals lose their forms when smelted, so it says that they will be destroyed through sword, famine and plague. Even those who remain will be destroyed through exile from their good situation in the land into a bad situation: into the midst of Jerusalem – she will be to you as a furnace is to metals:	x		Radak
מלבי"ם יחזקאל פרק כב פסוק יט	Malbim Ezekiel 22:19			divided kingdom		Yochanyah	exile	20	Ezekiel	20	yes	no	yes	Malbim on Ezekiel 22:19					
יחזקאל פרק כג	Ezekiel 23:34							20	Ezekiel	21	yes	yes	yes	Ezekiel 23:34					
מדרש זוטא - איכה (בובר) פרשה א	Midrash Zuta – Eicha (Buber) parsha 1:7	Jerusalem	Holy Temple	destruction of the First Temple, time to come		Michael, Gavriel, The Holy One, Jeremiah	fire, kohen, mourning, angel, altar	20	Ezekiel	22	no	no	no	x	[ז] [א ב] כל רעיה בגדו בה. זה מיכאל וגבריאל שהיו מלמדים עליה זכות, אמר להם הקדוש ברוך הוא מי חביב עליכם. אמרו לו [ישראל ואחר ישראל] מי חביב עליכם, אמרו לו בית המקדש, אמר להם נשבע אני בשמי הגדול שאתם בעצמכם מציתים בי /בו/ את האור, מיד נטלו מיכאל וגבריאל שני לפידי אש והציתו אש בהיכל ה', והיה המקדש קורא קינה על עצמו, שנאמר ממרום שלח אש בעצמותי וירדנה (איכה א' י"ג), וכתיב מגיד מראשית אחרית (ישעיה מ"ו י'). כשבא אותו רשע עם המלכים לירושלים דמו ללכדו בזמן מועט, והקב"ה היה מחזק את אנשי ירושלים עד בשנה השלישית אולי יחזרו בתשובה, והיו גבורים בירושלים עד אין חקר, והיו נלחמים עם הכשדים ומפילים בהם חללים הרבה, והיה שם גבור אחד ושמו אביקא בן נבתרי, כשהיו אנשי החיל מקלעים באבנים גדולות להפיל החומה, היה מקבלם בידו ומשליכן על בני החיל והורג מהם הרבה, עד שהתחיל לקבל האבנים ברגלו והיה מחזירן לחיל, וגרם העון ובאת הרוח והפילתו מן החומה ונבקע ומת, באותה שעה נבקעה ירושלים ונכנסו הכשדים, מה עשה חנמאל דוד ירמיהו, השביע מלאכי השרת בשם והורידם מזוינים בכלי זיין על האומות, כיון שראו הכשדים כן, ברחו מפני אימתן, עד ששינה להם הקדוש ברוך הוא את שמותם, והעלם לרקיע ובקש חנמאל להורידן ולא יכול, לפי ששינה הקדוש ברוך הוא שמותם, מה עשה השביע את שר העולם בשם, והגביה את ירושלים ותלאה באויר, עד שבעט (בו) [בה] הקדוש ברוך הוא מן השמים ונפלה, הדא הוא דכתיב השליך משמים ארץ וגו' (איכה ב, א'), וכתיב גת דרך ה' לבתולת וגו' (שם /איכה/ א' ט"ו), ונכנסו כולם לירושלים ונבלעו החומות, הדא הוא דכתיב היה ה' כאויב בלע ישראל וגו' (שם /איכה/ ב' ה'), ונכנסו להיכל ובקשו לשרפו, עד שקרא הקדוש ברוך הוא לגבריאל ומיכאל ואמר להם מי חביב עליכם וכו', אמר לו הקדוש ברוך הוא לירמיהו לך והנבא על ישראל והיה משיב לפני הקדוש ברוך הוא לא ידעתי דבר כי נער אנכי (ירמיה א' ו'), לפי שאינו רוצה להתנבאות עליהם נבואה קשה, עד שאמר לו בטרם אצרך בבטן ידעתיך ובטרם תצא מרחם הקדשתיך נביא לגוים נתתיך (שם /ירמיהו/ א' ה'), מיד קיבל עליו נבואה והיה סבור ירמיה שאינו אלא אל הגוים, כיון שקיבל עליו ירמיה מיד אמר לו הקדוש ברוך הוא קח את כוס היין החמה וגו' (שם /ירמיהו/ כ"ה ט"ו). מיד נטלו ירמיה שנאמר ואקח את הכוס מיד ה' (שם שם /ירמיהו כ"ה/ י"ז), והיה סבור שאינו משקה אלא הגוים, וכך אמר לו הקדוש ברוך הוא צא ולמד מדרך ארץ, כלום משקים אלא למי שמסב בראש, ראה מי מסב בראש כל מדינות והשקה תחלה ירושלים שהיא מסבה בראש כל המדינות, משל למה הדבר דומה, לסוטה שנכנסה לעזרה לשתות מי סוטה, בא כהן להשקותה, והיה מסתכל והיא אמו, מיד נתבייש וחזר לאחוריו, והיה צועק ובוכה על אמו, כך ירמיה כשאמר לו הקדוש ברוך הוא השקה את ירושלים, היה צועק ובוכה, אמר לפניו רבונו של עולם לא כך אמרת לי נביא לגוים נתתיך (שם /ירמיהו/ א' ה'), עכשיו תחלת נבואתי באומה שלי, פתתני ה' ואפת חזקתני ותוכל (שם /ירמיהו/ כ' ז'), אמר לו הקדוש ברוך הוא כבר קבלת ואי אתה יכול להחזירן, מיד נטלו מידו ושתת אותו כלו, ולא עוד אלא שמצצה את חרסיה, שנאמר ושתית אותה ומצית ואת חרשיה תגרמי (יחזקאל כ"ג ל"ד). וכיון שראה ירמיה שנחתם גזר דינה של ירושלים, מיד היה צועק ונטל קינה איכה ישבה בדד, באותה שעה אמר לו הקדוש ברוך הוא מה אתה עומד, מיד פתח ואמר כה אמר ה' התבוננו וקראו למקוננות ותבאנה וגו' ותמהרנה ותשאנה עלינו נהי ותרדנה עינינו דמעה (ירמיה ט' ט"ז וי"ז), לומר לך כל זמן שישראל שרוים בצער אף הקדוש ברוך הוא שרוי עמהם בצער, שנאמר בכל צרתם לו צר (ישעיה ס"ג ט'), באותה שעה קרא אבל על כל מעשה בראשית, שנאמר אלביש שמים קדרות ושק אשים כסותם (שם /ישעיהו/ נ' ג'), וכתיב ויקרא ה' אלהים צבאות ביום ההוא לבכי ולמספד ולקרחה (שם /ישעיהו/ כ"ב י"ב). אמר ירמיה לפני הקדוש ברוך הוא מי פותח על ישראל קינה אתה או מלאכי השרת, אמר הקדוש ברוך הוא אני פותח תחלה, מיד פתח הקדוש ברוך הוא אהלי שודד וכל מיתרי נתקו בני יצאוני ואינם אין נוטה עוד אהלי ומקים יריעותי (ירמיה י' כ'), ומלאכי השרת עונין אחריו הן אראלים צעקו חוצה מלאכי שלום מר יבכיון (ישעיה ל"ג ז'), באותה שעה נכנסו מלאכי השרת לנחמו, ולא רצה לקבל תנחומין, הדא הוא דכתיב על כן אמרתי שעו מני אמרר בבכי אל תאיצו לנחמני על שוד בת עמי (שם /ישעיהו/ כ"ב ד'). אמר רבי יהושע בר חנניא מיום שחרב בית המקדש וחרבה ירושלם אין שמחה לפני הקדוש ברוך הוא עד שיבנה את ירושלים ויחזור את ישראל לתוכה, שנאמר וגלתי בירושלם וששתי בעמי ולא ישמע בה עוד קול בכי וקול זעקה (ישעיה ס"ה י"ט) אמן וכן יהי רצון.	“…all her friends have betrayed her…” (Lamentations 1:2) This refers to Michael and Gavriel who would speak in her merit. The Holy One said to them: who is precious to you? They replied: Israel. And after Israel who is precious to you? They said to Him: the Holy Temple. He said to them: I swear by My great name that you yourselves kindled the fire in Me [version: in it]. Immediately Michael and Gavriel took two torches and lit fire to the Temple of the Lord. The Temple cried a lament for itself, as it says “From above He has hurled fire into my bones, and it broke them…” (Lamentations 1:13) and it is written “I tell the end from the beginning…” (Isaiah 46:10) When that wicked one came with the kings to Jerusalem, they imagined that they would capture it quickly, but the Holy One strengthened the people of Jerusalem until the third year because perhaps they would repent. There were mighty men beyond count in Jerusalem who fought the Kasdim and slaughtered many of them. There was there one warrior whose name was Akiba ben Navtari – when the enemy soldiers would sling great stones to knock down the wall, he would catch them and throw them back at the enemy, killing many to the point that he began to catch them with his foot and throw them back. But sin caused the wind to come and knock him off the wall, and he fell to his death. At that moment Jerusalem was broken open and the Kasdim entered. What did Hanamel the Uncle of Jeremiah do? He bound the ministering angels by name with an oath and brought them down armed upon the nations. When the Kasdim saw this they fled before their terror. This went on until the Holy One changed their names and brought them up to the firmament. Hanamel sought to bring them down but he could not, because the Holy One had changed their names. What did he do? He bound the Minister of the World by name with an oath, and he lifted up Jerusalem and hung it in the air until the Holy One kicked it from the heavens and it fell. This is what is written “He has cast down from heaven to earth the glory of Israel…” (Lamentations 2:1) and it is written “…the Lord has trodden as in a wine press the virgin daughter of Judah.” (Lamentations 1:15) They all entered Jerusalem and the walls were swallowed up, as it is written “The Lord has become like an enemy; He has destroyed Israel…” (Lamentations 2:5) They entered into the Temple and sought to burn it, until the Holy One called to Gavri’el and Micha’el and said to them: who is precious to you, etc. The Holy One said to Jeremiah: go and prophecy to Israel. He replied before the Holy One “I know not to speak for I am a youth,” (Jeremiah 1:6) because he did not want to speak a difficult prophecy about them. This went on until He said to him “When I had not yet formed you in the womb, I knew you, and when you had not yet emerged from the womb, I had appointed you; a prophet to the nations I made you.” (Jeremiah 1:5) Immediately he accepted upon himself the prophecy, and he thought that the prophecy was only about the nations. Once Jeremiah accepted it upon himself, the Holy One said to him “Take this cup of the wine of fury from My hand…” (Jeremiah 25:15) and Jeremiah took it right away as it says “And I took the cup from the hand of the Lord…” (Jeremiah 25:17) He thought that he was only to give the nations to drink and this is what the Holy One said to him: go and learn proper manners – one only gives to drink he who sits at the head of the table. See who sits at the head of all the countries and give him to drink first - Jerusalem is the one who sits at the head of all countries. To what can this be compared? To an accused wife (sotah) who enters into the courtyard to drink the examining waters. The priest comes to make her drink, and he looks and sees that she is his mother. His is immediately abashed and retreats backwards, crying out and weeping over his mother. So too Jeremiah, when the Holy One said to him to make Jerusalem drink he cried out and wept. He said before Him: Master of the World! Did you not say to me “…a prophet to the nations I made you” (Jeremiah 1:5)? Now the beginning of my prophecy is upon my nation, “You enticed me, O Lord, and I was enticed…” (Jeremiah 20:7) The Holy One replied to him: you have already accepted and you may not give it back. Right away he took it from His hand and drank it all down. Not only this, but he scraped the clay as well, as it says “And you shall drink it and drain [it], and its shards you shall scrape…” (Ezekiel 23:34) Since Jeremiah saw that the judgment on Jerusalem was sealed, right away he began to cry out and to lament “O how has the city that was once so populous remained lonely!” (Lamentations 1:1) At that moment the Holy One said to him: why are you standing there? He immediately replied “Thus said the Lord of Hosts: Consider and call for the (hired) women mourners that they may come… O let them make haste and raise a wailing over us, so that our eyes may shed tears…” (Jeremiah 9:16-17) This is to tell you that so long as Israel is steeped in distress so the Holy One is together with them in distress, as it says “In all their trouble, He did not trouble…” (Isaiah 63:9) At that moment He declared mourning upon all of creation, as it says “I clothe the heavens with darkness, and I make sackcloth their raiment,” (Isaiah 50:3) and it is written “And the Lord God of Hosts called on that day, for weeping, and for lamenting and for baldness…” (Isaiah 22:12) Jeremiah said before the Holy One: who will open up with songs of lament for Israel, You or the ministering angels? The Holy One replied: I will begin. Immediately the Holy One opened up and said “My tent has been spoiled, and all my cords have been broken; my children have left me and they are not here. No one pitches my tent anymore, or sets up my curtains.” (Jeremiah 10:20) The ministering angels answered after Him “Behold for their altar they have cried in the street; ambassadors of peace weep bitterly.” (Isaiah 33:7) At that time the ministering angels came in to comfort Him, but He did not want to be comforted. This is what is written “Therefore, I said, ‘Leave Me alone; let Me cry bitterly; do not hasten to console Me concerning the pillaging of the daughter of My people.’” (Isaiah 22:4) R’ Yehoshua ben Chananya said: from the day on which the Holy Temple was destroyed, and Jerusalem was destroyed, there is no joy before the Holy One until Jerusalem will be rebuilt and Israel return to her, as it says “And I will rejoice with Jerusalem, and I will exult with My people, and a sound of weeping or a sound of crying shall no longer be heard therein.” (Isaiah 65:19) Amen, so let it be Your will.	x		Midrash Eicha Zuta
	Ezekiel 26:2	Jerusalem, Doors of the Peoples		destruction of the First Temple 			 				yes	yes	yes	Ezekiel 26:2					
	Malbim on Ezekiel 26:2	Jerusalem, Doors of the Peoples	Yehudah	Solomon's reign, David's reign, destruction of the First Temple		David, Shlomo	 	20	Ezekiel		yes	no	yes	Malbim on Ezekiel 26:2					
	Talmud Bavli Megillah 6a	Jerusalem					Caesarea	20	Ezekiel		yes	yes	yes	Talmud Megillah 6a:54-61					
יחזקאל פרק מא פסוק ז	Ezekiel 41:7							20	Ezekiel	23	yes	yes	yes	Ezekiel 41:7					
מדרש תהלים (בובר) מזמור סא	Midrash Tehillim mizmor 61:2	Jerusalem				Knesset Yisrael, The Holy One	prayer	20	Ezekiel	24	yes	no	yes	Midrash Tehillim 61:2-3			Translation does not match exactly.		
