Index Title,"The Five Books of Moses, by Everett Fox"
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Dietary Rules 3","It should be noted that, from vv.24–40, eating is not the issue, but rather coming into contact with the carcass of a <i>tamei</i> animal. The two areas are joined with the introduction of “swarming” creatures in vv.41–44, and the whole chapter concludes with a call to “separation.”"
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Dietary Rules 4","Refrains are many, giving the chapter a more poetic structure than one would expect from such a list: “it is <i>tamei</i> for you,” “it is a detestable-thing for you,” “it is an abominable-thing,” “according to its kind,” “<i>tamei</i> until sunset.” The overwhelmingly negative character of the refrains serves to drum in caution and promote avoidance."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Dietary Rules 5","Many of the animals on the lists of Lev. 11 are familiar, but it must be stressed that, as with plant and place-names in the Bible, a number of the precise identifications have been lost to us, and educated guesses are in order."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Childbirth 1",Leviticus 12:1-8
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Childbirth 2","This chapter, which is in chiastic relation to Chap. 15, designates a new mother as <i>tamei</i>, most likely due to her intimate contact with the life/death boundary during childbirth. Her separation from and reintegration into the community echo similar customs in many societies (see Bamberger); as often happens with life-cycle events, ritual here reflects what is happening psychologically. The doubling of the separation period when it is a girl that is born is best explained by the concept that a girl potentially doubles the “life-leak” that has taken place (Greenstein 1984a), since she will one day be a childbearing woman who will herself confront the life-death continuum."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Childbirth 3","While men obviously do not contract ritual pollution through childbirth, the concept of pollution from bodily discharges applies to them as well, as in the case of an involuntary emission of semen (cf. Chap. 15)."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Tzaraat 1",Leviticus 13
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Tzaraat 2",Notable in this chapter is the role of the priest, who functions neither as medicine man nor as doctor, but simply as a religious official whose duty it is to check the afflicted person for signs of what is considered ritually polluting, and to act accordingly.
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Tzaraat 3",Like other sections of Leviticus, this chapter and the next show signs of editing (for instance, the material in 13:47–59). Nevertheless, there is a clear structural pattern characterized by variations of “when … if … if” (Wenham).
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Tzaraat 4",The chapter’s character as “instruction manual” is brought out, according to Fishbane (1974), by its chiastic structure. It is built on three word-groups: (1) “swelling,” (2) “scab/spread,” (3) “shiny-spot” that recur in vv.4–38 (in the form: 3,2,1; 1,2,3; 3,2,1; 2,3). This “unexpected structure” (especially in a nonliterary text), he maintains, may have had the function of easing memorization for the priests, who needed to know this material for their “fieldwork.”
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Pollution from Childbirth 6",
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Purification from Tzaraat 1",Leviticus 14:1-57
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Purification from Tzaraat 2","In 13:44–45 we were informed about the diseased person’s isolation from the camp. We now turn to the ceremony attending his purification and, from v.33 on, that of a house. In a complex ritual that foreshadows the great Purgation ceremony of Chap. 16 (with some connections to the ritual of purging the impurity of death in Num. 19), <i>tzaraat</i> is removed from its dangerous position in the camp. Many aspects seem to be archaic and even tinged with magic; in Milgrom’s view, these characteristics survive only symbolically, and ancient Israel has rid itself of dependence on magic—in his words, it has “eviscerated” demonism."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Purification from Tzaraat 3","The substances used for purification—cedar, scarlet, hyssop—seem to connote life (and hence remove the death symbolism of <i>tzaraat</i>): they all bear the red color of blood, which itself was the great biblical indicator of life (cf. 17:11 below). Notable is the adjective “living,” applied to both the birds and the water utilized in the ceremony."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Purification from Tzaraat 4","The purification ritual itself, interestingly, parallels the consecration of the priests in Chap. 8. This is particularly evident in the fourfold dabbing of blood on the right extremities of the diseased person (cf. 8:23, 24 for the corresponding action). In Chap. 8, movement took place from the everyday sphere into that of the holy; here, the person with <i>tzaraat</i> moves from isolation to eventual reintegration into society (i.e., the camp)."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Purification from Tzaraat 5","<b>14:1 Y<small>HWH</small></b> spoke to Moshe, saying:"
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Polluting Discharges 1",Leviticus 15:1-33
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Polluting Discharges 2","This chapter concerns genital discharges—both those that arise from disease and those that are normal but involuntary. As Levine notes, sexual purity was crucial for approaching the Israelite sanctuary, as opposed to ancient Near Eastern rituals in general, where sexuality was frequently part and parcel of the worship of the gods."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, Polluting Discharges 3","Such pollution was considered much more contagious than that we have encountered previously, which is not surprising, given the area in which it falls. Wenham has noted the chiastic structure here, with male and female interchanging with short-term and long-term events. The core (vv.16–24)—the normal flows of seminal emissions for men and menstrual discharge from women—contrasts with discharges resulting from disease (vv.2–12, 25–27). The former merely pollute until sunset (except for the case of a couple having intercourse during the wife’s period), and thus demonstrate the modesty and restraint in matters of divine worship more than pointing to some kind of stigma per se."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Day of Purgation/Atonement 1",Leviticus 16:1-34
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Day of Purgation/Atonement 2","This chapter forms the climax of the section that began in Chap. 11. It is, along with Num. 19, the purification ritual par excellence, and has received much attention throughout the ages. As modern commentators have pointed out, two things are happening here: first, the sanctuary is being purged of the ritual pollution that has accumulated from both priests and laypeople; and second, the accumulated sins of the community are receiving atonement. It is not surprising, therefore, that the chapter is built on different uses of the verb <i>kipper</i>, which can denote covering, purging, atonement (expiation), or ransom; here the two meanings “purging” and “atoning” seem to fit the double context best. Probably the “purging” part is the earlier one, as many ancient Near Eastern cults utilized purification ceremonies for their sanctuaries."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Day of Purgation/Atonement 3","Appropriately, the ritual includes two processes, outlined by Levine: riddance, which involves transferring sin to a living creature and driving it outside the community into the uninhabited wilderness, and purification, which utilizes the blood of a sacrifice (rather like the <i>hattat</i> encountered previously in the book). Both rituals are conducted largely by Aharon, who as High Priest acts on behalf of the entire community."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Day of Purgation/Atonement 4","Later Judaism was fascinated by these rites; a detailed account of how they were to be conducted in postbiblical times has survived in the Mishnah (ed. c. 200), and a narrative version is still verbally reenacted by traditional Jews once a year on the Day of Atonement."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, The Day of Purgation/Atonement 5","The chapter opens with direct mention of the deaths of Nadav and Avihu (Chap. 10). This serves at least two purposes: first, it creates a bracket into which the Leviticus texts on pollution occur; and second, it reminds the audience of the pressing need to purify the sanctuary, whose very first recorded defilement came about as a result of the illegitimate act of Aharon’s sons."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, On the Shedding of Animal Blood 1",Leviticus 17:1-16
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, On the Shedding of Animal Blood 2","This chapter appears to be either an appendix to the first two parts of the book (sacrifices and purity) or a transition between them and the chapters on “holiness.” It must be said, however, that it does not use the standard wording of the holiness chapters. The text deals with the Israelites’ slaughtering of animals for food outside the sanctuary (“Dwelling”), insisting instead that such killing take place “at the entrance to the Tent of Appointment.” In contrast, Deut. 12:20ff. permits the slaughtering of animals for meat without bringing them to the sanctuary—provided that their blood is poured out (since the consumption of blood is universally prohibited in the Torah). Scholars disagree about which practice came first; some (e.g., Wenham) argue for a wilderness setting here, while others see the chapter as reflecting the antipagan feelings of postexilic Israel (Bamberger; cf. v.7). Whatever the provenance, our chapter is clear about the extraordinary power of blood in Israelite thinking. As the life, which belongs to God, it must be returned to him, either actually, at the altar, or symbolically, on the ground (Greenstein 1984a). Here it is seen as effecting ransom; the life of the sacrificial animal substitutes for that of the sacrificer (cf. “On Sacrifice,” above). The upshot is that the taking of animal life is done with extreme awareness and care."
"The Five Books of Moses, by Everett Fox, Leviticus, Part II; Ritual Pollution and Purification, On the Shedding of Animal Blood 3","The chapter is built at least partially on repeating sound patterns. A threefold refrain is “that man is to be cut off from his kinspeople,” stressing the seriousness of the prohibition. Four times we hear “any-man, any-man” (Heb. <i>ish ish</i>), reinforcing the unusually broad scope of the command indicated by the beginning of the chapter (“to Aharon and to his sons and to all the Children of Israel”). Finally, in v.10 through 15, the word <i>nefesh</i> occurs nine times, with the alternating meanings of “person” and “life” (the pattern is 1–3–1–3–1 in these meanings)."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 1",Leviticus 18–26
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 2","T<small>HE ADDITION OF</small> C<small>HAPTERS 18–26 CHANGES THE NATURE OF THE BOOK BEFORE US</small>. I<small>T</small> accomplishes this, not by introducing something entirely new into biblical thinking, but by broadening the base of God’s words to Moshe in Leviticus. In this book we have already encountered the “Holy-Shrine,” “holy-things,” “holy donations,” and the like; we have seen that Israel is to be “separate” from the nations around it in a variety of life areas. But now we move toward expansion of what was called for at the first moments at Sinai: for Israel to be a “[kingdom of priests and a] holy nation” (Ex. 19:6)."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 3","While the exact structure and setting of the Holiness Code, as these chapters were designated a century ago, are subject to scholarly debate, its thrust seems clear enough. Beginning with sexual relations, Israel is to be “holy,” “separate” from other nations. Holiness here has a connotation of wholeness and perfection; Wright (1992) has defined it as “that which is consistent with God and his character.”"
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 4","<i>Imitatio dei</i>, the human urge to be godlike, is an ancient, undoubtedly prehistoric one. We long to be linked with the primal powers of existence, whose rush we feel at heightened moments of <i>perception</i>, but whose perfection is always out of reach in the flesh and blood world of human beings. The Torah, in contrast, presents the longing for perfection and wholeness as properly expressed through a discipline of <i>behavior</i> in all areas of life, personal and communal. The central lines “Holy are you to be, / for holy am I, YHWH your God” (19:2) are followed by line after line calling for holiness in worship, agriculture, interpersonal relations, business, the treatment of the disabled and the elderly, court procedure, and sexuality, to list some of the areas covered."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 5","Many communities of the “elect,” from Qumran at the Dead Sea to medieval monasteries, and many individuals, from biblical Nazirites (Num. 6) to Sufi mystics and St. Francis, have sought to create lives suffused with holiness; one could easily maintain that many of the mainstream forms and ideas in Judaism, Christianity, and Islam have remained wedded to this approach. They all owe a debt, one way or the other, to Lev. 18–26, especially in the communal sphere. Rarely has the drive toward holiness found as full expression in a vision of “real life” society, grounded in the everyday world of people and institutions, as it does in the texts to be found in the following chapters."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 6","For many decades, debate has raged within the scholarly community as to the date and setting of H, the putative stratum of literature to which these chapters belong. As of this writing there is still not full agreement on (a) whether H was indeed a separate document or school, and (b) whether its origin and influence can be easily traced (cf., for instance, Knohl, and Milgrom 1993). These disagreements, however, should not and must not detract from the importance of what we have in these chapters: a significant statement of the ethical code of ancient Israel which continues to speak to contemporary problems."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 7",<img>
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness 8","<i>Lev. 19:35</i> You are not to commit corruption injustice, in measure, weight, or capacity…"
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Pollution from Forbidden Unions 1",Leviticus 18:1-30
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Pollution from Forbidden Unions 2","Now begin, thematically and stylistically, the chapters on holiness. Like much of this final section of the book, Chap. 18 is distinguished by its powerful use of rhetoric (cf. vv.3–5, similar in tone to much of Deuteronomy). Separation returns as a major theme, this time stressing the divide between Israel and the nations around (vv.3 and 27–30). The emphasis on sexuality mirrors that on food in Chap. 11; the two often reflect each other in culture, both in practice and in imagery Thus the wording here (“it is insidiousness,” “it is perversion”) parallels the rhetoric of Chap. 11 (“it is abomination,” “it is a detestable-thing”). Structurally, just as the laws on pollution began with categories of and distinctions between animals for the purpose of eating, so the holiness laws begin with categories of and distinctions between partners for the purposes of sexual relations (Eilberg-Schwartz, Goodman). The confusing of boundaries again becomes a grave matter."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Pollution from Forbidden Unions 3","In Schwartz’s (1987) view, the list of forbidden women goes through a sequence from close relatives, to indirect ones, to women related to each other, and finally to other cases of “abomination.” In general, the list deals with women whose sexuality and reproductivity are controlled by males (Wegner 1992)—in other words, it reflects a highly patriarchal society."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Pollution from Forbidden Unions 4","An odd omission of sexual prohibitions is the one between a man and his daughter; perhaps it was universally understood as the primary one, and hence did not require mentioning."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Pollution from Forbidden Unions 5","Refrains in the chapter, which create its backbone, include “I am Y<small>HWH</small> your God” and the constant “the nakedness of X you are not to expose.” Late in the chapter, the words “abomination” and “<i>tum’a</i>” frequently recur."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, General Regulations on Holiness I 1",Leviticus 19:1-37
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, General Regulations on Holiness I 2","As the key chapter of this part of Leviticus, Chap. 19 is wide-ranging and rhetorically powerful. It extends holiness to virtually all areas of life—family, calendar, cult, business, civil and criminal law, social relations, and sexuality. Most (but not all) of the laws deal with what we would term ethics, that is, relations between people (Wenham notes the alternation of the terms “fellow [citizen],” “kinsman,” and “neighbor”). As such, they have become an exemplar and a cornerstone, at least in idealized form, in Western thinking about these issues."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, General Regulations on Holiness I 3","Structurally speaking, the chapter is not systematic. As Schwartz (1987)has noted, this is probably intentional, reflecting the desire to avoid categorization or compartmentalization of life before God. He lays out the structure of the core part of the chapter, vv.3–32, as discrete subsections, each ending with “I am Y<small>HWH</small> [your God],” with vv.33–36 as two appendices, and a summary in v.37."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, General Regulations on Holiness I 4","The opening (v.2) is crucial, even though the word-root “holy” does not recur in the chapter (it does, however, reverberate within the next four chapters). The style is predominantly apodictic—“You are not to …,” as was Chap. 18, and concentrates mostly on the negating of certain kinds of behavior. At the same time, the chapter makes a moving positive plea for proper treatment of the elderly, the poor, and, in general, one’s “neighbor” (which is extended to the foreigner [“sojourner”] in vv.33–34)."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, General Regulations on Holiness II 1",Leviticus 20:1-27
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, General Regulations on Holiness II 2","We move now into laws dealing with some of the more serious offenses against God in the biblical view: idolatry (including worship of the “Molekh” and consulting spirits), insulting parents, adultery, and sexual crimes. These are distinguished from the previous chapter by the inclusion of punishments; their seriousness is indicated by their capital nature. The reiteration of sexual laws forms a bracket with Chap. 18, thus highlighting the central position and rhetoric of 19. Another bracket, this time within the chapter, involves the chiasm of necromancy and the exhortation to be holy (vv.6–7 and 26–27). Finally, while the motifs of the Israelites avoiding pagan practices, and the land “vomiting out” its wrongdoers, return from Chap. 18, there is a further throwback (vv.24–26): to Chap. 11, where “separation” from the nations was a major issue in terms of diet."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Holiness; Priests I 1",Leviticus 21:1-24
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Holiness; Priests I 2","This chapter, and the one that follows, relate holiness to the suitability of priests to serve in the sanctuary. The laws are in the main negative ones, that is, they outline ways in which a priest may be disqualified. The first part of the chapter concentrates on how contact with death disqualifies a priest; in Levine’s view, this avoidance of the dead reflects the Bible’s abhorrence of pagan cults centered around death. The laws concerning soundness of body and sexuality confirm earlier passages on holiness as wholeness."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Holiness; Priests I 3",The central word-root is again “holy”; six times in Chaps. 21–22 we hear the refrain “I am Y<small>HWH</small> the one-who-hallows you/them.”
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Holiness; Priests II 1",Leviticus 22:1-33
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Holiness; Priests II 2","The priestly rules on holiness continue, with special attention given to the priest’s proper state when he eats of the “holy donations.” The second part of the chapter, from v.17 on, turns to the state of the sacrificial animals. They are to be without blemish, just as the priests must be (cf. Chap. 21). This correspondence between human and animal has been noted before; it is part of Leviticus’s general scheme of a perfect God requiring perfection in worship."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Holy Days 1",Leviticus 23:1-44
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Holy Days 2","Having dealt with holiness in such areas as worship, family life, ethics, priestly qualifications and behavior, and sacrificial animals and objects, the text now turns to holiness in time: the sacred calendar. While all ancient societies marked sacred time, in Judaism as it evolved out of the Bible the calendar took on particular significance, especially in the situation of exile. The centrality of time in Judaism has been articulately portrayed by Heschel; here we will limit discussion to the fullest of the biblical sacred calendars (others occur in Ex. 23 and 34, and Deut. 16), the one set forth in the present chapter."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Holy Days 3","The scheme is characteristically Levitical—it focuses on order and perfection, expressing these qualities by the use of the number 7, which was used thus in a number of ancient Near Eastern cultures. A partial list in this regard would include: 7 days from sabbath to sabbath; 7 days of two major festivals, spring and fall; 7 weeks between the two pilgrimage festivals in the spring; and all the holy days falling within the first 7 months of the year, with a major cluster occurring in the seventh month. To this could be added material from other passages in the Torah: 7 years to every sabbatical year (Ex. 23:10–11, Lev. 25:2–7, Deut. 15:1–3); and 7-times-7 years (plus one) till each Jubilee year (Lev. 25:8–17). One could go further (cf. the discussion and lists in Jenson), but the thrust should be clear: time, as well as space and behavior, is to be ordered in a way that again reflects divine perfection. One might also mention the continuation of this kind of thinking in both later Judaism and Christianity, which looked upon history itself in a schematic way."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Holy Days 4","As laid out in Leviticus, the sacred days of the seventh month follow a conventional ancient pattern described by Gaster (1961): the dying of the old year (“mortification” and “purgation,” as expressed in Rosh Ha-Shanah and Yom Kippur), followed by the birth of the new year (“invigoration” and “jubilation,” as expressed in Sukkot). The biblical calendar, then, evolved along dual tracks—lunar-solar (lunar months of 29 or 30 days, with an extra month added in late winter, 7 times every 19 years); and spring/fall new year (Passover falls in the “first month,” but the full new year pattern, as we have mentioned, is played out in the fall)."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Holy Days 5","A final indication of a late provenance for Chap. 23’s calendar lies in the long treatment (vv.9–22, a third of the chapter) of Shavuot, the “Feast of Weeks.” The emphasis seems to be on land here, suggesting a resettlement motif that would be particularly appropriate after the exile in Babylonia."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Holy Days 6","Theme words in the chapter include: “appointed-times,” “proclamation of holiness,” “throughout all your settlements,” “a fire-offering to YHWH,” and “anykind of servile work you are not to do.” V39–43, on the practice of and rationale behind Sukkot, seem to be another addition to the text, as they disrupt its natural flow."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Miscellany 1",Leviticus 24:1-23
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Miscellany 2","Two issues, unrelated to what has gone before, are treated here: certain ritual objects in the Dwelling (oil/lamps and “showbread”), and the story of a man who insulted God and therefore had to be executed (along with further rules about capital crimes). The function of this chapter is not clear; perhaps it serves as a breather between the important sections on sacred days (23) and land tenure (25). It is also possible (as Levine notes) that chapters such as this one and Num. 15 serve as a repository for various cultic laws that needed a location. There are two other places in the Torah where a brief passage on the lights in the sanctuary may originally have served to separate sections: the end of Ex. 27 and the beginning of Num. 8. If so, that function no longer is as major as it once might have been."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Miscellany 3","The first two parts (2–4 and 5–9) are linked by their common vocabulary: “take,” “arrange,” “regularly,” and “before the presence of Y<small>HWH</small>” (Wenham). The second section (vv. 10–23) is united by its chiastic structure (cf. Wenham here as well). It has points of contact with material in the Exodus laws, but here with the characteristic addition (v.22) of “I, Y<small>HWH</small>, am your God.”"
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Land and Slavery 1",Leviticus 25:1-55
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Land and Slavery 2","A final area of holiness that Leviticus discusses is that of ownership. The rules set forth in this chapter are based on the assumption that land, a most precious commodity in the ancient (and modern) Near East, and human beings, equally precious in the Bible, are not in fact the property of other human beings. The phrases “the land is not to be sold inharness, / for the land is mine” (v.23) and “For my servants are they … they are not to be sold as the sale of serfs” (v.42) express the main corollary: God is the sole owner of land and people. The chapter, then, sets out regulations that make perpetual human ownership of these impossible. In the case of land, not only is the soil to rest every seven years, but every fifty years (7 × 7 + 1), the land is to be “released” back to its original owner (who “redeems” it). Similarly, indentured servants—those who are forced into working for someone because of debts—are redeemable, if not by kin then by the occurrence of the Jubilee year."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Regulations Concerning Land and Slavery 3","Several things about the chapter suggest a late date to Levine. Redemption focuses on the individual rather than on the clan; “at Mount Sinai” might indicate an editorial hand; and the passages here, unlike their counterparts in Ex. 21 and Deut. 15, concentrate less on eradicating poverty than on ensuring that property stays in the family over generations. Indeed, some of the conditions presupposed by the chapter suggest the situation portrayed in Neh. 5, after the Babylonian Exile."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Conclusion; Blessings and Curses 1",Leviticus 26:3-45
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Conclusion; Blessings and Curses 2","The initial ending of Leviticus (Chap. 27 was added later) follows a pattern common to treaties in the ancient Near East: it provides blessings for remaining loyal to God (the suzerain) and curses for spurning him. A similar pattern, with greater rhetoric and emotional force, occurs in Deut. 28–30, with briefer examples in Ex. 23:25ff. and Josh. 24:20. The blessings center around peace and its attendant benefit, agricultural abundance; the curses detail, in increasing force, the calamities brought on by war: famine, defeat, and ultimately exile. That the curses take up much more room than the blessings is not surprising, given the didactic nature of the chapter; this is also characteristic of ancient Near Eastern suzerain-vassal treaty literature, where the major emphasis is placed on what will happen if the pact is violated. Later Jewish tradition dealt with the devastating tone and content of the curses by prescribing that, when read publicly as part of the weekly Torah cycle, they be chanted in an undertone."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Conclusion; Blessings and Curses 3","The structure of the chapter gives strong indication that there has been considerable editorial work here, and that may explain some of the difficulties in the later parts of the chapter. The confusion may well reflect the passage of time during and after the fall of Jerusalem to the Babylonians in 587 <small>B.C.E.</small>, and thus an evolving response to the catastrophe. The pattern (suggested by H. L. Ginsberg, who is quoted by Levine) moves from doom to hope, and then to an explanation of why restoration has been delayed. In any event, it should be noted (as Levine does) that the curses are not all doom; they do, at various points, leave the door open for Israel’s “turning,” a point much emphasized by the Prophets."
"The Five Books of Moses, by Everett Fox, Leviticus, Part III; Holiness, Conclusion; Blessings and Curses 4","Lev. 26 is the first great monotheistic response to catastrophe, built on the idea that human beings have the capacity to influence their own fate by obeying or disobeying God. In Judaism, which was to experience numerous such catastrophes over the course of its history, literary response became an important mode of coping. Christianity took its own characteristic path in answering some of the same issues on a personal level."
"The Five Books of Moses, by Everett Fox, Leviticus, An Appended Chapter, Appendix; Support for the Sanctuary 1",Leviticus 27
"The Five Books of Moses, by Everett Fox, Leviticus, An Appended Chapter, Appendix; Support for the Sanctuary 2","Clearly a later addition to Leviticus, Chap. 27 provides for the upkeep of the sanctuary through a variety of means: donations of silver; pledging animals or property which is later redeemed for silver; confiscated property; and tithes. The nature of the text as appendix is obvious, given the finality of tone in the previous chapter, but it could also be said that 27 provides an appropriate ending to Leviticus, since it talks about dedication of property to God, as the book does in regard to all areas of life."
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 1",Numbers 1-36
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 2","T<small>HE READER WHO APPROACHES THE BOOK OF</small> N<small>UMBERS UNDER THE INFLUENCE OF ITS</small> common Hebrew name, <i>Bemidbar</i>, “In the Wilderness,” will logically expect a narrative account of the wanderings of the Israelites before they reach the Promised Land. But the book in its present form is a great deal more than that. To be sure,it contains stories of the long trek from Egypt to Canaan, with moments of triumph and difficulty, obedience and rebellion. Some of the great narratives of the Pentateuch are here, from the account of Korah’s revolt (Chap. 16) to Moshe’s sin (20) to Bil'am’s recalcitrant donkey (22). But the book also features census and sacrificial donation lists; details of the setup of Israel’s camp; the duties of the Levites in the traveling sanctuary; laws regarding wives suspected of adultery and those who take on extraordinary vows; a complicated and mysterious ritual for removing the extreme ritual pollution carried by death; a doubled tale about daughters inheriting land; and a host of other rules and regulations."
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 3","It is this composite character and apparent lack of easily definable structure that imbue the book with fascination for scholars and with frustration for lay readers. While the four other books of the Torah also mix narrative, law, poetry, and cultic regulations, none of them has combined and alternated these genres with such abandon. There are a number of possible explanations for this. First, it is conceivable that Numbers as we have it reflects the desire to preserve as many traditions about the wilderness wanderings as possible; as Greenberg (1972) has demonstrated with the traditions about the revelation on Mount Sinai, it may have been more important to collect everything relevant than to create a smooth or seamless text. Second, here as elsewhere in the Torah, narrative may serve to introduce law or to provide the preceding background for it. Third, there is an aesthetic consideration: the great rebellion stories in the center of the book, to give an example, are separated from one another by prescriptive legal passages. Earlier books in the Torah similarly utilize breaks of varying lengths (e.g., the genealogical lists in Genesis, the Tabernacle texts of Exodus). The result is to highlight both narrative and law, and also to provide a large-scale rhythm to the book (Milgrom comments on the consistent alternating pattern)."
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 4","The kind of literary mixture that we find in Numbers goes beyond that rabbinic dictum that “the Torah speaks in human language.” It suggests that, far from betraying human frailties in the composition or transmission of the traditions presented in Numbers, a purposeful and powerful hand has been at work. More than any other book in the Torah, this one gives evidence of an editorial process. While the finished product may not be able to help us unravel the detailed history of that process, we may at least observe that much has been added to the wilderness narratives, in a way that transforms them into a patterned view of Israel’s early history."
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 5","Recent commentaries see a two- or three-part structure to Numbers, based either on geography—the Sinai Wilderness, Kadesh, the plains of Moab—or chronology. Since the book as we have it is not entirely clear about either area— there seems to be internal disagreement about where the spies (Chap. 13) left from and went, and also about when the forty-year punishment began—I am in general agreement with Olson’s scheme of seeing the book as “The Death of the Old and the Birth of the New,” that is, the slave generation and that of their children, which are set apart by the two census lists in Chapters 1 and 26. But the differences between Chapters 1–10 and 11–25 must also be taken into account. I propose the following theoretical structure:"
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 6",I In the Wilderness of Sinai: The Camp
