Ii Kings 1:1,And Moav rebelled against Israel after the death of Ah’av.
Ii Kings 14:2,"Twenty-five years old was he on his becoming king,
and for twenty-nine years he reigned as king in Jerusalem;
his mother’s name was Yehoaddan, from Jerusalem."
Ii Kings 14:3,"He did what was right in the eyes of Y<small>HWH</small>—
however, not like David his father;
exactly as Yoash his father had done, he did."
Ii Kings 14:4,"However, the sanctuaries were not removed;
the people still were offering-sacrifices and sending-up-smoke at the sanctuaries."
Ii Kings 14:5,"Now it was
when the kingdom was strong in his hand,
that he struck down [those of] his servants who had struck down the king his father."
Ii Kings 14:6,"But the sons of those who had struck [him] down he did not put to death,
as is written in the Record of the Instruction of Moshe which Y<small>HWH</small> commanded, saying:
Fathers are not to be put to death for sons, and sons are not to be put to death for fathers;
rather, each for his own sin is to be put to death!"
Ii Kings 14:7,"It was he who struck down Edom in the Valley of Salt, ten thousand,
and took the Boulder in battle;
he called its name Yokte’el, until this day."
Ii Kings 14:8,"Then Amatzya sent messengers to Yehoash son of Yehoahaz son of Yehu king of Israel, saying:
Come, let us see each other’s face [in battle]!"
Ii Kings 14:9,"Yehoash king of Israel sent [word] to Amatzyahu king of Judah, saying:
The briar that is in the Levanon sent [word] to the cedar that is in the Levanon, saying:
Give your daughter to my son as a wife!
But a beast of the open-field that is in the Levanon crossed by and trampled the briar."
Ii Kings 14:10,"You struck, yes, struck down Edom,
but your heart lifts you up [in arrogance]!
Keep your glory and stay at home!
Why should you stir up evil for yourself
and fall, you and Judah with you?"
Ii Kings 14:11,"But Amatzyahu would not hearken,
so Yehoash king of Israel went up, and they saw one another’s faces [in battle], he and Amatzyahu king of Judah,
at Bet-Shemesh that belongs to Judah."
Ii Kings 14:12,"And Judah was defeated before Israel,
and they fled, each to his tent."
Ii Kings 14:13,"And Amatzyahu king of Judah, son of Yehoash son of Ahazyahu, Yehoash king of Israel seized at Bet-Shemesh;
then he came to Jerusalem and breached the wall of Jerusalem,
from the Efrayim Gate to the Corner Gate, four hundred cubits,"
Ii Kings 14:14,"and he took all the gold and the silver and all the vessels that were found in the House of Y<small>HWH</small> and in the treasuries of the king’s house, along with hostages.
Then he returned to Shomeron."
Ii Kings 14:15,"Now the rest of the events of Yehoash, [and] what he did, and his mighty-deeds, and how he engaged in battle with Amatzyahu king of Judah—
are they not written in the Record of Yearly Events of the Kings of Israel?"
Ii Kings 14:16,"Yehoash lay beside his fathers;
he was buried at Shomeron, beside the kings of Israel,
and Yorov’am his son reigned as king in his place."
Ii Kings 14:17,And Amatzyahu son of Yehoash king of Judah lived after the death of Yehoash king of Israel for fifteen years.
Ii Kings 14:18,"Now the rest of the events of Amatzyahu—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 14:19,"They conspired a conspiracy against him in Jerusalem, and he fled to Lakhish;
they sent [men] after him to Lakhish, and they put him to death there."
Ii Kings 14:20,"Then they carried him back on horses,
and he was buried in Jerusalem, beside his fathers, in the City of David."
Ii Kings 14:21,"And all the people of Judah took Azarya
—he was sixteen years old—
and made him king in place of his father Amatzyahu."
Ii Kings 14:22,"It was he who rebuilt Elat and restored it to Judah,
after the king lay beside his fathers."
Ii Kings 14:23,"In year fifteen of the years of Amatzyahu son of Yehoash king of Judah,
Yorov’am son of Yoash became king over Israel at Shomeron,
for forty-one years."
Ii Kings 14:24,"He did what was evil in the eyes of Y<small>HWH</small>:
he did not turn aside from all the sins of Yorov’am son of Nevat, who had caused Israel to sin."
Ii Kings 14:25,"It was he who restored the border of Israel
from Levo-Hamat to the Sea of the Plain,
in accordance with the word of Y<small>HWH</small> the God of Israel
which he had spoken by the hand of his servant Yona son of Amittai the prophet, who was from Gat Ha-Heyfer,"
Ii Kings 14:26,"for Y<small>HWH</small> saw the affliction of Israel, exceedingly bitter [as it was],
with none but the fettered, none but the forsaken—
and no one to help Israel."
Ii Kings 14:27,"But Y<small>HWH</small> had not resolved to wipe out the name of Israel from under the heavens,
so he delivered them by the hand of Yorov’am son of Yoash."
Ii Kings 14:28,"Now the rest of the events of Yorov’am and all that he did, his mighty-deeds when he waged battle,
how he recovered Damascus and Hamat for Israel—
are they not written in the Record of Yearly Events of the Kings of Israel?"
Ii Kings 14:29,"Yorov’am lay beside his fathers, beside the kings of Israel,
and Zekharyahu his son reigned as king in his place."
Ii Kings 15:1,"In year twenty-seven of the years of Yorov’am king of Israel,
Azarya son of Amatzya king of Judah became king."
Ii Kings 15:2,"Sixteen years old was he at his becoming king,
and for fifty-two years he reigned as king in Jerusalem;
his mother’s name was Yekholyahu, from Jerusalem."
Ii Kings 15:3,"He did what was right in the eyes of Y<small>HWH</small>,
exactly as Amatzya his father had done."
Ii Kings 15:4,"However, the sanctuaries were not removed;
the people were still offering-sacrifices and sending-up-smoke at the sanctuaries."
Ii Kings 15:5,"And Y<small>HWH</small> afflicted the king, so that he had <i>tzaraat</i> until the day of his death;
he had to stay in the Separate House,
while Yotam the king’s son was [The One] Over the House,
leading the Landed People."
Ii Kings 15:6,"Now the rest of the events of Azaryahu, and all that he did—
are they not written in the Record of Yearly Events of the
Kings of Judah?"
Ii Kings 15:7,"Azarya lay beside his fathers;
they buried him beside his fathers, in the City of David,
and Yotam his son reigned as king in his place."
Ii Kings 15:8,"In year thirty-eight of the years of Azaryahu king of Judah,
Zekharyahu son of Yorov’am became king over Israel in Shomeron, for six months."
Ii Kings 15:9,"He did what was evil in the eyes of Y<small>HWH</small>, as his fathers had done:
he did not turn aside from the sins of Yorov’am son of Nevat, who had caused Israel to sin."
Ii Kings 15:10,"And Shallum son of Yavesh conspired against him;
he struck him down at Yivle’am, and put him to death, and became king in his place."
Ii Kings 15:11,"Now the rest of the events of Zekharya—
here, they are written in the Record of Yearly Events of the Kings of Israel."
Ii Kings 15:12,"That is the word of Y<small>HWH</small> which he spoke to Yehu, saying:
Sons to the fourth generation shall have seat for you on the throne of Israel.
And thus it was."
Ii Kings 15:13,"Shallum son of Yavesh became king in year thirty-nine of the years of Uziyya king of Judah;
he reigned as king for a month of days in Shomeron."
Ii Kings 15:14,"And Menahem son of Gadi, from Tirtza, went up and came to Shomeron;
he struck down Shallum son of Yavesh in Shomeron, and put him to death, and became king in his place."
Ii Kings 15:15,"Now the rest of the events of Shallum, and his conspiracy which he conspired—
here, they are written in the Record of Yearly Events of the Kings of Israel."
Ii Kings 15:16,"Then Menahem struck Tappuah and all who were in it, and its territory, [proceeding] from Tirtza, since it would not open [its gates];
he struck it, and all its pregnant women he split open."
Ii Kings 15:17,"In year thirty-nine of the years of Azarya king of Judah,
Menahem son of Gadi became king over Israel,
for twenty years in Shomeron."
Ii Kings 15:18,"He did what was evil in the eyes of Y<small>HWH</small>:
he did not turn aside from the sins of Yorov’am son of Nevat, who had caused Israel to sin."
Ii Kings 15:19,"In his days, Pul king of Assyria came against the land,
and Menahem gave Pul a thousand talents of silver to have his hands be with him, to keep the kingdom strong in his hand."
Ii Kings 15:20,"And Menahem imposed a silver [payment] on Israel, from all the mighty-men of value, to give [as payment] to the king of Assyria:
fifty <i>shekels</i> of silver for [each] one man.
So the king of Assyria turned back,
and did not stay there in the land."
Ii Kings 15:21,"Now the rest of the events of Menahem, and all that he did—
are they not written in the Record of Yearly Events of the Kings of Israel?"
Ii Kings 15:22,"Menahem lay beside his fathers,
and Pekahya his son reigned as king in his place."
Ii Kings 15:23,"In year fifty of the years of Azarya king of Judah,
Pekahya son of Menahem became king over Israel in Shomeron, for two years."
Ii Kings 15:24,"He did what was evil in the eyes of Y<small>HWH</small>:
he did not turn aside from the sins of Yorov’am son of Nevat, who had caused Israel to sin."
Ii Kings 15:25,"And Pekah son of Remalyahu, his officer, conspired against him;
he struck him down in Shomeron, in the citadel of the king’s house, with [men from] Argov and the Aryei
—and along with him were fifty men of the Children of the Gil’adites—
and he put him to death and became king in his place."
Ii Kings 15:26,"Now the rest of the events of Pekahya, and all that he did—
here, they are written in the Record of Yearly Events of the Kings of Israel."
Ii Kings 15:27,"In year fifty-two of the years of Azarya king of Judah,
Pekah son of Remalyahu became king over Israel in Shomeron,
for twenty years."
Ii Kings 15:28,"He did what was evil in the eyes of Y<small>HWH</small>:
he did not turn aside from the sins of Yorov’am son of Nevat, who had caused Israel to sin."
Ii Kings 15:29,"In the days of Pekah king of Israel,
Tiglat Pil’eser king of Assyria came;
he took Iyyon and Avel Bet-Maakha and Yanoah and Kedesh and Hatzor
and the Gil’ad and the Galilee,
all the region of Naftali,
and he exiled them to Assyria."
Ii Kings 15:30,"Then Hoshe’a son of Ela conspired a conspiracy against Pekah son of Remalyahu;
he struck him down and put him to death, and became king in his place,
in year twenty of Yotam son of Uziyya."
Ii Kings 15:31,"Now the rest of the events of Pekah, and all that he did—
here, they are written in the Record of Yearly Events of the Kings of Israel."
Ii Kings 15:32,"In year two of Pekah son of Remalyahu king of Israel,
Yotam son of Uziyyahu became king, king in Judah."
Ii Kings 15:33,"Twenty-five years old was he when he became king,
and for sixteen years he reigned as king in Jerusalem;
his mother’s name was Yerusha daughter of Tzadok."
Ii Kings 15:34,"He did what was right in the eyes of Y<small>HWH</small>:
exactly as Uziyyahu his father had done, he did."
Ii Kings 15:35,"However, the sanctuaries were not removed;
the people were still offering-sacrifices and sending-up-smoke at the sanctuaries.
It was he who built the Upper Gate of the House of Y<small>HWH</small>."
Ii Kings 15:36,"Now the rest of the events of Yotam, which he did—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 15:37,"In those days
Y<small>HWH</small> first sent out against Judah
Retzin king of Aram and Pekah son of Remalya."
Ii Kings 15:38,"Yotam lay beside his fathers;
he was buried with his fathers in the City of David, his father,
and Ahaz his son became king in his place."
Ii Kings 16:1,"In year seventeen of the years of Pekah son of Remalyahu,
Ahaz son of Yotam, king of Judah became king."
Ii Kings 16:2,"Twenty years old was he at his becoming king,
and for sixteen years he reigned as king in Jerusalem.
He did not do what was right in the eyes of Y<small>HWH</small> his God, like David his father,"
Ii Kings 16:3,"but he walked in the way of the kings of Israel,
and even had his son cross through the fire,
[just] like the abominations of the nations whom Y<small>HWH</small> had dispossessed before the Children of Israel."
Ii Kings 16:4,"He offered-sacrifices and sent-up-smoke at the sanctuaries and on the hilltops,
and under every luxuriant tree."
Ii Kings 16:5,"Then Retzin king of Aram and Pekah son of Remalyahu king of Israel went up to Jerusalem for battle;
they besieged Ahaz, but could not overcome [him] in battle."
Ii Kings 16:6,"—At that time Retzin king of Aram restored Elat to Edom:
he expelled the Judahites from Elat,
while Edomites came to Elat and settled there, until this day.—"
Ii Kings 16:7,"So Ahaz sent messengers to Tiglat Pil’eser king of Assyria, saying:
Your servant and your son am I!
Come up and deliver me from the hand of the king of Aram and from the hand of the king of Israel, who have risen up against me!"
Ii Kings 16:8,"And Ahaz took the silver and the gold that were found in the House of Y<small>HWH</small> and in the treasuries of the king’s house,
and sent a bribe to the king of Assyria."
Ii Kings 16:9,"And the king of Assyria hearkened to his [plea];
the king of Assyria went up to Damascus, seized it, and exiled it to Kir,
while Retzin he put to death."
Ii Kings 16:10,"Then King Ahaz went to meet Tiglat Pil’eser king of Assyria at Damascus,
and he saw the sacrificial-altar that was in Damascus,
so King Ahaz sent to Uriyya the priest a likeness of the altar and its pattern, including all [the details for] its making."
Ii Kings 16:11,"And Uriyya the priest built the altar;
exactly as King Ahaz had sent from Damascus, so did Uriyya the priest make,
by the time King Ahaz came back from Damascus."
Ii Kings 16:12,"The king came back from Damascus,
and the king looked over the altar.
Then the king drew near to the altar, and went up on it;"
Ii Kings 16:13,"he sent-up-in-smoke his offering-up and his gift-offering, and poured out his poured-offering,
and he sprinkled the blood of the <i>shalom</i>-offerings that he had against the altar."
Ii Kings 16:14,"As for the bronze altar that was in the presence of Y<small>HWH</small>,
he brought it near from in front of the House, from between the [new] altar and the House of Y<small>HWH</small>,
and placed it on the flank of the [new] altar, northward."
Ii Kings 16:15,"And King Ahaz commanded Uriyya the priest, saying:
On the large altar, send-up-in-smoke the morning offering-up, the evening gift, the offering-up of the king and his grain-gift,
and the offering-up of all the Landed People and their gifts, along with their poured-offerings;
and all the blood of the offerings-up and all the blood of the [<i>shalom-</i>]sacrifice, you are to sprinkle against it,
while the bronze altar is to be mine to frequent."
Ii Kings 16:16,"So Uriyya the priest did
just as King Ahaz had commanded."
Ii Kings 16:17,"And King Ahaz stripped the rims of the stands
and removed the basin from them,
while the Sea he took down from the bronze oxen that were beneath it,
and placed it on the pavement of stones;"
Ii Kings 16:18,"and the covered-passage for the Sabbath which they had built in the House and the king’s outer entrance, he removed from the House of Y<small>HWH</small>,
on account of the king of Assyria."
Ii Kings 16:19,"Now the rest of the events of Ahaz, [and] what he did—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 16:20,"Ahaz lay beside his fathers;
he was buried with his fathers, in the City of David,
and Hizkiyyahu his son reigned as king in his place."
Ii Kings 17:1,"In year twelve of Ahaz king of Judah,
Hoshe’a son of Ela became king in Shomeron, over Israel,
for nine years."
Ii Kings 17:2,"He did what was evil in the eyes of Y<small>HWH</small>—
however, not like the kings of Israel who were before him."
Ii Kings 17:3,"Against him Shalman’eser king of Assyria came up,
and Hoshe’a became servant to him
and rendered him tribute."
Ii Kings 17:4,"But the king of Assyria found conspiracy in Hoshe’a,
in that he sent messengers to So king of Egypt
and did not send up tribute to the king of Assyria as year after year.
So the king of Assyria arrested him and bound him over to the prison house."
Ii Kings 17:5,"And the king of Assyria went up throughout all the land;
he went up to Shomeron and laid siege to it, for three years."
Ii Kings 17:6,"In the ninth year of Hoshe’a, the king of Assyria captured Shomeron,
and he exiled Israel to Assyria;
he settled them in Halah and on the Havor, the River Gozan, and the towns of Media."
Ii Kings 17:7,"So it was,
because the Children of Israel had sinned against Y<small>HWH</small> their God,
the one bringing them up from the land of Egypt, from under the hand of Pharaoh king of Egypt,
and had held other gods in awe,"
Ii Kings 17:8,"and had walked in the customs of the nations which Y<small>HWH</small> had dispossessed before the Israelites
and of the kings of Israel, which they had observed;"
Ii Kings 17:9,"and the Children of Israel had imputed things which are not so to Y<small>HWH</small> their God,
and had built themselves sanctuaries throughout all their towns,
from guards’ tower to fortified town;"
Ii Kings 17:10,"and had set up standing-pillars and Ashera-poles for themselves, on every lofty hill and beneath every luxuriant tree,"
Ii Kings 17:11,"and had sent-up-smoke there, at all the sanctuaries, like the nations whom Y<small>HWH</small> had exiled before them,
and had done evil things, to provoke Y<small>HWH</small>,"
Ii Kings 17:12,"and had served Illicit-Things
about which Y<small>HWH</small> had said to them:
You are not to do this thing!"
Ii Kings 17:13,"And Y<small>HWH</small> had warned Israel and Judah by the hand of every prophet, every seer, saying:
Turn back from your evil ways and keep my commandments and my regulations,
according to all the Instruction that I commanded your fathers
and which I sent to them by the hand of my servants the prophets."
Ii Kings 17:14,"But they had not hearkened;
they had hardened their neck, like the neck of their fathers,
who had not trusted in Y<small>HWH</small> their God,"
Ii Kings 17:15,"and they had rejected his rules and his covenant which he had cut with their fathers,
and his warnings by which he had warned them;
and they had walked after futility and became futile [themselves],
and after the nations that were around them, about whom Y<small>HWH</small> had commanded them to not do like them;"
Ii Kings 17:16,"they had abandoned all the commandments of Y<small>HWH</small> their God
and had made for themselves something molten—two calves,
and had made an Ashera-pole
and bowed down to all the Forces of the Heavens
and served Baal;"
Ii Kings 17:17,"and they had made their sons and their daughters cross through the fire,
and they had augured augury and practiced divination,
and had sold themselves to do what was evil in the eyes of Y<small>HWH</small>, provoking him—"
Ii Kings 17:18,"so Y<small>HWH</small> became exceedingly angry at Israel, and he removed them from his presence;
none remained, save the tribe of Judah alone."
Ii Kings 17:19,"But even Judah did not keep the commandments of Y<small>HWH</small> their God;
they walked in the customs of Israel which they had observed."
Ii Kings 17:20,"And so Y<small>HWH</small> rejected all the seed of Israel;
he afflicted them and gave them into the hand of pillagers,
until he had cast them out from his presence."
Ii Kings 17:21,"When he had torn Israel away from the House of David
and had made Yorov’am son of Nevat king,
Yorov’am had led Israel away from [following] after Y<small>HWH</small>
and had caused them to sin a great sin."
Ii Kings 17:22,"And the Children of Israel had walked in all the sins of Yorov’am son of Nevat which he wrought,
and had not turned aside from it,"
Ii Kings 17:23,"until Y<small>HWH</small> removed Israel from his presence,
as he had promised by the hand of all his servants the prophets.
So Israel was exiled from its soil to Assyria,
until this day."
Ii Kings 17:24,"And the king of Assyria brought [people] from Babylon, from Kuta, from Avva, from Hamat, and from Sefarvayim,
and settled them in the towns of Shomeron, in place of the Children of Israel;
they took possession of Shomeron, and settled in her towns."
Ii Kings 17:25,"Now it was:
at the start of their settlement there, they did not hold Y<small>HWH</small> in awe,
so Y<small>HWH</small> sent out lions against them,
and they were killing [some] among them."
Ii Kings 17:26,"So they said to the king of Assyria, saying:
The nations whom you exiled and resettled in the towns of Shomeron
do not know the practices of the god of the land,
so he has sent out lions against them;
here, they are causing their death,
as they do not know the practices of the god of the land."
Ii Kings 17:27,"So the king of Assyria commanded, saying:
Have one of the priests whom I exiled from there go there,
let him go and settle there, and instruct them in the practices of the god of the land."
Ii Kings 17:28,"So one of the priests whom they had exiled from Shomeron came
and settled at Bet-El,
and he was instructing them how they should hold Y<small>HWH</small> in awe."
Ii Kings 17:29,"But each-nation, each-nation went on making their own gods;
they put them in the sanctuary buildings that the Shomeronites had made,
each-nation, each-nation in their towns in which they had settled:"
Ii Kings 17:30,"the men of Bavel made Sukkot Benot,
and the men of Kut made Nergal,
and the men of Hamat made Ashima,"
Ii Kings 17:31,"and the Awites made Nivhaz and Tartak,
and the Sefarvites were burning their children in fire to Adrammelekh and to Anammelekh, the gods of Sefarvayim."
Ii Kings 17:32,"Now they went on holding Y<small>HWH</small> in awe,
but they [also] made for themselves, from [all] their quarters, priests for the sanctuaries;
they went on making [worship] for them at the sanctuary buildings."
Ii Kings 17:33,"Now Y<small>HWH</small> they held in awe,
while their gods they went on serving,
according to the practice of the nations from among whom they had been exiled."
Ii Kings 17:34,"To this day they do, according to their earlier practices:
they do not hold Y<small>HWH</small> in awe;
they do not do according to their laws, according to their practice,
or according to the Instructions and the commandments that Y<small>HWH</small> commanded the Children of Yaakov, whose name he appointed Israel."
Ii Kings 17:35,"But Y<small>HWH</small> had cut a covenant with them and had commanded them, saying:
You are not to hold other gods in awe,
you are not to bow down to them,
you are not to serve them,
and you are not to sacrifice to them!"
Ii Kings 17:36,"Rather, Y<small>HWH</small>,
who brought you up from the land of Egypt with great power and an outstretched arm,
him you are to hold in awe,
to him you are to bow down, to him you are to sacrifice!"
Ii Kings 17:37,"The laws and the practices, the instruction and the commandment that he wrote down for you,
you are to keep, observing it all the days [of your life];
you are not to hold other gods in awe!"
Ii Kings 17:38,"The covenant that I cut with you, you are not to forget;
you are not to hold other gods in awe!"
Ii Kings 17:39,"Rather, Y<small>HWH</small> your God you are to hold in awe—
and <i>he</i> will rescue you from the hand of all your enemies."
Ii Kings 17:40,"But they did not hearken,
rather, according to their former practice they went on doing."
Ii Kings 17:41,"So these nations have been holding Y<small>HWH</small> in awe,
but their idols they have gone on serving,
and also their children and their children’s children:
as their fathers did, [so] they go on doing,
until this day."
Ii Kings 18:1,"Now it was in year three of Hoshe’a son of Ela, king of Israel:
Hizkiyya son of Ahaz, king of Judah, became king."
Ii Kings 18:2,"Twenty-five years old was he at his becoming king,
and for twenty-nine years he reigned as king in Jerusalem;
his mother’s name was Avi daughter of Zekharya."
Ii Kings 18:3,"He did what was right in the eyes of Y<small>HWH</small>,
exactly as David his father had done:"
Ii Kings 18:4,"it was he who removed the sanctuaries
and smashed the standing-pillars
and cut down the Ashera-pole
and crushed to bits the Viper of Copper that Moshe had made,
for until those days, the Children of Israel used to send-up-smoke to it
—it was called Copperviper."
Ii Kings 18:5,"On Y<small>HWH</small> the God of Israel did he rely;
after him there was no one like him among all the kings of Judah,
[nor] of those who were before him."
Ii Kings 18:6,"He clung to Y<small>HWH</small>,
and did not turn aside from [following] after him,
but he kept his commandments, which Y<small>HWH</small> had commanded Moshe."
Ii Kings 18:7,"So Y<small>HWH</small> was with him;
wherever he went out, he prospered.
He rose-in-revolt against the king of Assyria, and would not serve him."
Ii Kings 18:8,"It was he who struck the Philistines as far as Gaza and its territories,
from guards’ tower to fortified town."
Ii Kings 18:9,"Now it was in the fourth year of King Hizkiyyahu
—that is the seventh year of Hoshe’a son of Ela king of Israel—
Shalmaneser king of Assyria came up against Shomeron and laid siege to it,"
Ii Kings 18:10,"and he took it at the end of three years;
in year six of Hizkiyyahu—that is year nine of Hoshe’a king of Israel—
Shomeron was captured."
Ii Kings 18:11,"The king of Assyria exiled Israel to Assyria;
he led them off to Halah and Havor, the River Gozan and the towns of Media,"
Ii Kings 18:12,"because they had not hearkened to the voice of Y<small>HWH</small> their God,
but had crossed his covenant,
all that he had commanded Moshe, the servant of Y<small>HWH</small>—
they had not hearkened, they had not done [it.]"
Ii Kings 18:13,"In the fourteenth year of King Hizkiyya,
Sanheriv king of Assyria came up against all the fortified towns of Judah and seized them."
Ii Kings 18:14,"And Hizkiyya king of Judah sent to the king of Assyria at Lakhish, saying:
I have sinned—turn back from me;
whatever you place upon me, I will bear.
So the king of Assyria imposed upon Hizkiyya king of Judah
three hundred talents of silver and thirty talents of gold;"
Ii Kings 18:15,"and Hizkiyya gave over all the silver that was found in the House of Y<small>HWH</small>
and in the treasuries of the king’s house."
Ii Kings 18:16,"At that time,
Hizkiyya stripped the doors of Y<small>HWH</small>’s Great-Hall,
and the posts which Hizkiyya king of Judah had overlaid,
and gave them to the king of Assyria."
Ii Kings 18:17,"But the king of Assyria sent the Field-Marshal and the Chief Official and the Chief Cupbearer from Lakhish to King Hizkiyyahu with a weighty army to Jerusalem;
they went up and came to Jerusalem,
and when they had gone up and come, they stopped at the channel of the Upper Pool that is by the road of the Washer’s Field"
Ii Kings 18:18,"and called for the king.
And Elyakim son of Hilkiyyahu, [The One] Over the House,
and Shevna the [Royal] Scribe
and Yoah son of Asaf the Herald went out to them."
Ii Kings 18:19,"The Chief Cupbearer said to them:
Now say to Hizkiyyahu:
Thus says the Great King, the king of Assyria:
What is this reliance on which you rely?"
Ii Kings 18:20,"Do you really think that [mere] words from lips
are counsel and might for battle?
Now, on whom do you rely, that you have risen-in-revolt against me?"
Ii Kings 18:21,"Now here, you have relied for yourself on this snapped shaft of a reed, on Egypt,
which when a man leans on it, it enters his palm and punctures it!
That is Pharaoh king of Egypt to all who rely on him!"
Ii Kings 18:22,"And if you say to me:
On Y<small>HWH</small> our God we rely—
is it not he whose sanctuaries and whose altars Hizkiyyahu removed
and said to Judah and to Jerusalem:
Before this sacrificial-altar [alone] you are to bow down, in Jerusalem!?"
Ii Kings 18:23,"So-now, pray make a wager with my lord, with the king of Assyria:
I will give you two thousand horses
if you are able to place riders upon them!"
Ii Kings 18:24,"So how will you turn away the face of a single governor of the least of my lord’s servants?
Yet you rely for yourself on Egypt for chariotry and horsemen!"
Ii Kings 18:25,"And now [too],
is it without Y<small>HWH</small> that I have come up against this place, to bring it to ruin?
It is Y<small>HWH</small> who said to me:
Go up against this land and wreak ruin upon it!"
Ii Kings 18:26,"Then Elyakim son of Hilkiyyahu and Shevna and Yoah to the Chief Cupbearer said:
Pray speak to your servants in Aramaic, for we understand it,
but do not speak with us in Judean within earshot of the fighting-people who are on the wall!"
Ii Kings 18:27,"But the Chief Cupbearer said to them:
Is it to your lord and to you that my lord has sent me to speak these words?
Is it not to the men sitting on the wall,
[who will have] to eat their filth and drink the “water of their legs” with you?"
Ii Kings 18:28,"And the Chief Cupbearer stood forth and called out in a loud voice in Judean,
he spoke and said:
Hearken to the word of the Great King, the king of Assyria:"
Ii Kings 18:29,"Thus says the king:
Do not let Hizkiyyahu deceive you,
for he is not able to rescue you from my hand,"
Ii Kings 18:30,"and do not let Hizkiyyahu make you rely on Y<small>HWH</small>, saying:
Y<small>HWH</small> will rescue, yes, rescue us;
this city will not be given into the hand of the king of Assyria!"
Ii Kings 18:31,"Do not hearken to Hizkiyyahu,
for thus says the king of Assyria:
Make me a blessing-gift, and come out to me [in surrender],
and each will eat of his vine, each of his fig tree,
and each will drink waters of his cistern,"
Ii Kings 18:32,"until my coming to take you away to a land like your land,
a land of new-wine and grain, a land of bread and vineyards, a land of shining olive oil and honey,
that you may live and not die.
So do not hearken to Hizkiyyahu
when he incites you, saying:
Y<small>HWH</small> will rescue us!"
Ii Kings 18:33,"Did the gods of the [other] nations rescue, yes, rescue their land from the hand of the king of Assyria?"
Ii Kings 18:34,"Where are the gods of Hamat or Arpad?
Where are the gods of Sefarvayim, Heina, and Ivva?
Indeed, did they rescue Shomeron from my hand?"
Ii Kings 18:35,"Who is it among all the gods of these lands that rescued their land from my hand,
that Y<small>HWH</small> should rescue Jerusalem from my hand?"
Ii Kings 18:36,"But the people were silent, and did not answer him a word,
for it was the king’s command, saying:
You are not to answer him!"
Ii Kings 18:37,"Then Elyakim son of Hilkiyya, [The One] Over the Household, and Shevna the Scribe, and Yoah son of Asaf the Herald, came to Hizkiyyahu, with torn garments,
and they told him the words of the Chief Cupbearer."
Ii Kings 19:1,"It was, when King Hizkiyyahu heard,
that he tore his garments
and covered himself in sackcloth
and came into the House of Y<small>HWH</small>."
Ii Kings 19:2,"Then he sent Elyakim, [The One] Over the Household, and Shevna the Scribe, and the elders of the priests, covered in sackcloth,
to Yesha’yahu the prophet, son of Amotz;"
Ii Kings 19:3,"they said to him:
Thus says Hizkiyyahu:
A day of distress, rebuke, and scorn is this day,
for children have come to the womb-breaking,
but strength there is none for giving birth!"
Ii Kings 19:4,"Perhaps Y<small>HWH</small> your God will hear all the words of the Chief Cupbearer with which the king of Assyria, his lord, sent him to mock the Living God
and will give rebuke because of the words that Y<small>HWH</small> your God has heard—
so lift up a prayer on behalf of the remnant that is found!"
Ii Kings 19:5,"So the servants of King Hizkiyyahu came to Yesha’yahu,"
Ii Kings 19:6,"and Yesha’yahu said to them:
Thus are you to say to your lord:
Thus says Y<small>HWH</small>:
Do not be afraid before the words that you have heard,
with which the serving-lads of the king of Assyria have blasphemed me!"
Ii Kings 19:7,"Here, I will put a spirit in him,
so that he hears some hearsay and has to return to his land,
and I will cause him to fall by the sword in his land!"
Ii Kings 19:8,"The Chief Cupbearer returned and found the king of Assyria engaging in battle against Livna,
for he had heard that he had marched on from Lakhish."
Ii Kings 19:9,"He heard [a report] about Tirhaka king of Kush, saying:
Here, he has gone out to engage in battle with you!
So he sent messengers back to Hizkiyyahu, saying:
Thus are you to say to Hizkiyyahu king of Judah, saying:"
Ii Kings 19:10,"Do not let your God on whom you rely beguile you, saying [to yourself]:
Jerusalem will not be given into the hand of the king of Assyria!"
Ii Kings 19:11,"Here, <i>you</i> have heard what the kings of Assyria did to all the [other] lands, devoting-them-to-destruction—
so will <i>you</i> be rescued?"
Ii Kings 19:12,"Did the gods of the nations whom my fathers brought to ruin rescue them:
Gozan and Harran,
Retzef and the Children of Ehden who were in Telassar?"
Ii Kings 19:13,"Where is he, the king of Hamat, or the king of Arpad, or the king of La’ir, of Sefarvayim, Heina, and Ivva?"
Ii Kings 19:14,"Hizkiyyahu took the letter from the hand of the messengers and read it;
then he went up to the House of Y<small>HWH</small>,
and Hizkiyyahu spread it out in the presence of Y<small>HWH</small>."
Ii Kings 19:15,"And Hizkiyyahu prayed in the presence of Y<small>HWH</small>, he said:
O Y<small>HWH</small>, God of Israel, [Who is] Seated on the Winged-Sphinxes,
you are God, you alone, of all the kingdoms of the earth;
<i>you</i> made the heavens and the earth."
Ii Kings 19:16,"Incline, O Y<small>HWH</small>, your ear and hearken;
open, O Y<small>HWH</small>, your eyes and see,
and hear the words of Sanheriv which he sent to mock the Living God!"
Ii Kings 19:17,"In truth, O Y<small>HWH</small>, the kings of Assyria have laid waste to nations and their land[s],"
