l,a,n,g,u,a,g,e
s,e,r,v,e,r
v,e,r,s,i,o,n,T,i,t,l,e
v,e,r,s,i,o,n,S,o,u,r,c,e
Torah.1,A<small>CKNOWLEDGMENTS</small>
"Torah, Iv: the Instructions For the Dwelling and the Cult.13","Moderns want to know where the Israelites procured such materials as gold and silver in quantity (see Chap. 38), or how they acquired the skills necessary for the fine artisanry involved (e.g., weaving, dyeing, manufacture of incense, and the setting of jewels). These questions, while logical in a historical setting, do not take the Bible on its own terms. The text appears to present the awed report of the Dwelling and its construction without leaving room for totally practical issues (just as Gen. 4 deals with Cain and his descendants without being concerned with the origins of Cain’s wife)."
"Torah, V: the Covenant Broken and Restored.1",(32–34)
"Torah, V: the Covenant Broken and Restored.2","W<small>ITHOUT THE STORY THAT FOLLOWS</small>, <small>THE BOOK OF</small> E<small>XODUS WOULD BE INCOMPLETE OR</small> at least hopelessly idealistic and idealized. Thanks to the inclusion of the Golden Calf episode, we recognize the people of Israel so familiar from the bulk of the wilderness narrative—stubborn, untrusting, and utterly unable to comprehend what has just occurred at Sinai (note the parallel between this section and 15:22ff.: after witnessing the awesome displays of God, the people fall prey to typical human anxieties about their own survival). We are also given a classic biblical description of God in this story—that he is demanding but also compassionate."
"Torah, V: the Covenant Broken and Restored.3","There is no doubt that the narrative wishes to portray the breaking of the recently made covenant, and also to focus once again on the anxiety about God’s presence that pervades the whole book. Some see it as a political polemic, given that a similar story is found in I Kings 12:28ff., about Jeroboam’s split from the Solomonic monarchy; according to this theory, the Exodus account is a projection backward of the sin of the Northern Kingdom. Jeroboam, leading a secessionist movement, intended to set up a sanctuary to rival Jerusalem. At the same time, the Exodus story does appear first, and thereby helps to explain why Jeroboam’s deed was considered so terrible by later generations."
"Torah, V: the Covenant Broken and Restored.4","But surely the Golden Calf story plays such an important role in the present book of Exodus as to sidestep the question of which version came first. It puts into sharp relief the nature of the people, its leader, and its God, and provides some insights into the complex relationships between these parties; it focuses particular aspects of the Tabernacle idea (see above); and it makes clear the difficulties of the emerging faith community."
"Torah, V: the Covenant Broken and Restored.5","The story also contributes some welcome dramatic scenes at this point. It is as if the reader has awakened from a dream: major characters, including God himself, reemerge as real personalities, while secondary characters (Aharon and Yehoshua) are fleshed out. Everywhere there are fierce emotions: doubt, anger, panic, pleading for mercy, courage, fear. And, indeed, the entire enterprise of Exodus hangs in the balance, as God wishes only to destroy the faithless people (a rough parallel exists in Gen. 22, where all that has previously been promised to Avraham is threatened). Only after the stark emotions just mentioned have been cathartically absorbed, and the covenant restored, can there be a return to the task at hand—the building of an abode for the divine amid the very human community of Israel. As to the stylistic aspects of the story, we should note the repeated use of the verbs “see” and “know,” among others. Their transformation at different points of the story signals a return to these earlier Exodus themes, this time with a new urgency and a new enterprise at stake: the continuity of the fledgling people."
"Torah, V: the Covenant Broken and Restored.6","<img src=""images/Art_P5.jpg"" alt=""art""/>"
"Torah, V: the Covenant Broken and Restored.7",<i>Ex. 32:8</i> … they have made themselves a molten calf …
"Torah, Vi: the Building of the Dwelling.1",(35–40)
"Torah, Vi: the Building of the Dwelling.2","A<small>S IF NOTHING HAD GONE AWRY</small>, <small>THE NARRATIVE NOW RETURNS TO DESCRIBE HOW THE</small> Dwelling was built. This time, as was noted by the sages of the Talmud, the order follows the natural logic of construction (i.e., dwelling, tapestries, covering, boards, sockets, bars, etc., and then the ritual objects), rather than the earlier one of sanctity (i.e., coffer, purgation-cover, table, lampstand, etc., and then the structure itself). The most notable omission is the carrying out of priestly ordination; that is reserved for Lev. 8, perhaps so as not to interfere with the narrative momentum of the construction process, or else to focus more on the Dwelling itself and its divine resident. The only major interruption in this part is 38:21–31, which fits in with one of the important themes of these chapters: the extent of the Israelites’ contribution to the sanctuary."
"Torah, Vi: the Building of the Dwelling.3","As there is no need to repeat what was said about each part of the Tabernacle in the commentary to Chaps. 25–31, the commentary here will be limited to brief remarks on the differences between the two long Tabernacle sections (Parts IV and VI); here Cassuto has provided most of the necessary material."
"Torah, Schematic Floor Plan of the Dwelling.1","<img src=""images/Art_P6.jpg"" alt=""art""/>"
"Torah, Schematic Floor Plan of the Dwelling.2","According to the measurements given in Chaps. 25–30, the proportions are as follows:"
"Torah, Schematic Floor Plan of the Dwelling.3","Perfect Squares (1:1) are the Outer Court, the Inner Court, the Holiest Holy-Shrine, the Slaughter-site, and the Site for Incense."
"Torah, Schematic Floor Plan of the Dwelling.4","Perfect Rectangles (2:1) are the whole structure, the Holy-Shrine, and the Table."
"Torah, Schematic Floor Plan of the Dwelling.5","The relationship of the whole structure to each court is 2:1, as is that of the Holy-Shrine to the Holiest Holy-Shrine."
"Torah, Schematic Floor Plan of the Dwelling.6","The relationship of the entrances (Entrance, Screen, and Curtain) is 2:1:1."
"Torah, Schematic Floor Plan of the Dwelling.7","The Coffer and the Slaughter-site appear to stand at the exact centers of their respective squares. They share proportions different from those above: their length/width/height ratios are 5:3:3 (Coffer) and 5:5:3 (Slaughter-site). The departure from the standard 2:1 ratio may be an attempt to draw attention to these two holy objects, which functioned as the spiritual as well as geographical centers of the Israelite encampment in the wilderness."
"Torah, To Aid the Reader of Leviticus Numbers Deuteronomy.1","I<small>N THE</small> P<small>REFACE</small>, <small>I POINTED OUT THAT MUCH HAS CHANGED IN BIBLICAL SCHOLARSHIP</small> since the inception of Buber and Rosenzweig’s work. Nowhere is this as true as in reference to the last three books of the Torah. In the case of Leviticus, although the Israelite cult was of intense interest to nineteenth-century Protestant scholars such as Wellhausen, and Jewish scholars such as David Hoffmann, there has been a flowering of new work on this book in the last few decades. The opening up of ancient Near Eastern material on sacrifice and ritual, made possible by the scholarship of philologists, archaeologists, and comparativists in this century, and recent insights of anthropology, now bring to Leviticus a new level of comprehension and appreciation."
"Torah, To Aid the Reader of Leviticus Numbers Deuteronomy.2","Most outstanding in this regard is the work of Milgrom and Levine, who have also greatly advanced the understanding of the book of Numbers. The contributions of these scholars properly constitute in each case a lifework, and one cannot study Leviticus or Numbers without a close reading of what they have done. If as translator I have accepted only a percentage of what they have suggested, that is due to the constraints imposed by my method, and also to the unenviable task of deciding between them in areas where they disagree. Any reader serious about studying the Torah must consult their work. In line with these developments, I should note that I have relied less on B-R in translating the last three books than I did with the first two."
"Torah, To Aid the Reader of Leviticus Numbers Deuteronomy.3","A similar situation obtains in the case of Deuteronomy, with the many years of research done by Weinfeld. But the work of the three scholars mentioned here should not exclude the many fine commentaries that have appeared since the turn of the century, whether in such series as the International Critical Commentary or in individual volumes or studies of Israelite cult and law, by Jews and Christians alike. Then, too, the reader may turn to the <i>Anchor Bible Dictionary</i>, or the shorter <i>Harper’s Bible Dictionary</i>, for instance, for an in-depth look at many issues. Finally, I would like to single out the helpful introductions by Hallo in the Plaut commentary; these are now reprinted with additional material in Hallo 1991."
"Torah, To Aid the Reader of Leviticus Numbers Deuteronomy.4","I have therefore approached the last three books of the Torah with some trepidation and caution, knowing that to present them for the general reader in translation, and through brief notes and commentary, is an undertaking full of potential pitfalls. But these books, no less than the more famous and accessible first two, constitute the “instruction” or “teaching” found in the Five Books of Moses, and are well worth the effort required to experience them. The reader is directed to the works mentioned in “Suggestions for Further Reading” for the opportunity to digest the great wealth of material now available."
"Torah, To Aid the Reader of Leviticus Numbers Deuteronomy.5","For the sake of simplification, in the Commentary and Notes to these books, citations from the major commentaries of Levine, Milgrom, Weinfeld, and now Tigay (appearing variously in <i>The Anchor Bible</i> and <i>The New JPS Commentary</i>) are not followed by their publication dates; these appear in the “Suggestions” section just mentioned. The same holds for the Leviticus commentaries of Bamberger (in Plaut) and Wenham."
"Torah, Leviticus.1","<img src=""images/line.jpg"" alt=""art""/>"
"Torah, Leviticus.2",L<small>EVITICUS</small>
"Torah, Leviticus.3","<img src=""images/line.jpg"" alt=""art""/>"
"Torah, Leviticus.4",N<small>OW</small> H<small>E</small> C<small>ALLED</small>
"Torah, On Translating Leviticus.1","T<small>HE BOOK OF</small> L<small>EVITICUS</small>, <small>ALONG WITH OTHER PARTS OF THE</small> T<small>ORAH THAT DEAL WITH</small> cultic and legal matters, presents particular problems for a translator who chooses to work in the Buber-Rosenzweig mode. There are a number of technical terms which, in addition to their constant repetition in the text, inviting overemphasis on strangeness, are difficult to render accurately into English. For their part, Buber and Rosenzweig translated what they understood as the meaning of these terms, even if it meant creating new words in German that made little sense to someone not familiar with the Hebrew concepts. Some examples are found below."
"Torah, On Translating Leviticus.2","My initial inclination was to leave the names of sacrifices, etc., in Hebrew transcription, but I have come to feel that this places an undue burden on the English reader. With some reservations I have therefore opted for a mix of transcription and translation."
"Torah, On Translating Leviticus.3","Buber saw the names of several sacrifices as suggesting movement between the human and the divine. Thus the names of the two most common sacrifices, <i>korban</i> and <i>ola</i>, were rendered “Nearbringing” and “Highbringing” in B-R. I have utilized “near-offering” and “offering-up”; in the case of the former, the intent of the text may simply have been to indicate what the worshiper “brings-near” to the altar, although the effect was certainly understood to bring humans closer to God. A third type of sacrifice, the <i>minha</i>, which B-R rendered as “leading-gift,” always indicates a “grain-gift” in cultic texts. My German predecessors would undoubtedly not have approved of my less radical approach to these terms; I have, however, followed them in retaining “bringing-near” as a verb, denoting variously “to bring,” “to sacrifice,” and “to officiate” (in the sanctuary), which I have indicated in the Notes."
"Torah, On Translating Leviticus.4","As for <i>hattat</i> and <i>asham</i>, these two key sacrifices have a number of meanings in the text. I have chosen to retain them in transcription, providing occasional translations on location or explanations in the notes."
"Torah, On Translating Leviticus.5","A most important term in the priestly material is the adjective <i>tamei</i> (along with its noun, <i>tum’a</i>). The word refers to a ritual state, the existence of which was understood in ancient Israel as a grave danger to the “purity” of the sanctuary. It is not, however, “uncleanness” in the physical sense, but a state akin perhaps to radioactivity: in this case, it drives away the divine presence from Israel (cf. Greenstein 1984a for another analogy). B-R used “stained/tainted” in their translation; most recent scholars use “polluted” and “pollution” to describe the phenomenon. I have accepted the latter in my discussions below but have chosen to stay with Hebrew transcription in the text itself, allowing for a wider and less overtly negative form of the term. Were I in a flippant mood brought on by political correctness, I might suggest “ritually challenged” for <i>tamei</i>."
"Torah, On Translating Leviticus.6","One more problem in translating Leviticus is worthy of mention. A Buber-Rosenzweig type of rendition is fairly adaptable for narrative and even poetry; but in legal and cultic passages, such as we find in abundance in Leviticus, it imposes huge constraints on the translator. Recent English translations such as JPS and the New Revised Standard Version have conveyed the basic meaning of these passages in reasonably clear language. I, on the other hand, have not found it possible to avoid awkward English in this material. I hope nevertheless that, despite the difficulties involved for the reader, the rhetoric and structure—and sometimes the obscurity—of the Hebrew, which left the text open to later disagreement and interpretation, will still be visible and instructive."
"Torah, On Translating Leviticus.7","A final note on translation practices. Buber and Rosenzweig did not always hold to the principle of one Hebrew root, one corresponding German root, if this was unimportant or simply an impossibility. I have similarly on occasion deviated from full consistency in translating certain words. So, for instance, I found that the many different uses of Heb. <i>shamor</i>—“guard,” “keep,” “take-care”—simply could not be standardized in translation. In the main, when I have found it possible to connect passages via their standardized language in the Hebrew, I have done so in English."
"Torah, On the Book of Leviticus and Its Structure.1","F<small>OR MOST LAY READERS</small>, <small>THE THIRD OF THE</small> F<small>IVE BOOKS OF</small> M<small>OSES PRESENTS FORMIDA</small>ble obstacles. Many people find it difficult to relate to the description of ritual slaughter of animals and the disposal of their blood and flesh in the opening section of the book, or to the detailed prescriptions regarding bodily functions, skin disease, and mold in Chapters 12–15. Others experience Leviticus as obscure: Why exactly do Aaron’s sons die in Chapter 10? How can one explain the ritual of the scapegoat in Chapter 16? A frequently encountered reaction to the book is the desire to get on to the book of Numbers—which at least has some intriguing narratives such as Moses’ sin and punishment, the faint-heartedness of the spies, and Balaam’s reversed prophecies."
"Torah, On the Book of Leviticus and Its Structure.2","Yet Leviticus, as it has been placed in the Torah, signals that something of singular importance is at work. The book, after all, occurs at the center of the overall five-book structure. Unlike the other four, it is set entirely around Mount Sinai, and so it forms, geographically as well as structurally, the heart of the Torah document. In addition, the priestly interests so clearly presented in Leviticus appear throughout the Torah: as genealogical lists (Genesis, Exodus, Numbers), descriptions of rituals (Exodus, Numbers, Deuteronomy), and details about the building of the desert “Dwelling” of God (Exodus). Indeed, the opening chapter of it all, Gen. 1 (the Creation story), has strong links in both its themes and terminology with the priestly law."
"Torah, On the Book of Leviticus and Its Structure.3","Leviticus in fact presents a significant strain, conventionally termed the “priestly” view, in biblical thought. Anthropologically considered, it sheds important light on the outlook of some of those who compiled and read the Hebrew Bible. And the process did not stop there. Many of the categories found in Leviticus were continued and expanded by later Judaism: regulations concerning sexuality and diet, concepts of separation and holiness, and how to deal with one’s fellow human beings in a variety of economic and social settings. These found expression in different but still recognizable form simultaneously in the development of Christianity."
"Torah, On the Book of Leviticus and Its Structure.4","In late antiquity Leviticus was known as <i>Torat Kohanim</i>, the Priestly Instruction (or simultaneously understood, as Levine suggests, as the Instruction of the Priests). Given both the concerns of the priestly writers and the wording they use to express those concerns, I see Leviticus as the Book of Separations, the book in which are set forth distinctions between a whole range of aspects of ancient Israelite experience and practice: holy and profane; ritual purity and pollution; permitted and forbidden in sexuality and diet; Israelites and others; and priests, Levites, and common folk among the Israelites. This near-obsession with drawing lines (or, as Douglas has presented it, concentric circles) may in some sense reflect the position of Israel in the ancient Near East as a small, beleaguered newcomer in a region of hoary empires, situated on land that was constantly invaded by both great powers and local foes. It may also be an echo of the larger Bronze Age and Iron Age process of change from the former, well-nigh universal worship of the Mother Goddess, to the later patriarchal societies with which the Western world still deals through its three monotheistic religions and their cultural outgrowths."
"Torah, On the Book of Leviticus and Its Structure.5","Overarching the theme of separations or distinctions, through much of the book, is the polarity of order/disorder, represented best in Leviticus by the problem of life and death. As many scholars have noted, regulations regarding sacrifice here connect up with symbolically offering up human life—through the substitution of an animal—to the deity; blood is avoided at all costs, due to its connoting life. Animals that may be used for food (as well as for sacrifice) are in the main those which do not consume other living creatures. Pollutants which endanger the purity of the sanctuary (“Dwelling”) include bodily emissions which the Israelites connected with death (e.g., menstrual blood and “wasted” semen). Finally, the complex system of purification from some kind of skin disease may well originate in the similarity between disease and death. In sum, then, it is no surprise that, two books later, the Deuteronomic Moses implores the people to “choose life” rather than the “death” engendered by improper behavior by both priests and commoners."
"Torah, On the Book of Leviticus and Its Structure.6","Interestingly, the strong urge to make order (ritual laws) out of disorder (the chaotic processes of human life, from killing animals for food to sexual relations) is reflected in other aspects of the Torah—most notably in the narrative portrayal of the descent lines from father Abraham. Here, the discontinuity represented by sibling rivalries and other threats to survival is countered by God’s establishing a kind of continuity through the choosing of younger brothers. In this case, the strong hand of ritual control is replaced by the somewhat hazardous element of surprise and close calls. But it does manage to provide for family continuity and, ultimately, the survival of the people. Whether this points to early or later experiences historically is the subject of ongoing and unresolved debate among biblical scholars. A widely accepted possibility is that the Torah as we have it was edited by priestly editors living in or shortly after the Babylonian Exile (6th–5th centuries <small>B</small>.<small>C</small>.<small>E</small>.), and that those editors took earlier material (which itself was already multilayered) and adapted it into an overall scheme expressing promise, disobedience, destruction, and survival/hope (cf. Fox 1993)."
"Torah, On the Book of Leviticus and Its Structure.7","In point of fact, Leviticus is best viewed as only a part, albeit the major one as a bloc, of a major thrust of the Torah. According to most biblical scholars, the “priestly” worldview, and the texts that may be attributed to it, makes its appearance with the very chapter with which the entire Torah begins, Gen. 1. Here distinctions and ordering are at the very heart of the text. God, immediately after his first creation-by-word (light), “separates” between light and darkness, then goes on to perform the same operation between heavenly waters (the storehouses of rain) and earthly ones. His remaining acts of creation involve putting heavenly bodies, vegetation, and animal life in order—each “according to its kind,” on specific days of creation. Animals are distinguished from plants through their receiving vocal divine blessing; humans from animals through the addition to the blessing of the phrase “have dominion over” the rest of living things. At the same time, humans are told that they may eat only what grows from the ground, implying that to do otherwise would be a violation of the order of things. Crowning the whole account is the poem (Gen. 2:1–4a) about God’s “finishing” of the “work” of creation, symbolized by his “hallowing” (making holy or separate-for-God) the seventh day. In Gen. 1, then, we are presented with a brief but complete vision of the cosmos as ordered in space, time, and life-forms, under the aegis of a metasexual, nonviolent, and benevolent deity."
"Torah, On the Book of Leviticus and Its Structure.8","As Genesis unfolds under priestly influence, humans are presented with basic rules and warned of the consequences if those rules are broken. The paradisical situation of Adam and Eve (no labor, vegetarianism, no danger from animals, and sexual innocence) is disrupted by human disobedience, resulting in banishment from Eden—a shattering of the previous wholeness and order. Cain’s murder of his brother leads to the same punishment: uprootedness and hard labor. The mixing of divine and human beings in Gen. 6:1–2 results in a clear distinction being established by God, that humans will henceforth be limited in age. Finally, the account of the universal flood in Chapters 6–9 presents a picture that uses a number of Leviticus motifs. The earth is to be destroyed because human wrongdoing has “ruined” it (or, in Levitical language, “polluted” it). Animal life is rescued by means of taking pairs of animals aboard the ark—with Leviticus’s distinctions of “pure” and impure dutifully mentioned. Noah’s three sons, who also come onto the ark, later become the forefathers of three great divisions of humanity, as laid out in detail in the genealogical lists of Chapters 10–11. Finally, the new beginning of the cosmos, with Noah as a second Adam (cf. the latter’s blessing in 1:28 with that of the former in 9:1–2), is accompanied by both animal sacrifices and dietary restrictions (the introduction of meat is new, accompanied by the caveat—as in Lev. 17—that blood is not to be consumed)."
"Torah, On the Book of Leviticus and Its Structure.9","A major part of the priestly scheme emerges with the detailed instructions concerning the construction of the Tabernacle (God’s place of “Dwelling” on earth) and the priestly vestments that are to be worn there, in Ex. 25–31 (with much of this material repeated in narrative form in Chapters 35–40). The details make sense as part of a larger picture, in which the closer one gets to the “Holiest Holy-Shrine” where God takes up dwelling, the more central the measurements of space and the more precious the materials used. This concentric sense of order is reflected also in the layout of the wilderness camp of the Israelites in Num. 2. Thus the Tabernacle functions as a minicosmos, a visible and ritual representation of the creation itself. Through the layout of curtains within and tribal encampments without, space is ordered; through the festivals (enumerated in Leviticus and Deuteronomy, with some mention in Exodus as well), time is ordered. And, thanks to the provisions laid out in Leviticus, through priest/lay hierarchy, dietary rules, and sacrificial regulations, life-forms are ordered. The result is an almost utopian scheme. It is a world in which everything and everyone are to take their place under the perfect worship of a perfect God, banishing or avoiding death, defect, and disorder. In the priestly view, the world is to be an echo of the divine order that is portrayed in the Creation story."
"Torah, On the Book of Leviticus and Its Structure.10","Viewed in the perspective of priestly concerns (only part of which we have just outlined), Leviticus is largely concerned with the potential disruption of this utopia. If Genesis chronicles threats to the fulfillment of God’s promises to Abraham, if Numbers recounts threats to his descendants’ survival on their march through the wilderness, then Leviticus concentrates on threats to Israel’s life with God. It presents a whole system of rules designed, first, to provide for purification and reconciliation with God through the sacrificial cult; second, to protect sanctuary, priests, land, and people from estrangement from God (via “pollution” of various kinds); and, finally, to establish a code of behavior that will ensure the perpetual enjoyment of God’s blessings on the land promised to Israel’s ancestors. From this it can readily be seen how Leviticus, far from being of interest to specialists and historians only, is in fact a crucial part of the Torah—perhaps its most crucial part, in that it supplies the ideological center of gravity for the whole. Once Leviticus is added to the narratives, poems, laws, and lists that comprise the rest of the Torah, a picture emerges that is more than literature and more than history. The five books become the multilayered and multifaceted monument that has been studied, puzzled over, and built upon for over two millennia."
"Torah, On the Book of Leviticus and Its Structure.11","In sum, the world of the priestly strain in the Torah is a realm of desired order and perfection, a realm in which wholeness is to reign, in which anomaly and undesired mixture are not permitted, and in which boundaries are zealously guarded. The human body becomes symbolic of the cosmos: its life/death boundary is marked, and troublesome flows from it are carefully regulated. The land of Israel becomes symbolic of the cosmos: too much evildoing pollutes it, to the point where it can do naught else but “vomit out” its settlers (as it vomited out the previous ones). The animal kingdom, from which humans are allowed to take life under carefully prescribed circumstances, becomes symbolic of cosmic values, through heightening awareness of predator and victim, and careful avoidance of blood, the symbol of life. Indeed, in the system of Leviticus, it is no wonder that death is the major pollutant, and that blood of acceptable animal sacrifice is the agent through which human beings find atonement for minor pollutants."
"Torah, On the Book of Leviticus and Its Structure.12","The book as it is presently laid out falls into three major sections, with a number of chapters that function either as connectors or appendices to various sections. Linkages and connecting theme words will be spelled out in more detail in the commentary; for the moment, the following outline may suffice:"
"Torah, On the Book of Leviticus and Its Structure.13",I The Sacrificial Cult
"Torah, On the Book of Leviticus and Its Structure.14",1–7 Sacrificial Offerings: Their Ritual and Disposal
"Torah, On the Book of Leviticus and Its Structure.15",8–9 The Installation of the Priests
"Torah, On the Book of Leviticus and Its Structure.16",10 Systems Failure
"Torah, On the Book of Leviticus and Its Structure.17",II Ritual Pollution and Purification
"Torah, On the Book of Leviticus and Its Structure.18",11 Forbidden and Permitted Foods: Transition
"Torah, On the Book of Leviticus and Its Structure.19",12–15 Pollution from Bodily Fluids and Skin Disease
"Torah, On the Book of Leviticus and Its Structure.20",16 Purifying the Sanctuary and the High Priest
"Torah, On the Book of Leviticus and Its Structure.21",Appendix: 17 On the Shedding of Animal Blood
"Torah, On the Book of Leviticus and Its Structure.22",III Holiness
"Torah, On the Book of Leviticus and Its Structure.23",18 Pollution from Forbidden Unions: Transition
"Torah, On the Book of Leviticus and Its Structure.24",19:3–4 Frame at Beginning
"Torah, On the Book of Leviticus and Its Structure.25",19–20 Holiness in Public/Private Behavior
"Torah, On the Book of Leviticus and Its Structure.26",21–22 Holiness in Priestly Behavior
"Torah, On the Book of Leviticus and Its Structure.27",23 Holiness in the Calendar
"Torah, On the Book of Leviticus and Its Structure.28",24 Miscellaneous
"Torah, On the Book of Leviticus and Its Structure.29",25 Regulations Concerning Land and Slaves
"Torah, On the Book of Leviticus and Its Structure.30",26:1–2 Frame at End
"Torah, On the Book of Leviticus and Its Structure.31",26:3–46 Holiness Confirmed or Denied: The Blessing and the Curse
"Torah, On the Book of Leviticus and Its Structure.32",Appendix: 27 Assessments for the Priests
"Torah, On the Book of Leviticus and Its Structure.33",Other commentators have of course seen it differently. Most follow the traditional scholarly approach of starting the “Holiness Code” with Chapter 17; Levine rightly parallels it to the beginnings of other law collections in the Torah (Ex. 20:19–23 and Deut. 12; the ending here in Chapter 26 also parallels the endings in the other two codes). Hallo understands the structure as 1–11: Rites of Consumption; 12–16: Rites of Purification; and 17–26: Holiness.
"Torah, On the Book of Leviticus and Its Structure.34","Overshadowing the clear three-part structure, however one wants to divide it up, is the complex issue of two apparent documents or schools of thought. Biblical scholarship terms these P (“Priestly”) and H (“Holiness”), and roughly attributes the first part of the book (through Chap. 16) to P, with the rest to H. There has been detailed, ongoing debate about the approaches and dating of these sources. As of this writing, it is generally accepted that H is later than P, but there seem to be numerous interpolations of one source into the other, and it is difficult to place them historically with certainty. Here, as elsewhere in biblical literature, we have a layering effect rather than a clear-cut delineation of “authors.” As usual, that appears to have been intentional."
"Torah, On the Book of Leviticus and Its Structure.35","A word should be said about the relationship between law and narrative in the Torah. As Damrosch has noted, the legal and cultic texts in the five books might be seen by modern readers as intrusive. On the surface, they certainly seem to interrupt a good story. Genesis is largely unencumbered by nonaction (except for the genealogical lists—attributed to P!), but the gripping account of the redemption from Egypt in Exodus, and the drama of revelation on and apostasy beneath Mount Sinai, give way to the sober architectural details of the Tabernacle’s construction. Similarly, the narratives of the book of Numbers, which are among the most striking in the literature, are set off against a background of censuses, laws about suspected adultery and the taking of vows, Levitical duties in the Dwelling, and an enumeration of sacrificial gifts brought by the tribes, among other things."
"Torah, On the Book of Leviticus and Its Structure.36","The bulk of material in Leviticus, and its placement in the Torah, make it clear that the five books that we have convey their point precisely through the medium of narrative <i>plus</i> cult/law. In the Israelite worldview, these two rather distinct forms, which intermingle past, present, and future (Damrosch), fruitfully enrich and explain one another. It is as if a history of the American Revolution contained all of the debates on and drafts of the Declaration of Independence and the Constitution, as well as accounts of battles and biographies of key personalities. That such an approach parallels neither Homeric epic nor ritual texts in their purity of form is exactly the point: we have here a new genre of great complexity and richness, in which narratives exemplify laws and laws follow narratives. The result is truly a torah, a “teaching” or “instruction.”"
"Torah, On the Book of Leviticus and Its Structure.37","Finally, we might mention the issue of priests and laypeople. Scholars have often seen Leviticus as originating as a manual for priests. What is most fascinating, and perhaps most important (for later history), about this book is the way in which it takes priestly rules and transmutes at least some of them for use in the general populace of ancient Israel. This can be seen most dramatically in the dietary laws, which in other cultures often serve exclusively for priests, and in the area of sexual taboos, which do likewise. In postbiblical Judaism this shift becomes particularly evident: the Jew’s dinner table is termed a “sanctuary in miniature” (complete with loaves of bread and the use of salt—two elements found in the ancient sacrificial cult); dietary laws are expanded for the general population to provide for separation of milk and meat; and separation of husband and wife during menstruation, among traditional Jews, leaves the context of Sanctuary pollution and finds a home in the context of a philosophy of marriage. Many other examples could be brought of the widening of priestly laws to an entire people. Perhaps most dramatic—and most significant—is the eventual shift of the learning and interpretation of sacred texts away from the priests, who in most cultures served as the guardians of the text (and often the culture’s only literate body; cf. medieval Christian Europe). In Judaism of late antiquity, this monopoly was decisively broken; first the scribe and then the rabbi (“master”) took over, with learning extended at last to all those who might make the effort to acquire it. The great exception, at least in antiquity, was women—who, it will be noted, were also excluded from priestly functions in the Bible."
"Torah, On the Book of Leviticus and Its Structure.38","Three relatively recent developments make it possible to approach Leviticus as a significant, powerful, and interesting biblical text. The first is the explosion of both full-length and shorter studies of the book and its concerns that have appeared in recent years. The work of Milgrom (1991), Levine (1989), Wenham (1979), Eilberg-Schwartz (1990), and Bamberger (1981), to cite just a few of the English-language studies on aspects of Leviticus, now makes it possible to have a serious entry into the book based largely on advances in understanding the cultures of the ancient Near East. It also, admittedly, puts the translator and commentator in a bind: is it possible to add anything new, or will it suffice simply to summarize? My approach in this volume has been largely the latter, along with suggesting to the reader some fruitful directions for further study."
"Torah, On the Book of Leviticus and Its Structure.39","The second development helpful for approaching Leviticus, which also informs many of the studies just mentioned, is the using of anthropological insights to understand concepts and rituals found in the book. Such an approach places Leviticus in a broader human context, indicating what it does and does not share with other cultural and religious systems. For Leviticus is concerned with the same issues that plague all human societies: how to deal with the boundaries of life and death, how to comprehend and approach the transcendent in life, how to understand one’s (or one’s nation’s) place in the cosmic order, how to make for a just society. Viewed in this light, the book is a “Small Code” (cf. Northrop Frye’s designation of the Bible as “the Great Code”). That is, Leviticus need not remain a total mystery to us, to be unraveled only through detailed analysis and even change (Judaism) or substitution (Christianity), but can be understood on its own terms, if approached with care and in the spirit of seeking the larger picture in the details."
"Torah, On the Book of Leviticus and Its Structure.40","Finally, we should mention the aesthetic dimension. Like the other books of the Torah, Leviticus uses its own rhetoric to convey its message. Far from employing flat “priestly” style (whatever that may be), it uses formulas, refrains, and other rhythmical forms to impress its teaching (Heb. <i>tora</i>) upon its hearers. This aspect of the book has been the subject of recent study (cf. Paran), but was already echoed in the Buber-Rosenzweig translation. It is my hope that the present volume will contribute to an appreciation of the style of Leviticus."
"Torah, I: the Cult and the Priesthood.1",(1–10)
"Torah, I: the Cult and the Priesthood.2","T<small>HE SECOND HALF OF THE BOOK OF</small> E<small>XODUS CONCERNED ITSELF WITH SETTING UP THE</small> sacrificial cult of Israel. It therefore set forth the prescriptions for and construction of a sanctuary and the priestly garments, and laid out a ceremony for the investiture of priests. But the description of how sacrifices were to be offered, and for what purpose, is not part of the book, which as edited seems more interested in contrasting the building of a sanctuary with building cities for the Pharaohs, as part of its portrayal of the victory of the biblical God over the gods of Egypt. Although at the end of the book the “Dwelling” is completed, we do not get to see the various sacral rites performed there."
"Torah, I: the Cult and the Priesthood.3","Leviticus also delays the ordination of the priests, until Chapter 8, preferring instead to begin with a kind of manual on the offering and disposal of sacrifices. It then moves us from the details of sacrifice into the narrative of the sanctuary’s dedication and opening rites, providing a natural bridge for Part II, in which ritual pollution and purity, the province of priests, is dealt with."
