Index Title,Major Themes.
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.12",<b>2. <i>Survival</i></b>
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.13","The eternity that we have thus far analyzed is of a metaphysical, spiritual nature. It was achieved in the immediacy of the encounter with God in the act of revelation and through the eternal law that has lifted Israel out of the stream of history. However, one has also to find yet another foundation for the eternity of the eternal people. While the people of God may well be spiritually complete and at the goal, living the “lifeless” life of redemption, its body lives in time and is attached to the life of the world. Existing outside of time in its soul, how does it maintain its physical eternity in time? Here Rosenzweig surprises us with his most daring idea. Israel possesses the guarantee of its eternity in “the community of the blood” that binds the generations to each other. Only the blood can vouch, already in the present, for the realization of the hope for a future. With hardly believable boldness Rosenzweig declares: “Only the blood community feels the guarantee of its eternity already today pushing through its veins … it need not trouble the spirit. It has the guarantee of its eternity in the natural procreation of its body.”<sup>16</sup><i class=""footnote"">Ibid., p. 49 [ibid., p. 299].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.14","Because of this “self-created eternity,” that Israel carries in its own blood, it is independent of all those elements to which the nations attempt to attach their eternity, land, language, and the changing customs and laws. Since the nations tie their lives to the land, they spill their blood for it. They love the land more than their life. But when the land is lost, life is lost too; for he who owns the land also owns the people. “Thus, the land betrays the people that entrusts its survival unto it. Indeed, it endures; but the people on it perish.”<sup>17</sup><i class=""footnote"">Ibid., p. 50 [ibid., p. 300].</i> Not so the eternal people. It alone trusted its blood and left the land. Rosenzweig presents us with the fantastic statement, “Thus we (meaning the Jews) saved the precious life juice which offered us the guarantee of our own eternity.”<sup>18</sup><i class=""footnote"">Ibid., p. 50 [ibid., p. 299].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.15","From here Rosenzweig develops the roots of a kind of a philosophy of Jewish history. Unlike other nations, the history of Israel does not start with an autochthonous people which lives in its own land. The patriarch Abraham is a stranger in the land of Canaan, and Israel first becomes a nation in the Egyptian exile and experiences its national rebirth “in the bright light of history” in exile in Babylon. Even its own land is never fully in its possession. Even there, it is a stranger and sojourner, “for the land is mine” says God to the Jew. The exile from its own land was, therefore, neither a mere accident of history, as one might think, nor punishment “because of our sins,” as tradition would have it. It was the logic of the “self-created” eternity from “the dark wells of the blood” that this people was not allowed to age and fade away by dwelling “at home.” For the Jew, the lost homeland becomes “in the deepest sense the land of his longing as—holy land.” The longing, however, cannot be a longing for return. According to Rosenzweig’s idea of the “blood community,” exile from the land was not so much a loss as a meaningful liberation from a dangerous bond. For, as Rosenzweig also says: “the will to peoplehood must not cling to any dead means [i.e., land]. It may only be realized through the people itself. The people is a people only through the people.”"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.16","What then is the aim of this longing? It would seem to us that within the context of Rosenzweig’s thought the longing for the holy land can only have a negative function. It is not a longing for return, for repossession of the land. As he himself seems to indicate, its sole purpose is not to allow the eternal people to find a real home in any other land.<sup>19</sup><i class=""footnote"">Ibid., pp. 50–51 [ibid., p. 300].</i> This is an essential requirement for the preservation of the eternal people. Israel must not be allowed to live in unison with time and world history. It would lose its eternity. The Jew finds his place in the world within himself. His own kind, that came to him in his birth, he carries around like an “internal homeland: … like a magic circle, from which he is as likely to escape as from the circle of his blood, just because he carries it around—like his own blood—wherever he may go, wherever he may stand.”<sup>20</sup><i class=""footnote"">Ibid., p. 175 [ibid., p. 396].</i> This people has its roots within itself. One might then say, following the inherent logic of Rosenzweig’s position, that “the holy land” is the landless land, just as “the holy life” is the lifeless life. The longing for it guarantees Israel’s homelessness for the sake of the preservation of its timeless existence."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.17","The “holy language” of the Jew also has a function similar to that of the “holy land.” The holy language is the language of prayer. The Jew speaks in this tongue only to God, according to Rosenzweig. Thus, it diverts the Jew from the immediacy of his contact with daily life. The holiness of his language does not allow the life of the Jew to take root in the soil of a language of his own. As the “holy land” prevents him from finding home in any other land, so the holy language does not let him become one with the language that he happens to speak. Even where the Jew does speak the language of his host country, according to Rosenzweig, he uses it in a manner specifically Jewish, which reveals that the language is not really his own. This, too, means that nowhere can the Jew settle down for good. Nor should he. He has his home within himself."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.18","We have seen earlier how the eternal law removes the Jew from time and establishes the timeless perfection of Israel. Other nations which had the anchor of their life in land and language, customs and laws, are dead. For us, however, land, language, and law have long since left the circle of the living and have been raised out of life into holiness. We are eternal, for our life is not dependent on anything external. “We took root in ourselves; without roots in the earth and therefore eternal wanderers, yet deeply rooted within ourselves, in our own body and blood. And this rootedness in ourselves, and only in ourselves, vouchsafes us our eternity.”<sup>21</sup><i class=""footnote"">Ibid., p. 57 [ibid., p. 305].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.19","In summation we might say that the result of Rosenzweig’s position is a concept of the Jewish people that at the goal of all history lives the “lifeless” life of holiness outside of time and history, whose eternity is safeguarded in the blood community that binds all the generations."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.20",<b>3. <i>Judaism and Christianity</i></b>
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.21","Rosenzweig’s view of Judaism and the Jew is inseparable from his understanding of Christianity and the Christian. It is not our intention to analyze his interpretation of Christianity. However, a few words need be said about the relationship between the two religions. Whereas in Judaism man knows God directly, in Christianity he can only come to him by the mediation of the Son. The Christian can approach only the Son with same intimacy and trust with which the Jew comes before God himself. This is, indeed, so natural for the Jew that he cannot grasp why the same immediacy should be impossible for anyone else. Only at the hand of the Son dare the Christian come near the Father, because the Christian cannot imagine that the Holy God would lower himself to him as he desires it, unless he became himself Man. Thus, if the Son were not Man he would be useless for the Christian. In the need for a Man-God, Rosenzweig sees “a bit of paganism” present in every Christian which cannot be eliminated. For the heathen desires to be surrounded by “human gods.” It is not enough for him that he himself is man, God too must be Man.<sup>22</sup><i class=""footnote"">Ibid., p. 115 [Ibid., p. 350].</i> This, however, means that the Christian is by nature and birth a heathen."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.22","Christianity comes to the Christian from without and gives direction to his life. As Rosenzweig puts it in Latin: <i>Christianus fit, non nascitur</i>. Judasim is direction from within. The Christian has to leave his condition at birth and has to be reborn as a Christian. The Jew, on the other hand, had his “rebirth” long before his natural birth, when his people was reborn in the divine covenant of the revelation. Therefore, he is born a Jew. But just because of that the Christian is always at the beginning, always young, whereas the Jew is always already at the goal.<sup>23</sup><i class=""footnote"">Ibid., pp. 175–176 [Ibid., pp. 395–6].</i> In other words, Christianity is within time, between rebirth and the Second Coming, in history, just as Judaism and Israel are beyond it. Christianity, young and full of vitality, is on the way with the task of spreading out and filling out time and history. The Jew has the eternal life; the Christian, the eternal way which is illuminated by the rays from the self-contained fire at the heart of the eternal life. “Eternal life and eternal way—they are as different as the infinity of a point and that of a line. The infinity of a point may consist only in that it (i.e., the point) cannot be erased; thus (the point) maintains itself in the self-preservation of the procreating blood. The infinity of a line, however, ceases when it is no longer possible to elongate it.”<sup>24</sup><i class=""footnote"">Ibid., pp. 103–104 [ibid., p. 341].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.23","Christianity as the eternal way has to expand continually. Simply to preserve itself would be the renunciation of its eternity and with it, death. Christianity has to be missionary, no less than the eternal people has to preserve itself by closing “the pure wells of the blood” against all foreign admixture. Christianity is eminently suitable for its eternal way through the world. At the hand of its Man-God it marches on, unlike the Jew, full of conquering strength. “… for flesh and blood will submit only to that which is, like itself, of flesh and blood. And just that element of “heathenism” enables the Christian to convert the heathens.”<sup>25</sup><i class=""footnote"">Ibid., p. 115 [ibid., p. 350].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.24","To formulate again and again the distinction between Judaism and Christianity, between the Jew and the Christian, seems to be an obsession with Rosenzweig. He forever defines his Judaism in juxtaposition to Christianity. “To be rooted in deepest self was the secret of the eternal people. To spread through everything outside itself is the secret of the eternal way.”<sup>26</sup><i class=""footnote"">Ibid., p. 112 [ibid., p. 348].</i> Because the Jew has his eternity within, anchored in his essential nature, as he descends into his innermost self, he ascends to the highest. Therein lies the deepest difference between the Jew and the Christian. Whereas the Jew is Jew from home and certainly from birth, the Christian is a heathen at least from birth. Thus the way of the Christian must be a way of alienation from himself. He must forever move away from himself. He must give up his natural self in order to become a Christian. Whereas the Christian life “denationalizes” the Christian, Jewish life leads the Jew more closely to the “Jewish kind” of his inborn nature.<sup>27</sup><i class=""footnote"">Ibid., p. 190 [ibid., p. 408].</i> This rootedness of the Jew within himself, this self-sufficiency, as it were, Rosenzweig compares to a self-sustaining fire (as referred to earlier). This fire is the symbol of the eternal life of the Jew. Therefore, speaking metaphorically, Rosenzweig would also say that because of this self-sustaining fire the Jew is in no need of the sword to go out into the forests of the world to get what it needs to feed the flame.<sup>28</sup><i class=""footnote"">Ibid., p. 95 [ibid., p. 335].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.25","As the eternal life of the Jew is the fire, so is the eternal way of the Christian the rays, the rays from the fire, which shining into the world, illuminate the way. Judaism and Christianity are thus linked to each other in the philosophy of Rosenzweig. The same light, in different forms, determines them both; the fire at the center—the eternal life of the Jew, the illumination of the rays—the eternal way of the Christian. Rosenzweig maintains therefore that “both Jew and Christian, are workers on the same task before God. He can spare neither of them.”<sup>29</sup><i class=""footnote"">Ibid., p. 200 [ibid., p. 415].</i> Neither of them is capable of accomplishing the task by himself. “We [speaking for the Jews] behold in our hearts the faithful image of the truth; however, because of it, we turn away from the temporal life and the temporal life turns from us. They, on the other hand, are running after the stream of time, but have the truth behind them.”<sup>30</sup><i class=""footnote"">Ibid., p. 200 [ibid., pp. 415-6].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.26","With the help of these ideas Rosenzweig is able to offer us an original interpretation of the Christian hatred of the Jew. The way of Christianity through the world has been most successful. It has triumphed over the gods of the peoples, their myths, their heroes, and their entire cosmos. Christianity has been uniquely triumphant. Who would dare to challenge it! Yet, the Jew does it; not in words but by his mere existence. “This existence of the Jew forces the thought upon Christianity at all times that it is not reaching the goal, that it is not coming to the truth, but remains forever on the way. This is the deepest reason for the Christian Jew hatred which, ultimately, is only self-hatred, transferred onto the objectionable, silent reproacher, who yet reproaches only by his existence—hatred against one’s own imperfection, against one’s own not-yet.”<sup>31</sup><i class=""footnote"">Ibid., p. 197 [ibid., p. 413].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.27","Nevertheless, Rosenzweig does look forward to ultimate reconciliation; he sees it in the metaphor of Yehuda Halevi, the poet and philosopher of Judaism in the eleventh century. God has a secret plan with the Jew, which may be compared to a plan with a seed that falls to the ground. In the earth it appears to change into soil, water, and dirt. Nothing seems to be left to be recognized by the eye. Yet, it is itself which transforms the soil and the water into its own substance and, degree by degree, breaks down their elements and, reforming them, incorporates them into its own being. The tree then grows, it yields the fruit, a fruit like the one from which its own seed came. Similarly, the Torah of Moses transforms all those who follow after it to its own truthfulness, though they appear to reject it. These nations, followers of other religions, are the preparation for the expected Messiah, who is the fruit. They will all become his fruits as they recognize him. The tree then will become one. They will then honor and praise the root, which they had despised.<sup>32</sup><i class=""footnote"">Halevi, <i>Kuzari</i>, IV, 23; quoted in the <i>Stern</i>, p. 153 [ibid., p. 379].</i> In that hour, when the fruits will be ripe and recognize the seed from which they sprang, the nations will have arrived at the goal towards which they were moving all through history, at the goal where Israel stands waiting for them. “The way is at an end when the home is reached. The way may be eternal, since its end is eternity; yet, it comes to an end, for eternity is its end. Where everything is aflame, there are no rays any more. There everything is one light.”<sup>33</sup><i class=""footnote"">Ibid., p. 154 [ibid.].</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.28","In the meantime, the Jew may wait. He may be oblivious to the rays. He who has the flame is in no need of its rays. The flame burns silently and forever. The seed of eternal life has been planted; it can wait now till it will spring up. Of the tree which grows from it the seed knows nothing, though it cast its shadow over the world. One day, however, a seed will come from the fruits of the tree that will be like its original. Blessed be the One who has planted eternal life in our midst.<sup>34</sup><i class=""footnote"">Ibid., p. 96 [ibid., p. 335].</i> In the light of all this, one may be justified in saying that Rosenzweig makes room for Christianity by removing Judaism from history, but the Christian will find eternal life by returning to Judaism. In time, Christianity is triumphant; in eternity, it is Judaism. The Christian is needed, for there is a job in the unredeemed world which the Jew, already living the “lifeless” life of redemption, cannot perform."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.29",<b>II. C<small>RITICISM</small></b>
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.30",<b>1. <i>History</i></b>
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.31","With all due respect to the saintly genius of Franz Rosenzweig, it would seem to us that it is impossible to accept any of his categories as fitting either the essence of Judaism, the nature of the Jew, or the history of the Jewish people."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.32","It is true that the history of the Jewish people commenced in exile, that Israel became a people in exile. Yet, it was history in the time of the world and not outside of it. The holy land was the land of their longing, but not as Rosenzweig interprets the term as a device by which the Jews were prevented from finding a home anyplace in the world. On the contrary, it was the land of the divine promise, a very real land in time and space, where they were to find a home, a place of rest. For centuries the holy language was the everyday language of the people in which the Jew communicated not only with his God, but also with his fellowmen, it was the language in which he prayed, in which he spoke to his beloved, and cursed his neighbor, in which he spoke the truth and told a lie. The state, far from being alien to Judaism was envisaged by the Torah, and had—at least in theory—a Torah constitution; it was to be organized by the laws of the Torah. Yet, according to Rosenzweig all this could not have been. For with the covenant of the revelation God planted eternal life in the midst of the people. With it Israel was completed; it reached the goal; it was taken out of history. When did that happen? In 70 <small>C.E.</small> at the destruction of the Second Commonwealth? Surely, not. He could only mean the revelation at Sinai. Was, then, everything that followed already outside of history? Was it not Jewish history in time and worldly space? Or was there some kind of development of the Jewish people to the genuine Judaism of the “lifeless” life of holiness at the goal? At least in one place Rosenzweig does refer to Jewish history as having become petrified.<sup>35</sup><i class=""footnote"">Ibid., p. 140 [ibid., p. 369].</i> But when did that happen and why? What was it and what Judaism, prior to the petrification? Did it acquire eternity through petrification and not through revelation? Is it possible to read the Bible without realizing that its main theme is the story of an eminently historical people?"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.33",The God of the Bible is the God of history. The prophets are the earliest people for whom history is not a mere repetition of the past but a flow toward a goal whose progress is determined by the ethical interaction between God and man and by man’s conduct in the sight of God. Whatever happens is of importance because it occurs in the space-time dimension of daily human existence.
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.34","Judaism and the Jew are vitally involved in the history of all mankind. The very significance of both lies in the fact that the viability of a specific way of life is demonstrated in the same historical time in which all mankind lives. The goal, far from having been reached, is always in the future. Much more than the history of any other people, Jewish history is future-oriented. Its very essence is not the eternal “now” of Rosenzweig, but the everlasting “not-yet.” It is the history of a promise that God and man made to each other, the world history of the struggle for the realization of that promise. Its entire value and meaning lies in the fact that it is battling for its realization along the path that is trodden by all mankind. The eternal life of Israel has universal relevance because it leads through the time of the world, because it is woven into the fabric of world history. Unfortunately, Rosenzweig’s categories blind him to the historic reality of Judaism as well as of the Jew."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.35",<b>2. <i>Holiness and the Law</i></b>
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.36","One of the keys to Rosenzweig’s inability to recognize the historical reality of Israel can be found in a short sentence to which we had occasion to refer earlier in our presentation of his ideas: “As life becomes sanctified it is no longer alive.”<sup>36</sup><i class=""footnote"">Ibid., p. 55 [ibid., p. 303].</i> We can hardly think of a statement less characteristic of Judaism than these words of Rosenzweig. According to him the sanctification is effected by the eternal law. A number of statements are made about the law in the third part of <i>Der Stern</i>, but only one aspect of the law is actually discussed and interpreted: its ritual aspect in the limited sense in which it found expression in the holy days of the Jewish year and in its liturgical formulation. But it is not in this extremely narrow sense that one can grasp the essential nature of the law. In fact, there is no safer way of missing the essential quality and purpose of the law than by trying to explain them within such a very limited and artificial frame. The law is all-embracing. It comprehends every aspect of the life of the individual as well as that of the entire Jewish people. It regulates all interhuman relationships; it lays down the principles of an economic and social order; it provides the constitution of a state—its judicial system, its civil and criminal laws. Its significance lies in the fact that it deals with the temporal life of the Jew and of the Jewish people. Its whole purpose is to give meaning and direction to the daily life of the Jew. It aims at life, this life, in time and history. Can one doubt it, for instance, in the light of the words in Deuteronomy?<sup>37</sup><i class=""footnote"">Deuteronomy, 30, 19–20.</i> “I have set before thee life and death, the blessing and the curse; therefore choose life, that thou mayest live, thou and thy seed; to love the Lord thy God, to hearken to His voice, and to cleave unto Him; for that is thy life, and the length of thy days; that thou mayest dwell in the land which the Lord swore unto thy fathers, to Abraham, to Isaac, and to Jacob, to give them.” The emphasis is forever on life on this earth in the world’s time. “Mine ordinances shall ye do, and my statutes shall ye keep to walk therein: I am the Lord your God. Ye shall therefore keep My statutes, and Mine ordinances, which if a man do, he shall live by them….”<sup>38</sup><i class=""footnote"">Leviticus, 18: 4–5.</i> The rabbis comment on it: “… that he shall live by them and not that he shall die by them.”<sup>39</sup><i class=""footnote"">Talmud Babli, <i>Yoma</i>, 87/B.</i>"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.37","The law does sanctify life, but sanctification does not remove the Jew from history; on the contrary, its very significance lies in the fact that it is the sanctification of life in time and history. The biblical chapter that begins with the words: “Ye shall be holy, for I the Lord your God are holy”<sup>40</sup><i class=""footnote"">Leviticus, 19:2.</i> deals mainly with the sanctification of the daily intercourse with one’s fellow men. Let only a very few of the laws of sanctification stand here to illustrate the point."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.38","Ye shall not steal; neither shall ye deal falsely, nor lie one to another. And ye shall not swear by My name falsely…. Thou shalt not oppress thy neighbor, nor rob him; the wages of a hired servant shall not abide with thee all night until the morning … and if a stranger sojourn with thee in your land, ye shall not do him wrong. The stranger that sojourneth with you shall be unto you as the home-born among you, and thou shalt love him as thyself…. Ye shall do no unrighteousness in judgment, in meteyard, in weight, or in measure."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.39","The whole of the Torah is dedicated to life, for life, the everyday life of man, has to be dedicated. “The living, the living, he shall praise Thee, as I do this day”<sup>41</sup><i class=""footnote"">Isaiah, 38: 19.</i> exclaims the prophet; it is the living in time and the praise from history that really matter. Sanctification is not to remove man from time, but to bring holiness into time. Rosenzweig’s interpretation of the Day of Atonement is movingly beautiful, yet it is not the <i>Yom Kippur</i> of the Jew through the ages. It is a misinterpretation because it is a perfect application of his category of holiness as “lifelessness.” We have heard him describe it as the day in which the Jew, clothed in his burial garments, faces God from beyond the grave, having already everything behind him. It is hardly conceivable how anyone familiar with the liturgy of that holiest of days, as surely Rosenzweig must have been, could have made such a statement. Practically every page of the <i>Maḥzor</i>, the festival prayer book, is concerned with life, the life lived daily by the Jew and by all peoples of the earth. It is a day for the sake of life, for the right and better life of tomorrow. The confession of sins and the prayer for forgiveness is felt to be a necessity as a first step toward a new day. A basic element in the act of <i>t’shuba</i>, of return to God, is the resolution for the life one is determined to lead in the future. Everything is directed at the renewal of man for the year that is ahead. Everything is prayer for the spiritual and material blessing in the days ahead. Far from having everything behind him on <i>Yom Kippur</i>, he has everything before him: his past life as a subject of examination; the future, for which to prepare. A recurring prayer of the day is: “Bring us back unto thee, O God, and we shall return; renew our days as of old…. O cast us not away from thy presence, nor take thy holy spirit from us. O cast us not off in old age, forsake us not when our strength fails.” Are these the words of people who have everything already behind them and have retained the “lifeless” life of eternity? Or is it the prayer that the dominion of wickedness may disappear from the earth, that God may grant honor to his people, hope and praise to all those who fear him, seek him, and want him, joy to his land of Israel and to his city of Zion, speedily in our days? Is this spoken from beyond history, in a state beyond all wishes, desires and needs? How is it possible to maintain that the great <i>Abinu Malkenu</i> prayer, recited at least three times during the day, is prayed from beyond the grave and not from the very midst of man’s temporal life!"
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.40","Our Father, our King, we have sinned before thee."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.41","Our Father, our King, renew a good year for us."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.42","Our Father, our King, annul the plans of our enemies."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.43","Our Father, our King, remove pestilence, sword, famine, captivity, destruction, iniquity, and persecution from thy people of the covenant."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.44","Our Father, our King, forgive and pardon all our sins."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.45","Our Father, our King, bring us back in perfect repentance to Thee."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.46","Our Father, our King, inscribe us in the book of maintenance and sustenance."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.47","The prayer characterizes the mood of the entire day. Though withdrawn completely from all normal daily activities, on <i>Yom Kippur</i> the Jew faces God from the very heart of his personal existence as well as from the very core of the historical existence of his people, for the sake of that life from which he so completely withdraws on that day. Like all Jewish history, the Day of Atonement too is future-directed. It is a day in the midst of life, a day of sanctification of living in time far beyond the limits of that one day. Never is the Jew more concerned about his life on earth, in the world, and with the world, than on the Day of Atonement. It is the day, from which he derives his main strength to remain in time, to face the trials and tribulation, to give it meaning and direction, to sanctify it."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.48","A holiness of eternity, one which is—to use a phrase of Rosenzweig’s —“bought at the price of man’s temporal life” is no concern of Judaism. Eternity needs no holiness; it is man’s desires and wishes, his needful temporal life that alone requires sanctification. Thus “the holy land” is not the never-never land of the Jew’s longing that is to separate him from all these worldly attachment to any land, as Rosenzweig sees it; but the land that because it is the land of the Jews is the most conducive place on earth for the sanctification of the life of an entire people. The holy language is not holy because it is not used for communication between Jew and Jew, but because in it the Jew was called to the life of Judaism on this earth, because in it the “Torah of life,” the Torah for this earthly life, was planted in his midst. Rosenzweig sees the holy law of the Torah as taking hold of the this-worldly and transforming it into the contents of the future world, the world beyond.<sup>42</sup><i class=""footnote""><i>Der Stern</i>, vol. III, p. 188; cf. also what he says about the “Blessings,” ibid., p. 60 [Ibid., p. 406; cf. also p. 307].</i> We know nothing of that. The law does not change the this-worldly into the other-worldly, but transforms the profanity of the this-worldly into the sanctified this-worldly. The Jew sees in the transformation not only his goal, but that of all history. Just because of that neither Israel, nor the world have as yet arrived at the goal; just because of that the place of the Jew and of Judaism is in time and history. Eternity is in no need of holiness; the Torah was not given to angels, say the rabbis.<sup>43</sup><i class=""footnote"">Talmud Babli, <i>Kiddushin</i>, 54/a.</i> Not even the Torah is eternal according to Jewish tradition. As one of the great teachers of the Talmud said: “The commandments of God were given in order to purify man.” <sup>44</sup><i class=""footnote""><i>Bereshit Rabba</i>, 44; <i>Tanhuma, Sh’meenee.</i></i> Once the goal is achieved, the Law will no longer be necessary. Only in the imperfection of the temporal world does the law serve a purpose."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.49",<b>3. <i>Exile and Redemption</i></b>
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.50","Rosenzweig’s categories cannot recognize the historic reality of Israel’s exile. The word does occur two or three times in <i>Der Stern</i>, but its only significance for him lies in the fact that Israel became a people in exile; beyond that there is no place for it in the thought of Rosenzweig. Whereas through the centuries Jews have been declaring that “because of our sins we have been exiled from our land,” Rosenzweig says that trusting their blood community they left the land.<sup>45</sup><i class=""footnote""><i>Der Stern</i>, vol. III p. 50 [ibid., p. 299].</i> According to him, one would have to say that exile was not so much a loss as a desired liberation from a dangerous attachment. We referred earlier to his statement that the Jewish people could not tie their life to anything dead, like a land. It would have jeopardized their eternity which must not depend on anything outside itself. One would also have to assume that according to his views in <i>Der Stern</i>, the prayers of the Jews through the ages for a return to Zion and Jerusalem were pointless. The Jews were at the goal; they had arrived; there was nowhere for them to return to. They were only waiting beyond the river of time for the nations to arrive at eternity, which was their condition. If anything, homelessness was an achievement; the right condition of a people that was complete in itself. Exile would then mean being bodily attached to the not-yet-redeemed world of the nations. Rosenzweig does say that to be “the Beloved of God” is only the beginning and that man remains unredeemed as long as only this beginning is realized. But it is not his opinion that the Jew is at the beginning. For the Jew there is no road; he is at the <i>eschaton</i>. And thus Rosenzweig adds in the same context: “As against Israel the eternal Beloved of God, the ever faithful, the forever complete, stands the eternally coming, eternally waiting, eternally wandering, eternally growing—stands the Messiah.”<sup>46</sup><i class=""footnote"">Ibid., p. 60 [ibid., p. 307].</i> From this and other similar passages<sup>47</sup><i class=""footnote"">Ibid., pp. 185–186, 204 [ibid., pp. 404, 419].</i> it would seem that the logic of Rosenzweig’s position indicates that the Messiah comes to the gentiles only, bringing them redemption. The Jewish people received eternal life in the revelation and changes no more."
"Major Themes., 2: Franz Rosenzweig’s Philosophy of Judaism (1886–1929.51","Needless to say, this metaphysical neglect of Israel’s exile and this concept of its relationship to the holy land is contrary to the entire Jewish tradition. It is contradicted by the rich prophetic pronouncements on the subject. When the prophets spoke of exile they meant the homelessness of the Jew expelled from his land; and when they spoke of the promise of return, they meant return home to Zion and Jerusalem, in its literal sense. What follows from Rosenzweig’s ideas is a rejection of every word of prophecy on the subject. Rosenzweig does not see how necessary the connection is between the spiritual and the material; that homelessness affects not only the body, but also the spirit of the Jewish people. The law, because it is not just synagogue and home ritual and liturgy, but all-embracing, is not realizable in the political, economic, social unfreedom of the homelessness of the Jewish people. The “lifeless life” of holiness is life stunted, life denied. Holiness must have its base in life, must build on its this-worldly secular reality. Rosenzweig does not see that in the homelessness of the Jewish people the law too is in exile; he is not aware of what Judaism has called the <i>galut hashkhina</i>, the exile of the divine Presence. He also disregards completely the material condition of the Jewish people in exile. There is not the slightest attempt made to come to grips with the martyrology of Jewish homelessness, as if the life of the Jews were nothing more than a metaphysical enterprise."
