Index Title,Judaism Fossil.
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.49","The other even more fundamental difference between Judaism and Christianity is that according to the Jewish view the Messianic King is a purely human being, “The Anointed of the Lord,” invested by Him with authority; whereas in Christian opinion he is God Incarnate, “the King of God’s Kingdom—and a King who is God Himself and not God’s less-than-divine deputy.”<sup>60</sup><i class=""footnote"">VI/268-69 and footnotes; also, ibid. 163 and footnote.</i> And again Mr. Toynbee rightly points out that concepts of a god incarnate and of a dying god are quite well known to Hellenic and other forms of paganism but have no place whatsoever in Judaism. A Jewish reader is somewhat astounded by the amount of scholarship and literary energy that the author spends on proving something that is part of the A B C of Judaism, until the reader realizes that the laborious and long-winded discussion is addressed to Toynbee’s own fellow Christians, who—regrettably—overlook what is rather “notorious,” namely, that “the view that the Messiah has to be born of a virgin is … quite unknown to the Jews.” Mr. Toynbee is most anxious to impress upon them the influence of the pagan and—in particular—Hellenic motifs. The importance of these religious influences from paganism is underlined by the fact that in the figure of “Divus Augustus the potential converts of the first Christian missionaries had already acknowledged an incarnation of the Godhead in a living human being whose mortal mother was fabled to have been got with child by an immortal sire.…” Understandably, the happy coincidence of such preparation of souls must have rendered the task of the missionaries very much easier. Truly significant, however, is the use Mr. Toynbee makes of the Hellenic influence. He maintains that “the Christian evolutionist’s inference from this would be, not that there was no truth in Christianity, but that the truth which was in Christianity had already been aglow in paganism for ages before it had burst into a Christian plane.”<sup>61</sup><i class=""footnote"">VI/458, 460.</i> In other words, the truth that is the very essence of the Christian message was known to the heathens in a less intense form even before the Christian epiphany, and there is a sort of evolutionary continuity between that message in its pagan manifestation and its fuller exposition in Christianity."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.50","We shall have no quarrel with Mr. Toynbee over his interpretation of Christianity. From the standpoint of our analysis of his ideas, however, we cannot help observing that “the direct influence of the Hellenic motif” is—in other passages—complemented by what may perhaps be called the indirect influence of Jesus’ Gentile descent. The “Messiah of Jewry,” says Mr. Toynbee, “comes out of that obscure village in ‘Galilee of the Gentiles’ ”; he is the “inspired Jewish scion of forcibly converted Galilean Gentiles”; or, as he is also referred to, he is Jewry’s “Galilean step-child.”<sup>62</sup><i class=""footnote"">II/73 and V/658.</i> In short, the truth of Jesus’ divine parentage was “aglow in paganism for ages” before its fuller revelation in the Christian garb, and the potential of his human parentage lay dormant, as it were, in the womb of Galilean Gentiledom for ages before its materialization in the Jewish frame. In order to grasp better the trend of the author’s thoughts, one must remember that Mr. Toynbee also maintains that as to the vital concept of the unity of mankind the source of “the human inspiration in the mind of Jesus” was the “Alexandrian vision” of that idea. The spirit of Alexander the Great was “in the air” in Palestine. This again is what one would expect to hear from Mr. Toynbee. The unity of mankind is the corollary to the fatherhood of God. Alexander did entertain that notion, but Jewry did not. After all, a God who is jealous and intolerant, who “never ceased to be thought of as the parochial god of Jewry,” who is Power and not Love, could not be expected to promote the idea of the brotherhood of men.<sup>63</sup><i class=""footnote"">Composed of VI/7 and 9; VII/511 and IX/623; VI/125. Far be it from us to argue with the distinguished Christian scholar about the source of the “human inspiration in Jesus.” If he asks us to believe that Jesus had no knowledge of Isaiah, Micah, Jeremiah, the Psalms, and a great body of the Jewish teaching of his time, containing innumerable variations on the Mosaic theme of “God of the spirits of all flesh,” we must assume that he has valid reason for doing so. It is, however, rather confusing that in Vol. VI it is the Alexandrine discovery of the brotherhood of men (or, since Alexander himself, like Ikhnaton about ten centuries before him, perhaps “learnt the mystery from the lips of Amon’s priests” [see VI/247, footnote] the Alexandrine vision of it), presupposing the fatherhood of God, that inspired Jesus; whereas in other places (e.g., IX/623) we are told that the brotherhood of men was “an original Christian belief … and this Christian belief … was a corollary of a Christian discovery—or revelation—of the fatherhood of God.” Toynbee seems to be no less uncertain about Christianity than he is about Judaism.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.51","It is true, Mr. Toynbee does not make Jesus a Galilean Aryan, as is customary in Teutonic theological “research”; but he has certainly de-judaized him thoroughly. It would seem that the only connection that “Jewry’s Messiah” has with Judaism is his complete break with it; and one may even wonder what could be meant by “the Galilean Jewish prophet whose message to his fellow men was the consummation of all previous Jewish experience.”<sup>64</sup><i class=""footnote"">V/658.</i> What that message seems now—i.e., in Volume VI—to consummate more than anything else is a great deal of pagan, Hellenic, and Alexandrine vision and experience. Mr. Toynbee wishes to make the point that, beside Judaism, the other “tributary” of Christianity was Hellenism; and he makes the point so successfully that his acknowledgment of “the immensity of this Jewish empire in the spiritual dimension,” neatly tucked away in an annex to Volume VI, sounds hollow, a mere hypocritical lip service to the traditional Christian belief “that the coming of Christ is the fulfillment of Scripture.”<sup>65</sup><i class=""footnote"">VI/537.</i> His efforts to separate Christianity from Judaism are the logical consequences of his psychological version of the development of Judaism. The relationship between the two religions was, at first, according to the theological interpretation, indicated unequivocally. After the “transformation” of Judaism by Maccabean and Zealot Jewry, the Jewish religious genius took refuge among those segments of the internal proletariat of the Hellenic world that remained loyal to the spirit of the “untransformed” Judaism and, in bringing Christianity forth, gave a new expression to that spirit.<sup>66</sup><i class=""footnote"">See above p. 11 and V/126.</i> This did make sense as long as Judaism was described as a Higher Religion which in the creative travail of the prophets of Israel and Judah found its majestic manifestation as an ecumenical faith; it does not make sense in relation to a parochial religion, to which Judaism has now been reduced. A tribal deity who through the unexpected luck of a psychological aberration “widens” into an omnipotent and universal god, but who remains chained to its tribal past, is nothing much to be proud about; the separation of Christianity from such a Judaism becomes an intrinsic necessity."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.52",<b>2.</b>
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.53","Does Mr. Toynbee, by producing his psychological version of Judaism, mean to repudiate his original theological version? We have already seen that he is not perturbed by the inconsistency of his various theories as long as he can make each of them consistent within itself. He holds on to both of his versions of Judaism, just as we saw him hold on simultaneously to his contradictory interpretations of Maccabean history.<sup>67</sup><i class=""footnote"">See above p. 6.</i> His method of using mutually exclusive theories is strikingly illustrated by the final interpretation he places on the Maccabean guilt of Jewry and the significance he attaches to it."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.54","Discussing the various forms of “Encounters Between Civilizations,” Mr. Toynbee also surveys anti-Semitism. In this connection he deals with the persecution of Jewry by the Visigoths, who placed before them the choice of either accepting Christianity or banishment from the country. In this kind of persecution of the Jews he is able to discern “a hidden vein of tragic irony,” for—believe it or not—the first people in history to indulge in such a barbarous misuse of power against a minority were the Jews themselves. Says our author:"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.55","The earliest known instance of ‘bigotry’ [Toynbee’s play on the possible etymological derivation of the term from ‘Visigoth’!] is the compulsory conversion of the conquered Gentiles of Galilee to Judaism by their Maccabean Jewish conqueror Alexander Jannaeus<sup>68</sup><i class=""footnote"">It should be Aristobolus, who—having conquered the Itureans of a frontier district in North Galilee—converted them to Judaism. See Josephus, <i>Antiquities of the Jews</i>, XIII/11.</i> … and the Maccabean temper was inherited by Christendom from a Jewry that came to be the principal victim of this Jewish vein in the Christian religion. Jewish “Maccabeanism” was not, of course, the sole source of Christian “Antisemitism” … but the combination of a fanatical religious intolerance with an antipathy arising from social and economic grievances was an aggravation of pre-Christian “Antisemitism” into which Christianity was betrayed by the Judaic, not the Hellenic, element in its ethos.<sup>69</sup><i class=""footnote"">VIII/279, footnote.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.56","Having recovered from the first impact of the Toynbean sledge hammer, a Jew is grateful to find that the “Judaic” responsibility for the crimes of Christian anti-Semitism is not really meant to be as grievous as he at first gathered. Mr. Toynbee does concede that the “Jewish vein in the Christian religion” is not the only possible cause of anti-Semitism. As is well known, there was anti-Semitism in the Hellenic world,—a fact dramatically exemplified by the persecutions and pogroms in Alexandria at the time of Philo. Undoubtedly, it could not have originated from a non-existent “Judaic element” in the Hellenic ethos. What Mr. Toynbee wishes to explain is the specific Christian anti-Semitism, which—as he well realizes—has been so much more sordid and inhuman than the pre-Christian anti-Semitism of the heathens. On this he maintains that the Christian form of anti-Semitism is an aggravation of the anti-Semitic infection, which was already acute when Christianity first appeared on the scene and which—one guesses—Christianity “inherited” from its Hellenic “tributary”. In other words, if, for the sake of clarity, one wished to express it in the form of an equation, one would have to say: Christian Anti-Semitism = Pre-Christian, Hellenic Anti-Semitism + An Aggravation. However, An Aggravation = A Fanatical Religious Intolerance (alias Maccabean Temper) + An Antipathy. Therefore one might also say: Christian Anti-Semitism = Hellenic Anti-Semitism + Maccabean Temper + An Antipathy. For the Hellenic component no doubt only the Hellenic element in the Christian ethos can be blamed; for the Maccabean temper the blame is placed on the Judaic element; to whom the “antipathy arising from social and economic grievances” is to be charged is not stated. The Christian element in the Christian ethos bears no responsibility whatever; one can only guess that, being outmatched by a majority of at least two to one, its effectiveness is neutralized. Bearing in mind the feats of Hellenic anti-Semitism and pondering over the potentialities for persecution that are extant in an antipathy of the kind here described, it is rather difficult to put out of one’s mind the thought that had there never been a Maccabean temper for Christendom to inherit the story of Christian Anti-semitism would still be a far more “sordid tale” than that of the pre-Christian brand."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.57","Let us now analyze Mr. Toynbee’s reasoning about the boomerang action of the “Judaic element” in the Christian ethos. He does not suggest that the Visigoths merely imitated the religious intolerance of the Maccabees. It is unlikely that they knew much about the religious policy of the one or two petty “Maccabean” (i.e. Hasmonean) princes in question, which found some vague recording in a few words of the Jewish historian Josephus. It would indeed be silly to suggest that one or two obscure incidents of Hasmonean history could have inspired with a barbarous fanaticism the Visigoths of the Iberian peninsula to enact the same kind of policy seven or eight centuries later. What Mr. Toynbee suggests is that the Maccabean temper became a constituent part of Christianity—“this Jewish vein in the Christian religion.” But by itself such a pronouncement is hardly convincing. A religion, we assume, is a set of dogmas, beliefs, and values, which is consciously embraced; a temper, on the other hand, is a not-very-pleasant propensity of human nature. How on earth can a temper be so “inherited” that it becomes the constituent part of a religion! And so, as if to smooth out the wrinkles on a reader’s forehead, in the next sentence Mr. Toynbee paraphrases “the Maccabean temper” by “Maccabeanism.” An “ism” is much more dignified than a mere temper; an “ism” has an ideology. Since, however, “Maccabeanism” is—in the same sentence—supplanted by “a fanatical religious intolerance,” which is like a reversion to the Maccabean temper, one must assume that both the temper and the intolerance are an “ism” because they represent a consciously adopted attitude which was suggested by a principle of Judaism. This then is the “Judaic element” in the Christian ethos: not a mere temper, nor just intolerance, but part of an ideology. Something of the very ethos of Judaism got into Christianity and rebounded against the Jews. And so we have rediscovered our old friend, “the violent ethos of Maccabean Judaism.”<sup>70</sup><i class=""footnote"">See above p. 8-9 and V/175.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.58","It is nevertheless unusual for an experienced author like Mr. Toynbee to use the term “temper” as if it were an ideology, and to use the subjective emotional disturbance of fanatical intolerance to indicate an ethos. Nor does he do it unintentionally. He needs both the Maccabean temper and the Maccabean “ism.” The two terms are purposefully left vague and made to mean practically the same thing. Going out to prove what he wants to prove, Mr. Toynbee is in a quandary. Did he not say that, when the Maccabees “transformed” the Judaism of the prophetic age into a political instrument to be used for a mundane purpose and thus effected “the unfortunate change of ethos” in Judaism from gentleness to militancy, the religious genius of the Judaism of gentleness found its new expression in the Christian garb? Did he not also declare that, as the result of that event, the violent ethos of Maccabean Judaism was <i>the antithesis</i> to the gentle ethos of Christianity?<sup>71</sup><i class=""footnote"">V/175 and 126-27; and 126, footnote 5.</i> All this, of course, means that there is no connection whatever between “Maccabeanism” and Christianity, and that the Judaic element in the Christian ethos is inherited from the classical Judaism of the way of gentleness, which was repudiated by “Maccabeanism.” Yet, at the same time, we remember that there was another version of the Maccabean misdeeds. According to this, the Maccabees were not engaged in a petty mundane enterprise and did not “transform” Judaism into a political weapon. On the contrary, inspired by zeal for the religion of their fathers, they conceived “a policy of religious conversion by political force.” Obviously, only this version of the Maccabean policy may be dubbed “bigotry” and compared to the religious policies of the Visigoths. This version may yield a Maccabean <i>lapse</i> from Judaism into militancy, a Maccabean sin or temper, but no new Maccabean Judaism with a changed ethos.<sup>72</sup><i class=""footnote"">See above p. 11.</i> The Judaism of the Maccabees with a temper of religious intolerance is the same Judaism of gentleness that was taken over by Christianity."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.59","This then is the dilemma: The mundane Maccabean “ism” has an ethos of violence but, far from being a Judaic element in Christianity, it is its antithesis; the Maccabean temper of the “religious” version does have some contact with Christendom, both having the same Judaism of the prophetic age for their religious background, but it provides no Judaic element of violence for the ethos of Christianity. Mr. Toynbee is not overwhelmed by logical difficulties of this kind. He lets the event of the conversion of some Gentiles by the Maccabees fulfill a double function. Its religious interpretation gave us the “Maccabean temper”; from the mundane one followed the Maccabean “ism.” Though they are exclusive of each other, they are put to work together. What one cannot do, will be accomplished by the other. All that is needed is vagueness and ambiguity—and the boomerang effect of the Maccabean policy will sound plausible. The recipe is ingenious: Take Maccabean temper, Maccabeanism, a fanatic religious intolerance, the Judaic element in the Christian ethos, and by a continuous interchange of these terms giddy the reasoning faculty of the reader—and you will get the betrayal of Christianity into Christian anti-Semitism by the “Judaic element” in the Christian ethos.<sup>73</sup><i class=""footnote"">If it were not so depressing to witness in this “mid-twentieth Christian century” so much literary ingenuity spent on such an unworthy cause, one could only be amused by the way the true nature of the Toynbean reasoning does break through the camouflage of ambiguity. Having declared that the Maccabean temper or Maccabeanism, as “a vein in the Christian religion,” recoiled upon Jewry in anti-Semitism, Mr. Toynbee—as we saw—hastened to add that “Maccabeanism” (i.e., the Maccabean temper) was not the sole reason. But a “fanatical religious intolerance” combined with a socially and economically conditioned antipathy to become an “aggravation” of an already existent anti-Semitism. But it was—and this is the “tragic irony”—by the Judaic element in its ethos that Christianity was betrayed. Since, however, a “fanatical religious intolerance” is the same as “Maccabeanism” or the Maccabean temper, which, having been inherited by Christendom, became “this Jewish vein in the Christian religion”; and since the “Judaic element” in the Christian ethos is identical with “Maccabeanism” or with “a fanatical religious intolerance” or the Maccabean temper—then what Mr. Toynbee says about the tragic irony of Christian anti-Semitism may also be paraphrased in this manner: “Maccabeanism” is not the only reason for Christian anti-Semitism, but the combination of this Maccabean “vein in the Christian religion” with “an antipathy” was an aggravation of pre-Christian anti-Semitism into which Christianity was betrayed by the Maccabean, not the Hellenic, vein in its ethos. What Mr. Toynbee actually says is that “the aggravation,” which was the result of the combination of the Maccabean vein in Christianity with “an antipathy,” was caused by the “Maccabean vein in Christianity.” It is as logical as to say that it is because of A that A + B is C. It is, of course, nonsense; but it is the acme of Mr. Toynbee’s ingenious method of holding on to contradictory interpretations of Judaism. At first, with the help of the Maccabean “ism,” he smuggles the Maccabean temper into Christianity, as a “vein” in that religion, as a Judaic element in it. Having thus safely lodged the “Judaic element” in Christianity, he reverts to the proper literary and logical difference between a “temper” in people and an “element” in a religion. To enhance ambiguity, he replaces “the Maccabean temper” (alias Maccabean “vein” alias “Judaic element”) by a “fanatical religious intolerance”; and thus the statement that the “Judaic element” (alias Maccabean “vein,” alias Maccabean temper) was responsible for the combination of “a fanatical religious intolerance” with “an antipathy” can be made to sound plausible.</i>"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.60",<b>3.</b>
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.61","Notwithstanding his sophistry, one cannot help having some sympathy with Mr. Toynbee. Having extolled the towering superiority of the essentially new Christian departure as compared with Judaism, he is badly let down by the Christian performance in history in general, and not only in the specific case of anti-Semitism. He cannot overlook the intolerance and the violence with which the religion of gentleness and love treated other religions and philosophies of life or Christian deviations from orthodoxy and the officially approved religious dogma or belief. According to Mr. Toynbee the evidence of history is so condemning that he does not hesitate to declare: “There has been no religion in which this fanaticism—this persecution of all heterodox opinions without regard for the consequences and without shrinking from any crime—has been, and remained, so dominant as it has been in Christianity in all its manifestations.”<sup>74</sup><i class=""footnote"">VII/438, footnote 2.</i> This, of course, requires an explanation, and Mr. Toynbee finds it in the unpleasantly close association between Judaism and Christianity. For reasons of exigency, it appears, Christianity, after having taken “a decisive new departure from Judaism,” readmitted “the incongruous Israelitish concept and service of ‘the Jealous God’ Yahweh.”<sup>75</sup><i class=""footnote"">Ibid., 431.</i> It is thence that intolerance and religious fanaticism entered the body of Christendom."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.62","Once again the Toynbean method of ignoring logical inconsistencies and contradictions is apparent. One might wonder what could be meant by the <i>readmission</i> of the incongruous Israelitish service of the Jealous God. According to his theological version of Judaism, the pre-exilic prophets of Israel and Judah had overcome the earlier tribal concepts and found the way of gentleness and Transfiguration. Christianity had no contact with “the Israelitish Jealous God,” in the Toynbean sense of the term. That concept was abrogated by Judaism about eight or nine centuries before Christianity came into being, and about twelve centuries before its “readmission” into Christianity—with the beginning of Christian intolerance—is supposed to have occurred. Mr. Toynbee’s psychological version of Judaism alone brings the intolerant and jealous god right to the doorstep of Christianity. On that basis, however, although there is proximity in time there is hardly any association in spirit. As we have heard, Jewry never really got beyond the concept of the tribal deity, “widened” by psychological escapism. It was only the Christian Church, on the one hand, and Rabbi Johanan ben Zakkai, on the other—but also in the “Christian” manner—which by way of Transfiguration discovered the One True God. Seen in this light, Christianity was regarded as a radically new departure from the Judaism of the Jealous God, inheriting from it nothing more than the bankruptcy of Futurism. Christianity was no kindred religion of that Judaism, and Judaism was no component part of it."
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.63","The dilemma does not disturb Mr. Toynbee; he mixes his frames of reference without a qualm. The theological version of Judaism proved that the Jewish religious genius took refuge in Christianity; the psychological version proved that the Israelitish tribal deity was fanatically intolerant. It is true that the Jewish religious genius, absorbed by Christianity, is the genius of the ethos of gentleness, and that the intolerant tribal deity has no connection whatever with Christianity; nevertheless, if we pretend that the words “Jewish,” “Judaism,” and “Israelitish” are always used with the same meaning and that the two versions of “Judaic” development are not what they really are—namely, a contradiction—we do get the “conclusion” that the world-wide Christian intolerance that mars Western history is due to the <i>readmission</i> of the “Israelitish concept and service of the Jealous God.”"
"Judaism Fossil., 1, Judaism As a Higher Religion and the Lapse Into Militancy.64","We may now understand why Mr. Toynbee, having built up such a powerful case for the separation of Christianity from Judaism, nevertheless retains the association between them that derives from his earlier, theological interpretation of Judaism. In truth, Christianity is a “decisive new departure” in all essential teachings and dogmas. But it is useful not to renounce the traditionally assumed contact with Judaism; that contact enables one to exculpate the religion of love for its crimes of fanaticism and intolerance by blaming them on the readmission of barbarous Judaic concepts. The ambiguities of style, the literary trickery, and the confusion of the frames of reference give us still another version of Judaism, under which it may be considered Christianity’s “original sin.” There seems to be no escape from the power of that original sin. It is responsible not only for Christian fanaticism, but even for the intolerance of the “neo-pagan” Western secular enlightenment. This is because “a post-Christian Western rationalism … inherited from Christianity a Judaic fanaticism and intolerance in its feelings and its conduct towards its adversaries.”<sup>76</sup><i class=""footnote"">Ibid., 474, footnote 1, and VIII/406.<br>CHAPTER II</i> Thus Christian religious and post-Christian secular fanaticism and persecutions both originate from the Judaic element introduced into the West by Christianity. Thus, Mr. Toynbee provides the “scholarly” backing for what the Nazis knew instinctively, namely, that “the Jews are our misfortune.” If only Christianity had been more careful with whom it kept company in its early youth!"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.1","T<small>HUS FAR</small> we have analyzed the theories of Mr. Toynbee, remaining on his own ground and showing what his ideas contain and what use he makes of them. We shall now attempt to outline a Jewish approach to the issues that have been discussed."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.2","Fortunately, there is no need to deal at length with Mr. Toynbee’s psychological version of the development of Judaism from the tribal-religion stage. Whatever the theological and historical truth about such a development, it is preposterous and irresponsible to place it in the post-exilic period from 525 <small>B.C.E.</small> to 70 <small>C.E.</small>, as Mr. Toynbee does. Anyone who does so cannot expect to be treated seriously as a scholar. We shall therefore limit ourselves to Mr. Toynbee’s fantastic falsification of the message of “Deutero-Isaiah.” On the basis of the single phrase, “Thus saith the Lord to His anointed, to Cyrus,”<sup>1</sup><i class=""footnote"">Isaiah 45/1.</i> he imputes to the prophet the mundane megalomaniac attempt to cajole Cyrus into handing over his empire to a puny and broken Jewry. If only Mr. Toynbee had taken notice of the contents of the chapter from which he quotes the phrase to prove his point! In the same chapter, one may also find such pronouncements as these about God, salvation, mankind, and Israel:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.3","For thus saith the Lord that created the heavens,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.4",He is God;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.5","That formed the earth and made it,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.6","He established it,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.7","He created it not a waste, He formed it to be inhabited:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.8","I am the Lord, and there is none else."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.9",. . . . . . .
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.10",And there is no God else beside Me;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.11",A just God and a <i>Saviour</i>;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.12",There is none beside Me.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.13","Look unto Me, and <i>be ye saved</i>,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.14",<i>All the ends of the earth</i>;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.15","For I am God, and there is none else."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.16","By Myself have I sworn,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.17",The word is gone forth from My mouth in righteousness.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.18",. . . . . . .
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.19","That unto Me every knee shall bow,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.20",Every tongue shall swear.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.21","<i>Only in the Lord</i>, shall one say of Me,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.22",<i>Is victory and strength</i>;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.23","Even to Him shall men come in confusion,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.24",All they that were incensed against Him.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.25",In the Lord shall all the seed of Israel
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.26","Be justified, and shall glory."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.27","In order to appreciate the vileness of the Toynbean distortion of “Deutero-Isaiah,” one must read, against the background of these quotations from only one chapter of the prophet, Mr. Toynbee’s interpretation of the introductory verses in the same chapter. According to him that is what the prophet hoped for:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.28","The mundane kingdom which is included in “Deutero-Isaiah’s” Kingdom of God is imagined as an Achaemenian Empire in which Cyrus has taken Zion instead of Susa for his capital and the Jews instead of the Persians for his ruling race, because the God of Israel has revealed to him that it is he (<i>and, by implication, not Ahuramazda</i><sup>2</sup><i class=""footnote"">Our italics.</i>) who has enabled Cyrus to conquer the World. In this day-dream “Deutero-Isaiah” is exposing himself with a vengeance, to the censure of our imaginary psycho-analyst.<sup>3</sup><i class=""footnote"">See above p. 21 the censure of escapism and VI/127.</i> He is conscripting Yahweh to inspire Cyrus to turn the feats of Persian arms to the benefit of the Jews in order that the latter may be compensated for their inability to preserve the independence of their own petty principality of Judah by being invested with the lordship of a universal state! Jewry’s thirst to gain a new mundane kingdom was so deep that the Jewish prophet was prepared to recognize the Gentile as “the Lord’s Anointed” if that would secure the fulfilment of these Jewish hopes.<sup>4</sup><i class=""footnote"">VI/130, footnote 3. Toynbee identifies the “Lord’s Anointed” with the Messiah. But nowhere in the Jewish Bible does the term have the meaning of “Redeemer.” It is always priests and Kings of Judah and Israel that are meant; the anointed ones alone are consecrated for office. In the Psalms (see 105/15), the term occurs in the plural. The only exception is, perhaps the mysterious passage in Daniel 9/25, where the use of the term is not at all clear. At the same time, the “Lord’s Anointed” is not found anywhere in the Messianic passages of the Jewish Bible. The term Messiah, does derive from the Hebrew for the “Lord’s Anointed”; it does mean “the anointed one.” But it received its specific technical significance of “Redeemer” in post-Biblical times. See, e.g., <i>Hasting’s Encyclopedia of Religion and Ethics</i>. The “Lord’s Anointed” in connection with Cyrus indicates that the authority of Cyrus kingship is to be considered as if he had been consecrated for office; he is king by the Grace of God. That such dignity is conceded to a Gentile is in itself a manifestation of the prophet’s universalism and in keeping with the other, more significant, aspects of his teaching.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.29","As if this were not clear enough, Mr. Toynbee paraphrases the opening words of the same chapter in the following manner:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.30","Thus saith the Lord to his Anointed, to Cyrus (or Zerubbabel or Simon Maccabaeus or Simon bar Kokaba or whatever may be the name of the hero of the hour), whose right hand I have holden to subdue nations before him …<sup>5</sup><i class=""footnote"">Ibid., 155.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.31","The truth of course is—and it is certainly not hidden from Mr. Toynbee—that, as we have seen, in this chapter of the Book of Isaiah the basic Jewish concepts of a universal ethical monotheism find clear expression. There is the Lord God, creator and sustainer of the Universe, whose word is righteousness and who alone is savior of all mankind, in whom alone Israel seeks its justification.<sup>6</sup><i class=""footnote"">These concepts are, as anyone fairly familiar with the Bible of Israel may recall, no original discoveries of “Deutero-Isaiah.” There are innumerable parallel passages in the books of Moses and of the Prophets, as well as in the other Writings. It is true that the Universal Creator and Savior is also referred to as “the God of Israel”; the phrase has been the stumbling block of Christian theologians through the ages. The context, in which they occur, proves, as in the case of “Deutero-Isaiah,” that no tribal deity is meant. The “God of Israel” does not mean of Israel alone. See below ch. III, sect. 2 for a Jewish interpretation of the term.</i> Cyrus is an instrument in the hand of God, just as the Assyrian conqueror was so designated by Isaiah.<sup>7</sup><i class=""footnote"">Isaiah X/5.</i> It is the well-known concept of the prophets that God intervenes in the history of the nations by raising and using world-conquerors to do His bidding in the world at large. What is expected of Cyrus is not Toynbee’s idiotic idea of surrendering world dominion to the Jews, but an act of charity toward captive Judah, as it is stated unequivocally in the context: “He shall build My city, and he shall let Mine exiles go free, not for price nor reward….” It is the age-old plea of “Let my people go.” The conquest of the nations and the spoliation of their treasures are the due of the world-conqueror Cyrus, as it was that of Nebuchadnezzar. As for the Jews, they seek their “justification and glory” in the Lord, who alone is “a just God and a Saviour and besides whom there is none.”"
